"Name","Dependencies","MissionCategory","VillageType","FirstStep","Deprecated","Action","Character","FixVillageObject","BuildBuilding","BuildBuildingLevel","BuildBuildingCount","DefendNPC","AttackNPC","Delay","TrainTroops","ShowMap","TutorialText","TutorialStep","Darken","TutorialTextBox","TutorialCharacter","CharacterSWF","LoopAnim","SwitchAnim","SpeechBubble","RightAlignTextBox","ButtonText","TutorialMusic","TutorialMusicAlt","TutorialSound","RewardResource","RewardResourceCount","RewardXP","RewardTroop","RewardTroopCount","CustomData","ShowInstructor","Villagers","ForceCamera","WaitUntilPopupIsClosed"
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WORKER_2",1,,"tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
"step5 elixir pump","step4 second builder",0,0,,,,,,"Elixir Pump",1,1,,,,,,"TID_TUTORIAL_ELIXIR_1",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_urgency_02.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_ELIXIR_2",1,,"tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
"step6 elixir storage","step5 elixir pump",0,0,,,,,,"Elixir Storage",1,1,,,,,,"TID_TUTORIAL_ELIXIR_STORAGE_1",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg","Elixir",1500,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_ELIXIR_STORAGE_2",1,,"tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_urgency_04.ogg",,,,,,,,,,
"step7 gold storage","step6 elixir storage",0,0,,,,,,"Gold Storage",1,1,,,,,,"TID_TUTORIAL_GOLD_STORAGE_1",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg","Gold",1500,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_GOLD_STORAGE_2",1,,"tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_DEFEND_5",,"true","tutorial_enemy","character_enemy_goblin","sc/tutorial_characters.sc",,,"bubble_no_button_right","true","TID_TUTORIAL_ATTACK_NPC_BUTTON","music/gob_attack.mp3",,"sfx/goblin_talk_2.ogg",,,,,,,,,,
"step8 barrack","step7 gold storage",0,0,,,,,,"Barrack",1,1,,,,,,"TID_TUTORIAL_BARRACK_1",1,,"tutorial_friendly_scared","character_friendly_scared","sc/tutorial_characters.sc",,,"bubble_no_button_left","false",,"music/fem_talk_scared.mp3",,"sfx/tutor_urgency_05.ogg",,,,,,,,,,
"step9 train warriors","step8 barrack",0,0,,,,,,,,,,,,15,,"TID_TUTORIAL_TRAIN_1",1,,"tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_TRAIN_2",2,,"tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_urgency_04.ogg",,,,,,,,,,
"step10 second attack","step9 train warriors",0,0,,,,,,,,,,"TutorialNPC2",,,"true","TID_TUTORIAL_ATTACK_NPC_2",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_talk_aha_01.ogg",,,,,,1,,,,
"step11 change name","step10 second attack",0,0,,,"change_name",,,,,,,,,,,"TID_TUTORIAL_CHANGE_NAME",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg","Elixir",400,,,,,,,,
"step12 upgrade town hall","step11 change name",0,0,,,,,,"Town Hall",2,1,,,,,,"TID_TUTORIAL_TOWN_HALL_1",1,,"tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_happy_01.ogg","Gold",900,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_TOWN_HALL_2",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
"step13 achievements","step12 upgrade town hall",0,0,,,"open_achievements",,,,,,,,,,,"TID_TUTORIAL_ACHIEVEMENTS",1,,"tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_talk_yeah_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_ACHIEVEMENTS2",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_happy_01.ogg",,,,,,,"true",,,
"step14 war map own side",,1,0,"true",,"switch_sides",,,,,,,,1000,,,"TID_TUTORIAL_WAR_MAP_FRIENDLY_1",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_hey_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_MAP_FRIENDLY_2",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_MAP_FRIENDLY_3",1,,"tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_talk_aha_01.ogg",,,,,,,,,,
"step15 war map enemy","step14 war map own side",1,0,,,"switch_sides",,,,,,,,500,,,"TID_TUTORIAL_WAR_MAP_ENEMY_1",,"true","tutorial_friendly_scared","character_friendly_scared_war","sc/tutorial_characters.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_wow_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_MAP_ENEMY_2",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_MAP_ENEMY_3",1,,"tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
"step16 show info","step15 war map enemy",1,0,,,"open_info",,,,,,,,200,,,"TID_TUTORIAL_WAR_DONATE_1",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_happy_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_BATTLE_1",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_INFO_1",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"step17 show state","step16 show info",1,0,,"true","tap_game_object",,,,,,,,,,,,1,,"tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_talk_aha_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,,"tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,,"tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_happy_01.ogg",,,,,,,,,,
"ship repair move",,2,0,,,,,,,,,,,,,,"TID_TUTORIAL_SHIP_LOAD_SHIP",,,"tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_hey_01.ogg",,,,,,,,3,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"ship repair finished","ship repair move",2,0,,,"travel",,"Shipyard",,,,,,500,,,"TID_TUTORIAL_SHIP_READY",,,"tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
"ship fix1","ship repair finished",2,1,,,,,,"Town Hall2",2,1,,,4250,,,"TID_TUTORIAL_SHIP_ARRIVE",,,"tutorial_friendly_v2","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_talk_aha_01.ogg",,,,,,,,,"TRUE",
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_SHIP_ARRIVE_FIX_VILLAGE",1,,"tutorial_friendly_v2","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
"ship fix2","ship fix1",2,1,,,,,,,,,,,0,,,"TID_TUTORIAL_VILLAGERS_MOVE_OUT",,,"tutorial_friendly_v2","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_relief_01.ogg",,,,,,,,3,,
"upgrade unit","ship fix2",2,1,,,"upgrade2","Barbarian2",,,,,,,,,,"TID_TUTORIAL_MEET_NEW_BUILDER",,"true","tutorial_builder_v2","character_builder_sleeping","sc/tutorial_characters_v2.sc","TRUE",,"bubble_no_button_right_top_v2","true",,,,"sfx/tut_builder_snore_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_MEET_NEW_BUILDER2",,"true","tutorial_builder_v2","character_builder_sleep_to_talk","sc/tutorial_characters_v2.sc",,"TRUE","bubble_no_button_right_top_v2","true",,,,"sfx/tut_builder_wakeup_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_MEET_NEW_BUILDER3",,"true","tutorial_friendly_scared_v2","character_friendly_scared","sc/tutorial_characters.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_urgency_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_MEET_NEW_BUILDER4",,"TRUE","tutorial_builder_short_v2","character_builder_talking","sc/tutorial_characters_v2.sc",,,"bubble_no_button_right_top_v2","true",,,,"sfx/tut_builder_surprised_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_LOOK_LABORATORY",1,,"tutorial_builder_short_v2","character_builder_talking","sc/tutorial_characters_v2.sc",,,"bubble_no_button_right_top_v2","true",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_LOOK_LABORATORY_DO",,"TRUE","tutorial_builder_short_v2","character_builder_talking","sc/tutorial_characters_v2.sc",,"TRUE","bubble_no_button_right_top_v2","true",,,,"sfx/tut_builder_surprised_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_LOOK_FINISH",,"TRUE","tutorial_friendly_v2","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_happy_01.ogg",,,,,,,,,,
"duel","upgrade unit",2,1,,,"duel",,,,,,,"DuelNPC",0,,,"TID_TUTORIAL_ATTACK",,,"tutorial_builder_short_v2","character_builder_talking","sc/tutorial_characters_v2.sc",,,"bubble_no_button_right_top_v2","true",,,,"sfx/tut_builder_neutral_01.ogg",,,,,,2,,,,
"duel done","duel",2,1,,,"duel_end",,,,,,,"DuelNPC",0,,,"TID_TUTORIAL_ATTACK_DONE",,,"tutorial_friendly_scared_v2","character_friendly_scared","sc/tutorial_characters.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_urgency_04.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_ATTACK_DONE2",,,"tutorial_builder_short_v2","character_builder_talking","sc/tutorial_characters_v2.sc",,,"bubble_no_button_right_top_v2","true",,,,"sfx/tut_builder_neutral_01.ogg",,,,,,,,,,
"duel done2","duel done",2,1,,,"duel_end2",,,,,,,,,,,"TID_TUTORIAL_ATTACK_DONE3",0,,"tutorial_friendly_v2","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_happy_01.ogg",,,,,,,,,,
"worker task","duel done2",2,1,,,"show_builder_menu",,,,,,,,0,,,"TID_TUTORIAL_WORKER_MENU",0,,"tutorial_builder_short_v2","character_builder_talking","sc/tutorial_characters_v2.sc",,,"bubble_no_button_right_top_v2","true",,,,"sfx/tut_builder_neutral_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,0,,,"TID_TUTORIAL_WORKER_MENU2",1,,"tutorial_builder_short_v2","character_builder_talking","sc/tutorial_characters_v2.sc",,,"bubble_no_button_right_top_v2","true",,,,"sfx/tut_builder_neutral_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,0,,,"TID_TUTORIAL_WORKER_MENU3",2,,"tutorial_builder_short_v2","character_builder_talk_to_sleep","sc/tutorial_characters_v2.sc",,"TRUE","bubble_no_button_right_top_v2","true",,,,"sfx/tut_builder_backtosleep_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,0,,,"TID_TUTORIAL_WORKER_MENU4",3,,"tutorial_friendly_v2","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_hey_01.ogg",,,,,,,,,,
"clan games tutorial","step12 upgrade town hall",0,0,,"TRUE","tap_game_object",,,,,,,,2000,,,"TID_TUTORIAL_CLANGAMES_1",,"true","tutorial_friendly","character_strongman_neutral","sc/ui.sc",,,"bubble_no_button_left","false",,"music/fem_talk.mp3",,"sfx/tutor_happy_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_CLANGAMES_2",,"true","tutorial_friendly","character_strongman_neutral","sc/ui.sc",,,"bubble_no_button_left","false",,"music/fem_talk.mp3",,"sfx/tutor_happy_01.ogg",,,,,,,,,,
"magic items tutorial","step12 upgrade town hall",0,0,,"TRUE","tap_game_object",,,"Alliance Castle",2,1,,,2000,,,"TID_TUTORIAL_MAGICITEMS_1",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,"music/fem_talk.mp3",,"sfx/tutor_happy_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_MAGICITEMS_2",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,"music/fem_talk.mp3",,"sfx/tutor_happy_01.ogg",,,,,,,,,,
"clan castle tutorial",,0,0,,"TRUE","tap_game_object",,,,,,,,2000,,,"TID_TUTORIAL_CLANCASTLE_1",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,"music/fem_talk.mp3",,"sfx/tutor_happy_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_CLANCASTLE_2",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,"music/fem_talk.mp3",,"sfx/tutor_happy_01.ogg",,,,,,,,,,
"th12 tutorial",,3,0,,,"info",,,"Town Hall",12,1,,,1000,,,"TID_TUTORIAL_TH12_1",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_happy_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_TH12_2",,"true","tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
"wl initial intro",,4,0,"TRUE",,"show_wl_menu",,,,,,,,750,,,"TID_TUTORIAL_WAR_LEAGUE_1",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_hey_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_LEAGUE_2",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_LEAGUE_3",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_LEAGUE_4",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_LEAGUE_5",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_LEAGUE_6",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_LEAGUE_7",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_LEAGUE_8",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_LEAGUE_9",1,,"tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
"wl ui tutorial","wl initial intro",4,,,,"show_wl_info",,,,,,,,500,,,"TID_TUTORIAL_WAR_LEAGUE_10",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_LEAGUE_11",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_LEAGUE_12",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_LEAGUE_13",1,,"tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
"wl rewards talk","wl ui tutorial",4,,,,"give_reward",,,,,,,,500,,,"TID_TUTORIAL_WAR_LEAGUE_14",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg","Medals",50,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_LEAGUE_15",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_LEAGUE_16",1,,"tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_with_button_left","false","TID_ACHIEVEMENT_CLAIM_BUTTON",,,"sfx/tutor_happy_01.ogg",,,,,,,,,,
"master builder start",,3,1,"TRUE",,"info",,,"Arto Building",1,1,,,500,,,"TID_TUTORIAL_ARTO_START_1",,"true","tutorial_builder_short_v2","character_builder_talking","sc/tutorial_characters_v2.sc",,,"bubble_no_button_right_top_v2","true",,,,"sfx/tut_builder_neutral_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_ARTO_START_2",,"true","tutorial_builder_short_v2","character_builder_talking","sc/tutorial_characters_v2.sc",,,"bubble_no_button_right_top_v2","true",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_ARTO_START_3",,"true","tutorial_builder_short_v2","character_builder_talking","sc/tutorial_characters_v2.sc",,,"bubble_no_button_right_top_v2","true",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
"master builder finished",,3,1,"TRUE",,"info",,,"Arto Building",5,1,,,500,,,"TID_TUTORIAL_ARTO_COMPLETE_1",,"true","tutorial_builder_short_v2","character_builder_talking","sc/tutorial_characters_v2.sc",,,"bubble_no_button_right_top_v2","true",,,,"sfx/tut_builder_surprised_01.ogg",,,,,,,,,,"true"
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_ARTO_COMPLETE_2",,"true","tutorial_builder_short_v2","character_builder_talking","sc/tutorial_characters_v2.sc",,,"bubble_no_button_right_top_v2","true",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
,,,,,,,,,,,,,,,,,"TID_TUTORIAL_ARTO_COMPLETE_3",,"true","tutorial_builder_short_v2","character_builder_talking","sc/tutorial_characters_v2.sc",,,"bubble_no_button_right_top_v2","true",,,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,
