"Name","TrophyLimitLow","TID","TIDShort","IconSWF","IconExportName","LeagueBannerIcon","LeagueBannerIconNum","LeagueBannerIconHUD","GoldRewardBase","ElixirRewardBase","RewardStar1","RewardStar2","RewardStar3","RewardStar4","RewardStar5","RewardStar6","StarBonusNumStars","StarBonusGold","StarBonusElixir","TrophyLoseMultiplier","SeasonTrophyReset","MaxDiamondCost"
"Copper5",1500,"TID_LEAGUE_COPPER5","TID_LEAGUE_COPPER5_SHORT","sc/ui.sc","bb2_icon_league_copper5","bb2_icon_league_copper","bb2_icon_league_copper_big5","bb2_icon_league_copper_big5",0,29500,7500,9000,8000,500,1000,1000,8,155000,155000,85,,
"Copper4",1600,"TID_LEAGUE_COPPER4","TID_LEAGUE_COPPER4_SHORT","sc/ui.sc","bb2_icon_league_copper4","bb2_icon_league_copper","bb2_icon_league_copper_big4","bb2_icon_league_copper_big4",0,33500,7500,9300,8200,1000,1000,2000,8,160000,160000,87,,
"Copper3",1700,"TID_LEAGUE_COPPER3","TID_LEAGUE_COPPER3_SHORT","sc/ui.sc","bb2_icon_league_copper3","bb2_icon_league_copper","bb2_icon_league_copper_big3","bb2_icon_league_copper_big3",0,37500,7500,9600,8400,1500,1500,2500,8,170000,170000,90,,
"Copper2",1800,"TID_LEAGUE_COPPER2","TID_LEAGUE_COPPER2_SHORT","sc/ui.sc","bb2_icon_league_copper2","bb2_icon_league_copper","bb2_icon_league_copper_big2","bb2_icon_league_copper_big2",0,41500,7500,9900,8600,2000,2500,2500,8,180000,180000,92,,
"Copper1",1900,"TID_LEAGUE_COPPER1","TID_LEAGUE_COPPER1_SHORT","sc/ui.sc","bb2_icon_league_copper1","bb2_icon_league_copper","bb2_icon_league_copper_big1","bb2_icon_league_copper_big1",0,46000,7500,10200,8800,2500,3000,3000,8,190000,190000,94,,
"Brass3",2000,"TID_LEAGUE_BRASS3","TID_LEAGUE_BRASS3_SHORT","sc/ui.sc","bb2_icon_league_brass3","bb2_icon_league_brass","bb2_icon_league_brass_big3","bb2_icon_league_brass_big3",0,50500,7500,10500,9000,3000,3500,3500,9,200000,200000,96,,
"Brass2",2200,"TID_LEAGUE_BRASS2","TID_LEAGUE_BRASS2_SHORT","sc/ui.sc","bb2_icon_league_brass2","bb2_icon_league_brass","bb2_icon_league_brass_big2","bb2_icon_league_brass_big2",0,55000,7500,10700,9300,3000,4500,4000,9,210000,210000,98,,
"Brass1",2400,"TID_LEAGUE_BRASS1","TID_LEAGUE_BRASS1_SHORT","sc/ui.sc","bb2_icon_league_brass1","bb2_icon_league_brass","bb2_icon_league_brass_big1","bb2_icon_league_brass_big1",0,57000,7500,10900,9600,3000,5000,5000,9,225000,225000,100,,
"Iron3",2600,"TID_LEAGUE_IRON3","TID_LEAGUE_IRON3_SHORT","sc/ui.sc","bb2_icon_league_iron3","bb2_icon_league_iron","bb2_icon_league_iron_big3","bb2_icon_league_iron_big3",0,59500,7500,11100,9900,3000,5000,6500,9,240000,240000,100,,
"Iron2",2800,"TID_LEAGUE_IRON2","TID_LEAGUE_IRON2_SHORT","sc/ui.sc","bb2_icon_league_iron2","bb2_icon_league_iron","bb2_icon_league_iron_big2","bb2_icon_league_iron_big2",0,61500,7500,11300,10200,3000,5000,7500,9,255000,255000,100,,
"Iron1",3000,"TID_LEAGUE_IRON1","TID_LEAGUE_IRON1_SHORT","sc/ui.sc","bb2_icon_league_iron1","bb2_icon_league_iron","bb2_icon_league_iron_big1","bb2_icon_league_iron_big1",0,63500,7500,11500,10500,3000,5000,8500,9,270000,270000,100,,
"Steel3",3200,"TID_LEAGUE_STEEL3","TID_LEAGUE_STEEL3_SHORT","sc/ui.sc","bb2_icon_league_steel3","bb2_icon_league_steel","bb2_icon_league_steel_big3","bb2_icon_league_steel_big3",0,65500,7500,11700,10800,3000,5000,9500,10,285000,285000,100,,
"Steel2",3400,"TID_LEAGUE_STEEL2","TID_LEAGUE_STEEL2_SHORT","sc/ui.sc","bb2_icon_league_steel2","bb2_icon_league_steel","bb2_icon_league_steel_big2","bb2_icon_league_steel_big2",0,68000,7500,11900,10600,3500,5000,10500,10,300000,300000,100,,
"Steel1",3600,"TID_LEAGUE_STEEL1","TID_LEAGUE_STEEL1_SHORT","sc/ui.sc","bb2_icon_league_steel1","bb2_icon_league_steel","bb2_icon_league_steel_big1","bb2_icon_league_steel_big1",0,70000,7500,12100,10400,4000,5000,11500,10,315000,315000,100,,
"Titanium3",3800,"TID_LEAGUE_TITANIUM3","TID_LEAGUE_TITANIUM3_SHORT","sc/ui.sc","bb2_icon_league_platinum3","bb2_icon_league_platinum","bb2_icon_league_platinum_big3","bb2_icon_league_platinum_big3",0,72000,7500,12300,10200,4500,5000,12500,10,330000,330000,100,,
"Titanium2",4000,"TID_LEAGUE_TITANIUM2","TID_LEAGUE_TITANIUM2_SHORT","sc/ui.sc","bb2_icon_league_platinum2","bb2_icon_league_platinum","bb2_icon_league_platinum_big2","bb2_icon_league_platinum_big2",0,74000,7500,12500,10000,5000,5000,13500,10,345000,345000,100,,
"Titanium1",4200,"TID_LEAGUE_TITANIUM1","TID_LEAGUE_TITANIUM1_SHORT","sc/ui.sc","bb2_icon_league_platinum1","bb2_icon_league_platinum","bb2_icon_league_platinum_big1","bb2_icon_league_platinum_big1",0,76000,7500,12500,10000,5500,5500,14000,10,360000,360000,100,,
"Platinum3",4400,"TID_LEAGUE_PLATINUM3","TID_LEAGUE_PLATINUM3_SHORT","sc/ui.sc","bb2_icon_league_titanium3","bb2_icon_league_titanium","bb2_icon_league_titanium_big3","bb2_icon_league_titanium_big3",0,78000,7500,12500,10000,6000,6000,14500,11,380000,380000,100,,
"Platinum2",4600,"TID_LEAGUE_PLATINUM2","TID_LEAGUE_PLATINUM2_SHORT","sc/ui.sc","bb2_icon_league_titanium2","bb2_icon_league_titanium","bb2_icon_league_titanium_big2","bb2_icon_league_titanium_big2",0,80000,7500,12500,10000,6500,6500,15000,11,400000,400000,100,,
"Platinum1",4800,"TID_LEAGUE_PLATINUM1","TID_LEAGUE_PLATINUM1_SHORT","sc/ui.sc","bb2_icon_league_titanium1","bb2_icon_league_titanium","bb2_icon_league_titanium_big1","bb2_icon_league_titanium_big1",0,82000,7500,12500,10000,7000,7000,15500,11,420000,420000,100,,
"Emerald3",5000,"TID_LEAGUE_EMERALD3","TID_LEAGUE_EMERALD3_SHORT","sc/ui.sc","bb2_icon_league_emerald3","bb2_icon_league_emerald","bb2_icon_league_emerald_big3","bb2_icon_league_emerald_big3",0,84000,7500,12500,10000,7500,7500,16000,12,440000,440000,100,,
"Emerald2",5200,"TID_LEAGUE_EMERALD2","TID_LEAGUE_EMERALD2_SHORT","sc/ui.sc","bb2_icon_league_emerald2","bb2_icon_league_emerald","bb2_icon_league_emerald_big2","bb2_icon_league_emerald_big2",0,87000,7500,12500,10000,8000,8000,16500,12,460000,460000,100,,
"Emerald1",5400,"TID_LEAGUE_EMERALD1","TID_LEAGUE_EMERALD1_SHORT","sc/ui.sc","bb2_icon_league_emerald1","bb2_icon_league_emerald","bb2_icon_league_emerald_big1","bb2_icon_league_emerald_big1",0,90000,7500,12500,10000,8500,8500,17000,12,480000,480000,100,,
"Ruby3",5600,"TID_LEAGUE_RUBY3","TID_LEAGUE_RUBY3_SHORT","sc/ui.sc","bb2_icon_league_ruby3","bb2_icon_league_ruby","bb2_icon_league_ruby_big3","bb2_icon_league_ruby_big3",0,93000,7500,12500,10000,9000,9000,17500,12,500000,500000,100,,
"Ruby2",5800,"TID_LEAGUE_RUBY2","TID_LEAGUE_RUBY2_SHORT","sc/ui.sc","bb2_icon_league_ruby2","bb2_icon_league_ruby","bb2_icon_league_ruby_big2","bb2_icon_league_ruby_big2",0,96000,7500,12500,10000,9500,9500,18000,12,520000,520000,100,,
"Ruby1",6000,"TID_LEAGUE_RUBY1","TID_LEAGUE_RUBY1_SHORT","sc/ui.sc","bb2_icon_league_ruby1","bb2_icon_league_ruby","bb2_icon_league_ruby_big1","bb2_icon_league_ruby_big1",0,99000,7500,12500,10000,10000,9500,19000,12,540000,540000,100,,
"Diamond",6200,"TID_LEAGUE_DIAMOND","TID_LEAGUE_DIAMOND_SHORT","sc/ui.sc","bb2_icon_league_diamond1","bb2_icon_league_diamond","bb2_icon_league_diamond","bb2_icon_league_diamond",0,102000,7500,12500,10000,10500,9500,20000,12,560000,560000,100,5000,
