"Name","Level","TID","InfoTID","SWF","ExportName","ExportNameAir","ExportNameBuildAnim","ExportNameBuildAnimAir","ExportNameBroken","ExportNameBrokenAir","BigPicture","BigPictureSWF","EffectBroken","Damage","DamageRadius","TriggerRadius","Width","Height","Effect","Effect2","DamageEffect","Passable","BuildResource","BuildTimeD","BuildTimeH","BuildTimeM","BuildCost","TownHallLevel","CapitalHallLevel","EjectVictims","MinTriggerHousingLimit","EjectHousingLimit","ExportNameTriggered","ExportNameTriggeredAir","ActionFrame","PickUpEffect","PlacingEffect","AppearEffect","ToggleAttackModeEffect","DurationMS","SpeedMod","DamageMod","AirTrigger","GroundTrigger","HitDelayMS","HitCnt","Projectile","MaxProjectileCount","MaxTargetRange","Spell","StrengthWeight","PreferredTargetDamageMod","PreferredTarget","SpawnedCharGround","SpawnedCharAir","NumSpawns","SpawnInitialDelayMs","TimeBetweenSpawnsMs","SpawnLvl","Disabled","ThrowDistance","VillageType","Pushback","DoNotScalePushByDamage","EnabledByCalendar","DirectionCount","HasAltMode","UpgradeLevelByTH","HintPriority","PreviewScenario","AltPreviewScenario"
"MegaAirTrap",1,"TID_TRAP_AIR_MEGA","TID_TRAP_AIR_MEGA_INFO","sc/buildings.sc","evil_airTrap_setup",,"evil_air_trap_upg",,"evil_airTrap_unarmed",,"evil_airtrap_lvl1_info","sc/ui.sc","Trap broken",1500,0,400,1,1,"Small AirTrap",,"Large AirTrap Explosion","TRUE","Gold",,,0,12000,1,,"FALSE",4,0,"air_trap",,7,"Generic Pick Up","Generic Placing","Bomb Appear",,,,,"TRUE","FALSE",,,"LargeDarkElixirBalloon",,,,15,,,,,,,,,,,,,,,,,,75,"AirTrap",
,2,,,,"evil_airTrap_setup",,"evil_air_trap_upg",,"evil_airTrap_unarmed",,,,,1800,,,,,,,,,,,12,0,900000,9,,,,,,,,,,,,,,,,,,,"LargeDarkElixirBalloon",,,,15,,,,,,,,,,,,,,,,,,,,
,3,,,,"evil_airTrap_setup_lvl3",,"evil_air_trap_upg",,"evil_airTrap_unarmed",,,,,2100,,,,,,,,,,1,,0,1600000,10,,,,,,,,,,,,,,,,,,,"LargeDarkElixirBalloon_lvl3",,,,15,,,,,,,,,,,,,,,,,,,,
,4,,,,"evil_airTrap_setup_lvl3",,"evil_air_trap_upg",,"evil_airTrap_unarmed",,,,,2500,,,,,,,,,,3,,0,3100000,13,,,,,,,,,,,,,,,,,,,"LargeDarkElixirBalloon_lvl3",,,,15,,,,,,,,,,,,,,,,,,,,
,5,,,,"evil_airTrap_setup_lvl5",,"evil_air_trap_upg",,"evil_airTrap_unarmed",,,,,2800,,,,,,,,,,10,,0,10000000,15,,,,,,,,,,,,,,,,,,,"LargeDarkElixirBalloon_lvl5",,,,15,,,,,,,,,,,,,,,,,,,,
"SantaTrap",1,"TID_TRAP_SANTA","TID_TRAP_SANTA_INFO","sc/buildings.sc","bomb_xmas_setup",,"bomb_upg",,"bomb_xmas_unarmed",,"giftbomb_lvl1_info","sc/ui.sc","Trap broken",0,0,150,1,1,"Gift Trap trigger",,,"TRUE","Gold",,,0,1000,1,,"FALSE",,0,"bomp_trap_xmas",,44,"Generic Pick Up","Generic Placing","Bomb Appear",,,,,"FALSE","TRUE",,,,,,"xmas2013",,,,,,,,,,,,,,,"TRUE",,,,,,
"Halloweenskels",1,"TID_TRAP_HALLOWEEN_SKEL","TID_TRAP_HALLOWEEN_SKEL_INFO","sc/buildings.sc","troop_trap_land_lvl1_setup","troop_trap_air_lvl1_setup","bomb_upg","bomb_upg","troop_trap_land_lvl1_unarmed","troop_trap_land_lvl1_unarmed","skele_trap_land_lvl1_info","sc/ui.sc",,0,0,500,1,1,,,,"TRUE","Gold",,,0,6000,1,,"FALSE",1,,"troop_trap_land_lvl1","troop_trap_air_lvl1",37,"Skeleton Trap Pick Up","Skeleton Trap Placing","Skeleton Trap","Skeleton Trap Target",,,,"FALSE","TRUE",,,,,,,80,,,"TrapSkeletonGround","TrapSkeletonAir",2,600,150,,,,,,,,,"TRUE",,75,"Trap2","AirTrap"
,2,,,,"troop_trap_land_lvl1_setup","troop_trap_air_lvl1_setup","bomb_upg","bomb_upg","troop_trap_land_lvl1_unarmed","troop_trap_land_lvl1_unarmed",,,,,,,,,,,,,,,5,0,300000,8,,,,,"troop_trap_land_lvl1","troop_trap_air_lvl1",,,,,,,,,,,,,,,,,80,,,,,3,,,,,,,,,,,,,,,
,3,,,,"troop_trap_land_lvl3_setup","troop_trap_air_lvl3_setup","bomb_upg","bomb_upg","troop_trap_land_lvl3_unarmed","troop_trap_land_lvl3_unarmed",,,,,,,,,,,,,,,10,0,800000,9,,,,,"troop_trap_land_lvl3","troop_trap_air_lvl3",,,,,,,,,,,,,,,,,80,,,,,4,,,,,,,,,,,,,,,
,4,,,,"troop_trap_land_lvl3_setup","troop_trap_air_lvl3_setup","bomb_upg","bomb_upg","troop_trap_land_lvl3_unarmed","troop_trap_land_lvl3_unarmed",,,,,,,,,,,,,,,20,0,1100000,10,,,,,"troop_trap_land_lvl3","troop_trap_air_lvl3",,,,,,,,,,,,,,,,,80,,,,,5,,,,,,,,,,,,,,,
"FreezeBomb",1,"TID_TRAP_FREEZE","TID_TRAP_FREEZE_INFO","sc/buildings.sc","Freeze_trap_armed",,"Freeze_trap_armed",,"Freeze_trap_unarmed",,"Freeze_trap_armed","sc/buildings.sc","Trap broken",,300,200,2,2,,,"Generic Hit","TRUE","Gold",,,0,12500,1,,"FALSE",,,"Freeze_trap_trigger",,14,"Generic Pick Up","Generic Placing","Bomb Appear",,5000,100,,"TRUE","TRUE",,,,,,"FreezeTrap",150,,,,,,,,,,,,,,"TRUE",,,,,,
"Ejector2",1,"TID_TRAP_EJECTOR","TID_TRAP_EJECTOR_INFO","sc/buildings.sc","eject_trap_lvl1_setup",,"springtrap_upg",,"eject_trap_lvl1_unarmed",,"ejecttrap_lvl1_info","sc/ui.sc","Trap broken",10,0,70,1,1,"Trap Eject",,"Generic Hit","TRUE","Gold2",,,30,10000,3,,"TRUE",,4,"eject_trap_lvl1",,5,"Generic Pick Up","Generic Placing","Bomb Appear",,,,,"FALSE","TRUE",,,,,,,100,,,,,,,,,,,1,,,,,,,75,,
,2,,,,"eject_trap_lvl2_setup",,"springtrap_upg",,"eject_trap_lvl2_unarmed",,,,,,,,,,,,,,,,1,0,30000,4,,,,6,"eject_trap_lvl2",,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
,3,,,,"eject_trap_lvl2_setup",,"springtrap_upg",,"eject_trap_lvl2_unarmed",,,,,,,,,,,,,,,1,0,0,100000,6,,,,7,"eject_trap_lvl2",,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
,4,,,,"eject_trap_lvl3_setup",,"springtrap_upg",,"eject_trap_lvl3_unarmed",,,,,,,,,,,,,,,2,0,0,300000,8,,,,8,"eject_trap_lvl3",,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
"Pusher",1,"TID_PUSHER","TID_PUSHER_INFO","sc/buildings2.sc","push_trap_lvl1_idle",,"trap_2x2_upg",,"push_trap_lvl1_idle","push_trap_lvl1_unarmed",,,"Trap broken",10,350,100,2,2,"Pusher trigger",,"Generic Hit","TRUE","Gold2",,,2,1000,2,,"TRUE",,8,"push_trap_lvl1",,4,"Generic Pick Up","Generic Placing","Bomb Appear",,,,,"FALSE","TRUE",,,,,,,45,,,,,,,,,,600,1,,,,4,,,25,,
,2,,,,"push_trap_lvl2_idle",,"trap_2x2_upg",,"push_trap_lvl2_idle","push_trap_lvl2_unarmed",,,,,,,,,,,,,,,,5,3000,3,,,,10,"push_trap_lvl2",,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,
,3,,,,"push_trap_lvl3_idle",,"trap_2x2_upg",,"push_trap_lvl3_idle","push_trap_lvl3_unarmed",,,,,,,,,,,,,,,,20,10000,3,,,,12,"push_trap_lvl3",,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,
,4,,,,"push_trap_lvl4_idle",,"trap_2x2_upg",,"push_trap_lvl4_idle","push_trap_lvl4_unarmed",,,,,,,,,,,,,,,2,0,20000,4,,,,14,"push_trap_lvl4",,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,
,5,,,,"push_trap_lvl5_idle",,"trap_2x2_upg",,"push_trap_lvl5_idle","push_trap_lvl5_unarmed",,,,,,,,,,,,,,,4,0,40000,5,,,,16,"push_trap_lvl5",,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,
,6,,,,"push_trap_lvl6_idle",,"trap_2x2_upg",,"push_trap_lvl6_idle","push_trap_lvl6_unarmed",,,,,,,,,,,,,,,12,0,60000,6,,,,18,"push_trap_lvl6",,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,
,7,,,,"push_trap_lvl7_idle",,"trap_2x2_upg",,"push_trap_lvl7_idle","push_trap_lvl7_unarmed",,,,,,,,,,,,,,,16,0,100000,7,,,,20,"push_trap_lvl7",,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,
,8,,,,"push_trap_lvl8_idle",,"trap_2x2_upg",,"push_trap_lvl8_idle","push_trap_lvl8_unarmed",,,,,,,,,,,,,,1,0,0,200000,8,,,,22,"push_trap_lvl8",,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,
,9,,,,"push_trap_lvl9_idle",,"trap_2x2_upg",,"push_trap_lvl9_idle","push_trap_lvl9_unarmed",,,,,,,,,,,,,,1,12,0,300000,9,,,,24,"push_trap_lvl9",,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,
,10,,,,"push_trap_lvl10_idle",,"trap_2x2_upg",,"push_trap_lvl10_idle","push_trap_lvl10_unarmed",,,,,,,,,,,,,,2,0,0,500000,10,,,,26,"push_trap_lvl10",,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,
"AirTrap2",1,"TID_TRAP_AIR2","TID_TRAP_AIR2_INFO","sc/buildings.sc","air_trap_setup",,"air_trap_upg",,"air_trap_unarmed",,"airtrap_lvl1_info","sc/ui.sc","Trap broken",10,300,500,1,1,"Small AirTrap",,"Small AirTrap Explosion","TRUE","Gold2",,,0,10000,1,,"FALSE",,0,"air_trap",,7,"Generic Pick Up","Generic Placing","Bomb Appear",,,,,"TRUE","FALSE",,,"AirTrapBalloon2",,,,,,,,,,,,,,,1,50,"TRUE","TRUE",,,,,,
"AirGroundTrap",1,"TID_ADVANCED_TRAP","TID_ADVANCED_TRAP_INFO","sc/buildings2.sc","advBomb_lvl1","advBomb_lvl1_air","trap_1x1_upg","trap_1x1_upg","advBomb_lvl1_unarmed","advBomb_lvl1_air_unarmed",,,"Trap broken",80,500,400,1,1,"Bomb Exposion",,"Small AirTrap Explosion","TRUE","Gold2",,,10,5000,3,,"FALSE",2,,"advBomb_lvl1_triggered","advBomb_lvl1_air_triggered",17,"Generic Pick Up","Generic Placing","Bomb Appear",,,,,"FALSE","FALSE",,,,,,,300,,,,,,,,,,,1,50,"TRUE",,,"TRUE",,75,,
,2,,,,"advBomb_lvl2","advBomb_lvl2_air","trap_1x1_upg","trap_1x1_upg","advBomb_lvl2_unarmed","advBomb_lvl2_air_unarmed",,,,90,,,,,,,,,,,,30,10000,3,,,,,"advBomb_lvl2_triggered","advBomb_lvl2_air_triggered",,,,,,,,,,,,,,,,,330,,,,,,,,,,,,50,"TRUE",,,,,,,
,3,,,,"advBomb_lvl3","advBomb_lvl3_air","trap_1x1_upg","trap_1x1_upg","advBomb_lvl3_unarmed","advBomb_lvl3_air_unarmed",,,,100,,,,,,,,,,,1,0,15000,3,,,,,"advBomb_lvl3_triggered","advBomb_lvl3_air_triggered",,,,,,,,,,,,,,,,,360,,,,,,,,,,,,50,"TRUE",,,,,,,
,4,,,,"advBomb_lvl4","advBomb_lvl4_air","trap_1x1_upg","trap_1x1_upg","advBomb_lvl4_unarmed","advBomb_lvl4_air_unarmed",,,,110,,,,,,,,,,,2,0,25000,4,,,,,"advBomb_lvl4_triggered","advBomb_lvl4_air_triggered",,,,,,,,,,,,,,,,,390,,,,,,,,,,,,50,"TRUE",,,,,,,
,5,,,,"advBomb_lvl5","advBomb_lvl5_air","trap_1x1_upg","trap_1x1_upg","advBomb_lvl5_unarmed","advBomb_lvl5_air_unarmed",,,,120,,,,,,,,,,,6,0,50000,5,,,,,"advBomb_lvl5_triggered","advBomb_lvl5_air_triggered",,,,,,,,,,,,,,,,,420,,,,,,,,,,,,50,"TRUE",,,,,,,
,6,,,,"advBomb_lvl6","advBomb_lvl6_air","trap_1x1_upg","trap_1x1_upg","advBomb_lvl6_unarmed","advBomb_lvl6_air_unarmed",,,,130,,,,,,,,,,,12,0,80000,6,,,,,"advBomb_lvl6_triggered","advBomb_lvl6_air_triggered",,,,,,,,,,,,,,,,,450,,,,,,,,,,,,50,"TRUE",,,,,,,
,7,,,,"advBomb_lvl7","advBomb_lvl7_air","trap_1x1_upg","trap_1x1_upg","advBomb_lvl7_unarmed","advBomb_lvl7_air_unarmed",,,,140,,,,,,,,,,1,0,0,120000,7,,,,,"advBomb_lvl7_triggered","advBomb_lvl7_air_triggered",,,,,,,,,,,,,,,,,480,,,,,,,,,,,,50,"TRUE",,,,,,,
,8,,,,"advBomb_lvl8","advBomb_lvl8_air","trap_1x1_upg","trap_1x1_upg","advBomb_lvl8_unarmed","advBomb_lvl8_air_unarmed",,,,150,,,,,,,,,,1,12,0,250000,8,,,,,"advBomb_lvl8_triggered","advBomb_lvl8_air_triggered",,,,,,,,,,,,,,,,,510,,,,,,,,,,,,50,"TRUE",,,,,,,
,9,,,,"advBomb_lvl9","advBomb_lvl9_air","trap_1x1_upg","trap_1x1_upg","advBomb_lvl9_unarmed","advBomb_lvl9_air_unarmed",,,,165,,,,,,,,,,2,0,0,500000,9,,,,,"advBomb_lvl9_triggered","advBomb_lvl9_air_triggered",,,,,,,,,,,,,,,,,540,,,,,,,,,,,,50,"TRUE",,,,,,,
