"Name","TID","InfoTID","DisableProduction","SpellForgeLevel","LaboratoryLevel","DonateCost","HousingSpace","TrainingTime","DeployTimeMS","ChargingTimeMS","HitTimeMS","UpgradeTimeH","UpgradeResource","UpgradeCost","BoostTimeMS","SpeedBoost","SpeedBoost2","JumpHousingLimit","JumpBoostMS","DamageBoostPercent","BuildingDamageBoostPercent","Damage","TroopDamagePermil","BuildingDamagePermil","ExecuteHealthPermil","DamagePermilMin","PreferredDamagePermilMin","Radius","NumberOfHits","RandomRadius","TimeBetweenHitsMS","IconSWF","IconExportName","BigPicture","PreDeployEffect","DeployEffect","DeployEffect2Delay","DeployEffect2","ChargingEffect","HitEffect","RandomRadiusAffectsOnlyGfx","FreezeTimeMS","SpawnObstacle","NumObstacles","StrengthWeight","ProductionBuilding","TargetInfoString","PreferredTarget","PreferredTargetDamageMod","HeroDamageMultiplier","ShieldProjectileSpeed","ShieldProjectileDamageMod","ExtraHealthPermil","ExtraHealthMin","ExtraHealthMax","PoisonDPS","PoisonIncreaseSlowly","AttackSpeedBoost","BoostLinkedToPoison","PoisonAffectAir","ScaleDeployEffects","ShieldTime","ShieldProtectionPercent","MaxUnitsHit","EnemyDeployEffect","SnapToGrid","DuplicateHousing","DuplicateLifetime","SummonTroop","UnitsToSpawn","ShrinkReduceSpeedRatio","ShrinkHitpointsRatio","SpawnDuration","SpawnFirstGroupSize","DamageTHPercent","DisableDonate","ScaleByTH","EnabledByCalendar","VillageType","PauseCombatComponentsMs","UpgradeLevelByTH","ChangeTeamTime","InvisibilityTime","FreezeOuterTimeMS","ConeAngle","FreezePercent","MinRadius","MinDamage","StunTimeMS","IsTornado","ChainSpell","AffectsSiegeMachines","BoostDefenders","ImmunitySiegeMachines","ImmunityOtherCharacters","ImmunityTH_CC","ImmunityStorages","ImmunityWalls","ImmunityOtherBuildings","CapitalAttackCount","DestroyWalls","GraveyardHousing","GraveyardGroundUnit","GraveyardAirUnit","GraveyardUnitHousing","InactiveEffect"
"Capital Frost","TID_CAPITAL_FROST","TID_CAPITAL_FROST_INFO",,,,,4,,800,300,400,,,,0,0,0,,,,,0,,,,,,420,0,300,1000,"sc/ui.sc","icon_spell_cc_frost","icon_spell_cc_frost","Capital Frost Predeploy","Capital Frost",,,,,"TRUE",2000,,,1000,"Frost Spell Factory","TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,2000,,50,,,,,,"TRUE",,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capital Rage","TID_HASTE","TID_HASTE_INFO",,,,,3,,800,300,400,,,,1000,10,5,,,70,,0,,,,,,450,0,400,300,"sc/ui.sc","icon_spell_cc_rage","icon_spell_cc_rage","Capital Rage Predeploy","Capital Rage",,,,,"TRUE",,,,100,"Rage Spell Factory","TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,"TRUE",,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,12,6,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,14,7,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,16,8,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,18,9,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TroopRage",,,"TRUE",,,,,,,0,0,,,,8000,12,12,,,70,,0,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TroopHaste",,,"TRUE",,,,,,,0,0,,,,4000,38,19,,,,,0,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blast Bow Strike",,,"TRUE",,,,,,,0,0,,,,0,0,0,,,,,300,,,,,,350,1,0,0,,,,,,,,,"Blast Bow Hit","TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,90,,20,50,,,,"TRUE",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,
"CapitalFortressSpawner",,,"TRUE",,,,,,,0,0,,,,0,0,0,,,,,0,,,,,,150,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skeleton",22,,,0,0,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DestroyWalls",,,"TRUE",,,,,,,0,300,,,,0,0,0,,,,,0,,,,,,200,4000,0,300,,,,,,,,,,"TRUE",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,
"Unused1","TID_HASTE","TID_HASTE_INFO","TRUE",,,,2,,800,300,400,,,,,,,,,,,0,,,,,,450,250,400,1000,"sc/ui.sc","icon_spell_cc_rage","icon_spell_cc_rage","Capital Rage Predeploy","Capital Rage",,,,,"TRUE",,,,100,,"TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,,"Skeleton",1,,,900,1,,"TRUE",,,,,,,,,,,,,,,,"TRUE",,,,,,,,1,,,,,,
"Capital Graveyard","TID_CAPITAL_GRAVEYARD_SPELL","TID_CAPITAL_GRAVEYARD_INFO",,,,,2,,800,300,400,,,,,,,,,,,0,,,,,,320,0,150,300,"sc/ui.sc","icon_spell_cc_graveyard","icon_spell_cc_graveyard","Capital Graveyard Predeploy","Capital Graveyard",,,,,"FALSE",,,,100,"Graveyard Spell Factory","TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,"TRUE",,,,,,,,1,,63,"ShieldedSkeleton","SkeletonAir",3,"Capital Graveyard inactive"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,
"Unused2","TID_HASTE","TID_HASTE_INFO","TRUE",,,,2,,800,300,400,,,,,,,,,,,0,,,,,,450,250,400,1000,"sc/ui.sc","icon_spell_cc_rage","icon_spell_cc_rage","Capital Rage Predeploy","Capital Rage",,,,,"TRUE",,,,100,,"TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,,"Skeleton",1,,,900,1,,"TRUE",,,,,,,,,,,,,,,,"TRUE",,,,,,,,1,,,,,,
