"Name","TID","InfoTID","ShortTID","SWF","ExportName","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","BuildResource","BuildCost","AttackRange","AttackSpeed","DPS","CoolDownOverride","AttackEffect","AttackEffect2","HitEffect","Projectile","AirTargets","GroundTargets","MultiTargets","NumMultiTargets","PushBack","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","DieDamageSpell","StrengthWeight","ActivationEffect","SpellOnDamage","DamageToTriggerSpell","SpellOnDamageCount","SelfAsAoeCenter","CustomTargetHitBuildingInRange","CopyOwnerUpgradeLevel","AttackCenterOnDeath","HighlightEffectRed","HighlightEffectGreen","HighlightEffectBlue"
,,,,,"town_hall_lvl13_t4",6,18,0,,,11200000,1000,128,275,,"TH13 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,1000,400,"Super_Bomb",1600,,550,"TH13_inferno_activate",,,,,,,,,,
,,,,,"town_hall_lvl13_t5",8,6,0,,,13500000,1000,128,300,,"TH13 Attack 2",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,1000,400,"Super_Bomb",1600,,550,"TH13_inferno_activate",,,,,,,,,,
"Townhall14","TID_WEAPON_TOWN_HALL_14","TID_WEAPON_TOWN_HALL_14_INFO",,"sc/buildings.sc","town_hall_lvl14_t1",0,0,0,0,"Gold",0,1000,128,300,,"TH14 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,120,1000,400,"Super_Bomb",1600,"TH14Poison",650,"TH13_inferno_activate",,,,,,,,,,
,,,,,"town_hall_lvl14_t2",8,12,0,0,,8500000,1000,128,300,,"TH14 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,1000,400,"Super_Bomb",1600,,670,"TH13_inferno_activate",,,,,,,,,,
,,,,,"town_hall_lvl14_t3",10,12,0,0,,10500000,1000,128,300,,"TH14 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,1000,400,"Super_Bomb",1600,,690,"TH13_inferno_activate",,,,,,,,,,
,,,,,"town_hall_lvl14_t4",12,6,0,,,12300000,1000,128,300,,"TH14 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,1000,400,"Super_Bomb",1600,,710,"TH13_inferno_activate",,,,,,,,,,
,,,,,"town_hall_lvl14_t5",13,6,0,,,14200000,1000,128,300,,"TH14 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,1000,400,"Super_Bomb",1600,,750,"TH13_inferno_activate",,,,,,,,,,
"GoblinBossTH","TID_WEAPON_TOWN_HALL","TID_TOWN_HALL_WEAPON_INFO",,"sc/buildings.sc","goblin_boss_attack",,,,,,,1100,1100,300,,"Bomb Tower Throw Start",,"Bomb Tower Hit","Bomb Tower Ammo1","FALSE","TRUE","TRUE",,,,,,,,,,,,,,,,,,,
"Townhall15","TID_WEAPON_TOWN_HALL_14","TID_WEAPON_TOWN_HALL_14_INFO",,"sc/buildings.sc","town_hall_lvl15_t1",0,0,0,0,"Gold",0,1000,128,300,,"TH15 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,120,1000,400,"Super_Bomb",1600,"TH15Poison",750,"TH13_inferno_activate",,,,,,,,,,
,,,,,"town_hall_lvl15_t2",9,0,0,0,,10000000,1000,128,310,,"TH15 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,1000,400,"Super_Bomb",1600,,780,"TH13_inferno_activate",,,,,,,,,,
,,,,,"town_hall_lvl15_t3",11,0,0,0,,12000000,1000,128,310,,"TH15 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,1100,400,"Super_Bomb",1600,,810,"TH13_inferno_activate",,,,,,,,,,
,,,,,"town_hall_lvl15_t4",13,0,0,,,14000000,1000,128,320,,"TH15 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,1100,400,"Super_Bomb",1600,,840,"TH13_inferno_activate",,,,,,,,,,
,,,,,"town_hall_lvl15_t5",14,0,0,,,16000000,1000,128,320,,"TH15 Attack 1",,"Dark Tower Hit",,"TRUE","TRUE","TRUE",4,,1100,450,"Super_Bomb",1600,,870,"TH13_inferno_activate",,,,,,,,,,
"Unused","TID_WEAPON_TOWN_HALL","TID_TOWN_HALL_WEAPON_INFO",,"sc/buildings.sc","goblin_th02",0,0,0,0,"Gold",0,1000,200,150,,"Goblin Townhall Attack",,"Generic Hit","Goblin Townhall Arrow","TRUE","TRUE","TRUE",3,,,,,,,800,"Goblin Townhall Activate",,,,,,,,,,
"SpellTowerInvisibility","TID_WEAPON_INVISIBILITY_SPELL","TID_BUILDING_SPELL_TOWER_INFO","TID_INVISIBILITY_TOWER_SHORT","sc/buildings.sc","spell_tower_lvl1_invisibility",0,0,0,0,"Gold",0,450,40000,1,38800,,,,"SpellTowerInvisibilityProjectile","TRUE","TRUE",,,,,,,,,,,,,,"TRUE","TRUE","TRUE","TRUE",0,210,180
,,,,,"spell_tower_lvl2_invisibility",0,0,0,0,"Gold",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"spell_tower_lvl3_invisibility",0,0,0,0,"Gold",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SpellTowerPoison","TID_WEAPON_POISON_SPELL","TID_BUILDING_SPELL_TOWER_INFO","TID_POISON_TOWER_SHORT","sc/buildings.sc","spell_tower_lvl1_poison",0,0,0,0,"Gold",0,900,60000,1,58800,,,,"SpellTowerPoisonProjectile","TRUE","TRUE",,,,,,,,,,,,,,,,"TRUE","TRUE",,,
,,,,,"spell_tower_lvl2_poison",0,0,0,0,"Gold",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"spell_tower_lvl3_poison",0,0,0,0,"Gold",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SpellTowerRage","TID_WEAPON_RAGE_SPELL","TID_BUILDING_SPELL_TOWER_INFO","TID_RAGE_TOWER_SHORT","sc/buildings.sc","spell_tower_lvl1_rage",0,0,0,0,"Gold",0,900,50000,1,48800,,,,"SpellTowerRageProjectile","TRUE","TRUE",,,,,,,,,,,,,,"TRUE",,"TRUE","TRUE",230,0,230
,,,,,"spell_tower_lvl2_rage",0,0,0,0,"Gold",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"spell_tower_lvl3_rage",0,0,0,0,"Gold",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
