"Name","Level","TID","InfoTID","InfoScreenAttribute1","InfoScreenAttribute1Divider","Animation","IconExportName","BigPicture","BigPictureSWF","AttackRange","AttackSpeed","DPS","DamageRadius","DieDamage","CoolDownOverride","IsJumper","SmoothJump","JumpHeightPercentage","FrostOnHitTime","FrostOnHitPercent","AttackEffect","HitEffect","AbilityEffect","ActivationEffect","PreActivationDelayEffect","PreDeactivationDelayEffect","Projectile","Speed","AirTargets","GroundTargets","MultiTargets","NumMultiTargets","PushBack","SpellOnDamage","AuraSpell","AuraSpellLevel","IncreasingDamage","ProjectileBounces","ChainShootingDistance","ChainAttackDistance","ChainAttackMaxTargets","ChainAttackDelay","ChainAttackDamageReductionPercent","ChainAttackEffect","PreAttackEffect","ReflectsDamage","IgnoreObstacles","SelfSpell","SelfSpellLevel","ShieldProtectionPercent","IsInvisible","HealOnActivation","GiveAbilityToCharacter","GivenAbility","GivenAbilityTargetsOwner","ProjectileOnActivation","ProjectileOnActivationDirection","PreActivationDelayTime","PreDeactivationDelayTime","ActiveAfterTime","ActiveAfterPlayerInput","ActiveAfterTakingDamage","ActiveOnExtraPowerLevel","ActivationCooldown","MaxActivations","ActivationCanOverrideActiveAbility","SimulatePlayerInputOnDeath","DeactivateAfterTime","DeactivateAfterNumberOfHits","DeactivateAfterTakingDamage","DeactivateAfterPlayerInput","TriggerCooldownOnDeactivation","HideOnActivationClipName"
,10,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bomber Bouncing Bomb",1,"TID_BOMBER_ABILITY","TID_BOMBER_ABILITY_HELP",80,,"Bomber 1 (ability)",,,,350,250,320,160,,,,,,,,,,,,,,"BomberBouncingBombProjectile",,,,,,,,,,,3,400,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,22000,,,,,1,,,,"ability_on"
,2,,,100,,"Bomber 1 (ability)",,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,120,,"Bomber 2 (ability)",,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,140,,"Bomber 3 (ability)",,,,,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,160,,"Bomber 4 (ability)",,,,,,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,180,,"Bomber 5 (ability)",,,,,,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,200,,"Bomber 6 (ability)",,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,220,,"Bomber 7 (ability)",,,,,,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,240,,"Bomber 8 (ability)",,,,,,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baby Dragon Flaming Sneeze",1,"TID_CHARACTER_BABY_DRAGON_ACTIVE","TID_CHARACTER_BABY_DRAGON_ACTIVE_INFO",100,,"Baby Dragon 1 BB (ability used)",,,,,,,,,,,,,,,,,,"prototype_baby_dragon_spit_effect_2",,,,,,,,,,,,,,,,,,,,,,,,"Baby Dragon Flaming Sneeze",1,,,,,,,,,100,750,,"TRUE",,,,1,,"TRUE",1,,,,,"spitfire_flame"
,2,,,160,,"Baby Dragon 3 BB (ability used)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,275,,"Baby Dragon 5 BB (ability used)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,400,,"Baby Dragon 6 BB (ability used)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,550,,"Baby Dragon 8 BB (ability used)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
"Cannon Cart Mortar Mode",1,"TID_CANNON_CART_MORTAR_MODE","TID_CANNON_CART_MORTAR_MODE_UPGRADE_INFO",150,,"Cannon Cart 1 (Mortar mode)","icon_unit_moving_cannon_mortar_b","unit_movingCannon_big_02","sc/info_moving_cannon.sc",850,2500,,,,,,,,,,,,,,"CannonMortarGroundDeploySmoke",,"Cannon Cart Mortar Mode Projectile1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,800,,"TRUE",,,800,,,,800,,,"TRUE","TRUE",
,2,,,170,,"Cannon Cart 1 (Mortar mode)",,,,,,,,,,,,,,,,,,,,,"Cannon Cart Mortar Mode Projectile2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,195,,"Cannon Cart 1 (Mortar mode)",,,,,,,,,,,,,,,,,,,,,"Cannon Cart Mortar Mode Projectile3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,225,,"Cannon Cart 2 (Mortar mode)",,,,,,,,,,,,,,,,,,,,,"Cannon Cart Mortar Mode Projectile4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,255,,"Cannon Cart 2 (Mortar mode)",,,,,,,,,,,,,,,,,,,,,"Cannon Cart Mortar Mode Projectile5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,285,,"Cannon Cart 3 (Mortar mode)",,,,,,,,,,,,,,,,,,,,,"Cannon Cart Mortar Mode Projectile6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,325,,"Cannon Cart 4 (Mortar mode)",,,,,,,,,,,,,,,,,,,,,"Cannon Cart Mortar Mode Projectile7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,360,,"Cannon Cart 5 (Mortar mode)",,,,,,,,,,,,,,,,,,,,,"Cannon Cart Mortar Mode Projectile8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boxer Giant Block",1,"TID_CHARACTER_GIANT_ACTIVE","TID_CHARACTER_GIANT_ACTIVE_INFO",5000,1000,"Boxer Giant 1 (ability used)",,,,,,,,,,,,,,,,,"GiantShieldBubbleAbility",,"GiantShieldBubblePredeploy",,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,800,,,"TRUE",,,,1,,"TRUE",5000,,,,,"ability"
,2,,,6000,1000,"Boxer Giant 2 (ability used)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,,,,,
,3,,,7000,1000,"Boxer Giant 3 (ability used)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,,,,,
,4,,,7500,1000,"Boxer Giant 4 (ability used)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500,,,,,
,5,,,8000,1000,"Boxer Giant 5 (ability used)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,,,,,
"Power PEKKA Overcharge",1,"TID_PEKKA2_ABILITY_NAME","TID_CHARGED_PEKKA_ABILITY_HELP",920,,"Power PEKKA 1 (ability used)",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Power PEKKA Overcharge",1,,,,,,,,,800,500,,"TRUE",,,,1,,"TRUE",,,,,,"ability"
,2,,,1060,,"Power PEKKA 2 (ability used)",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,1200,,"Power PEKKA 3 (ability used)",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,1350,,"Power PEKKA 4 (ability used)",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,1500,,"Power PEKKA 5 (ability used)",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
"prototype_black_witch",1,"TID_CHARACTER_RAM_RIDER_CHARGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,"Bat","prototype_bat_heal_witch","TRUE",,,,,,"TRUE",,,30000,,,,4000,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,4000,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,4000,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,4000,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,4000,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,4000,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,4000,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,4000,,,,,
,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,4000,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,4000,,,,,
,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,4000,,,,,
,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,4000,,,,,
,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,4000,,,,,
,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,4000,,,,,
,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,4000,,,,,
,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,4000,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,4000,,,,,
,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,4000,,,,,
,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,4000,,,,,
,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,4000,,,,,
"prototype_bat_heal_witch",1,"TID_CHARACTER_RAM_RIDER_CHARGE",,,,,,,,10,300,-1,,,,,,,,,"Unicorn Hit",,,,,,"UnicornHealEnergy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
,2,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wizard Lightning Mode",1,"TID_ELECTROFIRE_WIZ_ELECTRO_MODE","TID_ELECTROFIRE_WIZ_ELECTRO_MODE_UPGRADE_INFO",200,,"Electro_Fire_Wizard_1_Lightning","icon_unit_electrofire_wizard_electro","unit_electrofire_wizard_electro","sc/info_electrofire_wizard.sc",,3500,200,,,,,,,,,"Electro Dragon Attack","Mega Tesla Hit","ElectroFireWizard_Lightning",,,"ElectroFireWizard_Inferno",,,,,,,,,,,"FALSE",,,300,4,128,20,"Electro Dragon Attack Chain","Electro Dragon Pre Attack",,,,,,,,,,,,,,10,,"TRUE",,,1500,,,,1500,,,"TRUE","TRUE",
,2,,,218,,"Electro_Fire_Wizard_1_Lightning",,,,,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,234,,"Electro_Fire_Wizard_2_Lightning",,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drop Ship Bomb",1,"TID_CHARACTER_RAM_RIDER_CHARGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drop Ship Skeleton Bomb",1,,,,,,,,,250,200,,"TRUE",,,,1,,"TRUE",,,,,,"projectile_bomb"
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
"Battle Copter Dive 1",1,"TID_HERO_ABILITY_BATTLE_COPTER",,,,,,,,250,200,898,50,,,,,,,,,"Battle Copter Bomb Blast lvl 1",,,,,"BattleCopterBombProjectile",800,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,500,400,,"TRUE",,1,14000,,,"TRUE",,1,,,,
,2,,,,,,,,,,,1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,1397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,1596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,,,,
"Battle Copter Dive 2",1,"TID_HERO_ABILITY_BATTLE_COPTER",,,,,,,,250,200,1371,200,,,,,,,,,"Battle Copter Bomb Blast lvl 2",,,,,"BattleCopterBombProjectile",800,,,,,,,,,,,,,,,,,,,,,,,,1100,,,,,,500,400,,"TRUE",,2,14000,,,"TRUE",,1,,,,
,2,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,2132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,2436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,
"Battle Copter Dive 3",1,"TID_HERO_ABILITY_BATTLE_COPTER",,,,,,,,250,200,1843,400,,,,,,,,,"Battle Copter Bomb Blast lvl 3",,,,,"BattleCopterBombProjectile",800,,,,,,,,,,,,,,,,,,,,,,,,1650,,,,,,500,400,,"TRUE",,3,14000,,,"TRUE",,1,,,,
,2,,,,,,,,,,,2151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,2457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,2867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1875,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,3276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,,,,,,,,,,,,,,,,,,,,,
"Battle Machine Electric Hammer 1",1,"TID_HERO_ABILITY_WARMACHINE_TITLE",,,,,,,,125,1200,360,,,,,,,,,,"Warmachine Power Hit","Warmachine Ability Effect","Warmachine Hammer Charge",,,,200,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,400,256,,"TRUE",,1,14000,,"TRUE","TRUE",,3,,,,
,2,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,
"Battle Machine Electric Hammer 2",1,"TID_HERO_ABILITY_WARMACHINE_TITLE",,,,,,,,125,1200,585,,,,,,,,,,"Warmachine Power Hit","Warmachine Ability Effect","Warmachine Hammer Charge",,,,200,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,,400,256,,"TRUE",,2,14000,,"TRUE","TRUE",,3,,,,
,2,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,715,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2,128,50,"Electro Dragon Attack Chain","Electro Dragon Pre Attack",,,,,,,1800,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,,,,,,,,,,,,,
"Battle Machine Electric Hammer 3",1,"TID_HERO_ABILITY_WARMACHINE_TITLE",,,,,,,,125,1200,810,,,,,,,,,,"Warmachine Power Hit","Warmachine Ability Effect","Warmachine Hammer Charge",,,,200,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,,400,256,,"TRUE",,3,14000,,"TRUE","TRUE",,3,,,,
,2,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,3,128,30,"Electro Dragon Attack Chain","Electro Dragon Pre Attack",,,,,,,2700,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3150,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,,,,,,,,,,,,,,,,,,,,,
