"Name","SWF","ExportName","ParticleEmitter","AltParticleEmitter","EmitterDelayMs","IsoLayer","CameraShake","CameraShakeTimeMS","CameraShakeInReplay","AttachToParent","OrientToParent","SortInFrontOfParent","DestroyWhenParentDies","DetachAfterStart","Targeted","Looping","Beam","SpawnLimit","MinLifeTime","Sound","Volume","MinPitch","MaxPitch","SoundDelay","StopSound","PitchIncrease","FadeMusic","OffsetFromGunBone","AttachLocator","OffsetX","OffsetY","OffsetZ","Scale","LifeTimeScale","MaxInstances","SpawnEffect","SpawnEffectDelay","FadeIn","FadeOut","ParticleEmitter3D"
,,,"AirDefenceMini2_hit2",,0,,,,,,,,,,,,,,,"sfx/air_def_hit_02.ogg",30,130,150,,,,,,,,,,,,,,,,,
,,,"AirDefenceMini2_hit3",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenceMini2_hit4",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Defence Mini hit3",,,"AirDefenceMini3_hit1",,0,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/air_def_hit_02.ogg",30,130,150,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,"AirDefenceMini3_hit2",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenceMini3_hit3",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenceMini3_hit4",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Defence Pickup",,,"Grass",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/air_def_pickup_03.ogg",80,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Air Defence Placing",,,"Place",,0,"Objects",0,0,"false","true","false","false","false","false","false","false","false",0,0,"sfx/air_defense_place_01.ogg",70,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,"Grass",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Defense Barrel Hit",,,"AirDefenseBarrel_flash",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/cannon_fire3.ogg",80,95,105,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,"AirDefenseBarrel_Fire_explosion",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenseBarrel_Fire_balls",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenseBarrel_mushcloud",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenseBarrel_spark",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenseBarrel_dustring",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenseBarrel_bomb_area",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alliance",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/alliance_jingle_v2.ogg",90,75,75,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Alliance Castle Pickup",,,"Grass",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/alliance_build_pickup_03.ogg",80,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Alliance Castle Placing",,,"Place",,0,"Objects",0,0,"false","true","false","false","false","false","false","false","false",0,0,"sfx/alliance_build_drop_04.ogg",80,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,"Grass",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AmazonQ ability hit",,,"Spark Trail",,0,"Objects",0,0,"false","true","false","false","false","false","false","false","false",0,0,"sfx/rg_atk_hit_01.ogg",80,95,105,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,"javelin_hit",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"javelin_hit_sharp",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_hit2",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_hit3",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_hit4",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ancient Hit",,,"doom_crater",,0,"Ground",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/ancient_explo_01.ogg",90,95,105,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,"doom_blast_top",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Angry Baby Dragon",,,,,,"Objects",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/angry_dragon_01.ogg",80,95,95,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Apprentice Growth aura",,,"growth_aura_glow",,0,"Ground",0,0,"false","false","false","false","true","false","false","true","false",0,0,,,,,0,"false",0,"false","false",,0,0,0,700,100,0,,,0,250,
,,,"growth_aura_ring",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ApprenticeWarden Attack",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/apprentice_warden_attack_01.ogg",100,90,110,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"ApprenticeWarden Deploy",,,"Deploy",,0,"Objects",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/apprentice_warden_deploy_01.ogg",70,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"ApprenticeWarden Die",,,"Splat",,0,"Top",0,0,"false","true","false","false","false","false","false","false","false",0,0,"sfx/apprentice_warden_death.ogg",70,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"ApprenticeWarden Hit",,,"Hit",,0,"Objects",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/arrow_hit_12.ogg",100,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,"Apprentice_Warden_projectile1_hit1",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Apprentice_Warden_projectile1_hit2",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ApprenticeWarden_PreAttack_SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,750,"sfx/apprentice_warden_preattack_01.ogg",100,90,110,750,"true",0,"false","false",,0,0,0,100,100,0,,,0,0,
"AQ_Spooky_Atk_Mute",,,"ArcherQueen_attack",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,,,,,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"AQ_Spooky_Atk_SFX",,,,,,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/aq_spooky_atk_01_dl_opt.ogg",80,100,100,0,"true",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,,,,,,,,,,,,,,,,,,"sfx/aq_spooky_atk_02_dl_opt.ogg",80,100,100,,,,,,,,,,,,,,,,,
"AQ_Spooky_Cheer_SFX",,,,,,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,3750,"sfx/aq_spooky_cheer_01_dl_opt.ogg",90,100,100,0,"true",0,"false","false",,0,0,0,100,100,0,,,0,0,
"AQ_Spooky_Deploy",,,,,,"Objects",10,100,"true","false","false","false","false","false","false","false","false",0,0,"sfx/aq_spooky_dep_01_dl_opt.ogg",90,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"AQ_Spooky_Die",,,"Mortar_lightFlash",,0,"Top",100,1000,"true","false","false","false","false","false","false","false","false",0,0,"sfx/aq_spooky_stunned_01_dl_opt.ogg",90,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,"Ring",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Place",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"MortarHit_lvl6",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_die_force",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Grass",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Grass",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AQ_Spooky_Menu_SFX",,,,,,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,6500,"sfx/aq_spooky_menu_01_dl_opt.ogg",90,100,100,0,"true",0,"false","false",,0,0,0,100,100,0,,,0,0,
"AQ_Spooky_Stunned_SFX",,,,,,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/aq_spooky_stunned_01_dl_opt.ogg",90,100,100,0,"true",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Archer Attack",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/arrow_hit_07.ogg",50,90,110,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,,,,,,,,,,,,,,,,,,"sfx/arrow_hit_07v2.ogg",50,90,110,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"sfx/arrow_hit_07v3.ogg",50,90,110,,,,,,,,,,,,,,,,,
"Archer Deploy",,,"Deploy",,0,"Objects",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/archer_deploy_09.ogg",70,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,,,,,,,,,,,,,,,,,,"sfx/archer_deploy_09v2.ogg",70,100,100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"sfx/archer_deploy_09v3.ogg",70,100,100,,,,,,,,,,,,,,,,,
"Archer Die",,,"Splat",,0,"Top",0,0,"false","true","false","false","false","false","false","false","false",0,0,"sfx/archer_death_05.ogg",30,95,105,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,,,,,,,,,,,,,,,,,,"sfx/archer_death_05v2.ogg",30,95,105,,,,,,,,,,,,,,,,,
"Archer Hit",,,"Hit",,0,"Objects",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/arrow_hit_12.ogg",50,90,110,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Archer Queen Deploy",,,,,,"Objects",10,100,"true","false","false","false","false","false","false","false","false",0,0,"sfx/archer_queen_deploy_01.ogg",90,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Archer Queen Die",,,"Mortar_lightFlash",,0,"Top",100,1000,"true","false","false","false","false","false","false","false","false",0,0,"sfx/archer_queen_die_01.ogg",80,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,"Ring",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Place",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"MortarHit_lvl6",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_die_force",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Grass",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Grass",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Archer Queen Hit",,,"hero_arrow_trail1",,0,"Objects",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/explosive_arrow_01v2.ogg",65,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,"hero_hit2",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_hit3",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_hit4",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Arrow_Tower_lightFlash",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"xmas_fun2",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Archer Queen Painter Atk SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/Archer_Queen_Painter_Attack_dl_opt.ogg",70,100,100,0,"true",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Archer Queen Painter Cheer SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,3000,"sfx/Archer_Queen_Painter_Cheer_dl_opt.ogg",90,100,100,0,"true",0,"true","false",,0,0,0,100,100,0,,,0,0,
"Archer Queen Painter Menu SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,10000,"sfx/Archer_Queen_Painter_Menu_dl_opt.ogg",90,100,100,0,"true",0,"true","false",,0,0,0,100,100,0,,,0,0,
"Archer Queen Scream",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,,,,,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Archer2 Attack",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/new_archer_atk_01.ogg",50,98,102,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,,,,,,,,,,,,,,,,,,"sfx/new_archer_atk_02.ogg",50,98,102,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"sfx/new_archer_atk_03.ogg",50,98,102,,,,,,,,,,,,,,,,,
"Archer2 Deploy",,,"Deploy",,0,"Objects",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/crowwbow_archer_01.ogg",70,98,102,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,,,,,,,,,,,,,,,,,,"sfx/crowwbow_archer_02.ogg",70,98,102,,,,,,,,,,,,,,,,,
"Archer2 Die",,,"Splat",,0,"Top",0,0,"false","true","false","false","false","false","false","false","false",0,0,"sfx/archer_death_05.ogg",30,95,105,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,,,,,,,,,,,,,,,,,,"sfx/archer_death_05v2.ogg",30,95,105,,,,,,,,,,,,,,,,,
"Archer2 Hit",,,"Hit",,0,"Objects",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/new_archer_impact_01.ogg",40,90,110,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Archer_Champ_Wardrobe_Sfx",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,4700,"sfx/champion_archer_wardrobe_01.ogg",90,100,100,0,"true",0,"false","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueen Attack",,,"ArcherQueen_attack",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/archer_queen_attack_02.ogg",80,95,105,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,,,,,,,,,,,,,,,,,,"sfx/archer_queen_attack_01.ogg",80,95,105,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"sfx/archer_queen_attack_01.ogg",80,95,105,,,,,,,,,,,,,,,,,
"ArcherQueen_Dark_Age_Atk_SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/Archer_Queen_DarkAge_Attack_dl_opt.ogg",70,100,100,0,"true",0,"false","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueen_Dark_Age_Cheer_SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,3000,"sfx/Archer_Queen_DarkAge_Cheer_v2_dl_opt.ogg",80,100,100,0,"true",0,"true","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueen_Dark_Age_Menu_SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,10000,"sfx/Archer_Queen_DarkAge_Menu_v3_dl_opt.ogg",90,100,100,0,"true",0,"true","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueen_League_Atk_SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/ArcherQueen_League_Attack_dl_opt.ogg",70,100,100,0,"true",0,"false","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueen_League_Cheer_SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,3000,"sfx/ArcherQueen_League_Cheer_dl_opt.ogg",90,100,100,0,"true",0,"true","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueen_League_Deploy_SFX",,,,,,"Objects",10,100,"true","false","false","false","false","false","false","false","false",0,0,"sfx/ArcherQueen_League_Deploy_dl_opt.ogg",90,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueen_League_Menu_SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,9000,"sfx/ArcherQueen_League_Menu_dl_opt.ogg",90,100,100,0,"true",0,"true","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueen_Lunar23_Atk_SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/Archer_Queen_LNY_2023_Attack_dl_opt.ogg",70,100,100,0,"true",0,"false","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueen_Lunar23_Cheer_SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,3000,"sfx/Archer_Queen_LNY_2023_Cheer_dl_opt.ogg",80,100,100,0,"true",0,"true","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueen_Lunar23_Deploy_SFX",,,,,,"Objects",10,100,"true","false","false","false","false","false","false","false","false",0,0,"sfx/Archer_Queen_LNY_2023_Deploy_dl_opt.ogg",80,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueen_Lunar23_Menu_SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,9000,"sfx/Archer_Queen_LNR_2023_Menu_dl_opt.ogg",90,100,100,0,"true",0,"true","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueen_Valentine_Atk_SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/ArcherQueen_Valentine_Attack_dl_opt.ogg",70,100,100,0,"true",0,"false","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueen_Valentine_Cheer_SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,3000,"sfx/ArcherQueen_Valentine_Cheer_dl_opt.ogg",90,100,100,0,"true",0,"true","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueen_Valentine_Deploy_SFX",,,,,,"Objects",10,100,"true","false","false","false","false","false","false","false","false",0,0,"sfx/ArcherQueen_Valentine_Deploy_dl_opt.ogg",80,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueen_Valentine_Menu_SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,9000,"sfx/ArcherQueen_Valentine_Menu_dl_opt.ogg",90,100,100,0,"true",0,"true","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueenGoblin_Atk_SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/Archer_Queen_Goblin_Attack_dl_opt.ogg",70,95,105,0,"true",0,"false","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueenGoblin_Cheer_SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,3000,"sfx/Archer_Queen_Goblin_Cheer_dl_opt.ogg",80,100,100,0,"true",0,"true","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueenGoblin_Menu_SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,6000,"sfx/Archer_Queen_Goblin_Menu_dl_opt.ogg",90,100,100,0,"true",0,"true","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueenTH15Skin_Atk_SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/Archer_Queen_TH15_Attack_dl_opt.ogg",70,95,105,0,"true",0,"false","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueenTH15Skin_Cheer_SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,3000,"sfx/Archer_Queen_TH15_Cheer_dl_opt.ogg",70,95,105,0,"true",0,"true","false",,0,0,0,100,100,0,,,0,0,
"ArcherQueenTH15Skin_Menu_SFX",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,10000,"sfx/Archer_Queen_TH15_Menu_dl_opt.ogg",90,100,100,0,"true",0,"true","false",,0,0,0,100,100,0,,,0,0,
"Artillery Attack",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/ancient_fire_02.ogg",85,95,105,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Artillery Hit",,,"Explosion_flash",,0,"Objects",60,700,"true","true","false","false","false","false","false","false","false",0,0,"sfx/mortar_hit_01.ogg",80,95,105,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,"Fire_explosion",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Fire_balls",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Stone_explosion",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"ArtilleryHit_mushcloud",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"ArtilleryHit_spark",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"ArtilleryHit_dustring",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Artillery Load",,,"Smoke",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/mech_eagle_reload_01.ogg",80,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Artillery No Ammo",,,"Dust2",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/mech_eagle_sad_no_ammo_01.ogg",80,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Artillery Placing",,,"Place",,0,"Objects",0,0,"false","true","false","false","false","false","false","false","false",0,0,"sfx/ancient_place_mecha_eagle_01.ogg",80,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
,,,"Grass",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Artillery PreAttack",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/ancient_target_02.ogg",80,95,105,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Artillery Trail",,,"doom_trail_emitter",,0,"Objects",0,0,"false","true","false","false","false","false","false","true","false",6,0,,,,,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Artillery WakeUp 1",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/ancient_defcon_1.ogg",90,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Artillery WakeUp 2",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/ancient_defcon_2.ogg",80,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
"Artillery WakeUp 3",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/ancient_defcon_3.ogg",70,100,100,0,"false",0,"false","false",,0,0,0,100,100,0,,,0,0,
