"TID","PT"
"TID_ERROR_POP_UP_BANNED","Você foi banido temporariamente."
"TID_ERROR_POP_UP_BANNED_BUTTON","Ok"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Erro de conexão"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Não foi possível conectar ao servidor. Verifique sua conexão com a internet e tente novamente."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Tentar novamente"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Conexão perdida"
"TID_ERROR_POP_UP_CONNECTION_LOST","Conexão perdida com o servidor. Verifique sua conexão com a internet e tente novamente."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Tentar novamente"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Tem alguém aí?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Conexão encerrada por inatividade."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Recarregar o jogo"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Falha no login"
"TID_ERROR_POP_UP_LOGIN_FAILED","Tente novamente mais tarde."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Tentar novamente"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Atualização disponível!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Boas notícias! Uma nova versão do jogo está disponível."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Atualizar"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Erro!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","O cliente e o servidor não estão sincronizados! Uma nova atualização com correções de erros e mudanças já está disponível na sua loja de aplicativos!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Recarregar o jogo"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Intervalo de manutenção"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Os servidores estão em manutenção. Tente novamente mais tarde."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Tentar novamente"
"TID_BUILDING_ALLIANCE_CASTLE","Castelo do Clã"
"TID_BUILDING_ALLIANCE_MARKER","Bandeira do Clã"
"TID_COMM_MAST","Torre de Rádio"
"TID_TRAP_MINE","Bomba"
"TID_TRAP_EJECTOR","Armadilha de Mola"
"TID_SHOP_GUARD_2H","Guarda de duas horas"
"TID_SHOP_SHIELD_1D","Escudo de um dia"
"TID_SHOP_SHIELD_2D","Escudo de dois dias"
"TID_SHOP_SHIELD_7D","Escudo de uma semana"
"TID_ALLIANCE_MAIN_BUTTON","Clã"
"TID_ALLIANCE_LIST_HEADER","Clã"
"TID_CREATE_ALLIANCE_BUTTON","Criar"
"TID_LEAVE_ALLIANCE_BUTTON","Sair"
"TID_JOIN_ALLIANCE_TAB","Entrar em clã"
"TID_CREATE_ALLIANCE_TAB","Criar clã"
"TID_MY_ALLIANCE_TAB","Meu clã"
"TID_ALLIANCE_BUTTON_EDIT","Editar"
"TID_ALLIANCE_CREATE_NAME","Nome do clã:"
"TID_ALLIANCE_CREATE_DESCRIPTION","Descrição:"
"TID_ALLIANCE_CREATE_BADGE","Emblema:"
"TID_ALLIANCE_CREATE_TYPE","Tipo de clã:"
"TID_ALLIANCE_BADGE_BROWSE","Procurar"
"TID_ALLIANCE_TYPE_OPEN","Aberto a todos"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Somente convidados"
"TID_ALLIANCE_TYPE_CLOSED","Fechado"
"TID_TOO_SHORT_ALLIANCE_NAME","O nome do clã é muito curto!"
"TID_BACK_BUTTON","Voltar"
"TID_ALLIANCE_SELECT_BADGE","Editar emblema do clã"
"TID_ALLIANCE_JOIN_BUTTON","Entrar"
"TID_ALLIANCE_JOIN_OK","Agora você é membro do clã <name>!"
"TID_ALLIANCE_CREATE_OK","Você fundou um novo clã!"
"TID_ALLIANCE_BUTTON_LEAVE","Sair"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","Sair do clã?"
"TID_ALLIANCE_LEAVE_CONFIRMATION","Quer mesmo sair?"
"TID_ALLIANCE_ROLE_ADMIN","Ancião"
"TID_ALLIANCE_ROLE_LEADER","Líder"
"TID_ALLIANCE_ROLE_MEMBER","Membro"
"TID_ALLIANCE_PROMOTE_BUTTON","Promover a <role>"
"TID_ALLIANCE_DEMOTE_BUTTON","Rebaixar a <role>"
"TID_ALLIANCE_ACCEPTED_BY","Aceito por <name>."
"TID_ALLIANCE_REJECTED_BY","Recusado por <name>."
"TID_ALLIANCE_REQUEST_SENT","Pedido enviado!"
"TID_ALLIANCE_INVITATION_OK","Convite enviado."
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","Impossível convidar: o jogador não tem um Castelo do Clã!"
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","O jogador já está em um clã!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","Você já convidou o jogador!"
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","Quero entrar no seu clã."
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","Aceitar pedido de participação?"
"TID_KICK_OUT_FROM_ALLIANCE","Expulsar"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","Abdicar?"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","Promover <name> a líder do clã?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","Promover?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","Promover <name> a ancião do clã?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","Rebaixar?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","Rebaixar <name> a membro do clã?"
"TID_VISIT_BUTTON","Visitar"
"TID_VIEW_PROFILE_BUTTON","Perfil"
"TID_INVITE_BUTTON","Convidar"
"TID_VIEW_ALLIANCE","Ver clã"
"TID_SETTINGS_LANGUAGE","Idioma"
"TID_SAVE_ALLIANCE_SETTINGS","Salvar"
"TID_STREAM_DONATE_TEXT","precisa de reforços."
"TID_STREAM_DONATE_BUTTON","Doar"
"TID_ALLIANCE_DONATE_HEADER","Doar reforços"
"TID_BUTTON_REQUEST_TROOPS","Pedir"
"TID_TROOP_REQUEST_SENT","Pedido enviado!"
"TID_ALLIANCE_STREAM_THANKS","Agradeço os reforços!"
"TID_ALLIANCE_TROOP_RECEIVED","Você recebeu <troop> nível <level> de <avatar>."
"TID_BARBARIAN","Bárbaro"
"TID_ARCHER","Arqueira"
"TID_GIANT","Gigante"
"TID_DRAGON","Dragão"
"TID_PEKKA","P.E.K.K.A"
"TID_GOBLIN","Goblin"
"TID_WALL_BREAKER","Destruidor de Muros"
"TID_GOBLIN_BALLOON","Balão"
"TID_HEALER","Curadora"
"TID_WIZARD","Mago"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","O Castelo do Clã já está cheio!"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","Aguarde antes de pedir mais reforços."
"TID_ALLIANCE_STREAM_REWARD","Você recebeu <number> XP."
"TID_HOUSING_TROOPS_INSIDE","Todas as tropas:"
"TID_UNIT_STORAGE_CAPACITY","Capacidade de tropas: <number>"
"TID_REGENERATION_TIME","Tempo de regeneração: <number> minutos"
"TID_HITPOINTS","Pontos de vida: <number>"
"TID_DPS","Dano por segundo: <number>"
"TID_BURST_SIZE","Explosão de fogo: <number> tiros"
"TID_HEAL","Cura: <number>"
"TID_TRAIN_COST","Custo de treino: <number> de <resource>"
"TID_RESOURCE_STORAGE_CAPACITY","Capacidade do depósito: <number>"
"TID_PRODUCTION_RATE","Velocidade de produção: <number> por hora"
"TID_PRODUCTION_CAPACITY","Capacidade: <number>"
"TID_TRAINING_TIME","Tempo de treino: <number>"
"TID_TRAINING_TIME_REDUCTION","Redução no tempo de treino: <number>"
"TID_HOUSING_INFO","Suas tropas ficam alojadas nos acampamentos. Construa mais deles e melhore-os para reunir um exército poderoso."
"TID_TOWN_HALL_INFO","Este é o coração da vila. Melhore o Centro da Vila para desbloquear novas defesas, construções, armadilhas e muito mais.\nSe destruir o Centro da Vila de um oponente, você ganhará a batalha e receberá uma estrela.\nAo destruir 50% das construções inimigas, você ganhará a segunda estrela. Por fim, a aniquilação de 100% renderá três estrelas. Mas cuidado: os inimigos também tentarão destruir o seu Centro da Vila!\nPara proteção máxima, mantenha o Centro da Vila no meio do terreno e proteja-o com muros, armadilhas e estruturas defensivas. Seus inimigos são sorrateiros e podem atacar de qualquer lado!"
"TID_ELIXIR_PUMP_INFO","O elixir é extraído dos lençóis que correm por baixo da vila. Melhore seus coletores de elixir para maximizar a produção."
"TID_ELIXIR_STORAGE_INFO","Estes depósitos contêm o elixir extraído do subsolo. Melhore-os para aumentar o limite de elixir que você pode armazenar."
"TID_GOLD_MINE_INFO","A mina de ouro produz ouro. Melhore-a para aumentar sua produção e capacidade de armazenamento de ouro."
"TID_GOLD_STORAGE_INFO","Todo o seu precioso ouro é armazenado aqui. Não deixe que os Goblins sorrateiros cheguem perto! Melhore o depósito para aumentar sua capacidade e resistência contra ataques."
"TID_BARRACK_INFO","O quartel permite que você treine tropas para atacar os inimigos. Melhore-o para desbloquear unidades mais avançadas que podem ganhar batalhas épicas."
"TID_BASIC_TURRET_INFO","Canhões são excelentes para a defesa. Melhore-os para aumentar o poder de fogo, mas cuidado: suas estruturas de defesa não podem disparar enquanto são melhoradas!"
"TID_ARCHER_TOWER_INFO","As Torres Arqueiras têm alcance maior do que os canhões e, ao contrário destes, podem atacar inimigos voadores."
"TID_WIZARD_TOWER_INFO","A insuperável defesa arcana! Os Magos na torre lançam feitiços de efeito de área poderosos que podem alvejar tanto tropas aéreas quanto terrestres."
"TID_TESLA_TOWER_INFO","Prepare uma armadilha mortal com a tesla oculta! Os nossos Magos prenderam uma nuvem de tempestade em cada uma dessas torres furtivas. Quando um inimigo caminha ou voa por perto, a torre salta e o frita com o poder da Eletrapaça!"
"TID_AIR_DEFENSE_INFO","Esta torre antiaérea é mortal contra inimigos voadores, mas não pode atingir inimigos terrestres. Posicione-a sabiamente para cobrir o maior espaço aéreo possível."
"TID_MORTAR_INFO","O morteiro pode acabar com hordas de inimigos com seu projétil. Não deixe os inimigos se aproximarem!"
"TID_ALLIANCE_CASTLE_INFO","O Castelo do Clã abriga a sua Torre do Tesouro e as tropas e feitiços enviados pelos seus colegas de clã."
"TID_WORKER_INFO","Nada é feito por aqui sem construtores! Você pode contratar mais construtores para iniciar vários projetos de construção ao mesmo tempo ou acelerar o trabalho usando gemas."
"TID_LABORATORY_INFO","Que segredos sombrios os Magos escondem no laboratório? Ninguém ousou descobrir. Tudo que sabemos é que suas pesquisas deixam nossas tropas e feitiços melhores, mais rápidos e mais fortes!"
"TID_STREAM_SENDER_YOU","Você"
"TID_SHIELD_ACTIVATED","O escudo do oponente foi ativado por <hours> horas."
"TID_STREAM_ENTRY_AGE","<time> atrás"
"TID_UPGRADE_WINDOW_NOTE","Atenção!"
"TID_OBSTACLE_CLEAR_TIME","Tempo de remoção"
"TID_UPGRADE_TIME","Tempo para melhorar:"
"TID_BUILD_TIME","Tempo de construção"
"TID_GEAR_UP_TIME","Hora de aprimorar"
"TID_UNLOCK_BUILDINGS","Desbloqueia construções:"
"TID_REQUIRED_EXP_LEVEL","Nível de experiência <number> necessário."
"TID_REQUIRED_TOWN_HALL_LEVEL","Centro da Vila de nível <number> necessário."
"TID_REQUIRED_BUILDERS_HALL_LEVEL","Casa do construtor de nível <number> necessária."
"TID_REQUIRED_CASTLE_LEVEL","Castelo do Clã de nível <number> necessário."
"TID_REQUIRED_BARRACK_LEVEL","Quartel de nível <number> necessário."
"TID_REQUIRED_DARK_BARRACK_LEVEL","Quartel negro de nível <number> necessário."
"TID_REQUIRED_LABORATORY_LEVEL","Laboratório de nível <number> necessário."
"TID_INFO_PREFERRED_TARGET","Alvo preferencial:"
"TID_PREFERRED_TARGET_ANY","Qualquer um"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","(Dano x<number>)"
"TID_INFO_TARGET_TYPE","Alvos:"
"TID_INFO_DAMAGE_TYPE","Tipo de dano:"
"TID_INFO_HEAL_TYPE","Tipo de cura:"
"TID_INFO_HOUSING","Espaço de habitação:"
"TID_INFO_TRAINING_TIME","Tempo de treino:"
"TID_INFO_RANGE","Alcance:"
"TID_INFO_TARGET_TYPE_GROUND","Terrestre"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","Terrestre e aéreo"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","Terrestre ou aéreo"
"TID_INFO_TARGET_TYPE_AIR","Aéreo"
"TID_INFO_DAMAGE_TYPE_AOE","Área"
"TID_INFO_DAMAGE_TYPE_SINGLE","Alvo único"
"TID_INFO_RANGE_VALUE","<number> quadrados"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","Melhoria concluída: <item> nível <level>."
"TID_LOCAL_NOTIFICATION_BUILDING_READY","Construção concluída: <item>."
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","Bônus de estrela disponível! É hora de lutar!"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","Chefe, nosso escudo está prestes a acabar!"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","Ops, você se esqueceu de treinar seu exército?"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","Ops, você se esqueceu de preparar seus feitiços?"
"TID_NEW","Novo"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","Parar a construção?"
"TID_POPUP_CANCEL_CONSTRUCTION","Quer mesmo interromper a construção de <item>? Apenas <number>% do custo será reembolsado."
"TID_POPUP_CANCEL_UPGRADE_TITLE","Parar a melhoria?"
"TID_POPUP_CANCEL_UPGRADE","Quer mesmo interromper a melhoria de <item>? Apenas <number>% do custo será reembolsado."
"TID_POPUP_CANCEL_CLEAR_TITLE","Parar a remoção?"
"TID_POPUP_CANCEL_CLEAR","Quer mesmo interromper a remoção de <item>?"
"TID_ALLIANCE_LEADERBOARDS","Melhores clãs"
"TID_PLAYER_LEADERBOARDS","Melhores jogadores"
"TID_AVAILABLE_LOOT","Saque disponível:"
"TID_INFO","i"
"TID_ATTACK_BUTTON","Atacar"
"TID_ALLIANCE_SNEAK_PREVIEW","Reconstrua o Castelo do Clã e desbloqueie os clãs!\n\nOs membros do clã podem ajudar uns aos outros e enviar tropas de reforço e feitiços."
"TID_BUILD_TIME_INSTANT","Zero"
"TID_BUILDING_CAP_REACHED","Você já tem a quantidade máxima destas construções."
"TID_DIAMONDS_FOUND","<name>: você encontrou <number> gemas ali!"
"TID_DIAMOND_FOUND","<name>: você encontrou uma gema ali!"
"TID_SHOP_CATEGORY_DECOS","Decorações"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","Recursos"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","Exército"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","Defesas"
"TID_SHOP_CATEGORY_TREASURE","Tesouro"
"TID_SHOP_CATEGORY_SHIELD","Escudo"
"TID_SHOP_CATEGORY_BUILDERS","Construtores"
"TID_SHOP_CATEGORY_SPELLS","Feitiços"
"TID_SHOP_CATEGORY_TROOPS","Tropas"
"TID_TRAINING_WARRIORS","Guerreiros:"
"TID_TRAINING_SLOTS","Vagas de treinamento:"
"TID_TOTAL_TRAINING_TIME","Tempo total:"
"TID_FINISH_BUTTON","Concluir"
"TID_TROOP_TRAINING_MAX","Máx."
"TID_UNCLOK_FROM_LABORATORY","Desbloqueie no laboratório."
"TID_NOT_ENOUGH_HOUSING_SPACE","Espaço insuficiente nos acampamentos!"
"TID_UNLOCK_BUILDING_MULTIPLE","Desbloqueia:"
"TID_UNLOCK_BARRACK_TROOP","Desbloqueia: <name>."
"TID_REDUCE_TIME_BARRACK_TROOP","Reduz o tempo de treino para:"
"TID_REDUCE_TIME_BARRACK_TROOP2","Novo tempo de treino: <num2>"
"TID_BUILDING_TEXT_FULL","Cheio!"
"TID_BUILDING_TEXT_TRAIN","Treinar"
"TID_TRAINING_SLOT_STOPPED","Parado!"
"TID_BUILDING_TEXT_ALERT","!!!"
"TID_TRAIN_ALL_HOUSINGS_FULL","Todos os acampamentos estão cheios!"
"TID_TRAIN_ALL_HOUSINGS_FULL_INFO","Melhore ou construa acampamentos para abrigar mais tropas ou envie-as para a luta!"
"TID_BUTTON_FIGHT","Começar!"
"TID_BATTLE_START_TIME","Batalha começa em:"
"TID_NEXT_MATCH","Próxima"
"TID_END_BATTLE_BUTTON","Encerrar batalha"
"TID_SURRENDER_BUTTON","Render-se"
"TID_TROOP_UPGRADE_TIME","Tempo total:"
"TID_MAX_TROOP_LEVEL","Nível máx."
"TID_LEVEL_NUM","Nível <number>"
"TID_BUTTON_UPGRADE_TROOPS","Pesquisar"
"TID_POPUP_UPGRADE_TROOP_TITLE","Escolha o que melhorar"
"TID_TROOP_ALREADY_AT_MAX_LEVEL","A unidade já está no nível máximo."
"TID_TROOP_UPGRADE_ALREADY_ONGOING","Melhoria em andamento."
"TID_TROOP_UPGRADE_COMPLETED","Melhoria concluída: <item> nível <number>."
"TID_UNITS_LEFT","<number> restantes"
"TID_PLAYER_ATTACKING_YOU","Jogadores atacando você:"
"TID_LOOT","Você perdeu recursos:"
"TID_OUTCOME","Resultado:"
"TID_YOU_LOST","Sua defesa perdeu."
"TID_YOU_WIN","Sua defesa venceu."
"TID_REVENGE","Vingança"
"TID_JOINQUESTION","Quer participar?"
"TID_TAP_TO_EXPAND","Toque para expandir"
"TID_BUY_MISSING_RESOURCES_HEADER","<resource> insuficiente"
"TID_BUY_MISSING_RESOURCES_TEXT","Comprar mais <count>x <resource>?"
"TID_BUY_MISSING_RESOURCES_HEADER_TWO","Você precisa de mais recursos"
"TID_BUY_MISSING_RESOURCES_TEXT_TWO","Comprar <count> <resource> e <count2> <resource2> que faltam?"
"TID_BUY_RESOURCE_PACK_HEADER","Comprar <resource>?"
"TID_BUY_RESOURCE_PACK_TEXT","Tem certeza de que deseja comprar <count> <resource>?"
"TID_BUY_GUARD_HEADER","Comprar guarda?"
"TID_BUY_SHIELD_HEADER","Comprar escudo?"
"TID_BUY_SHIELD_TEXT","Tem certeza de que deseja comprar\n<name>?"
"TID_RESOURCE_PACK_LOCKED","Capacidade insuficiente!"
"TID_STAR1","Magnífico!"
"TID_STAR2","Excelente!"
"TID_STAR3","Perfeito!"
"TID_OVERALL_DAMAGE","Dano geral"
"TID_VILLAGE_GUARD_TITLE","Guarda:"
"TID_SHIELD_TITLE","Escudo:"
"TID_SHIELD_NONE","Nenhum"
"TID_BATTLE_LOG","Registro de Batalhas"
"TID_BATTLE_INBOX","Caixa de Entrada"
"TID_VICTORY","Vitória"
"TID_DEFEAT","Derrota"
"TID_WHAT_YOU_GOT","Você ganhou:"
"TID_TROOPS_USED","Tropas usadas:"
"TID_TOTAL_DAMAGE","Dano total:"
"TID_SCORE","Pontuação"
"TID_YOU_HAVE_BEEN_ATTACKED","Chefe, nossa vila foi atacada!"
"TID_YOU_HAVE_BEEN_ATTACKED_TITLE","Invasão inimiga"
"TID_YOU_HAVE_BEEN_ATTACKED_HEADER","Chefe, a vila foi atacada durante sua ausência!"
"TID_TUTORIAL_CANNON_1","Olá, chefe! Estávamos esperando por você."
"TID_TUTORIAL_CANNON_2","Esta é sua nova vila! A vida aqui seria perfeita se não fosse por..."
"TID_TUTORIAL_CANNON_3","Oh, não! GOBLINS! Rápido, arme um canhão para defendermos a vila!"
"TID_TUTORIAL_CANNON_4","Posicione o canhão no terreno. Precisamos proteger o centro da vila!"
"TID_TUTORIAL_CANNON_5","Chefe, podemos usar algumas gemas para acelerar as coisas!"
"TID_TUTORIAL_DEFEND_1","Argh! Goblins, ATACAAAR!"
"TID_TUTORIAL_DEFEND_1b","Ha ha! O que é isso? Mais um reles humano..."
"TID_TUTORIAL_DEFEND_2","Ufa, foi por um triz. Valeu, chefe!"
"TID_TUTORIAL_DEFEND_4","A vila foi construída sobre lençóis de elixir. As estruturas vão se restaurar magicamente!"
"TID_TUTORIAL_DEFEND_5","Argh, OURO! Nós, Goblins, adoramos ouro!"
"TID_TUTORIAL_DEFEND_BUTTON","Manda ver!"
"TID_TUTORIAL_WORKER_1","Maravilha! Agora precisamos preparar a vila para o combate."
"TID_TUTORIAL_WORKER_2","A contratação de um segundo construtor permitirá iniciar duas construções simultaneamente."
"TID_TUTORIAL_ELIXIR_1","O elixir é usado para treinar tropas e construir estruturas."
"TID_TUTORIAL_ELIXIR_2","Você pode extrair elixir do subsolo. Vamos tentar!"
"TID_TUTORIAL_ELIXIR_STORAGE_1","O coletor só pode armazenar uma pequena quantidade de elixir."
"TID_TUTORIAL_ELIXIR_STORAGE_2","Vamos construir um depósito de elixir para estocar o material!"
"TID_TUTORIAL_GOLD_STORAGE_1","Precisamos também de um lugar seguro para armazenar nossas reservas de ouro."
