"Name","AttachLocator","AttachToParent","Beam","CameraShake","CameraShakeInReplay","CameraShakeTimeMS","DestroyWhenParentDies","DetachAfterStart","EmitterDelayMs","IsoLayer","Looping","LowEndMaxPitch","LowEndMinPitch","LowEndSound","LowEndVolume","MaxCount","MaxPitch","MinLifeTime","MinPitch","OffsetFromGunBone","OrientToParent","ParticleEmitter","PitchIncrease","SWF","SortInFrontOfParent","Sound","SoundDelay","StopSound","Targeted","Volume","ExportName","AltParticleEmitter"
,,,,,,,,,,,,,,,,,105,,95,,,,,,,"sfx/archer_death_05v2.ogg",,,,30,,
"Archer Hit",,"false","false",0,"false",0,"false","false",0,"Objects","false",110,90,"sfx/arrow_hit_12.ogg",60,0,110,0,90,"false","false","Hit",0,,"false","sfx/arrow_hit_12.ogg",0,"false","false",50,,
"Archer Queen Deploy",,"false","false",10,"true",100,"false","false",,"Objects","false",100,100,"sfx/archer_queen_deploy_01.ogg",90,0,100,0,100,"false","false",,0,,"false","sfx/archer_queen_deploy_01.ogg",0,"false","false",90,,
"Archer Queen Die",,"false","false",100,"true",1000,"false","false",0,"Top","false",100,100,"sfx/archer_queen_die_01.ogg",80,0,100,0,100,"false","false","Mortar_lightFlash",0,,"false","sfx/archer_queen_die_01.ogg",0,"false","false",80,,
,,,,,,,,,0,,,,,,,,,,,,,"Ring",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Place",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"MortarHit_lvl6",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"hero_die_force",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Grass",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Grass",,,,,,,,,,
"Archer Queen Hit",,"false","false",0,"false",0,"false","false",0,"Objects","false",120,120,"sfx/mage_attack_02.ogg",50,0,100,0,100,"false","false","hero_arrow_trail1",0,,"false","sfx/explosive_arrow_01v2.ogg",0,"false","false",65,,
,,,,,,,,,0,,,,,,,,,,,,,"hero_hit2",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"hero_hit3",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"hero_hit4",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Arrow_Tower_lightFlash",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"xmas_fun2",,,,,,,,,,
"Archer Queen Scream",,"false","false",0,"false",0,"false","false",,"None","false",100,100,,100,0,,0,,"false","false",,0,,"false",,0,"false","false",,,
"Archer2 Attack",,"false","false",0,"false",0,"false","false",,"None","false",110,90,"sfx/arrow_hit_07.ogg",50,0,102,0,98,"false","false",,0,,"false","sfx/new_archer_atk_01.ogg",0,"false","false",50,,
,,,,,,,,,,,,,,,,,102,,98,,,,,,,"sfx/new_archer_atk_02.ogg",,,,50,,
,,,,,,,,,,,,,,,,,102,,98,,,,,,,"sfx/new_archer_atk_03.ogg",,,,50,,
"Archer2 Deploy",,"false","false",0,"false",0,"false","false",0,"Objects","false",100,100,"sfx/gob_attack_01.ogg",40,0,102,0,98,"false","false","Deploy",0,,"false","sfx/crowwbow_archer_01.ogg",0,"false","false",70,,
,,,,,,,,,,,,,,,,,102,,98,,,,,,,"sfx/crowwbow_archer_02.ogg",,,,70,,
"Archer2 Die",,"true","false",0,"false",0,"false","false",0,"Top","false",105,95,"sfx/archer_death_05.ogg",40,0,105,0,95,"false","false","Splat",0,,"false","sfx/archer_death_05.ogg",0,"false","false",30,,
,,,,,,,,,,,,,,,,,105,,95,,,,,,,"sfx/archer_death_05v2.ogg",,,,30,,
"Archer2 Hit",,"false","false",0,"false",0,"false","false",0,"Objects","false",110,90,"sfx/arrow_hit_12.ogg",60,0,110,0,90,"false","false","Hit",0,,"false","sfx/new_archer_impact_01.ogg",0,"false","false",40,,
"ArcherQueen Attack",,"false","false",0,"false",0,"false","false",0,"Top","false",105,95,"sfx/archer_queen_attack_02.ogg",80,0,105,0,95,"false","false","ArcherQueen_attack",0,,"false","sfx/archer_queen_attack_02.ogg",0,"false","false",80,,
,,,,,,,,,,,,,,,,,105,,95,,,,,,,"sfx/archer_queen_attack_01.ogg",,,,80,,
,,,,,,,,,,,,,,,,,105,,95,,,,,,,"sfx/archer_queen_attack_01.ogg",,,,80,,
"Artillery Attack",,"false","false",0,"false",0,"false","false",,"None","false",105,95,"sfx/mortar_fire_02_with_fall.ogg",70,0,105,0,95,"false","false",,0,,"false","sfx/ancient_fire_02.ogg",0,"false","false",85,,
"Artillery Hit",,"true","false",60,"true",700,"false","false",0,"Objects","false",105,95,"sfx/mortar_hit_01.ogg",80,0,105,0,95,"false","false","Explosion_flash",0,,"false","sfx/mortar_hit_01.ogg",0,"false","false",80,,
,,,,,,,,,0,,,,,,,,,,,,,"Fire_explosion",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Fire_balls",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Stone_explosion",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"ArtilleryHit_mushcloud",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"ArtilleryHit_spark",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"ArtilleryHit_dustring",,,,,,,,,,
"Artillery Load",,"false","false",0,"false",0,"false","false",0,"Top","false",80,75,"sfx/mage_attack_02.ogg",80,0,100,0,100,"false","false","Smoke",0,,"false","sfx/mech_eagle_reload_01.ogg",0,"false","false",80,,
"Artillery No Ammo",,"false","false",0,"false",0,"false","false",0,"Top","false",80,70,"sfx/bad_move_06.ogg",80,0,100,0,100,"false","false","Dust2",0,,"false","sfx/mech_eagle_sad_no_ammo_01.ogg",0,"false","false",80,,
"Artillery Placing",,"true","false",0,"false",0,"false","false",0,"Objects","false",100,100,"sfx/cannon_drop2.ogg",60,0,100,0,100,"false","false","Place",0,,"false","sfx/ancient_place_mecha_eagle_01.ogg",0,"false","false",80,,
,,,,,,,,,0,,,,,,,,,,,,,"Grass",,,,,,,,,,
"Artillery PreAttack",,"false","false",0,"false",0,"false","false",,"None","false",105,95,,70,0,105,0,95,"false","false",,0,,"false","sfx/ancient_target_02.ogg",0,"false","false",80,,
"Artillery Trail",,"true","false",0,"false",0,"false","false",0,"Objects","true",100,100,,100,6,,0,,"false","false","doom_trail_emitter",0,,"false",,0,"false","false",,,
"Artillery WakeUp 1",,"false","false",0,"false",0,"false","false",,"None","false",100,100,"sfx/ancient_defcon_1.ogg",60,0,100,0,100,"false","false",,0,,"false","sfx/ancient_defcon_1.ogg",0,"false","false",90,,
"Artillery WakeUp 2",,"false","false",0,"false",0,"false","false",,"None","false",100,100,"sfx/ancient_defcon_4.ogg",70,0,100,0,100,"false","false",,0,,"false","sfx/ancient_defcon_2.ogg",0,"false","false",80,,
"Artillery WakeUp 3",,"false","false",0,"false",0,"false","false",,"None","false",100,100,"sfx/ancient_defcon_4.ogg",80,0,100,0,100,"false","false",,0,,"false","sfx/ancient_defcon_3.ogg",0,"false","false",70,,
"Artillery WakeUp 4",,"false","false",0,"false",0,"false","false",,"None","false",100,100,"sfx/ancient_defcon_4.ogg",90,0,100,0,100,"false","false",,0,,"false","sfx/ancient_defcon_4.ogg",0,"false","false",60,,
"Autumn Spawn Effect",,"true","false",0,"false",0,"false","false",60,"Objects","false",100,100,,100,0,,0,,"false","false","hero_autumn_lightray",0,,"false",,0,"false","false",,,
,,,,,,,,,0,,,,,,,,,,,,,"hero_autumn_leaf_02",,,,,,,,,,
,,,,,,,,,300,,,,,,,,,,,,,"hero_autumn_leaf_03",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"hero_autumn_leaf_04",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"hero_autumn_leaf_01",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"hero_autumn_leaf_burts",,,,,,,,,,
"Balloon Exposion",,"false","false",0,"false",0,"false","false",0,"Objects","false",120,110,"sfx/mortar_hit_01.ogg",50,8,105,0,85,"false","false","Stone",0,,"false","sfx/cannon_fire3.ogg",0,"false","false",60,,
,,,,,,,,,0,,,,,,,,,,,,,"Grass",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Ring",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Wizard_Tower_lightFlash",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Explosion_3",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Fire_balls",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Smoke",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Balloon_Die_wood",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Balloon_Die_bloon",,,,,,,,,,
"Balloon Goblin Attack",,"false","false",0,"false",0,"false","false",,"None","false",150,150,"sfx/mortar_hit_01.ogg",40,0,110,0,90,"false","false",,0,,"false","sfx/cannon_fire3.ogg",0,"false","false",70,,
"Balloon Goblin Deploy",,"false","false",0,"false",0,"false","false",,"None","false",80,80,"sfx/gob_attack_01.ogg",40,0,100,0,100,"false","false",,0,,"false","sfx/balloon_deploy_02.ogg",0,"false","false",80,,
"Balloon Goblin Die",,"true","false",0,"false",0,"false","false",,"Top","false",75,60,"sfx/mage_attack_02.ogg",70,0,105,0,95,"false","false",,0,,"false","sfx/balloon_die_01.ogg",0,"false","false",80,,
"Balloon Goblin Hit",,"false","false",0,"false",0,"false","false",0,"Top","false",105,95,"sfx/balloon_hit_01.ogg",70,0,105,0,95,"false","false","Wizard_Tower_lightFlash",0,,"false","sfx/balloon_hit_01.ogg",0,"false","false",80,,
,,,,,,,,,0,,,,,,,,,,,,,"Ring",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Grass",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Stone",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Explosion_3",,,,,,,,,,
"Balloon Skeleton Deploy",,"false","false",0,"false",0,"false","false",0,"Ground","false",70,60,"sfx/healer_hit_01.ogg",40,0,105,0,95,"false","false","Deploy",0,,"false","sfx/upfromground_05.ogg",0,"false","false",70,,
,,,,,,,,,0,,,,,,,,,,,,,"Spawn_Smoke_ring",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Spawn_Dust",,,,,,,,,,
"Barbarian Attack",,"false","false",0,"false",0,"false","false",,"None","false",110,90,"sfx/barbarian_sword_swing_hit_14.ogg",40,0,110,0,90,"false","false",,0,,"false","sfx/barbarian_sword_swing_hit_14.ogg",0,"false","false",40,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,"sfx/barbarian_sword_swing_hit_14v3.ogg",,,,40,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,"sfx/barbarian_sword_swing_hit_14v2.ogg",,,,40,,
"Barbarian Deploy",,"false","false",0,"false",0,"false","false",0,"Objects","false",100,100,"sfx/gob_attack_01.ogg",40,0,100,0,100,"false","false","Deploy",0,,"false","sfx/barb_deploy_11.ogg",0,"false","false",40,,
,,,,,,,,,,,,,,,,,100,,100,,,,,,,"sfx/barb_deploy_11v2.ogg",,,,40,,
,,,,,,,,,,,,,,,,,100,,100,,,,,,,"sfx/barb_deploy_11v3.ogg",,,,40,,
"Barbarian Die",,"true","false",0,"false",0,"false","false",0,"Top","false",110,90,"sfx/barbarian_death_01.ogg",50,0,110,0,90,"false","false","Splat",0,,"false","sfx/barbarian_death_01.ogg",0,"false","false",50,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,"sfx/barbarian_death_02.ogg",,,,50,,
"Barbarian Hit",,"true","false",0,"false",0,"false","false",0,"Objects","false",110,90,"sfx/barbarian_hit_stuff2.ogg",40,0,110,0,90,"false","false","Hit",0,,"false","sfx/barbarian_hit_stuff2.ogg",0,"false","false",40,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,"sfx/barbarian_hit_stuff3.ogg",,,,35,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,"sfx/barbarian_hit_stuff4.ogg",,,,30,,
"Barbarian King Attack",,"true","false",0,"false",0,"false","false",0,"Objects","false",130,75,"sfx/barbarian_king_attack_01.ogg",60,0,130,0,75,"false","false","Hit",0,,"false","sfx/barbarian_king_attack_01.ogg",0,"false","false",60,,
"Barbarian King Deploy",,"false","false",20,"true",200,"false","false",,"Objects","false",100,100,"sfx/barbarian_king_deploy.ogg",90,0,100,0,100,"false","false",,0,,"false","sfx/barbarian_king_deploy.ogg",0,"false","false",90,,
"Barbarian King Die",,"false","false",100,"true",1000,"false","false",0,"Top","false",100,100,"sfx/barbarian_king_die_01.ogg",90,0,100,0,100,"false","false","Mortar_lightFlash",0,,"false","sfx/barbarian_king_die_01.ogg",0,"false","false",90,,
,,,,,,,,,0,,,,,,,,,,,,,"Ring",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Place",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"MortarHit_lvl6",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"hero_die_force",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Force",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Grass",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Smoke",,,,,,,,,,
"Barbarian King Hit",,"true","false",0,"false",0,"false","false",0,"Objects","false",65,55,"sfx/barbarian_hit_stuff.ogg",50,0,65,0,55,"false","false","Arrow_Tower_lightFlash",0,,"false","sfx/barbarian_hit_stuff4.ogg",0,"false","false",70,,
,,,,,,,,,0,,,,,,,,,,,,,"hero_hit2",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"hero_hit3",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"hero_hit4",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Deploy",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"hero_hit1",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"hero_hit5",,,,,,,,,,
"Barbarian King Scream",,"false","false",0,"false",0,"false","false",,"None","false",100,100,,100,0,,0,,"false","false",,0,,"false",,0,"false","false",,,
"Barbarian2 Attack",,"false","false",0,"false",0,"false","false",,"None","false",110,90,"sfx/barbarian_sword_swing_hit_14.ogg",40,0,110,0,90,"false","false",,0,,"false","sfx/barbarian_sword_swing_hit_14.ogg",0,"false","false",40,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,"sfx/barbarian_sword_swing_hit_14v3.ogg",,,,40,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,"sfx/barbarian_sword_swing_hit_14v2.ogg",,,,40,,
"Barbarian2 Deploy",,"false","false",0,"false",0,"false","false",0,"Objects","false",100,100,"sfx/gob_attack_01.ogg",40,0,100,0,100,"false","false","Deploy",0,,"false","sfx/barb_deploy_11.ogg",0,"false","false",40,,
,,,,,,,,,,,,,,,,,100,,100,,,,,,,"sfx/barb_deploy_11v2.ogg",,,,40,,
,,,,,,,,,,,,,,,,,100,,100,,,,,,,"sfx/barb_deploy_11v3.ogg",,,,40,,
"Barbarian2 Die",,"true","false",0,"false",0,"false","false",0,"Top","false",110,90,"sfx/barbarian_death_01.ogg",50,0,110,0,90,"false","false","Splat",0,,"false","sfx/barbarian_death_01.ogg",0,"false","false",50,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,"sfx/barbarian_death_02.ogg",,,,50,,
"Barbarian2 Hit",,"true","false",0,"false",0,"false","false",0,"Objects","false",110,90,"sfx/barbarian_hit_stuff2.ogg",40,0,110,0,90,"false","false","Hit",0,,"false","sfx/new_barb_atk_hit_01.ogg",0,"false","false",40,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,"sfx/new_barb_atk_hit_01.ogg",,,,35,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,"sfx/new_barb_atk_hit_01.ogg",,,,30,,
"Basic Turret Pickup",,"false","false",0,"false",0,"false","false",0,"Top","false",100,100,"sfx/wall_pickup_01.ogg",80,0,100,0,100,"false","false","Grass",0,,"false","sfx/cannon_pickup3.ogg",0,"false","false",80,,
"Basic Turret Placing",,"true","false",0,"false",0,"false","false",0,"Objects","false",100,100,"sfx/cannon_drop2.ogg",60,0,100,0,100,"false","false","Place",0,,"false","sfx/cannon_drop2.ogg",0,"false","false",80,,
,,,,,,,,,0,,,,,,,,,,,,,"Grass",,,,,,,,,,
"Bat Attack",,"false","false",0,"false",0,"false","false",,"None","false",80,70,"sfx/barbarian_sword_swing_hit_14.ogg",40,0,110,0,90,"false","false",,0,,"false","sfx/bat_atk_01.ogg",0,"false","false",30,,
"Bat Deploy",,"false","false",0,"false",0,"false","false",0,"Ground","false",70,60,"sfx/healer_hit_01.ogg",40,0,105,0,95,"false","false","Deploy",0,,"false","sfx/bat_deploy_01.ogg",0,"false","false",50,,
,,,,,,,,,0,,,,,,,,,,,,,"Spawn_Smoke_ring",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"Spawn_Dust",,,,,,,,,,
"Bat Hit",,"false","false",0,"false",0,"false","false",0,"Objects","false",80,75,"sfx/barbarian_hit_stuff2.ogg",20,0,110,0,90,"false","false","Hit",0,,"false","sfx/bat_atk_hit_01.ogg",0,"false","false",15,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,"sfx/bat_atk_hit_01.ogg",,,,15,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,"sfx/bat_atk_hit_01.ogg",,,,15,,
"BatSpell Summon1",,"false","false",0,"false",0,"false","false",0,"Ground","false",75,65,"sfx/healer_hit_01.ogg",60,0,100,0,100,"false","false","bat_lightrays",0,,"false","sfx/clashbat_spell_01.ogg",0,"false","false",60,,
,,,,,,,,,0,,,,,,,,,,,,,"bat_summon_purple_glow1",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"bat_summon_area_edge1",,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,"bat_rings",,,,,,,,,,
"BatSpell Summon2",,"false","false",0,"false",0,"false","false",0,"Ground","false",75,65,"sfx/healer_hit_01.ogg",60,0,100,0,100,"false","false","bat_lightrays",0,,"false","sfx/clashbat_spell_01.ogg",0,"false","false",60,,
