"Name","TaskType","ProgressType","Category","Set","TID","InfoTID","IconSWF","IconExportName","MinScore","MaxScore","MinDurationMinutes","MaxDurationMinutes","MinQuantity","MaxQuantity","MinQuantity2","MaxQuantity2","Data1","Data2","SelectionWeight","MinLeague","MaxLeague","Disabled"
"DestroyDarkElixirPumps","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_DARKELIXIRPUMPS","TID_CLANGAMES_TASK_INFO_DESTROY_DARKELIXIRPUMPS","sc/buildings.sc","darkelixir_pump_lvl4",100,100,480,480,5,5,,,"Dark Elixir Pump",,45,0,10,
"DestroyDarkElixirStorages","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_DARKELIXIRSTORAGES","TID_CLANGAMES_TASK_INFO_DESTROY_DARKELIXIRSTORAGES","sc/buildings.sc","darkelixir_storage_level3",125,125,480,480,2,2,,,"Dark Elixir Storage",,45,0,10,
"DestroyClanCastles","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_CLANCASTLES","TID_CLANGAMES_TASK_INFO_DESTROY_CLANCASTLES","sc/buildings.sc","alliance_castle_lvl2",100,100,480,480,2,2,,,"Alliance Castle",,45,0,10,
"DestroyLaboratories","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_LABORATORIES","TID_CLANGAMES_TASK_INFO_DESTROY_LABORATORIES","sc/buildings.sc","laboratory_lvl6",50,50,480,480,3,3,,,"Laboratory",,18,0,10,
"DestroySpellFactories","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_SPELLFACTORIES","TID_CLANGAMES_TASK_INFO_DESTROY_SPELLFACTORIES","sc/buildings.sc","spell_factory_lvl3",50,50,480,480,3,3,,,"Spell Forge",,18,0,10,
"DestroyDarkSpellFactories","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_DARKSPELLFACTORIES","TID_CLANGAMES_TASK_INFO_DESTROY_DARKSPELLFACTORIES","sc/buildings.sc","mini_spell_distillery_lvl1",50,50,480,480,3,3,,,"Mini Spell Factory",,18,0,10,
"DestroyAirSweepers","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_AIRSWEEPERS","TID_CLANGAMES_TASK_INFO_DESTROY_AIRSWEEPERS","sc/buildings.sc","air_mortar_lvl2",100,100,480,480,4,4,,,"Air Blaster",,45,0,10,
"DestroyAirDefenses","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_AIRDEFENSES","TID_CLANGAMES_TASK_INFO_DESTROY_AIRDEFENSES","sc/buildings.sc","fireworks_tower_lvl6",100,100,480,480,8,8,,,"Air Defense",,45,0,10,
"DestroyInfernoTowers","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_INFERNOTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_INFERNOTOWERS","sc/buildings.sc","dark_tower_lvl2",125,125,480,480,4,4,,,"Dark Tower",,45,0,10,
"DestroyBombTowers","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_BOMBTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_BOMBTOWERS","sc/buildings.sc","bomb_tower_lvl1",125,125,480,480,4,4,,,"Bomb Tower",,45,0,10,
"DestroyTeslaTowers","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_TESLATOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_TESLATOWERS","sc/buildings.sc","teslatower_lvl5_setup",100,100,480,480,8,8,,,"Tesla Tower",,45,0,10,
"DestroyXbows","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_XBOWS","TID_CLANGAMES_TASK_INFO_DESTROY_XBOWS","sc/buildings.sc","rapidfire_turret_lvl1",125,125,480,480,8,8,,,"Bow",,45,0,10,
"DestroyKingAltars","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_KINGALTARS","TID_CLANGAMES_TASK_INFO_DESTROY_KINGALTARS","sc/buildings.sc","heroaltar_barbarian_king_lvl1",50,50,480,480,3,3,,,"Hero Altar Barbarian King",,18,0,10,
"DestroyQueenAltars","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_QUEENALTARS","TID_CLANGAMES_TASK_INFO_DESTROY_QUEENALTARS","sc/buildings.sc","heroaltar_archer_queen_lvl1",50,50,480,480,3,3,,,"Hero Altar Archer Queen",,18,0,10,
"DestroyWardenAltars","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_WARDENALTARS","TID_CLANGAMES_TASK_INFO_DESTROY_WARDENALTARS","sc/buildings.sc","heroaltar_elder_lvl1",50,50,480,480,3,3,,,"Hero Altar Grand Warden",,18,0,10,
"WinHomeBattles","WinHomeBattles","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_WIN_HOMEBATTLES","TID_CLANGAMES_TASK_INFO_WIN_HOMEBATTLES","sc/ui.sc","Home_Win_Battles_Icon",100,100,480,480,2,2,,,,,120,0,10,
"WinHomeBattles3Stars","WinHomeBattles3Stars","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_WIN_HOMEBATTLES3STARS","TID_CLANGAMES_TASK_INFO_WIN_HOMEBATTLES3STARS","sc/ui.sc","Home_Get_3Stars_Icon",200,200,480,480,1,1,,,,,120,0,10,
"GetHomeBattleStars","GetHomeBattleStars","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_GET_HOMEBATTLESTARS","TID_CLANGAMES_TASK_INFO_GET_HOMEBATTLESTARS","sc/ui.sc","Home_Collect_Stars_Icon",100,100,480,480,6,6,,,,,300,0,10,
"GetHomeBattleDestruction","GetHomeBattleDestruction","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_GET_HOMEBATTLEDESTRUCTION","TID_CLANGAMES_TASK_INFO_GET_HOMEBATTLEDESTRUCTION","sc/ui.sc","Home_Get_Desturction_Icon",100,100,480,480,100,100,,,,,300,0,10,
"LootGold","LootResources","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_LOOT_GOLD","TID_CLANGAMES_TASK_INFO_LOOT_GOLD","sc/ui.sc","Home_Loot_Gold",100,100,480,480,500000,500000,,,"Gold",,150,0,10,
"LootElixir","LootResources","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_LOOT_ELIXIR","TID_CLANGAMES_TASK_INFO_LOOT_ELIXIR","sc/ui.sc","Home_Loot_Elixir",100,100,480,480,500000,500000,,,"Elixir",,150,0,10,
"LootDarkElixir","LootResources","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_LOOT_DARKELIXIR","TID_CLANGAMES_TASK_INFO_LOOT_DARKELIXIR","sc/ui.sc","Home_Loot_DarkElixir",100,100,480,480,5000,5000,,,"DarkElixir",,100,0,10,
"DonateTroops","DonateTroopCapacity","Accumulative","Social","Regular","TID_CLANGAMES_TASK_DONATE_TROOPS","TID_CLANGAMES_TASK_INFO_DONATE_TROOPS","sc/ui.sc","Home_Donate_Troops",50,50,480,480,100,100,,,,,300,0,10,
"DonateSpells","DonateSpellCapacity","Accumulative","Social","Regular","TID_CLANGAMES_TASK_DONATE_SPELLS","TID_CLANGAMES_TASK_INFO_DONATE_SPELLS","sc/ui.sc","Home_Donate_Spells",50,50,480,480,10,10,,,,,300,0,10,
"ClearObstacles","ClearObstacles","Accumulative","Build","Regular","TID_CLANGAMES_TASK_CLEAR_OBSTACLES","TID_CLANGAMES_TASK_INFO_CLEAR_OBSTACLES","sc/ui.sc","Home_Clear_Obstacles",50,50,480,480,5,5,,,,,300,0,10,
"WinHomeBattlesInRow","WinHomeBattles","Consecutive","Battle","Regular","TID_CLANGAMES_TASK_WIN_HOMEBATTLESINROW","TID_CLANGAMES_TASK_INFO_WIN_HOMEBATTLESINROW","sc/ui.sc","Home_Win_Battles_Icon",150,150,480,480,2,2,,,"DarkElixir",,80,0,10,
"BeatDarkElixirTarget","LootResources","Best","Battle","Regular","TID_CLANGAMES_TASK_BEAT_DARKELIXIRTARGET","TID_CLANGAMES_TASK_INFO_BEAT_DARKELIXIRTARGET","sc/ui.sc","Home_Get_DarkElixirtarget",50,50,480,480,1500,1500,,,"DarkElixir",,100,0,10,
"BeatGoldTarget","LootResources","Best","Battle","Regular","TID_CLANGAMES_TASK_BEAT_GOLDTARGET","TID_CLANGAMES_TASK_INFO_BEAT_GOLDTARGET","sc/ui.sc","Home_Get_Goldtarget",50,50,480,480,150000,150000,,,"Gold",,100,0,10,
"BeatElixirTarget","LootResources","Best","Battle","Regular","TID_CLANGAMES_TASK_BEAT_ELIXIRTARGET","TID_CLANGAMES_TASK_INFO_BEAT_ELIXIRTARGET","sc/ui.sc","Home_Get_Elixirtarget",50,50,480,480,150000,150000,,,"Elixir",,100,0,10,
"UseBarbarians","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_BARBARIANS","TID_CLANGAMES_TASK_INFO_USE_BARBARIANS","sc/ui.sc","icon_unit_barbarian",100,100,480,480,5,5,30,30,"Barbarian",,60,0,10,
"UseArchers","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_ARCHERS","TID_CLANGAMES_TASK_INFO_USE_ARCHERS","sc/ui.sc","icon_unit_archer",100,100,480,480,5,5,30,30,"Archer",,60,0,10,
"UseGoblins","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_GOBLINS","TID_CLANGAMES_TASK_INFO_USE_GOBLINS","sc/ui.sc","icon_unit_goblin",100,100,480,480,5,5,20,20,"Goblin",,60,0,10,
"UseGiants","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_GIANTS","TID_CLANGAMES_TASK_INFO_USE_GIANTS","sc/ui.sc","icon_unit_giant",100,100,480,480,5,5,10,10,"Giant",,60,0,10,
"UseWallBreakers","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_WALLBREAKERS","TID_CLANGAMES_TASK_INFO_USE_WALLBREAKERS","sc/ui.sc","icon_unit_wallbreaker",100,100,480,480,5,5,6,6,"Wall Breaker",,60,0,10,
"UseLoons","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_LOONS","TID_CLANGAMES_TASK_INFO_USE_LOONS","sc/ui.sc","icon_unit_balloon",100,100,480,480,5,5,12,12,"Balloon",,60,0,10,
"UseWizards","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_WIZARDS","TID_CLANGAMES_TASK_INFO_USE_WIZARDS","sc/ui.sc","icon_unit_wizard",100,100,480,480,5,5,12,12,"Wizard",,60,0,10,
"UseHealers","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_HEALERS","TID_CLANGAMES_TASK_INFO_USE_HEALERS","sc/ui.sc","icon_unit_healer",100,100,480,480,5,5,3,3,"Healer",,60,0,10,
"UseMinions","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_MINIONS","TID_CLANGAMES_TASK_INFO_USE_MINIONS","sc/ui.sc","icon_unit_gargoyle",100,100,480,480,5,5,20,20,"Gargoyle",,60,0,10,
"UseHogRiders","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_HOGRIDERS","TID_CLANGAMES_TASK_INFO_USE_HOGRIDERS","sc/ui.sc","icon_unit_boarRider",100,100,480,480,5,5,10,10,"Boar Rider",,60,0,10,
"UseDragons","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_DRAGONS","TID_CLANGAMES_TASK_INFO_USE_DRAGONS","sc/ui.sc","icon_unit_dragon",100,100,480,480,5,5,6,6,"Dragon",,60,0,10,
"UsePEKKAs","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_PEKKAS","TID_CLANGAMES_TASK_INFO_USE_PEKKAS","sc/ui.sc","icon_unit_pekka",100,100,480,480,5,5,2,2,"PEKKA",,60,0,10,
"UseValkyries","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_VALKYRIES","TID_CLANGAMES_TASK_INFO_USE_VALKYRIES","sc/ui.sc","icon_unit_warriorGirl",100,100,480,480,5,5,8,8,"Warrior Girl",,60,0,10,
"UseGolems","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_GOLEMS","TID_CLANGAMES_TASK_INFO_USE_GOLEMS","sc/ui.sc","icon_unit_golem",100,100,480,480,5,5,2,2,"Golem",,60,0,10,
"UseWitches","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_WITCHES","TID_CLANGAMES_TASK_INFO_USE_WITCHES","sc/ui.sc","icon_unit_witch",100,100,480,480,5,5,4,4,"Warlock",,60,0,10,
"UseLavaHounds","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_LAVAHOUNDS","TID_CLANGAMES_TASK_INFO_USE_LAVAHOUNDS","sc/ui.sc","icon_unit_tiny",100,100,480,480,5,5,3,3,"AirDefenceSeeker",,60,0,10,
"UseBabyDragons","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_BABYDRAGONS","TID_CLANGAMES_TASK_INFO_USE_BABYDRAGONS","sc/ui.sc","icon_unit_babydragon",100,100,480,480,5,5,4,4,"BabyDragon",,60,0,10,
"UseBowlers","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_BOWLERS","TID_CLANGAMES_TASK_INFO_USE_BOWLERS","sc/ui.sc","icon_unit_troll",100,100,480,480,5,5,8,8,"Bowler",,60,0,10,
"UseMiners","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_MINERS","TID_CLANGAMES_TASK_INFO_USE_MINERS","sc/ui.sc","icon_unit_miner",100,100,480,480,5,5,8,8,"Miner",,60,0,10,
"UseRagedBarbarians","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_RAGEDBARBARIANS","TID_CLANGAMES_TASK_INFO_USE_RAGEDBARBARIANS","sc/ui.sc","icon_unit_raged_barbarian",100,100,480,480,5,5,4,4,"Barbarian2",,60,0,10,
"UseSneakyArchers","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_SNEAKYARCHERS","TID_CLANGAMES_TASK_INFO_USE_SNEAKYARCHERS","sc/ui.sc","icon_unit_stealthy_archer",100,100,480,480,5,5,4,4,"Archer2",,60,0,10,
"UseBetaMinions","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_BETAMINIONS","TID_CLANGAMES_TASK_INFO_USE_BETAMINIONS","sc/ui.sc","icon_unit_glowing_minion",100,100,480,480,5,5,8,8,"Gargoyle2",,60,0,10,
"UseBoxerGiants","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_BOXERGIANTS","TID_CLANGAMES_TASK_INFO_USE_BOXERGIANTS","sc/ui.sc","icon_unit_boxergiant",100,100,480,480,5,5,2,2,"Giant2",,60,0,10,
"UseBombers","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_BOMBERS","TID_CLANGAMES_TASK_INFO_USE_BOMBERS","sc/ui.sc","icon_unit_bomber",100,100,480,480,5,5,1,1,"Bomber2",,60,0,10,
"UseCannonCarts","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_CANNONCARTS","TID_CLANGAMES_TASK_INFO_USE_CANNONCARTS","sc/ui.sc","icon_unit_movingCannon",100,100,480,480,5,5,2,2,"Moving Cannon",,40,0,10,
"UseDropShips","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_DROPSHIPS","TID_CLANGAMES_TASK_INFO_USE_DROPSHIPS","sc/ui.sc","icon_unit_skeletonBalloon",100,100,480,480,5,5,2,2,"Balloon2",,20,0,10,
"UseBabyDragons2","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_BABYDRAGONS2","TID_CLANGAMES_TASK_INFO_USE_BABYDRAGONS2","sc/ui.sc","icon_unit_babydragon",100,100,480,480,5,5,2,2,"BabyDragon2",,40,0,10,
"UseNightWitches","WinStarsUsingTroop","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_USE_NIGHTWITCHES","TID_CLANGAMES_TASK_INFO_USE_NIGHTWITCHES","sc/ui.sc","icon_unit_nightwitch",100,100,480,480,5,5,2,2,"Dark Witch",,40,0,10,
"WinBuilderBattles","WinBuilderBattles","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_WIN_BUILDERBATTLES","TID_CLANGAMES_TASK_INFO_WIN_BUILDERBATTLES","sc/ui.sc","Builder_Win_Battles_Icon",100,100,480,480,4,4,,,,,300,0,10,
"GetBuilderBattleStars","GetBuilderBattleStars","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_GET_BUILDERBATTLESTARS","TID_CLANGAMES_TASK_INFO_GET_BUILDERBATTLESTARS","sc/ui.sc","Builder_Collect_Stars_Icon",100,100,480,480,8,8,,,,,300,0,10,
"GetBuilderBattleDestruction","GetBuilderBattleDestruction","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_GET_BUILDERBATTLEDESTRUCTION","TID_CLANGAMES_TASK_INFO_GET_BUILDERBATTLEDESTRUCTION","sc/ui.sc","Builder_Get_Destruction_Icon",100,100,480,480,200,200,,,,,300,0,10,
"UseBarbariansSmall","WinStarsUsingTroop","Accumulative","Battle","Small","TID_CLANGAMES_TASK_USE_BARBARIANS","TID_CLANGAMES_TASK_INFO_USE_BARBARIANS","sc/ui.sc","icon_unit_barbarian",40,40,180,180,2,2,30,30,"Barbarian",,18,0,10,
"UseArchersSmall","WinStarsUsingTroop","Accumulative","Battle","Small","TID_CLANGAMES_TASK_USE_ARCHERS","TID_CLANGAMES_TASK_INFO_USE_ARCHERS","sc/ui.sc","icon_unit_archer",40,40,180,180,2,2,30,30,"Archer",,18,0,10,
"UseGoblinsSmall","WinStarsUsingTroop","Accumulative","Battle","Small","TID_CLANGAMES_TASK_USE_GOBLINS","TID_CLANGAMES_TASK_INFO_USE_GOBLINS","sc/ui.sc","icon_unit_goblin",40,40,180,180,2,2,20,20,"Goblin",,18,0,10,
"UseGiantsSmall","WinStarsUsingTroop","Accumulative","Battle","Small","TID_CLANGAMES_TASK_USE_GIANTS","TID_CLANGAMES_TASK_INFO_USE_GIANTS","sc/ui.sc","icon_unit_giant",40,40,180,180,2,2,10,10,"Giant",,18,0,10,
"UseWallBreakersSmall","WinStarsUsingTroop","Accumulative","Battle","Small","TID_CLANGAMES_TASK_USE_WALLBREAKERS","TID_CLANGAMES_TASK_INFO_USE_WALLBREAKERS","sc/ui.sc","icon_unit_wallbreaker",40,40,180,180,2,2,6,6,"Wall Breaker",,18,0,10,
"UseLoonsSmall","WinStarsUsingTroop","Accumulative","Battle","Small","TID_CLANGAMES_TASK_USE_LOONS","TID_CLANGAMES_TASK_INFO_USE_LOONS","sc/ui.sc","icon_unit_balloon",40,40,180,180,2,2,12,12,"Balloon",,18,0,10,
"UseWizardsSmall","WinStarsUsingTroop","Accumulative","Battle","Small","TID_CLANGAMES_TASK_USE_WIZARDS","TID_CLANGAMES_TASK_INFO_USE_WIZARDS","sc/ui.sc","icon_unit_wizard",40,40,180,180,2,2,12,12,"Wizard",,18,0,10,
"UseHealersSmall","WinStarsUsingTroop","Accumulative","Battle","Small","TID_CLANGAMES_TASK_USE_HEALERS","TID_CLANGAMES_TASK_INFO_USE_HEALERS","sc/ui.sc","icon_unit_healer",40,40,180,180,2,2,3,3,"Healer",,18,0,10,
"UseMinionsSmall","WinStarsUsingTroop","Accumulative","Battle","Small","TID_CLANGAMES_TASK_USE_MINIONS","TID_CLANGAMES_TASK_INFO_USE_MINIONS","sc/ui.sc","icon_unit_gargoyle",40,40,180,180,2,2,20,20,"Gargoyle",,18,0,10,
"UseHogRidersSmall","WinStarsUsingTroop","Accumulative","Battle","Small","TID_CLANGAMES_TASK_USE_HOGRIDERS","TID_CLANGAMES_TASK_INFO_USE_HOGRIDERS","sc/ui.sc","icon_unit_boarRider",40,40,180,180,2,2,10,10,"Boar Rider",,18,0,10,
"UseDragonsSmall","WinStarsUsingTroop","Accumulative","Battle","Small","TID_CLANGAMES_TASK_USE_DRAGONS","TID_CLANGAMES_TASK_INFO_USE_DRAGONS","sc/ui.sc","icon_unit_dragon",40,40,180,180,2,2,6,6,"Dragon",,18,0,10,
"UsePEKKAsSmall","WinStarsUsingTroop","Accumulative","Battle","Small","TID_CLANGAMES_TASK_USE_PEKKAS","TID_CLANGAMES_TASK_INFO_USE_PEKKAS","sc/ui.sc","icon_unit_pekka",40,40,180,180,2,2,2,2,"PEKKA",,18,0,10,
"UseValkyriesSmall","WinStarsUsingTroop","Accumulative","Battle","Small","TID_CLANGAMES_TASK_USE_VALKYRIES","TID_CLANGAMES_TASK_INFO_USE_VALKYRIES","sc/ui.sc","icon_unit_warriorGirl",40,40,180,180,2,2,8,8,"Warrior Girl",,18,0,10,
"UseGolemsSmall","WinStarsUsingTroop","Accumulative","Battle","Small","TID_CLANGAMES_TASK_USE_GOLEMS","TID_CLANGAMES_TASK_INFO_USE_GOLEMS","sc/ui.sc","icon_unit_golem",40,40,180,180,2,2,2,2,"Golem",,18,0,10,
"UseWitchesSmall","WinStarsUsingTroop","Accumulative","Battle","Small","TID_CLANGAMES_TASK_USE_WITCHES","TID_CLANGAMES_TASK_INFO_USE_WITCHES","sc/ui.sc","icon_unit_witch",40,40,180,180,2,2,4,4,"Warlock",,18,0,10,
"UseLavaHoundsSmall","WinStarsUsingTroop","Accumulative","Battle","Small","TID_CLANGAMES_TASK_USE_LAVAHOUNDS","TID_CLANGAMES_TASK_INFO_USE_LAVAHOUNDS","sc/ui.sc","icon_unit_tiny",40,40,180,180,2,2,3,3,"AirDefenceSeeker",,18,0,10,
"UseBabyDragonsSmall","WinStarsUsingTroop","Accumulative","Battle","Small","TID_CLANGAMES_TASK_USE_BABYDRAGONS","TID_CLANGAMES_TASK_INFO_USE_BABYDRAGONS","sc/ui.sc","icon_unit_babydragon",40,40,180,180,2,2,4,4,"BabyDragon",,18,0,10,
"UseBowlersSmall","WinStarsUsingTroop","Accumulative","Battle","Small","TID_CLANGAMES_TASK_USE_BOWLERS","TID_CLANGAMES_TASK_INFO_USE_BOWLERS","sc/ui.sc","icon_unit_troll",40,40,180,180,2,2,8,8,"Bowler",,18,0,10,
"UseMinersSmall","WinStarsUsingTroop","Accumulative","Battle","Small","TID_CLANGAMES_TASK_USE_MINERS","TID_CLANGAMES_TASK_INFO_USE_MINERS","sc/ui.sc","icon_unit_miner",40,40,180,180,2,2,8,8,"Miner",,18,0,10,
"DestroyEagleArtillerySmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_EAGLEARTILLERY","TID_CLANGAMES_TASK_INFO_DESTROY_EAGLEARTILLERY","sc/buildings.sc","doom_cannon_lvl2",50,50,180,180,1,1,,,"Ancient Artillery",,14,0,10,
"DestroyElixirPumpsSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_ELIXIRPUMPS","TID_CLANGAMES_TASK_INFO_DESTROY_ELIXIRPUMPS","sc/buildings.sc","elixir_pump_lvl6",40,40,180,180,6,6,,,"Elixir Pump",,14,0,10,
"DestroyGoldMinesSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_GOLDMINES","TID_CLANGAMES_TASK_INFO_DESTROY_GOLDMINES","sc/buildings.sc","goldmine_lvl6",40,40,180,180,6,6,,,"Gold Mine",,14,0,10,
"DestroyElixirStoragesSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_ELIXIRSTORAGES","TID_CLANGAMES_TASK_INFO_DESTROY_ELIXIRSTORAGES","sc/buildings.sc","elixir_storage_level6",40,40,180,180,3,3,,,"Elixir Storage",,14,0,10,
"DestroyGoldStoragesSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_GOLDSTORAGES","TID_CLANGAMES_TASK_INFO_DESTROY_GOLDSTORAGES","sc/buildings.sc","gold_storage_lvl6",40,40,180,180,3,3,,,"Gold Storage",,14,0,10,
