"Name","BuildingLevel","TID","InfoTID","BuildingClass","SecondaryTargetingClass","ShopBuildingClass","SWF","ExportName","PartsLayout","ExportNameNpc","ExportNameConstruction","ExportNameLocked","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","BuildResource","BuildCost","TownHallLevel","CapitalHallLevel","Width","Height","Icon","BuildAnimSWF","ExportNameBuildAnim","ExportNameUpgradeAnim","MaxStoredGold","MaxStoredElixir","MaxStoredDarkElixir","MaxStoredWarGold","MaxStoredWarElixir","MaxStoredWarDarkElixir","MaxStoredGold2","MaxStoredElixir2","PercentageStoredGold","PercentageStoredElixir","PercentageStoredDarkElixir","LootOnDestruction","Bunker","ArmySlotType","HousingSpace","HousingSpaceAlt","HousingSpaceSiege","ProducesResource","ResourcePer100Hours","ResourceMax","ResourceIconLimit","UnitProduction","UpgradesUnits","ProducesUnitsOfType","LevelRequirementTID","BoostCost","FreeBoost","Hitpoints","RegenTime","AttackRange","AltAttackMode","AltAttackRange","PrepareSpeed","AttackSpeed","AltAttackSpeed","CoolDownOverride","DPS","AltDPS","Damage","PreferredTarget","PreferredTargetDamageMod","RandomHitPosition","DestroyEffect","DestroyDamageEffect","AttackEffect","AttackEffect2","ChainAttackDistance","ChainAttackMaxTargets","ChainAttackDelay","ChainAttackDamageReductionPercent","AttackEffectAlt","HitEffect","Projectile","AltProjectile","ExportNameDamagedSWF","ExportNameDamaged","BuildingW","BuildingH","BaseGfx","ExportNameBase","AirTargets","GroundTargets","MultiTargets","NumMultiTargets","DamageMulti","AltAirTargets","AltGroundTargets","AltMultiTargets","AmmoCount","AmmoResource","AmmoCost","MinAttackRange","DamageRadius","PushBack","WallCornerPieces","LoadAmmoEffect","NoAmmoEffect","ToggleAttackModeEffect","PickUpEffect","PlacingEffect","AnimateTurret","DefenderCharacter","DefenderCount","DefenderZ","AltDefenderZ","DestructionXP","Locked","StartingHomeCount","Hidden","AOESpell","AOESpellAlternate","TriggerRadius","ExportNameTriggered","AppearEffect","ForgesSpells","ForgesMiniSpells","IsHeroBarrack","HeroType","IncreasingDamage","DPSLv2","DPSLv3","DPSMulti","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","TransitionEffectLv2","TransitionEffectLv3","AltNumMultiTargets","PreventsHealing","StrengthWeight","AlternatePickNewTargetDelay","AltBuildResource","SpeedMod","StatusEffectTime","ShockwavePushStrength","ShockwaveArcLength","ShockwaveExpandRadius","TargetingConeAngle","AimRotateStep","PenetratingProjectile","PenetratingRadius","PenetratingExtraRange","TurnSpeed","NeedsAim","TargetGroups","TargetGroupsRadius","HitSpell","HitSpellLevel","ExportNameBeamStart","ExportNameBeamEnd","Damage2","Damage2Radius","Damage2Delay","Damage2Min","Damage2FalloffStart","Damage2FalloffEnd","HitEffect2","WakeUpSpeed","WakeUpSpace","PreAttackEffect","ShareHeroCombatData","BurstCount","BurstDelay","AltBurstCount","AltBurstDelay","DummyProjectileCount","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","IsRed","VillageType","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","DefenceTroopCount","DefenceTroopCharacter","DefenceTroopCharacter2","DefenceTroopLevel","AmountCanBeUpgraded","SelfAsAoeCenter","NewTargetAttackDelay","GearUpBuilding","GearUpLevelRequirement","GearUpResource","GearUpCost","GearUpTime","GearUpTID","StartUpgradeBoosterCost","ActivateCombatOnDamageTaken","ActivatedCombatAddBuildingClass","CombatActivationDelay","CombatActivationEffect","Weapon","HintPriority","UpgradeTasks","UpgradeTasksRequired","AnimationActionFrame","SecondaryTroop","SecondaryTroopCnt","SecondaryTroopLvl","SpawnOnAttack","SummonTroopCount","SplashAirAndGround","RandomizeTarget","ReflectsDamage","Loot","Reward","UnoccupiedPartsLayout"
,10,,,,,,,"d0_HQ_lvl10",,,,,,,,,,1000000,9,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,,,,,,,,,280,,,,,,,,,,,,,,,,"Capital Hall Ammo3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1450,
"District Hall",1,"TID_CAPBUILD_DISHQ","TID_CAPBUILD_DISHQ_INFO","Town Hall",,,"sc/buildings_cc.sc","d1_HQ_lvl01",,,"dummy_particle",,,,,,"CapitalResource",12500,,,4,4,,"sc/buildings_cc.sc","upgrade_fence_4x4_th",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,,,,,,,,,,,,,,,"Town Hall Destroyed",,,,,,,,,,,,"sc/buildings_cc.sc","District_Hall_Broken",3,3,,"districthall_base",,,,,,,,,,,,,,,,,,,"Town Hall Pickup","Town Hall Placing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,200,135,
,2,,,,,,,"d1_HQ_lvl02",,,,,,,,,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,225,
,3,,,,,,,"d1_HQ_lvl03",,,,,,,,,,75000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,350,
,4,,,,,,,"d1_HQ_lvl04",,,,,,,,,,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,405,
,5,,,,,,,"d1_HQ_lvl06",,,,,,,,,,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,460,
"Wall",1,"TID_BUILDING_WALL","TID_CAPBUILD_WALL_INFO","Wall",,,"sc/buildings_cc.sc","cc_defense_wall_big_lvl1",,,"dummy_particle","cc_defense_wall_big_lvl0",,,,,"CapitalResource",250,1,1,1,1,,,"dummy_particle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,"wall_lvl1_destroyed",,,,,,,,,,,,,"wall_destructed_lvl1",,,,,,,,,,,,,,,,,,,,,,,"Weak Wall Pickup","Weak Wall Placing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,0,0,
,2,,,,,,,"cc_defense_wall_big_lvl2",,,,,,,,,,500,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,"wall_lvl1_destroyed",,,,,,,,,,,,,"wall_destructed_lvl1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,"cc_defense_wall_big_lvl3",,,,,,,,,,1500,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,,,,,,,,,,,,,,,"wall_lvl2_destroyed",,,,,,,,,,,,,"wall_destructed_lvl2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,"cc_defense_wall_big_lvl4",,,,,,,,,,3500,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9500,,,,,,,,,,,,,,,"wall_lvl4_destroyed",,,,,,,,,,,,,"wall_destructed_lvl5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,"cc_defense_wall_big_lvl5",,,,,,,,,,6000,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,,,,,,,,,,,,,,,"wall_lvl4_destroyed",,,,,,,,,,,,,"wall_destructed_lvl5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Player House",1,"TID_PLAYER_HOUSE","TID_PLAYER_HOUSE_INFO","NonFunctional",,,"sc/buildings_cc.sc","playerhouse_dummy","CcPlayerHouse",,"dummy_particle","ruin_player_house",,,,,"CapitalResource",,1,1,3,3,,"sc/buildings_cc.sc","upgrade_fence_3x3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,"Building Destroyed",,,,,,,,,,,,"sc/buildings_cc.sc","rockWood_destructed_tiles3",2,2,,"playerhouse_base",,,,,,,,,,,,,,,,,,,"Capital House Pick Up","Generic Placing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,30,0,"CcPlayerHouseUnoccupied"
"Army Camp",1,"TID_BUILDING_HOUSING","TID_CAPBUILD_ARMY_FIELD_INFO","Army",,,"sc/buildings_cc.sc","armyfield_lvl01",,,"dummy_particle","ruin_army_field",,,,,"CapitalResource",10000,1,,4,4,,"sc/buildings_cc.sc","upgrade_fence_4x4",,,,,,,,,,,,,,,,30,,,,,,,,,,,,,600,,,,,,,,,,,,,,,"Building Destroyed",,,,,,,,,,,,"sc/buildings_cc.sc","gen_destructed_state4",3,3,,"cc_fireplace_lvl1_base",,,,,,,,,,,,,,,,,,,"Troop Housing Pickup","Troop Housing Placing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,20,0,
,2,,,,,,,"armyfield_lvl02",,,,,,,,,,25000,2,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,
,3,,,,,,,"armyfield_lvl03",,,,,,,,,,50000,3,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,
,4,,,,,,,"armyfield_lvl04",,,,,,,,,,75000,4,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,
,5,,,,,,,"armyfield_lvl05",,,,,,,,,,150000,5,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,
"Spell Storage",1,"TID_CAPBUILD_SPELL_STORAGE","TID_CAPBUILD_SPELL_STORAGE_INFO","Army",,,"sc/buildings_cc.sc","spell_housing_lvl1",,,"dummy_particle","ruin_spell_storage",,,,,"CapitalResource",25000,1,,3,3,,"sc/buildings_cc.sc","upgrade_fence_3x3",,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1000,,,,,,,,,,,,,,,"Building Destroyed",,,,,,,,,,,,"sc/buildings_cc.sc","rockWood_destructed_tiles3",2,2,,"basic_cannon_lvl1_base",,,,,,,,,,,,,,,,,,,"Elixir Storage Pickup","Elixir Storage Placing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,30,0,
,2,,,,,,,"spell_housing_lvl2",,,,,,,,,,50000,2,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,
,3,,,,,,,"spell_housing_lvl3",,,,,,,,,,100000,3,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,
,4,,,,,,,"spell_housing_lvl4",,,,,,,,,,200000,4,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,
,5,,,,,,,"spell_housing_lvl5",,,,,,,,,,400000,5,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
"Super Barbarian Barracks",1,"TID_CAPBUILD_BARRACKS_BARBARIAN","TID_CAPBUILD_BARRACKS_BARBARIAN_INFO","Army",,,"sc/buildings_cc.sc","troop_barrack_super_barbarian_lvl1",,,"dummy_particle","ruin_troop_barrack",,,,,"CapitalResource",5000,1,,3,3,,"sc/buildings_cc.sc","upgrade_fence_3x3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,"Building Destroyed",,,,,,,,,,,,"sc/buildings_cc.sc","rockWood_destructed_tiles3",2,2,,"cc_barracks_base",,,,,,,,,,,,,,,,,,,"Training Barrack Pickup","Training Barrack Placing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,25,0,
,2,,,,,,,"troop_barrack_super_barbarian_lvl2",,,,,,,,,,12500,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,
