"Name","Dependencies","MissionCategory","VillageType","FirstStep","Deprecated","Action","Character","FixVillageObject","BuildBuilding","BuildBuildingLevel","BuildBuildingCount","DefendNPC","AttackNPC","Delay","TrainTroops","ShowMap","ClientCondition","ClientStartAction","TutorialText","TutorialStep","Darken","TutorialTextBox","TutorialCharacter","CharacterSWF","LoopAnim","SpeechBubble","RightAlignTextBox","ButtonText","TutorialMusic","TutorialSound","HighlightArrowPath","HighlightArrowDirection","ClientAction","RewardResource","RewardResourceCount","RewardXP","RewardTroop","RewardTroopCount","CustomData","Villagers","ForceCamera","WaitUntilPopupIsClosed","LinkedReengagementStep","RewindOnConditionFail","ProgressWithCondition","LinkedMission"
,,,,,,,,,,,,,,,,,"canRepairSelectedRuin && showingUpgradeScreen",,"TID_TUTORIAL_RUINS_4",,"TRUE","tutorial_friendly","grand_builder_default","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,,,,,"true",,
"Capital Upgrade","Capital Peak Intro","INFO",,,,"custom",,,,,,,,,,,"noPopups && canUpgradeCapitalBuildingOrTrap",,,-1,,,,,,,,,,,"GO:Custom.upgradableCapitalBuildingOrTrap","down",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"noPopups && canUpgradeSelectedBuildingOrTrap",,"TID_TUTORIAL_CAPITAL_UPGRADE_1",,,"tutorial_friendly","grand_builder_surprised","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/grandvillager_murmur_vo_hmm_01.ogg","UI:GameObjectButton.upgrade","down",,,,,,,,,,,,"true","true",
,,,,,,,,,,,,,,,,,"canUpgradeSelectedBuildingOrTrap && showingUpgradeScreen",,"TID_TUTORIAL_CAPITAL_UPGRADE_2",,"TRUE","tutorial_friendly","grand_builder_default","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,,,,,"true",,
,,,,,,,,,,,,,,,,,"canUpgradeSelectedBuildingOrTrap && showingUpgradeScreen",,"TID_TUTORIAL_CAPITAL_UPGRADE_3",,"TRUE","tutorial_friendly","grand_builder_default","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,,,,,"true",,
,,,,,,,,,,,,,,,,,"canUpgradeSelectedBuildingOrTrap && showingUpgradeScreen",,"TID_TUTORIAL_CAPITAL_UPGRADE_4",,"TRUE","tutorial_friendly","grand_builder_angry","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/grandvillager_murmur_vo_10.ogg",,,,,,,,,,,,,,"true",,
"Capital Army CC","Capital Peak Intro","INFO",,,,"custom",,,,,,,,,,,"noPopups && hasCapitalArmyUnlocked && !isChatOpen",,,-1,,,,,,,,,,,"UI:HUD.training","left",,,,,,,,,,,,,,"Capital Army"
,,,,,,,,,,,,,,,,,"showingPopup(TEXT_BOX_SAVE_CAPITAL_FRIENDLY_ARMY)",,"TID_TUTORIAL_CAPITAL_ARMY_1",,"TRUE","tutorial_friendly","grand_builder_default","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/grandvillager_murmur_04.ogg",,,,,,,,,,,,,,"true",,
,,,,,,,,,,,,,,,,,"showingPopup(TEXT_BOX_SAVE_CAPITAL_FRIENDLY_ARMY)",,"TID_TUTORIAL_CAPITAL_ARMY_2",,"TRUE","tutorial_friendly","grand_builder_angry","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/grandvillager_murmur_vo_10.ogg",,,,,,,,,,,,,,"true",,
,,,,,,,,,,,,,,,,,"showingPopup(TEXT_BOX_SAVE_CAPITAL_FRIENDLY_ARMY)",,"TID_TUTORIAL_CAPITAL_ARMY_3",,"TRUE","tutorial_friendly","grand_builder_default","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,,,,,"true",,
,,,,,,,,,,,,,,,,,"showingPopup(TEXT_BOX_SAVE_CAPITAL_FRIENDLY_ARMY)",,"TID_TUTORIAL_CAPITAL_ARMY_4",,"TRUE","tutorial_friendly","grand_builder_default","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,,,,,"true",,
"Capital Raid Info CC","Capital Peak Intro","INFO",,,,"custom",,,,,,,,,,,"isTopMostPopup(TEXT_BOX_CAPITAL_MAP) && onOwnCapitalMap && hasCapitalArmyUnlocked && isCapitalRaidTeasing && !isSignedUpForRaid && !areCapitalMapCloudsVisible",,"TID_TUTORIAL_RAID_TEASER_1",,"TRUE","tutorial_friendly","grand_builder_angry","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","FALSE",,,"sfx/grandvillager_murmur_vo_10.ogg",,,,,,,,,,,,,,"true",,"Capital Raid Info"
,,,,,,,,,,,,,,,,,"isTopMostPopup(TEXT_BOX_CAPITAL_MAP) && onOwnCapitalMap && hasCapitalArmyUnlocked && isCapitalRaidTeasing && !isSignedUpForRaid",,"TID_TUTORIAL_RAID_TEASER_2",,"TRUE","tutorial_friendly","grand_builder_default","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","FALSE",,,"sfx/tutor_no_talk_woop_01.ogg","UI:Popup.CapitalMap.start","right",,,,,,,,,,,,"true",,
,,,,,,,,,,,,,,,,,"isTopMostPopup(TEXT_BOX_CAPITAL_MAP) && onOwnCapitalMap && hasCapitalArmyUnlocked && isCapitalRaidTeasing && !isSignedUpForRaid",,"TID_TUTORIAL_RAID_TEASER_3",,"TRUE","tutorial_friendly","grand_builder_default","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","FALSE",,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,,,,,"true",,
"Capital Raid CC","Capital Peak Intro","INFO",,,,"custom",,,,,,,,,,,"isTopMostPopup(TEXT_BOX_CAPITAL_MAP) && onOwnCapitalMap && hasCapitalArmyUnlocked && isInCapitalRaid","setMissionCompleted(CapitalRaidInfoCC)",,-1,,,,,,,,,,,"UI:Popup.CapitalMap.raid","right",,,,,,,,,,,,,,"Capital Raid"
,,,,,,,,,,,,,,,,,"isTopMostPopup(TEXT_BOX_CAPITAL_MAP) && onRaidCapitalMap && isInCapitalRaid",,"TID_TUTORIAL_RAID_WEEKEND_1",,"TRUE","tutorial_friendly","grand_builder_default","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","FALSE",,,"sfx/grandvillager_murmur_04.ogg",,,,,,,,,,,,,,"true",,
,,,,,,,,,,,,,,,,,"isTopMostPopup(TEXT_BOX_CAPITAL_MAP) && onRaidCapitalMap && isInCapitalRaid",,"TID_TUTORIAL_RAID_WEEKEND_2",,"TRUE","tutorial_friendly","grand_builder_default","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","FALSE",,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,,,,,"true",,
,,,,,,,,,,,,,,,,,"isTopMostPopup(TEXT_BOX_CAPITAL_MAP) && onRaidCapitalMap && isInCapitalRaid",,"TID_TUTORIAL_RAID_WEEKEND_3",,"TRUE","tutorial_friendly","grand_builder_default","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","FALSE",,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,,,,,"true",,
,,,,,,,,,,,,,,,,,"isTopMostPopup(TEXT_BOX_CAPITAL_MAP) && onRaidCapitalMap && isInCapitalRaid",,"TID_TUTORIAL_RAID_WEEKEND_4",,"TRUE","tutorial_friendly","grand_builder_default","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","FALSE",,,"sfx/tutor_no_talk_woop_01.ogg","UI:Popup.CapitalMap.attackCounter","right",,,,,,,,,,,,"true",,
,,,,,,,,,,,,,,,,,"isTopMostPopup(TEXT_BOX_CAPITAL_MAP) && onRaidCapitalMap && isInCapitalRaid",,"TID_TUTORIAL_RAID_WEEKEND_5",,"TRUE","tutorial_friendly","grand_builder_default","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","FALSE",,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,,,,,"true",,
,,,,,,,,,,,,,,,,,"isTopMostPopup(TEXT_BOX_CAPITAL_MAP) && onRaidCapitalMap && isInCapitalRaid",,"TID_TUTORIAL_RAID_WEEKEND_6",,"TRUE","tutorial_friendly","grand_builder_default","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","FALSE",,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,,,,,"true",,
"Own Capital House","Capital Peak Intro","INFO",,,,"custom",,,,,,,,,,,"noPopups && canCustomizeHouse",,,"-1",,,,,,,,,,,"UI:GameObjectHudIcon.Custom.ownCapitalHouse","down",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"noPopups && canCustomizeSelectedHouse",,"TID_TUTORIAL_OWN_HOUSE_1",,"TRUE","tutorial_friendly","grand_builder_happy","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/grandvillager_murmur_vo_hmm_01.ogg",,,,,,,,,,,,,,"true",,
,,,,,,,,,,,,,,,,,"noPopups && canCustomizeSelectedHouse",,"TID_TUTORIAL_OWN_HOUSE_2",,,"tutorial_friendly","grand_builder_thinking","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/grandvillager_murmur_04.ogg","UI:GameObjectButton.customize","down",,,,,,,,,,,,"true","true",
,,,,,,,,,,,,,,,,,"canCustomizeSelectedHouse && showingPopup(TEXT_BOX_BUILDING_CUSTOMIZE_SCREEN)",,"TID_TUTORIAL_OWN_HOUSE_3",,"TRUE","tutorial_friendly","grand_builder_angry","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,,,,,"true",,
,,,,,,,,,,,,,,,,,"canCustomizeSelectedHouse && showingPopup(TEXT_BOX_BUILDING_CUSTOMIZE_SCREEN)",,"TID_TUTORIAL_OWN_HOUSE_4",,"TRUE","tutorial_friendly","grand_builder_default","sc/tutorial_character_grand_builder.sc",,"bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.ogg",,,,,,,,,,,,,,"true",,
