"TID","ID"
"TID_POPUP_UNDER_ATTACK","Kamu sedang diserang! Harap tunggu, desa akan dimuat secara otomatis."
"TID_POPUP_TRY_AGAIN","Perkiraan sisa waktu:"
"TID_BUTTON_OKAY","Oke"
"TID_POPUP_TRAIN_TITLE","Latih peleton <limit>"
"TID_INVALID_PLACEMENT","Tidak bisa mengerahkan peleton di area merah!"
"TID_ALL_TROOPS_USED","Semua pasukan dikerahkan"
"TID_OTHER_TROOP_LEFT","Pilih unit lain"
"TID_DIAMONDS","Permata"
"TID_GOLD","Emas"
"TID_ELIXIR","Eliksir"
"TID_ITEM_LEVEL","<item> (Level <number>)"
"TID_SHOP_TITLE","Toko"
"TID_ITEM_BROKEN","<item> (Rusak)"
"TID_BUILDING_ARCHER_TOWER","Menara Pemanah"
"TID_BUILDING_CLASS_ARMY","Bangunan Tentara"
"TID_BUILDING_CLASS_DEFENSE","Pertahanan"
"TID_BUILDING_CLASS_RESOURCE","Sumber Daya"
"TID_BUILDING_CLASS_WALL","Tembok"
"TID_NOT_ENOUGH_WORKERS_HEADER","Semua tukang sibuk!"
"TID_NOT_ENOUGH_WORKERS_TEXT","Selesaikan bangunan sebelumnya dan bebaskan seorang tukang?"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","Selesaikan bangunan sebelumnya dan bebaskan Master Tukang?"
"TID_NOT_ENOUGH_RESOURCE","<resource> tidak cukup!"
"TID_NOT_ENOUGH_RESOURCE_TWO","<resource1> dan <resource2> tidak cukup!"
"TID_TOWN_HALL_LEVEL_TOO_LOW","Perlu meningkatkan Balai Kota ke level <number>!"
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","Perlu meningkatkan Aula Tukang ke level <number>!"
"TID_POPUP_UPGRADE_TITLE","Tingkatkan ke level <number>?"
"TID_POPUP_UPGRADE_BUILD_MORE","Bangun lagi:"
"TID_RESOURCE_CAP_FULL_GOLD","Bangun lebih banyak atau tingkatkan Penyimpanan Emas yang sudah ada!"
"TID_RESOURCE_CAP_FULL_ELIXIR","Bangun lebih banyak atau tingkatkan Penyimpanan Eliksir yang sudah ada!"
"TID_RESOURCE_CAP_FULL_GENERIC","Bangun lebih banyak atau tingkatkan penyimpanan yang ada!"
"TID_POPUP_FRIEND_LIST_TITLE","Teman"
"TID_POPUP_SOCIAL_LIST_TITLE","Sosial"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","Sambungkan ke Facebook"
"TID_LOGIN_TO_FACEBOOK_BUTTON","Masuk ke Facebook"
"TID_LOADING_FACEBOOK_FRIENDS","Memuat daftar teman ..."
"TID_OBSTACLE_TOMBSTONE","Batu nisan"
"TID_NO_FACEBOOK_FRIENDS","Tidak dapat menemukan teman Facebook yang bermain Clash of Clans"
"TID_ATTACK_FAIL_NO_MATCHES","Tidak dapat menemukan desa untuk diserang!"
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","Tidak dapat menyerang! Desa sedang diserang."
"TID_ATTACK_FAIL_TARGET_ONLINE","Tidak dapat menyerang! Pemilik desa sedang online."
"TID_ATTACK_FAIL_SAME_ALLIANCE","Tidak dapat menyerang anggota klanmu sendiri!"
"TID_ATTACK_FAIL_SHIELD","Tidak dapat menyerang! Desa memiliki Perisai aktif"
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","Tidak dapat menyerang! Selisih level lebih dari <level>"
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","Tidak dapat menyerang desa ini karena Balai Kotanya di bawah level <number>."
"TID_DEFAULT_VILLAGE_NAME","Desa <name>"
"TID_BATTLE_LOG_TITLE","Kamu telah diserang!"
"TID_BATTLE_LOG_ITEM","<name> menyerangmu <time> yang lalu."
"TID_NO_TROOPS","Harus melatih peleton terlebih dahulu."
"TID_NO_SPELLS","Perlu meracik mantra terlebih dahulu."
"TID_ERROR_POP_UP_BANNED_TITLE","Informasi Akun!"
"TID_ERROR_POP_UP_BANNED","Kamu diblokir untuk sementara"
"TID_ERROR_POP_UP_BANNED_BUTTON","Oke"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Kesalahan sambungan"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Tidak dapat tersambung ke server. Periksa sambungan internet, lalu coba lagi."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Coba lagi"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Sambungan terputus"
"TID_ERROR_POP_UP_CONNECTION_LOST","Sambunganmu dengan server terputus. Periksa sambungan internet, lalu coba lagi."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Coba lagi"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Ada orang di sana?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Sambunganmu terputus karena tidak aktif."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Muat ulang game"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Gagal masuk"
"TID_ERROR_POP_UP_LOGIN_FAILED","Coba lagi nanti."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Coba lagi"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Tersedia pembaruan!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Kabar baik! Versi baru game kini tersedia."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Pembaruan"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Kesalahan!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Klien dan server tidak sinkron! Pembaruan terkini yang mencakup perbaikan bug dan beberapa perombakan telah tersedia di toko aplikasi!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Muat ulang game"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Jeda Pemeliharaan"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Maaf, server sedang dalam pemeliharaan. Coba lagi nanti."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Coba lagi"
"TID_BUILDING_ALLIANCE_CASTLE","Kastel Klan"
"TID_BUILDING_ALLIANCE_MARKER","Bendera Klan"
"TID_COMM_MAST","Menara Radio"
"TID_TRAP_MINE","Bom"
"TID_TRAP_EJECTOR","Jebakan Pegas"
"TID_SHOP_GUARD_2H","Penjaga Dua Jam"
"TID_SHOP_SHIELD_1D","Perisai Satu Hari"
"TID_SHOP_SHIELD_2D","Perisai Dua Hari"
"TID_SHOP_SHIELD_7D","Perisai Satu Minggu"
"TID_ALLIANCE_MAIN_BUTTON","Klan"
"TID_ALLIANCE_LIST_HEADER","Klan"
"TID_CREATE_ALLIANCE_BUTTON","Buat"
"TID_LEAVE_ALLIANCE_BUTTON","Keluar"
"TID_JOIN_ALLIANCE_TAB","Gabung ke Klan"
"TID_CREATE_ALLIANCE_TAB","Buat Klan"
"TID_MY_ALLIANCE_TAB","Klanku"
"TID_ALLIANCE_BUTTON_EDIT","Edit"
"TID_ALLIANCE_CREATE_NAME","Nama Klan:"
"TID_ALLIANCE_CREATE_DESCRIPTION","Deskripsi:"
"TID_ALLIANCE_CREATE_BADGE","Lencana:"
"TID_ALLIANCE_CREATE_TYPE","Tipe Klan:"
"TID_ALLIANCE_BADGE_BROWSE","Pilih"
"TID_ALLIANCE_TYPE_OPEN","Terbuka"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Khusus undangan"
"TID_ALLIANCE_TYPE_CLOSED","Tutup"
"TID_TOO_SHORT_ALLIANCE_NAME","Nama Klanmu terlalu pendek!"
"TID_BACK_BUTTON","Kembali"
"TID_ALLIANCE_SELECT_BADGE","Edit Lencana Klan"
"TID_ALLIANCE_JOIN_BUTTON","Gabung"
"TID_ALLIANCE_JOIN_OK","Kamu sekarang anggota klan <name>!"
"TID_ALLIANCE_CREATE_OK","Klan baru berhasil didirikan!"
"TID_ALLIANCE_BUTTON_LEAVE","Tinggalkan"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","Tinggalkan Klan?"
"TID_ALLIANCE_LEAVE_CONFIRMATION","Benar-benar ingin pergi?"
"TID_ALLIANCE_ROLE_ADMIN","Senior"
"TID_ALLIANCE_ROLE_LEADER","Pemimpin"
"TID_ALLIANCE_ROLE_MEMBER","Anggota"
"TID_ALLIANCE_PROMOTE_BUTTON","Promosikan menjadi <role>"
"TID_ALLIANCE_DEMOTE_BUTTON","Diturunkan menjadi <role>"
"TID_ALLIANCE_ACCEPTED_BY","Diterima oleh <name>"
"TID_ALLIANCE_REJECTED_BY","Ditolak oleh <name>"
"TID_ALLIANCE_REQUEST_SENT","Permintaan telah terkirim!"
"TID_ALLIANCE_INVITATION_OK","Undangan berhasil terkirim."
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","Tidak dapat mengundang, pemain tidak memiliki Kastel Klan!"
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","Pemain telah bergabung dengan satu klan!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","Pemain itu telah diundang!"
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","Saya ingin bergabung dengan klanmu"
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","Terima permintaan untuk bergabung?"
"TID_KICK_OUT_FROM_ALLIANCE","Tendang"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","Turun?"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","Jadikan <name> Pemimpin Klan baru?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","Promosikan?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","Promosikan <name> menjadi Senior Klan?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","Turunkan?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","Turunkan <name> menjadi Anggota Klan?"
"TID_VISIT_BUTTON","Kunjungi"
"TID_VIEW_PROFILE_BUTTON","Profil"
"TID_INVITE_BUTTON","Undang"
"TID_VIEW_ALLIANCE","Lihat Klan"
"TID_SETTINGS_LANGUAGE","Bahasa"
"TID_SAVE_ALLIANCE_SETTINGS","Simpan"
"TID_STREAM_DONATE_TEXT","perlu bantuan"
"TID_STREAM_DONATE_BUTTON","Sumbang"
"TID_ALLIANCE_DONATE_HEADER","Sumbangkan Bantuan"
"TID_BUTTON_REQUEST_TROOPS","Minta"
"TID_TROOP_REQUEST_SENT","Permintaan telah terkirim!"
"TID_ALLIANCE_STREAM_THANKS","Terima kasih untuk bantuannya!"
"TID_ALLIANCE_TROOP_RECEIVED","Kamu memperoleh <troop> level <level> dari <avatar>!"
"TID_BARBARIAN","Orang Barbar"
"TID_ARCHER","Pemanah"
"TID_GIANT","Raksasa"
"TID_DRAGON","Naga"
"TID_PEKKA","P.E.K.K.A"
"TID_GOBLIN","Goblin"
"TID_WALL_BREAKER","Penghancur Tembok"
"TID_GOBLIN_BALLOON","Balon"
"TID_HEALER","Penyembuh"
"TID_WIZARD","Penyihir"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","Kastel Klan sudah penuh!"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","Tunggulah sebentar sebelum meminta bantuan lagi."
"TID_ALLIANCE_STREAM_REWARD","Kamu menerima <number> xp"
"TID_HOUSING_TROOPS_INSIDE","Semua peleton:"
"TID_UNIT_STORAGE_CAPACITY","Kapasitas peleton: <number>"
"TID_REGENERATION_TIME","Waktu regenerasi: <number> Menit"
"TID_HITPOINTS","HP: <number>"
"TID_DPS","Kerusakan per detik: <number>"
"TID_BURST_SIZE","Api ledakan: <number> tembakan"
"TID_HEAL","Sembuhkan: <number>"
"TID_TRAIN_COST","Biaya Latihan: <number> <resource>"
"TID_RESOURCE_STORAGE_CAPACITY","Kapasitas Penyimpanan: <number>"
"TID_PRODUCTION_RATE","Laju Produksi: <number> per jam"
"TID_PRODUCTION_CAPACITY","Kapasitas: <number>"
"TID_TRAINING_TIME","Waktu Latihan: <number>"
"TID_TRAINING_TIME_REDUCTION","Pengurangan Waktu Latihan: <number>"
"TID_HOUSING_INFO","Peletonmu ditempatkan di Kamp Tentara. Bangun lebih banyak kamp dan tingkatkan untuk mengumpulkan tentara yang kuat."
"TID_TOWN_HALL_INFO","Segala kehidupan di Desa berpusat di Balai Kota. Dengan meningkatkan Balai Kota, kamu akan membuka pertahanan, bangunan, jebakan baru, dan banyak lagi.\nMenang + Bintang ke-1: Hancurkan Balai Kota lawan. Bintang ke-2: Hancurkan 50% bangunan lawan. Bintang ke-3: Libas habis 100% Desa lawan.\nPERLU DIINGAT! Lawan juga akan mencoba menghancurkan Balai Kota milikmu!\nUntuk perlindungan maksimum, tempatkan Balai Kota di tengah Desa dan lindungi dengan tembok, jebakan, serta bangunan pertahanan. Asumsikan bahwa lawanmu punya seribu satu strategi dan bisa menyerang dari segala arah!"
"TID_ELIXIR_PUMP_INFO","Eliksir dipompa dari Garis Ajaib Ley yang melintas di bawah desamu. Tingkatkan Pengumpul Eliksir untuk memaksimalkan produksi Eliksir."
"TID_ELIXIR_STORAGE_INFO","Penyimpanan ini berisi eliksir yang dipompa dari bawah tanah. Tingkatkan untuk menambah jumlah maksimum eliksir yang dapat disimpan."
"TID_GOLD_MINE_INFO","Tambang Emas memproduksi emas. Tingkatkan untuk menambah produksi dan kapasitas penyimpanan emas."
"TID_GOLD_STORAGE_INFO","Semua emas berhargamu disimpan di sini. Jangan biarkan goblin licik dekat-dekat! Tingkatkan penyimpanan untuk menambah kapasitas dan ketahanannya melawan serangan."
"TID_BARRACK_INFO","Di Barak, kamu bisa melatih peleton untuk menyerang musuh. Tingkatkan Barak untuk membuka unit canggih yang bisa memenangkan pertempuran epik."
"TID_BASIC_TURRET_INFO","Meriam bagus untuk pertahanan titik tertentu. Tingkatkan meriam untuk menambah kekuatan tembaknya, tapi ingat, meriam pertahananmu tidak dapat menembak selagi ditingkatkan!"
"TID_ARCHER_TOWER_INFO","Menara Pemanah memiliki jangkauan lebih panjang daripada meriam, dan tidak seperti meriam, menara ini bisa menyerang musuh terbang."
"TID_WIZARD_TOWER_INFO","Pertahanan Magis Terhebat! Menara Penyihir mengeluarkan mantra dengan efek area yang kuat, menarget peleton darat dan udara."
"TID_TESLA_TOWER_INFO","Pasang jebakan mematikan dengan Tesla Tersembunyi! Penyihir kita telah mengumpulkan awan badai di setiap menara cerdik ini. Saat musuh berjalan atau terbang cukup dekat, menara akan menyeruak dan menggorengnya dengan kekuatan Kelistrikan!"
"TID_AIR_DEFENSE_INFO","Menara antiudara ini mematikan melawan musuh yang terbang, namun tidak dapat menarget musuh di darat. Tempatkan secara bijak untuk mencakup ruang udara seluas mungkin."
"TID_MORTAR_INFO","Mortir kini dapat menggilas gerombolan musuh dengan cipratan kerusakan dari sasisnya. Jangan biarkan musuh dekat-dekat!"
"TID_ALLIANCE_CASTLE_INFO","Kastel Klan menampung Bank dan segala peleton atau mantra bantuan yang dikirimkan rekan satu klan."
"TID_WORKER_INFO","Tidak akan ada yang tergarap di sini tanpa Tukang! Sewa lebih banyak tukang untuk memulai banyak proyek pembangunan atau percepat kerja mereka menggunakan permata hijau."
"TID_LABORATORY_INFO","Rahasia gelap apa yang disembunyikan para Penyihir ini di Laboratorium mereka? Tidak ada yang berani mencari tahu. Yang kita tahu hanyalah riset mereka membuat mantra dan peleton kita lebih tangguh, hebat, cepat, dan kuat!"
"TID_STREAM_SENDER_YOU","Kamu"
"TID_SHIELD_ACTIVATED","Perisai lawan diaktifkan untuk <hours> jam"
"TID_STREAM_ENTRY_AGE","<time> yang lalu"
"TID_UPGRADE_WINDOW_NOTE","Perhatian!"
"TID_OBSTACLE_CLEAR_TIME","Waktu penyingkiran"
"TID_UPGRADE_TIME","Waktu peningkatan"
"TID_BUILD_TIME","Waktu pembangunan"
"TID_GEAR_UP_TIME","Waktu Siap Alat"
"TID_UNLOCK_BUILDINGS","Membuka Bangunan:"
"TID_REQUIRED_EXP_LEVEL","Perlu Pengalaman Level <number>"
"TID_REQUIRED_TOWN_HALL_LEVEL","Perlu Balai Kota Level <number>"
"TID_REQUIRED_BUILDERS_HALL_LEVEL","Perlu Aula Tukang Level <number>"
"TID_REQUIRED_CASTLE_LEVEL","Perlu Kastel Level <number>"
"TID_REQUIRED_BARRACK_LEVEL","Perlu Barak Level <number>"
"TID_REQUIRED_DARK_BARRACK_LEVEL","Perlu Barak Hitam Level <number>"
"TID_REQUIRED_LABORATORY_LEVEL","Perlu Laboratorium Level <number>"
"TID_INFO_PREFERRED_TARGET","Target favorit:"
"TID_PREFERRED_TARGET_ANY","Bebas"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","(Kerusakan x<number>)"
"TID_INFO_TARGET_TYPE","Target:"
"TID_INFO_DAMAGE_TYPE","Tipe kerusakan:"
"TID_INFO_HEAL_TYPE","Tipe penyembuhan:"
"TID_INFO_HOUSING","Kapasitas:"
"TID_INFO_TRAINING_TIME","Waktu Latihan:"
"TID_INFO_RANGE","Jangkauan:"
"TID_INFO_TARGET_TYPE_GROUND","Darat"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","Darat & Udara"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","Darat atau Udara"
"TID_INFO_TARGET_TYPE_AIR","Udara"
"TID_INFO_DAMAGE_TYPE_AOE","Percikan Area"
"TID_INFO_DAMAGE_TYPE_SINGLE","Target Tunggal"
"TID_INFO_RANGE_VALUE","<number> Petak"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","<item> ditingkatkan ke level <level>"
"TID_LOCAL_NOTIFICATION_BUILDING_READY","Pembangunan <item> selesai"
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","Bonus Bintang tersedia! Saatnya bertempur!"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","Chief, durasi perisai kita habis!"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","Ups, lupa melatih tentara?"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","Ups, lupa meracik mantra?"
"TID_NEW","Baru"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","Hentikan pembangunan?"
"TID_POPUP_CANCEL_CONSTRUCTION","Yakin ingin berhenti membangun <item>? Biaya hanya akan dikembalikan <number>%."
"TID_POPUP_CANCEL_UPGRADE_TITLE","Hentikan peningkatan?"
"TID_POPUP_CANCEL_UPGRADE","Yakin ingin berhenti meningkatkan <item>? Biaya hanya akan dikembalikan <number>%."
"TID_POPUP_CANCEL_CLEAR_TITLE","Hentikan penyingkiran?"
"TID_POPUP_CANCEL_CLEAR","Yakin ingin berhenti menyingkirkan <item>?"
"TID_ALLIANCE_LEADERBOARDS","Klan Teratas"
"TID_PLAYER_LEADERBOARDS","Pemain Teratas"
"TID_AVAILABLE_LOOT","Rampasan Tersedia:"
"TID_INFO","i"
"TID_ATTACK_BUTTON","Serang"
"TID_ALLIANCE_SNEAK_PREVIEW","Buka Klan dengan membangun kembali Kastel Klan!\n\nRekan satu klan saling membantu dan dapat mengirimkan bantuan peleton dan mantra."
"TID_BUILD_TIME_INSTANT","Tidak ada"
"TID_BUILDING_CAP_REACHED","Bangunan ini sudah dibangun dalam jumlah maksimum."
"TID_DIAMONDS_FOUND","Kamu menemukan <number> permata di <name>!"
"TID_DIAMOND_FOUND","Kamu menemukan permata di <name>!"
"TID_SHOP_CATEGORY_DECOS","Dekorasi"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","Sumber Daya"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","Tentara"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","Pertahanan"
"TID_SHOP_CATEGORY_TREASURE","Harta Karun"
"TID_SHOP_CATEGORY_SHIELD","Perisai"
"TID_SHOP_CATEGORY_BUILDERS","Tukang"
"TID_SHOP_CATEGORY_SPELLS","Mantra"
"TID_SHOP_CATEGORY_TROOPS","Peleton"
"TID_TRAINING_WARRIORS","Prajurit:"
"TID_TRAINING_SLOTS","Slot latihan:"
"TID_TOTAL_TRAINING_TIME","Total waktu:"
"TID_FINISH_BUTTON","Selesaikan"
"TID_TROOP_TRAINING_MAX","Maks"
"TID_UNCLOK_FROM_LABORATORY","Buka dari Laboratorium"
"TID_NOT_ENOUGH_HOUSING_SPACE","Ruangan di Kamp Tentara tidak cukup!"
"TID_UNLOCK_BUILDING_MULTIPLE","Membuka:"
"TID_UNLOCK_BARRACK_TROOP","Membuka <name>"
"TID_REDUCE_TIME_BARRACK_TROOP","Mengurangi waktu latihan untuk:"
"TID_REDUCE_TIME_BARRACK_TROOP2","Waktu latihan baru: <num2>"
"TID_BUILDING_TEXT_FULL","Penuh!"
"TID_BUILDING_TEXT_TRAIN","Latih"
"TID_TRAINING_SLOT_STOPPED","Dihentikan!"
"TID_BUILDING_TEXT_ALERT","!!!"
"TID_TRAIN_ALL_HOUSINGS_FULL","Semua Kamp Penuh!"
"TID_TRAIN_ALL_HOUSINGS_FULL_INFO","Tingkatkan atau bangun Kamp Tentara untuk menampung lebih banyak peleton, atau kirim mereka berperang!"
"TID_BUTTON_FIGHT","Mulai!"
"TID_BATTLE_START_TIME","Pertempuran dimulai dalam:"
"TID_NEXT_MATCH","Berikutnya"
"TID_END_BATTLE_BUTTON","Akhiri Serangan"
"TID_SURRENDER_BUTTON","Menyerah"
"TID_TROOP_UPGRADE_TIME","Total waktu:"
"TID_MAX_TROOP_LEVEL","Level Maks."
"TID_LEVEL_NUM","Level <number>"
"TID_BUTTON_UPGRADE_TROOPS","Riset"
"TID_POPUP_UPGRADE_TROOP_TITLE","Pilih apa yang akan ditingkatkan"
"TID_TROOP_ALREADY_AT_MAX_LEVEL","Level Unit sudah maksimum!"
"TID_TROOP_UPGRADE_ALREADY_ONGOING","Peningkatan sedang berlangsung."
"TID_TROOP_UPGRADE_COMPLETED","Peningkatan selesai: <item> Level <number>"
"TID_UNITS_LEFT","Sisa <number>"
"TID_PLAYER_ATTACKING_YOU","Pemain yang menyerangmu:"
"TID_LOOT","Kehilangan sumber daya:"
"TID_OUTCOME","Hasil:"
"TID_YOU_LOST","Pertahananmu Kalah"
"TID_YOU_WIN","Pertahananmu Menang"
"TID_REVENGE","Pembalasan"
"TID_JOINQUESTION","Ingin bergabung?"
"TID_TAP_TO_EXPAND","Ketuk untuk memperluas"
"TID_BUY_MISSING_RESOURCES_HEADER","Perlu lebih banyak <resource>"
"TID_BUY_MISSING_RESOURCES_TEXT","Beli <count> <resource> yang kurang?"
"TID_BUY_MISSING_RESOURCES_HEADER_TWO","Perlu lebih banyak sumber daya"
"TID_BUY_MISSING_RESOURCES_TEXT_TWO","Beli <count> <resource> dan <count2> <resource2> yang kurang?"
"TID_BUY_RESOURCE_PACK_HEADER","Beli <resource>?"
"TID_BUY_RESOURCE_PACK_TEXT","Yakin ingin membeli <count> <resource>?"
"TID_BUY_GUARD_HEADER","Beli Penjaga?"
"TID_BUY_SHIELD_HEADER","Beli Perisai?"
"TID_BUY_SHIELD_TEXT","Yakin ingin membeli <name>?"
"TID_RESOURCE_PACK_LOCKED","Ruang penyimpanan tidak cukup!"
"TID_STAR1","Hebat!"
"TID_STAR2","Mantap!"
"TID_STAR3","Sempurna!"
"TID_OVERALL_DAMAGE","Total Kerusakan"
"TID_VILLAGE_GUARD_TITLE","Penjaga:"
"TID_SHIELD_TITLE","Perisai:"
"TID_SHIELD_NONE","Tidak ada"
"TID_BATTLE_LOG","Log Pertempuran"
"TID_BATTLE_INBOX","Kotak Masuk"
"TID_VICTORY","Menang"
"TID_DEFEAT","Kalah"
"TID_WHAT_YOU_GOT","Mendapat:"
"TID_TROOPS_USED","Peleton yang dikerahkan:"
"TID_TOTAL_DAMAGE","Total kerusakan:"
"TID_SCORE","Skor"
"TID_YOU_HAVE_BEEN_ATTACKED","Chief, desa kita diserang!"
"TID_YOU_HAVE_BEEN_ATTACKED_TITLE","Penjarahan musuh"
"TID_YOU_HAVE_BEEN_ATTACKED_HEADER","Chief, desa diserang selagi kamu pergi!"
"TID_TUTORIAL_CANNON_1","Selamat datang, Chief! Kami sudah lama menantikan kehadiranmu ..."
"TID_TUTORIAL_CANNON_2","Desa baru milik kita ini indah sekali! Hidup di sini akan sempurna kalau saja tidak ada ..."
"TID_TUTORIAL_CANNON_3","Oh, tidak! GOBLIN! Ayo cepat bangun Meriam untuk melindungi Desa!"
"TID_TUTORIAL_CANNON_4","Tempatkan Meriam di Desa. Apa pun yang terjadi, Balai Kota harus dilindungi!"
"TID_TUTORIAL_CANNON_5","Chief, kamu bisa menggunakan Permata untuk mempercepat proses!"
