"TID","CN"
"TID_GOLD_STORAGE_INFO","您珍贵的金币都存在这里！不要让狡猾的哥布林有机可乘！升级储金罐，提高它们的容量和抗打击能力。"
"TID_BARRACK_INFO","在训练营训练部队助您征战。升级训练营可解锁更高级的兵种，助您在史诗般的战斗中赢得胜利。"
"TID_BASIC_TURRET_INFO","加农炮很适合防御单个目标。升级加农炮可以增强火力。注意！防御建筑在升级时不能开火！"
"TID_ARCHER_TOWER_INFO","箭塔范围比加农炮远，而且还可以攻击空中目标。"
"TID_WIZARD_TOWER_INFO","感受神秘法术的威力吧！塔上的法师会施放威力强大的范围性攻击法术，抵御侵入领土和领空的敌军。"
"TID_TESLA_TOWER_INFO","隐藏在地下的特斯拉电磁塔就像一个危险陷阱！法师在这个防御建筑中注入了雷电的力量，当敌军地面或空中部队靠近时，特斯拉电磁塔会弹出并运用雷电之力攻击这些倒霉蛋。"
"TID_AIR_DEFENSE_INFO","防空火箭是歼灭敌军空中部队的利器，可惜它不能攻击地面上的敌人。请巧妙部署防空火箭，最大限度保护您的领空。"
"TID_MORTAR_INFO","迫击炮可以发出威力无比的炮弹，其造成的溅射伤害可以击败大群敌军。注意，要防止敌军过于接近迫击炮！"
"TID_ALLIANCE_CASTLE_INFO","宝库以及部落成员增援的部队和法术都会存放在您的部落城堡中。"
"TID_WORKER_INFO","没有建筑工人一切都免谈！您可以雇佣多个建筑工人同时开始多个项目的建造或升级，或者使用宝石加快施工速度。"
"TID_LABORATORY_INFO","法师们在实验室里隐藏着什么秘密呢？没人敢去瞧一眼。我们只知道他们的研究可以使部队和法术变得更强！"
"TID_STREAM_SENDER_YOU","您"
"TID_SHIELD_ACTIVATED","对手获得<hours>小时护盾"
"TID_STREAM_ENTRY_AGE","<time>前"
"TID_UPGRADE_WINDOW_NOTE","注意！"
"TID_OBSTACLE_CLEAR_TIME","移除时间"
"TID_UPGRADE_TIME","升级时间"
"TID_BUILD_TIME","建造时间"
"TID_GEAR_UP_TIME","改装时间"
"TID_UNLOCK_BUILDINGS","解锁建筑："
"TID_REQUIRED_EXP_LEVEL","需要经验等级达到<number>级"
"TID_REQUIRED_TOWN_HALL_LEVEL","需要<number>级大本营"
"TID_REQUIRED_BUILDERS_HALL_LEVEL","需要<number>级建筑大师大本营"
"TID_REQUIRED_CASTLE_LEVEL","需要<number>级部落城堡"
"TID_REQUIRED_BARRACK_LEVEL","需要<number>级训练营"
"TID_REQUIRED_DARK_BARRACK_LEVEL","需要<number>级暗黑训练营"
"TID_REQUIRED_LABORATORY_LEVEL","需要<number>级实验室"
"TID_INFO_PREFERRED_TARGET","攻击偏好："
"TID_PREFERRED_TARGET_ANY","任何"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","（伤害x<number>）"
"TID_INFO_TARGET_TYPE","目标："
"TID_INFO_DAMAGE_TYPE","伤害类型："
"TID_INFO_HEAL_TYPE","恢复类型："
"TID_INFO_HOUSING","所需空间："
"TID_INFO_TRAINING_TIME","训练时间："
"TID_INFO_RANGE","范围："
"TID_INFO_TARGET_TYPE_GROUND","地面目标"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","地面和空中目标"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","地面或空中目标"
"TID_INFO_TARGET_TYPE_AIR","空中目标"
"TID_INFO_DAMAGE_TYPE_AOE","区域溅射"
"TID_INFO_DAMAGE_TYPE_SINGLE","单个目标"
"TID_INFO_RANGE_VALUE","<number>格"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","<item>已升至<level>级"
"TID_LOCAL_NOTIFICATION_BUILDING_READY","<item>建造完毕"
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","可以收集胜利之星了，快去进攻吧！"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","首领，我们的护盾失效了！"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","哎呀，首领您是不是忘记训练部队了？"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","哎呀，首领您是不是忘记配制法术了？"
"TID_NEW","新"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","取消建造？"
"TID_POPUP_CANCEL_CONSTRUCTION","确定取消建造<item>吗？取消后只能返还<number>%的费用。"
"TID_POPUP_CANCEL_UPGRADE_TITLE","取消升级？"
"TID_POPUP_CANCEL_UPGRADE","确定取消升级<item>吗？取消后只会返还<number>%的费用。"
"TID_POPUP_CANCEL_CLEAR_TITLE","停止移除？"
"TID_POPUP_CANCEL_CLEAR","确定停止移除<item>？"
"TID_ALLIANCE_LEADERBOARDS","顶级部落"
"TID_PLAYER_LEADERBOARDS","顶级玩家"
"TID_AVAILABLE_LOOT","可获得的战利品："
"TID_INFO","i"
"TID_ATTACK_BUTTON","进攻"
"TID_ALLIANCE_SNEAK_PREVIEW","重建部落城堡即可解锁部落！\n\n部落成员可以相互增援部队和法术。"
"TID_BUILD_TIME_INSTANT","无"
"TID_BUILDING_CAP_REACHED","此建筑数量已达上限。"
"TID_DIAMONDS_FOUND","您从<name>中找到了<number>颗宝石！"
"TID_DIAMOND_FOUND","您从<name>中找到1颗宝石！"
"TID_SHOP_CATEGORY_DECOS","装饰"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","资源"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","军队"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","防御"
"TID_SHOP_CATEGORY_TREASURE","宝藏"
"TID_SHOP_CATEGORY_SHIELD","护盾"
"TID_SHOP_CATEGORY_BUILDERS","建筑工人"
"TID_SHOP_CATEGORY_SPELLS","法术"
"TID_SHOP_CATEGORY_TROOPS","部队"
"TID_TRAINING_WARRIORS","战士："
"TID_TRAINING_SLOTS","训练地点："
"TID_TOTAL_TRAINING_TIME","总时间："
"TID_FINISH_BUTTON","完成"
"TID_TROOP_TRAINING_MAX","最大值"
"TID_UNCLOK_FROM_LABORATORY","从实验室解锁"
"TID_NOT_ENOUGH_HOUSING_SPACE","兵营空间不够啦！"
"TID_UNLOCK_BUILDING_MULTIPLE","解锁："
"TID_UNLOCK_BARRACK_TROOP","解锁<name>"
"TID_REDUCE_TIME_BARRACK_TROOP","减少训练时间："
"TID_REDUCE_TIME_BARRACK_TROOP2","新的训练时间：<num2>"
"TID_BUILDING_TEXT_FULL","已满！"
"TID_BUILDING_TEXT_TRAIN","训练"
"TID_TRAINING_SLOT_STOPPED","已暂停！"
"TID_BUILDING_TEXT_ALERT","!!!"
"TID_TRAIN_ALL_HOUSINGS_FULL","兵营已满！"
"TID_TRAIN_ALL_HOUSINGS_FULL_INFO","升级或建造新的兵营以便容纳更多部队，或将更多部队派上战场！"
"TID_BUTTON_FIGHT","开始！"
"TID_BATTLE_START_TIME","开战倒计时："
"TID_NEXT_MATCH","下一个"
"TID_END_BATTLE_BUTTON","结束战斗"
"TID_SURRENDER_BUTTON","放弃"
"TID_TROOP_UPGRADE_TIME","总时间："
"TID_MAX_TROOP_LEVEL","最高等级"
"TID_LEVEL_NUM","<number>级"
"TID_BUTTON_UPGRADE_TROOPS","研究"
"TID_POPUP_UPGRADE_TROOP_TITLE","选择要升级的对象"
"TID_TROOP_ALREADY_AT_MAX_LEVEL","该兵种已是最高等级！"
"TID_TROOP_UPGRADE_ALREADY_ONGOING","升级正在进行中。"
"TID_TROOP_UPGRADE_COMPLETED","升级完成：<number>级<item>"
"TID_UNITS_LEFT","还剩<number>"
"TID_PLAYER_ATTACKING_YOU","正在攻击您的玩家："
"TID_LOOT","您丢失的资源："
"TID_OUTCOME","结果："
"TID_YOU_LOST","您的防守失败了"
"TID_YOU_WIN","您的防守成功了"
"TID_REVENGE","反击"
"TID_JOINQUESTION","确定加入吗？"
"TID_TAP_TO_EXPAND","点击以放大画面"
"TID_BUY_MISSING_RESOURCES_HEADER","您需要更多的<resource>"
"TID_BUY_MISSING_RESOURCES_TEXT","购买缺少的<count><resource>？"
"TID_BUY_MISSING_RESOURCES_HEADER_TWO","您需要更多的资源"
"TID_BUY_MISSING_RESOURCES_TEXT_TWO","购买缺少的<count><resource>和<count2><resource2>？"
"TID_BUY_RESOURCE_PACK_HEADER","购买<resource>吗？"
"TID_BUY_RESOURCE_PACK_TEXT","确定购买<count><resource>吗？"
"TID_BUY_GUARD_HEADER","要购买村庄守卫吗？"
"TID_BUY_SHIELD_HEADER","要购买护盾吗？"
"TID_BUY_SHIELD_TEXT","确定购买<name>吗？"
"TID_RESOURCE_PACK_LOCKED","存储空间不足！"
"TID_STAR1","爽！"
"TID_STAR2","太棒了！"
"TID_STAR3","堪称完美！"
"TID_OVERALL_DAMAGE","摧毁率"
"TID_VILLAGE_GUARD_TITLE","村庄守卫："
"TID_SHIELD_TITLE","护盾："
"TID_SHIELD_NONE","无"
"TID_BATTLE_LOG","战斗日志"
"TID_BATTLE_INBOX","收件箱"
"TID_VICTORY","胜利"
"TID_DEFEAT","失败"
"TID_WHAT_YOU_GOT","您得到了："
"TID_TROOPS_USED","损耗的部队："
"TID_TOTAL_DAMAGE","摧毁率："
"TID_SCORE","奖杯"
"TID_YOU_HAVE_BEEN_ATTACKED","首领，我们的村庄被袭击了！"
"TID_YOU_HAVE_BEEN_ATTACKED_TITLE","敌军突袭"
"TID_YOU_HAVE_BEEN_ATTACKED_HEADER","首领，您不在的时候村庄遭受了袭击！"
"TID_TUTORIAL_CANNON_1","欢迎您，首领！我们已恭候您多时了。"
"TID_TUTORIAL_CANNON_2","这是您的新村庄！这里本来是世外桃源，可是......"
"TID_TUTORIAL_CANNON_3","不好，哥布林来了！快部署加农炮，准备防御！"
"TID_TUTORIAL_CANNON_4","赶快部署加农炮，我们必须保卫大本营！"
"TID_TUTORIAL_CANNON_5","首领，您可以花费宝石来立即完成建造！"
"TID_TUTORIAL_DEFEND_1","注意！哥布林听令，进攻！"
"TID_TUTORIAL_DEFEND_1b","咕噜咕噜，这是什么？只不过是渺小的人类罢了！"
"TID_TUTORIAL_DEFEND_2","呼，刚才好险。首领，谢谢您了！"
"TID_TUTORIAL_DEFEND_4","村庄地下埋藏着丰富的圣水。借助这些圣水的魔力，村庄里的建筑被敌人摧毁后都可以奇迹般地自我修复。"
"TID_TUTORIAL_DEFEND_5","咕噜咕噜，金币！哥布林最爱金币了！"
"TID_TUTORIAL_DEFEND_BUTTON","来吧！"
"TID_TUTORIAL_WORKER_1","哇噢，干得真棒！现在，我们必须进入战斗状态了。"
"TID_TUTORIAL_WORKER_2","再雇佣一个建筑工人，这样您就可以同时建造两座建筑了。"
"TID_TUTORIAL_ELIXIR_1","圣水可以用来建造和升级建筑。"
"TID_TUTORIAL_ELIXIR_2","您能从地下获取圣水。试试看吧！"
"TID_TUTORIAL_ELIXIR_STORAGE_1","圣水收集器只能存储少量圣水。"
"TID_TUTORIAL_ELIXIR_STORAGE_2","让我们来修建一个圣水瓶吧，这样就可以存储更多圣水了！"
"TID_TUTORIAL_GOLD_STORAGE_1","我们还要一个安全的地方来储藏金币。"
"TID_TUTORIAL_GOLD_STORAGE_2","修建一个储金罐，这样可以存储更多金币！"
"TID_TUTORIAL_BARRACK_1","首领，我们需要训练一支军队去攻打那些哥布林！让我们修建一个训练营吧。"
"TID_TUTORIAL_TRAIN_1","现在开始训练一些部队吧！"
"TID_TUTORIAL_TRAIN_2","点击训练营，选择「训练部队」开始训练"
"TID_TUTORIAL_CHANGE_NAME","这一仗打得精彩！赶紧为您的村庄取个响亮的名字吧。"
"TID_TUTORIAL_TOWN_HALL_1","有了从哥布林那里获得的金币，我们就可以升级大本营了。"
"TID_TUTORIAL_TOWN_HALL_2","干得好！大本营升级后，我们可以从商店购买并修建新的建筑了。"
"TID_TUTORIAL_ACHIEVEMENTS","如果您想挑战更多成就，请点击此处查看。"
"TID_TUTORIAL_ACHIEVEMENTS2","首领，您显然是胸有成竹哇。整个村子就靠您了！"
"TID_GOBLIN_SPEAKS_1","咕噜咕噜！我跟你没完！"
"TID_GOBLIN_SPEAKS_2","你这次不过是运气好罢了，但是接下来的哥布林部落你不一定攻得下哦。"
"TID_TUTORIAL_GOLDSTORAGE","您还需要一个地方来存储珍贵的金币！"
"TID_TUTORIAL_ELIXIRSTORAGE","我们还需要一个地方来存储圣水。"
"TID_LOCKED_IN_TUTORIAL","完成教程后您才能解锁该功能！"
"TID_TUTORIAL_ATTACK_NPC_1","来自象牙塔的法师们来帮助我们啦！让我们一举摧毁哥布林的营地！"
"TID_TUTORIAL_ATTACK_NPC_2","干得好！现在就让我们给那些绿矮子点颜色看看！"
"TID_TUTORIAL_ATTACK_NPC_BUTTON","进攻！"
"TID_NPC_NAME_TUTORIAL","恶有恶报"
"TID_NPC_NAME_TUTORIAL2","哥布林森林"
"TID_JOINALLIANCEQUESTION","接受部落邀请？"
"TID_POPUP_SHIELD_REMOVAL_TITLE","在护盾保护期间发动进攻"
"TID_POPUP_SHIELD_REMOVAL","您可以随时搜索对手，但是一旦您发动攻击，您的护盾时间就会相应减少。如果所需扣除的护盾时间多于您剩余的护盾时间，那么您的护盾会立即失效。"
"TID_UPDATE_TROOP_LEVEL","升至<number>级"
"TID_LEVEL_UP","升级成功！"
