"Name","Buildings","BuildingX","BuildingY","Attacker","AttackerTimeMS","AttackerX","AttackerY","CameraScale","CameraOffsetX","CameraOffsetY"
,"WallStraight",28,27,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Monolith","<selected>",24,24,"Barbarian",500,35,35,75,50,50
,,,,"Giant",5500,35,35,,,
,,,,"PEKKA",15500,35,35,,,
,,,,"Golem",27500,35,35,,,
,,,,,,,,,,
,,,,,,,,,,
"AirDefense","<selected>",24,24,"Balloon",100,31,31,100,50,50
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"AirDefense2","<selected>",24,24,"Gargoyle2",500,29,29,100,50,50
,,,,"Gargoyle2",1000,29,28,,,
,,,,"Gargoyle2",1500,28,29,,,
,,,,,,,,,,
"AirAndGroundDefense2","<selected>",24,24,"Barbarian2",500,29,29,100,50,50
,,,,"Gargoyle2",1000,29,28,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Trap","<selected>",26,26,"Barbarian",100,30,30,100,50,50
,"Town Hall",22,22,"Barbarian",200,30,25,,,
,"Wall",25,26,"Barbarian",300,25,30,,,
,"Wall",24,26,,,,,,,
,"Wall",23,26,,,,,,,
,"Wall",22,26,,,,,,,
,"Wall",21,26,,,,,,,
,"Wall",26,25,,,,,,,
,"Wall",26,24,,,,,,,
,"Wall",26,23,,,,,,,
,"Wall",26,22,,,,,,,
,"Wall",26,21,,,,,,,
,,,,,,,,,,
"Trap2x2","<selected>",26,26,"Barbarian",100,30,30,100,50,50
,"Town Hall",22,22,"Barbarian",200,30,25,,,
,"Wall",24,26,"Barbarian",300,25,30,,,
,"Wall",23,26,,,,,,,
,"Wall",22,26,,,,,,,
,"Wall",21,26,,,,,,,
,"Wall",26,24,,,,,,,
,"Wall",26,23,,,,,,,
,"Wall",26,22,,,,,,,
,"Wall",26,21,,,,,,,
,,,,,,,,,,
"AirTrap","<selected>",26,26,"Balloon",100,25,30,100,50,50
,"Town Hall",22,22,,,,,,,
,"Wall",25,26,,,,,,,
,"Wall",24,26,,,,,,,
,"Wall",23,26,,,,,,,
,"Wall",22,26,,,,,,,
,"Wall",21,26,,,,,,,
,"Wall",26,25,,,,,,,
,"Wall",26,24,,,,,,,
,"Wall",26,23,,,,,,,
,"Wall",26,22,,,,,,,
,"Wall",26,21,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"AncientArtillery","<selected>",24,24,"Golem",100,33,24,80,200,200
,"Wall",19,19,"Golem",200,29,33,,,
,"Wall",19,20,"Golem",300,33,29,,,
,"Wall",19,21,"Golem",400,27,33,,,
,"Wall",19,22,"Golem",500,33,27,,,
,"Wall",19,23,"Golem",600,24,33,,,
,"Wall",19,24,"Golem",6000,33,33,,,
,"Wall",19,25,,,,,,,
,"Wall",19,26,,,,,,,
,"Wall",19,27,,,,,,,
,"Wall",19,28,,,,,,,
,"Wall",19,29,,,,,,,
,"Wall",19,30,,,,,,,
,"Wall",19,31,,,,,,,
,"Wall",31,19,,,,,,,
,"Wall",31,20,,,,,,,
,"Wall",31,21,,,,,,,
,"Wall",31,22,,,,,,,
,"Wall",31,23,,,,,,,
,"Wall",31,24,,,,,,,
,"Wall",31,25,,,,,,,
,"Wall",31,26,,,,,,,
,"Wall",31,27,,,,,,,
,"Wall",31,28,,,,,,,
,"Wall",31,29,,,,,,,
,"Wall",31,30,,,,,,,
,"Wall",31,31,,,,,,,
,"Wall",20,19,,,,,,,
,"Wall",21,19,,,,,,,
,"Wall",22,19,,,,,,,
,"Wall",23,19,,,,,,,
,"Wall",24,19,,,,,,,
,"Wall",25,19,,,,,,,
,"Wall",26,19,,,,,,,
,"Wall",27,19,,,,,,,
,"Wall",28,19,,,,,,,
,"Wall",29,19,,,,,,,
,"Wall",30,19,,,,,,,
,"Wall",20,31,,,,,,,
,"Wall",21,31,,,,,,,
,"Wall",22,31,,,,,,,
,"Wall",23,31,,,,,,,
,"Wall",24,31,,,,,,,
,"Wall",25,31,,,,,,,
,"Wall",26,31,,,,,,,
,"Wall",27,31,,,,,,,
,"Wall",28,31,,,,,,,
,"Wall",29,31,,,,,,,
,"Wall",30,31,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Crusher","<selected>",24,24,"Barbarian2",100,29,29,100,50,50
,,,,"Barbarian2",200,29,28,,,
,,,,"Barbarian2",300,29,27,,,
,,,,"Barbarian2",400,29,26,,,
,,,,"Barbarian2",500,29,25,,,
,,,,"Barbarian2",600,29,24,,,
,,,,"Barbarian2",200,28,29,,,
,,,,"Barbarian2",300,27,29,,,
,,,,"Barbarian2",400,26,29,,,
,,,,"Barbarian2",500,25,29,,,
,,,,"Barbarian2",600,24,29,,,
,,,,"Barbarian2",700,21,21,,,
,,,,"Barbarian2",800,21,22,,,
,,,,"Barbarian2",900,21,23,,,
,,,,"Barbarian2",1000,21,24,,,
,,,,"Barbarian2",1100,21,25,,,
,,,,"Barbarian2",800,22,21,,,
,,,,"Barbarian2",900,23,21,,,
,,,,"Barbarian2",1000,24,21,,,
,,,,"Barbarian2",1100,25,21,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"DefenseLongRange2b","<selected>",24,24,"Barbarian2",1000,40,40,35,250,250
,"WallStraight",15,15,"Barbarian2",2000,40,10,,,
,"WallStraight",16,15,"Barbarian2",3000,10,40,,,
,"WallStraight",17,15,,,,,,,
,"WallStraight",18,15,,,,,,,
,"WallStraight",19,15,,,,,,,
,"WallStraight",20,15,,,,,,,
,"WallStraight",21,15,,,,,,,
,"WallStraight",22,15,,,,,,,
,"WallStraight",23,15,,,,,,,
,"WallStraight",24,15,,,,,,,
,"WallStraight",25,15,,,,,,,
,"WallStraight",26,15,,,,,,,
,"WallStraight",27,15,,,,,,,
,"WallStraight",28,15,,,,,,,
,"WallStraight",29,15,,,,,,,
,"WallStraight",30,15,,,,,,,
,"WallStraight",31,15,,,,,,,
,"WallStraight",32,15,,,,,,,
,"WallStraight",33,15,,,,,,,
,"WallStraight",34,15,,,,,,,
,"WallStraight",35,15,,,,,,,
,"WallStraight",15,35,,,,,,,
,"WallStraight",16,35,,,,,,,
,"WallStraight",17,35,,,,,,,
,"WallStraight",18,35,,,,,,,
,"WallStraight",19,35,,,,,,,
,"WallStraight",20,35,,,,,,,
,"WallStraight",21,35,,,,,,,
,"WallStraight",22,35,,,,,,,
,"WallStraight",23,35,,,,,,,
,"WallStraight",24,35,,,,,,,
,"WallStraight",25,35,,,,,,,
,"WallStraight",26,35,,,,,,,
,"WallStraight",27,35,,,,,,,
,"WallStraight",28,35,,,,,,,
,"WallStraight",29,35,,,,,,,
,"WallStraight",30,35,,,,,,,
,"WallStraight",31,35,,,,,,,
,"WallStraight",32,35,,,,,,,
,"WallStraight",33,35,,,,,,,
,"WallStraight",34,35,,,,,,,
,"WallStraight",35,35,,,,,,,
,"WallStraight",15,16,,,,,,,
,"WallStraight",15,17,,,,,,,
,"WallStraight",15,18,,,,,,,
,"WallStraight",15,19,,,,,,,
,"WallStraight",15,20,,,,,,,
,"WallStraight",15,21,,,,,,,
,"WallStraight",15,22,,,,,,,
,"WallStraight",15,23,,,,,,,
,"WallStraight",15,24,,,,,,,
,"WallStraight",15,25,,,,,,,
,"WallStraight",15,26,,,,,,,
,"WallStraight",15,27,,,,,,,
,"WallStraight",15,28,,,,,,,
,"WallStraight",15,29,,,,,,,
,"WallStraight",15,30,,,,,,,
,"WallStraight",15,31,,,,,,,
,"WallStraight",15,32,,,,,,,
,"WallStraight",15,33,,,,,,,
,"WallStraight",15,34,,,,,,,
,"WallStraight",35,16,,,,,,,
,"WallStraight",35,17,,,,,,,
,"WallStraight",35,18,,,,,,,
,"WallStraight",35,19,,,,,,,
,"WallStraight",35,20,,,,,,,
,"WallStraight",35,21,,,,,,,
,"WallStraight",35,22,,,,,,,
,"WallStraight",35,23,,,,,,,
,"WallStraight",35,24,,,,,,,
,"WallStraight",35,25,,,,,,,
,"WallStraight",35,26,,,,,,,
,"WallStraight",35,27,,,,,,,
,"WallStraight",35,28,,,,,,,
,"WallStraight",35,29,,,,,,,
,"WallStraight",35,30,,,,,,,
,"WallStraight",35,31,,,,,,,
,"WallStraight",35,32,,,,,,,
,"WallStraight",35,33,,,,,,,
,"WallStraight",35,34,,,,,,,
