"TID","AR"
"TID_BUTTON_OKAY","حسنًا"
"TID_POPUP_TRAIN_TITLE","تدريب القوات <limit>"
"TID_INVALID_PLACEMENT","لا يمكنك نشر القوات في المنطقة الحمراء!"
"TID_ALL_TROOPS_USED","تم نشر جميع القوات"
"TID_OTHER_TROOP_LEFT","حدد وحدة مختلفة."
"TID_DIAMONDS","جواهر"
"TID_GOLD","ذهب"
"TID_ELIXIR","إكسير"
"TID_ITEM_LEVEL","<item> (المستوى <number>)"
"TID_SHOP_TITLE","المتجر"
"TID_ITEM_BROKEN","<item> (مكسور)"
"TID_BUILDING_ARCHER_TOWER","برج راميات السهام"
"TID_BUILDING_CLASS_ARMY","مباني الجيش"
"TID_BUILDING_CLASS_DEFENSE","الدفاعات"
"TID_BUILDING_CLASS_RESOURCE","الموارد"
"TID_BUILDING_CLASS_WALL","الجدران"
"TID_NOT_ENOUGH_WORKERS_HEADER","كل البنائين مشغولون!"
"TID_NOT_ENOUGH_WORKERS_TEXT","إكمال المبنى السابق وتوفير أحد البنائين؟"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","إكمال المبنى السابق ليتفرغ البنّاء الخبير؟"
"TID_NOT_ENOUGH_RESOURCE","لا يوجد لديك ما يكفي من <resource>!"
"TID_NOT_ENOUGH_RESOURCE_TWO","لا يوجد لديك ما يكفي من <resource1> و<resource2>!"
"TID_TOWN_HALL_LEVEL_TOO_LOW","أنت بحاجة إلى ترقية قاعة المدينة إلى المستوى <number>!"
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","أنت بحاجة إلى ترقية قاعة البنّاء إلى المستوى <number>!"
"TID_POPUP_UPGRADE_TITLE","هل تريد الترقية إلى المستوى <number>؟"
"TID_POPUP_UPGRADE_BUILD_MORE","بناء المزيد:"
"TID_RESOURCE_CAP_FULL_GOLD","قم ببناء المزيد من مخازن الذهب أو ترقية الموجودة بالفعل!"
"TID_RESOURCE_CAP_FULL_ELIXIR","قم ببناء المزيد من مخازن الإكسير أو ترقية الموجودة بالفعل!"
"TID_RESOURCE_CAP_FULL_GENERIC","قم ببناء المزيد من المخازن أو ترقية الموجود منها بالفعل!"
"TID_POPUP_FRIEND_LIST_TITLE","الأصدقاء"
"TID_POPUP_SOCIAL_LIST_TITLE","اجتماعي"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","الاتصال بموقع Facebook"
"TID_LOGIN_TO_FACEBOOK_BUTTON","تسجيل الدخول إلى Facebook"
"TID_LOADING_FACEBOOK_FRIENDS","جارِ تحميل قائمة الأصدقاء..."
"TID_OBSTACLE_TOMBSTONE","شاهد القبر"
"TID_NO_FACEBOOK_FRIENDS","لا يمكن العثور على أصدقاء عبر Facebook يلعبون Clash of Clans"
"TID_ATTACK_FAIL_NO_MATCHES","لا يمكن العثور على قرى لمهاجمتها!"
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","لا يمكن الهجوم! القرية تحت الهجوم الآن."
"TID_ATTACK_FAIL_TARGET_ONLINE","لا يمكن الهجوم! مالك القرية متصل."
"TID_ATTACK_FAIL_SAME_ALLIANCE","لا يمكنك الهجوم على أعضاء قبيلتك!"
"TID_ATTACK_FAIL_SHIELD","لا يمكن الهجوم! القرية لديها درع نشط"
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","لا يمكن الهجوم! فارق المستوى أكثر من <level>"
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","لا يمكن الهجوم على هذه القرية لأن مستوى قاعة مدينتها أقل من المستوى <number>."
"TID_DEFAULT_VILLAGE_NAME","قرية <name>"
"TID_BATTLE_LOG_TITLE","لقد تعرضت للهجوم!"
"TID_BATTLE_LOG_ITEM","هاجمك <name> منذ <time>."
"TID_NO_TROOPS","يجب تدريب بعض القوات أولاً."
"TID_NO_SPELLS","ستحتاج إلى صناعة بعض التعويذات أولاً."
"TID_ERROR_POP_UP_BANNED_TITLE","معلومات الحساب"
"TID_ERROR_POP_UP_BANNED","تم حظرك مؤقتًا"
"TID_ERROR_POP_UP_BANNED_BUTTON","حسنًا"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","خطأ أثناء الاتصال"
"TID_ERROR_POP_UP_CONNECTION_FAILED","لا يمكنك الاتصال بالخادم. تحقق من اتصالك بالإنترنت ثم حاول مرة أخرى."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","حاول ثانيةً"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","انقطع الاتصال"
"TID_ERROR_POP_UP_CONNECTION_LOST","لقد فقدت الاتصال مع الخادم. من فضلك افحص اتصالك بالإنترنت وحاول ثانيةً."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","حاول ثانيةً"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","هل يوجد أحد هنا؟"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","تم قطع اتصالك بسبب عدم النشاط."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","إعادة تحميل اللعبة"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","فشل تسجيل الدخول"
"TID_ERROR_POP_UP_LOGIN_FAILED","يُرجى المحاولة ثانيةً لاحقًا."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","حاول ثانيةً"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","التحديث متوفر!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","أخبار جيدة! يتوفر إصدار جديد من اللعبة."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","تحديث"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","خطأ!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","لا يوحد تزامن بين العميل والخادم! هناك تحديث جديد يتضمن تعديلات وإصلاحات أخطاء نشرناه في متجر التطبيقات."
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","إعادة تحميل اللعبة"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","فاصل الصيانة"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","عذرًا، فالخوادم قيد الصيانة. من فضلك حاول ثانيةً لاحقًا."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","حاول ثانيةً"
"TID_BUILDING_ALLIANCE_CASTLE","قلعة القبيلة"
"TID_BUILDING_ALLIANCE_MARKER","علم القبيلة"
"TID_COMM_MAST","برج اللاسلكي"
"TID_TRAP_MINE","قنبلة"
"TID_TRAP_EJECTOR","فخ الزنبرك"
"TID_SHOP_GUARD_2H","حراسة لساعتين"
"TID_SHOP_SHIELD_1D","درع لمدة يوم واحد"
"TID_SHOP_SHIELD_2D","درع لمدة يومين"
"TID_SHOP_SHIELD_7D","درع لمدة أسبوع واحد"
"TID_ALLIANCE_MAIN_BUTTON","قبيلة"
"TID_ALLIANCE_LIST_HEADER","قبيلة"
"TID_CREATE_ALLIANCE_BUTTON","إنشاء"
"TID_LEAVE_ALLIANCE_BUTTON","المغادرة"
"TID_JOIN_ALLIANCE_TAB","الانضمام إلى قبيلة"
"TID_CREATE_ALLIANCE_TAB","إنشاء قبيلة"
"TID_MY_ALLIANCE_TAB","قبيلتي"
"TID_ALLIANCE_BUTTON_EDIT","تعديل"
"TID_ALLIANCE_CREATE_NAME","اسم القبيلة:"
"TID_ALLIANCE_CREATE_DESCRIPTION","الوصف:"
"TID_ALLIANCE_CREATE_BADGE","الشارة:"
"TID_ALLIANCE_CREATE_TYPE","نوع القبيلة:"
"TID_ALLIANCE_BADGE_BROWSE","تصفح"
"TID_ALLIANCE_TYPE_OPEN","يمكن لأي أحد الانضمام"
"TID_ALLIANCE_TYPE_INVITE_ONLY","بدعوة فقط"
"TID_ALLIANCE_TYPE_CLOSED","مغلق"
"TID_TOO_SHORT_ALLIANCE_NAME","اسم القبيلة قصير للغاية!"
"TID_BACK_BUTTON","الرجوع"
"TID_ALLIANCE_SELECT_BADGE","تعديل شارة القبيلة"
"TID_ALLIANCE_JOIN_BUTTON","انضمام"
"TID_ALLIANCE_JOIN_OK","أنت الآن عضو في قبيلة <name>!"
"TID_ALLIANCE_CREATE_OK","لقد أسست قبيلة جديدة بنجاح!"
"TID_ALLIANCE_BUTTON_LEAVE","المغادرة"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","مغادرة القبيلة؟"
"TID_ALLIANCE_LEAVE_CONFIRMATION","هل ترغب حقًا في المغادرة؟"
"TID_ALLIANCE_ROLE_ADMIN","عضو مميز"
"TID_ALLIANCE_ROLE_LEADER","قائد"
"TID_ALLIANCE_ROLE_MEMBER","عضو"
"TID_ALLIANCE_PROMOTE_BUTTON","رفع الرتبة إلى <role>"
"TID_ALLIANCE_DEMOTE_BUTTON","تخفيض الرتبة إلى <role>"
"TID_ALLIANCE_ACCEPTED_BY","تم القبول بواسطة <name>"
"TID_ALLIANCE_REJECTED_BY","تم الرفض بواسطة <name>"
"TID_ALLIANCE_REQUEST_SENT","تم إرسال الطلب!"
"TID_ALLIANCE_INVITATION_OK","تم إرسال الدعوة بنجاح."
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","لا يمكن دعوة اللاعب لأنه لا يملك قلعة قبيلة!"
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","انضم اللاعب إلى قبيلة بالفعل!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","لقد دعوت هذا اللاعب بالفعل!"
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","أود الانضمام إلى قبيلتك"
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","هل تقبل طلب الانضمام؟"
"TID_KICK_OUT_FROM_ALLIANCE","طرد"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","هل تريد الانسحاب؟"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","اجعل <name> قائد القبيلة الجديد؟"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","هل تريد رفع الرتبة؟"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","رفع رتبة <name> إلى عضو قبيلة مميز؟"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","هل تريد تخفيض الرتبة؟"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","تخفيض رتبة <name> إلى عضو قبيلة؟"
"TID_VISIT_BUTTON","زيارة"
"TID_VIEW_PROFILE_BUTTON","ملف شخصي"
"TID_INVITE_BUTTON","دعوة"
"TID_VIEW_ALLIANCE","عرض القبيلة"
"TID_SETTINGS_LANGUAGE","اللغة"
"TID_SAVE_ALLIANCE_SETTINGS","حفظ"
"TID_STREAM_DONATE_TEXT","يحتاج تعزيزات"
"TID_STREAM_DONATE_BUTTON","تبرع"
"TID_ALLIANCE_DONATE_HEADER","التبرع بالتعزيزات"
"TID_BUTTON_REQUEST_TROOPS","طلب"
"TID_TROOP_REQUEST_SENT","تم إرسال الطلب!"
"TID_ALLIANCE_STREAM_THANKS","شكرًا لك على التعزيزات!"
"TID_ALLIANCE_TROOP_RECEIVED","لقد حصلت على <troop> مستوى <level> من <avatar>!"
"TID_BARBARIAN","بربري"
"TID_ARCHER","رامية السهام"
"TID_GIANT","عملاق"
"TID_DRAGON","تنين"
"TID_PEKKA","بيكا"
"TID_GOBLIN","غول"
"TID_WALL_BREAKER","مدمر الجدران"
"TID_GOBLIN_BALLOON","بالون"
"TID_HEALER","معالِجة"
"TID_WIZARD","ساحر"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","قلعة القبيلة ممتلئة بالفعل!"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","يجب أن تنتظر قبل طلب المزيد من التعزيزات."
"TID_ALLIANCE_STREAM_REWARD","تلقيت <number> من نقاط الخبرة"
"TID_HOUSING_TROOPS_INSIDE","جميع القوات:"
"TID_UNIT_STORAGE_CAPACITY","سعة القوات: <number>"
"TID_REGENERATION_TIME","مدة التجديد: <number> دقيقة"
"TID_HITPOINTS","نقاط الإصابة: <number>"
"TID_DPS","الضرر في الثانية: <number>"
"TID_BURST_SIZE","النيران المنطلقة: <number> ضربات"
"TID_HEAL","الشفاء: <number>"
"TID_TRAIN_COST","تكلفة التدريب: <number> <resource>"
"TID_RESOURCE_STORAGE_CAPACITY","سعة التخزين: <number>"
"TID_PRODUCTION_RATE","معدل الإنتاج: <number> في الساعة"
"TID_PRODUCTION_CAPACITY","السعة: <number>"
"TID_TRAINING_TIME","وقت التدريب: <number>"
"TID_TRAINING_TIME_REDUCTION","تقليل وقت التدريب: <number>"
"TID_HOUSING_INFO","قواتك متمركزة في المعسكرات. قم ببناء المزيد من المعسكرات وترقيتها لحشد جيش قوي."
"TID_TOWN_HALL_INFO","هذا قلب قريتك. ترقية قاعة المدينة تفتح دفاعات ومباني وفخاخًا جديدة وأكثر من ذلك.\nسيحقق لك تدمير قاعة مدينة خصم الفوز بالمعركة والحصول على نجمة واحدة. سيمنحك تدمير 50% من مباني العدو نجمة ثانية، بينما إبادة 100% ستمنحك ثلاث نجوم كاملة.\nاحترس، سيحاول أعداؤك تدمير قاعة مدينتك أيضًا!\nللحماية القصوى، أبقِ قاعة مدينتك في وسط القرية واحمها بالجدران والفخاخ والمباني الدفاعية. أعداؤك خبثاء ويمكنهم المهاجمة من أي جانب!"
"TID_ELIXIR_PUMP_INFO","يتم ضخ الإكسير من الأنابيب التي تمر تحت قريتك. قم بتحديث مستخرج الإكسير لزيادة إنتاج الإكسير لديك."
"TID_ELIXIR_STORAGE_INFO","تحتوي هذه المخازن على الإكسير الذي يُضخ من تحت الأرض. قم بترقيتها لزيادة سعة الإكسير القصوى التي يمكنك تخزينها."
"TID_GOLD_MINE_INFO","منجم الذهب ينتج الذهب. قم بترقيته لزيادة سرعة إنتاجه وسعة مخزن الذهب."
"TID_GOLD_STORAGE_INFO","ذهبك الثمين كله مخزن هنا. لا تدع الغيلان الخبيثة تقترب! قم بترقية المخزن لزيادة السعة والتحمل ضد الهجوم."
"TID_BARRACK_INFO","تتيح لك الثكنات تدريب القوات لمهاجمة الأعداء. قم بترقية الثكنات لإلغاء قفل الوحدات المتطورة التي يمكنها الفوز بمعارك ملحمية."
"TID_BASIC_TURRET_INFO","المدافع رائعة في الدفاع الموجَّه نحو نقطة معينة. قم بترقية المدافع لزيادة قوتها، لكن انتبه إلى أن الأبراج الدفاعية لا يمكنها إطلاق النار أثناء ترقيتها!"
"TID_ARCHER_TOWER_INFO","تتمتع أبراج راميات السهام بمدى أطول من المدافع، وعلى عكس المدافع يمكنها مهاجمة الأعداء الطائرين."
"TID_WIZARD_TOWER_INFO","الدفاع المبهم الأفضل! سحرة البرج يلقون تعويذات ذات تأثيرات قوية في المنطقة تستهدف القوات الجوية والأرضية."
"TID_TESLA_TOWER_INFO","انصب فخًا مميتًا بالتيسلا المخفية! حاصر سحرتنا سحابة عاصفة في كل من هذه الأبراج الخبيثة. عندما يقترب أحد الأعداء أو يطير على مقربة، يتمدد البرج ويحرقه باستخدام القوة الكهربائية!"
"TID_AIR_DEFENSE_INFO","هذا البرج المضاد للأجسام الطائرة مميت بالنسبة لهم، لكن لا يمكنه استهداف الأعداء على الأرض. اختر مكانه بإحكام لتغطية أكبر مساحة جوية ممكنة."
"TID_MORTAR_INFO","يمكن لمدفع الهاون حصد جحافل الأعداء بالضرب المنتشر من قذائفه. لا تدع الأعداء يقتربون منه!"
"TID_ALLIANCE_CASTLE_INFO","تضم قلعة القبيلة خزينتك وأي قوات تعزيز أو تعويذات يرسلها زملاؤك في القبيلة."
"TID_WORKER_INFO","لا يتم شيء هنا من دون البنّائين! يمكنك استئجار المزيد من البنّائين لبدء مشاريع إنشاء متعددة، أو تسريع عملهم باستخدام الجواهر الخضراء."
"TID_LABORATORY_INFO","ما الأسرار المظلمة التي يخفيها هؤلاء السحرة داخل المعمل؟ لم يجرؤ أحد على النظر. كل ما نعرفه هو أن بحثهم يجعل تعويذاتنا وقواتنا أصلب وأفضل وأسرع وأقوى!"
"TID_STREAM_SENDER_YOU","أنت"
"TID_SHIELD_ACTIVATED","تم تنشيط درع الخصم لمدة <hours> ساعة"
"TID_STREAM_ENTRY_AGE","منذ <time>"
"TID_UPGRADE_WINDOW_NOTE","ملاحظة!"
"TID_OBSTACLE_CLEAR_TIME","وقت الإزالة"
"TID_UPGRADE_TIME","وقت الترقية"
"TID_BUILD_TIME","وقت البناء"
"TID_GEAR_UP_TIME","مدة الإصقال"
"TID_UNLOCK_BUILDINGS","إلغاء قفل المباني:"
"TID_REQUIRED_EXP_LEVEL","يجب توفر خبرة من المستوى <number>"
"TID_REQUIRED_TOWN_HALL_LEVEL","يجب توفر قاعة مدينة من المستوى <number>"
"TID_REQUIRED_BUILDERS_HALL_LEVEL","يلزم توفر قاعة بنّاء من المستوى <number>"
"TID_REQUIRED_CASTLE_LEVEL","يجب توفر قلعة من المستوى <number>"
"TID_REQUIRED_BARRACK_LEVEL","يجب توفر ثكنات من المستوى <number>"
"TID_REQUIRED_DARK_BARRACK_LEVEL","مطلوب المستوى <number> من ثكنات الظلام"
"TID_REQUIRED_LABORATORY_LEVEL","يجب توفر معمل من المستوى <number>"
"TID_INFO_PREFERRED_TARGET","الهدف المفضل:"
"TID_PREFERRED_TARGET_ANY","أي هدف"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","(ضرر x<number>)"
"TID_INFO_TARGET_TYPE","الأهداف:"
"TID_INFO_DAMAGE_TYPE","نوع الضرر:"
"TID_INFO_HEAL_TYPE","نوع الشفاء:"
"TID_INFO_HOUSING","مساحة التسكين:"
"TID_INFO_TRAINING_TIME","وقت التدريب:"
"TID_INFO_RANGE","النطاق:"
"TID_INFO_TARGET_TYPE_GROUND","أرضي"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","أرضي وجوي"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","أرضي أو جوي"
"TID_INFO_TARGET_TYPE_AIR","جوي"
"TID_INFO_DAMAGE_TYPE_AOE","رش المنطقة"
"TID_INFO_DAMAGE_TYPE_SINGLE","هدف مفرد"
"TID_INFO_RANGE_VALUE","<number> رقعات"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","تمت ترقية <item> إلى المستوى <level>"
"TID_LOCAL_NOTIFICATION_BUILDING_READY","إنشاء <item> اكتمل"
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","مكافأة النجوم متاحة! حان وقت المعركة!"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","أيها الزعيم، لقد انتهى درعنا!"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","أوه، هل نسيت تدريب جيشك؟"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","أوه، هل نسيت تحضير تعويذاتك؟"
"TID_NEW","جديد"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","هل ترغب في إيقاف الإنشاء؟"
"TID_POPUP_CANCEL_CONSTRUCTION","هل ترغب بالتأكيد في إيقاف إنشاء <item>؟ سيتم إعادة <number>% من التكلفة فقط."
"TID_POPUP_CANCEL_UPGRADE_TITLE","هل ترغب في إيقاف الترقية؟"
"TID_POPUP_CANCEL_UPGRADE","هل ترغب بالتأكيد في إيقاف ترقية <item>؟ سيتم إعادة <number>% من التكلفة فقط."
"TID_POPUP_CANCEL_CLEAR_TITLE","هل ترغب في إيقاف الإزالة؟"
"TID_POPUP_CANCEL_CLEAR","هل ترغب بالتأكيد في إيقاف إزالة <item>؟"
"TID_ALLIANCE_LEADERBOARDS","أفضل القبائل"
"TID_PLAYER_LEADERBOARDS","أفضل اللاعبين"
"TID_AVAILABLE_LOOT","الغنائم المتاحة:"
"TID_INFO","i"
"TID_ATTACK_BUTTON","هجوم"
"TID_ALLIANCE_SNEAK_PREVIEW","فتح القبائل بإعادة بناء قلعة القبيلة!\n\nيساعد زملاء القبائل بعضهم ويرسلون قوات التعزيزات والتعويذات."
"TID_BUILD_TIME_INSTANT","لا شيء"
"TID_BUILDING_CAP_REACHED","لقد بنيت بالفعل الكمية القصوى من هذه المباني."
"TID_DIAMONDS_FOUND","عثرت على <number> جوهرة في <name>!"
"TID_DIAMOND_FOUND","عثرت على جوهرة في <name>!"
"TID_SHOP_CATEGORY_DECOS","الزينات"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","الموارد"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","الجيش"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","الدفاعات"
"TID_SHOP_CATEGORY_TREASURE","كنز"
"TID_SHOP_CATEGORY_SHIELD","درع"
"TID_SHOP_CATEGORY_BUILDERS","بنّاؤون"
"TID_SHOP_CATEGORY_SPELLS","التعويذات"
"TID_SHOP_CATEGORY_TROOPS","القوات"
"TID_TRAINING_WARRIORS","محاربون:"
"TID_TRAINING_SLOTS","مواضع التدريب:"
"TID_TOTAL_TRAINING_TIME","إجمالي الوقت:"
"TID_FINISH_BUTTON","إنهاء"
"TID_TROOP_TRAINING_MAX","الأقصى"
"TID_UNCLOK_FROM_LABORATORY","إلغاء قفل من المعمل"
"TID_NOT_ENOUGH_HOUSING_SPACE","لا توجد لديك مساحة كافية في معسكرات الجيش!"
"TID_UNLOCK_BUILDING_MULTIPLE","عناصر مفتوحة:"
"TID_UNLOCK_BARRACK_TROOP","عناصر مفتوحة: <name>"
"TID_REDUCE_TIME_BARRACK_TROOP","يقلل وقت التدريب بمعدل:"
"TID_REDUCE_TIME_BARRACK_TROOP2","وقت التدريب الجديد: <num2>"
"TID_BUILDING_TEXT_FULL","ممتلئ!"
"TID_BUILDING_TEXT_TRAIN","تدريب"
"TID_TRAINING_SLOT_STOPPED","متوقف!"
"TID_BUILDING_TEXT_ALERT","!!!"
"TID_TRAIN_ALL_HOUSINGS_FULL","كل المعسكرات ممتلئة!"
"TID_TRAIN_ALL_HOUSINGS_FULL_INFO","قم ببناء أو ترقية المعسكرات لاستضافة المزيد من القوات، أو أرسلها للقتال!"
"TID_BUTTON_FIGHT","بدء!"
"TID_BATTLE_START_TIME","تبدأ المعركة بعد:"
"TID_NEXT_MATCH","التالي"
"TID_END_BATTLE_BUTTON","إنهاء المعركة"
"TID_SURRENDER_BUTTON","استسلام"
"TID_TROOP_UPGRADE_TIME","إجمالي الوقت:"
"TID_MAX_TROOP_LEVEL","أقصى مستوى"
"TID_LEVEL_NUM","المستوى <number>"
"TID_BUTTON_UPGRADE_TROOPS","بحث"
"TID_POPUP_UPGRADE_TROOP_TITLE","اختر ما تريد ترقيته"
"TID_TROOP_ALREADY_AT_MAX_LEVEL","الوحدة في أقصى مستوى بالفعل!"
"TID_TROOP_UPGRADE_ALREADY_ONGOING","الترقية قيد التنفيذ بالفعل."
"TID_TROOP_UPGRADE_COMPLETED","اكتملت الترقية: <item> المستوى <number>"
"TID_UNITS_LEFT","متبقٍ <number>"
"TID_PLAYER_ATTACKING_YOU","اللاعبون الذين يهاجمونك:"
"TID_LOOT","خسرت موارد:"
"TID_OUTCOME","النتيجة:"
"TID_YOU_LOST","خسر دفاعك"
"TID_YOU_WIN","فاز دفاعك"
"TID_REVENGE","الانتقام"
"TID_JOINQUESTION","أترغب في الانضمام؟"
"TID_TAP_TO_EXPAND","انقر للتوسعة"
"TID_BUY_MISSING_RESOURCES_HEADER","تحتاج إلى <resource> أكثر"
"TID_BUY_MISSING_RESOURCES_TEXT","هل تريد شراء <count> <resource> المفقود؟"
"TID_BUY_MISSING_RESOURCES_HEADER_TWO","أنت بحاجة إلى المزيد من الموارد"
"TID_BUY_MISSING_RESOURCES_TEXT_TWO","هل تريد شراء <count> من <resource> و<count2> من <resource2> الناقصة؟"
"TID_BUY_RESOURCE_PACK_HEADER","هل تريد شراء <resource>؟"
"TID_BUY_RESOURCE_PACK_TEXT","هل تريد بالتأكيد شراء <count> <resource>؟"
"TID_BUY_GUARD_HEADER","شراء حراسة؟"
"TID_BUY_SHIELD_HEADER","هل تريد شراء درع؟"
"TID_BUY_SHIELD_TEXT","هل تريد بالتأكيد شراء <name>؟"
"TID_RESOURCE_PACK_LOCKED","لا توجد مساحة تخزين كافية!"
"TID_STAR1","رائع!"
"TID_STAR2","ممتاز!"
"TID_STAR3","مثالي!"
"TID_OVERALL_DAMAGE","الضرر الإجمالي"
"TID_VILLAGE_GUARD_TITLE","حراسة:"
"TID_SHIELD_TITLE","درع:"
"TID_SHIELD_NONE","لا شيء"
"TID_BATTLE_LOG","سجل المعركة"
