"TID","NL"
"TID_DECORATION_NATIONAL_FLAG","Nationale vlag"
"TID_TIME_DAYS","d"
"TID_TIME_HOURS","u"
"TID_TIME_MINS","m"
"TID_TIME_SECS","s"
"TID_BATTLE_TIME_TITLE","Gevecht eindigt over:"
"TID_POPUP_HEADER_WARNING","Waarschuwing!"
"TID_POPUP_UNDER_ATTACK","Je wordt aangevallen! Een ogenblikje geduld, je dorp wordt automatisch geladen."
"TID_POPUP_TRY_AGAIN","Resterende tijd:"
"TID_BUTTON_OKAY","Oké"
"TID_POPUP_TRAIN_TITLE","Troepen trainen: <limit>"
"TID_INVALID_PLACEMENT","Je kunt geen troepen in het rode gebied inzetten!"
"TID_ALL_TROOPS_USED","Alle eenheden zijn ingezet."
"TID_OTHER_TROOP_LEFT","Kies een andere eenheid."
"TID_DIAMONDS","Edelstenen"
"TID_GOLD","Goud"
"TID_ELIXIR","Elixir"
"TID_ITEM_LEVEL","<item> (level <number>)"
"TID_SHOP_TITLE","Winkel"
"TID_ITEM_BROKEN","<item> (stuk)"
"TID_BUILDING_ARCHER_TOWER","Boogschuttertoren"
"TID_BUILDING_CLASS_ARMY","Legergebouwen"
"TID_BUILDING_CLASS_DEFENSE","Verdedigingswerken"
"TID_BUILDING_CLASS_RESOURCE","Grondstoffen"
"TID_BUILDING_CLASS_WALL","Muren"
"TID_NOT_ENOUGH_WORKERS_HEADER","Bouwvakkers zijn bezig!"
"TID_NOT_ENOUGH_WORKERS_TEXT","De vorige taak voltooien en een bouwvakker vrij maken?"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","Het vorige gebouw voltooien en de meesterbouwer vrij maken?"
"TID_NOT_ENOUGH_RESOURCE","Je hebt te weinig <resource>!"
"TID_NOT_ENOUGH_RESOURCE_TWO","Je hebt te weinig <resource1> en <resource2>!"
"TID_TOWN_HALL_LEVEL_TOO_LOW","Je moet je stadhuis naar level <number> upgraden!"
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","Je moet je bouwerszaal naar level <number> upgraden."
"TID_POPUP_UPGRADE_TITLE","Upgraden naar level <number>?"
"TID_POPUP_UPGRADE_BUILD_MORE","Meer bouwen:"
"TID_RESOURCE_CAP_FULL_GOLD","Bouw meer of upgrade bestaande goudkluizen!"
"TID_RESOURCE_CAP_FULL_ELIXIR","Bouw meer of upgrade bestaande elixirtanks!"
"TID_RESOURCE_CAP_FULL_GENERIC","Bouw meer of upgrade bestaande opslagruimten!"
"TID_POPUP_FRIEND_LIST_TITLE","Vrienden"
"TID_POPUP_SOCIAL_LIST_TITLE","Sociaal"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","Verbinden met Facebook"
"TID_LOGIN_TO_FACEBOOK_BUTTON","Meld je aan op Facebook"
"TID_LOADING_FACEBOOK_FRIENDS","Vriendenlijst wordt geladen..."
"TID_OBSTACLE_TOMBSTONE","Grafsteen"
"TID_NO_FACEBOOK_FRIENDS","Geen Facebook-vrienden gevonden die Clash of Clans spelen"
"TID_ATTACK_FAIL_NO_MATCHES","Er kunnen geen dorpen worden gevonden om aan te vallen!"
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","Je kunt niet aanvallen! Het dorp wordt al aangevallen."
"TID_ATTACK_FAIL_TARGET_ONLINE","Je kunt niet aanvallen! De eigenaar van het dorp is online."
"TID_ATTACK_FAIL_SAME_ALLIANCE","Je kunt geen leden van je eigen clan aanvallen!"
"TID_ATTACK_FAIL_SHIELD","Je kunt niet aanvallen! Het dorp heeft een actief schild."
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","Je kunt niet aanvallen! Het levelverschil is meer dan <level>"
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","Je kunt dit dorp niet aanvallen omdat het level van het stadhuis lager is dan <number>."
"TID_DEFAULT_VILLAGE_NAME","Dorp van <name>"
"TID_BATTLE_LOG_TITLE","Je werd aangevallen!"
"TID_BATTLE_LOG_ITEM","<name> heeft je <time> geleden aangevallen."
"TID_NO_TROOPS","Je moet eerst wat troepen trainen."
"TID_NO_SPELLS","Je moet eerst wat spreuken brouwen."
"TID_ERROR_POP_UP_BANNED_TITLE","Accountinformatie!"
"TID_ERROR_POP_UP_BANNED","Je bent tijdelijk verbannen"
"TID_ERROR_POP_UP_BANNED_BUTTON","OK"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Verbindingsfout"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Geen verbinding met de server. Controleer je internetverbinding en probeer het opnieuw."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Probeer het opnieuw"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Verbinding verbroken"
"TID_ERROR_POP_UP_CONNECTION_LOST","De verbinding met de server is verbroken. Controleer je internetverbinding en probeer het opnieuw."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Probeer het opnieuw"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Is daar iemand?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","De verbinding is verbroken vanwege inactiviteit."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Spel herladen"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Aanmelden is mislukt"
"TID_ERROR_POP_UP_LOGIN_FAILED","Probeer het later opnieuw."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Probeer het opnieuw"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Er is een update beschikbaar!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Goed nieuws! Er is een nieuwe versie van het spel beschikbaar."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Updaten"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Fout opgetreden!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Client en server lopen niet synchroon! We hebben een nieuwe update met probleemoplossingen en verbeteringen naar je appstore gestuurd."
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Spel herladen"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Onderhoudsonderbreking"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Sorry, er wordt momenteel gewerkt aan de servers. Probeer het later opnieuw."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Probeer het opnieuw"
"TID_BUILDING_ALLIANCE_CASTLE","Clankasteel"
"TID_BUILDING_ALLIANCE_MARKER","Clanvlag"
"TID_COMM_MAST","Radiotoren"
"TID_TRAP_MINE","Bom"
"TID_TRAP_EJECTOR","Veerval"
"TID_SHOP_GUARD_2H","Bescherming (2 uur)"
"TID_SHOP_SHIELD_1D","Schild voor 1 dag"
"TID_SHOP_SHIELD_2D","Schild voor 2 dagen"
"TID_SHOP_SHIELD_7D","Schild voor 1 week"
"TID_ALLIANCE_MAIN_BUTTON","Clan"
"TID_ALLIANCE_LIST_HEADER","Clan"
"TID_CREATE_ALLIANCE_BUTTON","Creëren"
"TID_LEAVE_ALLIANCE_BUTTON","Verlaten"
"TID_JOIN_ALLIANCE_TAB","Bij clan aansluiten"
"TID_CREATE_ALLIANCE_TAB","Clan oprichten"
"TID_MY_ALLIANCE_TAB","Mijn clan"
"TID_ALLIANCE_BUTTON_EDIT","Bewerken"
"TID_ALLIANCE_CREATE_NAME","Clannaam:"
"TID_ALLIANCE_CREATE_DESCRIPTION","Beschrijving:"
"TID_ALLIANCE_CREATE_BADGE","Embleem:"
"TID_ALLIANCE_CREATE_TYPE","Clantype:"
"TID_ALLIANCE_BADGE_BROWSE","Zoeken"
"TID_ALLIANCE_TYPE_OPEN","Open voor iedereen"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Op uitnodiging"
"TID_ALLIANCE_TYPE_CLOSED","Besloten"
"TID_TOO_SHORT_ALLIANCE_NAME","De clannaam is te kort!"
"TID_BACK_BUTTON","Terug"
"TID_ALLIANCE_SELECT_BADGE","Clanembleem bewerken"
"TID_ALLIANCE_JOIN_BUTTON","Meedoen"
"TID_ALLIANCE_JOIN_OK","Je bent nu lid van clan <name>!"
"TID_ALLIANCE_CREATE_OK","Je hebt een nieuwe clan opgericht!"
"TID_ALLIANCE_BUTTON_LEAVE","Verlaten"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","Clan verlaten?"
"TID_ALLIANCE_LEAVE_CONFIRMATION","Wil je de clan echt verlaten?"
"TID_ALLIANCE_ROLE_ADMIN","Oudste"
"TID_ALLIANCE_ROLE_LEADER","Leider"
"TID_ALLIANCE_ROLE_MEMBER","Lid"
"TID_ALLIANCE_PROMOTE_BUTTON","Promoveren naar <role>"
"TID_ALLIANCE_DEMOTE_BUTTON","Degraderen naar <role>"
"TID_ALLIANCE_ACCEPTED_BY","Geaccepteerd door <name>"
"TID_ALLIANCE_REJECTED_BY","Geweigerd door <name>"
"TID_ALLIANCE_REQUEST_SENT","Het verzoek is verstuurd!"
"TID_ALLIANCE_INVITATION_OK","Uitnodiging verstuurd."
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","Uitnodigen is niet mogelijk omdat de speler geen clankasteel heeft!"
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","Deze speler zit al bij een clan!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","Je hebt die speler al uitgenodigd!"
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","Ik wil me graag bij jullie clan aansluiten."
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","Verzoek accepteren?"
"TID_KICK_OUT_FROM_ALLIANCE","Verwijderen"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","Aftreden?"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","<name> tot nieuwe clanleider benoemen?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","Promoveren?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","<name> tot clanoudste promoveren?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","Degraderen?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","<name> tot clanlid degraderen?"
"TID_VISIT_BUTTON","Bezoeken"
"TID_VIEW_PROFILE_BUTTON","Profiel"
"TID_INVITE_BUTTON","Uitnodigen"
"TID_VIEW_ALLIANCE","Clan bekijken"
"TID_SETTINGS_LANGUAGE","Taal"
"TID_SAVE_ALLIANCE_SETTINGS","Opslaan"
"TID_STREAM_DONATE_TEXT","heeft versterking nodig"
"TID_STREAM_DONATE_BUTTON","Doneren"
"TID_ALLIANCE_DONATE_HEADER","Versterkingen doneren"
"TID_BUTTON_REQUEST_TROOPS","Verzoek"
"TID_TROOP_REQUEST_SENT","Het verzoek is verstuurd!"
"TID_ALLIANCE_STREAM_THANKS","Bedankt voor de versterkingen!"
"TID_ALLIANCE_TROOP_RECEIVED","Je hebt een <troop> van level <level> ontvangen van <avatar>!"
"TID_BARBARIAN","Barbaar"
"TID_ARCHER","Boogschutter"
"TID_GIANT","Reus"
"TID_DRAGON","Draak"
"TID_PEKKA","P.E.K.K.A."
"TID_GOBLIN","Kobold"
"TID_WALL_BREAKER","Muurbreker"
"TID_GOBLIN_BALLOON","Ballon"
"TID_HEALER","Heler"
"TID_WIZARD","Tovenaar"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","Het clankasteel is al vol!"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","Je moet even wachten voordat je om meer versterkingen kunt vragen."
"TID_ALLIANCE_STREAM_REWARD","Je hebt <number> XP ontvangen"
"TID_HOUSING_TROOPS_INSIDE","Alle troepen:"
"TID_UNIT_STORAGE_CAPACITY","Troepencapaciteit: <number>"
"TID_REGENERATION_TIME","Hersteltijd: <number> minuten"
"TID_HITPOINTS","Levenspunten: <number>"
"TID_DPS","Schade per seconde: <number>"
"TID_BURST_SIZE","Salvo: <number> schoten"
"TID_HEAL","Genezen: <number>"
"TID_TRAIN_COST","Trainingskosten: <number> <resource>"
"TID_RESOURCE_STORAGE_CAPACITY","Opslagcapaciteit: <number>"
"TID_PRODUCTION_RATE","Productiesnelheid: <number> per uur"
"TID_PRODUCTION_CAPACITY","Capaciteit: <number>"
"TID_TRAINING_TIME","Trainingstijd: <number>"
"TID_TRAINING_TIME_REDUCTION","Vermindering trainingstijd: <number>"
"TID_HOUSING_INFO","Je troepen zijn gestationeerd in legerkampen. Bouw meer kampen en upgrade de kampen om een sterk leger te vormen."
"TID_TOWN_HALL_INFO","Dit is het hart van je dorp. Door je stadhuis te upgraden, kun je nieuwe verdedigingen, gebouwen, valstrikken en nog veel meer ontgrendelen.\nAls je het stadhuis van een tegenstander vernietigt, win je het gevecht en ontvang je een ster. Als je 50% van de vijandelijke gebouwen weet te vernietigen, krijg je een tweede ster en als je alles wegvaagt, krijg je drie sterren.\nKijk uit, want je vijanden zullen ook jouw stadhuis proberen te vernietigen!\nPlaats voor een optimale bescherming je stadhuis in het midden van het dorp en bescherm het met muren, valstrikken en verdedigingswerken. Je vijanden zijn listig en kunnen van elke kant aanvallen!"
"TID_ELIXIR_PUMP_INFO","Elixir wordt via de leylijnen onder het dorp opgepompt. Upgrade je elixirpompen om de productie te maximaliseren."
"TID_ELIXIR_STORAGE_INFO","Deze tanks bevatten het opgepompte elixir. Upgrade deze om de hoeveelheid elixir die je kunt opslaan te verhogen."
"TID_GOLD_MINE_INFO","De goudmijn produceert goud. Upgrade de mijn om de productie en opslagcapaciteit te vergroten."
"TID_GOLD_STORAGE_INFO","Al je waardevolle goud wordt hier opgeslagen. Laat die groene lastpakken niet in de buurt komen! Upgrade de kluis om de capaciteit en de weerbaarheid tegen aanvallen te verhogen."
"TID_BARRACK_INFO","In de kazerne kun je troepen trainen om je vijanden aan te vallen. Upgrade de kazerne om sterkere eenheden te ontgrendelen die legendarische gevechten kunnen winnen."
"TID_BASIC_TURRET_INFO","Kanonnen zijn geweldig voor de verdediging. Upgrade kanonnen om hun vuurkracht te vergroten. Maar let op: kanonnen kunnen niet schieten als ze worden geüpgraded!"
"TID_ARCHER_TOWER_INFO","Boogschuttertorens hebben een groter bereik dan kanonnen en kunnen ook vliegende vijanden aanvallen."
"TID_WIZARD_TOWER_INFO","De ultieme magische verdediging! Torentovenaars gebruiken krachtige spreuken die zich op troepen in de lucht en op de grond richten."
"TID_TESLA_TOWER_INFO","Plaats een dodelijke val met de verborgen Tesla! Onze tovenaars hebben een stormwolk verborgen in elke toren. Als een vijand te dicht in de buurt van de toren komt, schiet de toren omhoog en elektrocuteert deze de vijand!"
"TID_AIR_DEFENSE_INFO","Dit luchtafweergeschut is dodelijk voor vliegende vijanden, maar richt niets uit tegen grondtroepen. Zet de toren zo neer dat deze zoveel mogelijk luchtruim bestrijkt."
"TID_MORTAR_INFO","De mortier kan hordes vijanden neermaaien met zijn vernietigende schot. Zorg dat vijanden niet te dicht in de buurt komen!"
"TID_ALLIANCE_CASTLE_INFO","In het clankasteel bevinden zich je schatkamer en de versterkingen of spreuken die je clangenoten je sturen."
"TID_WORKER_INFO","Zonder bouwvakkers komt hier niets van de grond! Je kunt meer bouwvakkers aannemen om meerdere gebouwen tegelijk neer te zetten, of de bouw versnellen met groene edelstenen."
"TID_LABORATORY_INFO","Wat voor duistere geheimen verbergen deze tovenaars in hun laboratorium? Niemand durft te kijken. Het enige wat we weten, is dat hun onderzoek onze spreuken en troepen krachtiger, beter en sneller maakt!"
"TID_STREAM_SENDER_YOU","Jij"
"TID_SHIELD_ACTIVATED","Vijandelijk schild geactiveerd voor <hours> uur"
"TID_STREAM_ENTRY_AGE","<time> geleden"
"TID_UPGRADE_WINDOW_NOTE","Let op!"
"TID_OBSTACLE_CLEAR_TIME","Verwijdertijd"
"TID_UPGRADE_TIME","Upgradetijd"
"TID_BUILD_TIME","Bouwtijd"
"TID_GEAR_UP_TIME","Verbeteringstijd"
"TID_UNLOCK_BUILDINGS","Ontgrendelt het volgende:"
"TID_REQUIRED_EXP_LEVEL","XP-level <number> vereist"
"TID_REQUIRED_TOWN_HALL_LEVEL","Stadhuis van level <number> vereist"
"TID_REQUIRED_BUILDERS_HALL_LEVEL","Bouwerszaal van level <number> vereist"
"TID_REQUIRED_CASTLE_LEVEL","Kasteel van level <number> vereist"
"TID_REQUIRED_BARRACK_LEVEL","Kazerne van level <number> vereist"
"TID_REQUIRED_DARK_BARRACK_LEVEL","Duistere kazernes van level <number> vereist"
"TID_REQUIRED_LABORATORY_LEVEL","Laboratorium van level <number> vereist"
"TID_INFO_PREFERRED_TARGET","Favoriete doelwit:"
"TID_PREFERRED_TARGET_ANY","Willekeurig"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","(schade x<number>)"
"TID_INFO_TARGET_TYPE","Doelwitten:"
"TID_INFO_DAMAGE_TYPE","Schadetype:"
"TID_INFO_HEAL_TYPE","Genezingstype:"
"TID_INFO_HOUSING","Huisvesting:"
"TID_INFO_TRAINING_TIME","Trainingstijd:"
"TID_INFO_RANGE","Bereik:"
"TID_INFO_TARGET_TYPE_GROUND","Grond"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","Grond en lucht"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","Grond of lucht"
"TID_INFO_TARGET_TYPE_AIR","Lucht"
"TID_INFO_DAMAGE_TYPE_AOE","Gebied"
"TID_INFO_DAMAGE_TYPE_SINGLE","Enkel doelwit"
"TID_INFO_RANGE_VALUE","<number> tegels"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","<item> geüpgraded naar level <level>"
"TID_LOCAL_NOTIFICATION_BUILDING_READY","Bouw van <item> voltooid"
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","Sterbonus beschikbaar! Tijd om te vechten!"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","Chief, ons schild werkt niet meer!"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","Oeps! Ben je vergeten je leger te trainen?"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","Oeps! Ben je vergeten je spreuken te brouwen?"
"TID_NEW","Nieuw"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","Stoppen met bouwen?"
"TID_POPUP_CANCEL_CONSTRUCTION","Weet je zeker dat je wilt stoppen met het bouwen van een <item>? Je krijgt slechts <number>% van de kosten terug."
"TID_POPUP_CANCEL_UPGRADE_TITLE","Stoppen met upgraden?"
"TID_POPUP_CANCEL_UPGRADE","Weet je zeker dat je wilt stoppen met het upgraden van je <item>? Je krijgt slechts <number>% van de kosten terug."
"TID_POPUP_CANCEL_CLEAR_TITLE","Verwijderen stoppen?"
"TID_POPUP_CANCEL_CLEAR","Weet je zeker dat je '<item>' niet meer wilt verwijderen?"
"TID_ALLIANCE_LEADERBOARDS","Beste clans"
"TID_PLAYER_LEADERBOARDS","Beste spelers"
"TID_AVAILABLE_LOOT","Beschikbare buit:"
"TID_INFO","i"
"TID_ATTACK_BUTTON","Aanvallen"
"TID_ALLIANCE_SNEAK_PREVIEW","Ontgrendel clans door het clankasteel te repareren!\n\nClangenoten helpen elkaar en sturen versterkingen en spreuken."
"TID_BUILD_TIME_INSTANT","Geen"
"TID_BUILDING_CAP_REACHED","Je hebt het maximale aantal van deze bouwwerken al gebouwd."
"TID_DIAMONDS_FOUND","Je hebt <number> edelstenen in een <name> gevonden!"
"TID_DIAMOND_FOUND","Je hebt een edelsteen in de <name> gevonden!"
"TID_SHOP_CATEGORY_DECOS","Decoraties"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","Grondstoffen"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","Legers"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","Verdediging"
"TID_SHOP_CATEGORY_TREASURE","Schatten"
"TID_SHOP_CATEGORY_SHIELD","Schilden"
"TID_SHOP_CATEGORY_BUILDERS","Bouwvakkers"
"TID_SHOP_CATEGORY_SPELLS","Spreuken"
"TID_SHOP_CATEGORY_TROOPS","Troepen"
"TID_TRAINING_WARRIORS","Krijgers:"
"TID_TRAINING_SLOTS","Trainingsvakken:"
"TID_TOTAL_TRAINING_TIME","Totale tijd:"
"TID_FINISH_BUTTON","Voltooien"
"TID_TROOP_TRAINING_MAX","Max."
"TID_UNCLOK_FROM_LABORATORY","Ontgrendel in laboratorium"
"TID_NOT_ENOUGH_HOUSING_SPACE","Je hebt te weinig ruimte in de legerkampen!"
"TID_UNLOCK_BUILDING_MULTIPLE","Ontgrendelt:"
"TID_UNLOCK_BARRACK_TROOP","Ontgrendelt: <name>"
"TID_REDUCE_TIME_BARRACK_TROOP","Vermindert trainingstijd voor:"
"TID_REDUCE_TIME_BARRACK_TROOP2","Nieuwe trainingstijd: <num2>"
"TID_BUILDING_TEXT_FULL","Vol!"
"TID_BUILDING_TEXT_TRAIN","Trainen"
"TID_TRAINING_SLOT_STOPPED","Gestopt!"
"TID_BUILDING_TEXT_ALERT","!!!"
"TID_TRAIN_ALL_HOUSINGS_FULL","Alle kampen zijn vol!"
"TID_TRAIN_ALL_HOUSINGS_FULL_INFO","Upgrade of bouw legerkampen om meer troepen onder te brengen, of zet ze in voor het gevecht!"
"TID_BUTTON_FIGHT","Start!"
"TID_BATTLE_START_TIME","Gevecht begint over:"
"TID_NEXT_MATCH","Volgende"
"TID_END_BATTLE_BUTTON","Stoppen"
"TID_SURRENDER_BUTTON","Overgave"
"TID_TROOP_UPGRADE_TIME","Totale tijd:"
"TID_MAX_TROOP_LEVEL","Max. level"
"TID_LEVEL_NUM","Level <number>"
"TID_BUTTON_UPGRADE_TROOPS","Onderzoek"
"TID_POPUP_UPGRADE_TROOP_TITLE","Kies wat je wilt upgraden"
"TID_TROOP_ALREADY_AT_MAX_LEVEL","De eenheid heeft al het maximumlevel!"
"TID_TROOP_UPGRADE_ALREADY_ONGOING","Upgrade wordt al uitgevoerd."
"TID_TROOP_UPGRADE_COMPLETED","Upgrade voltooid: <item> level <number>"
"TID_UNITS_LEFT","<number> over"
"TID_PLAYER_ATTACKING_YOU","Spelers die jou aanvallen:"
"TID_LOOT","Grondstoffen verloren:"
"TID_OUTCOME","Resultaat:"
"TID_YOU_LOST","Je verdediging verloor"
"TID_YOU_WIN","Je verdediging won"
"TID_REVENGE","Wraak"
"TID_JOINQUESTION","Wil je je aansluiten?"
"TID_TAP_TO_EXPAND","Tik om uit te breiden"
"TID_BUY_MISSING_RESOURCES_HEADER","Niet genoeg <resource>"
"TID_BUY_MISSING_RESOURCES_TEXT","Wil je de ontbrekende <count> eenheden <resource> kopen?"
"TID_BUY_MISSING_RESOURCES_HEADER_TWO","Je hebt meer grondstoffen nodig"
"TID_BUY_MISSING_RESOURCES_TEXT_TWO","De ontbrekende <count> <resource> en <count2> <resource2> kopen?"
"TID_BUY_RESOURCE_PACK_HEADER","<resource> kopen?"
"TID_BUY_RESOURCE_PACK_TEXT","Weet je zeker dat je <count> <resource> wilt kopen?"
"TID_BUY_GUARD_HEADER","Bescherming kopen?"
"TID_BUY_SHIELD_HEADER","Schild kopen?"
"TID_BUY_SHIELD_TEXT","Weet je zeker dat je een <name> wilt kopen?"
"TID_RESOURCE_PACK_LOCKED","Te weinig opslagruimte!"
"TID_STAR1","Gaaf!"
"TID_STAR2","Uitmuntend!"
"TID_STAR3","Perfect!"
"TID_OVERALL_DAMAGE","Algemene schade"
"TID_VILLAGE_GUARD_TITLE","Bescherming:"
"TID_SHIELD_TITLE","Schild:"
"TID_SHIELD_NONE","Geen"
"TID_BATTLE_LOG","Logboek"
"TID_BATTLE_INBOX","Postvak In"
"TID_VICTORY","Overwinning"
"TID_DEFEAT","Nederlaag"
"TID_WHAT_YOU_GOT","Ontvangen:"
"TID_TROOPS_USED","Troepen gebruikt:"
"TID_TOTAL_DAMAGE","Totale schade:"
"TID_SCORE","Score"
"TID_YOU_HAVE_BEEN_ATTACKED","Ons dorp is aangevallen!"
"TID_YOU_HAVE_BEEN_ATTACKED_TITLE","Vijandelijke strooptocht"
"TID_YOU_HAVE_BEEN_ATTACKED_HEADER","Het dorp is tijdens je afwezigheid aangevallen!"
"TID_TUTORIAL_CANNON_1","Welkom, Chief! We keken al uit naar je komst."
"TID_TUTORIAL_CANNON_2","Dit is je nieuwe dorp! Het leven zou hier perfect zijn als we geen...."
"TID_TUTORIAL_CANNON_3","O nee, KOBOLDEN! Snel, plaats een kanon om het dorp te verdedigen!"
"TID_TUTORIAL_CANNON_4","Plaats het kanon in het dorp. We moeten het stadhuis beschermen!"
"TID_TUTORIAL_CANNON_5","Doe nou niet zo zuinig. Geef wat edelstenen uit om de boel te versnellen!"
"TID_TUTORIAL_DEFEND_1","Gwar! Kobolden, AANVALLEN!"
"TID_TUTORIAL_DEFEND_1b","Tsss, wat is dit? Alweer zo'n miezerig mens!"
"TID_TUTORIAL_DEFEND_2","Poeh, dat scheelde niet veel. Bedankt, Chief!"
"TID_TUTORIAL_DEFEND_4","Het dorp is op een leylijn gebouwd waardoor gebouwen zich na verloop van tijd op magische wijze herstellen!"
