"Name","SWF","ExportName","ScaleTimeline","DirectionCount","ParticleEmitter","Effect","StartHeight","IsBallistic","ShadowSWF","ShadowExportName","UseRotate","DirectionFrame","PlayOnce","UseTopLayer","Scale","BallisticHeight","TrajectoryStyle","DestroyedEffect","BounceEffect","StartOffsetFromGunBone"
"ArcherQueenPixel arrow rage","sc/hero_aq_pixel_dl_opt.sc","hero_archerqueen_arrow_pixel_rage","FALSE",0,,,65,"FALSE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"FALSE"
"RoyalChampionPixel spear","sc/hero_rc_pixel_dl_opt.sc","hero_warriorprincess_javelin_pixel","FALSE",0,"javelin_trail_glow",,0,"TRUE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"TRUE"
"RoyalChampionPixel shield","sc/hero_rc_pixel_dl_opt.sc","shield_projectile_pixel","FALSE",0,"shield_trail_glow",,50,"TRUE","sc/buildings.sc","simple_shadow_small","FALSE","FALSE","FALSE","FALSE",100,100,3,"trollBoulder_destroyed",,"FALSE"
"RoyalChampionParty spear","sc/hero_rc_party_dl_opt.sc","hero_warriorprincess_javelin_party","FALSE",0,"javelin_trail_glow",,0,"TRUE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"TRUE"
"RoyalChampionParty shield","sc/hero_rc_party_dl_opt.sc","shield_projectile_party","FALSE",0,"shield_trail_glow",,50,"TRUE","sc/buildings.sc","simple_shadow_small","FALSE","FALSE","FALSE","FALSE",100,100,3,"trollBoulder_destroyed",,"FALSE"
"ArcherQueenTH15_arrow","sc/hero_aq_th15_dl_opt.sc","hero_archerqueen_arrow_th15","FALSE",0,,,65,"FALSE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"FALSE"
"ArcherQueenTH15 arrow rage","sc/hero_aq_th15_dl_opt.sc","hero_archerqueen_arrow_th15_rage","FALSE",0,,,65,"FALSE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"FALSE"
"RoyalChampionTH15 spear","sc/hero_rc_th15_dl_opt.sc","hero_warriorprincess_javelin_th15","FALSE",0,"javelin_trail_glow",,0,"TRUE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"TRUE"
"RoyalChampionTh15 shield","sc/hero_rc_th15_dl_opt.sc","shield_projectile_th15","FALSE",0,"shield_trail_glow",,50,"TRUE","sc/buildings.sc","simple_shadow_small","FALSE","FALSE","FALSE","FALSE",100,100,3,"trollBoulder_destroyed",,"FALSE"
"RoyalChampionPirate spear","sc/hero_rc_pirate_dl_opt.sc","hero_warriorprincess_javelin_pirate","FALSE",0,"javelin_trail_glow",,0,"TRUE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"TRUE"
"RoyalChampionPirate shield","sc/hero_rc_pirate_dl_opt.sc","shield_projectile_pirate","FALSE",0,"shield_trail_glow",,50,"TRUE","sc/buildings.sc","simple_shadow_small","FALSE","FALSE","FALSE","FALSE",100,100,3,"trollBoulder_destroyed",,"FALSE"
"ArcherQueenJolly_arrow","sc/hero_aq_jolly_dl_opt.sc","hero_archerqueen_arrow_jolly","FALSE",0,,,65,"FALSE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"FALSE"
"ArcherQueenJolly arrow rage","sc/hero_aq_jolly_dl_opt.sc","hero_archerqueen_arrow_jolly_rage","FALSE",0,,,65,"FALSE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"FALSE"
"RoyalChampionJolly spear","sc/hero_rc_jolly_dl_opt.sc","hero_warriorprincess_javelin_jolly","FALSE",0,"javelin_trail_glow",,0,"TRUE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"TRUE"
"RoyalChampionJolly shield","sc/hero_rc_jolly_dl_opt.sc","shield_projectile_jolly","FALSE",0,"shield_trail_glow",,50,"TRUE","sc/buildings.sc","simple_shadow_small","FALSE","FALSE","FALSE","FALSE",100,100,3,"trollBoulder_destroyed",,"FALSE"
"ArcherQueenLunar_arrow","sc/hero_aq_lunar_dl_opt.sc","hero_archerqueen_arrow_lunar","FALSE",0,,,65,"FALSE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"FALSE"
"ArcherQueenLunar arrow rage","sc/hero_aq_lunar_dl_opt.sc","hero_archerqueen_arrow_lunar_rage","FALSE",0,,,65,"FALSE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"FALSE"
"RoyalChampionLunar spear","sc/hero_rc_lunar_dl_opt.sc","hero_warriorprincess_javelin_lunar","FALSE",0,"javelin_trail_glow",,0,"TRUE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"TRUE"
"RoyalChampionLunar shield","sc/hero_rc_lunar_dl_opt.sc","shield_projectile_lunar","FALSE",0,"shield_trail_glow",,50,"TRUE","sc/buildings.sc","simple_shadow_small","FALSE","FALSE","FALSE","FALSE",100,100,3,"trollBoulder_destroyed",,"FALSE"
"ArcherQueenValentines_arrow","sc/hero_aq_valentines_dl_opt.sc","hero_archerqueen_arrow_valentines","FALSE",0,,,65,"FALSE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"FALSE"
"ArcherQueenValentines arrow rage","sc/hero_aq_valentines_dl_opt.sc","hero_archerqueen_arrow_valentines_rage","FALSE",0,,,65,"FALSE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"FALSE"
"RoyalChampionPainter spear","sc/hero_rc_painter_dl_opt.sc","hero_warriorprincess_javelin_painter","FALSE",0,"javelin_trail_glow",,0,"TRUE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"TRUE"
"RoyalChampionPainter shield","sc/hero_rc_painter_dl_opt.sc","shield_projectile_painter","FALSE",0,"shield_trail_glow",,50,"TRUE","sc/buildings.sc","simple_shadow_small","FALSE","FALSE","FALSE","FALSE",100,100,3,"trollBoulder_destroyed",,"FALSE"
"ArcherQueenPainter_arrow","sc/hero_aq_painter_dl_opt.sc","hero_archerqueen_arrow_painter","FALSE",0,,,65,"FALSE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"FALSE"
"ArcherQueenPainter arrow rage","sc/hero_aq_painter_dl_opt.sc","hero_archerqueen_arrow_painter_rage","FALSE",0,,,65,"FALSE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"FALSE"
"RoyalChampionDarkAges spear","sc/hero_rc_darkages_dl_opt.sc","hero_warriorprincess_javelin_darkages","FALSE",0,"javelin_trail_glow",,0,"TRUE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"TRUE"
"RoyalChampionDarkAges shield","sc/hero_rc_darkages_dl_opt.sc","shield_projectile_darkages","FALSE",0,"shield_trail_glow",,50,"TRUE","sc/buildings.sc","simple_shadow_small","FALSE","FALSE","FALSE","FALSE",100,100,3,"trollBoulder_destroyed",,"FALSE"
"ArcherQueenDarkAges_arrow","sc/hero_aq_darkages_dl_opt.sc","hero_archerqueen_arrow_darkages","FALSE",0,,,65,"FALSE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"FALSE"
"ArcherQueenDarkAges arrow rage","sc/hero_aq_darkages_dl_opt.sc","hero_archerqueen_arrow_darkages_rage","FALSE",0,,,65,"FALSE","sc/buildings.sc","bolt_projectile_shadow","TRUE","FALSE","FALSE","FALSE",100,0,0,,,"FALSE"
