"TID","RU"
"TID_ALL_TROOPS_USED","Все войска отправлены"
"TID_OTHER_TROOP_LEFT","Выберите другой тип войск"
"TID_DIAMONDS","Кристаллы"
"TID_GOLD","Золото"
"TID_ELIXIR","Эликсир"
"TID_ITEM_LEVEL","<item> (ур. <number>)"
"TID_SHOP_TITLE","Магазин"
"TID_ITEM_BROKEN","<item> (разрушено)"
"TID_BUILDING_ARCHER_TOWER","Башня лучниц"
"TID_BUILDING_CLASS_ARMY","Военные здания"
"TID_BUILDING_CLASS_DEFENSE","Защита"
"TID_BUILDING_CLASS_RESOURCE","Ресурсы"
"TID_BUILDING_CLASS_WALL","Стены"
"TID_NOT_ENOUGH_WORKERS_HEADER","Все строители заняты!"
"TID_NOT_ENOUGH_WORKERS_TEXT","Достроить предыдущее сооружение, чтобы строитель освободился?"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","Достроить предыдущее сооружение, чтобы главный строитель освободился?"
"TID_NOT_ENOUGH_RESOURCE","<resource>: не хватает!"
"TID_NOT_ENOUGH_RESOURCE_TWO","<resource1> и <resource2>: не хватает!"
"TID_TOWN_HALL_LEVEL_TOO_LOW","Повысьте уровень ратуши до <number>-го!"
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","Нужно улучшить дом строителя до <number>-го уровня!"
"TID_POPUP_UPGRADE_TITLE","Повысить уровень до <number>-го?"
"TID_POPUP_UPGRADE_BUILD_MORE","Построить больше:"
"TID_RESOURCE_CAP_FULL_GOLD","Постройте новое хранилище золота или улучшите старое!"
"TID_RESOURCE_CAP_FULL_ELIXIR","Постройте новое хранилище эликсира или улучшите старое!"
"TID_RESOURCE_CAP_FULL_GENERIC","Улучшите хранилища или постройте новые!"
"TID_POPUP_FRIEND_LIST_TITLE","Друзья"
"TID_POPUP_SOCIAL_LIST_TITLE","Общение"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","Подключиться к Facebook"
"TID_LOGIN_TO_FACEBOOK_BUTTON","Войти в Facebook"
"TID_LOADING_FACEBOOK_FRIENDS","Загрузка списка друзей..."
"TID_OBSTACLE_TOMBSTONE","Надгробие"
"TID_NO_FACEBOOK_FRIENDS","Не удалось найти в Facebook друзей, которые играют в Clash of Clans."
"TID_ATTACK_FAIL_NO_MATCHES","Невозможно найти деревни для нападения!"
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","Напасть нельзя! Деревня уже атакована."
"TID_ATTACK_FAIL_TARGET_ONLINE","Напасть нельзя! Хозяин деревни в сети."
"TID_ATTACK_FAIL_SAME_ALLIANCE","Нельзя напасть на своих соклановцев!"
"TID_ATTACK_FAIL_SHIELD","Напасть нельзя! Деревня укрыта щитом."
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","Напасть нельзя! Разница уровней больше, чем <level>."
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","На деревню нельзя напасть, так как уровень ратуши меньше <number>-го."
"TID_DEFAULT_VILLAGE_NAME","Деревня вождя <name>"
"TID_BATTLE_LOG_TITLE","На вас напали!"
"TID_BATTLE_LOG_ITEM","Игрок <name> напал на вас <time> назад."
"TID_NO_TROOPS","Сначала нужно натренировать войска."
"TID_NO_SPELLS","Сначала нужно приготовить заклинания."
"TID_ERROR_POP_UP_BANNED_TITLE","Информация об учетной записи"
"TID_ERROR_POP_UP_BANNED","Вас временно заблокировали"
"TID_ERROR_POP_UP_BANNED_BUTTON","ОК"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Ошибка подключения"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Невозможно подключиться к серверу. Проверьте подключение к интернету и попробуйте снова."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Попробуйте снова"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Подключение прервано"
"TID_ERROR_POP_UP_CONNECTION_LOST","Соединение с сервером потеряно. Проверьте подключение к интернету и попробуйте снова."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Попробуйте снова"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Есть здесь кто-нибудь?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Вы отключены по причине бездействия."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Перезапустить игру"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Не удалось войти"
"TID_ERROR_POP_UP_LOGIN_FAILED","Пожалуйста, попробуйте позже."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Попробуйте снова"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Доступно обновление!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Хорошие новости! Доступна новая версия игры!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Обновление"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Ошибка!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Клиент и сервер не синхронизированы! В ваш магазин приложений было направлено обновление с изменениями и исправлением ошибок."
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Перезапустить игру"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Технический перерыв"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Приносим свои извинения, на сервере ведутся технические работы. Пожалуйста, попробуйте позже."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Попробуйте снова"
"TID_BUILDING_ALLIANCE_CASTLE","Крепость клана"
"TID_BUILDING_ALLIANCE_MARKER","Флаг клана"
"TID_COMM_MAST","Радиовышка"
"TID_TRAP_MINE","Бомба"
"TID_TRAP_EJECTOR","Ловушка-пружина"
"TID_SHOP_GUARD_2H","Защита на два часа"
"TID_SHOP_SHIELD_1D","Щит на один день"
"TID_SHOP_SHIELD_2D","Щит на два дня"
"TID_SHOP_SHIELD_7D","Щит на неделю"
"TID_ALLIANCE_MAIN_BUTTON","Клан"
"TID_ALLIANCE_LIST_HEADER","Клан"
"TID_CREATE_ALLIANCE_BUTTON","Создать"
"TID_LEAVE_ALLIANCE_BUTTON","Покинуть"
"TID_JOIN_ALLIANCE_TAB","Вступить в клан"
"TID_CREATE_ALLIANCE_TAB","Создать клан"
"TID_MY_ALLIANCE_TAB","Мой клан"
"TID_ALLIANCE_BUTTON_EDIT","Изменить"
"TID_ALLIANCE_CREATE_NAME","Название клана:"
"TID_ALLIANCE_CREATE_DESCRIPTION","Описание:"
"TID_ALLIANCE_CREATE_BADGE","Символ:"
"TID_ALLIANCE_CREATE_TYPE","Вид клана:"
"TID_ALLIANCE_BADGE_BROWSE","Просмотр"
"TID_ALLIANCE_TYPE_OPEN","открытый"
"TID_ALLIANCE_TYPE_INVITE_ONLY","по приглашению"
"TID_ALLIANCE_TYPE_CLOSED","закрытый"
"TID_TOO_SHORT_ALLIANCE_NAME","Название клана слишком короткое!"
"TID_BACK_BUTTON","Назад"
"TID_ALLIANCE_SELECT_BADGE","Редактировать символ"
"TID_ALLIANCE_JOIN_BUTTON","Присоединиться"
"TID_ALLIANCE_JOIN_OK","Теперь вы член клана <name>!"
"TID_ALLIANCE_CREATE_OK","Вы основали новый клан!"
"TID_ALLIANCE_BUTTON_LEAVE","Покинуть"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","Покинуть клан?"
"TID_ALLIANCE_LEAVE_CONFIRMATION","Вы правда хотите выйти из клана?"
"TID_ALLIANCE_ROLE_ADMIN","Старейшина"
"TID_ALLIANCE_ROLE_LEADER","Глава"
"TID_ALLIANCE_ROLE_MEMBER","Член клана"
"TID_ALLIANCE_PROMOTE_BUTTON","Повысить (новый статус: <role>)"
"TID_ALLIANCE_DEMOTE_BUTTON","Понизить (новый статус: <role>)"
"TID_ALLIANCE_ACCEPTED_BY","Принято игроком <name>"
"TID_ALLIANCE_REJECTED_BY","Получен отказ от игрока <name>"
"TID_ALLIANCE_REQUEST_SENT","Запрос отправлен!"
"TID_ALLIANCE_INVITATION_OK","Приглашение отправлено."
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","Невозможно пригласить: у игрока еще нет крепости клана!"
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","Этот игрок уже в клане!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","Вы уже пригласили этого игрока!"
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","Мне бы хотелось вступить в ваш клан."
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","Разрешить присоединиться?"
"TID_KICK_OUT_FROM_ALLIANCE","Изгнать"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","Передать лидерство?"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","Сделать игрока <name> главой клана?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","Повысить?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","Повысить игрока <name> до старейшины клана?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","Понизить?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","Понизить игрока <name> до члена клана?"
"TID_VISIT_BUTTON","Посетить"
"TID_VIEW_PROFILE_BUTTON","Профиль"
"TID_INVITE_BUTTON","Пригласить"
"TID_VIEW_ALLIANCE","Просмотр клана"
"TID_SETTINGS_LANGUAGE","Язык"
"TID_SAVE_ALLIANCE_SETTINGS","Сохранить"
"TID_STREAM_DONATE_TEXT","нуждается в подкреплении"
"TID_STREAM_DONATE_BUTTON","Жертвовать"
"TID_ALLIANCE_DONATE_HEADER","Пожертвовать подкрепление"
"TID_BUTTON_REQUEST_TROOPS","Запрос"
"TID_TROOP_REQUEST_SENT","Запрос отправлен!"
"TID_ALLIANCE_STREAM_THANKS","Благодарю за подкрепление!"
"TID_ALLIANCE_TROOP_RECEIVED","<troop> <level>-го ур.: пожертвовано игроком <avatar>!"
"TID_BARBARIAN","Варвар"
"TID_ARCHER","Лучница"
"TID_GIANT","Гигант"
"TID_DRAGON","Дракон"
"TID_PEKKA","П.Е.К.К.А."
"TID_GOBLIN","Гоблин"
"TID_WALL_BREAKER","Стенобой"
"TID_GOBLIN_BALLOON","Воздушный шар"
"TID_HEALER","Целительница"
"TID_WIZARD","Колдун"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","Крепость клана уже заполнена!"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","Придется подождать, прежде чем просить еще подкрепление."
"TID_ALLIANCE_STREAM_REWARD","Вы получили опыт: <number>"
"TID_HOUSING_TROOPS_INSIDE","Всего войск:"
"TID_UNIT_STORAGE_CAPACITY","Количество войск: <number>"
"TID_REGENERATION_TIME","Время восстановления: <number> мин."
"TID_HITPOINTS","Здоровье: <number>"
"TID_DPS","Урон в секунду: <number>"
"TID_BURST_SIZE","Стрельба очередями: <number> выстр."
"TID_HEAL","Исцеление: <number>"
"TID_TRAIN_COST","Стоимость: <resource> (<number>)"
"TID_RESOURCE_STORAGE_CAPACITY","Вместимость хранилища: <number>"
"TID_PRODUCTION_RATE","Производительность: <number> в час"
"TID_PRODUCTION_CAPACITY","Вместимость: <number>"
"TID_TRAINING_TIME","Время тренировки: <number>"
"TID_TRAINING_TIME_REDUCTION","Уменьшение времени тренировки: <number>"
"TID_HOUSING_INFO","Ваши войска размещаются в военных лагерях. Постройте больше лагерей, чтобы создать могучую армию."
"TID_TOWN_HALL_INFO","Это сердце деревни. Улучшение ратуши откроет новые орудия, строения, ловушки и многое другое.\nУничтожение ратуши противника позволяет выиграть сражение и приносит звезду. Уничтожение 50 % строений дает еще звезду, а 100 % разрушение дает все три звезды.\nПомните, что враги тоже постараются уничтожить вашу ратушу!\nДля максимальной защиты разместите ратушу в середине деревни и окружите стенами, ловушками и защитными сооружениями. Ваши враги хитры и могут напасть с любой стороны!"
"TID_ELIXIR_PUMP_INFO","Эликсир добывают из нитей лея, что текут под деревней. Повысьте уровень сборщиков эликсира, чтобы добывать больше."
"TID_ELIXIR_STORAGE_INFO","В этих хранилищах содержится эликсир, добытый из-под земли. Повысьте их уровень, чтобы увеличить вместимость."
"TID_GOLD_MINE_INFO","На золотой шахте добывается золото. Улучшите ее, чтобы увеличить производительность и количество хранимого золота."
"TID_GOLD_STORAGE_INFO","Ваше золото хранится здесь. Не подпускайте к нему гоблинов! Улучайте хранилище, чтобы увеличить его вместимость и защищенность."
"TID_BARRACK_INFO","Казармы позволяют тренировать войска для нападения на врагов. Улучшите казармы, чтобы получить доступ к лучшим войскам для побед в эпических сражениях."
"TID_BASIC_TURRET_INFO","Пушки хороши для точечной обороны. Улучшите их, чтобы повысить огневую мощь. Но не забывайте, что во время улучшения орудия не могут стрелять."
"TID_ARCHER_TOWER_INFO","Башни лучниц стреляют дальше пушек, а еще, в отличие от них, могут атаковать летающих врагов."
"TID_WIZARD_TOWER_INFO","Невероятная защита! Башня колдунов накладывает на область сильные заклинания, которые бьют и по наземным и по воздушным целям."
"TID_TESLA_TOWER_INFO","Устройте смертоносную ловушку с помощью потайной теслы! Наши колдуны заточили штормовое облако в каждую из этих хитроумных башен. Когда враг подходит или подлетает близко, башня, взметнувшись, поджаривает его электрическим ударом!"
"TID_AIR_DEFENSE_INFO","Эта противовоздушная башня смертоносна для летающих врагов, но не может атаковать наземных. Разместите ее так, чтобы охватить как можно больше воздушного пространства."
"TID_MORTAR_INFO","Мортира может скосить орды врагов рассеянным ударом. Но не давайте противникам подобраться к ней близко!"
"TID_ALLIANCE_CASTLE_INFO","В крепости клана находятся сокровищница и отправленные соклановцами войска."
"TID_WORKER_INFO","Без строителей никуда! Вы можете нанять больше строителей, чтобы строить несколько проектов одновременно, или ускорить их работу с помощью кристаллов."
"TID_LABORATORY_INFO","Какие темные тайны скрыты за дверями лаборатории? Пока ни у кого не хватило смелости проверить. Мы лишь знаем, что исследования обосновавшихся там колдунов помогают сделать наши заклинания и воинов выносливее, сильнее и быстрее!"
"TID_STREAM_SENDER_YOU","Вы"
"TID_SHIELD_ACTIVATED","Щит противника поднят на <hours> ч."
"TID_STREAM_ENTRY_AGE","<time> назад"
"TID_UPGRADE_WINDOW_NOTE","Внимание!"
"TID_OBSTACLE_CLEAR_TIME","Время уборки"
"TID_UPGRADE_TIME","Время улучшения"
"TID_BUILD_TIME","Время строительства"
"TID_GEAR_UP_TIME","Время модернизации"
"TID_UNLOCK_BUILDINGS","Откроются здания:"
"TID_REQUIRED_EXP_LEVEL","Вы должны быть на <number>-м уровне"
"TID_REQUIRED_TOWN_HALL_LEVEL","Нужна ратуша <number>-го уровня"
"TID_REQUIRED_BUILDERS_HALL_LEVEL","Нужен дом строителя <number>-го уровня"
"TID_REQUIRED_CASTLE_LEVEL","Нужна крепость <number>-го уровня"
"TID_REQUIRED_BARRACK_LEVEL","Нужны казармы <number>-го уровня"
"TID_REQUIRED_DARK_BARRACK_LEVEL","Нужна темная казарма <number>-го уровня"
"TID_REQUIRED_LABORATORY_LEVEL","Нужна лаборатория <number>-го уровня"
"TID_INFO_PREFERRED_TARGET","Избранная цель:"
"TID_PREFERRED_TARGET_ANY","Любая"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","(урон x<number>)"
"TID_INFO_TARGET_TYPE","Цели:"
"TID_INFO_DAMAGE_TYPE","Вид урона:"
"TID_INFO_HEAL_TYPE","Вид исцеления:"
"TID_INFO_HOUSING","Требуется мест:"
"TID_INFO_TRAINING_TIME","Время тренировки:"
"TID_INFO_RANGE","Дальность:"
"TID_INFO_TARGET_TYPE_GROUND","Земля"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","Земля и воздух"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","Земля или воздух"
"TID_INFO_TARGET_TYPE_AIR","Воздух"
"TID_INFO_DAMAGE_TYPE_AOE","Рассеянный"
"TID_INFO_DAMAGE_TYPE_SINGLE","Одиночная цель"
"TID_INFO_RANGE_VALUE","<number> клет."
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","<item>: уровень увеличен до <level>-го"
"TID_LOCAL_NOTIFICATION_BUILDING_READY","<item>: постройка окончена"
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","Доступен звездный бонус! Пора идти в бой!"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","Вождь, действие щита закончилось!"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","Ой! Вы забыли обучить войска?"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","Ой! Вы забыли создать заклинания?"
"TID_NEW","Новое"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","Прекратить создание?"
"TID_POPUP_CANCEL_CONSTRUCTION","<item>: прекратить создание? Вам будет возвращено только <number> % стоимости."
"TID_POPUP_CANCEL_UPGRADE_TITLE","Прекратить улучшение?"
"TID_POPUP_CANCEL_UPGRADE","<item>: прекратить улучшение? Вам будет возвращено только <number> % стоимости."
"TID_POPUP_CANCEL_CLEAR_TITLE","Прекратить удаление?"
"TID_POPUP_CANCEL_CLEAR","<item>: отменить удаление?"
"TID_ALLIANCE_LEADERBOARDS","Лучшие кланы"
"TID_PLAYER_LEADERBOARDS","Лучшие игроки"
"TID_AVAILABLE_LOOT","Доступная добыча:"
"TID_INFO","i"
"TID_ATTACK_BUTTON","В атаку"
"TID_ALLIANCE_SNEAK_PREVIEW","Восстановив крепость клана, вы получите доступ к кланам!\n\nСоклановцы помогают друг другу, отправляя войска и заклинания."
"TID_BUILD_TIME_INSTANT","Нет"
"TID_BUILDING_CAP_REACHED","Максимальное число этих зданий уже построено."
"TID_DIAMONDS_FOUND","<name> пропадает, и вы находите кристаллы (<number>)!"
"TID_DIAMOND_FOUND","<name> пропадает, и вы находите кристалл!"
"TID_SHOP_CATEGORY_DECOS","Украшения"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","Ресурсы"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","Войско"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","Защита"
"TID_SHOP_CATEGORY_TREASURE","Сокровища"
"TID_SHOP_CATEGORY_SHIELD","Щит"
"TID_SHOP_CATEGORY_BUILDERS","Строители"
"TID_SHOP_CATEGORY_SPELLS","Заклинания"
"TID_SHOP_CATEGORY_TROOPS","Воины"
"TID_TRAINING_WARRIORS","Воинов:"
"TID_TRAINING_SLOTS","Ячейки тренировки:"
"TID_TOTAL_TRAINING_TIME","Время:"
"TID_FINISH_BUTTON","Закончить"
"TID_TROOP_TRAINING_MAX","Макс."
"TID_UNCLOK_FROM_LABORATORY","Откройте в лаборатории"
"TID_NOT_ENOUGH_HOUSING_SPACE","В военных лагерях недостаточно места!"
"TID_UNLOCK_BUILDING_MULTIPLE","Откроется:"
"TID_UNLOCK_BARRACK_TROOP","Откроется воин «<name>»"
"TID_REDUCE_TIME_BARRACK_TROOP","Уменьшает время тренировки на:"
"TID_REDUCE_TIME_BARRACK_TROOP2","Новое время тренировки: <num2>"
"TID_BUILDING_TEXT_FULL","Заполнено!"
"TID_BUILDING_TEXT_TRAIN","Тренировать"
"TID_TRAINING_SLOT_STOPPED","Остановлено!"
"TID_BUILDING_TEXT_ALERT","!!!"
"TID_TRAIN_ALL_HOUSINGS_FULL","Лагеря заполнены!"
"TID_TRAIN_ALL_HOUSINGS_FULL_INFO","Постройте новый военный лагерь или улучшите старый, чтобы вместить побольше войск, или отправьте их в бой!"
"TID_BUTTON_FIGHT","Начать!"
"TID_BATTLE_START_TIME","Начало сражения через"
"TID_NEXT_MATCH","Далее"
"TID_END_BATTLE_BUTTON","Закончить сражение"
"TID_SURRENDER_BUTTON","Сдаться"
"TID_TROOP_UPGRADE_TIME","Время:"
"TID_MAX_TROOP_LEVEL","Макс. уровень"
"TID_LEVEL_NUM","Уровень <number>"
"TID_BUTTON_UPGRADE_TROOPS","Исследование"
"TID_POPUP_UPGRADE_TROOP_TITLE","Выбрать улучшение"
"TID_TROOP_ALREADY_AT_MAX_LEVEL","Максимальный уровень достигнут!"
"TID_TROOP_UPGRADE_ALREADY_ONGOING","Идет улучшение."
"TID_TROOP_UPGRADE_COMPLETED","<item> <number>-го уровня: улучшение завершено."
"TID_UNITS_LEFT","Осталось: <number>"
"TID_PLAYER_ATTACKING_YOU","Игроки, напавшие на вас:"
"TID_LOOT","Потеряно ресурсов:"
"TID_OUTCOME","Исход:"
"TID_YOU_LOST","Ваша защита не выстояла"
"TID_YOU_WIN","Ваша защита выстояла"
"TID_REVENGE","Отомстить"
"TID_JOINQUESTION","Хотите вступить?"
"TID_TAP_TO_EXPAND","Коснитесь для расширения"
"TID_BUY_MISSING_RESOURCES_HEADER","Не хватает ресурсов: <resource>"
"TID_BUY_MISSING_RESOURCES_TEXT","Купить недостающие ресурсы: <resource> (<count>)?"
"TID_BUY_MISSING_RESOURCES_HEADER_TWO","Нужно больше ресурсов"
"TID_BUY_MISSING_RESOURCES_TEXT_TWO","Купить недостающие ресурсы: <resource> (<count>) и <resource2> (<count2>)?"
"TID_BUY_RESOURCE_PACK_HEADER","Купить <resource>?"
"TID_BUY_RESOURCE_PACK_TEXT","Вы точно хотите купить <resource> (<count>)?"
"TID_BUY_GUARD_HEADER","Купить защиту?"
"TID_BUY_SHIELD_HEADER","Купить щит?"
"TID_BUY_SHIELD_TEXT","<name>: хотите приобрести?"
"TID_RESOURCE_PACK_LOCKED","Недостаточно места в хранилище!"
"TID_STAR1","Здорово!"
"TID_STAR2","Отлично!"
"TID_STAR3","Великолепно!"
"TID_OVERALL_DAMAGE","Общий урон"
"TID_VILLAGE_GUARD_TITLE","Защита:"
"TID_SHIELD_TITLE","Щит:"
"TID_SHIELD_NONE","Нет"
"TID_BATTLE_LOG","Данные боя"
"TID_BATTLE_INBOX","Входящие"
"TID_VICTORY","Победа"
"TID_DEFEAT","Поражение"
"TID_WHAT_YOU_GOT","Получено:"
"TID_TROOPS_USED","Использованные войска:"
"TID_TOTAL_DAMAGE","Всего урона:"
"TID_SCORE","Результат"
"TID_YOU_HAVE_BEEN_ATTACKED","Вождь, на деревню напали!"
"TID_YOU_HAVE_BEEN_ATTACKED_TITLE","Вражеский налет"
"TID_YOU_HAVE_BEEN_ATTACKED_HEADER","Вождь, в ваше отсутствие на деревню напали!"
"TID_TUTORIAL_CANNON_1","Добро пожаловать, вождь! Мы ждали тебя."
"TID_TUTORIAL_CANNON_2","Это наша новая деревня! Жизнь здесь была бы идеальной, если бы не..."
"TID_TUTORIAL_CANNON_3","О нет! Это ГОБЛИНЫ! Скорее ставь пушку, чтобы защитить деревню!"
"TID_TUTORIAL_CANNON_4","Поставь пушку в деревне. Главное — защитить ратушу!"
"TID_TUTORIAL_CANNON_5","Не время жадничать. Потрать немного кристаллов для ускорения!"
"TID_TUTORIAL_DEFEND_1","Гвар-р-р! В АТАКУ, гоблины!"
"TID_TUTORIAL_DEFEND_1b","Гва-ха-ха, что это тут у нас? Еще один жалкий человечишка?"
"TID_TUTORIAL_DEFEND_2","Ох, мы были на волосок от гибели. Спасибо, вождь!"
"TID_TUTORIAL_DEFEND_4","Деревня построена на нитях лея. Это значит, что здания волшебным образом восстановятся сами."
"TID_TUTORIAL_DEFEND_5","Гвар-р-рх, ЗОЛОТО! Мы, гоблины, любим золото!"
"TID_TUTORIAL_DEFEND_BUTTON","Вперед!"
"TID_TUTORIAL_WORKER_1","Ого, неплохо! Теперь нужно подготовить деревню к сражению."
"TID_TUTORIAL_WORKER_2","Наняв второго строителя, ты сможешь строить два здания одновременно."
"TID_TUTORIAL_ELIXIR_1","Эликсир нужен для тренировки воинов и строительства зданий."
"TID_TUTORIAL_ELIXIR_2","Эликсир можно качать из-под земли. Попробуй!"
"TID_TUTORIAL_ELIXIR_STORAGE_1","Сборщик может хранить лишь немного эликсира."
"TID_TUTORIAL_ELIXIR_STORAGE_2","Давай построим хранилище эликсира, чтобы создать запас!"
"TID_TUTORIAL_GOLD_STORAGE_1","А еще нам нужно безопасное место для хранения золота."
"TID_TUTORIAL_GOLD_STORAGE_2","Давай построим хранилище золота, чтобы создать запас!"
"TID_TUTORIAL_BARRACK_1","Вождь, нам нужно войско, чтобы сражаться с гоблинами! Давай построим казармы."
"TID_TUTORIAL_TRAIN_1","Теперь давай тренировать войска!"
"TID_TUTORIAL_TRAIN_2","Коснись казармы и выбери «Тренировать войска»."
"TID_TUTORIAL_CHANGE_NAME","Это было великое сражение! Под каким именем ты войдешь в историю?"
