"TID","CNT"
"TID_POPUP_UNDER_ATTACK","您的村莊正在遭受攻擊。稍等片刻您就可以回到村莊！"
"TID_POPUP_TRY_AGAIN","預估剩餘時間："
"TID_BUTTON_OKAY","確定"
"TID_POPUP_TRAIN_TITLE","訓練部隊<limit>"
"TID_INVALID_PLACEMENT","您無法在紅線區域內派遣部隊！"
"TID_ALL_TROOPS_USED","已部署所有兵力"
"TID_OTHER_TROOP_LEFT","請選擇其他兵種"
"TID_DIAMONDS","寶石"
"TID_GOLD","金幣"
"TID_ELIXIR","聖水"
"TID_ITEM_LEVEL","<item>(<number>級)"
"TID_SHOP_TITLE","商店"
"TID_ITEM_BROKEN","<item>(已損壞)"
"TID_BUILDING_ARCHER_TOWER","箭塔"
"TID_BUILDING_CLASS_ARMY","軍事建築物"
"TID_BUILDING_CLASS_DEFENSE","防禦設施"
"TID_BUILDING_CLASS_RESOURCE","資源"
"TID_BUILDING_CLASS_WALL","城牆"
"TID_NOT_ENOUGH_WORKERS_HEADER","所有建築工人都在忙碌中！"
"TID_NOT_ENOUGH_WORKERS_TEXT","要立即完成上一座建築物並空出一個建築工人嗎？"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","讓建築大師完成他手上的工作，開始新的工作？"
"TID_NOT_ENOUGH_RESOURCE","您的<resource>不足！"
"TID_NOT_ENOUGH_RESOURCE_TWO","您沒有足夠的<resource1>和<resource2>！"
"TID_TOWN_HALL_LEVEL_TOO_LOW","您需要將大本營提升至<number>級！"
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","您需要將建築大師大本營升至<number>級！"
"TID_POPUP_UPGRADE_TITLE","是否提升至<number>級？"
"TID_POPUP_UPGRADE_BUILD_MORE","建造更多："
"TID_RESOURCE_CAP_FULL_GOLD","建造更多儲金罐或升級現有的儲金罐！"
"TID_RESOURCE_CAP_FULL_ELIXIR","建造更多聖水瓶或升級現有的聖水瓶！"
"TID_RESOURCE_CAP_FULL_GENERIC","建造更多資源倉庫或升級已有的資源倉庫！"
"TID_POPUP_FRIEND_LIST_TITLE","好友"
"TID_POPUP_SOCIAL_LIST_TITLE","社交"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","連接至Facebook"
"TID_LOGIN_TO_FACEBOOK_BUTTON","登入Facebook"
"TID_LOADING_FACEBOOK_FRIENDS","正在載入好友清單..."
"TID_OBSTACLE_TOMBSTONE","墓碑"
"TID_NO_FACEBOOK_FRIENDS","找不到進行《部落衝突》遊戲的Facebook好友"
"TID_ATTACK_FAIL_NO_MATCHES","無法找到可攻擊的村莊！"
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","村莊正遭受攻擊，無法攻擊！"
"TID_ATTACK_FAIL_TARGET_ONLINE","首領在家，無法攻擊！"
"TID_ATTACK_FAIL_SAME_ALLIANCE","無法攻擊同一部落成員！"
"TID_ATTACK_FAIL_SHIELD","玩家已啟用護盾，無法攻擊！"
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","等級相差超過<level>級，無法攻擊！"
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","該村莊大本營等級低於<number>，無法攻擊。"
"TID_DEFAULT_VILLAGE_NAME","<name>的村莊"
"TID_BATTLE_LOG_TITLE","您受到攻擊了！"
"TID_BATTLE_LOG_ITEM","<name>在<time>前向您發動攻擊。"
"TID_NO_TROOPS","您需要先訓練一些部隊。"
"TID_NO_SPELLS","您需要先配製一些法術。"
"TID_ERROR_POP_UP_BANNED_TITLE","帳號資訊！"
"TID_ERROR_POP_UP_BANNED","您的帳號暫時被封禁"
"TID_ERROR_POP_UP_BANNED_BUTTON","確定"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","連線錯誤"
"TID_ERROR_POP_UP_CONNECTION_FAILED","無法與伺服器連線。請檢查網際網路連線，然後再試一次。"
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","再試一次"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","連線已中斷"
"TID_ERROR_POP_UP_CONNECTION_LOST","與伺服器連線中斷。請檢查網際網路連線，然後再試一次。"
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","再試一次"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","還在嗎？"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","您因閒置過久而中斷連線。"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","重新登入遊戲"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","登入失敗"
"TID_ERROR_POP_UP_LOGIN_FAILED","請稍後重試。"
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","再試一次"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","可以更新了!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","好消息！現在可以下載最新版本了。"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","更新"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","錯誤！"
"TID_ERROR_POP_UP_OUT_OF_SYNC","客戶端和伺服器不同步！請前往您的應用程式商店查看並下載最新版本，以便獲得最佳遊戲體驗。"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","重新登入遊戲"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","系統維護"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","抱歉，伺服器正在維護中。請稍後重試。"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","再試一次"
"TID_BUILDING_ALLIANCE_CASTLE","部落城堡"
"TID_BUILDING_ALLIANCE_MARKER","部落旗幟"
"TID_COMM_MAST","無線電塔"
"TID_TRAP_MINE","隱形炸彈"
"TID_TRAP_EJECTOR","隱形彈簧"
"TID_SHOP_GUARD_2H","兩小時村莊守衛"
"TID_SHOP_SHIELD_1D","一日護盾"
"TID_SHOP_SHIELD_2D","兩日護盾"
"TID_SHOP_SHIELD_7D","一週護盾"
"TID_ALLIANCE_MAIN_BUTTON","部落"
"TID_ALLIANCE_LIST_HEADER","部落"
"TID_CREATE_ALLIANCE_BUTTON","建立"
"TID_LEAVE_ALLIANCE_BUTTON","離開"
"TID_JOIN_ALLIANCE_TAB","加入部落"
"TID_CREATE_ALLIANCE_TAB","建立部落"
"TID_MY_ALLIANCE_TAB","我的部落"
"TID_ALLIANCE_BUTTON_EDIT","編輯"
"TID_ALLIANCE_CREATE_NAME","部落名稱："
"TID_ALLIANCE_CREATE_DESCRIPTION","說明："
"TID_ALLIANCE_CREATE_BADGE","徽章："
"TID_ALLIANCE_CREATE_TYPE","部落類型："
"TID_ALLIANCE_BADGE_BROWSE","瀏覽"
"TID_ALLIANCE_TYPE_OPEN","任何人都能加入"
"TID_ALLIANCE_TYPE_INVITE_ONLY","只有被批准才能加入"
"TID_ALLIANCE_TYPE_CLOSED","不可加入"
"TID_TOO_SHORT_ALLIANCE_NAME","部落名稱過短！"
"TID_BACK_BUTTON","返回"
"TID_ALLIANCE_SELECT_BADGE","編輯部落徽章"
"TID_ALLIANCE_JOIN_BUTTON","加入"
"TID_ALLIANCE_JOIN_OK","您現在是 <name> 部落的一員了！"
"TID_ALLIANCE_CREATE_OK","您已成功建立了一個新的部落！"
"TID_ALLIANCE_BUTTON_LEAVE","離開"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","離開部落？"
"TID_ALLIANCE_LEAVE_CONFIRMATION","確定離開？"
"TID_ALLIANCE_ROLE_ADMIN","長老"
"TID_ALLIANCE_ROLE_LEADER","首領"
"TID_ALLIANCE_ROLE_MEMBER","成員"
"TID_ALLIANCE_PROMOTE_BUTTON","晉升為<role>"
"TID_ALLIANCE_DEMOTE_BUTTON","降級為<role>"
"TID_ALLIANCE_ACCEPTED_BY","已由<name>接受"
"TID_ALLIANCE_REJECTED_BY","<name>拒絕了該請求"
"TID_ALLIANCE_REQUEST_SENT","請求已傳送！"
"TID_ALLIANCE_INVITATION_OK","已成功傳送邀請。"
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","該玩家尚未重建部落城堡，無法邀請！"
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","玩家已經加入了另一個部落！"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","您邀請過那位玩家了！"
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","我想加入你們的部落"
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","接受加入請求？"
"TID_KICK_OUT_FROM_ALLIANCE","踢出"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","移交職位？"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","將<name>設為新的部落首領？"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","確定晉升嗎？"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","確定將<name>晉升為部落長老？"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","要降級嗎？"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","將<name>降級為部落成員？"
"TID_VISIT_BUTTON","造訪"
"TID_VIEW_PROFILE_BUTTON","更多資訊"
"TID_INVITE_BUTTON","邀請"
"TID_VIEW_ALLIANCE","查看部落"
"TID_SETTINGS_LANGUAGE","語言"
"TID_SAVE_ALLIANCE_SETTINGS","儲存"
"TID_STREAM_DONATE_TEXT","需要增援"
"TID_STREAM_DONATE_BUTTON","增援"
"TID_ALLIANCE_DONATE_HEADER","增援"
"TID_BUTTON_REQUEST_TROOPS","請求"
"TID_TROOP_REQUEST_SENT","請求已送出！"
"TID_ALLIANCE_STREAM_THANKS","感謝您派出的增援！"
"TID_ALLIANCE_TROOP_RECEIVED","你已獲得<avatar>增援的<level>級<troop>！"
"TID_BARBARIAN","野蠻人"
"TID_ARCHER","弓箭手"
"TID_GIANT","巨人"
"TID_DRAGON","飛龍"
"TID_PEKKA","皮卡超人"
"TID_GOBLIN","哥布林"
"TID_WALL_BREAKER","炸彈人"
"TID_GOBLIN_BALLOON","氣球兵"
"TID_HEALER","天使"
"TID_WIZARD","法師"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","部落城堡已滿！"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","稍候片刻才能再次發送增援請求喔。"
"TID_ALLIANCE_STREAM_REWARD","您獲得了<number>點經驗值"
"TID_HOUSING_TROOPS_INSIDE","所有部隊："
"TID_UNIT_STORAGE_CAPACITY","部隊兵力：<number>"
"TID_REGENERATION_TIME","恢復所需時間：<number>分鐘"
"TID_HITPOINTS","生命值：<number>"
"TID_DPS","每秒傷害值：<number>"
"TID_BURST_SIZE","連發數量：<number>連發"
"TID_HEAL","治療量：<number>"
"TID_TRAIN_COST","訓練費用：<number><resource>"
"TID_RESOURCE_STORAGE_CAPACITY","容量：<number>"
"TID_PRODUCTION_RATE","生產速度：每小時<number>"
"TID_PRODUCTION_CAPACITY","容量：<number>"
"TID_TRAINING_TIME","訓練時間：<number>"
"TID_TRAINING_TIME_REDUCTION","訓練時間減少：<number>"
"TID_HOUSING_INFO","部隊駐紮在兵營。建造並升級兵營以容納更多部隊。"
"TID_TOWN_HALL_INFO","大本營是村莊的核心。升級大本營，可解鎖新的防禦、建築、陷阱和更多內容。\n摧毀敵軍大本營，您將贏得戰爭，並獲得一顆星。\n摧毀敵軍50%的建築及其大本營，可贏得第二顆星。\n如果100%全毀敵軍建築，則獲得全部共三顆星星。\n小心！敵軍也會嘗試摧毀您的大本營！\n若要達到最佳防護效果，請將大本營的位置保持在村莊的正中央，並在它的周圍建造城牆、陷阱和防禦建築。\n敵軍十分狡猾，可能在村莊的任何一側發起攻擊！"
"TID_ELIXIR_PUMP_INFO","聖水收集器可以從村莊地下的聖泉中收集聖水。升級您的聖水收集器以使聖水產量最大化。"
"TID_ELIXIR_STORAGE_INFO","聖水瓶可以用來儲存從地下收集的聖水。升級聖水瓶可以儲存更多的聖水。"
"TID_GOLD_MINE_INFO","金礦生產金幣。升級金礦提高金幣產量和容量。"
"TID_GOLD_STORAGE_INFO","您所有的寶貴金幣都存放在這裡。別讓狡猾的哥布林有機可乘！升級儲金罐可提高它的容量以及抗打擊的能力。"
"TID_BARRACK_INFO","在訓練營訓練部隊助您征戰。升級訓練營可解鎖更高階的兵種，助您在史詩般的戰鬥中贏得勝利。"
"TID_BASIC_TURRET_INFO","加農炮很適合用於單點防禦。升級加農炮可以提升它的火力，但是要注意，您的防禦性建築在升級過程中是無法發揮效用的！"
"TID_ARCHER_TOWER_INFO","箭塔的攻擊範圍比加農炮更遠，箭塔還可以攻擊飛行中的敵方單位。"
"TID_WIZARD_TOWER_INFO","感受神秘法術的威力吧！塔上的法師會施放威力強大的範圍性攻擊法術，抵禦侵入領土和領空的敵軍。"
"TID_TESLA_TOWER_INFO","隱藏在地下的特斯拉電磁塔就像一個致命陷阱！法師在這個防禦建築中注入了雷電的力量，當敵軍地面或空中部隊靠近時，特斯拉電磁塔會彈出並運用雷電之力攻擊這些倒楣鬼。"
"TID_AIR_DEFENSE_INFO","防空火箭對於飛行中的敵人能造成致命打擊，但無法攻擊地面的敵人。謹慎挑選設置的地點，盡可能地讓射擊範圍涵蓋所有領空。"
"TID_MORTAR_INFO","迫擊炮可以發出威力無比的炮彈，其造成的濺射傷害可以殺傷大群敵軍。注意，要防止敵軍過於接近迫擊炮！"
"TID_ALLIANCE_CASTLE_INFO","寶庫以及部落成員增援的部隊和法術都會存放在您的部落城堡中。"
"TID_WORKER_INFO","沒有建築工人就無法完成任何工作！您可以僱用更多的建築工人來開始多項建設工作，或使用寶石來加快他們的工作速度。"
"TID_LABORATORY_INFO","法師們究竟在實驗室裡藏著什麼見不得人的秘密？沒有人敢去一探究竟。我們只知道他們的研究可以使部隊和法術變得更強！"
"TID_STREAM_SENDER_YOU","您"
"TID_SHIELD_ACTIVATED","對手已獲得護盾<hours>小時"
"TID_STREAM_ENTRY_AGE","<time>前"
"TID_UPGRADE_WINDOW_NOTE","注意！"
"TID_OBSTACLE_CLEAR_TIME","移除時間"
"TID_UPGRADE_TIME","升級時間"
"TID_BUILD_TIME","建造時間"
"TID_GEAR_UP_TIME","改裝時間"
"TID_UNLOCK_BUILDINGS","解鎖建築物："
"TID_REQUIRED_EXP_LEVEL","需要經驗等級<number>"
"TID_REQUIRED_TOWN_HALL_LEVEL","需要<number>級大本營"
"TID_REQUIRED_BUILDERS_HALL_LEVEL","需要<number>級建築大師大本營"
"TID_REQUIRED_CASTLE_LEVEL","需要<number>級部落城堡"
"TID_REQUIRED_BARRACK_LEVEL","需要<number>級訓練營"
"TID_REQUIRED_DARK_BARRACK_LEVEL","需要<number>級闇黑訓練營"
"TID_REQUIRED_LABORATORY_LEVEL","需要<number>級實驗室"
"TID_INFO_PREFERRED_TARGET","攻擊偏好："
"TID_PREFERRED_TARGET_ANY","任何"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","（<number>倍傷害）"
"TID_INFO_TARGET_TYPE","目標："
"TID_INFO_DAMAGE_TYPE","傷害類型："
"TID_INFO_HEAL_TYPE","恢復類型："
"TID_INFO_HOUSING","所需空間容量："
"TID_INFO_TRAINING_TIME","訓練時間："
"TID_INFO_RANGE","範圍："
"TID_INFO_TARGET_TYPE_GROUND","地面目標"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","地面和空中目標"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","地面或空中目標"
"TID_INFO_TARGET_TYPE_AIR","空中目標"
"TID_INFO_DAMAGE_TYPE_AOE","區域濺射"
"TID_INFO_DAMAGE_TYPE_SINGLE","單一目標"
"TID_INFO_RANGE_VALUE","<number>格"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","<item>已升至<level>級"
"TID_LOCAL_NOTIFICATION_BUILDING_READY","已完成<item>建設工作"
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","可以收集勝利之星了，快去進攻吧！"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","首領，我們的護盾失效了！"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","哎呀，首領您是不是忘記訓練部隊了？"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","哎呀，首領您是不是忘記配製法術了？"
"TID_NEW","全新"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","是否停止建造？"
"TID_POPUP_CANCEL_CONSTRUCTION","確定取消建造<item>嗎？取消後只能返還<number>%的費用。"
"TID_POPUP_CANCEL_UPGRADE_TITLE","停止升級？"
"TID_POPUP_CANCEL_UPGRADE","確定取消升級<item>嗎？取消後只會返還<number>%的費用。"
"TID_POPUP_CANCEL_CLEAR_TITLE","停止移除？"
"TID_POPUP_CANCEL_CLEAR","是否停止移除<item>？"
"TID_ALLIANCE_LEADERBOARDS","頂尖部落"
"TID_PLAYER_LEADERBOARDS","頂尖玩家"
"TID_AVAILABLE_LOOT","可掠奪的戰利品："
"TID_INFO","i"
"TID_ATTACK_BUTTON","攻擊"
"TID_ALLIANCE_SNEAK_PREVIEW","重建部落城堡即可解鎖部落！\n\n部落成員可以互相增援部隊和法術。"
"TID_BUILD_TIME_INSTANT","無"
"TID_BUILDING_CAP_REACHED","此建築物的建造數量已經達到上限了。"
"TID_DIAMONDS_FOUND","你在<name>中發現<number>顆寶石！"
"TID_DIAMOND_FOUND","您在<name>中發現一顆寶石！"
"TID_SHOP_CATEGORY_DECOS","裝飾"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","資源"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","軍隊"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","防禦設施"
"TID_SHOP_CATEGORY_TREASURE","寶藏"
"TID_SHOP_CATEGORY_SHIELD","護盾"
"TID_SHOP_CATEGORY_BUILDERS","建築工人"
"TID_SHOP_CATEGORY_SPELLS","法術"
"TID_SHOP_CATEGORY_TROOPS","部隊"
"TID_TRAINING_WARRIORS","戰士數量："
"TID_TRAINING_SLOTS","訓練地點："
"TID_TOTAL_TRAINING_TIME","時間總計："
"TID_FINISH_BUTTON","完成"
"TID_TROOP_TRAINING_MAX","最大值"
"TID_UNCLOK_FROM_LABORATORY","從實驗室解鎖"
"TID_NOT_ENOUGH_HOUSING_SPACE","您的兵營空間不足！"
"TID_UNLOCK_BUILDING_MULTIPLE","解鎖："
"TID_UNLOCK_BARRACK_TROOP","解鎖<name>"
"TID_REDUCE_TIME_BARRACK_TROOP","減少訓練時間："
"TID_REDUCE_TIME_BARRACK_TROOP2","新的訓練時間：<num2>"
"TID_BUILDING_TEXT_FULL","已滿！"
"TID_BUILDING_TEXT_TRAIN","訓練"
"TID_TRAINING_SLOT_STOPPED","已暫停！"
"TID_BUILDING_TEXT_ALERT","!!!"
"TID_TRAIN_ALL_HOUSINGS_FULL","兵營已滿！"
"TID_TRAIN_ALL_HOUSINGS_FULL_INFO","升級或建造新的兵營以便容納更多部隊，或將更多部隊派上戰場！"
"TID_BUTTON_FIGHT","開始！"
"TID_BATTLE_START_TIME","離戰鬥開始剩下："
"TID_NEXT_MATCH","下一個"
"TID_END_BATTLE_BUTTON","結束戰鬥"
"TID_SURRENDER_BUTTON","放棄"
"TID_TROOP_UPGRADE_TIME","時間總計："
"TID_MAX_TROOP_LEVEL","等級上限"
"TID_LEVEL_NUM","<number>級"
"TID_BUTTON_UPGRADE_TROOPS","研究"
"TID_POPUP_UPGRADE_TROOP_TITLE","請選擇要升級的目標"
"TID_TROOP_ALREADY_AT_MAX_LEVEL","該兵種等級已達上限！"
"TID_TROOP_UPGRADE_ALREADY_ONGOING","升級已經在進行中了。"
"TID_TROOP_UPGRADE_COMPLETED","升級完成：<number>級<item>"
"TID_UNITS_LEFT","還剩<number>"
"TID_PLAYER_ATTACKING_YOU","正在向您進攻的玩家："
"TID_LOOT","您失去的資源："
"TID_OUTCOME","結果："
"TID_YOU_LOST","您的防守失敗了"
"TID_YOU_WIN","您的防守成功了"
"TID_REVENGE","復仇"
"TID_JOINQUESTION","想加入嗎？"
"TID_TAP_TO_EXPAND","點擊以放大畫面"
"TID_BUY_MISSING_RESOURCES_HEADER","您需要更多的<resource>"
"TID_BUY_MISSING_RESOURCES_TEXT","購買缺少的<count><resource>？"
"TID_BUY_MISSING_RESOURCES_HEADER_TWO","您需要更多的資源"
"TID_BUY_MISSING_RESOURCES_TEXT_TWO","購買缺少的<count><resource>和<count2><resource2>？"
"TID_BUY_RESOURCE_PACK_HEADER","購買<resource>？"
"TID_BUY_RESOURCE_PACK_TEXT","是否確定購買<count><resource>？"
"TID_BUY_GUARD_HEADER","要購買村莊守衛嗎？"
"TID_BUY_SHIELD_HEADER","是否購買護盾？"
"TID_BUY_SHIELD_TEXT","是否確定購買<name>？"
"TID_RESOURCE_PACK_LOCKED","庫存空間不足！"
"TID_STAR1","讚！"
"TID_STAR2","太棒了！"
"TID_STAR3","堪稱完美！"
"TID_OVERALL_DAMAGE","摧毀率"
"TID_VILLAGE_GUARD_TITLE","村莊守衛："
"TID_SHIELD_TITLE","護盾："
"TID_SHIELD_NONE","無"
"TID_BATTLE_LOG","戰鬥記錄"
"TID_BATTLE_INBOX","信箱"
"TID_VICTORY","勝利"
"TID_DEFEAT","戰敗"
"TID_WHAT_YOU_GOT","您獲得了："
"TID_TROOPS_USED","損耗部隊數："
"TID_TOTAL_DAMAGE","摧毀率："
"TID_SCORE","獎盃"
"TID_YOU_HAVE_BEEN_ATTACKED","首領，我們的村莊遭到攻擊了！"
"TID_YOU_HAVE_BEEN_ATTACKED_TITLE","敵軍入侵"
"TID_YOU_HAVE_BEEN_ATTACKED_HEADER","首領，村莊在您離開的這段期間遭到攻擊了！"
"TID_TUTORIAL_CANNON_1","歡迎您，首領！我們已經等候您多時了。"
"TID_TUTORIAL_CANNON_2","這是您的新村莊！這裡的生活原本無憂無慮，要不是......"
"TID_TUTORIAL_CANNON_3","喔，不，哥布林來了！快部署加農炮，準備防禦！"
"TID_TUTORIAL_CANNON_4","趕快部署加農炮，我們必須保衛大本營！"
"TID_TUTORIAL_CANNON_5","首領，您可以花費寶石來立即完成建造！"
"TID_TUTORIAL_DEFEND_1","注意！哥布林們，進攻！！"
"TID_TUTORIAL_DEFEND_1b","哇哇！這是什麼？只不過又是一個渺小的人類！"
"TID_TUTORIAL_DEFEND_2","呼，剛才真的好險。首領，謝謝你！"
"TID_TUTORIAL_DEFEND_4","村莊地下埋藏著豐富的聖水。藉助這些聖水的魔力，村莊裡所有的建築被敵人摧毀後都可以奇蹟般地自我修復。"
"TID_TUTORIAL_DEFEND_5","嘩，金幣耶！我們哥布林最愛金幣了！"
"TID_TUTORIAL_DEFEND_BUTTON","放馬過來吧！"
"TID_TUTORIAL_WORKER_1","哇，做得真好！現在我們必須讓村莊進入戰備狀態了。"
"TID_TUTORIAL_WORKER_2","再僱用一個建築工人，這樣您就可以同時建造兩座建築了。"
"TID_TUTORIAL_ELIXIR_1","聖水可以用來建造和升級建築。"
"TID_TUTORIAL_ELIXIR_2","您能從地下獲取聖水。試試看吧！"
"TID_TUTORIAL_ELIXIR_STORAGE_1","聖水收集器只能存放少量的聖水。"
"TID_TUTORIAL_ELIXIR_STORAGE_2","讓我們來修建一個聖水瓶吧，這樣就可以存放更多聖水了！"
"TID_TUTORIAL_GOLD_STORAGE_1","我們還需要一個安全的地方來存放金幣。"
"TID_TUTORIAL_GOLD_STORAGE_2","修建一個儲金罐，這樣可以存放更多金幣！"
"TID_TUTORIAL_BARRACK_1","首領，我們需要一支軍隊來對抗那些哥布林！請建造一座訓練營吧。"
"TID_TUTORIAL_TRAIN_1","現在開始訓練一些部隊吧！"
"TID_TUTORIAL_TRAIN_2","點選訓練營，然後選擇「訓練部隊」開始訓練"
"TID_TUTORIAL_CHANGE_NAME","真是一場精彩的戰鬥！您來為這將名垂千史的村莊取個名字吧！"
"TID_TUTORIAL_TOWN_HALL_1","利用從哥布林那裡搶來的金幣，我們現在有錢升級大本營了。"
"TID_TUTORIAL_TOWN_HALL_2","做得好！大本營升級後，我們可以從商店獲取並修建新的建築了。"
"TID_TUTORIAL_ACHIEVEMENTS","如果您想挑戰更多成就，請點擊此處查看。"
"TID_TUTORIAL_ACHIEVEMENTS2","首領，您看起來相當有把握。我們整座村莊都靠您了！"
"TID_GOBLIN_SPEAKS_1","哼！我跟你沒完沒了啦。"
"TID_GOBLIN_SPEAKS_2","雖然之前敗給了你，但這座哥布林營地可是不好應付喔。"
"TID_TUTORIAL_GOLDSTORAGE","您還需要一個地方來存放所有的寶貴金幣！"
"TID_TUTORIAL_ELIXIRSTORAGE","我們還需要一個地方來儲存聖水。"
"TID_LOCKED_IN_TUTORIAL","完成教學後您才能解鎖該功能！"
"TID_TUTORIAL_ATTACK_NPC_1","來自象牙塔的法師們來幫助我們啦！讓我們一舉摧毀哥布林的營地吧！"
