"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"TID_GEAR_INFO_ETERNAL_TOME","Grand Warden and all nearby friendly units become immune to damage","يصبح الآمر الكبير وكل الوحدات الصديقة القريبة محصنين ضد الضرر.","大守护者和附近所有友军单位免疫伤害","大守護者和附近所有友軍單位免疫傷害","Der Große Wächter und alle verbündeten Truppen in der Nähe werden immun gegen Schaden.","El gran centinela y todas las unidades aliadas cercanas se vuelven inmunes al daño.","نگهبان بزرگ و همه واحدهای خودی مجاور در مقابل آسیب ایمن می‌شوند","Suursuojelija ja kaikki lähistöllä olevat ystävälliset joukot muuttuvat immuuneiksi tuholle.","Rend le Grand gardien et toutes les troupes alliées proches insensibles aux dégâts","Wali Besar dan seluruh rekan Peleton di dekatnya menjadi kebal terhadap kerusakan","Rende il gran sorvegliante e gli alleati nelle sue vicinanze immuni a qualsiasi danno.","グランドウォーデン自身と近くの味方ユニットに対するダメージを無効にします","그랜드 워든과 인근의 아군 유닛들이 무적 상태가 됩니다.","Warden Besar dan semua unit sepasukan berdekatan menjadi imun terhadap kerosakan.","De nobele wachter en alle nabije vriendschappelijke eenheden worden immuun voor schade.","Storvokteren og alle allierte enheter i nærheten blir immune mot skade","O Grande Guardião e todas as unidades aliadas próximas ficam imunes a dano","Хранитель и ближайшие воины становятся неуязвимыми.","ผู้คุมยิ่งใหญ่และหน่วยพันธมิตรใกล้ๆ ทั้งหมดต้านทานต่อความเสียหาย","Büyük Koruyucu ve yakınlarındaki dost birlikler hasar almaz.","Đại Quản giáo và các đơn vị đồng minh ở gần sẽ không chịu sát thương"
"TID_GEAR_INFO_FROZEN_ARROW","Icy arrows slow down the targets they hit","تعمل السهام الجليدية على إبطاء الأهداف التي تصيبها.","冰封箭矢会减缓被命中目标的速度","冰封箭矢會減緩被命中目標的速度","Frostpfeile verlangsamen getroffene Ziele.","Las flechas heladas ralentizan a los objetivos a los que golpean.","تیرهای یخی اهداف مورد اصابتشان را کُند می‌کنند","Jäiset nuolet hidastavat kohteita, joihin ne osuvat.","Les flèches glacées ralentissent les ennemis touchés","Panah Es akan melambatkan gerakan target yang terkena","Scaglia frecce in grado di rallentare i bersagli colpiti.","氷の矢を撃ち出して、命中した目標をスローダウンさせます","명중 시 적을 느리게 만듭니다.","Anak panah berais memperlahankan sasaran yang mengenainya.","IJzige pijlen vertragen de doelwitten die ze raken.","Isete piler sinker målene de treffer","Flechas congelantes desaceleram os alvos quando os atingem","Ледяные стрелы замедляют пораженную цель.","ลูกธนูแช่แข็งทำให้เป้าหมายที่ถูกยิงโดนเคลื่อนที่ได้ช้าลง","Buzlu oklar isabet ettikleri hedefleri yavaşlatır.","Mũi tên băng giá khiến các mục tiêu bị bắn trúng hoạt động chậm lại"
"TID_GEAR_INFO_HEALER_JAR","Summons a flock of Healers","لاستدعاء مجموعة من المعالجات.","召唤一群天使","召喚一群天使","Beschwört eine Gruppe Heiler.","Invoca un grupo de curanderas.","دسته‌ای از شفادهنده‌ها را احضار می‌کند","Kutsuu joukon parantajia.","Invoque un groupe de guérisseuses","Mengerahkan kawanan Penyembuh","Evoca un gruppo di guaritori.","ヒーラーの集団を召喚します","치유사 부대를 소환합니다.","Menyeru sekumpulan Penyembuh.","Roept een groep helers op.","Påkaller en flokk helbredere","Conjura uma leva de Curadoras","Призывает группу целительниц.","อัญเชิญกลุ่มผู้เยียวยาออกมา","Bir grup Şifacı çağırır.","Triệu hồi một nhóm Thầy thuốc"
"TID_GEAR_INFO_HEALING_TOME","Heals the Grand Warden and all nearby friendly units","لشفاء الآمر الكبير وجميع الوحدات الصديقة القريبة.","治疗大守护者和所有附近友军单位","治療大守護者和附近所有的友軍單位","Heilt den Großen Wächter und alle verbündeten Truppen in der Nähe.","Cura al gran centinela y a todas las unidades aliadas cercanas.","نگهبان بزرگ و همه واحدهای خودی مجاور را شفا می‌دهد","Parantaa suursuojelijaa ja kaikkia lähistöllä olevia ystävällisiä joukkoja.","Soigne le Grand gardien et toutes les troupes alliées proches","Menyembuhkan Wali Besar dan seluruh rekan Peleton di sekitar","Ripristina parte della salute del gran sorvegliante e degli alleati nelle sue vicinanze.","グランドウォーデン自身と近くの味方ユニットを回復します","그랜드 워든과 인근의 아군 유닛들을 회복합니다.","Menyembuhkan Warden Besar dan semua unit sepasukan berdekatan.","Geneest de nobele wachter en alle nabije vriendschappelijke eenheden.","Helbreder storvokteren og alle allierte enheter i nærheten","O Grande Guardião e todas as unidades aliadas próximas são curados","Исцеляет хранителя и всех ближайших воинов.","เยียวยาผู้คุมยิ่งใหญ่และหน่วยพันธมิตรใกล้ๆ ทั้งหมด","Büyük Koruyucuyu ve yakınlardaki tüm dost birlikleri iyileştirir.","Hồi máu cho Đại Quản giáo và các đơn vị đồng minh ở gần"
"TID_GEAR_INFO_IRON_FIST","Casts Rage on the Barbarian King","لإلقاء تعويذة الغضب على الملك البربري.","使野蛮人之王获得狂暴效果","使野蠻人之王獲得狂暴效果","Verleiht dem Barbarenkönig einen Wutzauber.","Aplica la furia en el rey bárbaro.","روی شاه بربرها طلسم خشم می‌اندازد","Saa barbaarikuninkaan raivon valtaan.","Lance un sort de rage sur le Roi des barbares","Memberikan efek Amarah pada Raja Barbar","Rende il re barbaro particolarmente furioso.","バーバリアンキングにレイジを付与します","바바리안 킹에게 분노 마법을 적용합니다.","Menyihir kemarahan pada Raja Orang Gasar.","Maakt de barbarenkoning woedend.","Tryller raseri på barbarkongen","Deixa o Rei Bárbaro furioso","Применяет заклинание ярости к королю варваров.","ร่ายอาคมคลุ้มคลั่งให้ราชันคนเถื่อน","Barbar Kral'a öfke büyüsü yapar.","Niệm thần chú Cuồng nộ lên Man di Vương"
"TID_GEAR_INFO_LIFE_GEM","Nearby friendly units gain extra hitpoints","تحصل الوحدات الصديقة القريبة على نقاط إصابة إضافية.","附近友军单位获得额外生命值","附近友軍單位獲得額外生命值","Verbündete Truppen in der Nähe erhalten zusätzliche Trefferpunkte.","Las unidades aliadas cercanas obtienen más puntos de vida.","واحدهای خودی مجاور تحمل ضربه بیشتری کسب می‌کنند","Lähistöllä olevat ystävälliset joukot saavat lisää elämäpisteitä.","Les troupes alliées proches reçoivent des PV supplémentaires","Rekan Peleton terdekat akan mendapat Nyawa ekstra","Aumenta i punti ferita degli alleati vicini all'eroe.","近くの味方ユニットのヒットポイントが上昇します","인근의 아군 유닛들이 추가 HP를 획득합니다.","Unit sepasukan berdekatan mendapat nilai nyawa tambahan.","Nabije vriendschappelijke eenheden krijgen extra levenspunten.","Allierte enheter i nærheten får ekstra treffpoeng","Unidades aliadas próximas ganham pontos de vida extras","Здоровье ближайших воинов увеличивается.","หน่วยพันธมิตรใกล้ๆ ได้รับพลังชีวิตเพิ่มเติม","Yakınlardaki dost birlikler ekstra can kazanır.","Các đơn vị đồng minh ở gần sẽ nhận thêm máu"
"TID_GEAR_INFO_ROYAL_CLOAK","Turns the Queen invisible and gives her stronger attacks","لجعل الملكة تختفي ومنحها هجمات أقوى.","使弓箭女皇隐身并强化其攻击","使弓箭女皇隱形並強化其攻擊","Macht die Königin unsichtbar und verstärkt ihre Attacken.","Hace a la reina invisible y fortalece sus ataques.","ملکه را نامرئی می‌کند و حملات او را قوی‌تر می‌کند","Muuttaa jousikuningattaren näkymättömäksi ja tehostaa hänen hyökkäyksiään.","Rend la Reine invisible et plus puissante","Mengubah Ratu menjadi tak terlihat dan memberinya serangan yang lebih kuat","Rende la regina invisibile e i suoi attacchi ancora più potenti.","クイーンを透明化して攻撃を強化します","퀸을 투명화하고 공격력을 강화합니다.","Membuat Permaisuri halimunan dan memperkuat serangannya.","Maakt de koningin onzichtbaar en geeft haar sterkere aanvallen.","Gjør dronningen usynlig og gir henne sterkere angrep","Deixa a Rainha Arqueira invisível e seus ataques mais fortes","Делает королеву невидимой и усиливает ее атаку.","เปลี่ยนราชินีให้ล่องหนและทำให้เธอแข็งแกร่งขึ้น","Kraliçe'yi görünmez yapar ve saldırılarını güçlendirir.","Nữ hoàng sẽ tàng hình và có lực tấn công mạnh hơn"
"TID_GEAR_INFO_VAMPSTACHE","Every time the Barbarian King attacks, he heals himself","في كل مرة يهاجم فيها الملك البربري، يعالج نفسه.","野蛮人之王每次攻击都会治疗自身","野蠻人之王每次攻擊都會治療自己","Der Barbarenkönig heilt sich mit jedem Angriff.","Cada vez que el rey bárbaro ataca, se cura.","شاه بربرها هر بار که حمله می‌کند، خودش را شفا می‌دهد","Barbaarikuningas parantaa itseään jokaisen hyökkäyksen myötä.","Le Roi des barbares récupère des PV à chaque fois qu'il attaque","Tiap kali Raja Barbar menyerang, dia akan memulihkan diri sendiri","Il re barbaro ripristina parte della sua salute con ogni attacco che sferra.","バーバリアンキングが攻撃するたびに自身を回復します","바바리안 킹이 공격할 때마다 체력을 회복합니다.","Setiap kali Raja Orang Gasar menyerang, dia menyembuhkan dirinya.","Elke keer dat de barbarenkoning aanvalt, herstelt hij zichzelf.","Hver gang barbarkongen angriper, helbreder han seg selv","Toda vez que ataca, o Rei Bárbaro também se cura","Король варваров исцеляет себя с каждой атакой.","ทุกครั้งที่ราชันคนเถื่อนโจมตี เขาจะเยียวยาตัวเองไปด้วย","Barbar Kral her saldırdığında kendini iyileştirir.","Man di Vương tự hồi máu sau mỗi lần ra đòn tấn công"
"TID_GEAR_POPUP_DRAG_INFO","Drag icons to assign Equipment to Heroes","اسحب الأيقونات لتعيين المعدات للأبطال.","拖动图标为英雄配置装备","拖動圖示為英雄穿戴裝備","Ziehe Ausrüstung auf Helden, um sie ihnen zuzuweisen.","Arrastra iconos para asignar equipo a los héroes.","برای تخصیص تجهیزات به قهرمانان، نمادها را بکشید","Raahaa ikoneita valitaksesi varusteet sankareillesi.","Faites glisser pour en équiper les héros","Geser ikon untuk menggunakan Peralatan Pahlawan","Per attivare un equipaggiamento, trascina la sua icona sull'eroe.","アイコンをドラッグするとヒーローに装備できます","아이콘을 드래그해 장비를 영웅에게 장착하세요.","Seret ikon untuk mmberi pelengkapan kepada wira","Sleep de pictogrammen om uitrustingen aan helden te geven.","Dra ikoner for å utruste helter med utstyr","Arraste os ícones para equipar os heróis","Перетяните иконку, чтобы снарядить героя","ลากไอคอนเพื่อเลือกอุปกรณ์ให้กับผู้กล้า","Kahramanları ekipmanla kuşatmak için simgeleri sürükle.","Nhấn kéo biểu tượng để giao Trang bị cho Tướng"
"TID_GEAR_RARITY_EPIC","Epic","ممتاز","史诗","史詩","Episch","Épico","حماسی","Eeppinen","Épique","Epik","Epico","スーパーレア","초희귀","Epik","Episch","Episk","Épico","Эпическое","อีปิค","Destansı","Quý hiếm"
"TID_GEAR_RESOURCE_COMMON","Shiny Ore","معدن خام لامع","闪亮矿石","閃光礦石","Glanzerz","Minerales brillantes","سنگ معدن براق","Kimallemalmia","Minerai brillant","Mineral Berkilau","Minerali lucenti","ブルー鉱石","빛나는 광석","Bijih Berkilau","Glanzend erts","Blank malm","Minério azul","Блестящая руда","แร่วิบวับ","Parlak Cevher","Quặng sáng bóng"
"TID_GEAR_RESOURCE_COMMON_INFO","Shiny Ore helps upgrade Equipment. You can find it in the Star Bonus or Clan Wars.","يساعد المعدن الخام اللامع على ترقية المعدات. يمكنك العثور عليه في مكافأة النجوم أو حروب القبائل.","闪亮矿石可用于升级装备。\n您可以通过胜利之星奖励或部落对战获取。","閃光礦石可用於升級裝備。\n可以透過勝利之星獎勵或參加部落對戰獲取。","Mit Glanzerz kannst du Ausrüstung verbessern. Du bekommst es mit dem Sternebonus oder in Clankriegen.","Los minerales brillantes ayudan a mejorar el equipo. Puedes encontrarlos en el bonus estelar o en las guerras de clanes.","سنگ معدن براق به ارتقای تجهیزات کمک می‌کند. می‌توانید آن را در پاداش ستاره یا جنگ‌های قبیله‏‌ای پیدا کنید.","Kimallemalmia käytetään varusteiden päivittämiseen. Saat sitä tähtipalkinnoista ja klaanisodan palkinnoista.","Les minerais brillants permettent d'améliorer l'équipement. Vous pouvez en obtenir dans les bonus étoiles ou les guerres de clans.","Mineral Berkilau berfungsi untuk meningkatkan Peralatan dan bisa diraih dari Bonus Bintang atau Perang Klan.","I minerali lucenti servono a migliorare l'equipaggiamento degli eroi e li puoi accumulare ottenendo il Bonus stella o partecipando alle guerre tra clan.","装備のアップグレードに使用できます。星ボーナスかクラン対戦で入手可能です。","빛나는 광석은 장비를 업그레이드 하는 데 사용됩니다. 별 보너스나 클랜전에서 획득할 수 있습니다.","Bijih Berkilau membantu menaik taraf pelengkapan. Anda boleh menemuinya dalam bonus bintang atau Perang Klan.","Glanzend erts helpt om uitrustingen te upgraden. Je kunt het vinden in de sterbonus of via clanoorlogen.","Blank malm bidrar til å oppgradere utstyr. Du finner den i stjernebonusen eller klankriger.","O minério azul ajuda a melhorar equipamentos. Pode ser obtido no bônus de estrela e na Guerra de Clãs.","Блестящая руда нужна для улучшения снаряжения. Ее можно найти в звездном бонусе и получить в войнах кланов.","แร่วิบวับช่วยอัปเกรดอุปกรณ์ ท่านสามารถหาแร่ได้ในโบนัสดาวหรือสงครามแคลน","Parlak cevher, ekipmanları yükseltmede kullanılır. Yıldız bonusundan ve klan savaşlarından alınabilir.","Quặng sáng bóng giúp nâng cấp Trang bị. Bạn có thể nhận được chúng từ Thưởng Sao hoặc Hội Chiến."
"TID_GEAR_RESOURCE_EPIC_INFO","Starry Ore helps upgrade Equipment. You can find it in Clan Wars or in special events.","يساعد المعدن الخام النجمي على ترقية المعدات. يمكنك العثور عليه في حروب القبائل أو الأحداث الخاصة.","星辉矿石可用于升级装备。\n您可以通过部落对战或特别活动获取。","星光礦石可用於升級裝備。\n可以透過參加部落對戰或特別活動獲取。","Mit Sternenerz kannst du Ausrüstung verbessern. Du bekommst es in Clankriegen oder besonderen Ereignissen.","Los minerales estelares ayudan a mejorar el equipo. Puedes encontrarlos en las guerras de clanes o en eventos especiales.","سنگ معدن ستاره‌ای به ارتقای تجهیزات کمک می‌کند. می‌توانید آن را در جنگ‌های قبیله‏‌ای یا رویدادهای ویژه پیدا کنید.","Tähtimalmia käytetään varusteiden päivittämiseen. Voit saada sitä palkinnoksi klaanisodista ja erikoistapahtumista.","Les minerais étoilés permettent d'améliorer l'équipement. Vous pouvez en obtenir dans les guerres de clans ou les événements spéciaux.","Mineral Astral berfungsi untuk meningkatkan Peralatan dan bisa diraih dari Bonus Bintang atau Perang Klan.","I minerali stellari servono a migliorare l'equipaggiamento degli eroi e li puoi accumulare partecipando alle guerre tra clan o agli eventi speciali.","装備のアップグレードに使用できます。クラン対戦か特別イベントで入手可能です。","반짝이는 광석은 장비를 업그레이드 하는 데 사용됩니다. 클랜전이나 특별 이벤트에서 획득할 수 있습니다.","Bijih Berbintang membantu menaik taraf pelengkapan. Anda boleh menemuinya dalam bonus bintang atau Perang Klan.","Glinsterend erts helpt om uitrustingen te upgraden. Je kunt het vinden in clanoorlogen of via speciale evenementen.","Stjernemalm bidrar til å oppgradere utstyr. Du finner den i klankriger og spesielle hendelser.","O minério estelar ajuda a melhorar equipamentos. Pode ser obtido na Guerra de Clãs e em eventos especiais.","Звездная руда нужна для улучшения снаряжения. Ее можно получить в войнах кланов и особых событиях.","แร่ประกายดาวช่วยอัปเกรดอุปกรณ์ ท่านสามารถหาแร่ได้ในสงครามแคลนหรืออีเวนท์พิเศษ","Yıldız cevher,, ekipmanları yükseltilmede kullanılır. Klan savaşlarından ve özel etkinliklerden alınabilir.","Quặng ngôi sao giúp nâng cấp Trang bị. Bạn có thể nhận được chúng từ Hội Chiến hoặc các sự kiện đặc biệt."
"TID_GEAR_RESOURCE_RARE","Glowy Ore","معدن خام متوهج","璀璨矿石","輝光礦石","Glimmerz","Minerales radiantes","سنگ معدن درخشان","Hohtomalmia","Minerai luisant","Mineral Gemilang","Minerali raffinati","パープル鉱石","은은한 광석","Bijih Bercahaya","Glimmend erts","Skinnende malm","Minério brilhante","Сияющая руда","แร่เรืองรอง","Işıltılı Cevher","Quặng lấp lánh"
