"Name","Tier","TID","TIDShort","IconSWF","IconExportName","SmallIconExportName","MapTopExportName","MapMidExportName","MapBottomExportName","MapEnvDecoLayerExportName","MapDecoLayerExportName","MapWarDecoLayerExportName","PromoteEnabled","DemoteEnabled","WarWinBonusStars","WinMedalReward","StarMedalReward","BonusMedalReward","MinNumMedalBonuses","NumPromotions","NumDemotions","PromoteDemoteDesignBracketSize","SeedA","SeedB"
"Gold1",1,"TID_LEAGUE_GOLD1","TID_LEAGUE_GOLD1_SHORT","sc/ui.sc","WL_Gold_Badge","WL_Gold_Badge_small","map_wl_top_t3","map_wl_mid_t3","map_wl_bottom_t3_nt","map_wl_env_t3_01","map_wl_deco_01","map_wl_wardeco_01",TRUE,TRUE,10,15,6,60,2,2,2,8,10000,10000
"Crystal3",3,"TID_LEAGUE_CRYSTAL3","TID_LEAGUE_CRYSTAL3_SHORT","sc/ui.sc","WL_Crystal_Badge","WL_Crystal_Badge_small","map_wl_top_t3_nt","map_wl_mid_t4","map_wl_bottom_t4","map_wl_env_t4_01","map_wl_deco_01","map_wl_wardeco_01",TRUE,TRUE,10,18,8,65,2,2,2,8,12000,12000
"Crystal2",2,"TID_LEAGUE_CRYSTAL2","TID_LEAGUE_CRYSTAL2_SHORT","sc/ui.sc","WL_Crystal_Badge","WL_Crystal_Badge_small","map_wl_top_t3_nt","map_wl_mid_t4","map_wl_bottom_t4_nt","map_wl_env_t4_01","map_wl_deco_01","map_wl_wardeco_01",TRUE,TRUE,10,19,8,70,2,2,2,8,14500,15000
"Crystal1",1,"TID_LEAGUE_CRYSTAL1","TID_LEAGUE_CRYSTAL1_SHORT","sc/ui.sc","WL_Crystal_Badge","WL_Crystal_Badge_small","map_wl_top_t4","map_wl_mid_t4","map_wl_bottom_t4_nt","map_wl_env_t4_01","map_wl_deco_01","map_wl_wardeco_01",TRUE,TRUE,10,20,8,75,2,2,2,8,17000,18000
"Master3",3,"TID_LEAGUE_MASTER3","TID_LEAGUE_MASTER3_SHORT","sc/ui.sc","WL_Master_Badge","WL_Master_Badge_small","map_wl_top_t4_nt","map_wl_mid_t5","map_wl_bottom_t5","map_wl_env_t5_01","map_wl_deco_01","map_wl_wardeco_01",TRUE,TRUE,10,23,10,80,3,2,2,8,20000,22000
"Master2",2,"TID_LEAGUE_MASTER2","TID_LEAGUE_MASTER2_SHORT","sc/ui.sc","WL_Master_Badge","WL_Master_Badge_small","map_wl_top_t4_nt","map_wl_mid_t5","map_wl_bottom_t5_nt","map_wl_env_t5_01","map_wl_deco_01","map_wl_wardeco_01",TRUE,TRUE,10,24,10,85,3,2,2,8,22500,26500
"Master1",1,"TID_LEAGUE_MASTER1","TID_LEAGUE_MASTER1_SHORT","sc/ui.sc","WL_Master_Badge","WL_Master_Badge_small","map_wl_top_t5","map_wl_mid_t5","map_wl_bottom_t5_nt","map_wl_env_t5_01","map_wl_deco_01","map_wl_wardeco_01",TRUE,TRUE,10,25,10,90,3,2,2,8,25000,29500
"Champion3",3,"TID_LEAGUE_CHAMPION3","TID_LEAGUE_CHAMPION3_SHORT","sc/ui.sc","WL_Champion_Badge","WL_Champion_Badge_small","map_wl_top_t5_nt","map_wl_mid_t6","map_wl_bottom_t6","map_wl_env_t6_01","map_wl_deco_01","map_wl_wardeco_01",TRUE,TRUE,10,27,12,95,4,2,2,8,25000,29500
"Champion2",2,"TID_LEAGUE_CHAMPION2","TID_LEAGUE_CHAMPION2_SHORT","sc/ui.sc","WL_Champion_Badge","WL_Champion_Badge_small","map_wl_top_t5_nt","map_wl_mid_t6","map_wl_bottom_t6_nt","map_wl_env_t6_01","map_wl_deco_01","map_wl_wardeco_01",TRUE,TRUE,10,29,12,100,4,2,2,8,25000,29500
"Champion1",1,"TID_LEAGUE_CHAMPION1","TID_LEAGUE_CHAMPION1_SHORT","sc/ui.sc","WL_Champion_Badge","WL_Champion_Badge_small","map_wl_top_end","map_wl_mid_t6","map_wl_bottom_t6_nt","map_wl_env_t6_01","map_wl_deco_01","map_wl_wardeco_01",FALSE,TRUE,10,30,12,105,4,0,2,8,25000,29500
