"Name","MapInstanceName","MapDependencies","TID","ExpLevel","UnitType","UnitCount","LevelFile","Gold","Elixir","DarkElixir","AlwaysUnlocked","PlayerName","AllianceName","AllianceBadge","SinglePlayer","AllianceUnitType","AllianceUnitLevel","AllianceUnitCount"
"NPC36","npc38","NPC35","TID_NPC36",15,,,"level/npc36.json",2000,270000,,,,,,"TRUE",,,
"NPC37","npc39","NPC36","TID_NPC37",15,,,"level/npc37.json",140000,140000,,,,,,"TRUE",,,
"NPC38","npc40","NPC37","TID_NPC38",15,,,"level/npc38.json",150000,150000,,,,,,"TRUE",,,
"NPC39","npc41","NPC38","TID_NPC39",15,,,"level/npc39.json",150000,150000,,,,,,"TRUE",,,
"NPC40","npc42","NPC39","TID_NPC40",15,,,"level/npc40.json",150000,150000,,,,,,"TRUE",,,
"NPC41","npc43","NPC40","TID_NPC41",16,,,"level/npc41.json",200000,200000,,,,,,"TRUE",,,
"NPC42","npc44","NPC41","TID_NPC42",16,,,"level/npc42.json",250000,250000,,,,,,"TRUE",,,
"NPC43","npc45","NPC42","TID_NPC43",16,,,"level/npc43.json",300000,300000,,,,,,"TRUE",,,
"NPC44","npc46","NPC43","TID_NPC44",17,,,"level/npc44.json",400000,400000,,,,,,"TRUE",,,
,,"NPC39",,,,,,,,,,,,,"TRUE",,,
"NPC45","npc47","NPC44","TID_NPC45",17,,,"level/npc45.json",500000,500000,,,,,,"TRUE",,,
"NPC46","npc48","NPC45","TID_NPC46",17,,,"level/npc46.json",600000,600000,,,,,,"TRUE",,,
"NPC47","npc49","NPC46","TID_NPC47",17,,,"level/npc47.json",700000,700000,,,,,,"TRUE",,,
"NPC48","npc50","NPC47","TID_NPC48",17,,,"level/npc48.json",800000,800000,,,,,,"TRUE",,,
"DuelNPC",,,,34,,,"level/v2_tutorial.json",100,100,,"true","Master Jimmy","The Order",1526736218,"FALSE",,,
"NPC51","npc51","NPC48","TID_NPC51",17,,,"level/npc49.json",300000,300000,2000,,,,,"TRUE",,,
"NPC52","npc52","NPC51","TID_NPC52",17,,,"level/npc50.json",350000,350000,2500,,,,,"TRUE",,,
"NPC53","npc53","NPC52","TID_NPC53",17,,,"level/npc51.json",350000,350000,3000,,,,,"TRUE",,,
"NPC54","npc54","NPC53","TID_NPC54",17,,,"level/npc52.json",400000,400000,3500,,,,,"TRUE",,,
"NPC55","npc55","NPC54","TID_NPC55",17,,,"level/npc53.json",400000,400000,4000,,,,,"TRUE",,,
"NPC56","npc56","NPC55","TID_NPC56",18,,,"level/npc54.json",450000,450000,4000,,,,,"TRUE",,,
"NPC57","npc57","NPC56","TID_NPC57",18,,,"level/npc55.json",450000,450000,4500,,,,,"TRUE","Dragon",7,1
,,,,,,,,,,,,,,,,"Balloon",8,3
"NPC58","npc58","NPC57","TID_NPC58",18,,,"level/npc56.json",500000,500000,4500,,,,,"TRUE",,,
"NPC59","npc59","NPC58","TID_NPC59",18,,,"level/npc57.json",500000,500000,5000,,,,,"TRUE",,,
"NPC60","npc60","NPC59","TID_NPC60",18,,,"level/npc58.json",550000,550000,5000,,,,,"TRUE",,,
"NPC61","npc61","NPC59","TID_NPC61",18,,,"level/npc59.json",550000,550000,5500,,,,,"TRUE",,,
"NPC62","npc62","NPC60","TID_NPC62",18,,,"level/npc60.json",600000,600000,5500,,,,,"TRUE",,,
"NPC63","npc63","NPC61","TID_NPC63",18,,,"level/npc61.json",600000,600000,6000,,,,,"TRUE",,,
"NPC64","npc64","NPC63","TID_NPC64",18,,,"level/npc62.json",650000,650000,6000,,,,,"TRUE",,,
"NPC65","npc65","NPC64","TID_NPC65",18,,,"level/npc63.json",650000,650000,6500,,,,,"TRUE",,,
"NPC66","npc66","NPC65","TID_NPC66",19,,,"level/npc64.json",700000,700000,6500,,,,,"TRUE",,,
"NPC67","npc67","NPC66","TID_NPC67",19,,,"level/npc65.json",700000,700000,7000,,,,,"TRUE",,,
"NPC68","npc68","NPC67","TID_NPC68",19,,,"level/npc66.json",750000,750000,7000,,,,,"TRUE","Goblin",7,40
"NPC69","npc69","NPC68","TID_NPC69",19,,,"level/npc67.json",750000,750000,7500,,,,,"TRUE",,,
"NPC70","npc70","NPC68","TID_NPC70",19,,,"level/npc68.json",800000,800000,7500,,,,,"TRUE","Electro Dragon",3,1
,,,,,,,,,,,,,,,,"Golem",8,1
,,,,,,,,,,,,,,,,"Dragon",7,1
,,,,,,,,,,,,,,,,"PEKKA",8,1
,,,,,,,,,,,,,,,,"Warrior Girl",7,1
,,,,,,,,,,,,,,,,"Warlock",4,1
,,,,,,,,,,,,,,,,"Bowler",4,1
,,,,,,,,,,,,,,,,"BabyDragon",6,1
"NPC71","npc71","NPC70","TID_NPC71",19,,,"level/npc69.json",800000,800000,8000,,,,,"TRUE",,,
"NPC72","npc72","NPC71","TID_NPC72",19,,,"level/npc70.json",850000,850000,8000,,,,,"TRUE",,,
"NPC73","npc73","NPC72","TID_NPC73",19,,,"level/npc71.json",1000000,1000000,10000,,,,,"TRUE","Dragon",5,3
"NPC74","npc74","NPC73","TID_NPC74",19,,,"level/npc72.json",1250000,1250000,12500,,,,,"TRUE","Electro Dragon",3,3
"NPC75","npc75","NPC74","TID_NPC75",19,,,"level/npc73.json",2500000,2500000,25000,,,,,"TRUE","GoblinDragon",1,1
