"TID","FA"
"TID_ATTACK_FAIL_NO_MATCHES","نمی‌توانید دهکده‌ای برای حمله پیدا کنید!"
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","نمی‌توان حمله کرد! دهکده در حال حاضر تحت حمله است."
"TID_ATTACK_FAIL_TARGET_ONLINE","نمی‌توانید حمله کنید! صاحب دهکده آنلاین است."
"TID_ATTACK_FAIL_SAME_ALLIANCE","نمی‌توانید به اعضای قبیله خودتان حمله کنید!"
"TID_ATTACK_FAIL_SHIELD","نمی‌توانید حمله کنید! دهکده دارای سپر فعال است"
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","نمی‌توان حمله کرد! تفاوت سطح بیش از <level> است"
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","نمی‌توان به این دهکده حمله کرد، زیرا تالار شهر آن زیر سطح <number> است."
"TID_DEFAULT_VILLAGE_NAME","دهکده <name>"
"TID_BATTLE_LOG_TITLE","به شما حمله شده است!"
"TID_BATTLE_LOG_ITEM","<name> به شما <time> پیش حمله کرد."
"TID_NO_TROOPS","ابتدا باید تعدادی نیرو آموزش دهید."
"TID_NO_SPELLS","ابتدا باید مقداری طلسم بسازید."
"TID_ERROR_POP_UP_BANNED_TITLE","شما تحریم شده‌اید!"
"TID_ERROR_POP_UP_BANNED","شما به طور موقت تحریم شده‌اید"
"TID_ERROR_POP_UP_BANNED_BUTTON","تایید"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","خطای اتصال"
"TID_ERROR_POP_UP_CONNECTION_FAILED","نمی‌توان به سرور متصل شد. اتصال اینترنتتان را بررسی و دوباره امتحان کنید."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","دوباره امتحان کنید"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","اتصال قطع شد"
"TID_ERROR_POP_UP_CONNECTION_LOST","اتصال شما به سرور قطع شده است. اتصال اینترنتتان را بررسی و دوباره امتحان کنید."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","دوباره امتحان کنید"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","آیا کسی آنجاست؟"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","اتصال شما به دلیل غیرفعال بودن قطع شده است."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","بارگذاری مجدد بازی"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","خطای ورود به سیستم"
"TID_ERROR_POP_UP_LOGIN_FAILED","لطفاً بعداً دوباره امتحان کنید."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","دوباره امتحان کنید"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","به‌روزرسانی در دسترس!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","خبرهای خوبی داریم! نسخه جدید بازی در دسترس است."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","به‌روزرسانی"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","خطا!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","سیستم شما و سرور همگام نیستند!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","بارگذاری مجدد بازی"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","فرصت تعمیر و نگهداری"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","متأسفیم، سرورها در دست تعمیر هستند. لطفاً بعداً دوباره امتحان کنید."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","دوباره امتحان کنید"
"TID_BUILDING_ALLIANCE_CASTLE","قلعه قبیله"
"TID_BUILDING_ALLIANCE_MARKER","پرچم قبیله"
"TID_COMM_MAST","برج رادیویی"
"TID_TRAP_MINE","بمب"
"TID_TRAP_EJECTOR","تله فنری"
"TID_SHOP_GUARD_2H","گارد دو ساعته"
"TID_SHOP_SHIELD_1D","سپر یک روزه"
"TID_SHOP_SHIELD_2D","سپر دو روزه"
"TID_SHOP_SHIELD_7D","سپر یک هفته‌ای"
"TID_ALLIANCE_MAIN_BUTTON","قبیله"
"TID_ALLIANCE_LIST_HEADER","قبیله"
"TID_CREATE_ALLIANCE_BUTTON","ایجاد"
"TID_LEAVE_ALLIANCE_BUTTON","ترک کردن"
"TID_JOIN_ALLIANCE_TAB","پیوستن به قبیله"
"TID_CREATE_ALLIANCE_TAB","ایجاد قبیله"
"TID_MY_ALLIANCE_TAB","قبیله من"
"TID_ALLIANCE_BUTTON_EDIT","ویرایش"
"TID_ALLIANCE_CREATE_NAME","نام قبیله:"
"TID_ALLIANCE_CREATE_DESCRIPTION","شرح:"
"TID_ALLIANCE_CREATE_BADGE","نشان:"
"TID_ALLIANCE_CREATE_TYPE","نوع قبیله:"
"TID_ALLIANCE_BADGE_BROWSE","مرور"
"TID_ALLIANCE_TYPE_OPEN","هر کسی می‌تواند بپیوندد"
"TID_ALLIANCE_TYPE_INVITE_ONLY","فقط از طریق دعوت"
"TID_ALLIANCE_TYPE_CLOSED","بسته"
"TID_TOO_SHORT_ALLIANCE_NAME","نام قبیله زیادی کوتاه است!"
"TID_BACK_BUTTON","بازگشت"
"TID_ALLIANCE_SELECT_BADGE","ویرایش نشان قبیله"
"TID_ALLIANCE_JOIN_BUTTON","پیوستن"
"TID_ALLIANCE_JOIN_OK","شما اکنون عضو قبیله <name> هستید!"
"TID_ALLIANCE_CREATE_OK","شما با موفقیت یک قبیله جدید پیدا کردید!"
"TID_ALLIANCE_BUTTON_LEAVE","ترک کردن"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","قبیله را ترک می‌کنید؟"
"TID_ALLIANCE_LEAVE_CONFIRMATION","آیا واقعاً می‌خواهید ترک کنید؟"
"TID_ALLIANCE_ROLE_ADMIN","پیش‌کسوت"
"TID_ALLIANCE_ROLE_LEADER","رهبر"
"TID_ALLIANCE_ROLE_MEMBER","عضو"
"TID_ALLIANCE_PROMOTE_BUTTON","ارتقای رتبه به <role>"
"TID_ALLIANCE_DEMOTE_BUTTON","تنزل رتبه به <role>"
"TID_ALLIANCE_ACCEPTED_BY","پذیرفته شده توسط <name>"
"TID_ALLIANCE_REJECTED_BY","رد شده توسط <name>"
"TID_ALLIANCE_REQUEST_SENT","درخواست ارسال شد!"
"TID_ALLIANCE_INVITATION_OK","دعوت با موفقیت ارسال شد."
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","نمی‌توان دعوت کرد، بازیکن قلعه قبیله ندارد!"
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","بازیکن قبلاً به قبیله ای پیوسته است!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","شما قبلاً این بازیکن را دعوت کرده‌اید!"
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","دوست دارم به قبیله شما بپیوندم"
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","درخواست پیوستن را می‌پذیرید؟"
"TID_KICK_OUT_FROM_ALLIANCE","بیرون انداختن"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","کناره می‌گیرد؟"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","<name> رهبر جدید گروه شود؟"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","ارتقا داده شود؟"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","<name> به پیش‌کسوت ارتقا پیدا کرد؟"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","تنزل رتبه؟"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","آیا رتبه <name> به عضو قبیله تنزل یابد؟"
"TID_KICK_MEMBER_CONFIRMATION_TITLE","اخراج!"
"TID_KICK_MEMBER_CONFIRMATION","<name> را از قبیله بیرون می‌اندازید؟"
"TID_VISIT_BUTTON","بازدید"
"TID_VIEW_PROFILE_BUTTON","مشخصات"
"TID_INVITE_BUTTON","دعوت"
"TID_VIEW_ALLIANCE","مشاهده قبیله"
"TID_SETTINGS_LANGUAGE","زبان"
"TID_SAVE_ALLIANCE_SETTINGS","ذخیره"
"TID_STREAM_DONATE_TEXT","به نیروی کمکی نیاز دارد"
"TID_STREAM_DONATE_BUTTON","اهدا"
"TID_ALLIANCE_DONATE_HEADER","اهدای نیروی کمکی"
"TID_BUTTON_REQUEST_TROOPS","درخواست"
"TID_TROOP_REQUEST_SENT","درخواست ارسال شد!"
"TID_ALLIANCE_STREAM_THANKS","بابت نیروهای کمکی ممنونم!"
"TID_ALLIANCE_TROOP_RECEIVED","شما سطح <level> <troop> را از <avatar> دریافت کردید!"
"TID_BARBARIAN","بربر"
"TID_ARCHER","کماندار"
"TID_GIANT","غول"
"TID_DRAGON","اژدها"
"TID_PEKKA","P.E.K.K.A"
"TID_GOBLIN","جن"
"TID_WALL_BREAKER","دیوارشکن"
"TID_GOBLIN_BALLOON","بالون"
"TID_HEALER","شفادهنده"
"TID_WIZARD","جادوگر"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","قلعه قبیله قبلاً پر شده است!"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","شما باید قبل از درخواست نیروهای کمکی بیشتر، منتظر بمانید."
"TID_ALLIANCE_STREAM_REWARD","شما <number>xp دریافت کردید"
"TID_HOUSING_TROOPS_INSIDE","همه نیروها:"
"TID_UNIT_STORAGE_CAPACITY","گنجایش نیرو: <number>"
"TID_REGENERATION_TIME","زمان بازسازی: <number> دقیقه"
"TID_HITPOINTS","تحمل ضربه: <number>"
"TID_DPS","آسیب در هر ثانیه: <number>"
"TID_BURST_SIZE","آتش مداوم: <number> شلیک"
"TID_HEAL","شفا: <number>"
"TID_TRAIN_COST","هزینه آموزش: <number> <resource>"
"TID_RESOURCE_STORAGE_CAPACITY","گنجایش مخزن: <number>"
"TID_PRODUCTION_RATE","میزان تولید: <number> در هر ساعت"
"TID_PRODUCTION_CAPACITY","گنجایش: <number>"
"TID_TRAINING_TIME","زمان آموزش: <number>"
"TID_TRAINING_TIME_REDUCTION","کاهش زمان آموزش: <number>"
"TID_HOUSING_INFO","نیروهای شما در اردوگاه‌های نظامی مستقر هستند. اردوگاه‌های بیشتری بسازید و برای داشتن یک ارتش قدرتمند، آنها را ارتقا دهید."
"TID_TOWN_HALL_INFO","این قلب دهکده است. ارتقای تالار شهر باعث بازگشایی قفل پدافند، سازه‌ها‌، تله‌ها، و بسیاری از موارد دیگر می‌شود.\nنابود کردن تالار شهر حریف باعث برنده شدن در نبرد و گرفتن یک ستاره می‌شود. نابود کردن 50% از سازه‌های دشمن به شما یک ستاره دیگر می‌دهد، در حالی که تخریب 100% ، سه ستاره را به شما اعطا می‌کند.\nآگاه باشید که دشمنان نیز سعی خواهند کرد تالار شهرتان را نابود کنند!\nبرای حداکثر محافظت، تالار شهرتان را در مرکز دهکده قرار دهید و با دیوارها، تله‌ها، و سازه‌های دفاعی از آن محافظت کنید. دشمنان شما موذی هستند و می‌توانند از هر جناحی حمله کنند!"
"TID_ELIXIR_PUMP_INFO","اکسیر از خطوط لی، که از زیر دهکده شما عبور می‌کنند، پمپاژ می‌شود. برای به حداکثر رساندن تولید اکسیر، دستگاه‌های تقطیر اکسیر را ارتقا دهید."
"TID_ELIXIR_STORAGE_INFO","این مخزن‌ها شامل اکسیر پمپاژ شده از زیر زمین هستند. برای افزایش حداکثر میزان اکسیری که می‌توانید ذخیره کنید، آنها را ارتقا دهید."
"TID_GOLD_MINE_INFO","معدن طلا، طلا تولید می‌کند. برای تسریع تولید و گنجایش مخزن طلا، آن را ارتقا دهید."
"TID_GOLD_STORAGE_INFO","تمام طلای ارزشمند شما در اینجا انبار شده است. اجازه ندهید که جن‌های آب زیر کاه نزدیک آن شوند! برای افزایش گنجایش و پایداری انبار در برابر حملات، آن را ارتقا دهید."
"TID_BARRACK_INFO","پادگان‌ها به شما امکان آموزش نیروها برای حمله به دشمنانتان را می‌دهند. برای بازگشایی قفل واحدهای پیشرفته که بتوانند نبردهای حماسی را ببرند، پادگان‌ها را ارتقا دهید."
"TID_BASIC_TURRET_INFO","توپ‌ها برای دفاع نقطه‌ای عالی هستند. برای افزایش قدرت آتش توپ‌ها، آنها را ارتقا دهید، اما مراقب باشید که برج‌های دفاعی شما در حین ارتقا نمی‌توانند شلیک کنند!"
"TID_ARCHER_TOWER_INFO","برج‌های کماندار نسبت به توپ‌ها برد بیشتری دارند و بر خلاف توپ‌ها می‌توانند به دشمنان پرنده هم حمله کنند."
"TID_WIZARD_TOWER_INFO","حداگثر دفاع محرمانه! جادوگرهای برج، طلسم‌های قدرتمندی را روی ناحیه برای هدف‌های زمینی و پرنده پرتاب می‌کنند."
"TID_TESLA_TOWER_INFO","با تسلای مخفی یک تله مرگبار بگذارید! جادوگرهایمان یک ابر طوفانی را در هر یک از این برج‌های موذی کار گذاشته‌اند. زمانی که یک دشمن در حین راه رفتن یا پرواز به اندازه کافی نزدیک شود، برج طغیان می کند و با قدرت برق آن را می‌سوزاند!"
"TID_AIR_DEFENSE_INFO","این برج ضدهوایی برای دشمنان پرنده مرگبار است، اما نمی‌تواند دشمنان روی زمین را هدف قرار دهد. برای حداکثر پوشش دهی ممکن فضای هوایی، آن را هوشمندانه جاگذاری کنید."
"TID_MORTAR_INFO","خمپاره‌انداز می‌تواند گروهی از دشمنان را با آسیب انفجاری ناشی از خمپاره خود به هلاکت برساند. اجازه ندهید دشمنان به آن خیلی نزدیک شوند!"
"TID_ALLIANCE_CASTLE_INFO","قلعه قبیله محل نگهداری خزانه و همه نیروهای کمکی یا طلسم‌های ارسال شده توسط سایر هم‌قبیله‌ای‌ها است."
"TID_WORKER_INFO","هیچ کاری بدون سازندگان انجام نمی‌شود! شما می‌توانید سازندگان بیشتری را برای شروع چندین پروژه ساخت‌وساز یا برای سرعت بخشیدن به کار آنها با استفاده از جواهرهای سبز به کار بگیرید."
"TID_LABORATORY_INFO","کیمیاگران چه اسرار تاریکی را در آزمایشگاهشان مخفی می‌کنند؟ هیچ‌کسی اجازه نگاه کردن ندارد. تمام آن چیزی که می‌دانیم این است که تحقیق طلسم‌ها و نیروهای ما را سخت‌تر، سریع‌تر و قوی‌تر می‌کند!"
"TID_STREAM_SENDER_YOU","شما"
"TID_SHIELD_ACTIVATED","سپر حریف <hours> ساعت فعال شد"
"TID_STREAM_ENTRY_AGE","قبل <time>"
"TID_UPGRADE_WINDOW_NOTE","توجه:"
"TID_OBSTACLE_CLEAR_TIME","زمان حذف"
"TID_UPGRADE_TIME","زمان ارتقا"
"TID_BUILD_TIME","زمان ساخت"
"TID_GEAR_UP_TIME","زمان ترفیع"
"TID_UNLOCK_BUILDINGS","ساختمان‌ها را بازگشایی می‌کند:"
"TID_REQUIRED_EXP_LEVEL","سطح تجربه <number> ضروری است"
"TID_REQUIRED_TOWN_HALL_LEVEL","سطح <number> تالار شهر ضروری است"
"TID_REQUIRED_BUILDERS_HALL_LEVEL","سطح <number> تالار سازنده لازم است"
"TID_REQUIRED_CASTLE_LEVEL","سطح <number> قلعه ضروری است"
"TID_REQUIRED_BARRACK_LEVEL","سطح <number> پادگان ضروری است"
"TID_REQUIRED_DARK_BARRACK_LEVEL","سطح <number> سربازخانه‌های سیاه ضروری است"
"TID_REQUIRED_LABORATORY_LEVEL","سطح <number> آزمایشگاه ضروری است"
"TID_INFO_PREFERRED_TARGET","هدف دلخواه:"
"TID_PREFERRED_TARGET_ANY","هر کدام"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","(آسیب x<number>)"
"TID_INFO_TARGET_TYPE","هدف‌ها:"
"TID_INFO_DAMAGE_TYPE","نوع آسیب:"
"TID_INFO_HEAL_TYPE","نوع شفا:"
"TID_INFO_HOUSING","فضای مورد نیاز:"
"TID_INFO_TRAINING_TIME","زمان آموزش:"
"TID_INFO_RANGE","محدوده:"
"TID_INFO_TARGET_TYPE_GROUND","زمینی"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","زمینی و هوایی"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","زمینی یا هوایی"
"TID_INFO_TARGET_TYPE_AIR","هوایی"
"TID_INFO_DAMAGE_TYPE_AOE","انفجار منطقه"
"TID_INFO_DAMAGE_TYPE_SINGLE","یک هدف"
"TID_INFO_RANGE_VALUE","<number> کاشی"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","<item> به سطح <level> ارتقا یافت"
"TID_LOCAL_NOTIFICATION_BUILDING_READY","ساخت <item> تمام شد"
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","پاداش ستاره در دسترس است! زمان مبارزه است!"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","رئیس، سپر ما تمام شده است!"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","اوه، آیا فراموش کرده‌اید به ارتش خود آموزش دهید؟"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","اوه، آیا فراموش کرده‌اید طلسم‌های خود را بسازید؟"
"TID_NEW","جدید"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","ساخت متوقف شود؟"
"TID_POPUP_CANCEL_CONSTRUCTION","آیا واقعاً می‌خواهید حذف <item> را متوقف کنید؟ تنها <number>% از هزینه بازپرداخت خواهد شد."
"TID_POPUP_CANCEL_UPGRADE_TITLE","ارتقا متوقف شود؟"
"TID_POPUP_CANCEL_UPGRADE","آیا واقعاً می‌خواهید ارتقای <item> را متوقف کنید؟ تنها <number>% از هزینه بازپرداخت خواهد شد."
"TID_POPUP_CANCEL_CLEAR_TITLE","حذف متوقف شود؟"
"TID_POPUP_CANCEL_CLEAR","آیا واقعاً می‌خواهید حذف <item> را متوقف کنید؟"
"TID_ALLIANCE_LEADERBOARDS","قبیله‌های برتر"
"TID_PLAYER_LEADERBOARDS","بازیکنان برتر"
"TID_AVAILABLE_LOOT","غنیمت موجود:"
"TID_INFO","i"
"TID_ATTACK_BUTTON","حمله"
"TID_ALLIANCE_SNEAK_PREVIEW","قفل قبیله‌ها را با بازسازی قلعه قبیله باز کنید!\n\nهم‌قبیله‌ای‌ها به یکدیگر کمک می‌کنند و نیروی کمکی و طلسم ارسال می کنند."
"TID_BUILD_TIME_INSTANT","هیچکدام"
"TID_BUILDING_CAP_REACHED","شما قبلاً حداکثر تعداد این سازه ها را ساخته‌اید."
"TID_DIAMONDS_FOUND","شما <number>جواهر در <name> پیدا کردید!"
"TID_DIAMOND_FOUND","شما یک جواهر در <name> پیدا کردید!"
"TID_SHOP_CATEGORY_DECOS","تزئینات"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","منابع"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","سازه های نظامی"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","ساختمان‌های دفاعی"
"TID_SHOP_CATEGORY_TREASURE","خزانه"
"TID_SHOP_CATEGORY_SHIELD","سپر"
"TID_SHOP_CATEGORY_BUILDERS","سازندگان"
"TID_TRAINING_WARRIORS","جنگجوها:"
"TID_TRAINING_SLOTS","موارد آموزشی:"
"TID_TOTAL_TRAINING_TIME","زمان کل:"
"TID_FINISH_BUTTON","تمام"
"TID_TROOP_TRAINING_MAX","حداکثر"
"TID_UNCLOK_FROM_LABORATORY","بازگشایی قفل آزمایشگاه"
"TID_NOT_ENOUGH_HOUSING_SPACE","شما در اردوگاه‌های نظامی‌تان فضای کافی ندارید!"
"TID_UNLOCK_BUILDING_MULTIPLE","قفل‌گشایی می‌کند:"
"TID_UNLOCK_BARRACK_TROOP","بازگشایی قفل <name>"
"TID_REDUCE_TIME_BARRACK_TROOP","زمان آموزش را به صورت زیر کاهش می‌دهد:"
"TID_REDUCE_TIME_BARRACK_TROOP2","زمان آموزش جدید: <num2>"
"TID_BUILDING_TEXT_FULL","پر است!"
"TID_BUILDING_TEXT_TRAIN","آموزش"
"TID_TRAINING_SLOT_STOPPED","متوقف شده!"
"TID_BUILDING_TEXT_ALERT","!!!"
"TID_TRAIN_ALL_HOUSINGS_FULL","همه اردوگاه‌ها پر است!"
"TID_TRAIN_ALL_HOUSINGS_FULL_INFO","برای اسکان نیروهای بیشتر یا اعزام آنها به جنگ، اردوگاه‌های نظامی جدید بسازید یا اردوگاه‌های موجود را ارتقا دهید!"
"TID_BUTTON_FIGHT","شروع!"
"TID_BATTLE_START_TIME","نبرد شروع می‌شود در:"
"TID_NEXT_MATCH","بعدی"
"TID_END_BATTLE_BUTTON","اتمام نبرد"
"TID_SURRENDER_BUTTON","تسلیم"
"TID_TROOP_UPGRADE_TIME","زمان کل:"
"TID_MAX_TROOP_LEVEL","حداکثر سطح"
"TID_LEVEL_NUM","سطح <number>"
"TID_BUTTON_UPGRADE_TROOPS","پژوهش"
"TID_POPUP_UPGRADE_TROOP_TITLE","انتخاب کنید چه چیزی ارتقا داده شود"
"TID_TROOP_ALREADY_AT_MAX_LEVEL","واحد در حداکثر سطح قرار دارد!"
"TID_TROOP_UPGRADE_ALREADY_ONGOING","ارتقا در حال انجام است."
"TID_TROOP_UPGRADE_COMPLETED","ارتقا تمام شد: <item> سطح <number>"
"TID_UNITS_LEFT","<number> باقی ماند"
"TID_PLAYER_ATTACKING_YOU","بازیکنانی که به شما حمله کردند:"
"TID_LOOT","منابع از دست رفته شما:"
"TID_OUTCOME","نتیجه:"
"TID_YOU_LOST","دفاع شما شکست خورد"
"TID_YOU_WIN","دفاع شما پیروز شد"
"TID_REVENGE","انتقام"
"TID_JOINQUESTION","می‌خواهید بپیوندید؟"
