"TID","JP"
"TID_SHOP_TITLE","ショップ"
"TID_ITEM_BROKEN","<item> （破壊）"
"TID_BUILDING_ARCHER_TOWER","アーチャータワー"
"TID_BUILDING_CLASS_ARMY","軍事関連"
"TID_BUILDING_CLASS_DEFENSE","防衛設備"
"TID_BUILDING_CLASS_RESOURCE","資源"
"TID_BUILDING_CLASS_WALL","壁"
"TID_NOT_ENOUGH_WORKERS_HEADER","大工さんは全員仕事中"
"TID_NOT_ENOUGH_WORKERS_TEXT","建設中の建物を今すぐ完成させて、\n大工をこちらにまわしますか？"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","建設中の建物を今すぐ完成させて、\nマスター大工をこちらにまわしますか？"
"TID_NOT_ENOUGH_RESOURCE","<resource>が足りません"
"TID_NOT_ENOUGH_RESOURCE_TWO","<resource1>と<resource2>が不足しています！"
"TID_TOWN_HALL_LEVEL_TOO_LOW","先にタウンホールをレベル <number> に要アップグレード！"
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","ビルダーホールのレベルを<number>までアップグレードしてください！"
"TID_POPUP_ABOUT_TO_SELL_TITLE","建物を売る"
"TID_POPUP_TEXT_ABOUT_TO_SELL","本当に<item>を<resource><number>で\n売りますか？"
"TID_POPUP_UPGRADE_TITLE","レベル<number>にアップグレードしますか？"
"TID_POPUP_UPGRADE_BUILD_MORE","もっと建てる："
"TID_RESOURCE_CAP_FULL_GOLD","金庫をもっと建てるか、今ある金庫をアップグレードしましょう！"
"TID_RESOURCE_CAP_FULL_ELIXIR","エリクサータンクをもっと建てるか、\n今あるエリクサータンクをアップグレードしましょう！"
"TID_RESOURCE_CAP_FULL_GENERIC","保管施設を増やすかアップグレードしてください！"
"TID_POPUP_FRIEND_LIST_TITLE","フレンド"
"TID_POPUP_SOCIAL_LIST_TITLE","ソーシャル"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","Facebookに接続"
"TID_LOGIN_TO_FACEBOOK_BUTTON","Facebookにログイン"
"TID_LOADING_FACEBOOK_FRIENDS","友達リストの読み込み中..."
"TID_OBSTACLE_TOMBSTONE","墓石"
"TID_NO_FACEBOOK_FRIENDS","クラッシュ・オブ・クランをプレイしているFacebookの友達がみつかりませんでした。"
"TID_ATTACK_FAIL_NO_MATCHES","攻撃できる村がみつかりませんでした。"
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","攻撃できません！ この村はすでに攻撃されているところです。"
"TID_ATTACK_FAIL_TARGET_ONLINE","攻撃できません！ 村の持ち主がオンラインです。"
"TID_ATTACK_FAIL_SAME_ALLIANCE","同じクランの仲間は攻撃できません！"
"TID_ATTACK_FAIL_SHIELD","攻撃できません！この村はシールドが有効になっています。"
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","レベル差が<level>より大きいため、攻撃できません。"
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","この村のタウンホールはレベルが<number>未満なので、攻撃できません！"
"TID_DEFAULT_VILLAGE_NAME","<name>の村"
"TID_BATTLE_LOG_TITLE","攻撃されました！"
"TID_BATTLE_LOG_ITEM","<time>前に<name>に攻撃されました。"
"TID_NO_TROOPS","まずはユニットを訓練してください。"
"TID_NO_SPELLS","先に呪文を生成してください！"
"TID_ERROR_POP_UP_BANNED_TITLE","アカウント停止"
"TID_ERROR_POP_UP_BANNED","一時的に禁止されました！"
"TID_ERROR_POP_UP_BANNED_BUTTON","OK"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","接続エラー"
"TID_ERROR_POP_UP_CONNECTION_FAILED","サーバーに接続できません。\nインターネット接続を確認して\nもう一度お試しください。"
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","もう一度試す"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","接続が切断されました"
"TID_ERROR_POP_UP_CONNECTION_LOST","サーバーとの接続が\n切断されました。\nインターネット接続を確認して\nもう一度お試しください。"
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","もう一度試す"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","もしもーし？"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","一定時間操作がなかったため、切断されました。"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","ゲームをリロード"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","ログイン失敗"
"TID_ERROR_POP_UP_LOGIN_FAILED","あとでまたお試しください。"
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","もう一度試す"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","ゲームのアップデートを\nダウンロードできます！"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","ゲームの新しいバージョンを\nダウンロードできます！"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","アップデート"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","エラー発生！"
"TID_ERROR_POP_UP_OUT_OF_SYNC","クライアントとサーバーの同期がとれていません！"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","ゲームをリロード"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","メンテナンス中"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","申し訳ございませんが、ゲームのサーバーはメンテナンス中です。あとでまたお試しください。"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","もう一度試す"
"TID_BUILDING_ALLIANCE_CASTLE","クランの城"
"TID_BUILDING_ALLIANCE_MARKER","クランの旗"
"TID_COMM_MAST","無線塔"
"TID_TRAP_MINE","爆弾"
"TID_TRAP_EJECTOR","ばねトラップ"
"TID_SHOP_GUARD_2H","村の護り (2時間)"
"TID_SHOP_SHIELD_1D","シールド (1日)"
"TID_SHOP_SHIELD_2D","シールド (2日)"
"TID_SHOP_SHIELD_7D","シールド (1週間)"
"TID_ALLIANCE_MAIN_BUTTON","クラン"
"TID_ALLIANCE_LIST_HEADER","クラン"
"TID_CREATE_ALLIANCE_BUTTON","作成"
"TID_LEAVE_ALLIANCE_BUTTON","脱退"
"TID_JOIN_ALLIANCE_TAB","クランに参加"
"TID_CREATE_ALLIANCE_TAB","クランを作成"
"TID_MY_ALLIANCE_TAB","マイ クラン"
"TID_ALLIANCE_BUTTON_EDIT","編集"
"TID_ALLIANCE_CREATE_NAME","クラン名："
"TID_ALLIANCE_CREATE_DESCRIPTION","説明："
"TID_ALLIANCE_CREATE_BADGE","紋章："
"TID_ALLIANCE_CREATE_TYPE","クランのタイプ："
"TID_ALLIANCE_BADGE_BROWSE","見る"
"TID_ALLIANCE_TYPE_OPEN","誰でも参加可能"
"TID_ALLIANCE_TYPE_INVITE_ONLY","承認制"
"TID_ALLIANCE_TYPE_CLOSED","参加不可"
"TID_TOO_SHORT_ALLIANCE_NAME","クラン名が短すぎます！"
"TID_BACK_BUTTON","戻る"
"TID_ALLIANCE_SELECT_BADGE","クランの紋章を編集"
"TID_ALLIANCE_JOIN_BUTTON","参加"
"TID_ALLIANCE_JOIN_OK","クラン「<name>」に参加しました！"
"TID_ALLIANCE_CREATE_OK","新しいクランを結成しました！"
"TID_ALLIANCE_BUTTON_LEAVE","脱退"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","脱退しますか？"
"TID_ALLIANCE_LEAVE_CONFIRMATION","本当にクランから脱退しますか？"
"TID_ALLIANCE_ROLE_ADMIN","長老"
"TID_ALLIANCE_ROLE_LEADER","リーダー"
"TID_ALLIANCE_ROLE_MEMBER","メンバー"
"TID_ALLIANCE_PROMOTE_BUTTON","<role>に任命"
"TID_ALLIANCE_DEMOTE_BUTTON","<role> に降格"
"TID_ALLIANCE_ACCEPTED_BY","<name> が参加を承認"
"TID_ALLIANCE_REJECTED_BY","<name> が参加を拒否"
"TID_ALLIANCE_REQUEST_SENT","リクエストを送信しました！"
"TID_ALLIANCE_INVITATION_OK","招待を送信しました。"
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","このプレイヤーはクランの城を建てていないため、招待できません！"
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","このプレイヤーはすでにどこかのクランに参加しています！"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","そのプレイヤーはすでに招待しています！"
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","あなたのクランに参加させてください！"
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","クランへの参加を承認しますか？"
"TID_KICK_OUT_FROM_ALLIANCE","クランからはずす"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","クランのリーダーをやめますか？"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","<name>を新しいリーダーに任命しますか？"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","任命しますか？"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","<name>をクランの長老に任命しますか？"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","降格しますか？"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","<name>をクランのメンバーに降格しますか？"
"TID_KICK_MEMBER_CONFIRMATION_TITLE","さよなら！"
"TID_KICK_MEMBER_CONFIRMATION","<name>をクランからはずしますか？"
"TID_VISIT_BUTTON","遊びにいく"
"TID_VIEW_PROFILE_BUTTON","プロフィール"
"TID_INVITE_BUTTON","招待"
"TID_VIEW_ALLIANCE","クランを見る"
"TID_SETTINGS_LANGUAGE","言語"
"TID_SAVE_ALLIANCE_SETTINGS","セーブ"
"TID_STREAM_DONATE_TEXT","が支援をもとめています"
"TID_STREAM_DONATE_BUTTON","援軍を送る"
"TID_ALLIANCE_DONATE_HEADER","支援する"
"TID_BUTTON_REQUEST_TROOPS","支援をもとめる"
"TID_TROOP_REQUEST_SENT","リクエストを送信しました！"
"TID_ALLIANCE_STREAM_THANKS","支援ありがとうございます！"
"TID_ALLIANCE_TROOP_RECEIVED","<avatar>からレベル<level>の<troop>をもらいました！"
"TID_BARBARIAN","バーバリアン"
"TID_ARCHER","アーチャー"
"TID_GIANT","ジャイアント"
"TID_DRAGON","ドラゴン"
"TID_PEKKA","P.E.K.K.A"
"TID_GOBLIN","ゴブリン"
"TID_WALL_BREAKER","ウォールブレイカー"
"TID_GOBLIN_BALLOON","エアバルーン"
"TID_HEALER","ヒーラー"
"TID_WIZARD","ウィザード"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","クランの城はすでに一杯です！"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","さらに援軍をよぶには、しばらく待ってからにしてください。"
"TID_ALLIANCE_STREAM_REWARD","<number> XPをもらいました"
"TID_HOUSING_TROOPS_INSIDE","全ユニット："
"TID_UNIT_STORAGE_CAPACITY","ユニット収容数： <number>"
"TID_REGENERATION_TIME","再生時間： <number>分"
"TID_HITPOINTS","ヒットポイント： <number>"
"TID_DPS","ダメージ (毎秒)： <number>"
"TID_BURST_SIZE","バースト射撃： <number>発"
"TID_HEAL","回復： <number>"
"TID_TRAIN_COST","訓練コスト： <number> <resource>"
"TID_RESOURCE_STORAGE_CAPACITY","収容量： <number>"
"TID_PRODUCTION_RATE","生産量： 1 時間に <number>"
"TID_PRODUCTION_CAPACITY","収容量： <number>"
"TID_TRAINING_TIME","訓練時間： <number>"
"TID_TRAINING_TIME_REDUCTION","訓練時間低減： <number>"
"TID_HOUSING_INFO","ユニットは 「アーミーキャンプ」 に集まって出番を待ちます。\nキャンプの数を増やしたり、アップグレードすることで\n強大なアーミーを作り上げましょう。"
"TID_TOWN_HALL_INFO","タウンホールは村の中心です。タウンホールをアップグレードすると\n新しい防衛設備、建物、トラップなどが色々と使えるようになります。\n対戦相手の村のタウンホールを破壊すれば戦いに勝利して、星が 1 つもらえます。\n相手の村の建物の 50% を破壊すれば 2 つめの星が、建物を 100% 破壊できれば\n最高評価の 3 つ星がもらえます。攻撃してくる敵プレイヤーも\nあなたのタウンホールをねらってきますので注意しましょう！\nタウンホールを村の中央に配置し、壁やトラップや防衛設備で囲んで守りましょう。\n敵もずるがしこいので、どの方向から攻撃してくるかわかりません！"
"TID_ELIXIR_PUMP_INFO","エリクサーは、村の地下を流れている地脈からくみ上げられます。\nエリクサーポンプをアップグレードすれば、エリクサーの生産量が増えます。"
"TID_ELIXIR_STORAGE_INFO","地下からポンプでくみ上げたエリクサーをためておくタンクです。\nアップグレードすれば、エリクサーの最大収容量を増やせます。"
"TID_GOLD_MINE_INFO","金山からは金（ゴールド）がとれます。\nアップグレードすれば生産量とゴールドの収容量が増えます。"
"TID_GOLD_STORAGE_INFO","大事なゴールドを置いておく建物です。\nゴブリンたちを近よらせないようにしましょう！\nアップグレードすれば収容量と、\n攻撃に対するしぶとさ（ヒットポイント）が増えます。"
"TID_BARRACK_INFO","兵舎では敵への攻撃に使えるユニットを訓練できます。\n兵舎をアップグレードすれば強力なユニットも生産できるようになり、\n手強い相手にも勝てるようになるでしょう。"
"TID_BASIC_TURRET_INFO","大砲は拠点防衛に向いています。大砲をアップグレードすれば\n攻撃力が上がりますが、アップグレードが完了するまでは\n村が攻撃されても撃てないので注意しましょう！"
"TID_ARCHER_TOWER_INFO","アーチャータワーは大砲よりも射程が長く、\n大砲と違って空を飛ぶ敵にも攻撃できます。"
"TID_WIZARD_TOWER_INFO","究極の魔法系防衛設備です！ 塔に陣取ったウィザードたちが\n強力な範囲攻撃呪文で、空中や地上の敵ユニットを攻撃します。"
"TID_TESLA_TOWER_INFO","ウィザードたちが雷雲を塔に封じ込めた強力なトラップで、敵が地上や空中から\n接近すると地面から飛び出し、ビリビリの力でこんがり丸こげにしてくれます！"
"TID_AIR_DEFENSE_INFO","この対空設備は空を飛ぶ敵には絶大な攻撃力を\n発揮しますが、地上の敵には攻撃できません。\nできるだけ広い範囲を守れるように、うまく配置しましょう。"
"TID_MORTAR_INFO","迫撃砲の攻撃は爆風で多数の敵をまとめて倒すことができます。\n敵に近よられると反撃できないので注意しましょう！"
"TID_ALLIANCE_CASTLE_INFO","クランの城の中には宝庫と、クランの仲間から寄付されたユニットや呪文があります。"
"TID_WORKER_INFO","大工さんなしでは何もできません！\n大工の小屋を増やせば同時にたくさんの建物を建てられます。\nまた、エメラルドを使って完成を早めることができます。"
"TID_LABORATORY_INFO","錬金術師たちがラボにどんな秘密を隠しもっているのか、こわくて誰も知ろうとはしません。\nわかっているのは研究のおかげでユニットや呪文がより強く、かたく、素早く、すばらしくなることです！"
"TID_STREAM_SENDER_YOU","あなた"
"TID_SHIELD_ACTIVATED","相手の村のシールドが発動して、こちらから攻撃できなくなりました。\n残り<hours>時間です。"
"TID_STREAM_ENTRY_AGE","<time>前"
"TID_UPGRADE_WINDOW_NOTE","注意！"
"TID_OBSTACLE_CLEAR_TIME","取り除くのにかかる時間"
"TID_UPGRADE_TIME","アップグレード時間"
"TID_BUILD_TIME","建設にかかる時間"
"TID_GEAR_UP_TIME","改造時間"
"TID_UNLOCK_BUILDINGS","以下の建物が建設可能になります："
"TID_REQUIRED_EXP_LEVEL","必要条件\n経験レベル<number>"
"TID_REQUIRED_TOWN_HALL_LEVEL","必要条件\nタウンホールレベル<number>"
"TID_REQUIRED_BUILDERS_HALL_LEVEL","必要条件\nビルダーホールレベル<number>"
"TID_REQUIRED_CASTLE_LEVEL","必要条件：\nクランの城レベル<number>"
"TID_REQUIRED_BARRACK_LEVEL","必要条件\n兵舎レベル<number>"
"TID_REQUIRED_DARK_BARRACK_LEVEL","レベル<number>の闇の兵舎が必要です"
"TID_REQUIRED_LABORATORY_LEVEL","必要条件\nラボレベル<number>"
"TID_INFO_PREFERRED_TARGET","優先攻撃目標："
"TID_PREFERRED_TARGET_ANY","無差別"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","(ダメージ x <number>)"
"TID_INFO_TARGET_TYPE","攻撃目標："
"TID_INFO_DAMAGE_TYPE","ダメージの種類："
"TID_INFO_HEAL_TYPE","回復の種類："
"TID_INFO_HOUSING","収容スペース："
"TID_INFO_TRAINING_TIME","訓練時間："
"TID_INFO_RANGE","射程："
"TID_INFO_TARGET_TYPE_GROUND","地上"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","地上＆空中"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","対空または対地"
"TID_INFO_TARGET_TYPE_AIR","空中"
"TID_INFO_DAMAGE_TYPE_AOE","範囲効果"
"TID_INFO_DAMAGE_TYPE_SINGLE","単体攻撃"
"TID_INFO_RANGE_VALUE","<number>マス"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","<item>をレベル<level>にアップグレードしました"
"TID_LOCAL_NOTIFICATION_BUILDING_READY","<item>の建設が完了しました"
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","星ボーナスを獲得できます！ 戦いましょう！"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","チーフ、村のシールドが消えてしまいました！"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","おっと、ユニットの訓練をお忘れですか？"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","おっと、呪文の強化をお忘れですか？"
"TID_NEW","NEW"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","建設をやめますか？"
"TID_POPUP_CANCEL_CONSTRUCTION","<item>の建設をやめますか？ 建設コストの <number>% しかもどりません。"
"TID_POPUP_CANCEL_UPGRADE_TITLE","アップグレードをやめますか？"
"TID_POPUP_CANCEL_UPGRADE","<item>のアップグレードをやめますか？ アップグレードコストの <number>% しかもどりません。"
"TID_POPUP_CANCEL_CLEAR_TITLE","取り除くのをやめますか？"
"TID_POPUP_CANCEL_CLEAR","本当に<item>を取り除くのをやめますか？"
"TID_ALLIANCE_LEADERBOARDS","クランランキング"
"TID_PLAYER_LEADERBOARDS","プレイヤーランキング"
"TID_AVAILABLE_LOOT","略奪可能："
"TID_INFO","i"
"TID_ATTACK_BUTTON","攻撃"
"TID_ALLIANCE_SNEAK_PREVIEW","クランの城を再建すればクランに参加できます！\n\nクランの仲間同士で援軍ユニットや呪文を送り合って助け合いましょう。"
"TID_BUILD_TIME_INSTANT","なし"
"TID_BUILDING_CAP_REACHED","この建物はこれ以上建設できません。"
"TID_DIAMONDS_FOUND","<name>の中にエメラルドを<number>個発見しました！"
"TID_DIAMOND_FOUND","<name>の中にエメラルドを発見しました！"
"TID_SHOP_CATEGORY_DECOS","デコレーション"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","資源"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","軍事関連"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","防衛設備"
"TID_SHOP_CATEGORY_TREASURE","宝物"
"TID_SHOP_CATEGORY_SHIELD","シールド"
"TID_SHOP_CATEGORY_BUILDERS","大工"
"TID_TRAINING_WARRIORS","ユニット："
"TID_TRAINING_SLOTS","訓練スロット："
"TID_TOTAL_TRAINING_TIME","合計時間："
"TID_FINISH_BUTTON","完了"
"TID_TROOP_TRAINING_MAX","MAX"
"TID_UNCLOK_FROM_LABORATORY","ラボからアンロック"
"TID_NOT_ENOUGH_HOUSING_SPACE","アーミーキャンプに空きが足りません！"
"TID_UNLOCK_BUILDING_MULTIPLE","アンロック："
"TID_UNLOCK_BARRACK_TROOP","<name>をアンロック"
"TID_REDUCE_TIME_BARRACK_TROOP","訓練時間の低減量："
"TID_REDUCE_TIME_BARRACK_TROOP2","新しい訓練時間： <num2>"
"TID_BUILDING_TEXT_FULL","MAX！"
"TID_BUILDING_TEXT_TRAIN","訓練"
"TID_TRAINING_SLOT_STOPPED","一時停止！"
"TID_BUILDING_TEXT_ALERT","!!!"
"TID_TRAIN_ALL_HOUSINGS_FULL","アーミーキャンプが一杯です！"
"TID_TRAIN_ALL_HOUSINGS_FULL_INFO","アーミーキャンプをアップグレードするか、追加で建設するか、\nあるいは今いるユニットを戦いに向かわせましょう！"
"TID_BUTTON_FIGHT","開始"
"TID_BATTLE_START_TIME","戦闘開始まで："
"TID_NEXT_MATCH","次を探す"
"TID_END_BATTLE_BUTTON","戦闘終了"
"TID_SURRENDER_BUTTON","降参"
"TID_TROOP_UPGRADE_TIME","合計時間："
"TID_MAX_TROOP_LEVEL","最大レベル"
"TID_LEVEL_NUM","レベル <number>"
"TID_BUTTON_UPGRADE_TROOPS","研究"
"TID_POPUP_UPGRADE_TROOP_TITLE","ユニットをアップグレードできます"
"TID_TROOP_ALREADY_AT_MAX_LEVEL","このユニットはすでに最大レベルです！"
"TID_TROOP_UPGRADE_ALREADY_ONGOING","すでにアップグレード中です！"
"TID_TROOP_UPGRADE_COMPLETED","アップグレード完了： <item> レベル <number>"
"TID_UNITS_LEFT","残り <number>"
"TID_PLAYER_ATTACKING_YOU","攻撃してきたプレイヤー"
"TID_LOOT","奪われた資源："
"TID_OUTCOME","結果"
"TID_YOU_LOST","敗北"
"TID_YOU_WIN","勝利"
"TID_REVENGE","リベンジ"
"TID_JOINQUESTION","参加しますか？"
"TID_TAP_TO_EXPAND","タップで拡大します"
"TID_BUY_MISSING_RESOURCES_HEADER","<resource>が足りません"
"TID_BUY_MISSING_RESOURCES_TEXT","不足分の<resource> <count> を買いますか？"
"TID_BUY_MISSING_RESOURCES_HEADER_TWO","資源が不足しています"
"TID_BUY_MISSING_RESOURCES_TEXT_TWO","不足している<count>個の<resource>と<count2>個の<resource2>を購入しますか？"
"TID_BUY_RESOURCE_PACK_HEADER","<resource>の購入"
"TID_BUY_RESOURCE_PACK_TEXT","<resource> <count> を本当に買いますか？"
"TID_BUY_GUARD_HEADER","村の護りを購入しますか？"
"TID_BUY_SHIELD_HEADER","シールドを購入しますか？"
"TID_BUY_SHIELD_TEXT","本当に <name> を買いますか？"
"TID_RESOURCE_PACK_LOCKED","収容量が足りません！"
"TID_STAR1","グレート！"
"TID_STAR2","ワンダフル！！"
"TID_STAR3","パーフェクト！！！"
"TID_OVERALL_DAMAGE","合計ダメージ"
"TID_VILLAGE_GUARD_TITLE","村の護り："
"TID_SHIELD_TITLE","シールド"
"TID_SHIELD_NONE","なし"
"TID_BATTLE_LOG","戦闘ログ"
"TID_BATTLE_INBOX","受信トレイ"
"TID_VICTORY","勝利"
"TID_DEFEAT","敗北"
"TID_WHAT_YOU_GOT","戦利品："
"TID_TROOPS_USED","投入したユニット："
"TID_TOTAL_DAMAGE","合計ダメージ："
"TID_SCORE","スコア"
"TID_YOU_HAVE_BEEN_ATTACKED","村が敵に攻撃されました！"
"TID_YOU_HAVE_BEEN_ATTACKED_TITLE","敵の攻撃"
"TID_YOU_HAVE_BEEN_ATTACKED_HEADER","チーフのいない間に、村が攻撃されました！"
"TID_TUTORIAL_CANNON_1","チーフ、よくいらっしゃいました！\nお待ちしてましたよ。"
"TID_TUTORIAL_CANNON_2","こちらが新しい村です。\nかわいらしいでしょう？\n快適な暮らしができそうですよね。\nところが..."
"TID_TUTORIAL_CANNON_3","ゴブリンの大軍が攻めてきました！\n急いで大砲を用意して、\n村を守りましょう！"
"TID_TUTORIAL_CANNON_4","大砲を村の真ん中に作りましょう。\n村の中心である\nタウンホールを守らないと！"
"TID_TUTORIAL_CANNON_5","節約している場合じゃありません。\n緑色のエメラルドを使って\n建設を早めましょう！"
"TID_TUTORIAL_DEFEND_1","ぎひひ、ムラをみつけたぞ！\nヤロウども、とつげきだあああ！"
"TID_TUTORIAL_DEFEND_1b","ぎゃわはは、なんだなんだ？\nまたよわっちいニンゲンか？"
"TID_TUTORIAL_DEFEND_2","ふう、あぶないところでした。\nありがとうございました！"
"TID_TUTORIAL_DEFEND_4","村はレイラインの上に建てました。\n大砲は時間さえたてば\n魔法で自動的に修理されます。"
"TID_TUTORIAL_DEFEND_5","ぐわはっ、キンだ！\nキンキラキンはゴブリンのダイコーブツ！"
"TID_TUTORIAL_DEFEND_BUTTON","戦闘開始"
"TID_TUTORIAL_WORKER_1","わあ、お見事です！\nそれでは村を戦える状態に\nしていきましょう。"
"TID_TUTORIAL_WORKER_2","大工の小屋を2つに増やせば、\n同時に2つの建物を建設できます。"
"TID_TUTORIAL_ELIXIR_1","エリクサーはユニットを訓練したり、\nいくつもの建物を建設するのに\n不可欠です。"
"TID_TUTORIAL_ELIXIR_2","エリクサーポンプは\n村の地下にあるレイラインから\nエリクサーをくみ上げてくれます。\nやってみましょう！"
