"TID","TR"
"TID_NO_SPELLS","Önce birkaç büyü üretmen gerekiyor."
"TID_ERROR_POP_UP_BANNED_TITLE","Engellendin!"
"TID_ERROR_POP_UP_BANNED","Geçici olarak engellendin"
"TID_ERROR_POP_UP_BANNED_BUTTON","Tamam"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Bağlantı hatası"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Sunucuya bağlanılamıyor. İnternet bağlantını kontrol et ve tekrar dene."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Tekrar dene"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Bağlantı koptu"
"TID_ERROR_POP_UP_CONNECTION_LOST","Sunucu bağlantın koptu. İnternet bağlantını kontrol et ve tekrar dene."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Tekrar dene"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Kimse var mı?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Hiçbir eylemde bulunmadığın için bağlantın kesildi."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Oyunu tekrar yükle"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Oturum açılamadı"
"TID_ERROR_POP_UP_LOGIN_FAILED","Lütfen daha sonra tekrar dene."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Tekrar dene"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Güncelleme var!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","İyi haber! Oyunun yeni bir sürümü var."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Güncelle"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Hata!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","İstemci ve sunucu uyumlu değil!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Oyunu tekrar yükle"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Bakım arası"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Şu anda sunuculara bakım yapılıyor. Lütfen daha sonra tekrar dene."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Tekrar dene"
"TID_BUILDING_ALLIANCE_CASTLE","Klan Kalesi"
"TID_BUILDING_ALLIANCE_MARKER","Klan Bayrağı"
"TID_COMM_MAST","Radyo Kulesi"
"TID_TRAP_MINE","Bomba"
"TID_TRAP_EJECTOR","Yaylı Tuzak"
"TID_SHOP_GUARD_2H","İki Saatlik Koruma"
"TID_SHOP_SHIELD_1D","Bir Günlük Kalkan"
"TID_SHOP_SHIELD_2D","İki Günlük Kalkan"
"TID_SHOP_SHIELD_7D","Bir Haftalık Kalkan"
"TID_ALLIANCE_MAIN_BUTTON","Klan"
"TID_ALLIANCE_LIST_HEADER","Klan"
"TID_CREATE_ALLIANCE_BUTTON","Oluştur"
"TID_LEAVE_ALLIANCE_BUTTON","Ayrıl"
"TID_JOIN_ALLIANCE_TAB","Klana Katıl"
"TID_CREATE_ALLIANCE_TAB","Klan Oluştur"
"TID_MY_ALLIANCE_TAB","Klanım"
"TID_ALLIANCE_BUTTON_EDIT","Düzenle"
"TID_ALLIANCE_CREATE_NAME","Klan Adı:"
"TID_ALLIANCE_CREATE_DESCRIPTION","Açıklama:"
"TID_ALLIANCE_CREATE_BADGE","Rozet:"
"TID_ALLIANCE_CREATE_TYPE","Klan Türü:"
"TID_ALLIANCE_BADGE_BROWSE","Gözat"
"TID_ALLIANCE_TYPE_OPEN","Herkes katılabilir"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Yalnızca davetle"
"TID_ALLIANCE_TYPE_CLOSED","Kapalı"
"TID_TOO_SHORT_ALLIANCE_NAME","Klan adı çok kısa!"
"TID_BACK_BUTTON","Geri"
"TID_ALLIANCE_SELECT_BADGE","Klan Rozetini Düzenle"
"TID_ALLIANCE_JOIN_BUTTON","Katıl"
"TID_ALLIANCE_JOIN_OK","Artık <name> klanının üyesisin!"
"TID_ALLIANCE_CREATE_OK","Yeni bir klan kurdun!"
"TID_ALLIANCE_BUTTON_LEAVE","Ayrıl"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","Klandan ayrılacak mısın?"
"TID_ALLIANCE_LEAVE_CONFIRMATION","Gerçekten ayrılmak istiyor musun?"
"TID_ALLIANCE_ROLE_ADMIN","Büyük"
"TID_ALLIANCE_ROLE_LEADER","Lider"
"TID_ALLIANCE_ROLE_MEMBER","Üye"
"TID_ALLIANCE_PROMOTE_BUTTON","<role> rütbesine terfi ettir"
"TID_ALLIANCE_DEMOTE_BUTTON","<role> rütbesine indir"
"TID_ALLIANCE_ACCEPTED_BY","<name> kabul etti"
"TID_ALLIANCE_REJECTED_BY","<name> reddetti"
"TID_ALLIANCE_REQUEST_SENT","İstek gönderildi!"
"TID_ALLIANCE_INVITATION_OK","Davet başarıyla gönderildi."
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","Davet edilemiyor, oyuncunun Klan Kalesi yok!"
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","Oyuncu zaten bir klana üye!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","Bu oyuncuyu zaten davet ettin!"
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","Hey, klanına katılmak istiyorum"
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","Katılma isteği kabul edilsin mi?"
"TID_KICK_OUT_FROM_ALLIANCE","At"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","Çekilecek misin?"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","<name> yeni Klan Lideri olsun mu?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","Terfi edilsin mi?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","<name>, Klan Büyüğüne terfi edilsin mi?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","Rütbesini indirelim mi?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","<name>, Klan Üyeliğine düşürülsün mü?"
"TID_KICK_MEMBER_CONFIRMATION_TITLE","Sürgün!"
"TID_KICK_MEMBER_CONFIRMATION","<name> Klandan atılsın mı?"
"TID_VISIT_BUTTON","Ziyaret et"
"TID_VIEW_PROFILE_BUTTON","Profil"
"TID_INVITE_BUTTON","Davet et"
"TID_VIEW_ALLIANCE","Klanı Görüntüle"
"TID_SETTINGS_LANGUAGE","Dil"
"TID_SAVE_ALLIANCE_SETTINGS","Kaydet"
"TID_STREAM_DONATE_TEXT","takviyeye ihtiyaç duyuyor"
"TID_STREAM_DONATE_BUTTON","Bağış Yap"
"TID_ALLIANCE_DONATE_HEADER","Takviye Bağışla"
"TID_BUTTON_REQUEST_TROOPS","İstek"
"TID_TROOP_REQUEST_SENT","İstek gönderildi!"
"TID_ALLIANCE_STREAM_THANKS","Takviyeler için teşekkürler!"
"TID_ALLIANCE_TROOP_RECEIVED","<avatar> tarafından sana <troop>. seviye <level> gönderildi!"
"TID_BARBARIAN","Barbar"
"TID_ARCHER","Okçu"
"TID_GIANT","Dev"
"TID_DRAGON","Ejderha"
"TID_PEKKA","P.E.K.K.A"
"TID_GOBLIN","Goblin"
"TID_WALL_BREAKER","Duvar Yıkıcı"
"TID_GOBLIN_BALLOON","Balon"
"TID_HEALER","Şifacı"
"TID_WIZARD","Büyücü"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","Klan Kalesi zaten dolu!"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","Daha fazla takviye istemeden önce beklemen gerekiyor."
"TID_ALLIANCE_STREAM_REWARD","<number> dp aldın"
"TID_HOUSING_TROOPS_INSIDE","Tüm birlikler:"
"TID_UNIT_STORAGE_CAPACITY","Birlik kapasitesi: <number>"
"TID_REGENERATION_TIME","Yenilenme süresi: <number> Dakika"
"TID_HITPOINTS","İsabet Puanı: <number>"
"TID_DPS","Saniye başına hasar: <number>"
"TID_BURST_SIZE","Seri atış: <number> atış"
"TID_HEAL","İyileştirme: <number>"
"TID_TRAIN_COST","Eğitim Maliyeti: <number> <resource>"
"TID_RESOURCE_STORAGE_CAPACITY","Depolama Kapasitesi: <number>"
"TID_PRODUCTION_RATE","Üretim Hızı: <number>/saat"
"TID_PRODUCTION_CAPACITY","Kapasite: <number>"
"TID_TRAINING_TIME","Eğitim Süresi: <number>"
"TID_TRAINING_TIME_REDUCTION","Eğitim Süresi Kısaltımı: <number>"
"TID_HOUSING_INFO","Birliklerin Ordu Kamplarına yerleştirilir. Güçlü bir ordu toplamak için daha çok kamp inşa et ve onları yükselt."
"TID_TOWN_HALL_INFO","Burası köyünün kalbidir. Belediye Binasını yükselttiğinde yeni savunmalar, binalar, tuzaklar ve daha fazlası açılır.\nBir rakibin Belediye Binasını yıktığında savaşı kazanır ve bir Yıldız alırsın. Düşman binalarının %50'sini yıktığında ikinci bir Yıldız kazanır, %100´ünü yıktığında ise tam üç yıldız alırsın.\nDikkatli ol, düşmanlar da senin Belediye Binanı yıkmaya çalışacak!\nMaksimum koruma için, Belediye Binanı köyünün ortasına yerleştir ve duvarlarla, tuzaklarla ve savunma binalarıyla koru. Düşmanlar sinsidir ve herhangi bir yönden saldırabilirler!"
"TID_ELIXIR_PUMP_INFO","İksir, köyünün altından geçen Ley Hatlarından pompayla çekilir. İksir üretimini artırmak için İksir Toplayıcılarını yükseltebilirsin."
"TID_ELIXIR_STORAGE_INFO","Bu depolarda yer altından çıkarılan iksir saklanır. Depolayabileceğin maksimum iksir miktarını artırmak için depoları yükseltebilirsin."
"TID_GOLD_MINE_INFO","Altın Madeninde altın üretilir. Üretimini ve depolama kapasitesini artırmak için madenleri yükseltebilirsin."
"TID_GOLD_STORAGE_INFO","Değerli altınların tamamı burada depolanır. Sinsi goblinleri buraya yaklaştırma! Kapasitesini ve saldırıya dayanıklılığını artırmak için depoyu yükseltebilirsin."
"TID_BARRACK_INFO","Kışla, düşmanlara saldıracak birlikler eğitmeni sağlar. Destansı savaşlar kazanacak gelişmiş birimlerin kilidini açmak için Kışlayı yükseltebilirsin."
"TID_BASIC_TURRET_INFO","Toplar, nokta savunması için idealdir. Ateş gücünü artırmak için topları yükselt, ancak savunma taretlerinin yükseltme sırasında ateş edemeyeceğini unutma!"
"TID_ARCHER_TOWER_INFO","Okçu Kulelerinin menzili toplardan uzundur ve topların tersine uçan düşmanları vurabilirler."
"TID_WIZARD_TOWER_INFO","En İyisi Büyülü Savunma! Kule Büyücüleri, hem uçan birlikleri hem de kara birliklerini hedefleyen kuvvetli alan büyüleri yapar."
"TID_TESLA_TOWER_INFO","Gizli Tesla ile ölümcül bir tuzak kur! Büyücülerimiz bu gizli kulelerden her birine bir fırtına bulutu hapsetti. Bir düşman yürüyerek ya da uçarak yeterince yakınına gelirse, kule birdenbire ortaya çıkar ve büyülü bir elektrikle düşmanı kızartır!"
"TID_AIR_DEFENSE_INFO","Bu uçarsavar kulesi, uçan düşmanlara karşı etkilidir; ancak karadaki düşmanları hedef alamaz. Olabildiğinde geniş bir alanı kapsaması için akıllıca yerleştir."
"TID_MORTAR_INFO","Havan mermisinin parça tesiri düşman kuvvetlerini ot gibi biçer. Ama düşmanların yakına girmesine izin verme!"
"TID_ALLIANCE_CASTLE_INFO","Klan Kalesi'nde hem Hazinelerimiz hem de klan arkadaşların tarafından gönderilen takviye birlikler ve büyüler bulunur."
"TID_WORKER_INFO","Burada hiçbir iş inşaatçılar olmadan yapılamıyor! Birden fazla inşaat yapmak için daha fazla inşaatçı tutabilir veya yeşil taş kullanarak çalışmaları hızlandırabilirsin."
"TID_LABORATORY_INFO","Simyacılar, Laboratuvarda hangi karanlık sırları saklıyor? Kimse bakmaya cesaret edemedi. Tek bildiğimiz, onların araştırmaları büyülerimizi ve birliklerimizi daha güçlü, iyi ve hızlı hale getiriyor!"
"TID_STREAM_SENDER_YOU","Sen"
"TID_SHIELD_ACTIVATED","Rakibin kalkanı <hours> saatliğine etkinleştirildi"
"TID_STREAM_ENTRY_AGE","<time> önce"
"TID_UPGRADE_WINDOW_NOTE","Not!"
"TID_OBSTACLE_CLEAR_TIME","Yıkma süresi"
"TID_UPGRADE_TIME","Yükseltme süresi"
"TID_BUILD_TIME","İnşa süresi"
"TID_GEAR_UP_TIME","Geliştirme süresi"
"TID_UNLOCK_BUILDINGS","Açılacak binalar:"
"TID_REQUIRED_EXP_LEVEL","<number>. Seviye Deneyim Gerekiyor"
"TID_REQUIRED_TOWN_HALL_LEVEL","<number>. Seviye Belediye Binası Gerekiyor"
"TID_REQUIRED_BUILDERS_HALL_LEVEL","<number>. Seviye İnşaatçı Binası Gerekli"
"TID_REQUIRED_CASTLE_LEVEL","<number>. Seviye Kale Gerekiyor"
"TID_REQUIRED_BARRACK_LEVEL","<number>. Seviye Kışla Gerekiyor"
"TID_REQUIRED_DARK_BARRACK_LEVEL","<number>. Seviye Kara Kışla Gerekiyor"
"TID_REQUIRED_LABORATORY_LEVEL","<number>. Seviye Laboratuvar Gerekiyor"
"TID_INFO_PREFERRED_TARGET","Favori hedef:"
"TID_PREFERRED_TARGET_ANY","Her Şey"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","(Hasar x<number>)"
"TID_INFO_TARGET_TYPE","Hedefler:"
"TID_INFO_DAMAGE_TYPE","Hasar türü:"
"TID_INFO_HEAL_TYPE","İyileşme türü:"
"TID_INFO_HOUSING","Barınma Alanı:"
"TID_INFO_TRAINING_TIME","Eğitim Süresi:"
"TID_INFO_RANGE","Menzil:"
"TID_INFO_TARGET_TYPE_GROUND","Kara"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","Kara ve Hava"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","Kara veya Hava"
"TID_INFO_TARGET_TYPE_AIR","Hava"
"TID_INFO_DAMAGE_TYPE_AOE","Alan Tesiri"
"TID_INFO_DAMAGE_TYPE_SINGLE","Tek Hedef"
"TID_INFO_RANGE_VALUE","<number> Karo"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","<item> öğesi <level>. seviyeye yükseltildi"
"TID_LOCAL_NOTIFICATION_BUILDING_READY","<item> inşaatı bitti"
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","Yıldız bonusu mevcut! Savaş zamanı!"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","Şef, kalkanımız tükendi!"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","Eyvah, yoksa ordu eğitmeyi mi unuttun?"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","Eyvah, yoksa büyü üretmeyi mi unuttun?"
"TID_NEW","Yeni"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","İnşaatı durduralım mı?"
"TID_POPUP_CANCEL_CONSTRUCTION","<item> inşa etmeyi durdurmak istiyor musun? Maliyetin sadece %<number> kadarı iade edilir."
"TID_POPUP_CANCEL_UPGRADE_TITLE","Yükseltmeyi durduralım mı?"
"TID_POPUP_CANCEL_UPGRADE","<item> yükseltmesini durdurmak istiyor musun? Maliyetin sadece %<number> kadarı iade edilir."
"TID_POPUP_CANCEL_CLEAR_TITLE","Yıkımı durduralım mı?"
"TID_POPUP_CANCEL_CLEAR","<item> yıkımını durdurmak istiyor musun?"
"TID_ALLIANCE_LEADERBOARDS","En İyi Klanlar"
"TID_PLAYER_LEADERBOARDS","En İyi Oyuncular"
"TID_AVAILABLE_LOOT","Mevcut Ganimet:"
"TID_INFO","ben"
"TID_ATTACK_BUTTON","Saldır"
"TID_ALLIANCE_SNEAK_PREVIEW","Klan Kalesini tekrar inşa ederek Klanların kilidini aç!\n\nKlan arkadaşları birbirine yardım ederek takviye birlikler ve büyüler gönderir."
"TID_BUILD_TIME_INSTANT","Yok"
"TID_BUILDING_CAP_REACHED","Bu binalardan daha fazla yapamazsın."
"TID_DIAMONDS_FOUND","<name> içinde <number> taş buldun!"
"TID_DIAMOND_FOUND","<name> içinde taş buldun!"
"TID_SHOP_CATEGORY_DECOS","Dekorasyon"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","Kaynaklar"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","Ordu"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","Savunma"
"TID_SHOP_CATEGORY_TREASURE","Hazine"
"TID_SHOP_CATEGORY_SHIELD","Kalkan"
"TID_SHOP_CATEGORY_BUILDERS","İnşaatçı"
"TID_TRAINING_WARRIORS","Savaşçılar:"
"TID_TRAINING_SLOTS","Eğitim yerleri:"
"TID_TOTAL_TRAINING_TIME","Toplam süre:"
"TID_FINISH_BUTTON","Bitir"
"TID_TROOP_TRAINING_MAX","Maks"
"TID_UNCLOK_FROM_LABORATORY","Laboratuvardan kilidi aç"
"TID_NOT_ENOUGH_HOUSING_SPACE","Ordu Kampında yeterli yer yok!"
"TID_UNLOCK_BUILDING_MULTIPLE","Yeni açılanlar:"
"TID_UNLOCK_BARRACK_TROOP","<name> kilidini açar"
"TID_REDUCE_TIME_BARRACK_TROOP","Eğitimi kısaltma süresi:"
"TID_REDUCE_TIME_BARRACK_TROOP2","Yeni eğitim süresi: <num2>"
"TID_BUILDING_TEXT_FULL","Dolu!"
"TID_BUILDING_TEXT_TRAIN","Eğit"
"TID_TRAINING_SLOT_STOPPED","Durduruldu!"
"TID_BUILDING_TEXT_ALERT","!!!"
"TID_TRAIN_ALL_HOUSINGS_FULL","Tüm Kamplar Dolu!"
"TID_TRAIN_ALL_HOUSINGS_FULL_INFO","Daha fazla birlik eğitmen için yeni bir Ordu Kampı inşa et, olan kampları yükselt veya birlikleri savaşa gönder!"
"TID_BUTTON_FIGHT","Başla!"
"TID_BATTLE_START_TIME","Savaşın başlamasına kalan:"
"TID_NEXT_MATCH","İleri"
"TID_END_BATTLE_BUTTON","Savaşı Bitir"
"TID_SURRENDER_BUTTON","Teslim Ol"
"TID_TROOP_UPGRADE_TIME","Toplam süre:"
"TID_MAX_TROOP_LEVEL","Maks Seviye"
"TID_LEVEL_NUM","<number>. Seviye"
"TID_BUTTON_UPGRADE_TROOPS","Araştır"
"TID_POPUP_UPGRADE_TROOP_TITLE","Yükseltilecek birimi seç"
"TID_TROOP_ALREADY_AT_MAX_LEVEL","Birim zaten maksimum seviyede!"
"TID_TROOP_UPGRADE_ALREADY_ONGOING","Yükseltme zaten yapılıyor."
"TID_TROOP_UPGRADE_COMPLETED","Yükseltme tamamlandı: <number>. Seviye <item>"
"TID_UNITS_LEFT","<number> kaldı"
"TID_PLAYER_ATTACKING_YOU","Saldıran oyuncular:"
"TID_LOOT","Kaynak kaybettin:"
"TID_OUTCOME","Sonuç:"
"TID_YOU_LOST","Savunman Kaybetti"
"TID_YOU_WIN","Savunman Kazandı"
"TID_REVENGE","İntikam"
"TID_JOINQUESTION","Katılmak istiyor musun?"
"TID_TAP_TO_EXPAND","Genişletmek için dokun"
"TID_BUY_MISSING_RESOURCES_HEADER","Daha fazla <resource> gerekiyor"
"TID_BUY_MISSING_RESOURCES_TEXT","<count> <resource> eksik, satın alacak mısın?"
"TID_BUY_MISSING_RESOURCES_HEADER_TWO","Daha fazla kaynağa ihtiyacın var"
"TID_BUY_MISSING_RESOURCES_TEXT_TWO","Eksik olan <count> <resource> ve <count2> <resource2> satın alınsın mı?"
"TID_BUY_RESOURCE_PACK_HEADER","<resource> satın alacak mısın?"
"TID_BUY_RESOURCE_PACK_TEXT","<count> <resource> satın almak istediğinden emin misin?"
"TID_BUY_GUARD_HEADER","Koruma satın alalım mı?"
"TID_BUY_SHIELD_HEADER","Kalkan satın alalım mı?"
"TID_BUY_SHIELD_TEXT","<name> satın almak istediğinden emin misin?"
"TID_RESOURCE_PACK_LOCKED","Yeterli depo yeri yok!"
"TID_STAR1","Müthiş!"
"TID_STAR2","Muhteşem!"
"TID_STAR3","Mükemmel!"
"TID_OVERALL_DAMAGE","Toplam Hasar"
"TID_VILLAGE_GUARD_TITLE","Koruma:"
"TID_SHIELD_TITLE","Kalkan:"
"TID_SHIELD_NONE","Yok"
"TID_BATTLE_LOG","Savaş Günlüğü"
"TID_BATTLE_INBOX","Gelen Kutusu"
"TID_VICTORY","Zafer"
"TID_DEFEAT","Yenilgi"
"TID_WHAT_YOU_GOT","Kazancın:"
"TID_TROOPS_USED","Birlik sarfiyatı:"
"TID_TOTAL_DAMAGE","Toplam hasar:"
"TID_SCORE","Skor"
"TID_YOU_HAVE_BEEN_ATTACKED","Şef, köyümüze saldırdılar!"
"TID_YOU_HAVE_BEEN_ATTACKED_TITLE","Düşman baskını"
