"TID","NO"
"TID_ALLIANCE_SELECT_BADGE","Rediger klanmerke"
"TID_ALLIANCE_JOIN_BUTTON","Bli med"
"TID_ALLIANCE_JOIN_OK","Du er nå med i klanen <name>!"
"TID_ALLIANCE_CREATE_OK","Du har opprettet en ny klan!"
"TID_ALLIANCE_BUTTON_LEAVE","Forlat"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","Forlate klanen?"
"TID_ALLIANCE_LEAVE_CONFIRMATION","Vil du virkelig forlate?"
"TID_ALLIANCE_ROLE_ADMIN","Senior"
"TID_ALLIANCE_ROLE_LEADER","Leder"
"TID_ALLIANCE_ROLE_MEMBER","Medlem"
"TID_ALLIANCE_PROMOTE_BUTTON","Forfrem til <role>"
"TID_ALLIANCE_DEMOTE_BUTTON","Degrader til <role>"
"TID_ALLIANCE_ACCEPTED_BY","Godtatt av <name>"
"TID_ALLIANCE_REJECTED_BY","Avvist av <name>"
"TID_ALLIANCE_REQUEST_SENT","Forespørselen er sendt!"
"TID_ALLIANCE_INVITATION_OK","Invitasjon sendt."
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","Kan ikke invitere, spilleren har ikke et klanslott!"
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","Spilleren er allerede med i en klan!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","Du har allerede invitert den spilleren!"
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","Hei, jeg vil bli med i klanen din"
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","Godta forespørsel om å bli med?"
"TID_KICK_OUT_FROM_ALLIANCE","Spark ut"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","Gå av?"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","Gjøre <name> til ny klanleder?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","Forfremme?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","Forfremme <name> til klansenior?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","Degradere?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","Degradere <name> til klanmedlem?"
"TID_KICK_MEMBER_CONFIRMATION_TITLE","Forvist!"
"TID_KICK_MEMBER_CONFIRMATION","Sparke <name> fra klanen?"
"TID_VISIT_BUTTON","Besøk"
"TID_VIEW_PROFILE_BUTTON","Profil"
"TID_INVITE_BUTTON","Inviter"
"TID_VIEW_ALLIANCE","Vis klan"
"TID_SETTINGS_LANGUAGE","Språk"
"TID_SAVE_ALLIANCE_SETTINGS","Lagre"
"TID_STREAM_DONATE_TEXT","trenger forsterkninger"
"TID_STREAM_DONATE_BUTTON","Gi bort"
"TID_ALLIANCE_DONATE_HEADER","Gi bort forsterkninger"
"TID_BUTTON_REQUEST_TROOPS","Be om hjelp"
"TID_TROOP_REQUEST_SENT","Forespørselen er sendt!"
"TID_ALLIANCE_STREAM_THANKS","Takk for forsterkningene!"
"TID_ALLIANCE_TROOP_RECEIVED","Du har fått <troop> på nivå <level> av <avatar>!"
"TID_BARBARIAN","Barbar"
"TID_ARCHER","Bueskytter"
"TID_GIANT","Kjempe"
"TID_DRAGON","Drage"
"TID_PEKKA","P.E.K.K.A"
"TID_GOBLIN","Nisse"
"TID_WALL_BREAKER","Murbrekker"
"TID_GOBLIN_BALLOON","Ballong"
"TID_HEALER","Helbreder"
"TID_WIZARD","Trollmann"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","Klanslottet er allerede fullt!"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","Du må vente før du kan be om forsterkninger."
"TID_ALLIANCE_STREAM_REWARD","Du fikk <number> xp"
"TID_HOUSING_TROOPS_INSIDE","Alle soldater:"
"TID_UNIT_STORAGE_CAPACITY","Soldatkapasitet: <number>"
"TID_REGENERATION_TIME","Regenereringstid: <number> minutter"
"TID_HITPOINTS","Treffpoeng: <number>"
"TID_DPS","Skade per sekund: <number>"
"TID_BURST_SIZE","Skuddsalve: <number> skudd"
"TID_HEAL","Helbred: <number>"
"TID_TRAIN_COST","Treningskostnad: <number> <resource>"
"TID_RESOURCE_STORAGE_CAPACITY","Lagringskapasitet: <number>"
"TID_PRODUCTION_RATE","Produksjonshastighet: <number> per time"
"TID_PRODUCTION_CAPACITY","Kapasitet: <number>"
"TID_TRAINING_TIME","Treningstid: <number>"
"TID_TRAINING_TIME_REDUCTION","Reduksjon i treningstid: <number>"
"TID_HOUSING_INFO","Soldatene dine er stasjonert i militærleirer. Bygg og oppgrader flere leirer for å mønstre en mektig hær."
"TID_TOWN_HALL_INFO","Dette er hjertet i landsbyen din. Oppgrader rådhuset for å låse opp nye forsvarsverker, bygninger, feller og mye mer.\nØdelegger du en motstanders rådhus, vinner du kampen og får én stjerne. Den andre stjernen får du ved å ødelegge 50 % av fiendens bygninger, mens du får alle de tre stjernene ved å utslette fienden fullstendig.\nMen pass på, fiendene prøver å ødelegge rådhuset ditt også!\nSørg for at rådhuset befinner seg midt i landsbyen, og beskytt det med murer, feller og forsvarsbygninger. Fiendene dine er slue og kan angripe fra alle kanter!"
"TID_ELIXIR_PUMP_INFO","Eliksir pumpes opp fra energilinjer under landsbyen. Oppgrader eliksirpumpene for å maksimere eliksirproduksjonen."
"TID_ELIXIR_STORAGE_INFO","Disse lagrene inneholder eliksir som er pumpet opp fra bakken. Oppgrader lagrene for å kunne lagre mer eliksir."
"TID_GOLD_MINE_INFO","Gullgruven produserer gull. Oppgrader den for å øke produksjonen og gullagerkapasiteten."
"TID_GOLD_STORAGE_INFO","Alt det verdifulle gullet ditt lagres her. Hold de sleipe nissene på lang avstand! Oppgrader lageret for å øke kapasiteten og gjøre det mer motstandsdyktig ved angrep."
"TID_BARRACK_INFO","Med brakker kan du trene soldater som kan angripe fiendene dine. Oppgrader brakkene for å låse opp avanserte enheter som kan vinne episke kamper."
"TID_BASIC_TURRET_INFO","Kanoner er godt egnet til å forsvare enkeltmål. Oppgrader kanoner for å øke ildkraften deres, men vær oppmerksom på at forsvarstårn ikke kan skyte mens de blir oppgradert."
"TID_ARCHER_TOWER_INFO","Bueskyttertårn har større rekkevidde enn kanoner og kan, i motsetning til kanoner, angripe flygende fiender."
"TID_WIZARD_TOWER_INFO","Det ypperste innen hemmelige forsvar! Tårntrollmenn bruker kraftige områdeformler til å angripe både luft- og bakkestyrker."
"TID_TESLA_TOWER_INFO","Legg en livsfarlig felle med det skjulte teslatårnet! Trollmennene våre har fanget en stormsky i hvert av de lumske tårnene. Når en fiende går eller flyr nærme nok, spretter tårnet opp og griller fienden!"
"TID_AIR_DEFENSE_INFO","Dette luftforsvarstårnet er svært effektivt mot flygende fiender, men kan ikke rettes mot motstandere på bakken. Plasser det klokt slik at det dekker mest mulig luftrom."
"TID_MORTAR_INFO","Morteren kan meie ned horder av fiender takket være spredningsskade fra granaten. Ikke la fiendene komme i nærheten av den!"
"TID_ALLIANCE_CASTLE_INFO","I klanslottet ditt finner du skattkammeret og alle ekstra tropper og formler som klanvennene dine har sendt."
"TID_WORKER_INFO","Her omkring skjer det ingenting hvis ikke byggerne er på jobb! Du kan leie flere byggere for å starte flere byggeprosjekter eller øke farten på arbeidet ved å bruke grønne juveler."
"TID_LABORATORY_INFO","Hvilke mørke hemmeligheter skjuler alkymistene i laboratoriene? Ingen har så langt våget å undersøke saken. Alt vi vet, er at forskningen deres har gjort formlene og soldatene våre tøffere, bedre, kjappere og sterkere!"
"TID_STREAM_SENDER_YOU","Du"
"TID_SHIELD_ACTIVATED","Motstanderens skjold aktivert i <hours> timer"
"TID_STREAM_ENTRY_AGE","for <time> siden"
"TID_UPGRADE_WINDOW_NOTE","Obs!"
"TID_OBSTACLE_CLEAR_TIME","Fjerningstid"
"TID_UPGRADE_TIME","Oppgraderingstid"
"TID_BUILD_TIME","Byggetid"
"TID_GEAR_UP_TIME","Tid for forbedringer"
"TID_UNLOCK_BUILDINGS","Låser opp bygninger:"
"TID_REQUIRED_EXP_LEVEL","Krever erfaring på nivå <number>"
"TID_REQUIRED_TOWN_HALL_LEVEL","Krever rådhus på nivå <number>"
"TID_REQUIRED_BUILDERS_HALL_LEVEL","Du må ha en byggerens hall på nivå <number>"
"TID_REQUIRED_CASTLE_LEVEL","Krever slott på nivå <number>"
"TID_REQUIRED_BARRACK_LEVEL","Krever brakker på nivå <number>"
"TID_REQUIRED_DARK_BARRACK_LEVEL","Det er påkrevd med mørke brakker på nivå <number>"
"TID_REQUIRED_LABORATORY_LEVEL","Krever laboratorium på nivå <number>"
"TID_INFO_PREFERRED_TARGET","Favorittmål:"
"TID_PREFERRED_TARGET_ANY","Alle"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","(Skade x<number>)"
"TID_INFO_TARGET_TYPE","Mål:"
"TID_INFO_DAMAGE_TYPE","Skadetype:"
"TID_INFO_HEAL_TYPE","Helbredelsestype:"
"TID_INFO_HOUSING","Husrom:"
"TID_INFO_TRAINING_TIME","Treningstid:"
"TID_INFO_RANGE","Rekkevidde:"
"TID_INFO_TARGET_TYPE_GROUND","Bakke"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","Bakke og luft"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","Bakke eller luft"
"TID_INFO_TARGET_TYPE_AIR","Luft"
"TID_INFO_DAMAGE_TYPE_AOE","Områdespredning"
"TID_INFO_DAMAGE_TYPE_SINGLE","Enkeltmål"
"TID_INFO_RANGE_VALUE","<number> ruter"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","<item> oppgradert til nivå <level>"
"TID_LOCAL_NOTIFICATION_BUILDING_READY","Konstruksjon av <item> fullført"
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","Stjernebonus tilgjengelig! Tid for kamp!"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","Høvding, skjoldet er tomt!"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","Ops, glemte du å trene opp armeen din?"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","Ops, glemte du å brygge formlene dine?"
"TID_NEW","Nytt"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","Avbryte bygging?"
"TID_POPUP_CANCEL_CONSTRUCTION","Vil du virkelig avbryte byggingen av <item>? Kun <number> % av prisen vil bli refundert."
"TID_POPUP_CANCEL_UPGRADE_TITLE","Avbryte oppgradering?"
"TID_POPUP_CANCEL_UPGRADE","Vil du virkelig avbryte oppgraderingen av <item>? Kun <number> % av prisen vil bli refundert."
"TID_POPUP_CANCEL_CLEAR_TITLE","Stoppe fjerning?"
"TID_POPUP_CANCEL_CLEAR","Vil du virkelig stoppe fjerning av <item>?"
"TID_ALLIANCE_LEADERBOARDS","Toppklaner"
"TID_PLAYER_LEADERBOARDS","Toppspillere"
"TID_AVAILABLE_LOOT","Tilgjengelig utbytte:"
"TID_INFO","i"
"TID_ATTACK_BUTTON","Angrip"
"TID_ALLIANCE_SNEAK_PREVIEW","Gjenreis klanslottet for å låse opp klaner!\n\nKlanmedlemmer kan hjelpe hverandre og sende hverandre ekstra tropper og formler."
"TID_BUILD_TIME_INSTANT","Ingen"
"TID_BUILDING_CAP_REACHED","Du har allerede bygget det maksimale antallet av disse bygningene."
"TID_DIAMONDS_FOUND","Du fant <number> juveler i <name>!"
"TID_DIAMOND_FOUND","Du fant en juvel i <name>!"
"TID_SHOP_CATEGORY_DECOS","Dekorasjoner"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","Ressurser"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","Hær"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","Forsvar"
"TID_SHOP_CATEGORY_TREASURE","Skatt"
"TID_SHOP_CATEGORY_SHIELD","Skjold"
"TID_SHOP_CATEGORY_BUILDERS","Byggere"
"TID_TRAINING_WARRIORS","Krigere:"
"TID_TRAINING_SLOTS","Treningsspor:"
"TID_TOTAL_TRAINING_TIME","Total tid:"
"TID_FINISH_BUTTON","Fullfør"
"TID_TROOP_TRAINING_MAX","Maks"
"TID_UNCLOK_FROM_LABORATORY","Lås opp fra laboratorium"
"TID_NOT_ENOUGH_HOUSING_SPACE","Du har ikke nok plass i militærleirene!"
"TID_UNLOCK_BUILDING_MULTIPLE","Låser opp:"
"TID_UNLOCK_BARRACK_TROOP","Låser opp <name>"
"TID_REDUCE_TIME_BARRACK_TROOP","Reduserer treningstiden for:"
"TID_REDUCE_TIME_BARRACK_TROOP2","Ny treningstid: <num2>"
"TID_BUILDING_TEXT_FULL","Full!"
"TID_BUILDING_TEXT_TRAIN","Tren"
"TID_TRAINING_SLOT_STOPPED","Stoppet!"
"TID_BUILDING_TEXT_ALERT","!!!"
"TID_TRAIN_ALL_HOUSINGS_FULL","Alle leirene er fulle!"
"TID_TRAIN_ALL_HOUSINGS_FULL_INFO","Oppgrader eller bygg militærleirer for å få plass til flere soldater, eller send dem for å kjempe!"
"TID_BUTTON_FIGHT","Start!"
"TID_BATTLE_START_TIME","Kampen starter om:"
"TID_NEXT_MATCH","Neste"
"TID_END_BATTLE_BUTTON","Avslutt kampen"
"TID_SURRENDER_BUTTON","Overgi deg"
"TID_TROOP_UPGRADE_TIME","Total tid:"
"TID_MAX_TROOP_LEVEL","Maks nivå"
"TID_LEVEL_NUM","Nivå <number>"
"TID_BUTTON_UPGRADE_TROOPS","Driv forskning"
"TID_POPUP_UPGRADE_TROOP_TITLE","Velg hva som skal oppgraderes"
"TID_TROOP_ALREADY_AT_MAX_LEVEL","Enheten er allerede på maksimumsnivå!"
"TID_TROOP_UPGRADE_ALREADY_ONGOING","Oppgradering pågår allerede."
"TID_TROOP_UPGRADE_COMPLETED","Oppgradering fullført: <item> nivå <number>"
"TID_UNITS_LEFT","<number> igjen"
"TID_PLAYER_ATTACKING_YOU","Spillere som angriper deg:"
"TID_LOOT","Dine tapte ressurser:"
"TID_OUTCOME","Utfall:"
"TID_YOU_LOST","Forsvaret ditt tapte"
"TID_YOU_WIN","Forsvaret ditt vant"
"TID_REVENGE","Hevn"
"TID_JOINQUESTION","Vil du bli med?"
"TID_TAP_TO_EXPAND","Trykk for å utvide"
"TID_BUY_MISSING_RESOURCES_HEADER","Du trenger mer <resource>"
"TID_BUY_MISSING_RESOURCES_TEXT","Kjøpe manglende <count> <resource>?"
"TID_BUY_MISSING_RESOURCES_HEADER_TWO","Du trenger flere ressurser"
"TID_BUY_MISSING_RESOURCES_TEXT_TWO","Kjøpe de nødvendige <count> <resource> og <count2> <resource2>?"
"TID_BUY_RESOURCE_PACK_HEADER","Kjøpe <resource>?"
"TID_BUY_RESOURCE_PACK_TEXT","Er du sikker på at du vil kjøpe <count> <resource>?"
"TID_BUY_GUARD_HEADER","Kjøpe vakt?"
"TID_BUY_SHIELD_HEADER","Kjøpe skjold?"
"TID_BUY_SHIELD_TEXT","Er du sikker på at du vil kjøpe <name>?"
"TID_RESOURCE_PACK_LOCKED","Ikke nok lagerplass!"
"TID_STAR1","Helt rått!"
"TID_STAR2","Utmerket!"
"TID_STAR3","Perfekt!"
"TID_OVERALL_DAMAGE","Generell skade"
"TID_VILLAGE_GUARD_TITLE","Vakt:"
"TID_SHIELD_TITLE","Skjold:"
"TID_SHIELD_NONE","Ingen"
"TID_BATTLE_LOG","Kamphistorikk"
"TID_BATTLE_INBOX","Innboks"
"TID_VICTORY","Seier"
"TID_DEFEAT","Nederlag"
"TID_WHAT_YOU_GOT","Du fikk:"
"TID_TROOPS_USED","Soldater tapt:"
"TID_TOTAL_DAMAGE","Total skade:"
"TID_SCORE","Poeng"
"TID_YOU_HAVE_BEEN_ATTACKED","Høvding, landsbyen ble angrepet!"
"TID_YOU_HAVE_BEEN_ATTACKED_TITLE","Fienderaid"
"TID_YOU_HAVE_BEEN_ATTACKED_HEADER","Høvding, landsbyen ble angrepet mens du var borte!"
"TID_TUTORIAL_CANNON_1","Vær hilset, høvding! Vi har ventet på deg."
"TID_TUTORIAL_CANNON_2","Dette er den nye landsbyen din. Er den ikke flott? Livet her ville ha vært helt eventyrlig om det ikke var for ..."
"TID_TUTORIAL_CANNON_3","Å nei! det er nissehorden! Skynd deg! Vi må sette opp en kanon for å forsvare landsbyen!"
"TID_TUTORIAL_CANNON_4","Plasser kanonen midt i landsbyen. Vi må beskytte rådhuset!"
"TID_TUTORIAL_CANNON_5","Dette er ikke riktig tid å være sparsommelig på. Bruk noen grønne juveler for å øke farten!"
"TID_TUTORIAL_DEFEND_1","Grrr, der er de! Nissehorde, ANGRIIIP!"
"TID_TUTORIAL_DEFEND_1b","Grrrraaah, hva er dette? Enda et ynkelig menneske!"
"TID_TUTORIAL_DEFEND_2","Puh, det var nære på. Takk, høvding!"
"TID_TUTORIAL_DEFEND_4","Vi har bygget landsbyen over en energilinje, og dermed repareres kanonen automatisk over tid. Det er helt magisk!"
"TID_TUTORIAL_DEFEND_5","Grrr, GULL! Vi nisser elsker gull!"
"TID_TUTORIAL_DEFEND_BUTTON","Gi dem inn!"
"TID_TUTORIAL_WORKER_1","Jøye meg, bra jobbet! Nå må vi få landsbyen i kampberedskap."
"TID_TUTORIAL_WORKER_2","Hvis du leier en bygger til, kan du starte to konstruksjoner samtidig."
