"TID","DE"
"TID_ERROR_POP_UP_CONNECTION_LOST","Du hast die Verbindung zum Server verloren. Überprüfe deine Internetverbindung und versuche es erneut."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Erneut versuchen"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Jemand da?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Deine Verbindung wurde wegen Inaktivität getrennt."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Spiel neu laden"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Anmeldung fehlgeschlagen"
"TID_ERROR_POP_UP_LOGIN_FAILED","Bitte versuche es später erneut."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Erneut versuchen"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Aktualisierung verfügbar!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Gute Nachrichten! Eine neue Version des Spiels ist verfügbar."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Aktualisierung"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Fehler!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Gerät/Spiel und Server sind nicht synchron!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Spiel neu laden"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Wartung"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Tut uns leid, die Server werden gewartet. Bitte versuche es später erneut."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Erneut versuchen"
"TID_BUILDING_ALLIANCE_CASTLE","Clanburg"
"TID_BUILDING_ALLIANCE_MARKER","Clanbanner"
"TID_COMM_MAST","Funkturm"
"TID_TRAP_MINE","Bombe"
"TID_TRAP_EJECTOR","Sprungfalle"
"TID_SHOP_GUARD_2H","Schutz für 2 Stunden"
"TID_SHOP_SHIELD_1D","Schild für 1 Tag"
"TID_SHOP_SHIELD_2D","Schild für 2 Tage"
"TID_SHOP_SHIELD_7D","Schild für 1 Woche"
"TID_ALLIANCE_MAIN_BUTTON","Clan"
"TID_ALLIANCE_LIST_HEADER","Clan"
"TID_CREATE_ALLIANCE_BUTTON","Gründen"
"TID_LEAVE_ALLIANCE_BUTTON","Verlassen"
"TID_JOIN_ALLIANCE_TAB","Clan beitreten"
"TID_CREATE_ALLIANCE_TAB","Clan gründen"
"TID_MY_ALLIANCE_TAB","Mein Clan"
"TID_ALLIANCE_BUTTON_EDIT","Anpassen"
"TID_ALLIANCE_CREATE_NAME","Clanname:"
"TID_ALLIANCE_CREATE_DESCRIPTION","Beschreibung:"
"TID_ALLIANCE_CREATE_BADGE","Abzeichen:"
"TID_ALLIANCE_CREATE_TYPE","Clanart:"
"TID_ALLIANCE_BADGE_BROWSE","Durchsuchen"
"TID_ALLIANCE_TYPE_OPEN","Offen für alle"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Nur auf Einladung"
"TID_ALLIANCE_TYPE_CLOSED","Geschlossen"
"TID_TOO_SHORT_ALLIANCE_NAME","Clanname ist zu kurz!"
"TID_BACK_BUTTON","Zurück"
"TID_ALLIANCE_SELECT_BADGE","Clanabzeichen bearbeiten"
"TID_ALLIANCE_JOIN_BUTTON","Beitreten"
"TID_ALLIANCE_JOIN_OK","Du bist jetzt Mitglied des Clans <name>!"
"TID_ALLIANCE_CREATE_OK","Du hast erfolgreich einen neuen Clan gegründet!"
"TID_ALLIANCE_BUTTON_LEAVE","Verlassen"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","Clan verlassen?"
"TID_ALLIANCE_LEAVE_CONFIRMATION","Möchtest du wirklich gehen?"
"TID_ALLIANCE_ROLE_ADMIN","Ältester"
"TID_ALLIANCE_ROLE_LEADER","Anführer"
"TID_ALLIANCE_ROLE_MEMBER","Mitglied"
"TID_ALLIANCE_PROMOTE_BUTTON","Befördern zu: <role>"
"TID_ALLIANCE_DEMOTE_BUTTON","Degradieren zu: <role>"
"TID_ALLIANCE_ACCEPTED_BY","Angenommen von <name>"
"TID_ALLIANCE_REJECTED_BY","Abgelehnt von <name>"
"TID_ALLIANCE_REQUEST_SENT","Anfrage wurde gesendet!"
"TID_ALLIANCE_INVITATION_OK","Einladung erfolgreich gesendet."
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","Einladung nicht möglich! Spieler hat keine Clanburg."
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","Spieler ist bereits einem Clan beigetreten!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","Du hast diesen Spieler bereits eingeladen!"
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","Ich möchte deinem Clan beitreten."
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","Beitrittsanfrage annehmen?"
"TID_KICK_OUT_FROM_ALLIANCE","Rauswerfen"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","Zurücktreten?"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","<name> zum neuen Clanführer machen?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","Befördern?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","<name> zum Clanältesten befördern?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","Degradieren?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","<name> zum Clanmitglied degradieren?"
"TID_KICK_MEMBER_CONFIRMATION_TITLE","Verbannung!"
"TID_KICK_MEMBER_CONFIRMATION","<name> aus dem Clan werfen?"
"TID_VISIT_BUTTON","Besuchen"
"TID_VIEW_PROFILE_BUTTON","Profil"
"TID_INVITE_BUTTON","Einladen"
"TID_VIEW_ALLIANCE","Clan betrachten"
"TID_SETTINGS_LANGUAGE","Sprache"
"TID_SAVE_ALLIANCE_SETTINGS","Speichern"
"TID_STREAM_DONATE_TEXT","braucht Verstärkung"
"TID_STREAM_DONATE_BUTTON","Spenden"
"TID_ALLIANCE_DONATE_HEADER","Verstärkung spenden"
"TID_BUTTON_REQUEST_TROOPS","Anfragen"
"TID_TROOP_REQUEST_SENT","Anfrage wurde gesendet!"
"TID_ALLIANCE_STREAM_THANKS","Danke für die Verstärkung!"
"TID_ALLIANCE_TROOP_RECEIVED","Du hast Level <level> <troop> von <avatar> erhalten!"
"TID_BARBARIAN","Barbar"
"TID_ARCHER","Bogenschütze"
"TID_GIANT","Riese"
"TID_DRAGON","Drache"
"TID_PEKKA","P.E.K.K.A."
"TID_GOBLIN","Kobold"
"TID_WALL_BREAKER","Mauerbrecher"
"TID_GOBLIN_BALLOON","Ballon"
"TID_HEALER","Heiler"
"TID_WIZARD","Magier"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","Clanburg ist bereits voll!"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","Du musst warten, bevor du mehr Verstärkung anfordern kannst."
"TID_ALLIANCE_STREAM_REWARD","Du erhältst <number> EP"
"TID_HOUSING_TROOPS_INSIDE","Alle Truppen:"
"TID_UNIT_STORAGE_CAPACITY","Truppenkapazität: <number>"
"TID_REGENERATION_TIME","Regenerationszeit: <number> Minuten"
"TID_HITPOINTS","Trefferpunkte: <number>"
"TID_DPS","Schaden pro Sekunde: <number>"
"TID_BURST_SIZE","Salven: <number> Schüsse"
"TID_HEAL","Heilung: <number>"
"TID_TRAIN_COST","Ausbildungskosten: <number> <resource>"
"TID_RESOURCE_STORAGE_CAPACITY","Lagerkapazität: <number>"
"TID_PRODUCTION_RATE","Produktionsrate: <number> pro Stunde"
"TID_PRODUCTION_CAPACITY","Kapazität: <number>"
"TID_TRAINING_TIME","Ausbildungsdauer: <number>"
"TID_TRAINING_TIME_REDUCTION","Ausbildungsdauer-Verkürzung: <number>"
"TID_HOUSING_INFO","Deine Truppen sind in Armeelagern stationiert. Baue mehr Lager und verbessere diese, um eine mächtige Armee aufzustellen."
"TID_TOWN_HALL_INFO","Dies ist das Herz deines Dorfs. Durch das Verbessern deines Rathauses schaltest du neue Verteidigungsbauten, Gebäude, Fallen und vieles mehr frei.\n\nZerstörst du das Rathaus eines Gegners, gewinnst du den Kampf und erhältst einen Stern. Zerstörst du 50 % der feindlichen Gebäude, erhältst du einen zweiten Stern, während du für die komplette Zerstörung (100 %) drei Sterne erhältst.\nAber pass auf: Auch deine Gegner haben es auf dein Rathaus abgesehen!\nFür maximalen Schutz sollte sich dein Rathaus in der Dorfmitte befinden und durch Mauern, Fallen und Verteidigungsbauten geschützt sein. Deine Gegner sind heimtückisch und können von jeder Seite angreifen!"
"TID_ELIXIR_PUMP_INFO","Elixier wird aus Kraftlinien gepumpt, die unter deinem Dorf verlaufen. Verbessere deine Elixiersammler, um die Elixierproduktion zu erhöhen."
"TID_ELIXIR_STORAGE_INFO","Diese Lager enthalten das aus dem Untergrund gepumpte Elixier. Verbessere sie, damit du mehr Elixier lagern kannst."
"TID_GOLD_MINE_INFO","Die Goldmine produziert Gold. Verbessere sie, damit sich ihre Produktion und Lagerkapazität erhöht."
"TID_GOLD_STORAGE_INFO","Hier wird all dein kostbares Gold gelagert. Lass bloß nicht die hinterhältigen Kobolde in die Nähe! Verbessere das Lager, um seine Kapazität und seine Widerstandsfähigkeit gegen Angriffe zu erhöhen."
"TID_BARRACK_INFO","In der Kaserne kannst du Truppen ausbilden, um deine Feinde anzugreifen. Verbessere die Kaserne, um bessere Einheiten freizuschalten, mit denen du gigantische Kämpfe gewinnen kannst."
"TID_BASIC_TURRET_INFO","Kanonen eignen sich zur Punktverteidigung. Verbessere Kanonen, um ihre Feuerkraft zu erhöhen. Beachte jedoch, dass deine Kanonen nicht schießen können, während sie verbessert werden!"
"TID_ARCHER_TOWER_INFO","Bogenschützentürme haben eine höhere Reichweite als Kanonen, und im Gegensatz zu Kanonen können sie fliegende Feinde angreifen."
"TID_WIZARD_TOWER_INFO","Die ultimative arkane Verteidigung! Turmmagier wirken mächtige Flächenzauber sowohl gegen Gegner in der Luft als auch am Boden."
"TID_TESLA_TOWER_INFO","Stelle mit dem Verborgenen Tesla eine tödliche Falle! Unsere Magier haben in jedem dieser raffinierten Türme eine Sturmwolke gefangen. Wenn ein Gegner nahe genug ist, kommt der Turm zum Vorschein und röstet ihn mit Hochspannung!"
"TID_AIR_DEFENSE_INFO","Dieser Luftverteidigungsturm ist tödlich für fliegende Feinde, kann aber keine Gegner auf dem Boden anvisieren. Platziere ihn klug, um so viel Luftraum wie möglich abzudecken."
"TID_MORTAR_INFO","Der Minenwerfer kann mit der Flächenwirkung seiner Geschosse ganze Feindeshorden niedermähen. Lass Feinde nicht zu nah an ihn heran!"
"TID_ALLIANCE_CASTLE_INFO","In deiner Clanburg befinden sich deine Schatzkammer sowie eventuell Verstärkungstruppen oder Zauber, die deine Clankameraden dir geschickt haben."
"TID_WORKER_INFO","Ohne Bauarbeiter geht hier gar nichts! Du kannst mehr Bauarbeiter einstellen, um mehrere Bauprojekte zu beginnen, oder die Arbeit beschleunigen, indem du grüne Juwelen einsetzt."
"TID_LABORATORY_INFO","Welches dunkle Geheimnis verbergen die Alchemisten in ihrem Labor? Keiner traut sich nachzusehen. Wir wissen nur, dass ihre Forschung unsere Zauber und Truppen härter, besser, schneller und stärker macht!"
"TID_STREAM_SENDER_YOU","Du"
"TID_SHIELD_ACTIVATED","Schild des Gegners für <hours> Stunden aktiviert"
"TID_STREAM_ENTRY_AGE","vor <time>"
"TID_UPGRADE_WINDOW_NOTE","Hinweis!"
"TID_OBSTACLE_CLEAR_TIME","Entfernungsdauer"
"TID_UPGRADE_TIME","Verbesserungsdauer"
"TID_BUILD_TIME","Baudauer:"
"TID_GEAR_UP_TIME","Dauer (Weiterentw.)"
"TID_UNLOCK_BUILDINGS","Schaltet Folgendes frei:"
"TID_REQUIRED_EXP_LEVEL","Erfahrungslevel <number> erforderlich"
"TID_REQUIRED_TOWN_HALL_LEVEL","Rathaus auf Level <number> erforderlich"
"TID_REQUIRED_BUILDERS_HALL_LEVEL","Meisterhütte auf Level <number> benötigt"
"TID_REQUIRED_CASTLE_LEVEL","Burg auf Level <number> erforderlich"
"TID_REQUIRED_BARRACK_LEVEL","Kaserne auf Level <number> erforderlich"
"TID_REQUIRED_DARK_BARRACK_LEVEL","Dunkle Kaserne auf Level <number> benötigt"
"TID_REQUIRED_LABORATORY_LEVEL","Labor auf Level <number> erforderlich"
"TID_INFO_PREFERRED_TARGET","Bevorzugtes Ziel:"
"TID_PREFERRED_TARGET_ANY","Egal"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","(Schaden x<number>)"
"TID_INFO_TARGET_TYPE","Ziele:"
"TID_INFO_DAMAGE_TYPE","Schadensart:"
"TID_INFO_HEAL_TYPE","Heilungsart:"
"TID_INFO_HOUSING","Wohnraum:"
"TID_INFO_TRAINING_TIME","Ausbildungsdauer:"
"TID_INFO_RANGE","Reichweite:"
"TID_INFO_TARGET_TYPE_GROUND","Boden"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","Boden und Luft"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","Boden oder Luft"
"TID_INFO_TARGET_TYPE_AIR","Luft"
"TID_INFO_DAMAGE_TYPE_AOE","Flächenwirkung"
"TID_INFO_DAMAGE_TYPE_SINGLE","Einzelziel"
"TID_INFO_RANGE_VALUE","<number> Felder"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","<item> auf Level <level> verbessert"
"TID_LOCAL_NOTIFICATION_BUILDING_READY","Bau von <item> abgeschlossen"
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","Sternebonus verfügbar! Auf in den Kampf!"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","Häuptling, unser Schild ist abgelaufen!"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","Hoppla! Hast du vergessen, deine Armee auszubilden?"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","Hoppla! Hast du vergessen, deine Zauber zu brauen?"
"TID_NEW","Neu"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","Bau abbrechen?"
"TID_POPUP_CANCEL_CONSTRUCTION","Möchtest du den Bau von <item> wirklich abbrechen? Nur <number> % der Kosten werden erstattet."
"TID_POPUP_CANCEL_UPGRADE_TITLE","Verbesserung abbrechen?"
"TID_POPUP_CANCEL_UPGRADE","Möchtest du die Verbesserung von <item> wirklich abbrechen? Nur <number> % der Kosten werden erstattet."
"TID_POPUP_CANCEL_CLEAR_TITLE","Entfernen abbrechen?"
"TID_POPUP_CANCEL_CLEAR","Möchtest du das Entfernen von <item> wirklich abbrechen?"
"TID_ALLIANCE_LEADERBOARDS","Beste Clans"
"TID_PLAYER_LEADERBOARDS","Beste Spieler"
"TID_AVAILABLE_LOOT","Verfügbare Beute:"
"TID_INFO","i"
"TID_ATTACK_BUTTON","Angreifen"
"TID_ALLIANCE_SNEAK_PREVIEW","Schalte Clans frei, indem du die Clanburg wieder aufbaust!\n\nClankameraden helfen einander und schicken sich Truppen und Zauber zur Verstärkung."
"TID_BUILD_TIME_INSTANT","Keine"
"TID_BUILDING_CAP_REACHED","Du hast bereits die maximale Anzahl dieser Gebäude errichtet."
"TID_DIAMONDS_FOUND","Du hast hier <number> Juwelen gefunden: <name>!"
"TID_DIAMOND_FOUND","Du hast hier ein Juwel gefunden: <name>!"
"TID_SHOP_CATEGORY_DECOS","Dekorationen"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","Ressourcen"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","Armee"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","Verteidigung"
"TID_SHOP_CATEGORY_TREASURE","Schätze"
"TID_SHOP_CATEGORY_SHIELD","Schilde"
"TID_SHOP_CATEGORY_BUILDERS","Bauarbeiter"
"TID_TRAINING_WARRIORS","Krieger:"
"TID_TRAINING_SLOTS","Ausbildungsplätze:"
"TID_TOTAL_TRAINING_TIME","Gesamtdauer:"
"TID_FINISH_BUTTON","Beenden"
"TID_TROOP_TRAINING_MAX","Max."
"TID_UNCLOK_FROM_LABORATORY","Im Labor freischalten"
"TID_NOT_ENOUGH_HOUSING_SPACE","Du hast nicht genug Platz in den Armeelagern!"
"TID_UNLOCK_BUILDING_MULTIPLE","Schaltet frei:"
"TID_UNLOCK_BARRACK_TROOP","Schaltet <name> frei"
"TID_REDUCE_TIME_BARRACK_TROOP","Verringert Ausbildungsdauer für:"
"TID_REDUCE_TIME_BARRACK_TROOP2","Neue Ausbildungsdauer: <num2>"
"TID_BUILDING_TEXT_FULL","Voll!"
"TID_BUILDING_TEXT_TRAIN","Ausbilden"
"TID_TRAINING_SLOT_STOPPED","Gestoppt!"
"TID_BUILDING_TEXT_ALERT","!!!"
"TID_TRAIN_ALL_HOUSINGS_FULL","Alle Lager voll!"
"TID_TRAIN_ALL_HOUSINGS_FULL_INFO","Verbessere Armeelager oder baue neue, um mehr Truppen zu beherbergen - oder schicke sie in den Kampf!"
"TID_BUTTON_FIGHT","Los!"
"TID_BATTLE_START_TIME","Kampf beginnt in:"
"TID_NEXT_MATCH","Weiter"
"TID_END_BATTLE_BUTTON","Kampf beenden"
"TID_SURRENDER_BUTTON","Aufgeben"
"TID_TROOP_UPGRADE_TIME","Gesamtdauer:"
"TID_MAX_TROOP_LEVEL","Max. Level"
"TID_LEVEL_NUM","Level <number>"
"TID_BUTTON_UPGRADE_TROOPS","Forschen"
"TID_POPUP_UPGRADE_TROOP_TITLE","Wähle, was du verbessern möchtest"
"TID_TROOP_ALREADY_AT_MAX_LEVEL","Einheit hat das maximale Level erreicht!"
"TID_TROOP_UPGRADE_ALREADY_ONGOING","Verbesserung erfolgt bereits."
"TID_TROOP_UPGRADE_COMPLETED","Verbesserung abgeschlossen: <item> Level <number>"
"TID_UNITS_LEFT","Noch <number>"
"TID_PLAYER_ATTACKING_YOU","Dich angreifende Spieler:"
"TID_LOOT","Du hast Ressourcen verloren:"
"TID_OUTCOME","Resultat:"
"TID_YOU_LOST","Verteidigung verloren"
"TID_YOU_WIN","Verteidigung gewonnen"
"TID_REVENGE","Vergeltung"
"TID_JOINQUESTION","Möchtest du beitreten?"
"TID_TAP_TO_EXPAND","Zum Erweitern antippen"
"TID_BUY_MISSING_RESOURCES_HEADER","Du brauchst mehr <resource>"
"TID_BUY_MISSING_RESOURCES_TEXT","Fehlende <count> <resource> kaufen?"
"TID_BUY_MISSING_RESOURCES_HEADER_TWO","Du brauchst mehr Ressourcen."
"TID_BUY_MISSING_RESOURCES_TEXT_TWO","Fehlende <count> <resource> und <count2> <resource2> kaufen?"
"TID_BUY_RESOURCE_PACK_HEADER","<resource> kaufen?"
"TID_BUY_RESOURCE_PACK_TEXT","Möchtest du wirklich <count> <resource> kaufen?"
"TID_BUY_GUARD_HEADER","Schutz kaufen?"
"TID_BUY_SHIELD_HEADER","Schild kaufen?"
"TID_BUY_SHIELD_TEXT","Möchtest du wirklich den <name> kaufen?"
"TID_RESOURCE_PACK_LOCKED","Nicht genug Lagerplatz!"
"TID_STAR1","Großartig!"
"TID_STAR2","Fantastisch!"
"TID_STAR3","Perfekt!"
"TID_OVERALL_DAMAGE","Gesamtschaden"
"TID_VILLAGE_GUARD_TITLE","Schutz:"
"TID_SHIELD_TITLE","Schild:"
"TID_SHIELD_NONE","Keine"
"TID_BATTLE_LOG","Kampflog"
"TID_BATTLE_INBOX","Posteingang"
"TID_VICTORY","Sieg"
"TID_DEFEAT","Niederlage"
"TID_WHAT_YOU_GOT","Du erhältst:"
"TID_TROOPS_USED","Eingesetzte Truppen:"
"TID_TOTAL_DAMAGE","Gesamtschaden:"
"TID_SCORE","Punkte"
"TID_YOU_HAVE_BEEN_ATTACKED","Häuptling, unser Dorf wurde angegriffen!"
"TID_YOU_HAVE_BEEN_ATTACKED_TITLE","Feindlicher Überfall"
"TID_YOU_HAVE_BEEN_ATTACKED_HEADER","Häuptling, das Dorf wurde während deiner Abwesenheit angegriffen!"
