"TID","MS"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Tidak dapat menyambung kepada pelayan. Periksa sambungan internet dan cuba lagi."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Cuba lagi"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Sambungan hilang"
"TID_ERROR_POP_UP_CONNECTION_LOST","Anda telah kehilangan sambungan dengan pelayan. Periksa sambungan internet anda dan cuba lagi."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Cuba lagi"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Ada sesiapa di situ?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Anda telah dinyahsambungkan kerana tiada aktiviti."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Muat semula permainan"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Log masuk gagal"
"TID_ERROR_POP_UP_LOGIN_FAILED","Sila cuba lagi kemudian."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Cuba lagi"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Kemas kini tersedia!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Berita baik! Versi baru permainan tersedia."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Kemas kini"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Ralat!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Klien dan pelayan di luar penyegerakan!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Muat semula permainan"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Rehat penyelenggaraan"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Maaf, pelayan sedang diselenggara. Sila cuba lagi kemudian."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Cuba lagi"
"TID_BUILDING_ALLIANCE_CASTLE","Istana Klan"
"TID_BUILDING_ALLIANCE_MARKER","Bendera Klan"
"TID_COMM_MAST","Menara Radio"
"TID_TRAP_MINE","Bom"
"TID_TRAP_EJECTOR","Perangkap Spring"
"TID_SHOP_GUARD_2H","Pengawal Dua Jam"
"TID_SHOP_SHIELD_1D","Pelindung Satu Hari"
"TID_SHOP_SHIELD_2D","Pelindung Dua Hari"
"TID_SHOP_SHIELD_7D","Pelindung Satu Minggu"
"TID_ALLIANCE_MAIN_BUTTON","Klan"
"TID_ALLIANCE_LIST_HEADER","Klan"
"TID_CREATE_ALLIANCE_BUTTON","Cipta"
"TID_LEAVE_ALLIANCE_BUTTON","Tinggalkan"
"TID_JOIN_ALLIANCE_TAB","Sertai Klan"
"TID_CREATE_ALLIANCE_TAB","Cipta Klan"
"TID_MY_ALLIANCE_TAB","Klan Saya"
"TID_ALLIANCE_BUTTON_EDIT","Edit"
"TID_ALLIANCE_CREATE_NAME","Nama Klan:"
"TID_ALLIANCE_CREATE_DESCRIPTION","Perihalan:"
"TID_ALLIANCE_CREATE_BADGE","Lencana:"
"TID_ALLIANCE_CREATE_TYPE","Jenis Klan:"
"TID_ALLIANCE_BADGE_BROWSE","Semak imbas"
"TID_ALLIANCE_TYPE_OPEN","Sesiapa boleh sertai"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Jemput sahaja"
"TID_ALLIANCE_TYPE_CLOSED","Ditutup"
"TID_TOO_SHORT_ALLIANCE_NAME","Nama klan terlalu pendek!"
"TID_BACK_BUTTON","Kembali"
"TID_ALLIANCE_SELECT_BADGE","Edit Lencana Klan"
"TID_ALLIANCE_JOIN_BUTTON","Sertai"
"TID_ALLIANCE_JOIN_OK","Kini, anda ahli klan <name>!"
"TID_ALLIANCE_CREATE_OK","Anda berjaya menemui klan baru!"
"TID_ALLIANCE_BUTTON_LEAVE","Tinggalkan"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","Tinggalkan Klan?"
"TID_ALLIANCE_LEAVE_CONFIRMATION","Anda benar-benar ingin meninggalkan klan?"
"TID_ALLIANCE_ROLE_ADMIN","Orang yang lebih tua"
"TID_ALLIANCE_ROLE_LEADER","Ketua"
"TID_ALLIANCE_ROLE_MEMBER","Ahli"
"TID_ALLIANCE_PROMOTE_BUTTON","Naikkan pangkat kepada <role>"
"TID_ALLIANCE_DEMOTE_BUTTON","Turunkan pangkat kepada <role>"
"TID_ALLIANCE_ACCEPTED_BY","Diterima oleh <name>"
"TID_ALLIANCE_REJECTED_BY","Ditolak oleh <name>"
"TID_ALLIANCE_REQUEST_SENT","Permintaan dihantar!"
"TID_ALLIANCE_INVITATION_OK","Jemputan berjaya dihantar."
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","Tidak dapat menjemput, pemain tidak mempunyai Istana Klan!"
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","Pemain telah menyertai klan!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","Anda telah menjemput pemain itu!"
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","Saya ingin menyertai klan anda"
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","Terima permintaan untuk menyertai?"
"TID_KICK_OUT_FROM_ALLIANCE","Keluarkan"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","Turun ke Bawah?"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","Buat <name> Ketua Klan baru?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","Naikkan pangkat?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","Naikkan pangkat <name> kepada Klan yang Lebih Tua?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","Turunkan Pangkat?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","Turunkan pangkat <name> kepada Ahli Klan?"
"TID_KICK_MEMBER_CONFIRMATION_TITLE","Penyingkiran!"
"TID_KICK_MEMBER_CONFIRMATION","Keluarkan <name> daripada Klan?"
"TID_VISIT_BUTTON","Lawatan"
"TID_VIEW_PROFILE_BUTTON","Profil"
"TID_INVITE_BUTTON","Jemput"
"TID_VIEW_ALLIANCE","Lihat Klan"
"TID_SETTINGS_LANGUAGE","Bahasa"
"TID_SAVE_ALLIANCE_SETTINGS","Simpan"
"TID_STREAM_DONATE_TEXT","memerlukan bantuan"
"TID_STREAM_DONATE_BUTTON","Derma"
"TID_ALLIANCE_DONATE_HEADER","Derma Peneguhan"
"TID_BUTTON_REQUEST_TROOPS","Minta"
"TID_TROOP_REQUEST_SENT","Permintaan dihantar!"
"TID_ALLIANCE_STREAM_THANKS","Terima kasih atas bantuan!"
"TID_ALLIANCE_TROOP_RECEIVED","Anda mendapat tahap <level> <troop> dari <avatar>!"
"TID_BARBARIAN","Orang Gasar"
"TID_ARCHER","Pemanah"
"TID_GIANT","Gergasi"
"TID_DRAGON","Naga"
"TID_PEKKA","P.E.K.K.A"
"TID_GOBLIN","Goblin"
"TID_WALL_BREAKER","Pemecah Benteng"
"TID_GOBLIN_BALLOON","Belon"
"TID_HEALER","Penyembuh"
"TID_WIZARD","Ahli Sihir"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","Istana Klan sudah penuh!"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","Anda perlu menunggu sebelum meminta bantuan selanjutnya."
"TID_ALLIANCE_STREAM_REWARD","Anda mendapat <number>xp"
"TID_HOUSING_TROOPS_INSIDE","Semua askar:"
"TID_UNIT_STORAGE_CAPACITY","Kapasiti askar: <number>"
"TID_REGENERATION_TIME","Masa penjanaan semula: <number> Minit"
"TID_HITPOINTS","Nilai nyawa: <number>"
"TID_DPS","Kerosakan setiap saat: <number>"
"TID_BURST_SIZE","Letusan api: <number> tembakan"
"TID_HEAL","Sembuh: <number>"
"TID_TRAIN_COST","Kos Latihan: <number> <resource>"
"TID_RESOURCE_STORAGE_CAPACITY","Kapasiti Penyimpanan: <number>"
"TID_PRODUCTION_RATE","Kadar Pengeluaran: <number> setiap jam"
"TID_PRODUCTION_CAPACITY","Kapasiti: <number>"
"TID_TRAINING_TIME","Masa Latihan: <number>"
"TID_TRAINING_TIME_REDUCTION","Pengurangan Masa Latihan: <number>"
"TID_HOUSING_INFO","Askar anda ditempatkan di Kem Tentera. Bina lebih banyak kem dan naik tarafnya untuk mengumpulkan tentera berkuasa."
"TID_TOWN_HALL_INFO","Ini ialah bahagian tengah kampung anda. Menaik taraf Dewan Bandaran membuka kunci pertahanan baru, perangkap dan banyak lagi.\nMemusnahkan Dewan Bandaran pihak lawan membuatkan anda memenangi pertempuran dan anda mendapat satu Bintang. Memusnahkan 50% bangunan musuh memberikan anda Bintang kedua, sementara itu, 100% ganjaran penghapusan tiga Bintang penuh.\nBerjaga-jaga, musuh anda akan cuba memusnahkan Dewan Bandaran anda juga!\nUntuk perlindungan maksimum, pastikan Dewan Bandaran anda terletak di tengah kampung anda dan lindunginya dengan benteng, perangkap dan bangunan pertahanan. Musuh anda licik dan boleh menyerang dari mana-mana bahagian!"
"TID_ELIXIR_PUMP_INFO","Eliksir dipam daripada Ley Lines yang mengalir di bawah kampung anda. Naik taraf Pengumpul Eliksir anda untuk memaksimumkan pengeluaran eliksir."
"TID_ELIXIR_STORAGE_INFO","Penyimpanan ini mengandungi eliksir yang dipam dari bawah tanah. Naik taraf untuk meningkatkan amaun maksimum eliksir yang anda boleh simpan."
"TID_GOLD_MINE_INFO","Lombong Emas menghasilkan emas. Naik taraf untuk menggalakkan pengeluaran dan kapasiti penyimpan emas."
"TID_GOLD_STORAGE_INFO","Semua emas anda yang berharga disimpan di sini. Jangan biarkan goblin yang licik menghampiri! Naik taraf penyimpanan untuk menambah kapasiti dan ketahanannya daripada serangan."
"TID_BARRACK_INFO","Berek membolehkan anda melatih askar untuk menyerang musuh anda. Naik taraf Berek untuk membuka kunci unit lebih maju yang boleh memenangi pertempuran epik."
"TID_BASIC_TURRET_INFO","Meriam hebat untuk mata pertahanan. Naik taraf meriam untuk menambah kuasa tembakannya tetapi berjaga-jaga kerana turet pertahanan tidak boleh menembak semasa dinaik taraf!"
"TID_ARCHER_TOWER_INFO","Menara Pemanah mempunyai jarak lebih jauh daripada meriam dan tidak seperti meriam, ia boleh menyerang musuh berterbangan."
"TID_WIZARD_TOWER_INFO","Pertahanan Penuh Misteri Utama! Ahli Sihir Menara membuat sihir kesan kawasan berkuasa yang menyasarkan askar berterbangan dan daratan."
"TID_TESLA_TOWER_INFO","Letakkan perangkap maut menggunakan Tesla Tersembunyi! Ahli Sihir kami telah membuat perangkap awan petir ke dalam setiap menara licik ini. Apabila musuh berjalan atau terbang cukup dekat, menara melantunkannya dan membakarnya menggunakan kuasa Elektrik!"
"TID_AIR_DEFENSE_INFO","Menara anti-udara ini membunuh musuh berterbangan tetapi tidak dapat menyasarkan musuh di darat. Tempatkannya dengan bijak untuk meliputi sebanyak mungkin ruang udara yang boleh."
"TID_MORTAR_INFO","Mortar boleh memberondong habis segerombolan musuh dengan kerosakan percikan daripada cangkerangnya. Jangan biarkan musuh datang terlalu hampir dengannya!"
"TID_ALLIANCE_CASTLE_INFO","Istana Klan menempatkan harta karun anda dan sebarang askar peneguhan atau sihir dihantar oleh rakan klan anda."
"TID_WORKER_INFO","Tiada apa dapat dilakukan di sini tanpa Pembina! Anda boleh mengupah lebih ramai pembina untuk memulakan beberapa projek pembinaan, atau mempercepatkan kerja mereka menggunakan permata hijau."
"TID_LABORATORY_INFO","Apa rahsia kejahatan yang Ahli Alkimia sembunyikan dalam Makmal mereka? Tiada siapa berani lihat. Apa yang kami tahu ialah penyelidikan mereka membuatkan sihir dan askar kami lebih sukar, lebih baik, lebih cepat dan lebih kuat!"
"TID_STREAM_SENDER_YOU","Anda"
"TID_SHIELD_ACTIVATED","Pelindung pihak lawan diaktifkan selama <hours> jam"
"TID_STREAM_ENTRY_AGE","<time> yang lalu."
"TID_UPGRADE_WINDOW_NOTE","Perhatian!"
"TID_OBSTACLE_CLEAR_TIME","Masa Pengeluaran"
"TID_UPGRADE_TIME","Masa naik taraf"
"TID_BUILD_TIME","Masa binaan"
"TID_GEAR_UP_TIME","Masa Berlengkap"
"TID_UNLOCK_BUILDINGS","Membuka Kunci Bangunan:"
"TID_REQUIRED_EXP_LEVEL","Pengalaman Tahap <number> Diperlukan"
"TID_REQUIRED_TOWN_HALL_LEVEL","Dewan Bandaran Tahap <number> Diperlukan"
"TID_REQUIRED_BUILDERS_HALL_LEVEL","Dewan Pembina Tahap <number> Diperlukan"
"TID_REQUIRED_CASTLE_LEVEL","Istana Tahap <number> Diperlukan"
"TID_REQUIRED_BARRACK_LEVEL","Berek Tahap <number> Diperlukan"
"TID_REQUIRED_DARK_BARRACK_LEVEL","Berek Kejahatan Tahap <number> Diperlukan"
"TID_REQUIRED_LABORATORY_LEVEL","Makmal Tahap <number> Diperlukan"
"TID_INFO_PREFERRED_TARGET","Sasaran kegemaran:"
"TID_PREFERRED_TARGET_ANY","Mana-mana"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","(Kerosakan x<number>)"
"TID_INFO_TARGET_TYPE","Sasaran:"
"TID_INFO_DAMAGE_TYPE","Jenis kerosakan:"
"TID_INFO_HEAL_TYPE","Masa sembuh:"
"TID_INFO_HOUSING","Ruang Penempatan:"
"TID_INFO_TRAINING_TIME","Masa Latihan:"
"TID_INFO_RANGE","Julat:"
"TID_INFO_TARGET_TYPE_GROUND","Darat"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","Darat & Udara"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","Darat atau Udara"
"TID_INFO_TARGET_TYPE_AIR","Udara"
"TID_INFO_DAMAGE_TYPE_AOE","Kawasan Percikan"
"TID_INFO_DAMAGE_TYPE_SINGLE","Satu Sasaran"
"TID_INFO_RANGE_VALUE","<number> Jubin"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","<item> dinaik taraf ke tahap <level>"
"TID_LOCAL_NOTIFICATION_BUILDING_READY","<item> pembinaan selesai"
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","Bonus bintang tersedia! Masa untuk bertempur!"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","Ketua, perisai kami telah kehabisan!"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","Alamak, anda terlupa untuk melatih tentera anda?"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","Alamak, anda terlupa untuk membru sihir anda?"
"TID_NEW","Baru"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","Hentikan pembinaan?"
"TID_POPUP_CANCEL_CONSTRUCTION","Anda benar-benar ingin berhenti membina <item>? Hanya <number>% daripada kos akan dibayar balik."
"TID_POPUP_CANCEL_UPGRADE_TITLE","Hentikan naik taraf?"
"TID_POPUP_CANCEL_UPGRADE","Anda benar-benar ingin berhenti menaik taraf <item>? Hanya <number>% daripada kos akan dibayar balik."
"TID_POPUP_CANCEL_CLEAR_TITLE","Hentikan pembuangan?"
"TID_POPUP_CANCEL_CLEAR","Anda benar-benar ingin berhenti membuang <item>?"
"TID_ALLIANCE_LEADERBOARDS","Klan Teratas"
"TID_PLAYER_LEADERBOARDS","Pemain Teratas"
"TID_AVAILABLE_LOOT","Rampasan yang Ada:"
"TID_INFO","saya"
"TID_ATTACK_BUTTON","Serang"
"TID_ALLIANCE_SNEAK_PREVIEW","Buka kunci Klan dengan membina semula Istana Klan!\n\nRakan klan membantu satu sama lain dan boleh menghantar askar dan sihir bantuan."
"TID_BUILD_TIME_INSTANT","Tiada"
"TID_BUILDING_CAP_REACHED","Anda telah membina amaun maksimum bangunan ini."
"TID_DIAMONDS_FOUND","Anda menemui <number> permata dalam <name>!"
"TID_DIAMOND_FOUND","Anda menemui permata dalam <name>!"
"TID_SHOP_CATEGORY_DECOS","Hiasan"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","Sumber"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","Tentera"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","Pertahanan"
"TID_SHOP_CATEGORY_TREASURE","Harta Karun"
"TID_SHOP_CATEGORY_SHIELD","Pelindung"
"TID_SHOP_CATEGORY_BUILDERS","Pembina"
"TID_TRAINING_WARRIORS","Pahlawan:"
"TID_TRAINING_SLOTS","Slot latihan:"
"TID_TOTAL_TRAINING_TIME","Jumlah masa:"
"TID_FINISH_BUTTON","Selesai"
"TID_TROOP_TRAINING_MAX","Maks"
"TID_UNCLOK_FROM_LABORATORY","Buka Kunci dari Makmal"
"TID_NOT_ENOUGH_HOUSING_SPACE","Anda tidak mempunyai cukup bilik dalam Kem Tentera!"
"TID_UNLOCK_BUILDING_MULTIPLE","Membuka kunci:"
"TID_UNLOCK_BARRACK_TROOP","Membuka kunci <name>"
"TID_REDUCE_TIME_BARRACK_TROOP","Mengurangkan masa latihan selama:"
"TID_REDUCE_TIME_BARRACK_TROOP2","Masa latihan baru: <num2>"
"TID_BUILDING_TEXT_FULL","Penuh!"
"TID_BUILDING_TEXT_TRAIN","Latih"
"TID_TRAINING_SLOT_STOPPED","Dihentikan!"
"TID_BUILDING_TEXT_ALERT","!!!"
"TID_TRAIN_ALL_HOUSINGS_FULL","Semua Kem Penuh!"
"TID_TRAIN_ALL_HOUSINGS_FULL_INFO","Naik taraf atau bina Kem Tentera untuk menempatkan lebih ramai askar atau menghantar mereka untuk berlawan!"
"TID_BUTTON_FIGHT","Mula!"
"TID_BATTLE_START_TIME","Pertempuran bermula dalam:"
"TID_NEXT_MATCH","Seterusnya"
"TID_END_BATTLE_BUTTON","Tamatkan"
"TID_SURRENDER_BUTTON","Menyerah Kalah"
"TID_TROOP_UPGRADE_TIME","Jumlah masa:"
"TID_MAX_TROOP_LEVEL","Tahap Maksimum"
"TID_LEVEL_NUM","Tahap <number>"
"TID_BUTTON_UPGRADE_TROOPS","Selidik"
"TID_POPUP_UPGRADE_TROOP_TITLE","Pilih apa yang hendak dinaik taraf"
"TID_TROOP_ALREADY_AT_MAX_LEVEL","Unit sudah berada pada tahap maksimum!"
"TID_TROOP_UPGRADE_ALREADY_ONGOING","Naik taraf sudah dijalankan."
"TID_TROOP_UPGRADE_COMPLETED","Naik taraf selesai: <item> Tahap <number>"
"TID_UNITS_LEFT","Berbaki <number>"
"TID_PLAYER_ATTACKING_YOU","Pemain menyerang anda:"
"TID_LOOT","Sumber anda yang hilang:"
"TID_OUTCOME","Hasil:"
"TID_YOU_LOST","Pertahanan Anda Kalah"
"TID_YOU_WIN","Pertahanan Anda Menang"
"TID_REVENGE","Tuntut Bela"
"TID_JOINQUESTION","Ingin menyertai?"
"TID_TAP_TO_EXPAND","Ketik untuk kembangkan"
"TID_BUY_MISSING_RESOURCES_HEADER","Anda memerlukan lebih banyak <resource>"
"TID_BUY_MISSING_RESOURCES_TEXT","Beli <count> <resource> yang tiada?"
"TID_BUY_MISSING_RESOURCES_HEADER_TWO","Anda memerlukan lebih banyak sumber"
"TID_BUY_MISSING_RESOURCES_TEXT_TWO","Beli <count> <resource> dan <count2> <resource2> yang tiada?"
"TID_BUY_RESOURCE_PACK_HEADER","Beli <resource>?"
"TID_BUY_RESOURCE_PACK_TEXT","Anda pasti ingin membeli <count> <resource>?"
"TID_BUY_GUARD_HEADER","Beli Pengawal?"
"TID_BUY_SHIELD_HEADER","Beli Pelindung?"
"TID_BUY_SHIELD_TEXT","Anda pasti ingin membeli <name>?"
"TID_RESOURCE_PACK_LOCKED","Ruang penyimpanan tidak mencukupi!"
"TID_STAR1","Hebat!"
"TID_STAR2","Cemerlang!"
"TID_STAR3","Sempurna!"
"TID_OVERALL_DAMAGE","Keseluruhan Kerosakan"
"TID_VILLAGE_GUARD_TITLE","Pengawal:"
"TID_SHIELD_TITLE","Pelindung:"
"TID_SHIELD_NONE","Tiada"
"TID_BATTLE_LOG","Log Perang"
"TID_BATTLE_INBOX","Peti Masuk"
"TID_VICTORY","Kemenangan"
"TID_DEFEAT","Kalah"
"TID_WHAT_YOU_GOT","Anda mendapat:"
"TID_TROOPS_USED","Askar dikerahkan:"
"TID_TOTAL_DAMAGE","Jumlah kerosakan:"
"TID_SCORE","Skor"
