"TID","ES"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Conexión perdida"
"TID_ERROR_POP_UP_CONNECTION_LOST","Se ha perdido la conexión con el servidor. Comprueba tu conexión a Internet y vuelve a intentarlo."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Reintentar"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","¿Estás ahí?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Se te ha desconectado por inactividad."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Volver a cargar"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Fallo al conectar"
"TID_ERROR_POP_UP_LOGIN_FAILED","Inténtalo de nuevo más tarde."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Reintentar"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","¡Actualización disponible!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","¡Buenas noticias! Hay disponible una nueva versión del juego."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Actualizar"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Error"
"TID_ERROR_POP_UP_OUT_OF_SYNC","El cliente y el servidor no están sincronizados."
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Volver a cargar"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Servidores en mantenimiento"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Los servidores están en mantenimiento. Inténtalo de nuevo más tarde."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Reintentar"
"TID_BUILDING_ALLIANCE_CASTLE","Castillo del clan"
"TID_BUILDING_ALLIANCE_MARKER","Bandera del clan"
"TID_COMM_MAST","Torre de la radio"
"TID_TRAP_MINE","Bomba"
"TID_TRAP_EJECTOR","Trampa con muelle"
"TID_SHOP_GUARD_2H","Guardia de dos horas"
"TID_SHOP_SHIELD_1D","Escudo de un día"
"TID_SHOP_SHIELD_2D","Escudo de dos días"
"TID_SHOP_SHIELD_7D","Escudo de una semana"
"TID_ALLIANCE_MAIN_BUTTON","Clan"
"TID_ALLIANCE_LIST_HEADER","Clan"
"TID_CREATE_ALLIANCE_BUTTON","Crear"
"TID_LEAVE_ALLIANCE_BUTTON","Abandonar"
"TID_JOIN_ALLIANCE_TAB","Unirse a un clan"
"TID_CREATE_ALLIANCE_TAB","Crear clan"
"TID_MY_ALLIANCE_TAB","Mi clan"
"TID_ALLIANCE_BUTTON_EDIT","Editar"
"TID_ALLIANCE_CREATE_NAME","Nombre del clan:"
"TID_ALLIANCE_CREATE_DESCRIPTION","Descripción:"
"TID_ALLIANCE_CREATE_BADGE","Emblema:"
"TID_ALLIANCE_CREATE_TYPE","Tipo de clan:"
"TID_ALLIANCE_BADGE_BROWSE","Explorar"
"TID_ALLIANCE_TYPE_OPEN","Público"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Solo invitación"
"TID_ALLIANCE_TYPE_CLOSED","Privado"
"TID_TOO_SHORT_ALLIANCE_NAME","Nombre demasiado corto"
"TID_BACK_BUTTON","Atrás"
"TID_ALLIANCE_SELECT_BADGE","Edita un emblema para el clan"
"TID_ALLIANCE_JOIN_BUTTON","Unirse"
"TID_ALLIANCE_JOIN_OK","¡Ahora eres miembro del clan <name>!"
"TID_ALLIANCE_CREATE_OK","¡Has fundado un nuevo clan!"
"TID_ALLIANCE_BUTTON_LEAVE","Abandonar"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","Abandonar clan"
"TID_ALLIANCE_LEAVE_CONFIRMATION","¿Seguro que quieres irte del clan?"
"TID_ALLIANCE_ROLE_ADMIN","Veterano"
"TID_ALLIANCE_ROLE_LEADER","Líder"
"TID_ALLIANCE_ROLE_MEMBER","Miembro"
"TID_ALLIANCE_PROMOTE_BUTTON","Ascender a <role>"
"TID_ALLIANCE_DEMOTE_BUTTON","Degradar a <role>"
"TID_ALLIANCE_ACCEPTED_BY","Aceptado por <name>"
"TID_ALLIANCE_REJECTED_BY","Rechazado por <name>"
"TID_ALLIANCE_REQUEST_SENT","¡Solicitud enviada!"
"TID_ALLIANCE_INVITATION_OK","Se ha enviado la invitación."
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","No puedes invitarle, aún no ha reconstruido su castillo del clan."
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","Este jugador ya se ha unido a un clan."
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","Ya has invitado a este jugador."
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","¡Hola! Me gustaría unirme a tu clan."
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","¿Aceptar solicitud de unión?"
"TID_KICK_OUT_FROM_ALLIANCE","Expulsar"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","¡Se te degradará a colíder!"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","¿Seguro que quieres nombrar a <name> nuevo líder del clan?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","¿Ascender?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","¿Seguro que quieres ascender a <name> a veterano del clan?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","Degradar"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","¿Seguro que quieres degradar a <name> a miembro del clan?"
"TID_KICK_MEMBER_CONFIRMATION_TITLE","Expulsión"
"TID_KICK_MEMBER_CONFIRMATION","¿Expulsar a <name> del clan?"
"TID_VISIT_BUTTON","Visitar"
"TID_VIEW_PROFILE_BUTTON","Perfil"
"TID_INVITE_BUTTON","Invitar"
"TID_VIEW_ALLIANCE","Ver clan"
"TID_SETTINGS_LANGUAGE","Idioma"
"TID_SAVE_ALLIANCE_SETTINGS","Guardar"
"TID_STREAM_DONATE_TEXT","necesita refuerzos."
"TID_STREAM_DONATE_BUTTON","Donar"
"TID_ALLIANCE_DONATE_HEADER","Donar refuerzos"
"TID_BUTTON_REQUEST_TROOPS","Pedir"
"TID_TROOP_REQUEST_SENT","¡Solicitud enviada!"
"TID_ALLIANCE_STREAM_THANKS","¡Gracias por los refuerzos!"
"TID_ALLIANCE_TROOP_RECEIVED","Has recibido <troop> de nivel <level> de <avatar>."
"TID_BARBARIAN","Bárbaro"
"TID_ARCHER","Arquera"
"TID_GIANT","Gigante"
"TID_DRAGON","Dragón"
"TID_PEKKA","P.E.K.K.A."
"TID_GOBLIN","Duende"
"TID_WALL_BREAKER","Rompemuros"
"TID_GOBLIN_BALLOON","Globo bombástico"
"TID_HEALER","Curandera"
"TID_WIZARD","Mago"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","¡El castillo del clan está lleno!"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","Tendrás que esperar antes de poder pedir más refuerzos."
"TID_ALLIANCE_STREAM_REWARD","Has recibido <number> de XP."
"TID_HOUSING_TROOPS_INSIDE","Todas las tropas:"
"TID_UNIT_STORAGE_CAPACITY","Capacidad de tropas: <number>"
"TID_REGENERATION_TIME","Tiempo de recuperación: <number> min"
"TID_HITPOINTS","Vida: <number>"
"TID_DPS","Daño por segundo: <number>"
"TID_BURST_SIZE","Ráfaga: <number> disparos"
"TID_HEAL","Curación: <number>"
"TID_TRAIN_COST","Coste de entrenamiento: <number> de <resource>"
"TID_RESOURCE_STORAGE_CAPACITY","Capacidad de almacenaje: <number>"
"TID_PRODUCTION_RATE","Tasa de producción: <number>/h"
"TID_PRODUCTION_CAPACITY","Capacidad: <number>"
"TID_TRAINING_TIME","Entrenamiento: <number>"
"TID_TRAINING_TIME_REDUCTION","Reducción del tiempo de entrenamiento: <number>"
"TID_HOUSING_INFO","Tus tropas se reúnen en los campamentos, así que construye más y mejóralos para levantar un poderoso ejército."
"TID_TOWN_HALL_INFO","El ayuntamiento es el corazón de la aldea. Mejóralo para desbloquear nuevas defensas, edificios, trampas y muchas cosas más.\nSi destruyes el ayuntamiento de un rival ganas la batalla y consigues 1 estrella. Si destruyes el 50 % de los edificios enemigos consigues 2 estrellas, mientras que con una aniquilación del 100 % consigues las tres estrellas.\nPero ten cuidado, porque tus enemigos también intentarán destruir tu ayuntamiento.\nPara una mayor protección, mantenlo en el medio de la aldea y protégelo con muros, trampas y edificios defensivos. ¡Tus enemigos son escurridizos y pueden salir de cualquier parte!"
"TID_ELIXIR_PUMP_INFO","El elixir se extrae de la Línea Ley que pasa por debajo de la aldea. Mejora el recolector para maximizar la producción."
"TID_ELIXIR_STORAGE_INFO","En este almacén se guarda el elixir que se extrae de las profundidades. Mejóralo para aumentar la cantidad máxima que puedes almacenar."
"TID_GOLD_MINE_INFO","De esta mina se extrae oro. Mejórala para aumentar la producción y la capacidad de almacenaje."
"TID_GOLD_STORAGE_INFO","Todo tu oro se almacena aquí, así que ¡no dejes que se acerquen los duendes! Mejóralo para aumentar su capacidad y su resistencia a los ataques."
"TID_BARRACK_INFO","En el cuartel podrás entrenar a tus tropas para atacar a los enemigos. Mejóralo para desbloquear unidades avanzadas y así poder vencer en batallas épicas."
"TID_BASIC_TURRET_INFO","Los cañones son ideales para defender cualquier zona de la aldea. Mejóralos para aumentar su potencia. Eso sí, ten en cuenta que permanecerán inactivos mientras se estén mejorando."
"TID_ARCHER_TOWER_INFO","Las torres de arqueras tienen más alcance que los cañones y, al contrario que estos últimos, pueden atacar a enemigos voladores."
"TID_WIZARD_TOWER_INFO","¡La defensa arcana definitiva! Los magos de la torre lanzan potentes hechizos que afectan a enemigos tanto aéreos como terrestres."
"TID_TESLA_TOWER_INFO","Sorprende a los enemigos con esta magnífica torre Tesla. Nuestros magos han atrapado una nube de tormenta dentro de la torre. Cuando un enemigo se acerca lo suficiente por tierra o aire, ¡la torre se alza y lo fríe con el poder del electroilusionismo!"
"TID_AIR_DEFENSE_INFO","Estos cohetes de defensa son letales contra las unidades aéreas, pero no pueden atacar a las terrestres. Colócala sabiamente para cubrir el máximo espacio aéreo posible."
"TID_MORTAR_INFO","El mortero puede acabar con hordas de enemigos solo con el daño de área que produce, pero no dejes que se le acerquen."
"TID_ALLIANCE_CASTLE_INFO","El castillo del clan alberga tu tesorería, además de las tropas de refuerzo y los hechizos que te envíen tus aliados."
"TID_WORKER_INFO","¡Sin constructores no se puede hacer nada! Contrata a más para poder iniciar varias construcciones a la vez o acelera su trabajo usando gemas."
"TID_LABORATORY_INFO","¿Qué secretos esconden los alquimistas en su laboratorio? Nadie se ha atrevido a averiguarlo. Lo único que sabemos es que sus investigaciones mejoran nuestros hechizos y nuestras tropas y las hacen más fuertes y más rápidas."
"TID_STREAM_SENDER_YOU","Tú"
"TID_SHIELD_ACTIVATED","El rival tiene un escudo activo durante <hours> horas."
"TID_STREAM_ENTRY_AGE","Hace <time>"
"TID_UPGRADE_WINDOW_NOTE","¡Atención!"
"TID_OBSTACLE_CLEAR_TIME","Tiempo de eliminación"
"TID_UPGRADE_TIME","Duración de la mejora:"
"TID_BUILD_TIME","Tiempo de construcción"
"TID_GEAR_UP_TIME","Duración"
"TID_UNLOCK_BUILDINGS","Se desbloquearán estos edificios:"
"TID_REQUIRED_EXP_LEVEL","Requiere nivel <number> de experiencia."
"TID_REQUIRED_TOWN_HALL_LEVEL","Requiere ayuntamiento de nivel <number>."
"TID_REQUIRED_BUILDERS_HALL_LEVEL","Requiere taller del constructor de nivel <number>"
"TID_REQUIRED_CASTLE_LEVEL","Requiere castillo de nivel <number>."
"TID_REQUIRED_BARRACK_LEVEL","Requiere cuartel de nivel <number>."
"TID_REQUIRED_DARK_BARRACK_LEVEL","Requiere cuartel oscuro de nivel <number>."
"TID_REQUIRED_LABORATORY_LEVEL","Requiere laboratorio de nivel <number>."
"TID_INFO_PREFERRED_TARGET","Objetivo favorito:"
"TID_PREFERRED_TARGET_ANY","Cualquiera"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","(Daño x<number>)"
"TID_INFO_TARGET_TYPE","Objetivos:"
"TID_INFO_DAMAGE_TYPE","Tipo de daño:"
"TID_INFO_HEAL_TYPE","Tipo de curación:"
"TID_INFO_HOUSING","Espacio en viviendas:"
"TID_INFO_TRAINING_TIME","Entrenamiento:"
"TID_INFO_RANGE","Alcance:"
"TID_INFO_TARGET_TYPE_GROUND","Terrestres"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","Terrestres y aéreos"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","Terréstres o aéreos"
"TID_INFO_TARGET_TYPE_AIR","Aéreos"
"TID_INFO_DAMAGE_TYPE_AOE","De área"
"TID_INFO_DAMAGE_TYPE_SINGLE","Único"
"TID_INFO_RANGE_VALUE","<number> casillas"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","Mejora terminada: <item> (nivel <level>)"
"TID_LOCAL_NOTIFICATION_BUILDING_READY","Construcción terminada: <item>"
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","¡Bonus estelar disponible! ¡A luchar!"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","¡Jefe, nuestro escudo se ha agotado!"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","¡Vaya! ¿Te has olvidado de entrenar a tu ejército?"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","¡Vaya! ¿Te has olvidado de elaborar tus hechizos?"
"TID_NEW","Nuevo"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","¿Detener la construcción?"
"TID_POPUP_CANCEL_CONSTRUCTION","¿Seguro que quieres detener la construcción de tu <item>? Solo recuperarás el <number> % del coste."
"TID_POPUP_CANCEL_UPGRADE_TITLE","¿Detener la mejora?"
"TID_POPUP_CANCEL_UPGRADE","¿Seguro que quieres detener la mejora de tu <item>? Solo recuperarás el <number> % del coste."
"TID_POPUP_CANCEL_CLEAR_TITLE","Detener la eliminación"
"TID_POPUP_CANCEL_CLEAR","¿Seguro que quieres detener la eliminación de <item>?"
"TID_ALLIANCE_LEADERBOARDS","Mejores clanes"
"TID_PLAYER_LEADERBOARDS","Mejores jugadores"
"TID_AVAILABLE_LOOT","Botín disponible:"
"TID_INFO","i"
"TID_ATTACK_BUTTON","Atacar"
"TID_ALLIANCE_SNEAK_PREVIEW","¡Reconstruye el castillo del clan para desbloquear esta función!\n\nLos aliados del clan se ayudan los unos a los otros y se envían tropas de refuerzo y hechizos."
"TID_BUILD_TIME_INSTANT","0"
"TID_BUILDING_CAP_REACHED","Ya has construido la cantidad máxima de este edificio."
"TID_DIAMONDS_FOUND","¡Has encontrado <number> gemas (<name>)!"
"TID_DIAMOND_FOUND","¡Has encontrado una gema (<name>)!"
"TID_SHOP_CATEGORY_DECOS","Adornos"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","Recursos"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","Ejército"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","Defensas"
"TID_SHOP_CATEGORY_TREASURE","Tesoros"
"TID_SHOP_CATEGORY_SHIELD","Escudos"
"TID_SHOP_CATEGORY_BUILDERS","Constructores"
"TID_TRAINING_WARRIORS","Guerreros:"
"TID_TRAINING_SLOTS","Huecos de entrenamiento:"
"TID_TOTAL_TRAINING_TIME","Tiempo total:"
"TID_FINISH_BUTTON","Terminar"
"TID_TROOP_TRAINING_MAX","Máx."
"TID_UNCLOK_FROM_LABORATORY","Se desbloquea en el laboratorio."
"TID_NOT_ENOUGH_HOUSING_SPACE","No tienes suficiente espacio en los campamentos."
"TID_UNLOCK_BUILDING_MULTIPLE","Desbloquea:"
"TID_UNLOCK_BARRACK_TROOP","Desbloquea esta tropa: <name>"
"TID_REDUCE_TIME_BARRACK_TROOP","Reduce el tiempo de entrenamiento de esta tropa:"
"TID_REDUCE_TIME_BARRACK_TROOP2","Nuevo tiempo de entrenamiento: <num2>"
"TID_BUILDING_TEXT_FULL","¡Lleno!"
"TID_BUILDING_TEXT_TRAIN","Entrenar"
"TID_TRAINING_SLOT_STOPPED","¡Detenido!"
"TID_BUILDING_TEXT_ALERT","¡¡!!"
"TID_TRAIN_ALL_HOUSINGS_FULL","¡Campamentos llenos!"
"TID_TRAIN_ALL_HOUSINGS_FULL_INFO","Construye más campamentos o mejora los que tienes para acoger a más tropas, o envíalas a luchar."
"TID_BUTTON_FIGHT","Empezar"
"TID_BATTLE_START_TIME","La batalla empieza en:"
"TID_NEXT_MATCH","Siguiente"
"TID_END_BATTLE_BUTTON","Terminar batalla"
"TID_SURRENDER_BUTTON","Rendirse"
"TID_TROOP_UPGRADE_TIME","Tiempo total:"
"TID_MAX_TROOP_LEVEL","Nivel máximo"
"TID_LEVEL_NUM","Nivel <number>"
"TID_BUTTON_UPGRADE_TROOPS","Investigar"
"TID_POPUP_UPGRADE_TROOP_TITLE","Elige qué mejorar"
"TID_TROOP_ALREADY_AT_MAX_LEVEL","Esta unidad ya está en su nivel máximo."
"TID_TROOP_UPGRADE_ALREADY_ONGOING","Ya hay una mejora en progreso."
"TID_TROOP_UPGRADE_COMPLETED","Mejora completada: <item> (nivel <number>)"
"TID_UNITS_LEFT","Queda(n) <number>"
"TID_PLAYER_ATTACKING_YOU","Jugadores atacándote:"
"TID_LOOT","Recursos perdidos:"
"TID_OUTCOME","Resultado:"
"TID_YOU_LOST","Tu defensa ha fracasado..."
"TID_YOU_WIN","¡Tu defensa ha vencido!"
"TID_REVENGE","Vengarse"
"TID_JOINQUESTION","¿Quieres unirte?"
"TID_TAP_TO_EXPAND","Toca para ampliar."
"TID_BUY_MISSING_RESOURCES_HEADER","<resource> insuficiente"
"TID_BUY_MISSING_RESOURCES_TEXT","Necesitas <count> de <resource>. ¿Quieres comprar?"
"TID_BUY_MISSING_RESOURCES_HEADER_TWO","Recursos insuficientes"
"TID_BUY_MISSING_RESOURCES_TEXT_TWO","Necesitas <count> de <resource> y <count2> de <resource2>. ¿Quieres comprar?"
"TID_BUY_RESOURCE_PACK_HEADER","Comprar <resource>"
"TID_BUY_RESOURCE_PACK_TEXT","¿Seguro que quieres comprar <count> de <resource>?"
"TID_BUY_GUARD_HEADER","¿Comprar guardia?"
"TID_BUY_SHIELD_HEADER","¿Comprar escudo?"
"TID_BUY_SHIELD_TEXT","¿Seguro que quieres comprar un <name>?"
"TID_RESOURCE_PACK_LOCKED","Espacio insuficiente"
"TID_STAR1","¡Asombroso!"
"TID_STAR2","¡Excelente!"
"TID_STAR3","¡Perfecto!"
"TID_OVERALL_DAMAGE","Daño total"
"TID_VILLAGE_GUARD_TITLE","Guardia:"
"TID_SHIELD_TITLE","Escudo:"
"TID_SHIELD_NONE","0"
"TID_BATTLE_LOG","Registro de batallas"
"TID_BATTLE_INBOX","Buzón"
"TID_VICTORY","Victoria"
"TID_DEFEAT","Derrota"
"TID_WHAT_YOU_GOT","Has conseguido:"
"TID_TROOPS_USED","Tropas usadas:"
"TID_TOTAL_DAMAGE","Daño total:"
"TID_SCORE","Puntuación"
"TID_YOU_HAVE_BEEN_ATTACKED","¡Jefe, han atacado nuestra aldea!"
"TID_YOU_HAVE_BEEN_ATTACKED_TITLE","Ataque enemigo"
"TID_YOU_HAVE_BEEN_ATTACKED_HEADER","¡Jefe, la aldea ha sido atacada mientras no estabas!"
"TID_TUTORIAL_CANNON_1","¡El pueblo te da la bienvenida, jefe! Ansiábamos tu regreso."
"TID_TUTORIAL_CANNON_2","Esta es tu nueva aldea. ¿A que es preciosa? Aquí la vida sería perfecta si no fuera por..."
"TID_TUTORIAL_CANNON_3","¡Oh, no! ¡Una horda de duendes! ¡Rápido, pongamos un cañón para defender la aldea!"
"TID_TUTORIAL_CANNON_4","Ponlo en el centro de la aldea, ¡tenemos que proteger el ayuntamiento!"
"TID_TUTORIAL_CANNON_5","No podemos ser tacaños en un momento así. ¡Usa gemas para acelerar la construcción!"
"TID_TUTORIAL_DEFEND_1","¡Vaya, conque estáis aquí! Duendes, ¡al ataque!"
"TID_TUTORIAL_DEFEND_1b","¡Aaaah! ¿Quién eres tú? ¡Otro patético humano!"
"TID_TUTORIAL_DEFEND_2","Vaya, qué poco ha faltado... ¡Gracias por salvarnos, jefe!"
"TID_TUTORIAL_DEFEND_4","La aldea está asentada sobre una Línea Ley, así que el cañón se reparará automáticamente con el tiempo."
"TID_TUTORIAL_DEFEND_5","¡Vaya, oro! ¡A los duendes nos encanta el oro!"
"TID_TUTORIAL_DEFEND_BUTTON","¡Adelante!"
