"TID","EN"
"TID_BATTLE_LOG_ITEM","<name> attacked you <time> ago."
"TID_NO_TROOPS","You need to train some troops first."
"TID_NO_SPELLS","You need to brew some spells first."
"TID_ERROR_POP_UP_BANNED_TITLE","You have been banned!"
"TID_ERROR_POP_UP_BANNED","You have been banned temporarily"
"TID_ERROR_POP_UP_BANNED_BUTTON","Okay"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Connection error"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Unable to connect with the server. Check your internet connection and try again."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Try again"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Connection lost"
"TID_ERROR_POP_UP_CONNECTION_LOST","You have lost connection with the server. Check your internet connection and try again."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Try again"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Anyone there?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","You have been disconnected due to inactivity."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Reload game"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Login failed"
"TID_ERROR_POP_UP_LOGIN_FAILED","Please try again later."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Try again"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Update is available!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Good news! A new version of the game is available."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Update"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Error!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Client and server are out of sync!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Reload game"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Maintenance break"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Sorry, the servers are under maintenance. Please try again later."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Try again"
"TID_BUILDING_ALLIANCE_CASTLE","Clan Castle"
"TID_BUILDING_ALLIANCE_MARKER","Clan Flag"
"TID_COMM_MAST","Radio Tower"
"TID_TRAP_MINE","Bomb"
"TID_TRAP_EJECTOR","Spring Trap"
"TID_SHOP_GUARD_2H","Two Hour Guard"
"TID_SHOP_SHIELD_1D","One Day Shield"
"TID_SHOP_SHIELD_2D","Two Day Shield"
"TID_SHOP_SHIELD_7D","One Week Shield"
"TID_ALLIANCE_MAIN_BUTTON","Clan"
"TID_ALLIANCE_LIST_HEADER","Clan"
"TID_CREATE_ALLIANCE_BUTTON","Create"
"TID_LEAVE_ALLIANCE_BUTTON","Leave"
"TID_JOIN_ALLIANCE_TAB","Join Clan"
"TID_CREATE_ALLIANCE_TAB","Create Clan"
"TID_MY_ALLIANCE_TAB","My Clan"
"TID_ALLIANCE_BUTTON_EDIT","Edit"
"TID_ALLIANCE_CREATE_NAME","Clan Name:"
"TID_ALLIANCE_CREATE_DESCRIPTION","Description:"
"TID_ALLIANCE_CREATE_BADGE","Badge:"
"TID_ALLIANCE_CREATE_TYPE","Clan Type:"
"TID_ALLIANCE_BADGE_BROWSE","Browse"
"TID_ALLIANCE_TYPE_OPEN","Anyone can join"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Invite only"
"TID_ALLIANCE_TYPE_CLOSED","Closed"
"TID_TOO_SHORT_ALLIANCE_NAME","Clan name is too short!"
"TID_BACK_BUTTON","Back"
"TID_ALLIANCE_SELECT_BADGE","Edit Clan Badge"
"TID_ALLIANCE_JOIN_BUTTON","Join"
"TID_ALLIANCE_JOIN_OK","You are now a member of clan <name>!"
"TID_ALLIANCE_CREATE_OK","You have successfully founded a new clan!"
"TID_ALLIANCE_BUTTON_LEAVE","Leave"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","Leave Clan?"
"TID_ALLIANCE_LEAVE_CONFIRMATION","Do you really want to leave?"
"TID_ALLIANCE_ROLE_ADMIN","Elder"
"TID_ALLIANCE_ROLE_LEADER","Leader"
"TID_ALLIANCE_ROLE_MEMBER","Member"
"TID_ALLIANCE_PROMOTE_BUTTON","Promote to <role>"
"TID_ALLIANCE_DEMOTE_BUTTON","Demote to <role>"
"TID_ALLIANCE_ACCEPTED_BY","Accepted by <name>"
"TID_ALLIANCE_REJECTED_BY","Rejected by <name>"
"TID_ALLIANCE_REQUEST_SENT","The request was sent!"
"TID_ALLIANCE_INVITATION_OK","Invite sent successfully."
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","Can't invite, player does not have a Clan Castle!"
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","Player has already joined a clan!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","You have already invited that player!"
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","I'd like to join your clan"
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","Accept join request?"
"TID_KICK_OUT_FROM_ALLIANCE","Kick Out"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","Step Down?"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","Make <name> the new Clan Leader?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","Promote?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","Promote <name> to Clan Elder?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","Demote?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","Demote <name> to Clan Member?"
"TID_KICK_MEMBER_CONFIRMATION_TITLE","Banishment!"
"TID_KICK_MEMBER_CONFIRMATION","Kick out <name> from the Clan?"
"TID_VISIT_BUTTON","Visit"
"TID_VIEW_PROFILE_BUTTON","Profile"
"TID_INVITE_BUTTON","Invite"
"TID_VIEW_ALLIANCE","View Clan"
"TID_SETTINGS_LANGUAGE","Language"
"TID_SAVE_ALLIANCE_SETTINGS","Save"
"TID_STREAM_DONATE_TEXT","needs reinforcements"
"TID_STREAM_DONATE_BUTTON","Donate"
"TID_ALLIANCE_DONATE_HEADER","Donate Reinforcements"
"TID_BUTTON_REQUEST_TROOPS","Request"
"TID_TROOP_REQUEST_SENT","The request was sent!"
"TID_ALLIANCE_STREAM_THANKS","Thank you for the reinforcements!"
"TID_ALLIANCE_TROOP_RECEIVED","You have received level <level> <troop> from <avatar>!"
"TID_BARBARIAN","Barbarian"
"TID_ARCHER","Archer"
"TID_GIANT","Giant"
"TID_DRAGON","Dragon"
"TID_PEKKA","P.E.K.K.A"
"TID_GOBLIN","Goblin"
"TID_WALL_BREAKER","Wall Breaker"
"TID_GOBLIN_BALLOON","Balloon"
"TID_HEALER","Healer"
"TID_WIZARD","Wizard"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","Clan Castle is already full!"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","You need to wait before requesting more reinforcements."
"TID_ALLIANCE_STREAM_REWARD","You received <number>xp"
"TID_HOUSING_TROOPS_INSIDE","All troops:"
"TID_UNIT_STORAGE_CAPACITY","Troop capacity: <number>"
"TID_REGENERATION_TIME","Regeneration time: <number> Minutes"
"TID_HITPOINTS","Hitpoints: <number>"
"TID_DPS","Damage per second: <number>"
"TID_BURST_SIZE","Burst fire: <number> shots"
"TID_HEAL","Heal: <number>"
"TID_TRAIN_COST","Training Cost: <number> <resource>"
"TID_RESOURCE_STORAGE_CAPACITY","Storage Capacity: <number>"
"TID_PRODUCTION_RATE","Production Rate: <number> per hour"
"TID_PRODUCTION_CAPACITY","Capacity: <number>"
"TID_TRAINING_TIME","Training Time: <number>"
"TID_TRAINING_TIME_REDUCTION","Training Time Reduction: <number>"
"TID_HOUSING_INFO","Your troops are stationed in Army Camps. Build more camps and upgrade them to muster a powerful army."
"TID_TOWN_HALL_INFO","This is the heart of your village. Upgrading your Town Hall unlocks new defenses, buildings, traps and much more.\nDestroying an opponent's Town Hall wins you the battle and you get one Star. Destroying 50% of enemy buildings gains you a second Star, while 100% annihilation awards full three Stars.\nBeware, your enemies will be trying to destroy your Town Hall too!\nFor maximum protection, keep your Town Hall in the middle of your village and protect it with walls, traps and defensive buildings. Your enemies are sneaky and can attack from any side!"
"TID_ELIXIR_PUMP_INFO","Elixir is pumped from Ley Lines coursing underneath your village. Upgrade your Elixir Collectors to maximize elixir production."
"TID_ELIXIR_STORAGE_INFO","These storages contain the elixir pumped from underground. Upgrade them to increase the maximum amount of elixir you can store."
"TID_GOLD_MINE_INFO","The Gold Mine produces gold. Upgrade it to boost its production and gold storage capacity."
"TID_GOLD_STORAGE_INFO","All your precious gold is stored here. Don't let sneaky goblins anywhere near! Upgrade the storage to increase its capacity and durability against attack."
"TID_BARRACK_INFO","The Barracks allow you to train troops to attack your enemies. Upgrade the Barracks to unlock advanced units that can win epic battles."
"TID_BASIC_TURRET_INFO","Cannons are great for point defense. Upgrade cannons to increase their firepower, but beware that your defensive turrets cannot shoot while being upgraded!"
"TID_ARCHER_TOWER_INFO","Archer Towers have longer range than cannons, and unlike cannons they can attack flying enemies."
"TID_WIZARD_TOWER_INFO","The Ultimate Arcane Defense! Tower Wizards cast powerful area effect spells that target both flying and ground troops."
"TID_TESLA_TOWER_INFO","Lay a deadly trap with the Hidden Tesla! Our Wizards have trapped a storm cloud into each of these sneaky towers. When an enemy walks or flies close enough, the tower springs up and fries it using the power of Electrickery!"
"TID_AIR_DEFENSE_INFO","This anti-air tower is deadly against flying enemies, but can't target foes on the ground. Place it wisely to cover as much airspace as possible."
"TID_MORTAR_INFO","The Mortar can mow down hordes of enemies by the splash damage from its shell. Don't let enemies get too close to it!"
"TID_ALLIANCE_CASTLE_INFO","The Clan Castle houses your Treasury and any reinforcement troops or spells sent by your clanmates."
"TID_WORKER_INFO","Nothing gets done around here without Builders! You can hire more builders to start multiple construction projects, or speed up their work by using green gems."
"TID_LABORATORY_INFO","What dark secrets do the Alchemists hide inside their Laboratory? Nobody has dared to look. All we know is that their research makes our spells and troops harder, better, faster and stronger!"
"TID_STREAM_SENDER_YOU","You"
"TID_SHIELD_ACTIVATED","Opponent's shield activated for <hours> hours"
"TID_STREAM_ENTRY_AGE","<time> ago"
"TID_UPGRADE_WINDOW_NOTE","Note!"
"TID_OBSTACLE_CLEAR_TIME","Removal time"
"TID_UPGRADE_TIME","Upgrade time"
"TID_BUILD_TIME","Build time"
"TID_GEAR_UP_TIME","Gear Up time"
"TID_UNLOCK_BUILDINGS","Unlocks Buildings:"
"TID_REQUIRED_EXP_LEVEL","Experience Level <number> Required"
"TID_REQUIRED_TOWN_HALL_LEVEL","Level <number> Town Hall Required"
"TID_REQUIRED_BUILDERS_HALL_LEVEL","Level <number> Builder Hall Required"
"TID_REQUIRED_CASTLE_LEVEL","Level <number> Castle Required"
"TID_REQUIRED_BARRACK_LEVEL","Level <number> Barracks Required"
"TID_REQUIRED_DARK_BARRACK_LEVEL","Level <number> Dark Barracks Required"
"TID_REQUIRED_LABORATORY_LEVEL","Level <number> Laboratory Required"
"TID_INFO_PREFERRED_TARGET","Favorite target:"
"TID_PREFERRED_TARGET_ANY","Any"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","(Damage x<number>)"
"TID_INFO_TARGET_TYPE","Targets:"
"TID_INFO_DAMAGE_TYPE","Damage type:"
"TID_INFO_HEAL_TYPE","Heal type:"
"TID_INFO_HOUSING","Housing Space:"
"TID_INFO_TRAINING_TIME","Training Time:"
"TID_INFO_RANGE","Range:"
"TID_INFO_TARGET_TYPE_GROUND","Ground"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","Ground & Air"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","Ground or Air"
"TID_INFO_TARGET_TYPE_AIR","Air"
"TID_INFO_DAMAGE_TYPE_AOE","Area Splash"
"TID_INFO_DAMAGE_TYPE_SINGLE","Single Target"
"TID_INFO_RANGE_VALUE","<number> Tiles"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","<item> upgraded to level <level>"
"TID_LOCAL_NOTIFICATION_BUILDING_READY","<item> construction finished"
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","Star bonus available! Time to battle!"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","Chief, our shield has run out!"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","Oops, did you forget to train your army?"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","Oops, did you forget to brew your spells?"
"TID_NEW","New"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","Stop construction?"
"TID_POPUP_CANCEL_CONSTRUCTION","Do you really want to stop constructing <item>? Only <number>% of the cost will be refunded."
"TID_POPUP_CANCEL_UPGRADE_TITLE","Stop upgrade?"
"TID_POPUP_CANCEL_UPGRADE","Do you really want to stop upgrading <item>? Only <number>% of the cost will be refunded."
"TID_POPUP_CANCEL_CLEAR_TITLE","Stop removal?"
"TID_POPUP_CANCEL_CLEAR","Do you really want to stop removing <item>?"
"TID_ALLIANCE_LEADERBOARDS","Top Clans"
"TID_PLAYER_LEADERBOARDS","Top Players"
"TID_AVAILABLE_LOOT","Available Loot:"
"TID_INFO","i"
"TID_ATTACK_BUTTON","Attack"
"TID_ALLIANCE_SNEAK_PREVIEW","Unlock Clans by rebuilding the Clan Castle!\n\nClanmates help each other and send reinforcement troops and spells."
"TID_BUILD_TIME_INSTANT","None"
"TID_BUILDING_CAP_REACHED","You've already built the maximum amount of these buildings."
"TID_DIAMONDS_FOUND","You found <number> gems in the <name>!"
"TID_DIAMOND_FOUND","You found a gem in the <name>!"
"TID_SHOP_CATEGORY_DECOS","Decorations"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","Resources"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","Army"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","Defenses"
"TID_SHOP_CATEGORY_TREASURE","Treasure"
"TID_SHOP_CATEGORY_SHIELD","Shield"
"TID_SHOP_CATEGORY_BUILDERS","Builders"
"TID_TRAINING_WARRIORS","Warriors:"
"TID_TRAINING_SLOTS","Training slots:"
"TID_TOTAL_TRAINING_TIME","Total time:"
"TID_FINISH_BUTTON","Finish"
"TID_TROOP_TRAINING_MAX","Max"
"TID_UNCLOK_FROM_LABORATORY","Unlock from Laboratory"
"TID_NOT_ENOUGH_HOUSING_SPACE","You don't have enough room in Army Camps!"
"TID_UNLOCK_BUILDING_MULTIPLE","Unlocks:"
"TID_UNLOCK_BARRACK_TROOP","Unlocks <name>"
"TID_REDUCE_TIME_BARRACK_TROOP","Reduces training time for:"
"TID_REDUCE_TIME_BARRACK_TROOP2","New training time: <num2>"
"TID_BUILDING_TEXT_FULL","Full!"
"TID_BUILDING_TEXT_TRAIN","Train"
"TID_TRAINING_SLOT_STOPPED","Stopped!"
"TID_BUILDING_TEXT_ALERT","!!!"
"TID_TRAIN_ALL_HOUSINGS_FULL","All Camps Full!"
"TID_TRAIN_ALL_HOUSINGS_FULL_INFO","Upgrade or build Army Camps to house more troops, or send them to fight!"
"TID_BUTTON_FIGHT","Start!"
"TID_BATTLE_START_TIME","Battle starts in:"
"TID_NEXT_MATCH","Next"
"TID_END_BATTLE_BUTTON","End Battle"
"TID_SURRENDER_BUTTON","Surrender"
"TID_TROOP_UPGRADE_TIME","Total time:"
"TID_MAX_TROOP_LEVEL","Max Level"
"TID_LEVEL_NUM","Level <number>"
"TID_BUTTON_UPGRADE_TROOPS","Research"
"TID_POPUP_UPGRADE_TROOP_TITLE","Choose what to upgrade"
"TID_TROOP_ALREADY_AT_MAX_LEVEL","Unit is already at maximum level!"
"TID_TROOP_UPGRADE_ALREADY_ONGOING","Upgrade is already in progress."
"TID_TROOP_UPGRADE_COMPLETED","Upgrade completed: <item> Level <number>"
"TID_UNITS_LEFT","<number> left"
"TID_PLAYER_ATTACKING_YOU","Players attacking you:"
"TID_LOOT","You lost resources:"
"TID_OUTCOME","Outcome:"
"TID_YOU_LOST","Your Defense Lost"
"TID_YOU_WIN","Your Defense Won"
"TID_REVENGE","Revenge"
"TID_JOINQUESTION","Want to join?"
"TID_TAP_TO_EXPAND","Tap to expand"
"TID_BUY_MISSING_RESOURCES_HEADER","You need more <resource>"
"TID_BUY_MISSING_RESOURCES_TEXT","Buy the missing <count> <resource>?"
"TID_BUY_MISSING_RESOURCES_HEADER_TWO","You need more resources"
"TID_BUY_MISSING_RESOURCES_TEXT_TWO","Buy the missing <count> <resource> and <count2> <resource2>?"
"TID_BUY_RESOURCE_PACK_HEADER","Buy <resource>?"
"TID_BUY_RESOURCE_PACK_TEXT","Are you sure you want to buy <count> <resource>?"
"TID_BUY_GUARD_HEADER","Buy Guard?"
"TID_BUY_SHIELD_HEADER","Buy Shield?"
"TID_BUY_SHIELD_TEXT","Are you sure you want to buy <name>?"
"TID_RESOURCE_PACK_LOCKED","Not enough storage space!"
"TID_STAR1","Awesome!"
"TID_STAR2","Excellent!"
"TID_STAR3","Perfect!"
"TID_OVERALL_DAMAGE","Overall Damage"
"TID_VILLAGE_GUARD_TITLE","Guard:"
"TID_SHIELD_TITLE","Shield:"
"TID_SHIELD_NONE","None"
"TID_BATTLE_LOG","Battle Log"
"TID_BATTLE_INBOX","Inbox"
"TID_VICTORY","Victory"
"TID_DEFEAT","Defeat"
"TID_WHAT_YOU_GOT","You got:"
"TID_TROOPS_USED","Troops expended:"
"TID_TOTAL_DAMAGE","Total damage:"
"TID_SCORE","Score"
"TID_YOU_HAVE_BEEN_ATTACKED","Chief, our village was attacked!"
"TID_YOU_HAVE_BEEN_ATTACKED_TITLE","Enemy raid"
"TID_YOU_HAVE_BEEN_ATTACKED_HEADER","Chief, the village was attacked while you were gone!"
"TID_TUTORIAL_CANNON_1","Welcome Chief! We sure have been waiting for you."
"TID_TUTORIAL_CANNON_2","This is your new village, isn't it lovely! Life here would be perfect if it wasn't for...."
"TID_TUTORIAL_CANNON_3","Oh no, it's the Goblin Horde! Quick, let's set up a Cannon to defend the village!"
"TID_TUTORIAL_CANNON_4","Place the Cannon in the center of the village. We must protect the Town Hall!"
"TID_TUTORIAL_CANNON_5","Chief, you can spend some green gems to speed things up!"
"TID_TUTORIAL_DEFEND_1","Gwar, there they are! Goblin Horde ATTAAACK!!"
"TID_TUTORIAL_DEFEND_1b","Gwahaah, what is this? Another puny human!"
"TID_TUTORIAL_DEFEND_2","Phew, that was a close call. Thanks Chief!"
"TID_TUTORIAL_DEFEND_4","We built the village on a Ley Line. That means the Cannon will magically repair itself over time."
"TID_TUTORIAL_DEFEND_5","Gwarh, GOLD! We goblins love gold!"
"TID_TUTORIAL_DEFEND_BUTTON","Bring it on!"
"TID_TUTORIAL_WORKER_1","Wow, nice going! Now we need to get this village into fighting shape."
"TID_TUTORIAL_WORKER_2","Hiring a second builder will let you start two constructions simultaneously."
"TID_TUTORIAL_ELIXIR_1","Elixir is essential for training troops and building many structures."
"TID_TUTORIAL_ELIXIR_2","You can pump Elixir from the underground Ley Line. Let's try it!"
"TID_TUTORIAL_ELIXIR_STORAGE_1","The collector can only store a small amount of Elixir."
"TID_TUTORIAL_ELIXIR_STORAGE_2","Let's build a Storage vat so we can stockpile the stuff!"
"TID_TUTORIAL_GOLD_STORAGE_1","We also need a safe place to store our gold reserves."
"TID_TUTORIAL_GOLD_STORAGE_2","Build a Gold Storage so we can stockpile gold!"
"TID_TUTORIAL_BARRACK_1","Chief, we need an army to fight those goblins! Let's build a Barracks."
"TID_TUTORIAL_TRAIN_1","Now let's train some troops!"
"TID_TUTORIAL_TRAIN_2","Tap the Barracks and choose Train Troops"
"TID_TUTORIAL_CHANGE_NAME","That was a great battle! How shall you be known in our history?"
"TID_TUTORIAL_TOWN_HALL_1","With the gold we took from the goblins, we can afford to upgrade the Town Hall."
"TID_TUTORIAL_TOWN_HALL_2","Good job! We can now build new buildings thanks to the Town Hall upgrade."
"TID_TUTORIAL_ACHIEVEMENTS","If you're looking for new challenges to beat, just tap here."
"TID_TUTORIAL_ACHIEVEMENTS2","Chief, you obviously know what you're doing. The whole village is counting on you!"
"TID_GOBLIN_SPEAKS_1","Gwaaarh! I'm not through with you yet."
"TID_GOBLIN_SPEAKS_2","You may have beaten me once, but this goblin camp is a lot tougher."
"TID_TUTORIAL_GOLDSTORAGE","You also need a place to store all your precious gold!"
"TID_TUTORIAL_ELIXIRSTORAGE","That elixir needs a place to store it as well."
"TID_LOCKED_IN_TUTORIAL","Complete the tutorial to unlock this feature!"
"TID_TUTORIAL_ATTACK_NPC_1","The Wizards from Ivory Tower are here to help us! Let's take out the goblin camp!"
"TID_TUTORIAL_ATTACK_NPC_2","Well done. Now let's kick some green butt!"
"TID_TUTORIAL_ATTACK_NPC_BUTTON","Attack!"
"TID_NPC_NAME_TUTORIAL","Payback"
"TID_NPC_NAME_TUTORIAL2","Goblin Forest"
"TID_JOINALLIANCEQUESTION","Accept Clan invitation?"
"TID_POPUP_SHIELD_REMOVAL_TITLE","Attacking While Shielded"
"TID_POPUP_SHIELD_REMOVAL","You can Find a Match at any time, but your Shield will be shortened if you start an attack. If you have less than the Attack Cost, your Shield will be removed."
"TID_UPDATE_TROOP_LEVEL","Upgrade to level <number>"
"TID_LEVEL_UP","Level Up!"
"TID_NEW_ITEMS_UNLOCKED","New Items Unlocked"
"TID_MISSION_SCREEN_TITLE","Missions"
"TID_MISSION_REWARD","Reward:"
"TID_MISSION_COMPLETE_TITLE","Mission Completed!"
"TID_ATTACK_LOCKED","Upgrade Town Hall to level 2 to unlock this feature!"
"TID_RANKTITLE","Rank"
