"TID","FR"
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","Attaque impossible. L'hôtel de ville de ce village est de niveau inférieur à <number>."
"TID_DEFAULT_VILLAGE_NAME","Village de <name>"
"TID_BATTLE_LOG_TITLE","Vous avez subi une attaque !"
"TID_BATTLE_LOG_ITEM","Vous avez subi une attaque de <name> il y a <time>."
"TID_NO_TROOPS","Vous devez d'abord former des troupes."
"TID_NO_SPELLS","Vous devez d'abord concocter des sorts."
"TID_ERROR_POP_UP_BANNED_TITLE","Vous avez été banni !"
"TID_ERROR_POP_UP_BANNED","Vous avez été banni temporairement !"
"TID_ERROR_POP_UP_BANNED_BUTTON","OK"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Erreur de connexion"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Connexion au serveur impossible. Veuillez vérifier votre connexion Internet et réessayer."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Réessayer"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Connexion perdue"
"TID_ERROR_POP_UP_CONNECTION_LOST","Connexion au serveur perdue. Veuillez vérifier votre connexion Internet et réessayer."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Réessayer"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Il y a quelqu'un ?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Déconnexion suite à une période d'inactivité."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Recharger le jeu"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Échec de la connexion"
"TID_ERROR_POP_UP_LOGIN_FAILED","Veuillez réessayer plus tard."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Réessayer"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Une mise à jour est disponible !"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Bonne nouvelle ! Une nouvelle version du jeu est disponible."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Mettre à jour"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Erreur !"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Le client et le serveur ne sont pas synchronisés !"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Recharger le jeu"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Maintenance"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Nos serveurs sont en cours de maintenance. Veuillez réessayer plus tard."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Réessayer"
"TID_BUILDING_ALLIANCE_CASTLE","Château de clan"
"TID_BUILDING_ALLIANCE_MARKER","Drapeau de clan"
"TID_COMM_MAST","Tour radio"
"TID_TRAP_MINE","Bombe"
"TID_TRAP_EJECTOR","Piège à ressort"
"TID_SHOP_GUARD_2H","Protection de 2 heures"
"TID_SHOP_SHIELD_1D","Bouclier d'un jour"
"TID_SHOP_SHIELD_2D","Bouclier de deux jours"
"TID_SHOP_SHIELD_7D","Bouclier d'une semaine"
"TID_ALLIANCE_MAIN_BUTTON","Clan"
"TID_ALLIANCE_LIST_HEADER","Clan"
"TID_CREATE_ALLIANCE_BUTTON","Créer"
"TID_LEAVE_ALLIANCE_BUTTON","Quitter"
"TID_JOIN_ALLIANCE_TAB","Rejoindre un clan"
"TID_CREATE_ALLIANCE_TAB","Créer un clan"
"TID_MY_ALLIANCE_TAB","Mon clan"
"TID_ALLIANCE_BUTTON_EDIT","Modifier"
"TID_ALLIANCE_CREATE_NAME","Nom du clan :"
"TID_ALLIANCE_CREATE_DESCRIPTION","Description :"
"TID_ALLIANCE_CREATE_BADGE","Écusson :"
"TID_ALLIANCE_CREATE_TYPE","Type de clan :"
"TID_ALLIANCE_BADGE_BROWSE","Parcourir"
"TID_ALLIANCE_TYPE_OPEN","Ouvert à tous"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Sur invitation"
"TID_ALLIANCE_TYPE_CLOSED","Fermé"
"TID_TOO_SHORT_ALLIANCE_NAME","Le nom du clan est trop court !"
"TID_BACK_BUTTON","Retour"
"TID_ALLIANCE_SELECT_BADGE","Modification de l'écusson de clan"
"TID_ALLIANCE_JOIN_BUTTON","Rejoindre"
"TID_ALLIANCE_JOIN_OK","Vous faites désormais partie du clan <name> !"
"TID_ALLIANCE_CREATE_OK","Votre clan a été créé !"
"TID_ALLIANCE_BUTTON_LEAVE","Quitter"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","Quitter le clan ?"
"TID_ALLIANCE_LEAVE_CONFIRMATION","Voulez-vous vraiment quitter le clan ?"
"TID_ALLIANCE_ROLE_ADMIN","Aîné"
"TID_ALLIANCE_ROLE_LEADER","Chef"
"TID_ALLIANCE_ROLE_MEMBER","Membre"
"TID_ALLIANCE_PROMOTE_BUTTON","Promouvoir : <role>"
"TID_ALLIANCE_DEMOTE_BUTTON","Rétrograder : <role>"
"TID_ALLIANCE_ACCEPTED_BY","Accepté par <name>"
"TID_ALLIANCE_REJECTED_BY","Rejeté par <name>"
"TID_ALLIANCE_REQUEST_SENT","Demande envoyée !"
"TID_ALLIANCE_INVITATION_OK","L'invitation a été envoyée."
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","Invitation impossible. Ce joueur n'a pas de château de clan !"
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","Ce joueur a déjà rejoint un clan !"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","Vous avez déjà invité ce joueur !"
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","Salut ! Je voudrais rejoindre votre clan."
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","Accepter la demande ?"
"TID_KICK_OUT_FROM_ALLIANCE","Exclure"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","Se désister ?"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","Faire de <name> le nouveau chef du clan ?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","Promouvoir ?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","Promouvoir <name> au rang d'aîné du clan ?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","Rétrograder ?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","Rétrograder <name> au rang de membre du clan ?"
"TID_KICK_MEMBER_CONFIRMATION_TITLE","Exclusion !"
"TID_KICK_MEMBER_CONFIRMATION","Exclure <name> du clan ?"
"TID_VISIT_BUTTON","Rendre visite"
"TID_VIEW_PROFILE_BUTTON","Profil"
"TID_INVITE_BUTTON","Inviter"
"TID_VIEW_ALLIANCE","Voir le clan"
"TID_SETTINGS_LANGUAGE","Langue"
"TID_SAVE_ALLIANCE_SETTINGS","Sauvegarder"
"TID_STREAM_DONATE_TEXT","a besoin de renforts"
"TID_STREAM_DONATE_BUTTON","Donner"
"TID_ALLIANCE_DONATE_HEADER","Donner des renforts"
"TID_BUTTON_REQUEST_TROOPS","Demander"
"TID_TROOP_REQUEST_SENT","La demande a été envoyée !"
"TID_ALLIANCE_STREAM_THANKS","Merci pour les renforts !"
"TID_ALLIANCE_TROOP_RECEIVED","Vous avez reçu : <troop> de niveau <level> de la part de <avatar> !"
"TID_BARBARIAN","Barbare"
"TID_ARCHER","Archer"
"TID_GIANT","Géant"
"TID_DRAGON","Dragon"
"TID_PEKKA","P.E.K.K.A"
"TID_GOBLIN","Gobelin"
"TID_WALL_BREAKER","Sapeur"
"TID_GOBLIN_BALLOON","Ballon"
"TID_HEALER","Guérisseuse"
"TID_WIZARD","Sorcier"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","Le château de clan est déjà plein !"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","Vous devez attendre avant de demander plus de renfort."
"TID_ALLIANCE_STREAM_REWARD","Vous avez reçu <number> points d'EXP."
"TID_HOUSING_TROOPS_INSIDE","Toutes les troupes :"
"TID_UNIT_STORAGE_CAPACITY","Capacité de troupes : <number>"
"TID_REGENERATION_TIME","Durée de régénération : <number> minutes"
"TID_HITPOINTS","Points de vie : <number>"
"TID_DPS","Dégâts par seconde : <number>"
"TID_BURST_SIZE","Rafale : <number> tirs"
"TID_HEAL","Soins : <number>"
"TID_TRAIN_COST","Coût de la formation : <number> <resource>"
"TID_RESOURCE_STORAGE_CAPACITY","Capacité : <number>"
"TID_PRODUCTION_RATE","Taux de production : <number> par heure"
"TID_PRODUCTION_CAPACITY","Capacité : <number>"
"TID_TRAINING_TIME","Durée de formation : <number>"
"TID_TRAINING_TIME_REDUCTION","Réduction de la durée de formation : <number>"
"TID_HOUSING_INFO","Vos troupes sont stationnées dans les camps militaires. Construisez plus de camps et améliorez-les pour lever une puissante armée."
"TID_TOWN_HALL_INFO","L'hôtel de ville est le cœur de votre village. Son amélioration permet de débloquer des bâtiments, défenses, pièges et bien plus encore.\nDétruisez un hôtel de ville ennemi pour gagner la bataille et obtenir une étoile. Détruisez 50 % des bâtiments ennemis pour obtenir une deuxième étoile, et 100 % pour obtenir trois étoiles.\nAttention, vos ennemis essaieront aussi de s'attaquer à votre hôtel de ville !\nPour une protection maximale, placez votre hôtel de ville au centre du village et protégez-le avec des remparts, pièges et bâtiments défensifs. Vos ennemis sont rusés et peuvent vous attaquer de tous les côtés !"
"TID_ELIXIR_PUMP_INFO","L'élixir est extrait des lignes telluriques qui traversent le sous-sol de votre village. Améliorez vos extracteurs pour optimiser la production d'élixir."
"TID_ELIXIR_STORAGE_INFO","Ces réservoirs contiennent l'élixir qui a été extrait du sous-sol. Améliorez-les pour augmenter leur capacité de stockage maximale."
"TID_GOLD_MINE_INFO","La mine d'or produit de l'or. Améliorez-la pour accélérer sa production et augmenter sa capacité de stockage."
"TID_GOLD_STORAGE_INFO","Tout votre or est stocké ici. Ne laissez pas ces affreux gobelins s'en approcher ! Améliorez la réserve pour augmenter sa capacité de stockage et sa résistance aux attaques."
"TID_BARRACK_INFO","La caserne permet de former des troupes pour attaquer vos ennemis. Améliorez-la pour débloquer de meilleures unités et gagner des batailles épiques."
"TID_BASIC_TURRET_INFO","Les canons sont d'excellentes armes de défense ponctuelle. Améliorez-les pour augmenter leur puissance de feu, mais n'oubliez pas qu'ils ne peuvent fonctionner pendant l'amélioration !"
"TID_ARCHER_TOWER_INFO","Les tours d'archers ont une portée plus importante que les canons, et elles peuvent attaquer les ennemis volants."
"TID_WIZARD_TOWER_INFO","La meilleure défense magique ! Les sorciers de la tour lancent des sorts puissants à zone d'effet étendue sur les troupes aériennes comme terrestres."
"TID_TESLA_TOWER_INFO","Posez des pièges mortels avec les Tesla camouflées ! Nos sorciers ont emprisonné un nuage d'orage dans chacune de ces tours. Lorsqu'un ennemi marche ou vole trop près d'elle, la tour s'élève et l'électrocute !"
"TID_AIR_DEFENSE_INFO","Cette tour de défense anti-aérienne est redoutable contre les ennemis volants, mais ne peut rien contre les ennemis au sol. Positionnez-la judicieusement afin de couvrir une surface aérienne maximale."
"TID_MORTAR_INFO","Le mortier peut décimer des hordes d'ennemis grâce aux dégâts étendus de ses obus. Mais ne laissez pas les ennemis s'en approcher !"
"TID_ALLIANCE_CASTLE_INFO","Le château de clan abrite votre trésorerie ainsi que les troupes de renfort et les sorts envoyés par les membres de votre clan."
"TID_WORKER_INFO","Vous n'arriverez à rien sans ouvriers ! Vous pouvez en recruter davantage pour lancer plusieurs projets de construction à la fois, ou accélérer leur travail avec des gemmes."
"TID_LABORATORY_INFO","Quels sombres secrets cachent les alchimistes dans leur laboratoire ? Personne n'ose y entrer. Tout ce qu'on sait, c'est que leurs travaux de recherche améliorent nos sorts et nos troupes !"
"TID_STREAM_SENDER_YOU","Vous"
"TID_SHIELD_ACTIVATED","Bouclier ennemi activé pendant <hours> heures"
"TID_STREAM_ENTRY_AGE","Il y a <time>"
"TID_UPGRADE_WINDOW_NOTE","Remarque"
"TID_OBSTACLE_CLEAR_TIME","Durée de la suppression"
"TID_UPGRADE_TIME","Durée de l'amélioration"
"TID_BUILD_TIME","Durée de la construction"
"TID_GEAR_UP_TIME","Durée de l'équipement"
"TID_UNLOCK_BUILDINGS","Bâtiments débloqués :"
"TID_REQUIRED_EXP_LEVEL","Expérience de niveau <number> nécessaire"
"TID_REQUIRED_TOWN_HALL_LEVEL","Hôtel de ville de niveau <number> nécessaire"
"TID_REQUIRED_BUILDERS_HALL_LEVEL","Maison des ouvriers niveau <number> requise"
"TID_REQUIRED_CASTLE_LEVEL","Château de niveau <number> nécessaire"
"TID_REQUIRED_BARRACK_LEVEL","Caserne de niveau <number> nécessaire"
"TID_REQUIRED_DARK_BARRACK_LEVEL","Caserne noire de niveau <number> requise"
"TID_REQUIRED_LABORATORY_LEVEL","Laboratoire de niveau <number> nécessaire"
"TID_INFO_PREFERRED_TARGET","Cible préférée :"
"TID_PREFERRED_TARGET_ANY","Toutes"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","(Dégâts x<number>)"
"TID_INFO_TARGET_TYPE","Cibles :"
"TID_INFO_DAMAGE_TYPE","Type de dégâts :"
"TID_INFO_HEAL_TYPE","Type de soin :"
"TID_INFO_HOUSING","Espace occupé :"
"TID_INFO_TRAINING_TIME","Durée de la formation :"
"TID_INFO_RANGE","Portée :"
"TID_INFO_TARGET_TYPE_GROUND","Sol"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","Sol et air"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","Sol ou air"
"TID_INFO_TARGET_TYPE_AIR","Air"
"TID_INFO_DAMAGE_TYPE_AOE","Effet de zone"
"TID_INFO_DAMAGE_TYPE_SINGLE","Cible unique"
"TID_INFO_RANGE_VALUE","<number> cases"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","L'amélioration de votre <item> au niveau <level> est terminée."
"TID_LOCAL_NOTIFICATION_BUILDING_READY","La construction de votre <item> est terminée."
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","Bonus étoile disponible ! L'heure du combat a sonné !"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","Chef, notre bouclier a disparu !"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","Oups, auriez-vous oublié de former votre armée ?"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","Oups, auriez-vous oublié de concocter vos sorts ?"
"TID_NEW","Nouveau"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","Arrêter la construction ?"
"TID_POPUP_CANCEL_CONSTRUCTION","Voulez-vous vraiment arrêter la construction de votre <item> ? Vous ne pourrez récupérer que <number> % du coût."
"TID_POPUP_CANCEL_UPGRADE_TITLE","Arrêter l'amélioration ?"
"TID_POPUP_CANCEL_UPGRADE","Voulez-vous vraiment arrêter l'amélioration de votre <item> ? Vous ne pourrez récupérer que <number> % du coût."
"TID_POPUP_CANCEL_CLEAR_TITLE","Arrêter la suppression ?"
"TID_POPUP_CANCEL_CLEAR","Voulez-vous vraiment arrêter la suppression de : <item> ?"
"TID_ALLIANCE_LEADERBOARDS","Meilleurs clans"
"TID_PLAYER_LEADERBOARDS","Meilleurs joueurs"
"TID_AVAILABLE_LOOT","Butin disponible :"
"TID_INFO","i"
"TID_ATTACK_BUTTON","Attaquer"
"TID_ALLIANCE_SNEAK_PREVIEW","Accédez aux clans en réparant le château de clan !\n\nLes membres d'un clan peuvent s'entraider en envoyant des troupes de renfort et des sorts."
"TID_BUILD_TIME_INSTANT","Aucune"
"TID_BUILDING_CAP_REACHED","Vous avez déjà construit le nombre maximum de ces bâtiments."
"TID_DIAMONDS_FOUND","Vous avez trouvé <number> gemmes dans : <name> !"
"TID_DIAMOND_FOUND","Vous avez trouvé une gemme dans : <name> !"
"TID_SHOP_CATEGORY_DECOS","Décorations"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","Ressources"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","Armée"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","Défenses"
"TID_SHOP_CATEGORY_TREASURE","Trésors"
"TID_SHOP_CATEGORY_SHIELD","Bouclier"
"TID_SHOP_CATEGORY_BUILDERS","Ouvriers"
"TID_TRAINING_WARRIORS","Soldats :"
"TID_TRAINING_SLOTS","Emplacements de formation :"
"TID_TOTAL_TRAINING_TIME","Durée totale :"
"TID_FINISH_BUTTON","Terminer"
"TID_TROOP_TRAINING_MAX","Max."
"TID_UNCLOK_FROM_LABORATORY","À débloquer dans le laboratoire"
"TID_NOT_ENOUGH_HOUSING_SPACE","Il n'y a pas assez de place dans les camps militaires !"
"TID_UNLOCK_BUILDING_MULTIPLE","Permet de débloquer :"
"TID_UNLOCK_BARRACK_TROOP","Permet de débloquer : <name>"
"TID_REDUCE_TIME_BARRACK_TROOP","Réduit la durée de formation de :"
"TID_REDUCE_TIME_BARRACK_TROOP2","Nouvelle durée de formation : <num2>"
"TID_BUILDING_TEXT_FULL","Plein !"
"TID_BUILDING_TEXT_TRAIN","Former"
"TID_TRAINING_SLOT_STOPPED","Arrêté !"
"TID_BUILDING_TEXT_ALERT","!!!"
"TID_TRAIN_ALL_HOUSINGS_FULL","Les casernes sont pleines !"
"TID_TRAIN_ALL_HOUSINGS_FULL_INFO","Améliorez vos camps militaires ou construisez-en d'autres pour accueillir plus de troupes, ou bien envoyez des troupes au combat !"
"TID_BUTTON_FIGHT","Commencer"
"TID_BATTLE_START_TIME","Début de la bataille dans :"
"TID_NEXT_MATCH","Suivant"
"TID_END_BATTLE_BUTTON","Terminer la bataille"
"TID_SURRENDER_BUTTON","Capituler"
"TID_TROOP_UPGRADE_TIME","Durée totale :"
"TID_MAX_TROOP_LEVEL","Niveau maximum"
"TID_LEVEL_NUM","Niveau <number>"
"TID_BUTTON_UPGRADE_TROOPS","Rechercher"
"TID_POPUP_UPGRADE_TROOP_TITLE","Choisissez les troupes à améliorer"
"TID_TROOP_ALREADY_AT_MAX_LEVEL","Cette unité est déjà au niveau maximum !"
"TID_TROOP_UPGRADE_ALREADY_ONGOING","L'amélioration est déjà en cours."
"TID_TROOP_UPGRADE_COMPLETED","Amélioration terminée : <item> niveau <number>"
"TID_UNITS_LEFT","Il vous en reste <number>."
"TID_PLAYER_ATTACKING_YOU","Joueurs qui vous attaquent :"
"TID_LOOT","Vous avez perdu des ressources :"
"TID_OUTCOME","Résultat :"
"TID_YOU_LOST","Vos défenses ont perdu."
"TID_YOU_WIN","Vos défenses ont gagné."
"TID_REVENGE","Vengeance"
"TID_JOINQUESTION","Voulez-vous rejoindre le clan ?"
"TID_TAP_TO_EXPAND","Touchez pour développer"
"TID_BUY_MISSING_RESOURCES_HEADER","Il vous faut plus de : <resource>"
"TID_BUY_MISSING_RESOURCES_TEXT","Acheter les <count> <resource> nécessaires ?"
"TID_BUY_MISSING_RESOURCES_HEADER_TWO","Ressources insuffisantes"
"TID_BUY_MISSING_RESOURCES_TEXT_TWO","Acheter les <count> <resource> et <count2> <resource2> qu'il vous manque ?"
"TID_BUY_RESOURCE_PACK_HEADER","Acheter <resource> ?"
"TID_BUY_RESOURCE_PACK_TEXT","Voulez-vous vraiment acheter <count> <resource> ?"
"TID_BUY_GUARD_HEADER","Acheter une protection ?"
"TID_BUY_SHIELD_HEADER","Acheter un bouclier ?"
"TID_BUY_SHIELD_TEXT","Voulez-vous vraiment acheter 1 <name> ?"
"TID_RESOURCE_PACK_LOCKED","Capacité de stockage insuffisante !"
"TID_STAR1","Génial !"
"TID_STAR2","Excellent !"
"TID_STAR3","Parfait !"
"TID_OVERALL_DAMAGE","Dégâts généraux"
"TID_VILLAGE_GUARD_TITLE","Protection :"
"TID_SHIELD_TITLE","Bouclier :"
"TID_SHIELD_NONE","Aucun"
"TID_BATTLE_LOG","Journal de combat"
"TID_BATTLE_INBOX","Boîte aux lettres"
"TID_VICTORY","Victoire"
"TID_DEFEAT","Défaite"
"TID_WHAT_YOU_GOT","Vous avez obtenu :"
"TID_TROOPS_USED","Troupes déployées :"
"TID_TOTAL_DAMAGE","Dégâts totaux :"
"TID_SCORE","Score"
"TID_YOU_HAVE_BEEN_ATTACKED","Chef, notre village a été attaqué !"
"TID_YOU_HAVE_BEEN_ATTACKED_TITLE","Raid ennemi"
"TID_YOU_HAVE_BEEN_ATTACKED_HEADER","Chef, le village a été attaqué en votre absence !"
"TID_TUTORIAL_CANNON_1","Bienvenue, chef ! Nous vous attendons depuis longtemps."
"TID_TUTORIAL_CANNON_2","Voici votre nouveau village. N'est-il pas magnifique ? Notre vie serait parfaite s'il n'y avait pas ces satanés..."
"TID_TUTORIAL_CANNON_3","Oh non, c'est la horde des gobelins ! Vite, installons un canon pour défendre le village !"
"TID_TUTORIAL_CANNON_4","Placez le canon au centre du village. Nous devons protéger l'hôtel de ville !"
"TID_TUTORIAL_CANNON_5","Ce n'est pas le moment d'être radin : dépensez quelques gemmes pour accélérer le processus !"
"TID_TUTORIAL_DEFEND_1","Groarrrgh, les voilà ! Horde de gobelins, À L'ATTAAAQUE !!!"
"TID_TUTORIAL_DEFEND_1b","Gouahah, mais qu'est-ce que c'est que ça ? Encore une de ces vermines d'humain !"
