"Name","ParticleCount","EmissionTime","MinLife","MaxLife","MinHorizAngle","MaxHorizAngle","MinVertAngle","MaxVertAngle","MinSpeed","MaxSpeed","StartX","StartY","StartZ","TargetedEndZ","Gravity","OrientToMovement","OrientToParentType","BounceFromGround","IsIsoParticle","IsoLayer","ParticleSwf","ParticleExportName","AdditiveBlend","Inertia","Slowdown","StartScale","EndScale","MinRotate","MaxRotate","ParticleFadeOutTime","ScaleTimeline","FadeInTime","FadeOutTime","StartAngleMin","StartAngleMax","ScaleRandomMin","ScaleRandomMax","Alpha","OrientToParent","StartRadiusMin","StartRadiusMax","StartRadius"
"AirDefence3_hit3",1,900,600,1200,0,360,0,0,1,1,0,0,0,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","wizard_tower_explosion","TRUE",20,0,20,120,-10,10,300,"TRUE",0,0,0,0,100,100,100,"FALSE",0,0,0
"AirDefence3_hit4",5,900,450,500,0,360,0,0,1,1,0,0,0,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","wizard_tower_explosion","TRUE",20,0,20,120,-10,10,400,"TRUE",0,0,0,0,100,100,100,"FALSE",85,85,0
"AirDefenceMini1_hit1",3,150,250,300,0,360,0,90,10,25,0,0,0,0,-60,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","fireball3b","TRUE",20,0,1,20,-5,5,100,"TRUE",0,0,0,0,100,100,100,"FALSE",10,10,0
"AirDefenceMini1_hit2",5,2,800,1500,0,360,0,90,300,750,0,0,0,0,1000,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","fireball3b","TRUE",23,0,3,5,0,90,2000,"TRUE",0,0,0,0,100,100,100,"FALSE",1,1,0
"AirDefenceMini1_hit3",1,150,600,1200,0,360,0,0,1,1,0,0,0,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","wizard_tower_explosion","TRUE",20,0,10,30,-10,10,500,"TRUE",0,0,0,0,100,100,100,"FALSE",0,0,0
"AirDefenceMini2_hit1",4,150,250,300,0,360,0,90,10,25,0,0,0,0,-60,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","fireball3b","TRUE",20,0,1,40,-5,5,100,"TRUE",0,0,0,0,100,100,100,"FALSE",10,10,0
"AirDefenceMini2_hit2",7,2,500,1500,0,360,0,90,300,750,0,0,0,0,1000,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","fireball3b","TRUE",23,0,3,5,0,90,2000,"TRUE",0,0,0,0,100,100,100,"FALSE",1,1,0
"AirDefenceMini2_hit3",1,250,600,1200,0,360,0,0,1,1,0,0,0,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","wizard_tower_explosion","TRUE",20,0,10,30,-10,10,300,"TRUE",0,0,0,0,100,100,100,"FALSE",0,0,0
"AirDefenceMini2_hit4",3,250,450,500,0,360,0,0,1,1,0,0,0,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","wizard_tower_explosion","TRUE",20,0,10,30,-10,10,400,"TRUE",0,0,0,0,100,100,100,"FALSE",10,10,0
"AirDefenceMini3_hit1",5,200,250,300,0,360,0,90,10,25,0,0,0,0,-60,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","fireball3b","TRUE",20,0,1,40,-5,5,100,"TRUE",0,0,0,0,100,100,100,"FALSE",10,10,0
"AirDefenceMini3_hit2",5,2,500,1500,0,360,0,90,300,750,0,0,0,0,1000,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","fireball3b","TRUE",23,0,3,5,0,90,2000,"TRUE",0,0,0,0,100,100,100,"FALSE",1,1,0
"AirDefenceMini3_hit3",1,250,600,1200,0,360,0,0,1,1,0,0,0,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","wizard_tower_explosion","TRUE",20,0,10,30,-10,10,300,"TRUE",0,0,0,0,100,100,100,"FALSE",0,0,0
"AirDefenceMini3_hit4",5,250,450,500,0,360,0,0,1,1,0,0,0,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","wizard_tower_explosion","TRUE",20,0,10,30,-10,10,400,"TRUE",0,0,0,0,100,100,100,"FALSE",10,10,0
"AirDefenseBarrel_Fire_balls",5,2,800,1500,0,360,0,90,600,1500,0,0,30,0,1000,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","fireball3b","TRUE",15,0,8,10,0,90,1500,"TRUE",0,0,0,0,100,100,100,"FALSE",40,40,0
"AirDefenseBarrel_Fire_explosion",10,1,400,800,0,90,-20,-20,20,50,0,0,70,0,-60,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","FireParticle1","TRUE",20,0,80,150,-5,5,100,"TRUE",0,0,0,0,100,100,100,"FALSE",80,80,0
,,,,,,,,,,,,,,,,,,,,,,"FireParticle2","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"FireParticle3","TRUE",,,,,,,,,,,,,,,,,,,
"AirDefenseBarrel_bomb_area",1,100,400,600,0,0,0,0,1,10,0,0,0,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","damage_radius_bomb","TRUE",100,0,150,160,0,0,1000,"TRUE",0,0,0,0,100,100,80,"FALSE",0,0,0
"AirDefenseBarrel_dustring",5,1,400,800,0,360,10,10,300,750,0,0,30,0,-5,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","d5","FALSE",60,0,20,30,-50,50,500,"TRUE",0,0,0,0,100,100,100,"FALSE",50,50,0
"AirDefenseBarrel_flash",2,150,150,150,0,0,0,0,0,0,0,0,30,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","spell_range_marker_3","TRUE",0,0,10,200,0,0,100,"TRUE",0,0,0,0,100,100,100,"FALSE",0,0,0
"AirDefenseBarrel_mushcloud",2,100,1200,2000,0,360,45,90,4000,5000,0,0,-70,0,-800,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","s1","FALSE",300,0,100,240,-15,15,600,"TRUE",0,0,0,0,100,100,100,"FALSE",0,0,0
,,,,,,,,,,,,,,,,,,,,,,"d5","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"d4","FALSE",,,,,,,,,,,,,,,,,,,
"AirDefenseBarrel_spark",25,0,500,1000,0,360,30,90,500,1000,0,0,30,0,1500,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","spark_flame","TRUE",30,20,155,10,-5,5,600,"FALSE",0,600,0,0,100,100,100,"FALSE",10,10,0
"Air_blaster_hit_explo",8,100,500,1500,0,360,15,33,200,400,0,0,10,0,400,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","spark_flame2","TRUE",10,0,100,10,-90,90,10,"FALSE",10,100,0,0,100,100,100,"FALSE",30,30,0
"Air_blaster_hit_explo_center",3,100,400,600,0,360,15,80,1,2,0,0,5,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","spark","TRUE",0,0,300,10,-90,90,10,"FALSE",10,50,0,0,100,100,100,"FALSE",30,30,0
"Air_blaster_test",1,10,3200,3200,0,0,0,0,200,200,0,0,100,0,0,"TRUE","HorizontalAngle","FALSE","FALSE","Object","sc/buildings.sc","test_airmortar_fx","FALSE",100,0,100,100,0,0,10,"TRUE",10,10,0,0,100,100,100,"FALSE",100,100,0
"Air_bomb_area",1,100,1000,1041,0,0,0,0,1,10,0,0,100,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","damage_radius_bomb","TRUE",100,0,350,360,0,0,1041,"TRUE",0,0,0,0,100,100,80,"FALSE",0,0,0
"Air_ring",2,20,3200,3200,0,360,0,360,1,1,0,0,0,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","isometric_soft_smokering1","FALSE",100,0,180,220,0,0,400,"TRUE",350,100,0,0,100,100,100,"FALSE",1,1,0
"Air_ring2",1,20,2800,3200,0,360,0,360,1,1,0,0,0,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","isometric_soft_smoke1","FALSE",100,0,100,300,0,0,300,"FALSE",150,1200,0,0,100,100,100,"FALSE",1,1,0
"Air_ring_start",1,20,400,600,0,360,0,360,1,1,0,0,0,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","isometric_soft_smokering1","FALSE",100,0,33,220,0,0,300,"FALSE",10,300,0,0,100,100,100,"FALSE",1,1,0
"Air_smoke_swirl",12,1200,600,1000,0,360,0,360,2,3,0,0,1,0,0,"TRUE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","smoke_swirl1","FALSE",0,0,3,5,0,0,10,"TRUE",0,0,0,0,100,100,100,"FALSE",100,100,0
,,,,,,,,,,,,,,,,,,,,,,"smoke_swirl2","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"smoke_swirl3","FALSE",,,,,,,,,,,,,,,,,,,
"ArcherQueen_attack",2,1,1500,1500,0,360,5,5,10,50,0,0,30,0,-10,"FALSE","HorizontalAngle","FALSE","FALSE","Object","sc/buildings.sc","d6","FALSE",10,0,50,100,-40,40,2000,"TRUE",0,0,0,0,100,100,100,"FALSE",0,0,0
"AreaDamage_rangeRing",1,1,20000,22000,0,0,0,0,0,0,0,0,0,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","catapult_rangeRing","TRUE",0,0,100,100,0,0,300,"TRUE",0,0,0,0,100,100,100,"FALSE",0,0,0
"Arrow_Tower_lightFlash",1,1,160,160,0,0,0,0,0,0,0,0,0,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","spell_range_marker_3","TRUE",0,0,30,50,0,0,340,"TRUE",0,0,0,0,100,100,100,"FALSE",0,0,0
"ArtilleryHit_dustring",15,1,400,800,0,360,10,10,300,750,0,0,-50,0,-5,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","d5","FALSE",60,0,40,100,-50,50,500,"TRUE",0,0,0,0,100,100,100,"FALSE",50,50,0
"ArtilleryHit_mushcloud",20,100,1200,2000,0,360,45,90,4000,5000,0,0,0,0,-800,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","s1","FALSE",300,0,100,240,-15,15,600,"TRUE",0,0,0,0,100,100,100,"FALSE",0,0,0
,,,,,,,,,,,,,,,,,,,,,,"d5","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"d4","FALSE",,,,,,,,,,,,,,,,,,,
"ArtilleryHit_spark",10,1000,800,1500,0,360,-45,-45,100,200,80,0,-50,0,600,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","spark_flame","TRUE",10,0,200,50,-5,5,600,"FALSE",0,600,0,0,100,100,100,"FALSE",100,100,0
"Balloon_Die_bloon",15,1,500,800,0,360,0,360,200,800,0,0,130,0,500,"TRUE","Disabled","TRUE","FALSE","Object","sc/buildings.sc","balloonDebris3","FALSE",10,0,20,10,20,90,250,"TRUE",0,0,0,0,100,100,100,"FALSE",0,0,0
,,,,,,,,,,,,,,,,,,,,,,"balloonDebris1","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"balloonDebris4","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"balloonDebris2","FALSE",,,,,,,,,,,,,,,,,,,
"Balloon_Die_darkBloon",15,1,500,800,0,360,0,360,200,800,0,0,130,0,500,"TRUE","Disabled","TRUE","FALSE","Object","sc/buildings.sc","balloonDebris3_dark","FALSE",10,0,35,10,20,90,250,"TRUE",0,0,0,0,100,100,100,"FALSE",0,0,0
,,,,,,,,,,,,,,,,,,,,,,"balloonDebris1_dark","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"balloonDebris4_dark","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"balloonDebris2_dark","FALSE",,,,,,,,,,,,,,,,,,,
"Balloon_Die_wood",4,20,1200,2200,0,360,30,90,700,1200,0,0,0,0,3000,"TRUE","Disabled","TRUE","FALSE","Object","sc/buildings.sc","debris5","FALSE",20,0,25,40,20,90,600,"TRUE",0,0,0,0,100,100,100,"FALSE",80,80,0
,,,,,,,,,,,,,,,,,,,,,,"debris6","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris7","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris8","FALSE",,,,,,,,,,,,,,,,,,,
"Battle Ram Destroyed",30,1,700,1200,0,360,30,90,300,1200,0,0,0,0,3000,"FALSE","Disabled","TRUE","FALSE","Object","sc/buildings.sc","debris1","FALSE",0,300,70,100,20,90,400,"TRUE",0,0,-180,180,80,120,100,"FALSE",50,50,0
,,,,,,,,,,,,,,,,,,,,,,"debris_ram_3","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris12","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris_ram_2","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris_ram_1","FALSE",,,,,,,,,,,,,,,,,,,
"Birthday_confetti_explosion",15,5,2000,3000,0,360,0,90,1,10,0,0,140,0,400,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","confetti1","TRUE",0,300,100,60,-20,30,3000,"TRUE",100,2500,0,0,100,100,100,"FALSE",450,450,0
,,,,,,,,,,,,,,,,,,,,,,"confetti2","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"confetti3","TRUE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"confetti4","TRUE",,,,,,,,,,,,,,,,,,,
"Birthday_rings",1,150,300,300,0,0,0,0,1,10,0,0,0,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","birthdayspell_rangeRing1","TRUE",0,0,20,75,0,0,400,"TRUE",0,0,0,0,100,100,100,"FALSE",0,0,0
"Birthday_summon_area_glow",1,1,2500,2500,0,0,0,0,0,0,0,0,15,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","birthday_glow","TRUE",0,0,120,120,0,0,2000,"TRUE",0,0,0,0,100,100,100,"FALSE",0,0,0
"Birthday_summon_confetti",15,500,1000,2000,0,360,0,90,1,10,0,0,550,0,1000,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","confetti1","TRUE",0,300,110,60,-20,30,2000,"TRUE",100,1200,0,0,100,100,100,"FALSE",350,350,0
,,,,,,,,,,,,,,,,,,,,,,"confetti2","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"confetti3","TRUE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"confetti4","TRUE",,,,,,,,,,,,,,,,,,,
"BlastBow_trail_emitter",2,35,330,500,0,360,0,0,1,2,0,0,0,0,600,"FALSE","Disabled","TRUE","TRUE","Object","sc/buildings_cc.sc","ballista_trail_lvl1","FALSE",25,0,60,25,0,0,500,"FALSE",100,800,85,95,120,150,80,"FALSE",4,4,0
"Bomb Tower Bomb Appear1",1,1,2500,2500,0,0,0,0,0,0,20,0,70,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","bomb_tower_bomb_lvl1","FALSE",0,0,115,115,0,0,2500,"FALSE",0,0,0,0,100,100,100,"FALSE",0,0,0
"Bomb Tower Bomb Appear2",1,1,2500,2500,0,0,0,0,0,0,20,0,70,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","bomb_tower_bomb_lvl2","FALSE",0,0,115,115,0,0,2500,"FALSE",0,0,0,0,100,100,100,"FALSE",0,0,0
"Bomb Tower Bomb Appear3",1,1,2500,2500,0,0,0,0,0,0,20,0,70,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","bomb_tower_bomb_lvl3","FALSE",0,0,115,115,0,0,2500,"FALSE",0,0,0,0,100,100,100,"FALSE",0,0,0
"Bomb Tower Bomb Appear4",1,1,2500,2500,0,0,0,0,0,0,20,0,70,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","bomb_tower_bomb_lvl4","FALSE",0,0,115,115,0,0,2500,"FALSE",0,0,0,0,100,100,100,"FALSE",0,0,0
"BombTowerHit",10,100,400,1000,0,360,45,90,4000,5000,0,0,0,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","s1","FALSE",300,0,100,175,-15,15,600,"TRUE",0,0,0,0,100,100,50,"FALSE",0,0,0
,,,,,,,,,,,,,,,,,,,,,,"s2","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"s3","FALSE",,,,,,,,,,,,,,,,,,,
"Bomber_ground_bomb_area",1,100,200,250,0,0,0,0,1,10,0,0,0,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","damage_radius_bomb","TRUE",100,0,300,310,0,0,1000,"TRUE",0,0,0,0,100,100,80,"FALSE",0,0,0
"Bonus_Gems",4,300,1000,1200,0,360,80,90,850,950,0,0,33,0,1400,"FALSE","Disabled","TRUE","FALSE","Object","sc/buildings.sc","gem_particle","FALSE",0,0,100,10,-45,45,128,"FALSE",60,128,0,0,100,100,100,"FALSE",20,20,0
"Building Destroyed",30,1,700,1200,0,360,30,90,300,1200,0,0,0,0,3000,"FALSE","Disabled","TRUE","FALSE","Object","sc/buildings.sc","debris1","FALSE",0,300,70,100,20,90,400,"TRUE",0,0,-180,180,80,120,100,"FALSE",50,50,0
,,,,,,,,,,,,,,,,,,,,,,"debris2","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris3","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris4","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris5","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris6","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris7","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris8","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris9","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris10","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris11","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris12","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris13","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris14","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris15","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris16","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris17","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris18","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"debris19","FALSE",,,,,,,,,,,,,,,,,,,
"Building Ready",2,300,500,1200,0,0,0,0,100,200,0,0,185,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","speed_up_fx","FALSE",100,0,100,100,0,0,1,"TRUE",0,0,0,0,100,100,100,"FALSE",0,0,0
"Cannon",3,300,200,2000,0,360,90,90,1000,3000,0,0,-20,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","d1","FALSE",60,0,70,140,0,30,500,"TRUE",0,0,0,0,100,100,100,"FALSE",80,80,0
,,,,,,,,,,,,,,,,,,,,,,"d2","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"d3","FALSE",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"d4","FALSE",,,,,,,,,,,,,,,,,,,
"Cannon_fireBalls",5,1,400,750,-20,20,-20,20,300,800,0,0,70,0,500,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","fireball3b","TRUE",0,0,8,10,0,90,1500,"TRUE",0,0,0,0,100,100,100,"FALSE",50,50,0
"Cannon_fireBalls2",5,1,400,750,-20,20,-20,20,300,800,0,0,70,0,500,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","fireball3b","TRUE",0,0,8,20,0,90,1500,"TRUE",0,0,0,0,100,100,100,"FALSE",70,70,0
"Cannon_fireBalls3",0,30,400,750,-15,15,-15,15,5,1000,0,0,70,0,500,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","fireball3b","TRUE",15,0,14,8,0,90,1500,"TRUE",0,0,0,0,100,100,100,"FALSE",70,70,0
"Cannon_flash",5,120,700,850,-10,10,-5,5,500,500,0,0,70,0,0,"FALSE","HorizontalAngle","FALSE","FALSE","Object","sc/buildings.sc","d5","FALSE",15,0,30,100,-40,90,2000,"TRUE",0,0,0,0,100,100,100,"FALSE",50,50,0
"Cannon_flash2",5,120,700,850,-10,10,-5,5,500,500,0,0,70,0,0,"FALSE","HorizontalAngle","FALSE","FALSE","Object","sc/buildings.sc","d5","FALSE",15,0,30,150,-40,90,2000,"TRUE",0,0,0,0,100,100,100,"FALSE",70,70,0
"Cannon_flash3",30,120,700,850,-10,10,-5,5,10,900,0,0,70,0,0,"FALSE","HorizontalAngle","FALSE","FALSE","Object","sc/buildings.sc","d5","FALSE",15,0,30,150,-40,90,2000,"TRUE",0,0,0,0,100,100,100,"FALSE",70,70,0
"Cannon_smoke",15,30,1400,1800,-40,40,-40,40,-230,-500,0,0,70,0,-25,"FALSE","HorizontalAngle","FALSE","FALSE","Object","sc/buildings.sc","d5","FALSE",100,0,50,70,-180,180,4000,"TRUE",0,0,0,0,100,100,100,"FALSE",50,50,0
"Cannon_smoke2",15,30,1400,1800,-40,40,-40,40,-230,-500,0,0,70,0,-25,"FALSE","HorizontalAngle","FALSE","FALSE","Object","sc/buildings.sc","d5","FALSE",100,0,50,120,-180,180,4000,"TRUE",0,0,0,0,100,100,100,"FALSE",70,70,0
"Cannon_smoke3",40,30,1000,1800,-20,20,-20,20,0,50,0,0,70,0,-25,"FALSE","HorizontalAngle","FALSE","FALSE","Object","sc/buildings.sc","d5","FALSE",50,0,50,120,-180,180,4000,"TRUE",0,0,0,0,100,100,100,"FALSE",70,70,0
"CapitalMegaLightning_1",1,1,225,250,0,360,90,90,1,1,0,0,100,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","capital_mega_lightning_arc_1","TRUE",60,0,1,100,0,30,30,"FALSE",0,0,0,0,100,100,100,"FALSE",80,80,0
"CapitalMegaLightning_1_chain",1,1,225,250,0,360,90,90,1,1,0,0,0,0,0,"FALSE","Disabled","FALSE","FALSE","Object","sc/buildings.sc","capital_mega_lightning_arc_1","TRUE",60,0,1,100,0,30,30,"FALSE",0,0,0,0,100,100,100,"FALSE",80,80,0
"Capital_AirDefenceMini2_hit1",2,150,200,250,0,360,0,90,10,25,0,0,0,0,-60,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","fireball3b","TRUE",20,0,14,65,-5,5,100,"TRUE",0,0,0,0,100,100,100,"FALSE",10,10,0
"Capital_AirDefenceMini2_hit2",5,2,500,1500,0,360,0,90,300,750,0,0,0,0,1000,"FALSE","HorizontalAngle","TRUE","FALSE","Object","sc/buildings.sc","fireball3b","TRUE",23,0,6,9,0,90,2000,"TRUE",0,0,0,0,100,100,100,"FALSE",1,1,0
