"Name","Buildings","BuildingX","BuildingY","BuildingAltMode","Character","CharacterTimeMS","CharacterX","CharacterY","CharacterDefense","CharacterMaster","CharacterItem","CharacterAbilityTimeMS","Spell","SpellX","SpellY","SpellTimeMS","CameraScale","CameraOffsetX","CameraOffsetY","VillagersCount","ShouldRestart"
,"Wall",28,27,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"AirAndGroundDefense","<selected>",24,24,,"Barbarian",500,29,29,,,,,,,,,100,50,50,,
,,,,,"Balloon",5500,29,29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"AirAndGroundDefense3","<selected>",24,24,,"Balloon",500,27,30,,,,,,,,,100,50,50,,
,,,,,"Warlock",4000,27,30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"AirAndGroundDefense4","<selected>",24,24,,"Barbarian",500,31,31,,,,,,,,,100,50,50,,
,,,,,"Balloon",4500,31,31,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Defense2","<selected>",24,24,,"Barbarian2",500,31,31,,,,,,,,,100,50,50,,
,,,,,"Barbarian2",600,30,31,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"DefenseLongRange","<selected>",24,24,,"Barbarian",100,29,32,,,,,,,,,100,100,100,,
,"Wall",22,22,,"Barbarian",150,30,32,,,,,,,,,,,,,
,"Wall",23,22,,"Barbarian",200,31,33,,,,,,,,,,,,,
,"Wall",24,22,,"Barbarian",250,31,34,,,,,,,,,,,,,
,"Wall",25,22,,,,,,,,,,,,,,,,,,
,"Wall",26,22,,,,,,,,,,,,,,,,,,
,"Wall",27,22,,,,,,,,,,,,,,,,,,
,"Wall",28,22,,,,,,,,,,,,,,,,,,
,"Wall",27,22,,,,,,,,,,,,,,,,,,
,"Wall",28,22,,,,,,,,,,,,,,,,,,
,"Wall",22,28,,,,,,,,,,,,,,,,,,
,"Wall",23,28,,,,,,,,,,,,,,,,,,
,"Wall",24,28,,,,,,,,,,,,,,,,,,
,"Wall",25,28,,,,,,,,,,,,,,,,,,
,"Wall",26,28,,,,,,,,,,,,,,,,,,
,"Wall",27,28,,,,,,,,,,,,,,,,,,
,"Wall",28,28,,,,,,,,,,,,,,,,,,
,"Wall",22,23,,,,,,,,,,,,,,,,,,
,"Wall",22,24,,,,,,,,,,,,,,,,,,
,"Wall",22,25,,,,,,,,,,,,,,,,,,
,"Wall",22,26,,,,,,,,,,,,,,,,,,
,"Wall",22,27,,,,,,,,,,,,,,,,,,
,"Wall",28,23,,,,,,,,,,,,,,,,,,
,"Wall",28,24,,,,,,,,,,,,,,,,,,
,"Wall",28,25,,,,,,,,,,,,,,,,,,
,"Wall",28,26,,,,,,,,,,,,,,,,,,
,"Wall",28,27,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"DefenseLongRange2","<selected>",24,24,,"Barbarian2",1000,35,35,,,,,,,,,100,50,50,,
,"WallStraight",22,22,,"Barbarian2",2000,35,15,,,,,,,,,,,,,
,"WallStraight",23,22,,"Barbarian2",3000,15,35,,,,,,,,,,,,,
,"WallStraight",24,22,,,,,,,,,,,,,,,,,,
,"WallStraight",25,22,,,,,,,,,,,,,,,,,,
,"WallStraight",26,22,,,,,,,,,,,,,,,,,,
,"WallStraight",27,22,,,,,,,,,,,,,,,,,,
,"WallStraight",28,22,,,,,,,,,,,,,,,,,,
,"WallStraight",27,22,,,,,,,,,,,,,,,,,,
,"WallStraight",28,22,,,,,,,,,,,,,,,,,,
,"WallStraight",22,28,,,,,,,,,,,,,,,,,,
,"WallStraight",23,28,,,,,,,,,,,,,,,,,,
,"WallStraight",24,28,,,,,,,,,,,,,,,,,,
,"WallStraight",25,28,,,,,,,,,,,,,,,,,,
,"WallStraight",26,28,,,,,,,,,,,,,,,,,,
,"WallStraight",27,28,,,,,,,,,,,,,,,,,,
,"WallStraight",28,28,,,,,,,,,,,,,,,,,,
,"WallStraight",22,23,,,,,,,,,,,,,,,,,,
,"WallStraight",22,24,,,,,,,,,,,,,,,,,,
,"WallStraight",22,25,,,,,,,,,,,,,,,,,,
,"WallStraight",22,26,,,,,,,,,,,,,,,,,,
,"WallStraight",22,27,,,,,,,,,,,,,,,,,,
,"WallStraight",28,23,,,,,,,,,,,,,,,,,,
,"WallStraight",28,24,,,,,,,,,,,,,,,,,,
,"WallStraight",28,25,,,,,,,,,,,,,,,,,,
,"WallStraight",28,26,,,,,,,,,,,,,,,,,,
,"WallStraight",28,27,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"DefenseLongRange3","<selected>",24,24,,"Balloon",100,30,36,,,,,,,,,100,100,100,,
,"Wall",22,22,,"Balloon",500,30,36,,,,,,,,,,,,,
,"Wall",23,22,,"Balloon",900,30,36,,,,,,,,,,,,,
,"Wall",24,22,,"Warlock",10000,34,30,,,,,,,,,,,,,
,"Wall",25,22,,"Warlock",11000,34,29,,,,,,,,,,,,,
,"Wall",26,22,,"Warlock",12000,34,28,,,,,,,,,,,,,
,"Wall",27,22,,,,,,,,,,,,,,,,,,
,"Wall",28,22,,,,,,,,,,,,,,,,,,
,"Wall",27,22,,,,,,,,,,,,,,,,,,
,"Wall",28,22,,,,,,,,,,,,,,,,,,
,"Wall",22,28,,,,,,,,,,,,,,,,,,
,"Wall",23,28,,,,,,,,,,,,,,,,,,
,"Wall",24,28,,,,,,,,,,,,,,,,,,
,"Wall",25,28,,,,,,,,,,,,,,,,,,
,"Wall",26,28,,,,,,,,,,,,,,,,,,
,"Wall",27,28,,,,,,,,,,,,,,,,,,
,"Wall",28,28,,,,,,,,,,,,,,,,,,
,"Wall",22,23,,,,,,,,,,,,,,,,,,
,"Wall",22,24,,,,,,,,,,,,,,,,,,
,"Wall",22,25,,,,,,,,,,,,,,,,,,
,"Wall",22,26,,,,,,,,,,,,,,,,,,
,"Wall",22,27,,,,,,,,,,,,,,,,,,
,"Wall",28,23,,,,,,,,,,,,,,,,,,
,"Wall",28,24,,,,,,,,,,,,,,,,,,
,"Wall",28,25,,,,,,,,,,,,,,,,,,
,"Wall",28,26,,,,,,,,,,,,,,,,,,
,"Wall",28,27,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"DefenseBombTower","<selected>",24,24,,"Boar Rider",500,29,32,,,,,,,,,100,50,50,,
,,,,,"Boar Rider",700,30,29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Monolith","<selected>",24,24,,"Barbarian",500,35,35,,,,,,,,,75,200,200,,
,,,,,"Giant",5500,35,35,,,,,,,,,,,,,
,,,,,"Dragon",15500,35,35,,,,,,,,,,,,,
,,,,,"Golem",27500,35,35,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"AirDefense","<selected>",24,24,,"Balloon",100,31,31,,,,,,,,,100,50,50,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"AirDefense2","<selected>",24,24,,"Gargoyle2",500,29,29,,,,,,,,,100,50,50,,
,,,,,"Gargoyle2",1000,29,28,,,,,,,,,,,,,
,,,,,"Gargoyle2",1500,28,29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"AirAndGroundDefense2","<selected>",24,24,,"Barbarian2",500,29,29,,,,,,,,,100,50,50,,
,,,,,"Gargoyle2",1000,29,28,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"DefenseSpellTower","<selected>",24,24,"TRUE","Barbarian",500,29,29,,,,,,,,,100,50,50,,
,,,,,"Barbarian",1000,29,26,,,,,,,,,,,,,
,,,,,"Barbarian",1500,26,29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Trap2","<selected>",26,26,,"Barbarian",100,30,30,,,,,,,,,100,50,50,,
,"<selected>",26,27,,"Barbarian",200,30,25,,,,,,,,,,,,,
,"<selected>",27,26,,"Barbarian",300,25,30,,,,,,,,,,,,,
,"Town Hall",22,22,,,,,,,,,,,,,,,,,,
,"Wall",25,26,,,,,,,,,,,,,,,,,,
,"Wall",24,26,,,,,,,,,,,,,,,,,,
,"Wall",23,26,,,,,,,,,,,,,,,,,,
,"Wall",22,26,,,,,,,,,,,,,,,,,,
,"Wall",21,26,,,,,,,,,,,,,,,,,,
,"Wall",26,25,,,,,,,,,,,,,,,,,,
,"Wall",26,24,,,,,,,,,,,,,,,,,,
,"Wall",26,23,,,,,,,,,,,,,,,,,,
,"Wall",26,22,,,,,,,,,,,,,,,,,,
,"Wall",26,21,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Trap","<selected>",26,26,,"Barbarian",100,30,30,,,,,,,,,100,50,50,,
,"Town Hall",22,22,,"Barbarian",200,30,25,,,,,,,,,,,,,
,"Wall",25,26,,"Barbarian",300,25,30,,,,,,,,,,,,,
,"Wall",24,26,,,,,,,,,,,,,,,,,,
,"Wall",23,26,,,,,,,,,,,,,,,,,,
,"Wall",22,26,,,,,,,,,,,,,,,,,,
,"Wall",21,26,,,,,,,,,,,,,,,,,,
,"Wall",26,25,,,,,,,,,,,,,,,,,,
,"Wall",26,24,,,,,,,,,,,,,,,,,,
,"Wall",26,23,,,,,,,,,,,,,,,,,,
,"Wall",26,22,,,,,,,,,,,,,,,,,,
,"Wall",26,21,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Trap2x2","<selected>",26,26,,"Barbarian",100,30,30,,,,,,,,,100,50,50,,
,"Town Hall",22,22,,"Barbarian",200,30,25,,,,,,,,,,,,,
,"Wall",24,26,,"Barbarian",300,25,30,,,,,,,,,,,,,
,"Wall",23,26,,,,,,,,,,,,,,,,,,
,"Wall",22,26,,,,,,,,,,,,,,,,,,
,"Wall",21,26,,,,,,,,,,,,,,,,,,
,"Wall",26,24,,,,,,,,,,,,,,,,,,
,"Wall",26,23,,,,,,,,,,,,,,,,,,
,"Wall",26,22,,,,,,,,,,,,,,,,,,
,"Wall",26,21,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"AirTrap","<selected>",26,26,,"Balloon",100,25,30,,,,,,,,,100,50,50,,
,"Town Hall",22,22,,,,,,,,,,,,,,,,,,
,"Wall",25,26,,,,,,,,,,,,,,,,,,
,"Wall",24,26,,,,,,,,,,,,,,,,,,
,"Wall",23,26,,,,,,,,,,,,,,,,,,
,"Wall",22,26,,,,,,,,,,,,,,,,,,
,"Wall",21,26,,,,,,,,,,,,,,,,,,
,"Wall",26,25,,,,,,,,,,,,,,,,,,
,"Wall",26,24,,,,,,,,,,,,,,,,,,
,"Wall",26,23,,,,,,,,,,,,,,,,,,
,"Wall",26,22,,,,,,,,,,,,,,,,,,
,"Wall",26,21,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"AirTrapSplash","<selected>",26,26,,"Gargoyle",100,30,30,,,,,,,,,100,50,50,,
,"Town Hall",22,22,,"Gargoyle",200,30,29,,,,,,,,,,,,,
,"Wall",25,26,,"Gargoyle",300,27,30,,,,,,,,,,,,,
,"Wall",24,26,,,,,,,,,,,,,,,,,,
,"Wall",23,26,,,,,,,,,,,,,,,,,,
,"Wall",22,26,,,,,,,,,,,,,,,,,,
,"Wall",21,26,,,,,,,,,,,,,,,,,,
,"Wall",26,25,,,,,,,,,,,,,,,,,,
,"Wall",26,24,,,,,,,,,,,,,,,,,,
,"Wall",26,23,,,,,,,,,,,,,,,,,,
,"Wall",26,22,,,,,,,,,,,,,,,,,,
,"Wall",26,21,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"AncientArtillery","<selected>",21,21,,"Warlock",100,33,43,,,,,,,,,50,400,400,,
,"Wall",19,19,,"Warlock",100,34,43,,,,,,,,,,,,,
,"Wall",19,20,,"Warlock",150,33,44,,,,,,,,,,,,,
,"Wall",19,21,,"Warlock",250,34,44,,,,,,,,,,,,,
,"Wall",19,22,,"Warlock",200,33,43,,,,,,,,,,,,,
,"Wall",19,23,,"Warlock",200,34,43,,,,,,,,,,,,,
,"Wall",19,24,,"Warlock",150,33,44,,,,,,,,,,,,,
,"Wall",19,25,,"Warlock",150,34,44,,,,,,,,,,,,,
,"Wall",19,26,,"Warlock",100,33,43,,,,,,,,,,,,,
,"Wall",19,27,,"Warlock",100,34,43,,,,,,,,,,,,,
,"Wall",19,28,,"Warlock",150,33,44,,,,,,,,,,,,,
,"Wall",19,29,,"Warlock",250,34,44,,,,,,,,,,,,,
,"Wall",19,30,,"Warlock",200,33,43,,,,,,,,,,,,,
,"Wall",19,31,,"Warlock",200,34,43,,,,,,,,,,,,,
,"Wall",31,19,,"Warlock",150,33,44,,,,,,,,,,,,,
,"Wall",31,20,,"Warlock",300,34,44,,,,,,,,,,,,,
,"Wall",31,21,,"Warlock",300,34,44,,,,,,,,,,,,,
,"Wall",31,22,,,,,,,,,,,,,,,,,,
,"Wall",31,23,,,,,,,,,,,,,,,,,,
,"Wall",31,24,,,,,,,,,,,,,,,,,,
,"Wall",31,25,,,,,,,,,,,,,,,,,,
,"Wall",31,26,,,,,,,,,,,,,,,,,,
,"Wall",31,27,,,,,,,,,,,,,,,,,,
,"Wall",31,28,,,,,,,,,,,,,,,,,,
,"Wall",31,29,,,,,,,,,,,,,,,,,,
,"Wall",31,30,,,,,,,,,,,,,,,,,,
,"Wall",20,19,,,,,,,,,,,,,,,,,,
,"Wall",21,19,,,,,,,,,,,,,,,,,,
,"Wall",22,19,,,,,,,,,,,,,,,,,,
,"Wall",23,19,,,,,,,,,,,,,,,,,,
,"Wall",24,19,,,,,,,,,,,,,,,,,,
,"Wall",25,19,,,,,,,,,,,,,,,,,,
,"Wall",26,19,,,,,,,,,,,,,,,,,,
,"Wall",27,19,,,,,,,,,,,,,,,,,,
,"Wall",28,19,,,,,,,,,,,,,,,,,,
,"Wall",29,19,,,,,,,,,,,,,,,,,,
,"Wall",30,19,,,,,,,,,,,,,,,,,,
,"Wall",20,31,,,,,,,,,,,,,,,,,,
,"Wall",21,31,,,,,,,,,,,,,,,,,,
,"Wall",22,31,,,,,,,,,,,,,,,,,,
,"Wall",23,31,,,,,,,,,,,,,,,,,,
,"Wall",24,31,,,,,,,,,,,,,,,,,,
,"Wall",25,31,,,,,,,,,,,,,,,,,,
,"Wall",26,31,,,,,,,,,,,,,,,,,,
,"Wall",27,31,,,,,,,,,,,,,,,,,,
,"Wall",28,31,,,,,,,,,,,,,,,,,,
,"Wall",29,31,,,,,,,,,,,,,,,,,,
,"Wall",30,31,,,,,,,,,,,,,,,,,,
,"Dark Elixir Storage",28,28,,,,,,,,,,,,,,,,,,
,"Gold Storage",22,28,,,,,,,,,,,,,,,,,,
,"Gold Storage",28,22,,,,,,,,,,,,,,,,,,
,"Elixir Storage",25,28,,,,,,,,,,,,,,,,,,
,"Elixir Storage",28,25,,,,,,,,,,,,,,,,,,
,"Wizard Tower",25,25,,,,,,,,,,,,,,,,,,
,"Wizard Tower",25,22,,,,,,,,,,,,,,,,,,
,"Wizard Tower",22,25,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Crusher","<selected>",24,24,,"Barbarian2",100,29,29,,,,,,,,,100,50,50,,
,,,,,"Barbarian2",200,29,28,,,,,,,,,,,,,
,,,,,"Barbarian2",300,29,27,,,,,,,,,,,,,
,,,,,"Barbarian2",400,29,26,,,,,,,,,,,,,
,,,,,"Barbarian2",500,29,25,,,,,,,,,,,,,
,,,,,"Barbarian2",600,29,24,,,,,,,,,,,,,
,,,,,"Barbarian2",200,28,29,,,,,,,,,,,,,
,,,,,"Barbarian2",300,27,29,,,,,,,,,,,,,
,,,,,"Barbarian2",400,26,29,,,,,,,,,,,,,
,,,,,"Barbarian2",500,25,29,,,,,,,,,,,,,
,,,,,"Barbarian2",600,24,29,,,,,,,,,,,,,
,,,,,"Barbarian2",700,21,21,,,,,,,,,,,,,
,,,,,"Barbarian2",800,21,22,,,,,,,,,,,,,
,,,,,"Barbarian2",900,21,23,,,,,,,,,,,,,
,,,,,"Barbarian2",1000,21,24,,,,,,,,,,,,,
,,,,,"Barbarian2",1100,21,25,,,,,,,,,,,,,
,,,,,"Barbarian2",800,22,21,,,,,,,,,,,,,
,,,,,"Barbarian2",900,23,21,,,,,,,,,,,,,
,,,,,"Barbarian2",1000,24,21,,,,,,,,,,,,,
,,,,,"Barbarian2",1100,25,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"DefenseLongRange2b","<selected>",24,24,,"Barbarian2",1000,40,40,,,,,,,,,35,250,250,,
,"WallStraight",15,15,,"Barbarian2",2000,40,10,,,,,,,,,,,,,
,"WallStraight",16,15,,"Barbarian2",3000,10,40,,,,,,,,,,,,,
,"WallStraight",17,15,,,,,,,,,,,,,,,,,,
,"WallStraight",18,15,,,,,,,,,,,,,,,,,,
,"WallStraight",19,15,,,,,,,,,,,,,,,,,,
,"WallStraight",20,15,,,,,,,,,,,,,,,,,,
,"WallStraight",21,15,,,,,,,,,,,,,,,,,,
,"WallStraight",22,15,,,,,,,,,,,,,,,,,,
,"WallStraight",23,15,,,,,,,,,,,,,,,,,,
,"WallStraight",24,15,,,,,,,,,,,,,,,,,,
,"WallStraight",25,15,,,,,,,,,,,,,,,,,,
,"WallStraight",26,15,,,,,,,,,,,,,,,,,,
,"WallStraight",27,15,,,,,,,,,,,,,,,,,,
,"WallStraight",28,15,,,,,,,,,,,,,,,,,,
,"WallStraight",29,15,,,,,,,,,,,,,,,,,,
,"WallStraight",30,15,,,,,,,,,,,,,,,,,,
,"WallStraight",31,15,,,,,,,,,,,,,,,,,,
,"WallStraight",32,15,,,,,,,,,,,,,,,,,,
,"WallStraight",33,15,,,,,,,,,,,,,,,,,,
,"WallStraight",34,15,,,,,,,,,,,,,,,,,,
,"WallStraight",35,15,,,,,,,,,,,,,,,,,,
,"WallStraight",15,35,,,,,,,,,,,,,,,,,,
,"WallStraight",16,35,,,,,,,,,,,,,,,,,,
,"WallStraight",17,35,,,,,,,,,,,,,,,,,,
,"WallStraight",18,35,,,,,,,,,,,,,,,,,,
,"WallStraight",19,35,,,,,,,,,,,,,,,,,,
,"WallStraight",20,35,,,,,,,,,,,,,,,,,,
,"WallStraight",21,35,,,,,,,,,,,,,,,,,,
,"WallStraight",22,35,,,,,,,,,,,,,,,,,,
,"WallStraight",23,35,,,,,,,,,,,,,,,,,,
,"WallStraight",24,35,,,,,,,,,,,,,,,,,,
,"WallStraight",25,35,,,,,,,,,,,,,,,,,,
,"WallStraight",26,35,,,,,,,,,,,,,,,,,,
,"WallStraight",27,35,,,,,,,,,,,,,,,,,,
,"WallStraight",28,35,,,,,,,,,,,,,,,,,,
,"WallStraight",29,35,,,,,,,,,,,,,,,,,,
,"WallStraight",30,35,,,,,,,,,,,,,,,,,,
,"WallStraight",31,35,,,,,,,,,,,,,,,,,,
,"WallStraight",32,35,,,,,,,,,,,,,,,,,,
,"WallStraight",33,35,,,,,,,,,,,,,,,,,,
,"WallStraight",34,35,,,,,,,,,,,,,,,,,,
,"WallStraight",35,35,,,,,,,,,,,,,,,,,,
,"WallStraight",15,16,,,,,,,,,,,,,,,,,,
,"WallStraight",15,17,,,,,,,,,,,,,,,,,,
,"WallStraight",15,18,,,,,,,,,,,,,,,,,,
,"WallStraight",15,19,,,,,,,,,,,,,,,,,,
,"WallStraight",15,20,,,,,,,,,,,,,,,,,,
,"WallStraight",15,21,,,,,,,,,,,,,,,,,,
,"WallStraight",15,22,,,,,,,,,,,,,,,,,,
,"WallStraight",15,23,,,,,,,,,,,,,,,,,,
,"WallStraight",15,24,,,,,,,,,,,,,,,,,,
,"WallStraight",15,25,,,,,,,,,,,,,,,,,,
,"WallStraight",15,26,,,,,,,,,,,,,,,,,,
,"WallStraight",15,27,,,,,,,,,,,,,,,,,,
,"WallStraight",15,28,,,,,,,,,,,,,,,,,,
,"WallStraight",15,29,,,,,,,,,,,,,,,,,,
,"WallStraight",15,30,,,,,,,,,,,,,,,,,,
,"WallStraight",15,31,,,,,,,,,,,,,,,,,,
,"WallStraight",15,32,,,,,,,,,,,,,,,,,,
,"WallStraight",15,33,,,,,,,,,,,,,,,,,,
,"WallStraight",15,34,,,,,,,,,,,,,,,,,,
,"WallStraight",35,16,,,,,,,,,,,,,,,,,,
,"WallStraight",35,17,,,,,,,,,,,,,,,,,,
,"WallStraight",35,18,,,,,,,,,,,,,,,,,,
,"WallStraight",35,19,,,,,,,,,,,,,,,,,,
,"WallStraight",35,20,,,,,,,,,,,,,,,,,,
,"WallStraight",35,21,,,,,,,,,,,,,,,,,,
,"WallStraight",35,22,,,,,,,,,,,,,,,,,,
,"WallStraight",35,23,,,,,,,,,,,,,,,,,,
,"WallStraight",35,24,,,,,,,,,,,,,,,,,,
,"WallStraight",35,25,,,,,,,,,,,,,,,,,,
,"WallStraight",35,26,,,,,,,,,,,,,,,,,,
,"WallStraight",35,27,,,,,,,,,,,,,,,,,,
,"WallStraight",35,28,,,,,,,,,,,,,,,,,,
,"WallStraight",35,29,,,,,,,,,,,,,,,,,,
,"WallStraight",35,30,,,,,,,,,,,,,,,,,,
,"WallStraight",35,31,,,,,,,,,,,,,,,,,,
,"WallStraight",35,32,,,,,,,,,,,,,,,,,,
,"WallStraight",35,33,,,,,,,,,,,,,,,,,,
,"WallStraight",35,34,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"AirBlaster","<selected>",24,24,,"Electro Dragon",100,31,31,,,,,,,,,100,50,50,,
,,,,,,,,,,,,,,,,,,,,,
"AirBlaster1","<selected>",24,24,,"Balloon",100,31,31,,,,,,,,,100,50,50,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"NoCombatBuilding","<selected>",24,24,,,,,,,,,,,,,,100,50,50,2,"false"
,,,,,,,,,,,,,,,,,,,,,
"Character","Archer Tower",24,24,,"<selected>",100,31,31,,,,,,,,,100,50,50,,
,,,,,,,,,,,,,,,,,,,,,
"Haste","Elixir Storage",20,18,,"Barbarian",100,30,30,,,,,"<selected>",25,25,1400,100,50,50,,
,,,,,"Barbarian",500,30,30,,,,,,,,,,,,,
,,,,,"Barbarian",900,30,30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"TroopGroundAny","Cannon",24,24,,"<selected>",100,22,19,,,,,,,,,100,-200,-380,,
,"Wall",23,23,,"<selected>",4000,24,21,,,,,,,,,,,,,
,"Wall",23,24,,"<selected>",4050,24,20,,,,,,,,,,,,,
,"Wall",23,25,,"<selected>",4100,25,21,,,,,,,,,,,,,
,"Wall",23,26,,"<selected>",4150,25,20,,,,,,,,,,,,,
,"Wall",24,23,,"<selected>",4200,26,21,,,,,,,,,,,,,
,"Wall",25,23,,"<selected>",4250,26,20,,,,,,,,,,,,,
,"Wall",26,23,,"<selected>",4300,27,21,,,,,,,,,,,,,
,,,,,"<selected>",4350,27,20,,,,,,,,,,,,,
,,,,,"<selected>",4400,28,21,,,,,,,,,,,,,
,,,,,"<selected>",4450,28,22,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"TroopAnySplash","Cannon",24,24,,"<selected>",100,21,19,,,,,,,,,100,-200,-380,,
,"Wall",23,23,,"<selected>",4300,22,19,,,,,,,,,,,,,
,"Wall",23,24,,"<selected>",4350,23,18,,,,,,,,,,,,,
,"Wall",23,25,,"<selected>",4400,24,19,,,,,,,,,,,,,
,"Wall",23,26,,"<selected>",4450,25,18,,,,,,,,,,,,,
,"Wall",24,23,,,,,,,,,,,,,,,,,,
,"Wall",25,23,,,,,,,,,,,,,,,,,,
,"Wall",26,23,,,,,,,,,,,,,,,,,,
,"Worker Building",22,21,,,,,,,,,,,,,,,,,,
,"Worker Building",24,21,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"TroopResource","Cannon",24,24,,"<selected>",100,23,18,,,,,,,,,100,-150,-330,,
,"Wall",23,23,,"<selected>",4300,22,19,,,,,,,,,,,,,
,"Wall",23,24,,"<selected>",4350,23,18,,,,,,,,,,,,,
,"Wall",23,25,,"<selected>",4400,24,19,,,,,,,,,,,,,
,"Wall",23,26,,"<selected>",4450,25,18,,,,,,,,,,,,,
,"Wall",24,23,,"<selected>",4600,25,19,,,,,,,,,,,,,
,"Wall",25,23,,"<selected>",4850,17,20,,,,,,,,,,,,,
,"Wall",26,23,,"<selected>",4850,17,21,,,,,,,,,,,,,
,"Barrack",24,21,,"<selected>",4900,17,21,,,,,,,,,,,,,
