"Name","SWF","ExportName","ScaleTimeline","DirectionCount","ParticleEmitter","Effect","StartHeight","IsBallistic","ShadowSWF","ShadowExportName","UseRotate","DirectionFrame","PlayOnce","UseTopLayer","Scale","BallisticHeight","TrajectoryStyle","DestroyedEffect","BounceEffect","StartOffsetFromGunBone","RotateEmitter","RotateEffect","SpawnEffect","3D","DepthBiasFront","DepthBiasBack"
"ArcherQueenGhost_arrow","sc/hero_aq_ghost_dl_opt.sc","hero_archerqueen_arrow_ghost","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenGingerbread arrow rage","sc/hero_aq_gingerbread_dl_opt.sc","hero_archerqueen_arrow_gingerbread_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenGingerbread_arrow","sc/hero_aq_gingerbread_dl_opt.sc","hero_archerqueen_arrow_gingerbread","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenGoblin arrow rage","sc/hero_aq_goblin_dl_opt.sc","hero_archerqueen_arrow_goblin_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenGoblin_arrow","sc/hero_aq_goblin_dl_opt.sc","hero_archerqueen_arrow_goblin","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenJolly arrow rage","sc/hero_aq_jolly_dl_opt.sc","hero_archerqueen_arrow_jolly_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenJolly_arrow","sc/hero_aq_jolly_dl_opt.sc","hero_archerqueen_arrow_jolly","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenLeague arrow rage","sc/hero_aq_league_dl_opt.sc","hero_archerqueen_arrow_league_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenLeague_arrow","sc/hero_aq_league_dl_opt.sc","hero_archerqueen_arrow_league","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenLunar arrow rage","sc/hero_aq_lunar_dl_opt.sc","hero_archerqueen_arrow_lunar_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenLunar_arrow","sc/hero_aq_lunar_dl_opt.sc","hero_archerqueen_arrow_lunar","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenMiner arrow","sc/hero_aq_miner_dl_opt.sc","hero_archerqueen_bomb_miner","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenMiner arrow rage","sc/hero_aq_miner_dl_opt.sc","hero_archerqueen_bomb_miner_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenPainter arrow rage","sc/hero_aq_painter_dl_opt.sc","hero_archerqueen_arrow_painter_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenPainter_arrow","sc/hero_aq_painter_dl_opt.sc","hero_archerqueen_arrow_painter","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenParty_arrow","sc/hero_aq_party_dl_opt.sc","hero_archerqueen_vinyl_party","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenParty_arrow_rage","sc/hero_aq_party_dl_opt.sc","hero_archerqueen_vinyl_party_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenPixel arrow rage","sc/hero_aq_pixel_dl_opt.sc","hero_archerqueen_arrow_pixel_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenPixel_arrow","sc/hero_aq_pixel_dl_opt.sc","hero_archerqueen_arrow_pixel","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenSummer arrow rage","sc/hero_aq_summer_dl_opt.sc","hero_archerqueen_arrow_summer_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenSummer_arrow","sc/hero_aq_summer_dl_opt.sc","hero_archerqueen_arrow_summer","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenTH15 arrow rage","sc/hero_aq_th15_dl_opt.sc","hero_archerqueen_arrow_th15_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenTH15_arrow","sc/hero_aq_th15_dl_opt.sc","hero_archerqueen_arrow_th15","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenValentines arrow rage","sc/hero_aq_valentines_dl_opt.sc","hero_archerqueen_arrow_valentines_rage","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"ArcherQueenValentines_arrow","sc/hero_aq_valentines_dl_opt.sc","hero_archerqueen_arrow_valentines","false",0,,,65,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"false","false","false",,,0,0
"flying_fortress_projectile","sc/characters.sc","projectile_bomb","false",0,"shield_trail_glow",,0,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"true","false","false",,,0,0
"RoyalChampionChampion shield","sc/hero_rc_champion_dl_opt.sc","shield_projectile_champion","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"false","false","false",,,0,0
"RoyalChampionChampion spear","sc/hero_rc_champion_dl_opt.sc","hero_warriorprincess_javelin_champion","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",150,0,0,,,"true","false","false",,,0,0
"RoyalChampionClashiversary shield","sc/hero_rc_clashiversary_dl_opt.sc","shield_projectile_clashiversary","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"false","false","false",,,0,0
"RoyalChampionClashiversary spear","sc/hero_rc_clashiversary_dl_opt.sc","hero_warriorprincess_javelin_clashiversary","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true","false","false",,,0,0
"RoyalChampionDark shield","sc/hero_rc_dark_dl_opt.sc","shield_projectile_dark","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"false","false","false",,,0,0
"RoyalChampionDark spear","sc/hero_rc_dark_dl_opt.sc","hero_warriorprincess_javelin_dark","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true","false","false",,,0,0
"RoyalChampionDarkAges shield","sc/hero_rc_darkages_dl_opt.sc","shield_projectile_darkages","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"false","false","false",,,0,0
"RoyalChampionDarkAges spear","sc/hero_rc_darkages_dl_opt.sc","hero_warriorprincess_javelin_darkages","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true","false","false",,,0,0
"RoyalChampionGhost shield","sc/hero_rc_ghost_dl_opt.sc","shield_projectile_ghost","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"false","false","false",,,0,0
"RoyalChampionGhost spear","sc/hero_rc_ghost_dl_opt.sc","hero_warriorprincess_javelin_ghost","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true","false","false",,,0,0
"RoyalChampionGingerbread shield","sc/hero_rc_gingerbread_dl_opt.sc","shield_projectile_gingerbread","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"false","false","false",,,0,0
"RoyalChampionGingerbread spear","sc/hero_rc_gingerbread_dl_opt.sc","hero_warriorprincess_javelin_gingerbread","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true","false","false",,,0,0
"RoyalChampionGladiator shield","sc/hero_rc_gladiator_dl_opt.sc","shield_projectile_gladiator","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"false","false","false",,,0,0
"RoyalChampionGladiator spear","sc/hero_rc_gladiator_dl_opt.sc","hero_warriorprincess_javelin_gladiator","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true","false","false",,,0,0
"RoyalChampionGoblin shield","sc/hero_rc_goblin_dl_opt.sc","shield_projectile_goblin","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"false","false","false",,,0,0
"RoyalChampionGoblin spear","sc/hero_rc_goblin_dl_opt.sc","hero_warriorprincess_javelin_goblin","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true","false","false",,,0,0
"RoyalChampionJolly shield","sc/hero_rc_jolly_dl_opt.sc","shield_projectile_jolly","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"false","false","false",,,0,0
"RoyalChampionJolly spear","sc/hero_rc_jolly_dl_opt.sc","hero_warriorprincess_javelin_jolly","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true","false","false",,,0,0
"RoyalChampionJungle shield","sc/hero_rc_jungle_dl_opt.sc","shield_projectile_jungle","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"false","false","false",,,0,0
"RoyalChampionJungle spear","sc/hero_rc_jungle_dl_opt.sc","hero_warriorprincess_javelin_jungle","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true","false","false",,,0,0
"RoyalChampionLunar shield","sc/hero_rc_lunar_dl_opt.sc","shield_projectile_lunar","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"false","false","false",,,0,0
"RoyalChampionLunar spear","sc/hero_rc_lunar_dl_opt.sc","hero_warriorprincess_javelin_lunar","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true","false","false",,,0,0
"RoyalChampionPainter shield","sc/hero_rc_painter_dl_opt.sc","shield_projectile_painter","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"false","false","false",,,0,0
"RoyalChampionPainter spear","sc/hero_rc_painter_dl_opt.sc","hero_warriorprincess_javelin_painter","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true","false","false",,,0,0
"RoyalChampionParty shield","sc/hero_rc_party_dl_opt.sc","shield_projectile_party","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"false","false","false",,,0,0
"RoyalChampionParty spear","sc/hero_rc_party_dl_opt.sc","hero_warriorprincess_javelin_party","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true","false","false",,,0,0
"RoyalChampionPirate shield","sc/hero_rc_pirate_dl_opt.sc","shield_projectile_pirate","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"false","false","false",,,0,0
"RoyalChampionPirate spear","sc/hero_rc_pirate_dl_opt.sc","hero_warriorprincess_javelin_pirate","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true","false","false",,,0,0
"RoyalChampionPixel shield","sc/hero_rc_pixel_dl_opt.sc","shield_projectile_pixel","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"false","false","false",,,0,0
"RoyalChampionPixel spear","sc/hero_rc_pixel_dl_opt.sc","hero_warriorprincess_javelin_pixel","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true","false","false",,,0,0
"RoyalChampionPrimal shield","sc/hero_rc_primal_dl_opt.sc","shield_projectile_primal","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"false","false","false",,,0,0
"RoyalChampionPrimal spear","sc/hero_rc_primal_dl_opt.sc","hero_warriorprincess_javelin_primal","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true","false","false",,,0,0
"RoyalChampionRogue spear","sc/hero_rc_rogue_dl_opt.sc","hero_warriorprincess_javelin_rogue","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true","false","false",,,0,0
"RoyalChampionSummer shield","sc/hero_rc_summer_dl_opt.sc","shield_projectile_summer","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"false","false","false",,,0,0
"RoyalChampionSummer spear","sc/hero_rc_summer_dl_opt.sc","hero_warriorprincess_javelin_summer","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true","false","false",,,0,0
"RoyalChampionTh15 shield","sc/hero_rc_th15_dl_opt.sc","shield_projectile_th15","false",0,"shield_trail_glow",,50,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false",100,100,3,,,"false","false","false",,,0,0
"RoyalChampionTH15 spear","sc/hero_rc_th15_dl_opt.sc","hero_warriorprincess_javelin_th15","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true","false","false",,,0,0
"RoyalChampionWinter spear","sc/hero_rc_winter_dl_opt.sc","hero_warriorprincess_javelin_winter","false",0,"javelin_trail_glow",,0,"true","sc/buildings.sc","bolt_projectile_shadow","true","false","false","false",100,0,0,,,"true","false","false",,,0,0
