"Name","Character","IsDefaultSkin","EnabledByCalendar","PurchasePrice","TID","Icon","Geometry","Texture","NormalMap","MaterialMap","EmissionMap","OpacityMap","Animation","AltAnimation","CameraDistance","ViewportWidth","ViewportHeight","CelebrateSfx","CelebrateSfxVolume","DeployEffect","AttackEffect","AttackEffect2","AttackEffectAlt","AttackEffect2Alt","HitEffect","DieEffect","AbilityTriggerEffect","SkinChangeEffect","ParticleEffect3D","GunBone","ProjectileVis","RageProjectileVis","AbilityProjectileVis","SpawnedTroopAnimation"
"PrimalKing","Barbarian King",,,,"TID_PRIMAL_KING","image/skin_icons/bk_primal_dl_opt.png","sc3d/barbking_primal_geo_dl_opt.scw","sc3d/barbking_primal_01_dl_opt.pvr","sc3d/barbking_primal_01_normal_dl_opt.pvr","sc3d/barbking_primal_01_material_dl_opt.pvr",,,"BarbarianKingPrimalSkin",,10000,225,225,"sfx/barbarian_king_scream_01.ogg",80,"Primal King Deploy","Barbarian King Attack",,,,,"Barbarian King Die","King Ability Effect",,,,,,,
"ClockworkKing","Barbarian King",,,,"TID_CLOCKWORK_KING","image/skin_icons/bk_clockwork_dl_opt.png","sc3d/barbking_clockwork_geo_dl_opt.scw","sc3d/barbking_clockwork_01_dl_opt.pvr","sc3d/barbking_clockwork_01_normal_dl_opt.pvr","sc3d/barbking_clockwork_01_material_dl_opt.pvr",,,"BarbarianKingClockworkSkin",,10000,225,225,"sfx/bk_wood_scream_01_dl_opt.ogg",80,"Barbarian King Deploy","Barbarian King Attack",,,,,"Barbarian King Die","King Ability Effect",,,,,,,
"PartyKing","Barbarian King",,,,"TID_PARTY_KING","image/skin_icons/bk_party_dl_opt.png","sc3d/barbking_party_geo_dl_opt.scw","sc3d/barbking_party_01_dl_opt.pvr","sc3d/barbking_party_01_normal_dl_opt.pvr","sc3d/barbking_party_01_material_dl_opt.pvr",,,"BarbarianKingPartySkin",,10000,225,225,,80,"Party King Deploy","Party King Attack",,,,,"Party King Die","Party King Ability Effect",,,,,,,
"ChampionKing","Barbarian King",,,,"TID_CHAMPION_KING","image/skin_icons/bk_champion_dl_opt.png","sc3d/barbking_champ_geo_dl_opt.scw","sc3d/barbking_champ_01_dl_opt.pvr",,"sc3d/barbking_champ_01_material_dl_opt.pvr",,,"BarbarianKingChampionSkin",,10000,225,225,"sfx/gladchampkingpose_01_dl_opt.ogg",80,"Champion King Spawn Effect Offset","Champion King Attack",,,,"Champion King hit","Barbarian King Die","Champion King Ability Effect","Champion King Spawn Effect",,,,,,"BarbarianChamp"
"PirateKing","Barbarian King",,,,"TID_PIRATE_KING","image/skin_icons/bk_pirate_dl_opt.png","sc3d/barbking_pirate_geo_dl_opt.scw","sc3d/barbking_pirate_01_dl_opt.pvr",,"sc3d/barbking_pirate_01_material_dl_opt.pvr",,,"BarbarianKingPirateSkin",,10000,225,225,,,"Pirate King Deploy","Pirate King Attack",,,,,"Barbarian King Die","Pirate King Ability Effect",,,,,,,
"GladiatorQueen","Archer Queen",,,1500,"TID_ARCHER_QUEEN_GLADIATOR","image/skin_icons/aq_gladiator_dl_opt.png","sc3d/archerqueen_gladiator_geo_dl_opt.scw","sc3d/archerqueen_gladiator_01_dl_opt.pvr",,"sc3d/archerqueen_gladiator_01_material_dl_opt.pvr",,,"ArcherQueenGladiatorSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Queen Ability Effect",,,,,,,
,,,,,,,,,,,,,,,,,,"sfx/archer_queen_deploy_01.ogg",90,,,,,,,,,,,,,,,
"ValkyrieQueen","Archer Queen",,,1500,"TID_VALKYRIE_QUEEN","image/skin_icons/aq_valkyrie_dl_opt.png","sc3d/archerqueen_valkyrie_geo_dl_opt.scw","sc3d/archerqueen_valkyrie_01_dl_opt.pvr",,"sc3d/archerqueen_valkyrie_01_material_dl_opt.pvr",,,"ArcherQueenValkyrieSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Queen Ability Effect",,,,,,,
,,,,,,,,,,,,,,,,,,"sfx/archer_queen_deploy_01.ogg",90,,,,,,,,,,,,,,,
"AutumnQueen","Archer Queen",,,1500,"TID_AUTUMN_QUEEN","image/skin_icons/aq_autumn_dl_opt.png","sc3d/archerqueen_autumn_geo_dl_opt.scw","sc3d/archerqueen_autumn_01_dl_opt.pvr","sc3d/archerqueen_autumn_01_normal_dl_opt.pvr","sc3d/archerqueen_autumn_01_material_dl_opt.pvr",,,"ArcherQueenAutumnSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Queen Ability Effect","Autumn Spawn Effect",,,,,,
,,,,,,,,,,,,,,,,,,"sfx/archer_queen_deploy_01.ogg",90,,,,,,,,,,,,,,,
"IceQueen","Archer Queen",,,1500,"TID_ICE_QUEEN","image/skin_icons/aq_ice_dl_opt.png","sc3d/archerqueen_ice_geo_dl_opt.scw","sc3d/archerqueen_ice_01_dl_opt.pvr",,"sc3d/archerqueen_ice_01_material_dl_opt.pvr","sc3d/archerqueen_ice_01_emission_dl_opt.pvr",,"ArcherQueenIceSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Ice Ability Effect","Ice Spawn Effect",,,,,,
,,,,,,,,,,,,,,,,,,"sfx/archer_queen_deploy_01.ogg",90,,,,,,,,,,,,,,,
"WarriorQueen","Archer Queen",,,,"TID_WARRIOR_QUEEN","image/skin_icons/aq_cny_01_dl_opt.png","sc3d/archerqueen_cny_geo_dl_opt.scw","sc3d/archerqueen_cny_01_dl_opt.pvr",,"sc3d/archerqueen_cny_01_material_dl_opt.pvr",,,"ArcherQueenCnySkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"CNY Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","CNY Ability Effect",,,,"ArcherQueenCNY arrow","ArcherQueenCNY arrow rage",,
"PrimalQueen","Archer Queen",,,,"TID_PRIMAL_QUEEN","image/skin_icons/aq_primal_dl_opt.png","sc3d/archerqueen_primal_geo_dl_opt.scw","sc3d/archerqueen_primal_01_dl_opt.pvr","sc3d/archerqueen_primal_01_normal_dl_opt.pvr","sc3d/archerqueen_primal_01_material_dl_opt.pvr",,,"ArcherQueenPrimalSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Queen Ability Effect",,,,,,,
"ClockworkQueen","Archer Queen",,,,"TID_CLOCKWORK_QUEEN","image/skin_icons/aq_clockwork_dl_opt.png","sc3d/archerqueen_clockwork_geo_dl_opt.scw","sc3d/archerqueen_clockwork_01_dl_opt.pvr","sc3d/archerqueen_clockwork_01_normal_dl_opt.pvr","sc3d/archerqueen_clockwork_01_material_dl_opt.pvr",,,"ArcherQueenClockworkSkin",,10000,225,225,"sfx/wood_queen_scream_01_dl_opt.ogg",90,"Wood Archer Queen Deploy","Wood ArcherQueen Attack",,,,,"Wood Archer Queen Die","Queen Ability Effect",,,,,,,
"PirateQueen","Archer Queen",,,,"TID_PIRATE_QUEEN","image/skin_icons/aq_pirate_dl_opt.png","sc3d/archerqueen_pirate_geo_dl_opt.scw","sc3d/archerqueen_pirate_01_dl_opt.pvr","sc3d/archerqueen_pirate_01_normal_dl_opt.pvr","sc3d/archerqueen_pirate_01_material_dl_opt.pvr",,,"ArcherQueenPirateSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Queen Ability Effect",,,,,,,
"PartyWarden","Grand Warden",,,1500,"TID_PARTY_WARDEN","image/skin_icons/gw_party_dl_opt.png","sc3d/grandwarden_party_geo_dl_opt.scw","sc3d/grandwarden_party_01_dl_opt.pvr",,"sc3d/grandwarden_party_01_material_dl_opt.pvr",,,"GrandWardenPartySkin","GrandWardenFlyPartySkin",10000,225,225,"sfx/pwdeploy01_dl_opt.ogg",90,"Party Warden Deploy","Party Warden Attack",,"Party Warden Attack Air",,,"Party Warden Die",,,,"L_gunbone_01_s",,,,
"PrimalWarden","Grand Warden",,,,"TID_PRIMAL_WARDEN","image/skin_icons/gw_primal_dl_opt.png","sc3d/grandwarden_primal_geo_dl_opt.scw","sc3d/grandwarden_primal_01_dl_opt.pvr",,"sc3d/grandwarden_primal_01_material_dl_opt.pvr",,,"GrandWardenPrimalSkin","GrandWardenFlyPrimalSkin",10000,225,225,"sfx/tap_grand_warden_04.ogg",90,"Grand Warden Deploy","GrandWarden Attack",,"GrandWarden Attack Air",,,"Grand Warden Die",,,,"L_gunbone_01_s",,,,
"ClockworkWarden","Grand Warden",,,,"TID_CLOCKWORK_WARDEN","image/skin_icons/gw_clockwork_dl_opt.png","sc3d/grandwarden_clockwork_geo_dl_opt.scw","sc3d/grandwarden_clockwork_01_dl_opt.pvr","sc3d/grandwarden_clockwork_01_normal_dl_opt.pvr","sc3d/grandwarden_clockwork_01_material_dl_opt.pvr","sc3d/grandwarden_clockwork_01_emission_dl_opt.pvr",,"GrandWardenClockworkSkin","GrandWardenFlyClockworkSkin",10000,225,225,"sfx/wooden_warden_tap_01_dl_opt.ogg",90,"Wood Warden Deploy","ClockworkWarden Attack",,"ClockworkWarden Attack Air",,,"Wood Warden Die",,,"clockwork_glow","L_gunbone_01_s",,,,
"GladiatorWarden","Grand Warden",,,,"TID_GRAND_WARDEN_GLADIATOR","image/skin_icons/gw_gladiator_dl_opt.png","sc3d/grandwarden_gladiator_geo_dl_opt.scw","sc3d/grandwarden_gladiator_01_dl_opt.pvr","sc3d/grandwarden_gladiator_01_normal_dl_opt.pvr","sc3d/grandwarden_gladiator_01_material_dl_opt.pvr",,,"GrandWardenGladiatorSkin","GrandWardenFlyGladiatorSkin",10000,225,225,,,"Grand Warden Deploy","GladiatorWarden Attack",,"GladiatorWarden Attack Air",,,"Grand Warden Die",,,,"L_gunbone_01_s",,,,
"PirateWarden","Grand Warden",,,,"TID_PIRATE_WARDEN","image/skin_icons/gw_pirate_dl_opt.png","sc3d/grandwarden_pirate_geo_dl_opt.scw","sc3d/grandwarden_pirate_01_dl_opt.pvr","sc3d/grandwarden_pirate_01_normal_dl_opt.pvr","sc3d/grandwarden_pirate_01_material_dl_opt.pvr",,,"GrandWardenPirateSkin","GrandWardenFlyPirateSkin",10000,225,225,"sfx/tap_grand_warden_04.ogg",90,"Grand Warden Deploy","PirateWarden Attack",,"PirateWarden Attack2",,,"Grand Warden Die",,,,"L_gunbone_01_s",,,,
"GrandWarden006","Grand Warden",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GrandWarden007","Grand Warden",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GrandWarden008","Grand Warden",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WarriorPrincessDefault","Warrior Princess","true",,,"TID_HERO_ROYAL_CHAMPION","image/skin_icons/rc_original.png","sc3d/warriorprincess_default_geo.scw","sc3d/warriorprincess_default_01.pvr",,"sc3d/warriorprincess_default_01_material.pvr",,,"WarriorPrincessDefaultSkin",,10000,225,225,"sfx/rg_alert_01.ogg",90,"Royal Champion Deploy","Warrior Princess Attack",,,,,"Royal Champion Die","Champion Ability Effect",,,"L_gunbone_01_s",,,,
"WinterChampion","Warrior Princess",,,,"TID_WINTER_CHAMPION","image/skin_icons/rc_winter_dl_opt.png","sc3d/royalchampion_winter_geo_dl_opt.scw","sc3d/royalchampion_winter_01_dl_opt.pvr","sc3d/royalchampion_winter_01_normal_dl_opt.pvr","sc3d/royalchampion_winter_01_material_dl_opt.pvr",,,"WarriorPrincessWinterSkin",,10000,225,225,"sfx/rg_alert_01.ogg",90,"Royal Champion Deploy","Warrior Princess Attack",,,,,"Royal Champion Die","Champion Ability Effect",,,"L_gunbone_01_s","RoyalChampionWinter spear",,"AmazonQueen_shield_winter",
"RoyalChampion002","Warrior Princess",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RoyalChampion003","Warrior Princess",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RoyalChampion004","Warrior Princess",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RoyalChampion005","Warrior Princess",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RoyalChampion006","Warrior Princess",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RoyalChampion007","Warrior Princess",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RoyalChampion008","Warrior Princess",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RoyalChampion009","Warrior Princess",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RoyalChampion010","Warrior Princess",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RoyalChampion011","Warrior Princess",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RoyalChampion012","Warrior Princess",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RoyalChampion013","Warrior Princess",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RoyalChampion014","Warrior Princess",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RoyalChampion015","Warrior Princess",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RoyalChampion016","Warrior Princess",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarbarianKing009","Barbarian King",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarbarianKing010","Barbarian King",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarbarianKing011","Barbarian King",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarbarianKing012","Barbarian King",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarbarianKing013","Barbarian King",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarbarianKing014","Barbarian King",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarbarianKing015","Barbarian King",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarbarianKing016","Barbarian King",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarbarianKing017","Barbarian King",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarbarianKing018","Barbarian King",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarbarianKing019","Barbarian King",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarbarianKing020","Barbarian King",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArcherQueen009","Archer Queen",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArcherQueen010","Archer Queen",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArcherQueen011","Archer Queen",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArcherQueen012","Archer Queen",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArcherQueen013","Archer Queen",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArcherQueen014","Archer Queen",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArcherQueen015","Archer Queen",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArcherQueen016","Archer Queen",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArcherQueen017","Archer Queen",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArcherQueen018","Archer Queen",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArcherQueen019","Archer Queen",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArcherQueen020","Archer Queen",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GrandWarden009","Grand Warden",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GrandWarden010","Grand Warden",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GrandWarden011","Grand Warden",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GrandWarden012","Grand Warden",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GrandWarden013","Grand Warden",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GrandWarden014","Grand Warden",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GrandWarden015","Grand Warden",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GrandWarden016","Grand Warden",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GrandWarden017","Grand Warden",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GrandWarden018","Grand Warden",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GrandWarden019","Grand Warden",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GrandWarden020","Grand Warden",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
