"Name","FileName","LocalizedName","HasEvenSpaceCharacters","isRTL","UsedSystemFont","HelpshiftSDKLanguage","HelpshiftSDKLanguageAndroid","SortOrder","TestLanguage","TestExcludes","BoomboxEnabled","BoomboxUrl","BoomboxStagingUrl","BoomBoxCommunityUrl","BoomBoxCommunityStagingUrl","BoomBoxCommunityContentShowsBadge","BoomBoxEsportsUrl","BoomBoxEsportsStagingUrl","TournamentHubUrl","TournamentHubStagingUrl","BoomBoxProvidesBackButton","HelpshiftLanguageTagOverride","ForcedFontName","SelfHelpUrl","BoomboxLocaleNews","BoomboxLocaleNewsStage","BoomboxLocaleCommunity","BoomboxLocaleCommunityStage","BoomboxLocaleEsports","BoomboxLocaleEsportsStage"
"FA","localization/fa.csv","فارسی",,"TRUE",,,,16,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com/fa","https://inbox.clashofclans.com/fa/community","https://inbox-staging.clashofclans.com/fa/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en",,"EN",,"https://ingame.help.supercellsupport.com/clash-of-clans/en/index.html","en","fa","fa","fa","en","en"
"ID","localization/id.csv","Bahasa Indonesia",,,,"id",,17,,,"true","https://inbox.clashofclans.com/id","https://inbox-staging.clashofclans.com/id","https://inbox.clashofclans.com/id/community","https://inbox-staging.clashofclans.com/id/community",,"https://inbox.clashofclans.com/id/esport","https://inbox-staging.clashofclans.com/id/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en",,,,"https://ingame.help.supercellsupport.com/clash-of-clans/id/index.html","id","id","id","id","id","id"
"MS","localization/ms.csv","Bahasa Melayu",,,,"ms",,18,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com/ms","https://inbox.clashofclans.com/ms/community","https://inbox-staging.clashofclans.com/ms/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en",,,,"https://ingame.help.supercellsupport.com/clash-of-clans/ms/index.html","en","ms","ms","ms","en","en"
"TEST",,"Test Language",,,,,,999,"TRUE",,,,,,,,,,,,,,,,,,,,,
"VI","localization/vi.csv","Tiếng Việt",,,,"vi",,19,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com/vi","https://inbox.clashofclans.com/vi/community","https://inbox-staging.clashofclans.com/vi/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en",,"EN",,"https://ingame.help.supercellsupport.com/clash-of-clans/en/index.html","en","vi","vi","vi","en","en"
"DOUBLEDOUBLE",,"Double Double String",,,,"zh-Hans","zh-Hans",1004,"TRUE",,,,,,,,,,,,,,,,,,,,,
"QUADRUPLE",,"Quad String",,,,"zh-Hans","zh-Hans",1005,"TRUE",,,,,,,,,,,,,,,,,,,,,
"TH","localization/th.csv","ภาษาไทย",,,"HelveticaNeue-Bold","th",,20,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com/th","https://inbox.clashofclans.com/th/community","https://inbox-staging.clashofclans.com/th/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en",,"EN",,"https://ingame.help.supercellsupport.com/clash-of-clans/en/index.html","en","th","th","th","en","en"
"FI","localization/fi.csv","Suomi",,,,"fi",,21,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com/fi","https://inbox.clashofclans.com/fi/community","https://inbox-staging.clashofclans.com/fi/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en",,,,"https://ingame.help.supercellsupport.com/clash-of-clans/fi/index.html","en","fi","fi","fi","en","en"
"GRAPHEME",,"Most Graphemes",,,,"zh-hans","zh-Hans",1006,"TRUE","AR",,,,,,,,,,,,"EN",,,,,,,,
,,,,,,,,,,"FA",,,,,,,,,,,,,,,,,,,,
"TID",,"TIDs",,,,"ko","ko",1007,"TRUE",,,,,,,,,,,,,"EN",,,,,,,,
