"Name","SWF","ExportName","ScaleTimeline","DirectionCount","ParticleEmitter","RotateEmitter","Effect","RotateEffect","SpawnEffect","Speed","StartHeight","StartOffset","IsBallistic","ShadowSWF","ShadowExportName","RandomHitPositionOnCharacters","SmallRandomHitPositionOnBuildings","UseRotate","DirectionFrame","PlayOnce","UseTopLayer","Scale","HitSpell","HitSpellLevel","HitSpellInheritAffectType","DontTrackTarget","BallisticHeight","TrajectoryStyle","FixedTravelTime","MaxTravelTime","DamageDelay","DestroyedEffect","BounceEffect","TargetPosRandomRadius","SlowdownDefencePercent","UseNormalizeLenghtFix","MaxBounceDistance","StopToTargetTime","SmoothDamage","StartOffsetFromGunBone","PenetratingHitBoxWidth","MaxHitBuildings","ReturningProjectile","RetargetRadius","RetargetTimer","3D","DepthBiasFront","DepthBiasBack","HasBunkerTroops","HitsGroundAndAir"
"Arrow_small","sc/characters.sc","arrow_ammo_small","false",0,,"false",,"false",,1400,45,50,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Arrow_small_fire","sc/characters.sc","arrow_ammo_small_fire","false",0,,"false",,"false",,1400,45,50,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Arrow_small_elixirFire","sc/characters.sc","arrow_ammo_small_elixirFire","false",0,,"false",,"false",,1400,45,50,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Arrow_small_darkElixirFire","sc/characters.sc","arrow_ammo_small_darkElixirFire","false",0,,"false",,"false",,1400,45,50,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Arrow_small_darkElixirFire2","sc/characters.sc","arrow_ammo_small_darkElixirFire2","false",0,,"false",,"false",,1400,45,50,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Firework","sc/buildings.sc","fw_ammo","false",0,,"false",,"false",,800,60,20,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Firework2","sc/buildings.sc","fw_ammo2","false",0,,"false",,"false",,800,60,20,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Firework3","sc/buildings.sc","fw_ammo3","false",0,,"false",,"false",,800,60,20,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Firework4","sc/buildings.sc","fw_ammo4","false",0,,"false",,"false",,800,60,20,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Firework5","sc/buildings.sc","fw_ammo5","false",0,,"false",,"false",,800,60,20,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Firework6","sc/buildings.sc","fw_ammo6","false",0,,"false",,"false",,800,60,20,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Firework7","sc/buildings.sc","fw_ammo7","false",0,,"false",,"false",,800,60,20,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Firework8","sc/buildings.sc","fw_ammo8","false",0,,"false",,"false",,800,60,20,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Firework9","sc/buildings.sc","fw_ammo9","false",0,,"false",,"false",,800,60,20,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Wizard Blast","sc/buildings.sc","dummy_particle","false",0,,"false",,"false",,1200,100,0,"false",,,"false","false","true","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"wizard_projectile","sc/buildings.sc","wizard_blast_lvl1","true",0,"wizard_lvl1_trail_emitter","false",,"false",,500,40,50,"false",,,"false","false","true","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"wizard_projectile2","sc/buildings.sc","wizard_blast_lvl2","true",0,"wizard_lvl2_trail_emitter","false",,"false",,900,40,50,"false",,,"false","false","true","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"wizard_projectile3","sc/buildings.sc","wizard_blast_lvl3","true",0,"wizard_lvl3_trail_emitter","false",,"false",,900,30,40,"false",,,"false","false","true","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"wizard_projectile4","sc/buildings.sc","wizard_blast_lvl4","true",0,"wizard_lvl3_trail_emitter","false",,"false",,900,30,40,"false",,,"false","false","true","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"party_wizard_projectile","sc/buildings.sc","party_wizard_blast_lvl4","true",0,"wizard_lvl2_trail_emitter","false",,"false",,900,30,40,"false",,,"false","false","true","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"wizardTower_projectile","sc/buildings.sc","wizard_blast_lvl1","true",0,"wizard_lvl1_trail_emitter","false",,"false",,500,180,40,"false",,,"false","false","true","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"wizardTower_projectile2","sc/buildings.sc","wizard_blast_lvl2","true",0,"wizard_lvl2_trail_emitter","false",,"false",,900,180,40,"false",,,"false","false","true","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"wizardTower_projectile3","sc/buildings.sc","wizard_blast_lvl3","true",0,"wizard_lvl3_trail_emitter","false",,"false",,900,180,40,"false",,,"false","false","true","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"wizardTower_projectile4","sc/buildings.sc","wizard_blast_lvl4","true",0,"wizard_lvl3_trail_emitter","false",,"false",,900,180,40,"false",,,"false","false","true","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Mortar Ammo1","sc/buildings.sc","mortar_ammo1","false",0,"mortar_trail","false",,"false",,500,95,20,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Mortar Ammo2","sc/buildings.sc","mortar_ammo2","false",0,"mortar_trail","false",,"false",,500,95,20,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Mortar Ammo3","sc/buildings.sc","mortar_ammo3","false",0,"mortar_trail","false",,"false",,500,95,20,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Mortar Ammo4","sc/buildings.sc","mortar_ammo4","false",0,"mortar_trail","false",,"false",,500,95,20,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Mortar Ammo5","sc/buildings.sc","mortar_ammo5","false",0,"mortar_trail","false",,"false",,500,95,20,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Mortar Ammo6","sc/buildings.sc","mortar_ammo6","false",0,"mortar_trail_lvl6","false",,"false",,500,95,20,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Mortar Ammo8","sc/buildings.sc","mortar_ammo8","false",0,"mortar_lvl8_trail_emitter","false",,"false",,500,95,20,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Mortar Ammo9","sc/buildings.sc","mortar_ammo9","false",0,"mortar_lvl8_trail_emitter","false",,"false",,500,95,20,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Mortar Ammo10","sc/buildings.sc","mortar_ammo10","false",0,"mortar_lvl8_trail_emitter","false",,"false",,500,95,20,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Mortar Ammo11","sc/buildings.sc","mortar_ammo11","false",0,"mortar_lvl8_trail_emitter","false",,"false",,500,95,20,"true","sc/buildings.sc","simple_shadow_small","false","false","false","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"HealerEnergy","sc/buildings.sc","dummy_particle","false",0,"healer_projectile_trail","false",,"false",,1200,40,38,"false",,,"false","false","true","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Tower Arrow","sc/characters.sc","arrow_ammo_small","false",0,,"false",,"false",,1800,190,50,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Tower Arrow Fire","sc/characters.sc","arrow_ammo_small_fire","false",0,,"false",,"false",,1800,190,50,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Tower Arrow ElixFire","sc/characters.sc","arrow_ammo_small_elixirFire","false",0,,"false",,"false",,1800,190,50,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Tower Arrow DarkElixFire","sc/characters.sc","arrow_ammo_small_darkElixirFire","false",0,,"false",,"false",,1800,190,50,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Tower Arrow ElixFire LOW","sc/characters.sc","arrow_ammo_small_elixirFire","false",0,,"false",,"false",,1800,180,50,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Tower Arrow DarkElixFire LOW","sc/characters.sc","arrow_ammo_small_darkElixirFire","false",0,,"false",,"false",,1800,180,50,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Rapidfire arrow","sc/buildings.sc","rapidfire_arrow_ammo","false",0,,"false",,"false",,2300,97,0,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","true","false","false","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"ArcherQueen arrow lvl1","sc/buildings.sc","hero_multi_arrow_lvl1","false",0,,"false",,"false",,1650,65,65,"false","sc/buildings.sc","bolt_projectile_shadow","false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Rapidfire arrow lvl2","sc/buildings.sc","rapidfire_arrow_ammo_lvl2","false",0,,"false",,"false",,2400,97,0,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","true","false","false","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Rapidfire arrow lvl3","sc/buildings.sc","rapidfire_arrow_ammo_lvl3","false",0,,"false",,"false",,2500,97,0,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","true","false","false","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Rapidfire arrow lvl4","sc/buildings.sc","rapidfire_arrow_ammo_lvl4","false",0,,"false",,"false",,2500,97,0,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","true","false","false","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Rapidfire arrow lvl5","sc/buildings.sc","rapidfire_arrow_ammo_lvl5","false",0,,"false",,"false",,2500,97,0,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","true","false","false","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Rapidfire arrow lvl6","sc/buildings.sc","rapidfire_arrow_ammo_lvl6","false",0,,"false",,"false",,2500,97,0,"false","sc/buildings.sc","bolt_projectile_shadow","true","false","true","false","false","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"ArcherQueen arrow lvl2","sc/buildings.sc","hero_multi_arrow_lvl2","false",0,,"false",,"false",,1650,65,65,"false","sc/buildings.sc","bolt_projectile_shadow","false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"AirTrapBalloon","sc/buildings.sc","air_trap_projectile","false",0,,"false",,"false",,250,0,20,"false","sc/buildings.sc","simple_shadow_small","false","false","false","false","true","true",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"LargeDarkElixirBalloon","sc/buildings.sc","evil_airTrap_projectile","false",0,"large_airTrap_redSmoke","false",,"false",,350,0,20,"false","sc/buildings.sc","simple_shadow_small","false","false","false","false","true","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"gargoyle_projectile","sc/characters.sc","slimeball_projectile","false",0,,"false",,"false",,380,125,50,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Witch_projectile","sc/buildings.sc","witch_projectile","false",0,"witch_trail_emitter","false",,"false",,500,25,50,"false",,,"false","false","true","false","false","false",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"AirTrapBalloon_lvl3","sc/buildings.sc","air_trap_projectile_lvl3","false",0,,"false",,"false",,250,0,20,"false","sc/buildings.sc","simple_shadow_small","false","false","false","false","true","true",100,,0,"false","true",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"LargeDarkElixirBalloon_lvl3","sc/buildings.sc","evil_airTrap_projectile_lvl3","false",0,"large_airTrap_redSmoke","false",,"false",,350,0,20,"false","sc/buildings.sc","simple_shadow_small","false","false","false","false","true","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"LargeDarkElixirBalloon_lvl5","sc/buildings.sc","evil_airTrap_projectile_lvl5","false",0,"large_airTrap_redSmoke","false",,"false",,350,0,20,"false","sc/buildings.sc","simple_shadow_small","false","false","false","false","true","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Tower Arrow Fire2","sc/characters.sc","arrow_ammo_small_fire","false",0,"Spark Trail","false",,"false",,1800,190,50,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Tower Arrow Fire3","sc/characters.sc","arrow_ammo_small_fire","false",0,"Spark Trail_Dark","false",,"false",,1800,190,50,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Tower Arrow Fire2 LOW","sc/characters.sc","arrow_ammo_small_fire","false",0,"Spark Trail","false",,"false",,1800,180,50,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Tower Arrow Fire3 LOW","sc/characters.sc","arrow_ammo_small_fire","false",0,"Spark Trail_Dark","false",,"false",,1800,180,50,"true",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"ArcherQueen arrow rage","sc/buildings.sc","hero_multi_arrow_rage","false",0,,"false",,"false",,1650,65,65,"false","sc/buildings.sc","bolt_projectile_shadow","false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"hound_projectile","sc/characters.sc","lavahound_projectile","false",0,,"false",,"false",,200,150,5,"false",,,"false","false","true","false","false","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"tinyhound_projectile","sc/characters.sc","tiny_lavahound_projectile","false",0,,"false",,"false",,300,150,5,"false",,,"false","false","true","false","false","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Air Blaster Ammo1","sc/buildings.sc","dummy_particle","false",0,,"false",,"false",,600,125,125,"false",,,"false","false","true","false","false","true",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Elite Wizard projectile","sc/buildings.sc","witch_projectile","false",0,"witch_trail_emitter","false",,"false",,500,25,50,"false",,,"false","false","true","false","false","false",100,,0,"false","false",0,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Artillery Ammo1","sc/buildings.sc","doom_ammo_big_asset_lvl1","false",0,,"false","Artillery Trail","true",,500,200,0,"true","sc/buildings.sc",,"false","false","true","false","false","true",100,"Artillery Center",1,"false","false",5000,1,5000,0,580,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Artillery Ammo2","sc/buildings.sc","doom_ammo_big_asset_lvl2","false",0,,"false","Artillery Trail","true",,500,200,0,"true","sc/buildings.sc",,"false","false","true","false","false","true",100,"Artillery Center",2,"false","false",5000,1,5000,0,580,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Artillery Ammo3","sc/buildings.sc","doom_ammo_big_asset_lvl2","false",0,,"false","Artillery Trail","true",,500,200,0,"true","sc/buildings.sc",,"false","false","true","false","false","true",100,"Artillery Center",3,"false","false",5000,1,5000,0,580,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Artillery Ammo4","sc/buildings.sc","doom_ammo_big_asset_lvl2","false",0,,"false","Artillery Trail","true",,500,200,0,"true","sc/buildings.sc",,"false","false","true","false","false","true",100,"Artillery Center",4,"false","false",5000,1,5000,0,580,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Artillery Ammo5","sc/buildings.sc","doom_ammo_big_asset_lvl2","false",0,,"false","Artillery Trail","true",,500,200,0,"true","sc/buildings.sc",,"false","false","true","false","false","true",100,"Artillery Center",5,"false","false",5000,1,5000,0,580,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"Artillery Ammo6","sc/buildings.sc","doom_ammo_big_asset_lvl2","false",0,,"false","Artillery Trail","true",,500,200,0,"true","sc/buildings.sc",,"false","false","true","false","false","true",100,"Artillery Center",6,"false","false",5000,1,5000,0,580,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"trollBoulder_lvl1","sc/buildings.sc","trollBoulder_lvl1","false",6,"trollBoulder_dust_emitter_lvl1","false",,"false",,475,75,40,"true","sc/buildings.sc","shadow_trollBoulder","false","false","false","false","false","true",100,,0,"false","false",100,3,0,0,0,"trollBoulder_destroyed","trollBoulder_bounce",0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"trollBoulder_lvl2","sc/buildings.sc","trollBoulder_lvl2","false",6,"trollBoulder_dust_emitter_lvl2","false",,"false",,475,75,40,"true","sc/buildings.sc","shadow_trollBoulder","false","false","false","false","false","true",100,,0,"false","false",100,3,0,0,0,"trollBoulder_destroyed","trollBoulder_bounce",0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"trollBoulder_lvl3","sc/buildings.sc","trollBoulder_lvl3","false",6,"trollBoulder_dust_emitter_lvl2","false",,"false",,475,75,40,"true","sc/buildings.sc","shadow_trollBoulder","false","false","false","false","false","true",100,,0,"false","false",100,3,0,0,0,"trollBoulder_destroyed","trollBoulder_bounce",0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"trollBoulder_lvl4","sc/buildings.sc","trollBoulder_lvl4","false",6,"trollBoulder_dust_emitter_lvl2","false",,"false",,475,75,40,"true","sc/buildings.sc","shadow_trollBoulder","false","false","false","false","false","true",100,,0,"false","false",100,3,0,0,0,"trollBoulder_destroyed","trollBoulder_bounce",0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"trollBoulder_lvl5","sc/buildings.sc","trollBoulder_lvl5","false",6,"trollBoulder_dust_emitter_lvl2","false",,"false",,475,75,40,"true","sc/buildings.sc","shadow_trollBoulder","false","false","false","false","false","true",100,,0,"false","false",100,3,0,0,0,"trollBoulder_destroyed","trollBoulder_bounce",0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"trollBoulder_lvl6","sc/buildings.sc","trollBoulder_lvl6","false",6,"trollBoulder_dust_emitter_lvl2","false",,"false",,475,75,40,"true","sc/buildings.sc","shadow_trollBoulder","false","false","false","false","false","true",100,,0,"false","false",100,3,0,0,0,"trollBoulder_destroyed","trollBoulder_bounce",0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"trollBoulder_lvl7","sc/buildings.sc","trollBoulder_lvl7","false",6,"trollBoulder_dust_emitter_lvl2","false",,"false",,475,75,40,"true","sc/buildings.sc","shadow_trollBoulder","false","false","false","false","false","true",100,,0,"false","false",100,3,0,0,0,"trollBoulder_destroyed","trollBoulder_bounce",0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"babydragon_projectile","sc/buildings.sc","baby_dragon_projectile_lvl1","true",0,"babydragon_smoke_emitter_lvl1","false",,"false",,475,160,80,"true",,,"false","false","true","false","false","true",100,,0,"false","false",45,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"babydragon_projectile_lvl2","sc/buildings.sc","baby_dragon_projectile_lvl2","true",0,"babydragon_smoke_emitter_lvl1","false",,"false",,475,160,80,"true",,,"false","false","true","false","false","true",100,,0,"false","false",45,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
"babydragon_projectile_lvl3","sc/buildings.sc","baby_dragon_projectile_lvl3","true",0,"babydragon_smoke_emitter_lvl1","false",,"false",,475,160,80,"true",,,"false","false","true","false","false","true",100,,0,"false","false",45,0,0,0,0,,,0,0,"false",0,0,"false","false",0,0,"false",0,0,,0,0,,
