"Name","TroopLevel","TID","InfoTID","SWF","HousingSpace","BarrackLevel","LaboratoryLevel","Speed","Hitpoints","TrainingTime","TrainingResource","TrainingCost","UpgradeTimeH","UpgradeTimeM","UpgradeResource","UpgradeCost","DonateCost","AttackRange","AttackSpeed","CoolDownOverride","DPS","PreferedTargetDamageMod","DamageRadius","AreaDamageIgnoresWalls","SelfAsAoeCenter","IconSWF","IconExportName","BigPicture","BigPictureSWF","Projectile","AltProjectile","PreferedTargetBuilding","PreferedTargetBuildingClass","PreferredTargetNoTargeting","DeployEffect","AttackEffect","AttackEffect2","HitEffect","HitEffect2","IsFlying","AirTargets","GroundTargets","AttackCount","DieEffect","DieEffect2","Animation","ProductionBuilding","IsJumper","MovementOffsetAmount","MovementOffsetSpeed","TombStone","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","DisableProduction","SecondaryTroop","IsSecondaryTroop","SecondaryTroopCnt","SecondarySpawnDist","RandomizeSecSpawnDist","PickNewTargetAfterPushback","PushbackSpeed","SummonTroop","SummonTroopCount","SummonCooldown","SummonEffect","SummonLimit","SpawnIdle","SpawnOnAttack","StrengthWeight","ChildTroop","ChildTroopCount","SpeedDecreasePerChildTroopLost","ChildTroop0_X","ChildTroop0_Y","ChildTroop1_X","ChildTroop1_Y","ChildTroop2_X","ChildTroop2_Y","AttackMultipleBuildings","IncreasingDamage","DPSLv2","DPSLv3","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","AttackEffectLv4","TransitionEffectLv2","TransitionEffectLv3","TransitionEffectLv4","HitEffectOffset","TargetedEffectOffset","SecondarySpawnOffset","CustomDefenderIcon","SpecialMovementMod","InvisibilityRadius","HealthReductionPerSecond","AutoMergeDistance","AutoMergeGroupSize","IsUnderground","ProjectileBounces","FriendlyGroupWeight","EnemyGroupWeight","NewTargetAttackDelay","TriggersTraps","ChainShootingDistance","ChainAttackDistance","ChainAttackMaxTargets","ChainAttackDelay","ChainAttackDamageReductionPercent","ChainAttackEffect","PreAttackEffect","MoveStartsEffect","MoveTrailEffect","BecomesTargetableEffect","BoostedIfAlone","BoostRadius","BoostDmgPerfect","BoostAttackSpeed","HideEffect","VillageType","UnitsInCamp","SpecialAbilityLevel","SpecialAbilityName","SpecialAbilityInfo","SpecialAbilityType","SpecialAbilityAttribute","SpecialAbilityAttribute2","SpecialAbilityAttribute3","SpecialAbilitySpell","SpecialAbilityEffect","SpecialAbilityIcon","DisableDonate","ScaleByTH","EnabledByCalendar","LoseHpPerTick","LoseHpInterval","UpgradeLevelByTH","EvolveToCharacter","EvolveEffect","EvolveOnDamageDealt","EvolveTime","CanAttackWhileMoving","PreferredMovementTarget"
,2,,,,,,1,,23,,,80,24,,,250000,,,,,9,,,,,,,,,"Arrow_small",,,,,,,,,,,,,,,,"Archer",,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,3,,28,,,120,48,,,750000,,,,,12,,,,,,,,,"Arrow_small_fire",,,,,,,,,,,,,,,,"Archer2",,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,5,,33,,,200,84,,,2250000,,,,,16,,,,,,,,,"Arrow_small_fire",,,,,,,,,,,,,,,,"Archer2",,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,6,,40,,,300,108,,,6000000,,,,,20,,,,,,,,,"Arrow_small_elixirFire",,,,,,,,,,,,,,,,"Archer3",,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,7,,44,,,400,180,,,7500000,,,,,22,,,,,,,,,"Arrow_small_darkElixirFire",,,,,,,,,,,,,,,,"Archer6",,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,8,,48,,,500,240,,,9000000,,,,,25,,,,,,,,,"Arrow_small_darkElixirFire2",,,,,,,,,,,,,,,,"Archer7",,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,9,,52,,,600,,,,,,,,,28,,,,,,,,,"Arrow_small_darkElixirFire2",,,,,,,,,,,,,,,,"Archer8",,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goblin",1,"TID_GOBLIN","TID_CHARACTER_INFO_GOBLIN","sc/characters.cs",1,4,1,400,25,28,"Elixir",25,12,,"Elixir",50000,1,40,1000,,11,2,,,,"sc/ui.sc","icon_unit_goblin","unit_goblin_big","sc/info_goblin.sc",,,,"Resource",,"Goblin Deploy","Goblin Attack",,"Goblin Hit",,"false","false","true",,"Goblin Die",,"Goblin","Barrack","false",,0,"TombStone",,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,50,50,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,1,,30,,,40,36,,,250000,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,"Goblin",,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,3,,36,,,60,48,,,750000,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,"Goblin2",,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,5,,43,,,80,84,,,2250000,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,"Goblin2",,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,6,,52,,,100,156,,,4500000,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,"Goblin3",,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,7,,68,,,150,240,,,6750000,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,"Goblin6",,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,8,,74,,,200,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,"Goblin7",,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giant",1,"TID_GIANT","TID_CHARACTER_INFO_GIANT","sc/characters.cs",5,3,1,150,300,120,"Elixir",250,12,,"Elixir",100000,2,100,2000,,11,1,,,,"sc/ui.sc","icon_unit_giant","unit_giant_big","sc/info_giant.sc",,,,"Defense",,"Giant Deploy","Giant Attack",,"Giant Hit",,"false","false","true",,"Giant Die",,"Giant","Barrack","false",,0,"TombStone",,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,600,500,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,2,,360,,,750,36,,,250000,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,"Giant",,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,4,,430,,,1250,48,,,750000,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,"Giant2",,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,5,,520,,,1750,84,,,2250000,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,"Giant2",,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,6,,720,,,2250,156,,,5000000,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,"Giant3",,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,7,,940,,,3000,192,,,6000000,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,"Giant6",,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,8,,1280,,,3500,276,,,9500000,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,"Giant7",,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,9,,1480,,,4000,336,,,12000000,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,"Giant8",,,,,,,,,,,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,10,,1660,,,4500,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,"Giant9",,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wall Breaker",1,"TID_WALL_BREAKER","TID_CHARACTER_INFO_WALLBREAKER","sc/characters.cs",2,5,1,300,20,60,"Elixir",1000,12,,"Elixir",100000,2,50,1000,,12,40,80,,,"sc/ui.sc","icon_unit_wallbreaker","unit_skeleton_big","sc/info_wallbreaker.sc",,,,"Wall",,"Wall Breaker Deploy","Wall Breaker Attack",,"Wall Breaker Hit",,"false","false","true",1,"Wall Breaker Die",,"Wall Breaker","Barrack","false",,0,"TombStone",,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,50,50,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,2,,24,,,1500,36,,,250000,,,,,16,,80,,,,,,,,,,,,,,,,,,,,,,,"Wall Breaker",,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,4,,29,,,2000,48,,,750000,,,,,24,,80,,,,,,,,,,,,,,,,,,,,,,,"Wall Breaker2",,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,5,,35,,,2500,84,,,2000000,,,,,32,,80,,,,,,,,,,,,,,,,,,,,,,,"Wall Breaker2",,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,6,,42,,,3000,156,,,6000000,,,,,46,,80,,,,,,,,,,,,,,,,,,,,,,,"Wall Breaker3",,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,8,,54,,,3500,192,,,9000000,,,,,60,,80,,,,,,,,,,,,,,,,,,,,,,,"Wall Breaker6",,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,9,,62,,,4000,336,,,12000000,,,,,78,,80,,,,,,,,,,,,,,,,,,,,,,,"Wall Breaker7",,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,10,,70,,,4500,,,,,,,,,100,,80,,,,,,,,,,,,,,,,,,,,,,,"Wall Breaker7",,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balloon",1,"TID_GOBLIN_BALLOON","TID_CHARACTER_INFO_BALLOON","sc/characters.cs",5,6,1,130,150,120,"Elixir",2000,12,,"Elixir",150000,5,50,3000,,25,1,120,,"true","sc/ui.sc","icon_unit_balloon","unit_balloon_big","sc/info_balloon.sc",,,,"Defense",,"Balloon Goblin Deploy","Balloon Goblin Attack",,"Balloon Goblin Hit",,"true","false","true",,"Balloon Goblin Die",,"Balloon Goblin","Barrack","false",,20,"TombStone",25,120,"Balloon Exposion",416,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,-750,100,,,,,,,,,,600,500,2250,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,2,,180,,,2500,36,,,450000,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,"Balloon Goblin",,,,,,32,,"Balloon Exposion",,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,4,,216,,,3000,48,,,1350000,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,"Balloon Goblin2",,,,,,48,,"Balloon Exposion",,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,5,,280,,,3500,84,,,2500000,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,"Balloon Goblin2",,,,,,72,,"Balloon Exposion",,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,6,,390,,,4000,156,,,6000000,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,"Balloon Goblin3",,,,,,108,,"Balloon Exposion",,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,7,,545,,,4500,276,,,9500000,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,"Balloon Goblin6",,,,,,162,,"Dark Balloon Exposion",,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,9,,690,,,5000,336,,,12000000,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,"Balloon Goblin7",,,,,,214,,"Dark Balloon Exposion",,,,,,,,,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,10,,840,,,5500,,,,,,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,"Balloon Goblin8",,,,,,268,,"Dark Balloon Exposion",,,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wizard",1,"TID_WIZARD","TID_CHARACTER_INFO_WIZARD","sc/characters.cs",4,7,1,200,75,120,"Elixir",1500,12,,"Elixir",150000,5,300,1500,,50,1,30,,,"sc/ui.sc","icon_unit_wizard","unit_wizard_big","sc/info_wizard.sc","wizard_projectile",,,,,"Wizard Deploy","Wizard_attack",,"Wizard Hit1",,"false","true","true",,"Wizard Die",,"Wizard","Barrack","false",,0,"TombStone",,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,600,200,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,3,,90,,,2000,36,,,450000,,,,,70,,,,,,,,,"wizard_projectile",,,,,,"Wizard_attack",,"Wizard Hit1",,,,,,,,"Wizard",,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,4,,108,,,2500,48,,,1350000,,,,,90,,,,,,,,,"wizard_projectile",,,,,,"Wizard_attack",,"Wizard Hit1",,,,,,,,"Wizard2",,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,5,,130,,,3000,84,,,2500000,,,,,125,,,,,,,,,"wizard_projectile2",,,,,,"Wizard_attack2",,"Wizard Hit2",,,,,,,,"Wizard2",,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,6,,156,,,3500,144,,,5000000,,,,,170,,,,,,,,,"wizard_projectile2",,,,,,"Wizard_attack2",,"Wizard Hit2",,,,,,,,"Wizard3",,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,7,,175,,,4000,192,,,7000000,,,,,185,,,,,,,,,"wizard_projectile3",,,,,,"Wizard_attack3",,"Wizard Hit2",,,,,,,,"Wizard6",,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,8,,190,,,4500,276,,,9000000,,,,,200,,,,,,,,,"wizard_projectile4",,,,,,"Wizard_attack3",,"Wizard Hit2",,,,,,,,"Wizard7",,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,9,,210,,,5000,336,,,11000000,,,,,215,,,,,,,,,"wizard_projectile4",,,,,,"Wizard_attack3",,"Wizard Hit2",,,,,,,,"Wizard8",,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,10,,230,,,5500,,,,,,,,,230,,,,,,,,,"wizard_projectile4",,,,,,"Wizard_attack3",,"Wizard Hit2",,,,,,,,"Wizard9",,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
