"Name","ID","Enabled","EnabledIOS","EnabledAndroid","EnabledKunlun","EnabledLowEnd","EnabledHighEnd","Type","ShowAsNew","TID","InfoTID","ButtonTID","ButtonURL","NativeIOSURL","NativeAndroidURL","IncludedLanguages","ExcludedLanguages","IncludedCountries","ExcludedCountries","IncludedLoginCountries","ExcludedLoginCountries","CenterText","LoadResources","LoadInLowEnd","ItemSWF","ItemExportName","IconSWF","IconExportName","IconFrame","AnimateIcon","CenterIcon","MinTownHall","MaxTownHall","MinLevel","MaxLevel","MaxDiamonds","ClickToDismiss","NotifyAlways","NotifyMinLevel","AvatarIdModulo","ModuloMin","ModuloMax","Collapsed","ActionType","MinOS","MaxOS"
"HungryApp",14,"TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","more","FALSE",,"TID_MORE_HUNGRYAPP","TID_NEWS_BUTTON_GO","http://www.hungryapp.co.kr/bbs/list.php?bcode=coc",,,"KR",,,,,,"TRUE","FALSE","FALSE","sc/ui.sc","hungryapp_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,
"Forums",10,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","more","FALSE",,"TID_MORE_FORUMS","TID_NEWS_BUTTON_GO","http://forum.supercell.net/forumdisplay.php/4-Clash-of-Clans",,,,"KR",,,,,"TRUE","FALSE","FALSE","sc/ui.sc","forums_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,
,,,,,,,,,,,,,,,,,"JP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Safeguard",85,"TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","news","TRUE","TID_NEWS_SAFEGUARD_TITLE","TID_NEWS_SAFEGUARD_TEXT","TID_GOOGLE_SERVICE_SIGN_IN",,,,,,,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic_gc",,,0,"FALSE","FALSE",,,,,,,,,,,,,"OpenGC","7.0",
"SafeguardIOS6",87,"TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","news","TRUE","TID_NEWS_SAFEGUARD_TITLE","TID_NEWS_SAFEGUARD_TEXT","TID_GOOGLE_SERVICE_SIGN_IN",,,,,,,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic_gc6",,,0,"FALSE","FALSE",,,,,,,,,,,,,"OpenGC",,"7.0"
"SpecialAccountTransfer",1,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","news","TRUE","TID_NEWS_ACCOUNT_TRANSFER","TID_NEWS_ACCOUNT_TRANSFER_TEXT","TID_GOOGLE_PLAY_KUNLUN_TUTORIAL_BUTTON","https://coc.kunlun.com/att/index.html",,,,,,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic","sc/ui.sc","account_transfer_news_item",0,"TRUE","FALSE",,,0,,0,"FALSE","TRUE",0,,,,,"AccountTransfer",,
"SafeguardAndroid",86,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","news","TRUE","TID_NEWS_SAFEGUARD_TITLE","TID_NEWS_SAFEGUARD_TEXT_ANDROID","TID_GOOGLE_SERVICE_SIGN_IN",,,,,,,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic_gplus",,,0,"FALSE","FALSE",,,,,,,,,,,,,"OpenG+",,
"UpgradeYourOS",106,"FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","news","TRUE","TID_NEWS_UPGRADE_OS_TITLE","TID_NEWS_UPGRADE_OS_TEXT","TID_NEWS_UPGRADE_OS_MORE","http://support.apple.com/HT204204",,,"EN",,,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic_ios","sc/ui.sc",,0,"TRUE","TRUE",,,0,,0,"FALSE",,,,,,,,,"5.1.1"
,,,,,,,,,,,,,"http://support.apple.com/fr-fr/ht4623",,,"FR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/de-de/ht4623",,,"DE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/nl-nl/HT4623",,,"NL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/ja-jp/ht4623",,,"JP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/pt-br/ht4623",,,"PT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/es-es/ht4623",,,"ES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/it-it/HT4623",,,"IT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/no-no/ht4623",,,"NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/tr-tr/HT4623",,,"TR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/zh-cn/HT4623",,,"CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/ko-kr/HT4623",,,"KR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/ru-ru/HT4623",,,"RU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RoyaleUpdateIOS",265,"TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","news","TRUE","TID_NEWS_TREASURY TITLE","TID_NEWS_TREASURY TEXT","TID_NEWS_ECONOMY_TEXT","itms-apps://itunes.apple.com/app/clash-royale/id1053012308?mt=8",,,,,,,,,"FALSE","TRUE","TRUE","sc/news.sc","Royale_news_item",,,0,"TRUE","TRUE",,,15,,0,"FALSE",,,,,,,,,
"RoyaleUpdateAndroid",266,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","news","TRUE","TID_NEWS_TREASURY TITLE","TID_NEWS_TREASURY TEXT","TID_NEWS_ECONOMY_TEXT","http://market.android.com/details?id=com.supercell.clashroyale",,,,,,,,,"FALSE","TRUE","TRUE","sc/news.sc","Royale_news_item",,,0,"TRUE","TRUE",,,15,,0,"FALSE",,,,,,,,,
"RoyaleUpdateKunlun",267,"TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_TREASURY TITLE","TID_NEWS_TREASURY TEXT","更多详情","http://cr.kunlun.com",,,,,,,,,"FALSE","TRUE","TRUE","sc/news.sc","Royale_news_item",,,0,"TRUE","TRUE",,,15,,0,"FALSE",,,,,,,,,
"MayTroops",255,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_MAYTROOPS_TITLE","TID_NEWS_MAYTROOPS_TEXT",,,,,,,,,,,"FALSE","TRUE","TRUE","sc/ui.sc","news_entry_dynamic","sc/characters.sc","new_troops_news_item",0,"TRUE","TRUE",,,0,,0,"FALSE",,,,,,,,,
"MaySpells",256,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_MAYSPELLS_TITLE","TID_NEWS_MAYSPELLS_TEXT",,,,,,,,,,,"FALSE","TRUE","TRUE","sc/ui.sc","news_entry_dynamic","sc/ui.sc","new_spells_news_item",0,"TRUE","TRUE",,,0,,0,"FALSE",,,,,,,,,
"MayUpgrades",257,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_MAYUPGRADES_TITLE","TID_NEWS_MAYUPGRADES_TEXT","TID_NEWS_CHALLENGE_PREVIEW_BUTTON","http://supr.cl/MayUpdate",,,"EN",,,,,,"FALSE","TRUE","TRUE","sc/ui.sc","news_entry_dynamic","sc/ui.sc","cannon_news_item",0,"TRUE","TRUE",,,0,,0,"FALSE",,,,,,,,,
,,,,,,,,,,,,,"http://supr.cl/MayUpdate_de",,,"DE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://supr.cl/MayUpdate_es",,,"ES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://supr.cl/MayUpdate_fr",,,"FR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://supr.cl/MayUpdate_it",,,"IT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://supr.cl/MayUpdate_nl",,,"NL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://supr.cl/MayUpdate_pt",,,"PT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://supr.cl/MayUpdate_ru",,,"RU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://supr.cl/MayUpdate_tr",,,"TR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://supr.cl/MayUpdate_ar",,,"AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://supr.cl/MayUpdate_ja",,,"JP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://supr.cl/MayUpdate_CSimp",,,"CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://supr.cl/MayUpdate_CTrad",,,"CNT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://supr.cl/MayUpdate_ko",,,"KR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://supr.cl/MayUpdate_no",,,"NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://supr.cl/MayUpdate_fa",,,"FA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ScrollLow",220,"FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","news","TRUE","TID_NEWS_ROYALE","TID_NEWS_ROYALE_INFO","TID_NEWS_ROYALE_BUTTON","itms-apps://itunes.apple.com/app/clash-royale/id1053012308?mt=8",,,,,,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic_royale",,,0,"TRUE","TRUE",,,10,,0,"FALSE",,,,,,,,"7.0",
"ScrollHigh",221,"FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","news","TRUE","TID_NEWS_ROYALE","TID_NEWS_ROYALE_INFO","TID_NEWS_ROYALE_BUTTON","itms-apps://itunes.apple.com/app/clash-royale/id1053012308?mt=8",,,,,,,,,,"TRUE","FALSE","sc/royale.sc","clash_royale_softlaunch_event_item",,,0,"TRUE","TRUE",,,10,,0,"FALSE",,,,,,,,"7.0",
"ScrollLowCN",222,"FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","news","TRUE","TID_NEWS_ROYALE","TID_NEWS_ROYALE_INFO","TID_NEWS_ROYALE_BUTTON","http://market.android.com/details?id=com.supercell.clashroyale",,,,"CN",,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic_royale",,,0,"TRUE","TRUE",,,10,,0,"FALSE",,,,,,,,,
"ScrollHighCN",223,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","news","TRUE","TID_NEWS_ROYALE","TID_NEWS_ROYALE_INFO","TID_NEWS_ROYALE_BUTTON","http://market.android.com/details?id=com.supercell.clashroyale",,,,"CN",,,,,"FALSE","TRUE","FALSE","sc/royale.sc","clash_royale_softlaunch_event_item",,,0,"TRUE","TRUE",,,10,,0,"FALSE",,,,,,,,,
