"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"TID_WL_BONUSES_GIVEN_TO_STREAM","Gave War League bonuses to <people>","تم منح مكافآت دوري الحروب إلى <people>","已将部落对战联赛额外奖励发放给<people>","已將部落對戰聯盟賽額外獎勵發放給<people>","Clankriegsliga-Boni an <people> vergeben","Bonus de liga de guerra de clanes otorgado a <people>.","پاداش‌های جنگ قبیله‌ای را به <people> داد","Antoi sotaliigabonuksia jäsenelle <people>.","Les bonus de ligue de guerre ont été donnés à <people>.","Berikan bonus Liga Perang ke <people>","Bonus della lega della guerra assegnati a <people>","<people>に対戦リーグボーナスを支給しました","<people>에게 클랜전 리그 보너스를 주었습니다!","Bonus Liga Perang diberikan kepada <people>","Oorlogsdivisiebonussen gegeven aan <people>","Ga krigsligabonuser til <people>","Os bônus da Liga de Guerra foram dados a <people>.","Бонусы лиги войн отданы:<people>","มอบโบนัสลีกสงครามให้กับ <people> แล้ว","<people> için Savaş Ligi bonusu verdi","Đã trao phần thưởng Giải đấu Hội Chiến cho <people>"
"TID_ALLIANCE_WAR_AVAILABLE_BONUS","War win bonus","مكافآت الانتصار في الحرب","战争胜利奖励","對戰勝利獎勵","Siegbonus","Bonus por victoria","پاداش برد در جنگ","Voittopalkinto","Bonus de victoire","Bonus Menang","Bonus vittoria","対戦勝利ボーナス","전쟁 승리 보너스","Bonus kemenangan","Bonus bij winst","Bonus for seier","Bônus de vitória","Бонус за победу","โบนัสการชนะในสงคราม","Kazanma bonusu","Thưởng chiến thắng"
"TID_OVERALL_DAMAGE","Overall Damage","الضرر الإجمالي","摧毁程度","摧毀程度","Gesamtschaden","Daño total","کل آسیب","Kokonaistuho","Dégâts généraux","Total Kerusakan","Danno complessivo","合計ダメージ","총 피해량","Kerosakan","Algemene schade","Generell skade","Dano geral","Общий урон","ความเสียหายโดยรวม","Toplam Hasar","Tổng thiệt hại"
"TID_ACHIEVEMENT_CLAIM_BUTTON","Claim Reward","مطالبة بالجائزة","领取奖励","領取獎勵","Einfordern","Reclamar","درخواست پاداش","Lunasta","Récupérer","Klaim Hadiah","Ricompensa","ボーナスをもらう","보상받기","Tuntut","Opeisen","Få belønning","Recompensa","Забрать","รับรางวัล","Ödülünü Al","Nhận thưởng"
"TID_DIAMONDS","Gems","جواهر","宝石","寶石","Juwelen","Gemas","جواهر","Jalokivet","Gemmes","Permata","Gemme","エメラルド","보석","Permata","Edelstenen","Juveler","Gemas","Кристаллы","อัญมณี","Taş","Ngọc"
"TID_CHAT_INFO","To report inappropriate behavior, tap on the offending message and choose \qReport\q.","للإبلاغ عن سلوك غير لائق، انقر على الرسالة المهينة واختر \qإبلاغ\q.","由于技术原因， 我们需要暂时关闭公共聊天功能， 很抱歉为你带来不便，敬请理解！","由於技術原因，我們需暫時關閉公共聊天功能！敬請首領諒解！","Um unangemessenes Verhalten zu melden, tippe auf die anstößige Nachricht und wähle \qMelden\q.","Para informar de un comportamiento inadecuado, toca el mensaje ofensivo y selecciona \qDenunciar\q.","برای گزارش رفتار نامناسب، روی پیام توهین‌آمیز ضربه بزنید و \qگزارش\q را انتخاب کنید.","Jos haluat ilmoittaa sopimattomasta käytöksestä, napauta loukkaavaa viestiä ja sen jälkeen ilmiantopainiketta.","Pour signaler tout comportement indécent, touchez le message inapproprié et sélectionnez \qSignaler\q.","Untuk melaporkan perilaku tidak pantas, ketuk pesan yang tidak pantas dan pilih \qLaporkan\q.","Per riferire un comportamento inappropriato, tocca il messaggio offensivo e seleziona \qSegnala\q.","問題のある言動を報告するには、\n対象となるメッセージをタップして\n「報告する」を選択してください。","부적절한 행위를 신고하려면 불쾌한 내용을 탭한 후 \q신고\q를 누르세요.","Untuk melaporkan kelakuan tidak wajar, ketik mesej kesalahan dan pilih \qLaporkan\q.","Als je ongepast gedrag wilt rapporteren, tik je op het ongepaste bericht en kies je Rapporteren.","Hvis du vil rapportere upassende oppførsel, trykker du på den støtende meldingen og velger \qRapporter\q.","Para denunciar comportamento inapropriado, toque na mensagem ofensiva e selecione \qDenunciar\q.","Чтобы сообщить о недопустимом поведении, коснитесь оскорбительного сообщения и выберите \qСообщить\q.","เพื่อที่จะรายงานพฤติกรรมไม่เหมาะสม ให้แตะที่ข้อความที่หยาบคายแล้วเลือก \qรายงาน\q","Uygunsuz bir davranışı bildirmek için hakaret içeren mesaja dokun ve \qBildir\q seçeneğini seç.","Để báo cáo hành vi không đúng mực, hãy nhấn vào tin nhắn vi phạm và chọn \qBáo cáo\q."
"TID_CHAT_WELCOME","Welcome to the global chat.\n\nPlease be respectful and polite towards others. Offensive behavior is not tolerated.\n\nDo not share any private information (email, phone number, address, passwords)!","مرحبًا بك في المحادثة العالمية.\n\nمن فضلك تعامل باحترام وبتهذيب مع الآخرين. السلوك المهين غير مقبول.\n\nلا تشارك أي معلومات شخصية (بريد إلكتروني، رقم هاتف، عنوان، كلمات سر)!",,,"Willkommen im globalen Chat!\n\nBitte sei anderen gegenüber respektvoll und höflich. Beleidigendes Verhalten wird nicht toleriert.\n\nGib keine privaten Informationen weiter (E-Mail-Adresse, Telefonnummer, Adresse, Passwörter)!","¡Te damos la bienvenida al chat global!\n\nPor favor, trata a los demás con respeto y educación. No se tolerará ningún comportamiento ofensivo.\n\nNo compartas con nadie tu información personal (correo, teléfono, dirección, contraseñas).","به گپ جهانی خوش آمدید.\n\nلطفاً در برابر دیگران، محترمانه و مؤدبانه رفتار کنید. رفتار توهین‌آمیز قابل تحمل نیست.\n\nاطلاعات خصوصی (ایمیل، شماره تلفن، آدرس، گذرواژه‌ها) را به اشتراک نگذارید!","Tervetuloa yleiseen chattiin.\n\nOlethan huomaavainen ja kohtelias muita pelaajia kohtaan. Loukkaavaa käytöstä ei hyväksytä.\n\nÄlä jaa chatissa mitään henkilökohtaisia tietojasi (sähköpostia, puhelinnumeroa, osoitetta, salasanoja).","Bienvenue sur le chat général.\n\nVeuillez vous montrer respectueux des autres joueurs. Les comportements déplacés ne sont pas tolérés.\n\nNe partagez aucune information personnelle (e-mail, numéro de téléphone, adresse, mots de passe) !","Selamat datang di obrolan global.\n\nHarap saling menghormati dan sopan terhadap orang lain. Perilaku tidak pantas tak akan ditoleransi.\n\nJangan berbagi informasi pribadi (email, nomor telepon, alamat, kata sandi)!","Ti diamo il benvenuto alla chat globale.\n\nTi preghiamo di rispettare gli altri. Non saranno tollerati comportamenti offensivi.\n\nNon condividere le informazioni private (e-mail, numero di telefono, indirizzo, password)!","ここは全プレイヤーがチャットできるグローバルチャットです。\n\n礼儀正しくチャットしましょう。問題のある言動は厳しく処罰されます。\n\nメールアドレス、電話番号、住所、パスワードなどの個人情報をチャットで発言しないでください！","전체 채팅에 오신 것을 환영합니다.\n\n다른 플레이어를 존중해 주세요. 불쾌한 언행은 처벌될 수 있습니다.\n\n개인 정보(이메일, 전화번호, 주소, 암호)를 공유하지 마세요!","Selamat datang ke bual global.\n\nSila hormat dan bersopan antara satu sama lain. Kelakuan tidak menyenangkan tidak boleh diterima.\n\nJangan kongsikan sebarang maklumat persendirian (e-mel, nombor telefon, alamat, kata laluan)!","Welkom bij de wereldwijde chat.\n\nToon respect en wees beleefd tegen elkaar. Aanstootgevend gedrag wordt niet getolereerd.\n\nDeel geen privégegevens (e-mailadres, telefoonnummer, adres, wachtwoorden)!","Velkommen til den globale chatten.\n\nVis respekt for andre og vær høflig. Støtende oppførsel tolereres ikke.\n\nIkke del personlig informasjon (e-post, telefonnummer, adresse, passord)!","Este é o bate-papo global.\n\nTrate os outros com educação e respeito. Comportamento ofensivo não será tolerado.\n\nNão compartilhe dados confidenciais, como e-mail, número de telefone, endereço e senhas!","Добро пожаловать в глобальный чат.\n\nПожалуйста, относитесь к другим с уважением. Оскорбительное поведение недопустимо.\n\nНикому не сообщайте свою личную информацию (эл. почту, номер телефона, адрес, пароли)!","ยินดีต้อนรับสู่แชตรวม\n\nโปรดให้เกียรติและสุภาพต่อผู้อื่น พฤติกรรมหยาบคายนั้นจะไม่ได้รับการยอมรับ\n\nอย่าแบ่งปันข้อมูลส่วนตัวใดๆ (อีเมล หมายเลขโทรศัพท์ ที่อยู่ รหัสผ่าน)!","Küresel sohbete hoş geldin.\n\nLütfen diğerlerine karşı saygılı ve nazik ol. Saldırgan davranışlara tolerans gösterilmeyecektir.\n\nHiçbir özel bilgini (e-posta, telefon numarası, adres, şifre) paylaşma!","Chào mừng bạn đến kênh trò chuyện toàn cầu.\n\nHãy tỏ ra tôn trọng và lịch sự với người khác. Hành vi xúc phạm sẽ không được dung thứ.\n\nĐừng chia sẻ bất kỳ thông tin riêng tư nào (email, số điện thoại, địa chỉ, mật khẩu)!"
"TID_BOOSTER_CLOCKTOWER_INFO","This thick elixir made from ground-up magic cogs activates your Clock Tower boost for <time>. Works in Builder Base.","هذا الإكسير المركز مصنوع من مسحوق تروس سحرية، ويفعل تعزيز برج الساعة لمدة <time>. تعمل في قاعدة البنّاء.","这瓶粘稠药水由碾碎的魔法齿轮提炼而成，可以开启时光钟楼提速效果并使其持续运转<time>。只可在建筑大师基地使用。","這瓶黏稠的藥水是由碾碎的魔法齒輪提煉而成，可以開啟時光鐘樓的加速效果並使其持續運轉<time>。只可在建築大師基地使用。","Dieses dickflüssige Elixier wurde aus zermahlten Magiezahnrädern hergestellt und aktiviert deinen Uhrenturm-Schub für <time>. Dies wirkt in der Bauarbeiterbasis.","Este espeso elixir elaborado con engranajes mágicos triturados potencia la torre del reloj de la base del constructor durante <time>.","این اکسیر غلیظ که از خرده چرخ‌دنده‌های جادویی ساخته‌شده، تقویت برج ساعتتان را برای <time> فعال می‌کند. در پایگاه سازنده کار می‌کند.","Tämä paksu jauhetuista taikarattaista tehty eliksiiri aktivoi kellotornisi kiihdyttimen <time> ajaksi. Toimii rakentajan tukikohdassa.","Cet élixir épais est fait à partir de rouages magiques réduits en poudre. Il active le boost de la tour de l'horloge pendant <time>. Fonctionne dans la base des ouvriers.","Eliksir kental yang dibuat dari bubuk gerigi sihir mengaktifkan pelaju Menara Jam selama <time>. Juga berfungsi di Basis Tukang.","Grazie a questo denso elisir fatto di ingranaggi magici macinati, il potenziamento della torre dell´orologio nella base del costruttore rimarrà attivo per <time>.","魔法の歯車をすり潰して作られたこの濃厚なエリクサーは、<time>にわたって時計塔をブーストします。大工の拠点でのみ使用できます。","마법의 톱니바퀴를 가루 내 만든 이 포션을 사용하면 <time> 동안 시계탑이 빨라집니다. 장인기지에서 사용할 수 있습니다.","Eliksir pekat diperbuat daripada gigi roda ajaib akan mengaktifkan penggalak Menara Jam selama <time>. Berfungsi di Pangkalan Pembina.","Dit stroperige elixir is gemaakt van gemalen magische tandwielen en activeert je klokkentorenboost gedurende <time>. Werkt alleen in de bouwersbasis.","Denne tykke eliksiren, laget av oppmalte magiske tannhjultenner, aktiverer klokketårnforsterkningen din i <time>. Fungerer i byggerens base.","Este elixir espesso feito completamente de engrenagens mágicas ativa o acelerador da sua Torre de Relógios durante <time>. Funciona na base do construtor.","Этот густой эликсир из измельченных волшебных шестеренок ускоряет часовую башню на <time> Действует в деревне строителя.","น้ำอมฤตเข้มข้นที่ทำจากฟันเฟืองเวทมนตร์จะเปิดใช้งานบูสต์หอนาฬิกาเป็นเวลา <time> ใช้การได้ในฐานช่างก่อสร้าง","Büyülü çarklarla sıkıştırılmış bu konsantre iksir, Saat Kulesi hızlandırmasını <time> boyunca etkinleştirir. İnşaatçı Üssünde kullanılır.","Các bánh răng ma thuật được nghiền nát thành bột và được dùng để điều chế ra loại tiên dược đặc quánh này. Nó có thể kích hoạt cường hóa Tháp Đồng hồ trong <time>. Chỉ có tác dụng trong Căn cứ Thợ xây."
"TID_BOOSTER_FINISH_ANY_UPGRADE_INFO","This extremely powerful magical encyclopedia can be used to instantly finish any upgrade timer. Works in both villages!","يمكن استخدام هذه الموسوعة السحرية القوية للغاية لإنهاء أي عداد ترقية زمني على الفور. تعمل في كلتا القريتين.","这本魔力无穷的万能之书可立即完成任一正在升级的项目。在家乡和建筑大师基地都可使用！","這本魔力無窮的萬能之書可立即完成任何一個正在升級的項目。在家鄉和建築大師基地都可使用！","Mit dieser äußerst mächtigen magischen Enzyklopädie kann der Timer einer beliebigen Verbesserung sofort abgeschlossen werden. Dies wirkt in beiden Dörfern!","Esta enciclopedia con un poder inmenso se puede usar para completar al instante cualquier mejora en curso. Funciona en las dos aldeas.","با استفاده از این دایرة‌المعارف جادویی قدرتمند می‌توانید بلافاصله هرگونه زمان‌سنج ارتقاء را تمام کنید. در هر دو دهکده کار می‌کند!","Tämä kirja sisältää erittäin voimakasta magiaa. Sen avulla voit välittömästi viimeistellä minkä tahansa jo aloitetun päivityksen. Toimii sekä kotikylässä että rakentajan tukikohdassa!","Grâce à cette puissante encyclopédie magique, vous pouvez terminer instantanément n'importe quelle amélioration en cours. Et elle marche dans les deux villages !","Ensiklopedia sihir yang sangat kuat ini bisa digunakan untuk langsung menyelesaikan waktu peningkatan mana saja. Berfungsi di kedua desa!","Questa potentissima enciclopedia magica può essere usata per completare istantaneamente qualunque miglioramento in corso. Funziona in entrambi i villaggi!","この非常に強力な魔法の辞典を使うと、実行中のアップグレードのうちいずれかを瞬時に完了することができます。どちらの村でも使用可能です！","마법의 힘이 가득한 이 책을 사용하면, 진행 중인 어떤 업그레이드도 즉시 완료됩니다. 마을과 장인기지에서 사용할 수 있습니다.","Ensiklopedia ajaib sangat berkuasa ini boleh digunakan untuk menyelesaikan mana-mana pemasa naik taraf dengan segera. Berfungsi di kedua-dua kampung!","Deze zeer krachtige, magische encyclopedie kan worden gebruikt om een upgradetimer onmiddellijk te voltooien. Werkt in het thuisdorp en de bouwersbasis.","Med dette ekstremt kraftige og magiske leksikonet kan du fullføre enhver oppgraderingstidtaker umiddelbart. Fungerer i begge landsbyene!","Esta poderosa enciclopédia mágica pode ser usada para finalizar instantaneamente a barra de progresso de qualquer melhoria. Funciona nas duas vilas!","Эта волшебная энциклопедия обладает невероятной силой: с ее помощью можно мгновенно завершить любое улучшение. Работает в обеих деревнях!","สารานุกรมเวทมนตร์ที่ทรงพลังขั้นสุดยอดนี้สามารถใช้ทำให้การอัปเกรดใดๆ ที่กำลังดำเนินอยู่เสร็จสิ้นได้ทันที สามารถใช้งานได้ในทั้งสองหมู่บ้าน!","Bu oldukça güçlü, büyülü ansiklopedi, devam eden herhangi bir yükseltmeyi anında tamamlamak için kullanılabilir. İki köyde de kullanılır!","Có thể sử dụng quyển bách khoa toàn thư cực kỳ thần diệu này để kết thúc ngay lập tức bộ đếm thời gian của bất kỳ quá trình nâng cấp nào. Có tác dụng trong cả hai làng!"
"TID_BOOSTER_FINISH_SPELL_UPGRADE_INFO","Written by unknown wizards, this magical book can be used to instantly finish any spell upgrade timer. Works in Home Village.","يمكن استخدام هذا الكتاب السحري الذي كتبه سحرة مجهولون لإنهاء عداد ترقية أي تعويذة على الفور. يعمل في القرية الأم.","这本魔法古籍由神秘的法师所撰写，可立即完成任一正在进行的法术升级。只可在家乡使用。","這本魔法古籍由神秘的法師所撰寫，可立即完成任何一個正在進行的法術升級。只可在家鄉使用。","Mit diesem von unbekannten Magiern verfassten mystischen Buch kann der Timer einer Zauberverbesserung sofort abgeschlossen werden. Dies wirkt im Heimatdorf!","Este libro mágico, escrito por magos desconocidos, se puede usar para completar al instante cualquier mejora de hechizo en curso. Funciona en la aldea principal.","با استفاده از این کتاب جادویی که توسط جادوگران گمنام نوشته شده، می‌توانید هرگونه زمان‌سنج ارتقاء طلسم را فوراً تمام کنید. در دهکده خانه کار می‌کند.","Tämän mystisen kirjan tekstit ovat tuntemattomien velhojen käsialaa. Sen avulla voit välittömästi viimeistellä minkä tahansa jo aloitetun loitsun päivityksen. Toimii kotikylässä.","Ce livre magique rédigé par des sorciers mystérieux vous permettra de terminer instantanément n'importe quelle amélioration de sort en cours. À utiliser dans votre village principal.","Ditulis oleh penyihir misterius, kitab sihir ini bisa digunakan untuk langsung menyelesaikan waktu peningkatan mantra. Berfungsi di Desa Asal.","Scritto da antichi stregoni, questo libro magico può essere usato per completare immediatamente un miglioramento di un incantesimo in corso. Funziona solo nel villaggio base.","謎のウィザードによって記されたこの魔法の本を使うと、実行中の呪文アップグレードを瞬時に完了することができます。自分の村でのみ使用可能です。","무명의 마법사가 제작한 이 마법의 책을 사용하면, 진행 중인 마법 업그레이드가 즉시 완료됩니다. 마을에서 사용할 수 있습니다.","Buku ajaib yang ditulis oleh ahli sihir tidak dikenali ini boleh digunakan untuk menyelesaikan mana-mana pemasa naik taraf sihir dengan segera. Berfungsi di Kampung Asal.","Dit magische boek is geschreven door onbekende tovenaars. Gebruik het om een spreukenupgradetimer onmiddellijk te voltooien. Werkt in het thuisdorp.","Med denne magiske boken, som er skrevet av ukjente trollmenn, kan du fullføre enhver oppgraderingstidtaker for formler umiddelbart. Fungerer i hjemlandsbyen.","Escrito por Magos desconhecidos, este livro mágico pode ser usado para finalizar instantaneamente o tempo de qualquer melhoria de feitiço. Funciona apenas na vila principal.","С помощью этой волшебной книги, написанной неизвестными колдунами, можно мгновенно завершить любое улучшение заклинания. Работает только в родной деревне.","ด้วยการจารึกโดยพ่อมดผู้ไม่ปรากฏนาม ตำราเวทมนตร์นี้สามารถใช้ทำให้การอัปเกรดอาคมใดๆ ที่กำลังดำเนินอยู่เสร็จสิ้นได้ทันที สามารถใช้งานได้ในหมู่บ้านหลัก","Bilinmeyen büyücüler tarafından yazılan bu büyülü kitap, devam eden herhangi bir büyü yükseltmesini anında tamamlamak için kullanılabilir. Asıl köyde kullanılır.","Được biên soạn bởi nhiều pháp sư không rõ danh tính, quyển sách thần kỳ này có thể được sử dụng để kết thúc ngay lập tức bộ đếm thời gian của bất kỳ quá trình nâng cấp thần chú nào. Có tác dụng trong Làng Chính."
"TID_BOOSTER_FINISH_HERO_UPGRADE_INFO","Full of heroic tales and sound advice, this magical book can be used to instantly finish any hero upgrade timer. Works in both villages!","يمكن استخدام هذا الكتاب السحري المليء بأساطير بطولية ونصائح حكيمة لإنهاء عداد ترقية أي بطل على الفور. يعمل في كلتا القريتين.","这本魔法古籍记录了各种英雄事迹和金玉良言，可立即完成任一正在进行的英雄升级。在家乡和建筑大师基地都可使用！","這本魔法古籍記錄了各種英雄事蹟和金玉良言，可立即完成任何一個正在進行的英雄升級。在家鄉和建築大師基地都可使用！","Mit diesem magischen Buch voller heldenhafter Geschichten und guter Ratschläge kann der Timer einer Heldenverbesserung sofort abgeschlossen werden. Dies wirkt in beiden Dörfern!","Este libro mágico, lleno de proezas y consejos heroicos, se puede usar para completar al instante cualquier mejora de héroe en curso. Funciona en las dos aldeas.","با استفاده از این کتاب جادویی که مملو از داستان‌های قهرمانان و پند و اندرز است می‌توانید هرگونه زمان‌سنج ارتقاء قهرمان را فوراً تمام کنید. در هر دو دهکده کار می‌کند!","Tämän sankaritarinoita ja hyviä neuvoja pursuavan kirjan avulla voit välittömästi viimeistellä minkä tahansa jo aloitetun sankarin päivityksen. Toimii sekä kotikylässä että rakentajan tukikohdassa!","Ce livre magique, plein de récits de bravoure et de sages conseils, vous permettra de terminer instantanément n'importe quelle amélioration de héros en cours. Et il marche dans les deux villages !","Penuh kisah kepahlawanan dan nasihat bijak, kitab sihir ini bisa digunakan untuk langsung menyelesaikan waktu peningkatan pahlawan. Berfungsi di kedua desa!","Ricco di racconti epici e di insegnamenti, questo libro magico può essere usato per completare immediatamente un miglioramento di un eroe in corso. Funziona in entrambi i villaggi!","沢山の英雄譚と素晴らしい助言に満ちたこの魔法の本を使うと、実行中のヒーローアップグレードを瞬時に完了することができます。どちらの村でも使用可能です！","영웅의 이야기와 교훈으로 가득한 이 책을 사용하면, 진행 중인 영웅 업그레이드가 즉시 완료됩니다. 마을과 장인기지에서 사용할 수 있습니다.","Buku ajaib yang penuh dengan kisah-kisah wira dan nasihat berguna ini boleh digunakan untuk menyelesaikan mana-mana pemasa naik taraf wira dengan segera. Berfungsi di kedua-dua kampung!","Dit boek staat vol heroïsche mythes en goed advies. Gebruik het om een heldenupgradetimer onmiddellijk te voltooien. Werkt in het thuisdorp en de bouwersbasis.","Med denne magiske boken, som er full av heroiske fortellinger og råd, kan du fullføre enhver oppgraderingstidtaker for helter umiddelbart. Fungerer i begge landsbyene!","Cheio de contos heroicos e com uma pitada de autoajuda, este livro mágico pode ser usado para finalizar instantaneamente o tempo de qualquer melhoria de herói. Funciona nas duas vilas!","С помощью этой волшебной книги, полной мудрых советов и историй о героических подвигах, можно мгновенно завершить любое улучшение героя. Работает в обеих деревнях!","เปี่ยมไปด้วยเรื่องเล่าของเหล่าผู้กล้าและคำแนะนำอันทรงคุณค่า ตำราเวทมนตร์นี้สามารถใช้ทำให้การอัปเกรดผู้กล้าใดๆ ที่ดำเนินอยู่เสร็จสิ้นได้ทันที สามารถใช้งานได้ในทั้งสองหมู่บ้าน!","Kahramanca hikayeler ve anlamlı tavsiyelerle dolu bu büyülü kitap, devam eden herhangi bir kahraman yükseltmesini anında tamamlamak için kullanılabilir. İki köyde de kullanılır!","Chứa đầy các truyền thuyết anh hùng và lời khuyên hữu dụng, quyển sách kỳ diệu này có thể được sử dụng để kết thúc ngay lập tức bộ đếm thời gian của bất kỳ quá trình nâng cấp tướng nào. Có tác dụng trong cả hai làng!"
"TID_BOOSTER_FINISH_TROOP_UPGRADE_INFO","Filled with very efficient training programs, this magical book can be used to instantly finish any troop upgrade timer. Works in both villages!","يمكن استخدام هذا الكتاب السحري المليء ببرامج تدريب فعالة للغاية لإنهاء عداد ترقية أية قوات على الفور. يعمل في كلا القريتين.","这本魔法古籍中记载了各种高效的训练技巧，可立即完成任一正在进行的部队升级。在家乡和建筑大师基地都可使用！","這本魔法古籍中記載了各種高效的訓練技巧，可立即完成任何一個正在進行的部隊升級。在家鄉和建築大師基地都可使用！","Mit diesem magischen Buch voller wirksamer Trainingsprogramme kann der Timer einer Truppenverbesserung sofort abgeschlossen werden. Dies wirkt in beiden Dörfern!","Este libro, repleto de eficientes programas de entrenamiento, se puede usar para completar al instante cualquier mejora de tropas en curso. Funciona en las dos aldeas.","با استفاده از این کتاب جادویی که مملو از برنامه‌های آموزشی بسیار کارآمد است می‌توانید فوراً هرگونه زمان‌سنج ارتقاء را تمام کنید. در هر دو دهکده کار می‌کند!","Tästä kirjasta löytyvät valtakunnan parhaat koulutusvinkit. Sen avulla voit välittömästi viimeistellä minkä tahansa jo aloitetun joukkojen päivityksen. Toimii sekä kotikylässä että rakentajan tukikohdassa!","Ce livre magique proposant des programmes d'entraînement très efficaces vous permettra de terminer instantanément n'importe quelle amélioration de troupe en cours. Et il marche dans les deux villages !","Diisi dengan program latihan yang sangat efisien, kitab sihir ini bisa digunakan untuk langsung menyelesaikan waktu peningkatan peleton. Berfungsi di kedua desa!","Utile compendio di esercizi, questo libro magico può essere usato per completare immediatamente un miglioramento di una truppa in corso. Funziona in entrambi i villaggi!","非常に効率的な訓練プログラムが満載のこの魔法の本を使うと、実行中のユニットアップグレードを瞬時に完了することができます。どちらの村でも使用可能です！","효과적인 훈련법으로 가득한 이 책을 사용하면, 진행 중인 유닛 업그레이드가 즉시 완료됩니다. 마을과 장인기지에서 사용할 수 있습니다.","Buku ajaib yang penuh dengan program latihan yang sangat berkesan ini boleh digunakan untuk menyelesaikan mana-mana pemasa naik taraf askar dengan segera. Berfungsi di kedua-dua kampung!","Dit boek bevat uiterst efficiënte trainingsprogramma's. Gebruik het om een troepenupgradetimer onmiddellijk te voltooien. Werkt in het thuisdorp en de bouwersbasis.","Denne magiske boken er full av effektive treningsprogram som du kan bruke til å fullføre enhver oppgraderingstidtaker for tropper umiddelbart. Fungerer i begge landsbyene!","Cheio de dicas de programas de treino eficientes, este livro mágico pode ser usado para finalizar instantaneamente o tempo de qualquer melhoria de tropa. Funciona nas duas vilas!","С помощью этой волшебной книги, полной описаний необычайно эффективных методов тренировок, можно мгновенно завершить любое улучшение войск. Работает в обеих деревнях!","เติมเต็มด้วยโปรแกรมการฝึกที่มีประสิทธิภาพ ตำราเวทมนตร์นี้สามารถใช้ทำให้การอัปเกรดกองกำลังใดๆ ที่กำลังดำเนินการอยู่เสร็จสิ้นได้ทันที สามารถใช้งานได้ในทั้งสองหมู่บ้าน!","Verimli eğitim programlarıyla dolu bu büyülü kitap, devam eden herhangi bir birlik yükseltmesini anında tamamlamak için kullanılabilir. İki köyde de kullanılır!","Quyển sách thần kỳ này có đầy đủ các chương trình huấn luyện vô cùng hiệu quả, và có thể được sử dụng để kết thúc ngay lập tức bộ đếm thời gian của bất kỳ quá trình nâng cấp binh lính nào. Có tác dụng trong cả hai làng!"
