"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN","KR","RU"
"TID_BUILDING_FENCE","Fence","Barrière","Zaun","Valla","Staccionata","Hek","Gjerde","Cerca","Çit","柵","篱笆","울타리","Забор"
"TID_BUILDING_WIZARD_TOWER","Wizard Tower","Tour de sorciers","Magierturm","Torre de mago","Torre dello stregone","Tovenaarstoren","Trollmannstårn","Torre do Mago","Büyücü Kulesi","ウィザードの塔","法师塔","마법사 타워","Башня Колдуна"
"TID_BUILDING_AIR_DEFENSE","Air Defense","Défense anti-aérienne","Luftabwehr","Cohetes de defensa","Difesa aerea","Luchtafweer","Luftforsvar","Defesa Aérea","Hava Savunması","対空砲","防空火箭","대공포","Воздушная Оборона"
"TID_BUILDING_MORTAR","Mortar","Mortier","Minenwerfer","Mortero","Mortaio","Mortier","Morter","Morteiro","Havan","迫撃砲","迫击炮","박격포","Мортира"
"TID_WORKER_BUILDING","Builder's Hut","Cabane d'ouvrier","Bauhütte","Choza de constructor","Capanna del costruttore","Bouwkeet","Byggerhytte","Cabana do Construtor","İnşaatçı Kulübesi","大工の小屋","建筑工人小屋","장인의 집","Хижина Строителя"
"TID_BUILDING_LABORATORY","Laboratory","Laboratoire","Labor","Laboratorio","Laboratorio","Laboratorium","Laboratorium","Laboratório","Laboratuvar","ラボ","试验室","연구소","Лаборатория"
"TID_TRAP_BOMB","Bomb Trap","Piège à bombe","Bombenfalle","Trampa bomba","Trappola bomba","Bomval","Bombefelle","Armadilha de Bomba","Bombalı Tuzak","爆弾","隐形炸弹","폭탄 함정","Бомба-Ловушка"
"TID_TRAP_EJECT","Spring Trap","Piège à ressort","Sprungfalle","Trampa con muelle","Trappola a scatto","Veerval","Sprettfelle","Armadilha de Mola","Yaylı Tuzak","ばねトラップ","隐形弹簧","점핑 트랩","Ловушка-пружина"
"TID_TRAP_TIMETRAP","Time Trap","Bombe à retardement","Zeitfalle","Trampa de tiempo","Trappola a tempo","Tijdval","Tidsfelle","Armadilha de Tempo","Zaman Tuzağı","タイムトラップ","时间陷阱","시간 함정","Часовая Ловушка"
"TID_BUTTON_SPEEDUP","Finish Now","Terminer","Jetzt beenden","Terminar ya","Completa ora","Nu voltooien","Fullfør nå","Concluir agora","Şimdi Bitir","今すぐ完成","立刻完成","즉시 완료","Заверши Сейчас"
"TID_BUTTON_UPGRADE","Upgrade","Améliorer","Verbessern","Mejorar","Migliora","Upgraden","Oppgrader","Melhorar","Yükselt","アップグレード","升级","업그레이드","Улучшить"
"TID_BUTTON_ATTACK","Attack!","Attaquer","Angriff!","Atacar","Attacco!","Aanvallen!","Angrip!","Atacar!","Saldır!","攻撃","进攻！","공격!","В бой!"
"TID_BUTTON_SHOP","Shop","Magasin","Shop","Tienda","Negozio","Winkel","Butikk","Loja","Dükkan","ショップ","商店","상점","Магазин"
"TID_BUTTON_SELL","Sell","Vendre","Verkaufen","Vender","Vendi","Verkopen","Selg","Vender","Sat","売る","出售","판매","Продать"
"TID_BUTTON_CANCEL","Cancel","Annuler","Abbrechen","Cancelar","Annulla","Annuleren","Avbryt","Cancelar","İptal","キャンセル","取消","취소","Отмена"
"TID_BUTTON_TRAIN","Train Troops","Former","Truppen ausbilden","Entrenar","Addestra truppe","Troepen trainen","Tren soldater","Treinar Tropas","Birlik Eğit","ユニットの訓練","训练军队","유닛 훈련","Тренировать Войска"
"TID_BUTTON_COLLECT","Collect","Récupérer","Sammeln","Recoger","Prendi","Verzamelen","Samle","Coletar","Topla","回収","收集","저장","Собрать"
"TID_BUTTON_INFO","Info","Infos","Info","Infor.","Info","Info","Info","Info","Bilgi","情報","信息","정보","Информация"
"TID_BUTTON_CLEAR","Remove","Supprimer","Entfernen","Eliminar","Rimuovi","Verwijderen","Fjern","Remover","Kaldır","取り除く","移除","제거","Удалить"
"TID_BUTTON_HOME","Return Home","Rentrer","Nach Hause","Volver","Torna al villaggio","Terug naar huis","Hjem","Voltar","Eve Dön","ホームに戻る","回营","돌아가기","Домой"
"TID_BUTTON_ACCEPT","Accept","Accepter","Annehmen","Aceptar","Accetta","Accepteren","Godta","Aceitar","Kabul Et","承認","接受","수락","Принять"
"TID_BUTTON_REJECT","Reject","Rejeter","Ablehnen","Rechazar","Rifiuta","Weigeren","Avvis","Recusar","Reddet","拒否","拒绝","거절","Отказать"
"TID_BUTTON_SEND","Send","Envoyer","Senden","Enviar","Invia","Versturen","Send","Enviar","Gönder","送信","发送","전송","Отправить"
"TID_BUTTON_JOIN","Join","Rejoindre","Beitreten","Unirse","Unisciti","Meedoen","Bli med","Participar","Katıl","参加","加入","가입","Присоединиться"
"TID_TAB_GLOBAL_CHAT","Global","Général","Global","General","Globale","Wereldwijd","Global","Global","Küresel","グローバル","公众聊天","전체","Глобальный"
"TID_TAB_ALLIANCE_CHAT","Clan","Clan","Clan","Clan","Clan","Clan","Klan","Clã","Klan","クラン","部落内部","클랜","Клан"
"TID_OBSTACLE_TREE","Tree","Arbre","Baum","Árbol","Albero","Boom","Tre","Árvore","Ağaç","木","树","나무","Дерево"
"TID_OBSTACLE_STONE","Stone","Rocher","Stein","Roca","Pietra","Steen","Stein","Pedra","Kaya","岩","石头","바위","Камень"
"TID_OBSTACLE_BUSH","Bush","Buisson","Busch","Arbusto","Cespuglio","Struik","Busk","Arbusto","Çalı","やぶ","灌木","덤불","Куст"
"TID_OBSTACLE_TRUNK","Trunk","Tronc","Stamm","Tronco","Tronco","Stronk","Trestamme","Tronco","Kütük","木の幹","树干","나무 기둥","Сухой Ствол"
"TID_OBSTACLE_MUSHROOM","Mushroom","Champignons","Pilz","Setas","Fungo","Paddenstoel","Sopp","Cogumelos","Mantar","キノコ","蘑菇","꽃버섯","Гриб"
"TID_DECORATION_BARBARIAN_STATUE","Mighty Statue","Grande statue","Große Statue","Estatua de poder","Statua imponente","Machtig standbeeld","Storslagen statue","Estátua Poderosa","Dev Heykel","偉大なる像","万能神像","전사 동상","Могучая Статуя"
"TID_DECORATION_TORCH","Torch","Torche","Fackel","Antorcha","Torcia","Toorts","Fakkel","Tocha","Meşale","たいまつ","火把","횃불","Факел"
"TID_DECORATION_WHITE_FLAG","White Flag","Drapeau blanc","Weiße Flagge","Bandera blanca","Bandiera bianca","Witte vlag","Hvitt flagg","Bandeira Branca","Beyaz Bayrak","白い旗","白旗","하얀 깃발","Белый Флаг"
"TID_DECORATION_SKULL_FLAG","Pirate Flag","Drapeau de pirate","Piratenflagge","Bandera pirata","Bandiera pirata","Piratenvlag","Sjørøverflagg","Bandeira Pirata","Korsan Bayrağı","海賊の旗","海盗旗","해적 깃발","Пиратский Флаг"
"TID_DECORATION_FLOWERBOX1","Cornflower Bed","Plant de fleurs roses","Kornblumenbeet","Macizo de acianos","Aiuola di fiordalisi","Korenbloembed","Kornblomster","Canteiro de Centáureas","Çiçek Tarhı","ヤグルマソウの花壇","矢车菊","국화 화단","Клумба Васильков"
"TID_DECORATION_FLOWERBOX2","Sunflower Bed","Plant de tournesols","Sonnenblumenbeet","Macizo de girasoles","Aiuola di girasoli","Zonnebloembed","Solsikker","Canteiro de Girassóis","Ayçiçeği Tarhı","ヒマワリの花壇","太阳花","해바라기 화단","Клумба Подсолнухов"
"TID_DECORATION_WINDMETER","Weather Vane","Girouette","Wetterfahne","Veleta","Segnavento","Weervaantje","Værhane","Cata-Vento","Rüzgar Gülü","風向計","风向标","풍향계","Флюгер"
"TID_DECORATION_DOWNARROW_FLAG","Rally Flag","Drapeau de rassemblement","Versammlungsflagge","Bandera de reunión","Bandiera di raduno","Verzamelvlag","Samlingsflagg","Bandeira de Seta 1","Ralli Bayrağı","集合地点の旗","集合旗","하향 깃발","Флаг Сбора"
"TID_DECORATION_UPARROW_FLAG","Point Flag","Drapeau de positionnement","Punktflagge","Bandera de dirección","Bandiera di posizione","Richtingvlag","Punktflagg","Bandeira de Seta 2","Nokta Bayrağı","重要地点の旗","点标旗","상향 깃발","Флаг со Стрелкой"
"TID_DECORATION_SKULL_ALTAR","Ancient Skull","Crâne ancien","Alter Schädel","Calavera antigua","Teschio antico","Antieke schedel","Gammel hodeskalle","Crânio Antigo","Antik Kafatası","太古のドクロ","古代头骨","고대 유물","Древний Череп"
"TID_DECORATION_NATIONAL_FLAG","National Flag","Drapeau national","Nationalflagge","Bandera nacional","Bandiera nazionale","Nationale vlag","Nasjonalflagg","Bandeira Nacional","Milli Bayrak","国旗","国旗","국기","Национальный Флаг"
"TID_TIME_DAYS","d","j","d","d","g","d","d","d","g","日","天","일","д."
"TID_TIME_HOURS","h","h","h","h","o","u","t","h","sa","時間","小时","시간","ч."
"TID_TIME_MINS","m","min","m","m","m","m","m","m","d","分","分钟","분","м."
"TID_TIME_SECS","s","s","s","s","s","s","s","s","sn","秒","秒","초","с."
"TID_BATTLE_TIME_TITLE","Battle ends in:","Fin de la bataille dans :","Kampf endet in:","La batalla acaba en:","La battaglia termina tra:","Gevecht eindigt over:","Kampen slutter om:","Batalha termina em:","Savaş bitmesine kalan:","戦闘終了まで：","离战斗结束还有：","남은 시간:","Конец сражения через:"
"TID_POPUP_HEADER_WARNING","Warning!","Attention !","Achtung!","¡Cuidado!","Attenzione!","Waarschuwing!","Advarsel!","Atenção!","Uyarı!","警告！","警告！","경고!","Внимание!"
"TID_POPUP_UNDER_ATTACK","You are under attack! Please wait, your village will load automatically.","On vous attaque ! Veuillez patienter pendant le chargement automatique de votre village.","Du wirst angegriffen! Einen Moment, dein Dorf wird automatisch geladen.","¡Te están atacando! Espera, tu aldea se cargará automáticamente.","Sei sotto attacco! Attendi, il tuo villaggio si caricherà automaticamente.","Je wordt aangevallen! Een ogenblikje geduld, je dorp wordt automatisch geladen.","Du blir angrepet! Vent litt, landsbyen lastes automatisk.","Você está sob ataque! Aguarde, sua vila será carregada automaticamente.","Saldırıya uğradın! Lütfen bekle, köyün otomatik olarak yüklenecek.","攻撃を受けています！\n村が自動的にロードされるまで少しお待ちください。","您的村庄正在遭受攻击！请稍等，稍后您才能回到您的村庄。","공격받고 있습니다! 잠시 후 마을을 확인할 수 있습니다.","На вас напали! Подождите, ваша деревня загрузится автоматически."
"TID_POPUP_TRY_AGAIN","Estimated time left:","Temps restant estimé :","Geschätzte verbleibende Zeit:","Tiempo restante estimado:","Tempo restante stimato:","Resterende tijd:","Anslått tid igjen:","Tempo restante estimado:","Kalan tahmini süre:","待ち時間：","预计等待时间：","예상 대기 시간:","Примерно осталось времени:"
"TID_BUTTON_OKAY","Okay","OK","Okay","Vale","OK","Oké","OK","Ok","Tamam","OK","确定","확인","Окей"
"TID_POPUP_TRAIN_TITLE","Train <limit>","Former <limit>","Ausbilden: <limit>","Entrenar <limit>","Addestra <limit>","Train <limit>","Tren <limit>","Treinar <limit>","<limit> Eğit","訓練 <limit>","训练<limit>","훈련 <limit>","Тренировать (<limit>)"
"TID_INVALID_PLACEMENT","You cannot deploy troops on the red area!","Impossible de déployer des troupes dans la zone rouge !","Du kannst im roten Gebiet keine Truppen einsetzen!","No puedes desplegar tropas en la zona roja.","Non puoi schierare truppe nella zona rossa!","Je kunt geen troepen in het rode gebied inzetten!","Du kan ikke utplassere soldater i det røde området.","Você não pode mobilizar tropas na área vermelha!","Birliklerini kırmızı alana konuşlandıramazsın!","赤いエリアにはユニットを配置できません。","您不能在红线范围内派遣部队！","빨간색 지역에는 병력을 배치할 수 없습니다!","Вы не можете развернуть войска в красной зоне!"
"TID_ALL_TROOPS_USED","All forces deployed","Toutes les forces sont déployées.","Alle Truppen eingesetzt","¡Todas las unidades desplegadas!","Tutte le forze schierate","Alle eenheden zijn ingezet","Alle styrker utplassert","Todas as forças mobilizadas","Tüm kuvvetler konuşlandı","全ユニット出撃済み","已经派出所有兵力","유닛을 모두 투입했습니다.","Все войска отправлены"
"TID_OTHER_TROOP_LEFT","Select a different unit","Sélectionnez une autre unité","Wähle eine andere Einheit","Selecciona una unidad diferente.","Seleziona un'altra unità","Kies een andere eenheid","Velg en annen enhet","Selecione outra unidade","Farklı bir birim seç","別のユニットを選択してください","该兵种已用完，请选择其他兵种！","다른 유닛을 선택하세요.","Выберите другое подразделение"
"TID_DIAMONDS","Gems","Gemmes","Juwelen","Gemas","Gemme","Edelstenen","Juveler","Gemas","Taş","エメラルド","宝石","보석","Кристаллы"
"TID_GOLD","Gold","Or","Gold","Oro","Oro","Goud","Gull","Ouro","Altın","ゴールド","金币","골드","Золото"
"TID_ELIXIR","Elixir","Élixir","Elixier","Elixir","Elisir","Elixir","Eliksir","Elixir","İksir","エリクサー","圣水","엘릭서","Эликсир"
"TID_ITEM_LEVEL","<item> (Level <number>)","<item> (niveau <number>)","<item> (Level <number>)","<item> (nivel <number>)","<item> (livello <number>)","<item> (level <number>)","<item> (nivå <number>)","<item> (Nível <number>)","<item> (<number>. seviye)","<item> （レベル <number>）","<item> （等级<number>）","<item>(레벨 <number>)","<item> (уровень <number>)"
"TID_SHOP_TITLE","Shop","Magasin","Shop","Tienda","Negozio","Winkel","Butikk","Loja","Dükkan","ショップ","商店","상점","Магазин"
"TID_ITEM_BROKEN","<item> (Broken)","<item> (cassé)","<item> (kaputt)","<item> (en ruinas)","<item> (distrutto)","<item> (stuk)","<item> (ødelagt)","<item> (Quebrado)","<item> (Yıkılmış)","<item> （破壊）","<item> (损坏）","<item>(잔해)","<item> (разрушено)"
"TID_BUILDING_ARCHER_TOWER","Archer Tower","Tour d'archers","Bogenschützenturm","Torre de arqueras","Torre dell'arciere","Boogschuttertoren","Bueskyttertårn","Torre Arqueira","Okçu Kulesi","アーチャータワー","箭塔","아처 타워","Башня Лучниц"
"TID_BUILDING_CLASS_ARMY","Army Buildings","Bâtiments militaires","Armeegebäude","Ejército","Edifici dell'esercito","Legers","Militærbygninger","Construções do Exército","Askeri Binalar","軍事関連","军队建筑","군사 시설","Военные Здания"
"TID_BUILDING_CLASS_DEFENSE","Defenses","Défenses","Verteidigung","Defensas","Difese","Verdedigingswerken","Forsvar","Defesas","Savunma","防衛設備","防御设施","방어 시설","Защита"
"TID_BUILDING_CLASS_RESOURCE","Resources","Ressources","Ressourcen","Recursos","Risorse","Grondstoffen","Ressurser","Recursos","Kaynaklar","資源","资源","자원 시설","Ресурсы"
"TID_BUILDING_CLASS_WALL","Walls","Remparts","Mauern","Muros","Mura","Muren","Murer","Muros","Duvarlar","壁","城墙","장벽","Стены"
"TID_NOT_ENOUGH_WORKERS_HEADER","All builders are busy!","Tous les ouvriers sont occupés !","Alle Bauarbeiter sind beschäftigt!","¡No hay constructores libres!","Tutti i costruttori sono occupati!","Alle bouwvakkers zijn bezig!","Alle byggerne er opptatt!","Todos os construtores estão ocupados!","Tüm inşaatçılar meşgul!","大工さんは全員仕事中","所有建筑工人都很忙！","장인이 모자랍니다!","Все строители заняты!"
"TID_NOT_ENOUGH_WORKERS_TEXT","Complete the previous building and free up a builder?","Terminer le bâtiment précédent pour libérer un ouvrier ?","Vorheriges Gebäude fertigstellen und einen Bauarbeiter freimachen?","¿Quieres terminar la tarea anterior para liberar a un constructor?","Vuoi completare l'incarico precedente e liberare un costruttore?","De vorige taak voltooien en een bouwvakker vrij maken?","Fullføre den forrige bygningen og frigjøre en bygger?","Completar a construção anterior e liberar um construtor?","Önceki binayı tamamlayıp bir inşaatçıyı boşa çıkar?","建設中の建物を今すぐ完成させて、\n大工をこちらにまわしますか？","立刻完成一个建筑以空出一个建筑工人好吗？","진행 중인 건설을 즉시 완료하고 장인을 불러올까요?","Завершить предыдущее строение, чтобы строитель освободился?"
"TID_NOT_ENOUGH_RESOURCE","You don't have enough <resource>!","Vous n'avez pas assez de : <resource> !","Du hast nicht genug <resource>!","¡Necesitas más <resource>!","Non hai abbastanza <resource>!","Je hebt te weinig <resource>!","Du har ikke nok <resource>!","Seu estoque de <resource> é insuficiente!","Yeterli <resource> yok!","<resource>が足りません","您没有足够的<resource>！","<resource>(이)가 부족합니다!","Нужно больше ресурса <resource>!"
"TID_TOWN_HALL_LEVEL_TOO_LOW","You need to upgrade your Town Hall to level <number>!","Vous devez améliorer votre hôtel de ville au niveau <number> !","Du musst dein Rathaus auf Level <number> verbessern!","Debes mejorar tu ayuntamiento al nivel <number>.","Devi portare il tuo municipio al livello <number>!","Je moet je stadhuis naar level <number> upgraden!","Du må oppgradere rådhuset til nivå <number>!","Você precisa melhorar seu Centro da Vila para o nível <number>!","Belediye Binanı <number>. seviyeye yükseltmen gerekiyor!","先にタウンホールをレベル <number> に要アップグレード！","您需要升级大本营至<number>级！","마을 회관을 <number>레벨로 업그레이드해야 합니다!","Повысьте уровень ратуши до <number>!"
"TID_POPUP_ABOUT_TO_SELL_TITLE","Sell building","Vendre le bâtiment","Gebäude verkaufen","Vender edificio","Vendi edificio","Gebouw verkopen","Selg bygning","Vender construção","Binayı sat","建物を売る","出售","건물 판매","Продать здание"
"TID_POPUP_TEXT_ABOUT_TO_SELL","Do you really want to sell <item> for <number> <resource>?","Voulez-vous vraiment vendre votre <item> pour <number> <resource> ?","<item> wirklich für <number> <resource> verkaufen?","¿Seguro que quieres vender <item> por <number> de <resource>?","Vuoi davvero vendere: <item> per <number> <resource>?","Wil je een <item> echt voor <number> <resource> verkopen?","Vil du virkelig selge <item> for <number> <resource>?","Quer mesmo vender <item> por <number> <resource>?","<item> öğesini <number> <resource> karşılığında satmak istediğine emin misin?","本当に<item>を<resource><number>で\n売りますか？","您确定想以<item>换取<number><resource>吗？","<item>(을)를 <resource> <number>개에 판매할까요?","Вы точно хотите продать <item> за <resource> (<number>)?"
"TID_POPUP_UPGRADE_TITLE","Upgrade to level <number>?","Améliorer au niveau <number> ?","Auf Level <number> verbessern?","¿Mejorar al nivel <number>?","Portare al livello <number>?","Upgraden naar level <number>?","Oppgradere til nivå <number>?","Melhorar para o nível <number>?","<number>. seviyeye yükseltilsin mi?","レベル<number>にアップグレードしますか？","确定升级至<number>级吗？","레벨 <number> 업그레이드","Поднять до <number> уровня?"
"TID_POPUP_UPGRADE_BUILD_MORE","Build more:","Construire davantage :","Mehr bauen:","Construye más:","Costruisci più:","Meer bouwen:","Bygg mer:","Construir mais:","Daha inşa et:","もっと建てる：","建造更多的：","필요한 건물:","Построить больше:"
"TID_RESOURCE_CAP_FULL_GOLD","Build more or upgrade existing Gold Storages!","Construisez plus de réserves d'or ou améliorez celles que vous avez déjà !","Verbessere deine Goldlager oder baue mehr davon!","Construye más almacenes de oro o mejora los que tienes.","Costruisci depositi d'oro o migliora quelli esistenti!","Bouw meer of upgrade bestaande goudkluizen!","Bygg flere, eller oppgrader eksisterende gullagre!","Construa mais Depósitos de Ouro ou melhore os já existentes!","Daha çok Altın Deposu inşa et ya da yükselt!","金庫をもっと建てるか、今ある金庫をアップグレードしましょう！","建造更多储金罐或者升级储金罐！","골드 저장소를 더 건설하거나 업그레이드하세요!","Постройте новое Золотохранилище или улучшите старое!"
"TID_RESOURCE_CAP_FULL_ELIXIR","Build more or upgrade existing Elixir Storages!","Construisez plus de réservoirs d'élixir ou améliorez ceux que vous avez déjà !","Verbessere deine Elixierlager oder baue mehr davon!","Construye más almacenes de elixir o mejora los que tienes.","Costruisci depositi di elisir o migliora quelli esistenti!","Bouw meer of upgrade bestaande elixirtanks!","Bygg flere, eller oppgrader eksisterende eliksirlagre!","Construa mais Depósitos de Elixir ou melhore os já existentes!","Daha çok İksir Deposu inşa et ya da yükselt!","エリクサータンクをもっと建てるか、\n今あるエリクサータンクをアップグレードしましょう！","建造更多圣水瓶或者升级圣水瓶！","엘릭서 저장소를 더 건설하거나 업그레이드하세요!","Постройте новое Эликсирохранилище или улучшите старое!"
"TID_POPUP_FRIEND_LIST_TITLE","Friends","Amis","Freunde","Amigos","Amici","Vrienden","Venner","Amigos","Arkadaşlar","フレンド","好友","친구","Друзья"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","Connect to Facebook","Se connecter à Facebook","Mit Facebook verbinden","Conectar con Facebook","Connetti a Facebook","Maak verbinding met Facebook","Koble til Facebook","Conectar ao Facebook","Facebook'a bağlan","Facebookに接続","连接到Facebook","Facebook에 연결","Подключиться к Facebook"
"TID_LOGIN_TO_FACEBOOK_BUTTON","Login to Facebook","Connexion à Facebook","Bei Facebook anmelden","Conectar con Facebook","Accesso a Facebook","Meld je aan op Facebook","Logg på Facebook","Fazer login no Facebook","Facebook'ta oturum aç","Facebookにログイン","登录到Facebook","Facebook에 로그인","Войти в Facebook"
"TID_LOADING_FACEBOOK_FRIENDS","Loading friend list...","Chargement de la liste d'amis...","Freundesliste laden ...","Cargando lista de amigos...","Caricamento lista amici...","Vriendenlijst wordt geladen...","Laster venneliste ...","Carregando lista de amigos...","Arkadaş listesi yükleniyor...","友達リストの読み込み中...","正在载入好友列表......","친구 목록을 불러오는 중...","Загрузка списка друзей..."
"TID_OBSTACLE_TOMBSTONE","Tombstone","Pierre tombale","Grabstein","Lápida","Lapide","Grafsteen","Gravstein","Lápide","Mezar Taşı","墓石","墓碑","묘비","Надгробие"
"TID_NO_FACEBOOK_FRIENDS","Unable to find Facebook friends who play Clash of Clans","Impossible de trouver vos amis Facebook qui jouent à Clash of Clans.","Es konnten keine Facebook-Freunde gefunden werden, die Clash of Clans spielen","No se han encontrado amigos de Facebook que jueguen a Clash of Clans.","Non è stato possibile trovare amici di Facebook che giocano a Clash of Clans.","Geen Facebook-vrienden gevonden die Clash of Clans spelen","Finner ingen Facebook-venner som spiller Clash of Clans","Não foi possível encontrar os amigos do Facebook que jogam Clash of Clans","Clash of Clans oynayan Facebook arkadaşları bulunamıyor","クラッシュ・オブ・クランをプレイしているFacebookの友達がみつかりませんでした。","无法找到玩部落冲突的Facebook好友","클래시 오브 클랜을 즐기는 Facebook 친구를 찾을 수 없습니다.","Не удалось найти в Facebook друзей, которые играют в Clash of Clans."
"TID_ATTACK_FAIL_NO_MATCHES","Unable to find villages to attack!","Impossible de trouver des villages à attaquer.","Es können keine angreifbaren Dörfer gefunden werden!","No se han encontrado aldeas que atacar.","Non è stato possibile trovare dei villaggi da attaccare!","Er kunnen geen dorpen worden gevonden om aan te vallen!","Finner ikke landsbyer å angripe!","Não foi possível encontrar vilas para atacar!","Saldırılacak köy bulunamıyor!","攻撃できる村がみつかりませんでした。","无法找到可攻击的玩家！","공격할 마을을 찾을 수 없습니다!","Невозможно найти деревни для нападения!"
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","Can't attack! Village is already under attack.","Attaque impossible. Ce village subit déjà une attaque !","Angriff nicht möglich! Dorf wird bereits angegriffen.","No se puede atacar, la aldea ya está siendo atacada.","Impossibile attaccare: il villaggio è già sotto attacco.","Je kunt niet aanvallen! Het dorp wordt al aangevallen.","Kan ikke angripe! Landsbyen blir allerede angrepet.","Impossível atacar: a vila já está sob ataque.","Saldırılamaz! Köy zaten saldırıya uğradı.","攻撃できません！　この村はすでに攻撃されているところです。","不能攻击！这个村庄正在被攻击。","공격할 수 없습니다! 이미 공격받고 있는 마을입니다.","Напасть нельзя! Деревня уже атакована."
"TID_ATTACK_FAIL_TARGET_ONLINE","Can't attack! Village owner is online.","Attaque impossible. Le propriétaire de ce village est en ligne.","Angriff nicht möglich! Dorfbesitzer ist online.","No puedes atacar, el jefe de la aldea está conectado.","Impossibile attaccare: il proprietario del villaggio è online.","Je kunt niet aanvallen! De eigenaar van het dorp is online.","Kan ikke angripe! Landsbyeieren er tilkoblet.","Impossível atacar: o proprietário da vila está online.","Saldırılamaz! Köyün sahibi çevrimiçi.","攻撃できません！　村の持ち主がオンラインです。","不能攻击！该玩家当前在线。","공격할 수 없습니다! 마을 주인이 접속 중입니다.","Напасть нельзя! Хозяин деревни в сети."
"TID_ATTACK_FAIL_SAME_ALLIANCE","Can't attack your own clan members!","Attaque impossible. Vous ne pouvez pas attaquer un membre de votre clan !","Angriff auf Mitglieder des eigenen Clans nicht möglich!","No puedes atacar a miembros de tu clan.","Non puoi attaccare i membri del tuo stesso clan.","Je kunt geen leden van je eigen clan aanvallen!","Du kan ikke angripe dine egne klanmedlemmer!","Você não pode atacar os membros de seu clã!","Kendi klan üyelerine saldıramazsın!","同じクランの仲間は攻撃できません！","无法攻击同一部落的玩家！","클랜 동료는 공격할 수 없습니다!","Нельзя нападать на своих соклановцев!"
"TID_ATTACK_FAIL_SHIELD","Can't attack! Village has active shield","Attaque impossible. Ce village a un bouclier de protection.","Angriff nicht möglich! Dorf verfügt über aktiven Schild","No puedes atacar, la aldea tiene un escudo activo.","Impossibile attaccare: il villaggio ha uno scudo attivo.","Je kunt niet aanvallen! Het dorp heeft een actief schild.","Kan ikke angripe! Landsbyen har et aktivt skjold","Impossível atacar: a vila tem um escudo ativo","Saldırılamaz! Köyün etkin kalkanı var","攻撃できません！　この村はシールドが有効になっています。","不能攻击！玩家开启了护盾！","공격할 수 없습니다! 보호막이 적용된 마을입니다.","Напасть нельзя! Деревня укрыта щитом."
