"Name","Disabled","TID","InfoTID","SWF","ExportName","TileX100","TileY100","AutomaticUpgrades","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","RequiresBuilder","BuildResource","BuildCost","TownHallLevel","PickUpEffect","Animations","AnimX","AnimY","AnimID","AnimDir","AnimVisibilityOdds","HasInfoScreen","VillageType","Stage","UnitHousing","HousesUnits","AllianceBuilding","LightsOn","GoToStage"
,,,,,"clan_gate_4",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"clan_gate_5",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"clan_gate_6",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"clan_gate_7",,,,,,,,,,,,,,,,,,,,,,,,,,
"Reserved1","TRUE","TID_CLAN_GATE",,"sc/buildings.sc","clan_gate_1","-250","2150",,,,,,"false",,,"4","Alliance Castle Pickup",,,,,,,"false",,,,,,,
"Reserved2","TRUE","TID_CLAN_GATE",,"sc/buildings.sc","clan_gate_2","-250","2150",,,,,,"false",,,"4","Alliance Castle Pickup",,,,,,,"false",,,,,,,
"Reserved3","TRUE","TID_CLAN_GATE",,"sc/buildings.sc","clan_gate_3","-250","2150",,,,,,"false",,,"4","Alliance Castle Pickup",,,,,,,"false",,,,,,,
"Reserved4","TRUE","TID_CLAN_GATE",,"sc/buildings.sc","clan_gate_4","-250","2150",,,,,,"false",,,"4","Alliance Castle Pickup",,,,,,,"false",,,,,,,
"Reserved5","TRUE","TID_CLAN_GATE",,"sc/buildings.sc","clan_gate_5","-250","2150",,,,,,"false",,,"4","Alliance Castle Pickup",,,,,,,"false",,,,,,,
"Reserved6","TRUE","TID_CLAN_GATE",,"sc/buildings.sc","clan_gate_6","-250","2150",,,,,,"false",,,"4","Alliance Castle Pickup",,,,,,,"false",,,,,,,
"Reserved7","TRUE","TID_CLAN_GATE",,"sc/buildings.sc","clan_gate_7","-250","2150",,,,,,"false",,,"4","Alliance Castle Pickup",,,,,,,"false",,,,,,,
"ClanGamesCentre",,"TID_CLAN_GAMES_CENTRE","TID_CLAN_GAMES_CENTRE_INFO","sc/buildings.sc","derby_01_active","-450","1450",,,,,,"false",,,"3","Town Hall Pickup",,,,,,,"false",,,,,,"true",
,,,,,"derby_01_inactive",,,,,,,,"false",,,,,,,,,,,,,,,,,,
,,,,,"derby_01_anticipation",,,,,,,,,,,,,,,,,,,,,,,,,,
"ClanGamesDeco1",,"TID_CLAN_GAMES_CENTRE",,"sc/buildings.sc","derby_fireworks_01","-300","1800",,,,,,"false",,,,"Fireworks_01",,,,,,,"FALSE",,,,,,,
"ClanGamesDeco2",,"TID_CLAN_GAMES_CENTRE",,"sc/buildings.sc","derby_pony_01","-428","1995",,,,,,"false",,,,"Derby_Pony",,,,,,,"FALSE",,,,,,,
"TraderBuilding",,"TID_CLAN_GAMES_CENTRE",,"sc/buildings.sc","trader_tent_01","-450","2850",,,,,,"false",,,,,,,,,,,"FALSE",,,,,,"true",
"TraderDeco1",,"TID_CLAN_GAMES_CENTRE",,"sc/buildings.sc","trader_pot_01","-200","2700",,,,,,"false",,,,,,,,,,,"FALSE",,,,,,,
"TraderDeco2",,"TID_CLAN_GAMES_CENTRE",,"sc/buildings.sc","trader_rug_01","-250","2900",,,,,,"false",,,,,,,,,,,"FALSE",,,,,,,
"TraderCharacter",,"TID_CLAN_GAMES_CENTRE",,"sc/characters.sc","trader_idle1_2","-160","3000",,,,,,"false",,,,,,,,,,,"FALSE",,,,,,,
"ClanGamesHiddenDeco",,"TID_CLAN_GAMES_CENTRE",,"sc/buildings.sc","derby_butterfly_01","-300","1500",,,,,,,,,,,,,,,,,,,,,,,,
"TraderHiddenDeco",,"TID_CLAN_GAMES_CENTRE",,"sc/buildings.sc","trader_sign_01","-400","2775",,,,,,,,,,,,,,,,,,,,,,,,
"ClanGamesCharacter",,"TID_CLAN_GAMES_CENTRE",,"sc/characters.sc","strongman_idle1_2","-320","1750",,,,,,"false",,,,,,,,,,,"FALSE",,,,,,,
"LootCart",,"TID_LOOT_CART","TID_LOOT_CART_INFO","sc/buildings.sc","mega_tombstone","-460","4040",,,,,,"false",,,,,,,,,,,"FALSE",,,,,,"true",
"SuperTroopsBuilding",,"TID_LOOT_CART","TID_LOOT_CART_INFO","sc/buildings.sc","sauna_anticipation","-400","3300",,,,,,"false",,,,,,,,,,,"FALSE",,,,,,"true",
,,,,,"trader_sauna_inactive",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"trader_sauna_active",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"trader_sauna_active_enter",,,,,,,,,,,,,,,,,,,,,,,,,,
"Forge",,"TID_FORGE","TID_FORGE","sc/buildings.sc","cc_forge_01","4725","6000",,,,,,"false",,,"6",,,,,,,,"FALSE",,,,,,"true",
"BalloonBus",,"TID_BALLOON_BUS","TID_BALLOON_BUS","sc/content.sc","balloon_bus1_broken","4000","5900",,,,,,"false",,,"1",,,,,,,,"FALSE",,,,,,"true",
,,,,"sc/content.sc","balloon_bus1","4000","5900",,"0","0","0","5",,,,,,,,,,,,"FALSE",,,,,,"true",
"Arcade",TRUE,"TID_CLAN_GAMES_CENTRE",,"sc/buildings.sc","arcade_machine_off","-300","1800",,,,,,"false",,,,,,,,,,,"FALSE",,,,,,,
,,,,,"arcade_machine_on",,,,,,,,,,,,,,,,,,,,,,,,,,
"TraderNewSign","TRUE","TID_CLAN_GAMES_CENTRE",,"sc/buildings.sc","trader_new_sign_01","-350","2725",,,,,,"false",,,,,,,,,,,"FALSE",,,,,,,
"LootCartBB",,"TID_LOOT_CART","TID_LOOT_CART_INFO","sc/buildings2.sc","elixir_cart","1100","-450",,,,,,"false",,,,,,,,,,,"FALSE","1","1",,,,"true",
"StageGateNext",,"TID_VILLAGE_OBJECT_SHIP","TID_VILLAGE_OBJECT_SHIP_INFO","sc/content.sc","stage_gate_next_open","-600","2000","true",,,,,"false",,,"4","Tap Gate",,,,,,,"FALSE","1",,,,,"true",1
,,,,"sc/content.sc","stage_gate_next_broken","-600","2000",,,,,,,,,,,,,,,,,,,,,,,,
,,,,"sc/content.sc","stage_gate_next_closed","-600","2000",,,,,,,,,,"Tap Gate Closed",,,,,,,,,,,,,,
,,,,"sc/content.sc","stage_gate_next_open_anim","-600","2000",,,,,,,,,,,,,,,,,,,,,,,"true",
"StageGatePrev",,"TID_VILLAGE_OBJECT_SHIP","TID_VILLAGE_OBJECT_SHIP_INFO","sc/content.sc","stage_gate_prev","4600","2000","true",,,,,"false",,,"4","Tap Gate",,,,,,,"FALSE","1",,,,,,-1
"BB_harbor",,,,"sc/content.sc","bb_harbor",,,,,,,,,,,,,,,,,,,"FALSE","1","1",,,,,
