"Name","TID","InfoTID","SWF","ExportName","ExportNameConstruction","BuildResource","BuildCost","RequiredExpLevel","MaxCount","Width","Height","PassableSubtilesAtEdge","Icon","BaseGfx","ExportNameBase","IsRed","NotInShop","BPReward","VillageType","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","LightsOn","DecoPath","ActiveEffect","ActiveEffectDelay","NationalFlag","RequiredTownHallLevel","UseObjectBottomLayer"
"India Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"true",,,,,,,,,,,,,"true",,
"Australia Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"true",,,,,,,,,,,,,"true",,
"South Korea Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"true",,,,,,,,,,,,,"true",,
"Japan Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"true",,,,,,,,,,,,,"true",,
"Turkey Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"true",,,,,,,,,,,,,"true",,
"Indonesia Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"true",,,,,,,,,,,,,"true",,
"Netherlands Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"true",,,,,,,,,,,,,"true",,
"Philippines Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"true",,,,,,,,,,,,,"true",,
"Singapore Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"true",,,,,,,,,,,,,"true",,
"PEKKA Statue","TID_DECORATION_PEKKA_STATUE",,"sc/buildings.sc","deco_pekka_statue","generic_construction_state1","Gold",1000000,75,1,2,2,1,,1,"statue_base",,,,,,,,,,,,,,,,,
"Russia Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"true",,,,,,,,,,,,,"true",,
"Denmark Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"true",,,,,,,,,,,,,"true",,
"Greece Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"true",,,,,,,,,,,,,"true",,
"BK Statue","TID_DECORATION_BK_STATUE",,"sc/buildings.sc","deco_barbarian_king_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,1,"statue_base","TRUE",,,,,,,,,,,,,,,,
"Torch 2","TID_DECORATION_TORCH",,"sc/buildings.sc","deco_torch1",,"Gold2",5000,1,4,2,2,1,,,"deco_torch1_base",,,,1,,,,,,,"true",,,,,,
"Small_Pine Tree","TID_DECORATION_SMALL_PINETREE",,"sc/buildings2.sc","env_small_pine_tree_1x1","generic_construction_state1","Gold2",10000,40,4,2,2,1,,4,"pine_tree2_base",,,,1,,,,,,,,,,,,,
"Big_Pine Tree","TID_DECORATION_PINETREE",,"sc/buildings2.sc","env_big_pine_tree_1x1","generic_construction_state1","Gold2",10000,40,4,2,2,1,,4,"pine_tree2_base",,,,1,,,,,,,,,,,,,
"Old Barbarian Statue","TID_DECORATION_ANCIENT_BARBARIAN_STATUE",,"sc/buildings2.sc","env_barbarian_stone_3x3","generic_construction_state1","Diamonds",250,60,1,3,3,1,,4,"large_stone_b_base",,,,1,,,,,,,,,,,,,
"Stone Path","TID_STONE_PATH",,"sc/buildings2.sc","stone_path",,"Gold2",5000,50,25,1,1,1,,0,,,,,1,,,,,,,,"true",,,,,"TRUE"
"Archer Queen Statue","TID_DECORATION_ARCHER_QUEEN_STATUE",,"sc/buildings.sc","deco_archer_queen_statue","generic_construction_state1","Diamonds",500,50,1,2,2,1,,4,"pine_tree2_base",,,,1,,,,,,,"true",,,,,,
"Target","TID_TARGET",,"sc/buildings2.sc","deco_target",,"Gold2",20000,40,3,2,2,1,,,"deco_flowerbox1_base",,,,1,,,,,,,,,,,,,
"Fireplace","TID_FIREPLACE",,"sc/buildings2.sc","Fireplace_01",,"Gold2",20000,40,2,2,2,1,,,"deco_flowerbox1_base",,,,1,,,,,,,"true",,,,,,
"Builder Statue","TID_DECORATION_BUILDER_STATUE",,"sc/buildings.sc","deco_builder_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,1,"statue_base",,"TRUE",,,,,,,,,,,,,,,
"Rex Calibur","TID_DECORATION_SWORD_IN_STONE","TID_DECORATION_SWORD_IN_STONE_INFO","sc/buildings.sc","deco_swordstone_01","generic_construction_state1","Medals",2000,,1,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,"true",,"Rex Calibur Lightning",3000,,,
"League I Statue","TID_DECORATION_LEAGUE_I_STATUE","TID_DECORATION_LEAGUE_III_STATUE_INFO","sc/buildings.sc","deco_leagueI_statue","generic_construction_state1","Medals",1000,,1,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,"true",,,,,,
"League II Statue","TID_DECORATION_LEAGUE_II_STATUE","TID_DECORATION_LEAGUE_II_STATUE_INFO","sc/buildings.sc","deco_leagueII_statue","generic_construction_state1","Medals",500,,1,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,"true",,,,,,
"League III Statue","TID_DECORATION_LEAGUE_III_STATUE","TID_DECORATION_LEAGUE_I_STATUE_INFO","sc/buildings.sc","deco_leagueIII_statue","generic_construction_state1","Medals",250,,1,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,"true",,,,,,
"Shield Statue","TID_DECORATION_WAR_SHIELD","TID_DECORATION_WAR_SHIELD_INFO","sc/buildings.sc","deco_shield_statue","generic_construction_state1","Medals",100,,1,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,,,,,,,
"Golden Hog","TID_DECORATION_GOLDEN_HOG","TID_DECORATION_GOLDEN_HOG_INFO","sc/buildings.sc","deco_golden_hog","generic_construction_state1","Diamonds",500,,3,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,"true",,"Fortune_tap_01",,,,
"Firecrackers","TID_DECORATION_FIRECRACKER","TID_DECORATION_FIRECRACKER","sc/buildings.sc","deco_firecrackers","generic_construction_state1","Diamonds",500,,3,2,2,1,,,"deco_lantern_base",,"TRUE",,1,,,,,,,"true",,"Fireworks_tap_01",,,,
"Snowman","TID_DECORATION_SNOWMAN","TID_DECORATION_SNOWMAN_INFO","sc/buildings.sc","deco_snowman","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"deco_snowman_base",,"TRUE",,,,,,,,,"true",,"Snow_tap_01",,,,
"BattlePassSnowman","TID_DECORATION_SNOWMAN","TID_DECORATION_SNOWMAN_INFO","sc/buildings.sc","deco_snowman","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"deco_snowman_base",,"TRUE","TRUE",,,,,,,,,,"Snow_tap_01",,,,
"BattleMachineStatue","TID_DECORATION_BATTLEMACHINE",,"sc/buildings.sc","deco_battle_machine_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,4,"pine_tree2_base",,"TRUE",,1,,,,,,,"true",,,,,,
"Dragon Statue","TID_DECORATION_DRAGON_STATUE",,"sc/buildings.sc","deco_dragon_statue","generic_construction_state1","Diamonds",500,,1,3,3,1,,1,"deco_base_3x3",,"TRUE",,,,,,,,,"true",,"Dragon Statue Click",2000,,,
"Golden Goblin","TID_DECORATION_GOLDEN_GOBLIN","TID_DECORATION_GOLDEN_GOBLIN_INFO","sc/buildings.sc","deco_golden_goblin","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,"true",,"Fortune_tap_01",,,,
"SuperTroopStatue","TID_DECORATION_SUPER_TROOP_STATUE","TID_DECORATION_SUPER_TROOP_STATUE_INFO","sc/buildings.sc","deco_supertroop_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,1,"statue_base",,"TRUE",,,,,,,,,"true",,,,,,
"ShortFilmStatue","TID_DECORATION_SHORT_FILM_STATUE","TID_DECORATION_SHORT_FILM_STATUE_INFO","sc/buildings.sc","deco_short_film_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,1,"statue_base",,"TRUE","TRUE",,,,,,,,,,,,,,
"SC 10Year Fountain","TID_DECORATION_10_YEAR_FOUNTAIN","TID_DECORATION_10_YEAR_FOUNTAIN_INFO","sc/buildings.sc","deco_sc10y","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,,,"Tap SC10 Deco",400,,,
"Clockwork Statue","TID_DECORATION_CLOCKWORK_STATUE","TID_DECORATION_CLOCKWORK_STATUE_INFO","sc/buildings.sc","deco_clockwork","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,"true",,"Tap Stone Deco",,,,
"8 Year Birthday Statue","TID_DECORATION_8YEAR_BIRTHDAY_STATUE","TID_DECORATION_8YEAR_BIRTHDAY_STATUE_INFO","sc/buildings.sc","deco_8ybday","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,,,,,,,
"Pirate Deco","TID_DECORATION_PIRATE_ANCHOR","TID_DECORATION_PIRATE_ANCHOR_INFO","sc/buildings.sc","deco_pirate","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,,,,,,,
"Logmas Deco","TID_DECO_LOGMAS_TREE",,"sc/buildings.sc","deco_logmas","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,"true",,,,,,
"Golden Wall Breaker","TID_DECO_FIREWORK_FANBOY",,"sc/buildings.sc","deco_Golden_WB","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,"true",,"Fireworks_tap_01",,,,
"Jungle Deco","TID_DECO_TH14_FOUNTAIN",,"sc/buildings.sc","deco_jungle","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,,,,,,,
"9 Year Birthday Statue","TID_DECORATION_9YEAR_BIRTHDAY_STATUE","TID_DECORATION_9YEAR_BIRTHDAY_STATUE_INFO","sc/buildings.sc","deco_anniversary_9y","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,"true",,,,,,
"Fallen Wizard Statue","TID_WIZARD_STATUE",,"sc/buildings.sc","CC_wizard_deco","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,,,,,,,
"10 Year Birthday Statue","TID_DECORATION_10YEAR_BIRTHDAY_STATUE","TID_DECORATION_10YEAR_BIRTHDAY_STATUE_INFO","sc/buildings.sc","deco_anniversary_10y","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,"true",,,,,,
"Clash Fest Statue","TID_DECORATION_CLASH_FEST_22_STATUE","TID_DECORATION_CLASH_FEST_22_STATUE_INFO","sc/buildings.sc","deco_clash_fest_22","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,"true",,,,,,
"Clashmas22 Deco","TID_DECORATION_CLASHMAS_22","TID_DECORATION_CLASMAS_22_INFO","sc/buildings.sc","clashmas22_deco","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,"true",,,,,,
"LNY2023Statue","TID_STATUE_LNY_2023","TID_STATUE_LNY_2023_INFO","sc/buildings.sc","deco_magic_show_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,,,,,,,
"Baby Dragon Painted","TID_DECO_PAINTED_BABY_DRAGON","TID_DECO_PAINTED_BABY_DRAGON","sc/buildings.sc","baby_dragon_painted_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,,,,,,,
"Dark Ages Dragon_Statue","TID_DECO_DARK_AGES_DRAGON","TID_DECO_DARK_AGES_DRAGON_INFO","sc/buildings.sc","dark ages dragon","generic_construction_state1","Diamonds",500,,2,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,,,"TapDarkAgesSkull Deco",,,,
"BB2 Bonfire","TID_FIREPLACE",,"sc/buildings2.sc","env_bb2_bonefire_1x1",,"Gold2",200000,40,4,2,2,1,,,,,,,1,,,,,,,"true",,,,,6,
"BB2 Torch","TID_DECORATION_TORCH",,"sc/buildings2.sc","env_bb2_turch_1x1",,"Gold2",250000,1,4,2,2,1,,,,,,,1,,,,,,,"true",,,,,6,
"BB2 Target","TID_TARGET",,"sc/buildings2.sc","env_bb2_target_2x2",,"Gold2",500000,40,3,2,2,1,,,,,,,1,,,,,,,"FALSE",,,,,6,
"Terry Statue","TID_BOOKS_OF_CLASH",,"sc/buildings.sc","deco_terry_statue","generic_construction_state1","Gold",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,,,,,,,
"BB2 Statue","TID_MASTER_BUILDER'S_RETURN",,"sc/buildings.sc","deco_notsochutulhu",,"Diamonds",500,,1,2,2,1,,,"pine_tree2_base",,"TRUE",,1,,,,,,,"TRUE",,,,,,
"Goblin Gold Chest","TID_DECO_GOBLIN_CHEST",,"sc/buildings.sc","deco_goblin_goldchest_2x2","generic_construction_state1","Gold",500,,1,2,2,1,,,,,"TRUE",,,,,,,,,,,,,,,
"Goblin Gold Cart","TID_DECO_GOBLIN_CART",,"sc/buildings.sc","deco_goblin_goldcart_2x2","generic_construction_state1","Gold",500,,1,3,3,1,,,,,"TRUE",,,,,,,,,,,,,,,
"Placeholder Flag1","TID_DECORATION_TORCH",,"sc/buildings.sc","deco_torch1",,"Elixir",500,,0,2,2,1,,,"deco_torch1_base",,"TRUE",,,,,,,,,"true",,,,"true",,
"Placeholder Flag2","TID_DECORATION_TORCH",,"sc/buildings.sc","deco_torch1",,"Elixir",500,,0,2,2,1,,,"deco_torch1_base",,"TRUE",,,,,,,,,"true",,,,"true",,
"Placeholder Flag3","TID_DECORATION_TORCH",,"sc/buildings.sc","deco_torch1",,"Elixir",500,,0,2,2,1,,,"deco_torch1_base",,"TRUE",,,,,,,,,"true",,,,"true",,
"Placeholder Flag4","TID_DECORATION_TORCH",,"sc/buildings.sc","deco_torch1",,"Elixir",500,,0,2,2,1,,,"deco_torch1_base",,"TRUE",,,,,,,,,"true",,,,"true",,
"Placeholder Flag5","TID_DECORATION_TORCH",,"sc/buildings.sc","deco_torch1",,"Elixir",500,,0,2,2,1,,,"deco_torch1_base",,"TRUE",,,,,,,,,"true",,,,"true",,
"Placeholder Flag6","TID_DECORATION_TORCH",,"sc/buildings.sc","deco_torch1",,"Elixir",500,,0,2,2,1,,,"deco_torch1_base",,"TRUE",,,,,,,,,"true",,,,"true",,
"Goblin Cellar","TID_DECO_GOBLIN_CELLAR",,"sc/buildings.sc","deco_goblin_gate_2x2","generic_construction_state1","Gold",500,,1,2,2,1,,,,,"TRUE",,,,,,,,,,,,,,,"TRUE"
"Goblin Dragon Statue","TID_DECO_GOBLIN_DRAGON_STATUE",,"sc/buildings.sc","deco_goblin_cave_2x2","generic_construction_state1","Gold",500,,1,2,2,1,,,,,"TRUE","TRUE",,,,,,,,,,,,,,
"Goblin Barrel","TID_DECO_GOBLIN_BARREL",,"sc/buildings.sc","deco_goblin_barrel_2x2","generic_construction_state1","Gold",500,,1,2,2,1,,,,,"TRUE",,,,,,,,,,,,,,,
"CWL hammer","TID_DECO_CWL_HAMMER",,"sc/buildings.sc","deco_CWL_hammer_2x2","generic_construction_state1","Medals",500,,1,2,2,1,,,,,"TRUE",,,,,,,,,,,,,,,
"CWL shield","TID_DECO_CWL_SHIELD",,"sc/buildings.sc","deco_CWL_shield_2x2","generic_construction_state1","Medals",500,,1,2,2,1,,,,,"TRUE",,,,,,,,,,,,,,,
"Razer Promo Deco","TID_DECO_RAZER_PROMO",,"sc/buildings.sc","deco_razer_promo_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,,,,,,,
"Barbarian Flexing Statue 2023","TID_DECO_FLEXING_BARB",,"sc/buildings.sc","deco_barbarian_flexing_statue_2023","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,,,,,,,
