"TID","VI"
"TID_POPUP_UNDER_ATTACK","Bạn đang bị tấn công! Vui lòng chờ, làng của bạn sẽ tự động tải."
"TID_POPUP_TRY_AGAIN","T.gian còn lại ước tính:"
"TID_BUTTON_OKAY","Ok"
"TID_POPUP_TRAIN_TITLE","Huấn luyện binh lính <limit>"
"TID_INVALID_PLACEMENT","Bạn không thể triển khai binh lính trong khu vực màu đỏ!"
"TID_ALL_TROOPS_USED","Đã triển khai toàn bộ lực lượng"
"TID_OTHER_TROOP_LEFT","Chọn một đơn vị khác"
"TID_DIAMONDS","Ngọc"
"TID_GOLD","Vàng"
"TID_ELIXIR","Tiên dược"
"TID_ITEM_LEVEL","<item> (Cấp <number>)"
"TID_SHOP_TITLE","Cửa hàng"
"TID_ITEM_BROKEN","<item> (Bị hỏng)"
"TID_BUILDING_ARCHER_TOWER","Tháp Cung thủ"
"TID_BUILDING_CLASS_ARMY","Công trình Quân đội"
"TID_BUILDING_CLASS_DEFENSE","Phòng thủ"
"TID_BUILDING_CLASS_RESOURCE","Tài nguyên"
"TID_BUILDING_CLASS_WALL","Tường thành"
"TID_NOT_ENOUGH_WORKERS_HEADER","Tất cả thợ xây đều đang bận!"
"TID_NOT_ENOUGH_WORKERS_TEXT","Bạn có muốn hoàn thành công trình trước đó để một thợ xây được rảnh tay không?"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","Bạn có muốn hoàn thành công trình trước để Thợ xây Bậc thầy được rảnh tay không?"
"TID_NOT_ENOUGH_RESOURCE","Bạn không có đủ <resource>!"
"TID_NOT_ENOUGH_RESOURCE_TWO","Bạn không có đủ <resource1> và <resource2>!"
"TID_TOWN_HALL_LEVEL_TOO_LOW","Bạn cần nâng cấp Nhà chính lên cấp <number>!"
"TID_TOWN_HALL_LEVEL_TOO_LOW_2","Bạn cần nâng cấp Hội trường Thợ xây lên cấp <number>!"
"TID_POPUP_UPGRADE_TITLE","Bạn có muốn nâng lên cấp <number> không?"
"TID_POPUP_UPGRADE_BUILD_MORE","Xây dựng thêm:"
"TID_RESOURCE_CAP_FULL_GOLD","Hãy xây dựng thêm hoặc nâng cấp Kho chứa Vàng hiện có!"
"TID_RESOURCE_CAP_FULL_ELIXIR","Hãy xây dựng thêm hoặc nâng cấp Kho chứa Tiên dược hiện có!"
"TID_RESOURCE_CAP_FULL_GENERIC","Hãy xây dựng thêm hoặc nâng cấp các kho chứa hiện có!"
"TID_POPUP_FRIEND_LIST_TITLE","Bạn bè"
"TID_POPUP_SOCIAL_LIST_TITLE","Xã hội"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","Kết nối với Facebook"
"TID_LOGIN_TO_FACEBOOK_BUTTON","Đăng nhập vào Facebook"
"TID_LOADING_FACEBOOK_FRIENDS","Đang tải danh sách bạn bè..."
"TID_OBSTACLE_TOMBSTONE","Bia mộ"
"TID_NO_FACEBOOK_FRIENDS","Không thể tìm bạn bè Facebook đang chơi Clash of Clans"
"TID_ATTACK_FAIL_NO_MATCHES","Không tìm được làng để tấn công!"
"TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK","Không thể tấn công! Làng này đang bị tấn công."
"TID_ATTACK_FAIL_TARGET_ONLINE","Không thể tấn công! Chủ làng này đang trực tuyến."
"TID_ATTACK_FAIL_SAME_ALLIANCE","Không thể tấn công thành viên trong chính hội của bạn!"
"TID_ATTACK_FAIL_SHIELD","Không thể tấn công! Làng này có Khiên chắn đang hoạt động"
"TID_ATTACK_FAIL_LEVEL_DIFFERENCE","Không thể tấn công! Chênh lệch cấp độ lớn hơn <level>"
"TID_ATTACK_FAIL_NEWBIE_PROTECTED","Không thể tấn công làng này vì Nhà chính ở đây có cấp thấp hơn <number>."
"TID_DEFAULT_VILLAGE_NAME","Làng của <name>"
"TID_BATTLE_LOG_TITLE","Bạn đã bị tấn công!"
"TID_BATTLE_LOG_ITEM","<name> đã tấn công bạn <time> trước đây."
"TID_NO_TROOPS","Trước hết bạn cần huấn luyện một ít binh lính."
"TID_NO_SPELLS","Trước hết bạn cần luyện một ít thần chú."
"TID_ERROR_POP_UP_BANNED_TITLE","Thông tin tài khoản!"
"TID_ERROR_POP_UP_BANNED","Bạn đã tạm thời bị cấm"
"TID_ERROR_POP_UP_BANNED_BUTTON","Ok"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Lỗi kết nối"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Không thể kết nối với máy chủ. Hãy kiểm tra kết nối Internet của bạn và thử lại."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Thử lại"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Mất kết nối"
"TID_ERROR_POP_UP_CONNECTION_LOST","Bạn đã mất kết nối với máy chủ. Hãy kiểm tra kết nối Internet của bạn và thử lại."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Thử lại"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Có ai ở đó không?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Bạn đã bị ngắt kết nối do không hoạt động."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Tải lại trò chơi"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Đăng nhập thất bại"
"TID_ERROR_POP_UP_LOGIN_FAILED","Vui lòng thử lại sau."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Thử lại"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Có bản cập nhật!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Tin vui đây! Trò chơi đã có phiên bản mới."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Cập nhật"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Lỗi!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Máy khách và máy chủ không đồng bộ! Cửa hàng ứng dụng của bạn hiện đã có một bản cập nhật mới gồm các sửa lỗi và chỉnh sửa cho trò chơi!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Tải lại trò chơi"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Nghỉ Bảo trì"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Rất tiếc, các máy chủ đang được bảo trì. Vui lòng thử lại sau."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Thử lại"
"TID_BUILDING_ALLIANCE_CASTLE","Hội Thành"
"TID_BUILDING_ALLIANCE_MARKER","Hội Kỳ"
"TID_COMM_MAST","Tháp Radio"
"TID_TRAP_MINE","Bom"
"TID_TRAP_EJECTOR","Bẫy Bật"
"TID_SHOP_GUARD_2H","Khiên phòng hộ Hai Giờ"
"TID_SHOP_SHIELD_1D","Khiên chắn Một Ngày"
"TID_SHOP_SHIELD_2D","Khiên chắn Hai Ngày"
"TID_SHOP_SHIELD_7D","Khiên chắn Một Tuần"
"TID_ALLIANCE_MAIN_BUTTON","Hội"
"TID_ALLIANCE_LIST_HEADER","Hội"
"TID_CREATE_ALLIANCE_BUTTON","Tạo"
"TID_LEAVE_ALLIANCE_BUTTON","Rời đi"
"TID_JOIN_ALLIANCE_TAB","Gia nhập Hội"
"TID_CREATE_ALLIANCE_TAB","Tạo Hội"
"TID_MY_ALLIANCE_TAB","Hội của tôi"
"TID_ALLIANCE_BUTTON_EDIT","Chỉnh sửa"
"TID_ALLIANCE_CREATE_NAME","Tên Hội:"
"TID_ALLIANCE_CREATE_DESCRIPTION","Mô tả:"
"TID_ALLIANCE_CREATE_BADGE","Huy hiệu:"
"TID_ALLIANCE_CREATE_TYPE","Loại Hội:"
"TID_ALLIANCE_BADGE_BROWSE","Tìm duyệt"
"TID_ALLIANCE_TYPE_OPEN","Gia nhập tự do"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Chỉ dành cho người được mời"
"TID_ALLIANCE_TYPE_CLOSED","Hội kín"
"TID_TOO_SHORT_ALLIANCE_NAME","Tên hội quá ngắn!"
"TID_BACK_BUTTON","Quay lại"
"TID_ALLIANCE_SELECT_BADGE","Chỉnh sửa Huy hiệu Hội"
"TID_ALLIANCE_JOIN_BUTTON","Gia nhập"
"TID_ALLIANCE_JOIN_OK","Giờ bạn đã là thành viên của hội <name>!"
"TID_ALLIANCE_CREATE_OK","Bạn đã thành lập một hội mới!"
"TID_ALLIANCE_BUTTON_LEAVE","Rời đi"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","Rời khỏi Hội?"
"TID_ALLIANCE_LEAVE_CONFIRMATION","Bạn có thực sự muốn rời khỏi hội không?"
"TID_ALLIANCE_ROLE_ADMIN","Huynh trưởng"
"TID_ALLIANCE_ROLE_LEADER","Thủ lĩnh"
"TID_ALLIANCE_ROLE_MEMBER","Hội viên"
"TID_ALLIANCE_PROMOTE_BUTTON","Thăng cấp lên <role>"
"TID_ALLIANCE_DEMOTE_BUTTON","Giáng cấp xuống <role>"
"TID_ALLIANCE_ACCEPTED_BY","Được chấp nhận bởi <name>"
"TID_ALLIANCE_REJECTED_BY","Bị từ chối bởi <name>"
"TID_ALLIANCE_REQUEST_SENT","Đã gửi yêu cầu!"
"TID_ALLIANCE_INVITATION_OK","Đã gửi lời mời thành công."
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","Không mời được, người chơi không có Hội Thành!"
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","Người chơi này đã gia nhập hội rồi!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","Bạn đã mời người chơi này rồi!"
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","Tôi muốn gia nhập hội của bạn"
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","Bạn có chấp nhận yêu cầu tham gia không?"
"TID_KICK_OUT_FROM_ALLIANCE","Khai trừ"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","Bạn có muốn từ chức không?"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","Bạn có muốn lập <name> làm Thủ lĩnh mới của Hội không?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","Có thăng cấp không?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","Bạn có muốn thăng cấp <name> lên Huynh trưởng Hội không?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","Có giáng cấp không?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","Bạn có muốn giáng cấp <name> xuống Hội Viên không?"
"TID_VISIT_BUTTON","Ghé thăm"
"TID_VIEW_PROFILE_BUTTON","Hồ sơ"
"TID_INVITE_BUTTON","Mời"
"TID_VIEW_ALLIANCE","Xem Hội"
"TID_SETTINGS_LANGUAGE","Ngôn ngữ"
"TID_SAVE_ALLIANCE_SETTINGS","Lưu"
"TID_STREAM_DONATE_TEXT","cần tiếp viện"
"TID_STREAM_DONATE_BUTTON","Đóng góp"
"TID_ALLIANCE_DONATE_HEADER","Đóng góp Quân tiếp viện"
"TID_BUTTON_REQUEST_TROOPS","Yêu cầu"
"TID_TROOP_REQUEST_SENT","Đã gửi yêu cầu!"
"TID_ALLIANCE_STREAM_THANKS","Cảm ơn bạn đã gửi tiếp viện!"
"TID_ALLIANCE_TROOP_RECEIVED","Bạn đã nhận được <troop> cấp <level> từ <avatar>!"
"TID_BARBARIAN","Man di"
"TID_ARCHER","Cung thủ"
"TID_GIANT","Khổng nhân"
"TID_DRAGON","Rồng"
"TID_PEKKA","P.E.K.K.A"
"TID_GOBLIN","Yêu tinh"
"TID_WALL_BREAKER","Công thành Binh"
"TID_GOBLIN_BALLOON","Khinh khí cầu"
"TID_HEALER","Thầy thuốc"
"TID_WIZARD","Pháp sư"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","Hội Thành đã đầy!"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","Bạn cần phải chờ rồi mới được xin thêm tiếp viện."
"TID_ALLIANCE_STREAM_REWARD","Bạn đã nhận được <number> điểm kinh nghiệm"
"TID_HOUSING_TROOPS_INSIDE","Toàn bộ binh lính:"
"TID_UNIT_STORAGE_CAPACITY","Sức chứa binh lính: <number>"
"TID_REGENERATION_TIME","Thời gian phục hồi: <number> phút"
"TID_HITPOINTS","Máu: <number>"
"TID_DPS","Sát thương mỗi giây: <number>"
"TID_BURST_SIZE","Hỏa lực dồn: <number> phát bắn"
"TID_HEAL","Chữa lành: <number>"
"TID_TRAIN_COST","Chi phí Huấn luyện: <number> <resource>"
"TID_RESOURCE_STORAGE_CAPACITY","Sức chứa: <number>"
"TID_PRODUCTION_RATE","Tốc độ sản xuất: <number> mỗi giờ"
"TID_PRODUCTION_CAPACITY","Sức chứa: <number>"
"TID_TRAINING_TIME","Thời gian huấn luyện: <number>"
"TID_TRAINING_TIME_REDUCTION","Giảm thời gian huấn luyện: <number>"
"TID_HOUSING_INFO","Binh lính của bạn đóng quân trong Doanh trại Quân đội. Hãy xây dựng thêm doanh trại và nâng cấp chúng để tập hợp một đội quân hùng mạnh."
"TID_TOWN_HALL_INFO","Đây là điểm trọng yếu của làng. Nâng cấp Nhà chính sẽ mở khóa các phòng thủ, công trình, bẫy mới và nhiều thứ khác.\nPhá hủy Nhà chính của đối thủ giúp bạn thắng trận và được một Sao. Phá hủy 50% số công trình của đối phương giúp bạn đạt được Sao thứ hai, và hủy diệt 100% mang lại cho bạn cả ba Sao.\nLưu ý, kẻ thù cũng sẽ tìm cách phá hủy Nhà chính của bạn!\nĐể bảo vệ tối đa, hãy đặt Nhà chính ở giữa làng và bảo vệ bằng tường, bẫy cùng các công trình phòng thủ. Kẻ thù của bạn đang rình rập và có thể tấn công từ bất kỳ hướng nào!"
"TID_ELIXIR_PUMP_INFO","Tiên dược được bơm từ Mạch Ngầm chảy dưới làng của bạn. Hãy nâng cấp Máy hút Tiên dược để tối đa hóa hoạt động sản xuất tiên dược."
"TID_ELIXIR_STORAGE_INFO","Những nhà kho này chứa tiên dược được bơm lên từ dưới lòng đất. Hãy nâng cấp chúng để tăng tối đa lượng tiên dược bạn có thể lưu trữ."
"TID_GOLD_MINE_INFO","Mỏ vàng sản xuất ra vàng. Hãy nâng cấp mỏ để đẩy mạnh sản xuất và tăng sức chứa vàng."
"TID_GOLD_STORAGE_INFO","Tất cả số vàng quý giá của bạn được cất giữ ở đây. Đừng để bọn yêu tinh lén lút lại gần! Hãy nâng cấp kho chứa để tăng sức chứa và khả năng trụ vững trước đợt tấn công."
"TID_BARRACK_INFO","Trại lính cho phép bạn huấn luyện binh lính để tấn công kẻ thù. Hãy nâng cấp Trại lính để mở khóa các đội quân cấp cao giúp tăng khả năng giành chiến thắng hùng tráng hơn."
"TID_BASIC_TURRET_INFO","Đại bác là vũ khí phù hợp cho phòng ngự điểm. Hãy nâng cấp đại bác để tăng hỏa lực, tuy nhiên, cần nhớ rằng trong khi đang nâng cấp thì các trụ phòng thủ của bạn không thể khai hỏa được!"
"TID_ARCHER_TOWER_INFO","Tháp Cung thủ có tầm bắn xa hơn đại bác, nhưng khác với đại bác, loại tháp này có thể tấn công kẻ thù trên không."
"TID_WIZARD_TOWER_INFO","Lớp Phòng vệ Bí ẩn Tối thượng! Pháp sư trong tháp niệm những câu thần chú đầy quyền năng nhắm đến binh lính cả trên không lẫn trên bộ."
"TID_TESLA_TOWER_INFO","Hãy đặt một chiếc bẫy chết người với Tháp Hồ quang điện ẩn! Các Pháp sư của chúng ta đã phong ấn một đám mây bão vào trong những tòa tháp ma mãnh này. Khi quân địch đi hoặc bay đến đủ gần, tòa tháp sẽ bật ra và nướng cháy kẻ địch bằng Luồng điện!"
"TID_AIR_DEFENSE_INFO","Tháp phòng không khắc chế hiệu quả kẻ địch trên không nhưng không thể xử lý các mục tiêu trên bộ. Hãy bố trí một cách thông minh để bảo vệ không phận rộng nhất có thể."
"TID_MORTAR_INFO","Súng cối có thể tàn sát các toán quân địch với các đòn tấn công lan bằng đạn pháo. Đừng để quân địch tiếp cận quá gần khẩu pháo này!"
"TID_ALLIANCE_CASTLE_INFO","Hội Thành là nơi cất trữ Ngân khố cũng như binh lính tiếp viện hoặc thần chú do các chiến hữu đồng hội gửi cho bạn."
"TID_WORKER_INFO","Không thể làm được gì ở đây nếu không có Thợ xây! Bạn có thể thuê thêm thợ xây để bắt đầu nhiều dự án xây dựng hoặc đẩy nhanh tốc độ làm việc của họ bằng ngọc xanh."
"TID_LABORATORY_INFO","Các Pháp sư giấu những bí mật đen tối gì trong Phòng thí nghiệm? Không ai dám tìm hiểu cả. Tất cả những gì chúng ta biết là nghiên cứu của họ giúp thần chú và binh lính của chúng ta vững vàng hơn, tinh nhuệ hơn, nhanh hơn và mạnh hơn!"
"TID_STREAM_SENDER_YOU","Bạn"
"TID_SHIELD_ACTIVATED","Khiên chắn của đối thủ được kích hoạt trong <hours> giờ"
"TID_STREAM_ENTRY_AGE","<time> trước"
"TID_UPGRADE_WINDOW_NOTE","Lưu ý!"
"TID_OBSTACLE_CLEAR_TIME","Thời gian loại bỏ"
"TID_UPGRADE_TIME","Thời gian nâng cấp"
"TID_BUILD_TIME","Thời gian xây dựng"
"TID_GEAR_UP_TIME","Thời gian Củng cố"
"TID_UNLOCK_BUILDINGS","Mở khóa Công trình:"
"TID_REQUIRED_EXP_LEVEL","Yêu cầu Kinh nghiệm Cấp <number>"
"TID_REQUIRED_TOWN_HALL_LEVEL","Yêu cầu Nhà chính Cấp <number>"
"TID_REQUIRED_BUILDERS_HALL_LEVEL","Cần có Hội trường Thợ xây cấp <number>"
"TID_REQUIRED_CASTLE_LEVEL","Yêu cầu Hội Thành Cấp <number>"
"TID_REQUIRED_BARRACK_LEVEL","Yêu cầu Trại lính cấp <number>"
"TID_REQUIRED_DARK_BARRACK_LEVEL","Yêu cầu phải có Trại lính Hắc ám cấp <number>"
"TID_REQUIRED_LABORATORY_LEVEL","Yêu cầu Phòng thí nghiệm Cấp <number>"
"TID_INFO_PREFERRED_TARGET","Mục tiêu ưa thích:"
"TID_PREFERRED_TARGET_ANY","Bất kỳ"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","(Sát thương x<number>)"
"TID_INFO_TARGET_TYPE","Mục tiêu:"
"TID_INFO_DAMAGE_TYPE","Loại sát thương:"
"TID_INFO_HEAL_TYPE","Kiểu chữa lành:"
"TID_INFO_HOUSING","Không gian chiếm dụng:"
"TID_INFO_TRAINING_TIME","Thời gian huấn luyện:"
"TID_INFO_RANGE","Phạm vi:"
"TID_INFO_TARGET_TYPE_GROUND","Trên bộ"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","Trên bộ & Trên không"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","Trên bộ hoặc Trên không"
"TID_INFO_TARGET_TYPE_AIR","Trên không"
"TID_INFO_DAMAGE_TYPE_AOE","Lan theo khu vực"
"TID_INFO_DAMAGE_TYPE_SINGLE","Mục tiêu đơn"
"TID_INFO_RANGE_VALUE","<number> Ô"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","<item> đã được nâng lên cấp <level>"
"TID_LOCAL_NOTIFICATION_BUILDING_READY","Công trình xây dựng <item> đã hoàn thành"
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","Đã có thưởng sao! Đến lúc chiến đấu rồi!"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","Chỉ huy, Khiên chắn của chúng ta đã hết hiệu lực!"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","Ôi trời, bạn đã quên không huấn luyện quân đội của mình rồi ư?"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","Ôi trời, bạn đã quên không luyện các câu thần chú của mình rồi ư?"
"TID_NEW","Mới"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","Bạn có muốn ngừng xây dựng không?"
"TID_POPUP_CANCEL_CONSTRUCTION","Bạn có thực sự muốn ngừng xây dựng <item> không? Bạn sẽ chỉ được hoàn lại <number>% chi phí."
"TID_POPUP_CANCEL_UPGRADE_TITLE","Ngừng nâng cấp?"
"TID_POPUP_CANCEL_UPGRADE","Bạn có thực sự muốn ngừng nâng cấp <item> không? Bạn sẽ chỉ được hoàn lại <number>% chi phí."
"TID_POPUP_CANCEL_CLEAR_TITLE","Dừng quá trình xóa bỏ?"
"TID_POPUP_CANCEL_CLEAR","Bạn có thực sự muốn dừng quá trình xóa bỏ <item> không?"
"TID_ALLIANCE_LEADERBOARDS","Các Hội dẫn đầu"
"TID_PLAYER_LEADERBOARDS","Người chơi Dẫn đầu"
"TID_AVAILABLE_LOOT","Chiến lợi phẩm hiện có:"
"TID_INFO","i"
"TID_ATTACK_BUTTON","Tấn công"
"TID_ALLIANCE_SNEAK_PREVIEW","Mở khóa Hội bằng cách xây dựng lại Hội Thành!\n\nChiến hữu đồng hội có thể giúp đỡ lẫn nhau cũng như đóng góp binh lính và thần chú tiếp viện."
"TID_BUILD_TIME_INSTANT","Không"
"TID_BUILDING_CAP_REACHED","Bạn đã xây dựng hết số lượng tối đa các công trình này."
"TID_DIAMONDS_FOUND","Bạn đã tìm thấy <number> viên ngọc trong <name>!"
"TID_DIAMOND_FOUND","Bạn đã tìm thấy một viên ngọc trong <name>!"
"TID_SHOP_CATEGORY_DECOS","Đồ trang trí"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","Tài nguyên"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","Quân đội"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","Phòng thủ"
"TID_SHOP_CATEGORY_TREASURE","Kho báu"
"TID_SHOP_CATEGORY_SHIELD","Khiên chắn"
"TID_SHOP_CATEGORY_BUILDERS","Thợ xây"
"TID_SHOP_CATEGORY_SPELLS","Thần chú"
"TID_SHOP_CATEGORY_TROOPS","Binh lính"
"TID_TRAINING_WARRIORS","Chiến binh:"
"TID_TRAINING_SLOTS","Chỗ huấn luyện:"
"TID_TOTAL_TRAINING_TIME","Tổng thời gian:"
"TID_FINISH_BUTTON","Hoàn tất"
"TID_TROOP_TRAINING_MAX","Tối đa"
"TID_UNCLOK_FROM_LABORATORY","Mở khóa từ Phòng thí nghiệm"
"TID_NOT_ENOUGH_HOUSING_SPACE","Bạn không có đủ chỗ trong Doanh trại Quân đội!"
"TID_UNLOCK_BUILDING_MULTIPLE","Mở khóa:"
"TID_UNLOCK_BARRACK_TROOP","Mở khóa <name>"
"TID_REDUCE_TIME_BARRACK_TROOP","Giảm thời gian huấn luyện trong:"
"TID_REDUCE_TIME_BARRACK_TROOP2","Thời gian huấn luyện mới: <num2>"
"TID_BUILDING_TEXT_FULL","Đầy!"
"TID_BUILDING_TEXT_TRAIN","Huấn luyện"
"TID_TRAINING_SLOT_STOPPED","Đã dừng lại!"
"TID_BUILDING_TEXT_ALERT","!!!"
"TID_TRAIN_ALL_HOUSINGS_FULL","Tất cả các Doanh trại đã đầy!"
"TID_TRAIN_ALL_HOUSINGS_FULL_INFO","Nâng cấp hoặc xây dựng Doanh trại Quân đội để chứa nhiều quân hơn, hoặc gửi họ đi chiến đấu!"
"TID_BUTTON_FIGHT","Bắt đầu!"
"TID_BATTLE_START_TIME","Trận chiến bắt đầu trong vòng:"
"TID_NEXT_MATCH","Tiếp theo"
"TID_END_BATTLE_BUTTON","Kết thúc Trận chiến"
"TID_SURRENDER_BUTTON","Đầu hàng"
"TID_TROOP_UPGRADE_TIME","Tổng thời gian:"
"TID_MAX_TROOP_LEVEL","Cấp độ Tối đa"
"TID_LEVEL_NUM","Cấp <number>"
"TID_BUTTON_UPGRADE_TROOPS","Nghiên cứu"
"TID_POPUP_UPGRADE_TROOP_TITLE","Chọn hạng mục cần nâng cấp"
"TID_TROOP_ALREADY_AT_MAX_LEVEL","Đơn vị này đã đạt cấp cao nhất!"
"TID_TROOP_UPGRADE_ALREADY_ONGOING","Đang trong quá trình nâng cấp."
"TID_TROOP_UPGRADE_COMPLETED","Đã hoàn thành nâng cấp: <item> Cấp <number>"
"TID_UNITS_LEFT","Còn lại <number>"
"TID_PLAYER_ATTACKING_YOU","Người chơi tấn công bạn:"
"TID_LOOT","Bạn đã mất tài nguyên:"
"TID_OUTCOME","Kết quả:"
"TID_YOU_LOST","Bạn đã phòng thủ thất bại"
"TID_YOU_WIN","Bạn đã phòng thủ thành công"
"TID_REVENGE","Trả thù"
"TID_JOINQUESTION","Bạn có muốn gia nhập hội không?"
"TID_TAP_TO_EXPAND","Nhấn để mở rộng"
