"TID","FI"
"TID_NO_TROOPS","Sinun täytyy ensiksi kouluttaa joukkoja."
"TID_NO_SPELLS","Sinun täytyy ensiksi valmistaa loitsuja."
"TID_ERROR_POP_UP_BANNED_TITLE","Tietoa tilistä"
"TID_ERROR_POP_UP_BANNED","Sinut on estetty väliaikaisesti."
"TID_ERROR_POP_UP_BANNED_BUTTON","OK"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Yhteysvirhe"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Yhteyden muodostaminen palvelimeen ei onnistu. Tarkista internet-yhteytesi ja kokeile uudelleen."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Yritä uudelleen"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Yhteys katkesi"
"TID_ERROR_POP_UP_CONNECTION_LOST","Yhteys palvelimeen katkesi. Tarkista internet-yhteytesi ja kokeile uudelleen."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Yritä uudelleen"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Onko siellä ketään?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Yhteys on katkaistu, koska et ole ollut aktiivinen."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Lataa peli uudelleen"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Kirjautuminen epäonnistui"
"TID_ERROR_POP_UP_LOGIN_FAILED","Yritä myöhemmin uudelleen."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Yritä uudelleen"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Uusi päivitys saatavilla!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Hyviä uutisia! Pelistä on saatavilla uusi versio!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Päivitä"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Virhe!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Asiakasta ja palvelinta ei ole synkronoitu! Uusi ohjelmistovirheiden korjauksia ja muita parannuksia sisältävä päivitys on saatavilla sovelluskaupassasi."
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Lataa peli uudelleen"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Huoltokatko"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Palvelimet ovat valitettavasti huollettavana. Yritä myöhemmin uudelleen."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Yritä uudelleen"
"TID_BUILDING_ALLIANCE_CASTLE","Klaanilinna"
"TID_BUILDING_ALLIANCE_MARKER","Klaanilippu"
"TID_COMM_MAST","Radiotorni"
"TID_TRAP_MINE","Pommi"
"TID_TRAP_EJECTOR","Heittoansa"
"TID_SHOP_GUARD_2H","Kahden tunnin suoja"
"TID_SHOP_SHIELD_1D","Yhden päivän kilpi"
"TID_SHOP_SHIELD_2D","Kahden päivän kilpi"
"TID_SHOP_SHIELD_7D","Yhden viikon kilpi"
"TID_ALLIANCE_MAIN_BUTTON","Klaani"
"TID_ALLIANCE_LIST_HEADER","Klaani"
"TID_CREATE_ALLIANCE_BUTTON","Luo"
"TID_LEAVE_ALLIANCE_BUTTON","Poistu"
"TID_JOIN_ALLIANCE_TAB","Liity klaaniin"
"TID_CREATE_ALLIANCE_TAB","Luo klaani"
"TID_MY_ALLIANCE_TAB","Oma klaani"
"TID_ALLIANCE_BUTTON_EDIT","Muokkaa"
"TID_ALLIANCE_CREATE_NAME","Klaanin nimi"
"TID_ALLIANCE_CREATE_DESCRIPTION","Kuvaus"
"TID_ALLIANCE_CREATE_BADGE","Vaakuna"
"TID_ALLIANCE_CREATE_TYPE","Klaanityyppi"
"TID_ALLIANCE_BADGE_BROWSE","Selaa"
"TID_ALLIANCE_TYPE_OPEN","Avoin kaikille"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Vain kutsutuille"
"TID_ALLIANCE_TYPE_CLOSED","Suljettu"
"TID_TOO_SHORT_ALLIANCE_NAME","Klaanin nimi on liian lyhyt!"
"TID_BACK_BUTTON","Takaisin"
"TID_ALLIANCE_SELECT_BADGE","Muokkaa klaanin vaakunaa."
"TID_ALLIANCE_JOIN_BUTTON","Liity"
"TID_ALLIANCE_JOIN_OK","Olet nyt klaanin <name> jäsen!"
"TID_ALLIANCE_CREATE_OK","Klaanin perustaminen onnistui!"
"TID_ALLIANCE_BUTTON_LEAVE","Poistu"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","Poistu klaanista?"
"TID_ALLIANCE_LEAVE_CONFIRMATION","Haluatko varmasti poistua?"
"TID_ALLIANCE_ROLE_ADMIN","Kunniajäsen"
"TID_ALLIANCE_ROLE_LEADER","Johtaja"
"TID_ALLIANCE_ROLE_MEMBER","Jäsen"
"TID_ALLIANCE_PROMOTE_BUTTON","Ylennä rooliin <role>"
"TID_ALLIANCE_DEMOTE_BUTTON","Alenna rooliin <role>"
"TID_ALLIANCE_ACCEPTED_BY","<name> hyväksyi pyynnön."
"TID_ALLIANCE_REJECTED_BY","<name> hylkäsi pyynnön."
"TID_ALLIANCE_REQUEST_SENT","Pyyntö lähetettiin."
"TID_ALLIANCE_INVITATION_OK","Kutsun lähetys onnistui."
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","Kutsua ei voida lähettää. Pelaajalla ei ole klaanilinnaa."
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","Pelaaja on jo liittynyt klaaniin."
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","Olet jo kutsunut tämän pelaajan."
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","Haluaisin liittyä klaaniinne."
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","Hyväksy liittymispyyntö?"
"TID_KICK_OUT_FROM_ALLIANCE","Poista"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","Luovu paikasta?"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","Tee pelaajasta <name> klaanin uusi johtaja?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","Ylennä?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","Ylennä <name> kunniajäseneksi?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","Alenna?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","Alenna <name> tavalliseksi jäseneksi?"
"TID_VISIT_BUTTON","Vieraile"
"TID_VIEW_PROFILE_BUTTON","Profiili"
"TID_INVITE_BUTTON","Kutsu"
"TID_VIEW_ALLIANCE","Näytä klaani"
"TID_SETTINGS_LANGUAGE","Kieli"
"TID_SAVE_ALLIANCE_SETTINGS","Tallenna"
"TID_STREAM_DONATE_TEXT","tarvitsee vahvistusjoukkoja."
"TID_STREAM_DONATE_BUTTON","Lahjoita"
"TID_ALLIANCE_DONATE_HEADER","Lahjoita vahvistusjoukkoja"
"TID_BUTTON_REQUEST_TROOPS","Pyydä"
"TID_TROOP_REQUEST_SENT","Pyyntö lähetettiin."
"TID_ALLIANCE_STREAM_THANKS","Kiitos vahvistusjoukoista!"
"TID_ALLIANCE_TROOP_RECEIVED","Sait lahjoituksen pelaajalta <avatar>: tason <level> <troop>!"
"TID_BARBARIAN","Barbaari"
"TID_ARCHER","Jousiampuja"
"TID_GIANT","Jätti"
"TID_DRAGON","Lohikäärme"
"TID_PEKKA","P.E.K.K.A."
"TID_GOBLIN","Hiisi"
"TID_WALL_BREAKER","Muurinmurtaja"
"TID_GOBLIN_BALLOON","Kuumailmapallo"
"TID_HEALER","Parantaja"
"TID_WIZARD","Velho"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","Klaanilinna on jo täynnä!"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","Sinun täytyy odottaa ennen kuin voit pyytää lisää vahvistusjoukkoja."
"TID_ALLIANCE_STREAM_REWARD","Sait <number> kokemuspistettä"
"TID_HOUSING_TROOPS_INSIDE","Kaikki joukot"
"TID_UNIT_STORAGE_CAPACITY","Joukkokapasiteetti: <number>"
"TID_REGENERATION_TIME","Elpymisaika: <number> min"
"TID_HITPOINTS","Elämäpisteet: <number>"
"TID_DPS","Tuho sekuntia kohden: <number>"
"TID_BURST_SIZE","Sarjatulen ammusmäärä: <number>"
"TID_HEAL","Parannus: <number>"
"TID_TRAIN_COST","Koulutuskulut: <number> x <resource>"
"TID_RESOURCE_STORAGE_CAPACITY","Varastotila: <number>"
"TID_PRODUCTION_RATE","Tuotantonopeus: <number> tunnissa"
"TID_PRODUCTION_CAPACITY","Kapasiteetti: <number>"
"TID_TRAINING_TIME","Koulutusaika: <number>"
"TID_TRAINING_TIME_REDUCTION","Koulutusajan lyhennys: <number>"
"TID_HOUSING_INFO","Joukkosi asuvat leireillä. Rakenna lisää leirejä ja päivitä niitä kootaksesi vahvan armeijan."
"TID_TOWN_HALL_INFO","Päärakennus on kyläsi sydän. Päivittämällä sitä saat uusia puolustusaseita, rakennuksia, ansoja ja paljon muuta.\nKun tuhoat taistelussa vastustajan päärakennuksen, saat yhden tähden. Kun tuhoat 50 % vihollisen rakennuksista, saat toisen tähden. Täydet kolme tähteä saat, kun jyräät koko viholliskylän maan tasalle.\nOle varuillasi, sillä vihollisjoukot yrittävät myös tuhota päärakennuksesi!\nSijoita se siis keskelle kylääsi ja suojaa se muureilla, ansoilla ja puolustusrakennuksilla suojan maksimoimiseksi. Vihollisjoukot ovat petollista porukkaa ja voivat hyökätä miltä suunnalta tahansa!"
"TID_ELIXIR_PUMP_INFO","Eliksiiri pumpataan suoraan maagisesta maaperästä, jonka päälle kyläsi on rakennettu. Päivitä eliksiiripumppusi maksimoidaksesi eliksiirin tuotanto."
"TID_ELIXIR_STORAGE_INFO","Nämä säiliöt sisältävät maan uumenista pumpattua eliksiiriä. Säiliöitä päivittämällä saat lisää varastointitilaa."
"TID_GOLD_MINE_INFO","Kultakaivos tuottaa kultaa. Kaivosta päivittämällä lisäät sen tuotantotehoa ja saat enemmän varastointitilaa."
"TID_GOLD_STORAGE_INFO","Kaikki kallisarvoinen kultasi on varastoitu tänne. Älä päästä ahneita hiisiä lähellekään! Päivitä varastoa kasvattaaksesi sen varastointitilaa ja parantaaksesi sen kestävyyttä vihollisen hyökkäyksissä."
"TID_BARRACK_INFO","Parakeissa voit kouluttaa joukkosi taistelemaan vihollista vastaan. Päivittämällä parakkeja saat käyttöösi taidokkaampia yksiköitä, jotka vievät sinut voittoon tiukimmissakin taisteluissa."
"TID_BASIC_TURRET_INFO","Tykit ovat hyviä täsmäaseita. Päivittämällä tykkejä lisäät niiden tulitehoa. Huomaa kuitenkin, että puolustusrakennukset eivät voi ampua päivityksen aikana!"
"TID_ARCHER_TOWER_INFO","Jousiampujatornien kantama on pidempi kuin tykkien ja, toisin kuin tykit, ne voivat ampua myös vihollisen ilmajoukkoja."
"TID_WIZARD_TOWER_INFO","Hän on kylän mystisin mies! Velhotornista satelee tehokkaita aluetuhoa tekeviä loitsuja, joiden kohteina ovat sekä maa- että ilmajoukot."
"TID_TESLA_TOWER_INFO","Kätketty tesla on salakavala tappokone! Velhomme ovat vanginneet ukkospilven jokaiseen teslatorniin. Kun vihollinen kävelee tai lentää teslan ohi, se syöksyy maan alta ja kärventää vihollisen sähkökipinän voimalla."
"TID_AIR_DEFENSE_INFO","Tämä tappava ilmatorjuntatorni laittaa lentävät viholliset huutamaan maydayta, mutta ei pysty puolustamaan maajoukkoja vastaan. Sijoita se harkiten suojaamaan mahdollisimman suurta ilmatilaa."
"TID_MORTAR_INFO","Mörssäri laittaa lakoon vihollislaumoja patruunoidensa aiheuttamalla aluetuholla. Älä päästä vihollista liian lähelle mörssäriäsi!"
"TID_ALLIANCE_CASTLE_INFO","Klaanilinna sisältää aarrekammiosi sekä kaikki klaanikavereilta saamasi vahvistusjoukot ja loitsut."
"TID_WORKER_INFO","Rakentajat laittavat kyläsi kuntoon! Voit palkata lisää rakentajia aloittaaksesi useita rakennusurakoita samanaikaisesti tai nopeuttaa heidän työtään käyttämällä vihreitä jalokiviä."
"TID_LABORATORY_INFO","Mitä synkkiä salaisuuksia velhot mahtavat piilotella laboratoriossaan? Se on kylän suurin mysteeri. Ainoa varma tieto on, että heidän käsissään loitsumme ja joukkomme muuttuvat paremmiksi, nopeammiksi ja tehokkaammiksi!"
"TID_STREAM_SENDER_YOU","Sinä"
"TID_SHIELD_ACTIVATED","Vastustajan kilpi on aktivoitu <hours> tunniksi."
"TID_STREAM_ENTRY_AGE","<time> sitten"
"TID_UPGRADE_WINDOW_NOTE","Huomaa:"
"TID_OBSTACLE_CLEAR_TIME","Poistoaika"
"TID_UPGRADE_TIME","Päivitysaika"
"TID_BUILD_TIME","Rakennusaika"
"TID_GEAR_UP_TIME","Varustusaika"
"TID_UNLOCK_BUILDINGS","Avaa nämä rakennukset:"
"TID_REQUIRED_EXP_LEVEL","Vaatii kokemustason <number>."
"TID_REQUIRED_TOWN_HALL_LEVEL","Vaatii tason <number> päärakennuksen."
"TID_REQUIRED_BUILDERS_HALL_LEVEL","Vaatii tason <number> rakentajan talon."
"TID_REQUIRED_CASTLE_LEVEL","Vaatii tason <number> klaanilinnan."
"TID_REQUIRED_BARRACK_LEVEL","Vaatii tason <number> parakin."
"TID_REQUIRED_DARK_BARRACK_LEVEL","Vaatii tason <number> mustan parakin."
"TID_REQUIRED_LABORATORY_LEVEL","Vaatii tason <number> laboratorion."
"TID_INFO_PREFERRED_TARGET","Suosikkikohde"
"TID_PREFERRED_TARGET_ANY","Mikä tahansa"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","(tuho x <number>)"
"TID_INFO_TARGET_TYPE","Kohteet"
"TID_INFO_DAMAGE_TYPE","Tuhotyyppi"
"TID_INFO_HEAL_TYPE","Parannustyyppi"
"TID_INFO_HOUSING","Joukkojen paikat"
"TID_INFO_TRAINING_TIME","Koulutusaika"
"TID_INFO_RANGE","Kantama"
"TID_INFO_TARGET_TYPE_GROUND","Maa"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","Maa ja ilma"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","Maa tai ilma"
"TID_INFO_TARGET_TYPE_AIR","Ilma"
"TID_INFO_DAMAGE_TYPE_AOE","Aluevaikutus"
"TID_INFO_DAMAGE_TYPE_SINGLE","Yksittäiskohde"
"TID_INFO_RANGE_VALUE","<number> ruutua"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","<item> päivitetty tasolle <level>."
"TID_LOCAL_NOTIFICATION_BUILDING_READY","<item> on rakennettu valmiiksi."
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","Tähtipalkinto on saatavilla! Aika lähteä hyökkäykseen!"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","Päällikkö, kilpemme aika on päättynyt!"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","Hups, unohditko kouluttaa joukkosi?"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","Hups, unohditko valmistaa loitsusi?"
"TID_NEW","Uusi"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","Lopeta rakentaminen?"
"TID_POPUP_CANCEL_CONSTRUCTION","Haluatko varmasti keskeyttää kohteen <item> rakentamisen? Kuluista palautetaan vain <number> %."
"TID_POPUP_CANCEL_UPGRADE_TITLE","Pysäytä päivitys?"
"TID_POPUP_CANCEL_UPGRADE","Haluatko varmasti keskeyttää kohteen <item> päivittämisen? Kuluista palautetaan vain <number> %."
"TID_POPUP_CANCEL_CLEAR_TITLE","Pysäytä poistaminen?"
"TID_POPUP_CANCEL_CLEAR","Haluatko varmasti keskeyttää kohteen <item> poistamisen?"
"TID_ALLIANCE_LEADERBOARDS","Parhaat klaanit"
"TID_PLAYER_LEADERBOARDS","Parhaat pelaajat"
"TID_AVAILABLE_LOOT","Saalista saatavilla"
"TID_INFO","i"
"TID_ATTACK_BUTTON","Hyökkää"
"TID_ALLIANCE_SNEAK_PREVIEW","Avaa klaanit kunnostamalla klaanilinna.\n\nKlaanikaverit auttavat toisiaan lahjoittamalla joukkoja ja loitsuja."
"TID_BUILD_TIME_INSTANT","Ei mitään"
"TID_BUILDING_CAP_REACHED","Olet jo rakentanut enimmäismäärän näitä rakennuksia."
"TID_DIAMONDS_FOUND","<name>: Kätköstä löytyi <number> jalokiveä!"
"TID_DIAMOND_FOUND","<name>: Kätköstä löytyi yksi jalokivi!"
"TID_SHOP_CATEGORY_DECOS","Koristeet"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","Resurssit"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","Armeija"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","Puolustus"
"TID_SHOP_CATEGORY_TREASURE","Aarteet"
"TID_SHOP_CATEGORY_SHIELD","Kilvet"
"TID_SHOP_CATEGORY_BUILDERS","Rakentajat"
"TID_SHOP_CATEGORY_SPELLS","Loitsut"
"TID_SHOP_CATEGORY_TROOPS","Joukot"
"TID_TRAINING_WARRIORS","Soturit"
"TID_TRAINING_SLOTS","Koulutuspaikat"
"TID_TOTAL_TRAINING_TIME","Kokonaisaika"
"TID_FINISH_BUTTON","Viimeistele"
"TID_TROOP_TRAINING_MAX","Enintään"
"TID_UNCLOK_FROM_LABORATORY","Avaa laboratoriossa"
"TID_NOT_ENOUGH_HOUSING_SPACE","Leireilläsi ei ole tarpeeksi tilaa!"
"TID_UNLOCK_BUILDING_MULTIPLE","Avaa"
"TID_UNLOCK_BARRACK_TROOP","<name> avautuu"
"TID_REDUCE_TIME_BARRACK_TROOP","Lyhentää koulutusaikaa"
"TID_REDUCE_TIME_BARRACK_TROOP2","Uusi koulutusaika: <num2>"
"TID_BUILDING_TEXT_FULL","Täynnä!"
"TID_BUILDING_TEXT_TRAIN","Kouluta"
"TID_TRAINING_SLOT_STOPPED","Pysäytetty!"
"TID_BUILDING_TEXT_ALERT","!!!"
"TID_TRAIN_ALL_HOUSINGS_FULL","Kaikki leirit ovat täynnä!"
"TID_TRAIN_ALL_HOUSINGS_FULL_INFO","Päivitä tai rakenna leirejä majoittaaksesi lisää joukkoja tai lähettääksesi ne taisteluun!"
"TID_BUTTON_FIGHT","Aloita!"
"TID_BATTLE_START_TIME","Taistelun alkamiseen"
"TID_NEXT_MATCH","Seuraava"
"TID_END_BATTLE_BUTTON","Keskeytä"
"TID_SURRENDER_BUTTON","Antaudu"
"TID_TROOP_UPGRADE_TIME","Kokonaisaika"
"TID_MAX_TROOP_LEVEL","Korkein taso"
"TID_LEVEL_NUM","Taso <number>"
"TID_BUTTON_UPGRADE_TROOPS","Päivitä"
"TID_POPUP_UPGRADE_TROOP_TITLE","Valitse päivitettävä kohde"
"TID_TROOP_ALREADY_AT_MAX_LEVEL","Yksikkö on jo päivitetty korkeimmalle tasolleen!"
"TID_TROOP_UPGRADE_ALREADY_ONGOING","Päivitys on jo käynnissä."
"TID_TROOP_UPGRADE_COMPLETED","Päivitys suoritettu: <item>, taso <number>"
"TID_UNITS_LEFT","<number> jäljellä"
"TID_PLAYER_ATTACKING_YOU","Kylääsi hyökkäävät pelaajat"
"TID_LOOT","Hävityt resurssisi"
"TID_OUTCOME","Lopputulos"
"TID_YOU_LOST","Puolustuksesi hävisi."
"TID_YOU_WIN","Puolustuksesi voitti."
"TID_REVENGE","Kosta"
"TID_JOINQUESTION","Haluatko liittyä?"
"TID_TAP_TO_EXPAND","Napauta ja laajenna."
"TID_BUY_MISSING_RESOURCES_HEADER","Tarvitset lisää <resource>"
"TID_BUY_MISSING_RESOURCES_TEXT","Ostetaanko puuttuvat resurssit: <count> <resource>?"
"TID_BUY_MISSING_RESOURCES_HEADER_TWO","Tarvitset lisää resursseja"
"TID_BUY_MISSING_RESOURCES_TEXT_TWO","Ostetaanko puuttuvat resurssit: <count> <resource> ja <count2> <resource2>?"
"TID_BUY_RESOURCE_PACK_HEADER","Osta <resource>?"
"TID_BUY_RESOURCE_PACK_TEXT","Haluatko varmasti ostaa <count> <resource>?"
"TID_BUY_GUARD_HEADER","Osta suoja?"
"TID_BUY_SHIELD_HEADER","Osta kilpi?"
"TID_BUY_SHIELD_TEXT","Haluatko varmasti ostaa tämän: <name>?"
"TID_RESOURCE_PACK_LOCKED","Varastotila ei riitä!"
"TID_STAR1","Upeaa!"
"TID_STAR2","Mahtavaa!"
"TID_STAR3","Erinomaista!"
"TID_OVERALL_DAMAGE","Kokonaistuho"
"TID_VILLAGE_GUARD_TITLE","Suoja"
"TID_SHIELD_TITLE","Kilpi"
"TID_SHIELD_NONE","Ei mitään"
"TID_BATTLE_LOG","Taistelut"
"TID_BATTLE_INBOX","Viestit"
"TID_VICTORY","Voitto"
"TID_DEFEAT","Tappio"
