"TID","KR"
"TID_CREATE_ALLIANCE_BUTTON","생성"
"TID_LEAVE_ALLIANCE_BUTTON","탈퇴"
"TID_JOIN_ALLIANCE_TAB","클랜 가입"
"TID_CREATE_ALLIANCE_TAB","클랜 생성"
"TID_MY_ALLIANCE_TAB","내 클랜"
"TID_ALLIANCE_BUTTON_EDIT","편집"
"TID_ALLIANCE_CREATE_NAME","클랜 이름:"
"TID_ALLIANCE_CREATE_DESCRIPTION","설명:"
"TID_ALLIANCE_CREATE_BADGE","배지:"
"TID_ALLIANCE_CREATE_TYPE","클랜 유형"
"TID_ALLIANCE_BADGE_BROWSE","검색"
"TID_ALLIANCE_TYPE_OPEN","공개"
"TID_ALLIANCE_TYPE_INVITE_ONLY","초대 한정"
"TID_ALLIANCE_TYPE_CLOSED","비공개"
"TID_TOO_SHORT_ALLIANCE_NAME","클랜 이름이 너무 짧습니다!"
"TID_BACK_BUTTON","뒤로"
"TID_ALLIANCE_SELECT_BADGE","클랜 배지 편집"
"TID_ALLIANCE_JOIN_BUTTON","가입"
"TID_ALLIANCE_JOIN_OK","<name> 클랜에 가입했습니다!"
"TID_ALLIANCE_CREATE_OK","새로운 클랜을 생성했습니다!"
"TID_ALLIANCE_BUTTON_LEAVE","탈퇴"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","클랜 탈퇴"
"TID_ALLIANCE_LEAVE_CONFIRMATION","정말 탈퇴할까요?"
"TID_ALLIANCE_ROLE_ADMIN","장로"
"TID_ALLIANCE_ROLE_LEADER","대표"
"TID_ALLIANCE_ROLE_MEMBER","멤버"
"TID_ALLIANCE_PROMOTE_BUTTON","<role>로 승급"
"TID_ALLIANCE_DEMOTE_BUTTON","<role>로 강등"
"TID_ALLIANCE_ACCEPTED_BY","<name> 님이 수락했습니다."
"TID_ALLIANCE_REJECTED_BY","<name> 님이 거절했습니다."
"TID_ALLIANCE_REQUEST_SENT","요청을 보냈습니다!"
"TID_ALLIANCE_INVITATION_OK","초대장 전송 완료"
"TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE","클랜 성을 수리하지 않은 플레이어는 초대할 수 없습니다!"
"TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE","이미 다른 클랜에 가입한 플레이어입니다!"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE","이미 초대한 플레이어입니다!"
"TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE","대장님의 클랜에 가입하고 싶습니다."
"TID_ACCEPT_ALLIANCE_JOIN_REQUEST","가입 신청을 승인할까요?"
"TID_KICK_OUT_FROM_ALLIANCE","추방"
"TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE","사퇴"
"TID_PROMOTE_TO_LEADER_CONFIRMATION","<name> 님을 새로운 클랜 대표로 임명할까요?"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE","승급 확인"
"TID_PROMOTE_TO_ADMIN_CONFIRMATION","<name> 님을 클랜 장로로 임명할까요?"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE","강등 확인"
"TID_DEMOTE_TO_MEMBER_CONFIRMATION","<name> 님을 클랜원으로 강등할까요?"
"TID_VISIT_BUTTON","방문"
"TID_VIEW_PROFILE_BUTTON","프로필"
"TID_INVITE_BUTTON","초대"
"TID_VIEW_ALLIANCE","클랜 보기"
"TID_SETTINGS_LANGUAGE","언어"
"TID_SAVE_ALLIANCE_SETTINGS","저장"
"TID_STREAM_DONATE_TEXT","지원군을 요청했습니다."
"TID_STREAM_DONATE_BUTTON","지원"
"TID_ALLIANCE_DONATE_HEADER","지원군 지원"
"TID_BUTTON_REQUEST_TROOPS","요청"
"TID_TROOP_REQUEST_SENT","요청을 보냈습니다!"
"TID_ALLIANCE_STREAM_THANKS","지원군을 보내주셔서 감사합니다!"
"TID_ALLIANCE_TROOP_RECEIVED","<avatar> 님으로부터 <troop> <level>레벨을 받았습니다!"
"TID_BARBARIAN","바바리안"
"TID_ARCHER","아처"
"TID_GIANT","자이언트"
"TID_DRAGON","드래곤"
"TID_PEKKA","P.E.K.K.A"
"TID_GOBLIN","고블린"
"TID_WALL_BREAKER","해골 돌격병"
"TID_GOBLIN_BALLOON","해골 비행선"
"TID_HEALER","치유사"
"TID_WIZARD","마법사"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","클랜 성이 이미 가득 찼습니다!"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","유닛을 더 요청하려면 기다려야 합니다."
"TID_ALLIANCE_STREAM_REWARD","<number> XP를 획득했습니다."
"TID_HOUSING_TROOPS_INSIDE","주둔 유닛:"
"TID_UNIT_STORAGE_CAPACITY","수용 유닛: <number>"
"TID_REGENERATION_TIME","회복 시간: <number>분"
"TID_HITPOINTS","HP: <number>"
"TID_DPS","초당 공격력: <number>"
"TID_BURST_SIZE","점사: <number>발"
"TID_HEAL","치유력: <number>"
"TID_TRAIN_COST","훈련 비용: <number> <resource>"
"TID_RESOURCE_STORAGE_CAPACITY","저장 용량: <number>"
"TID_PRODUCTION_RATE","생산량: 시간당 <number>"
"TID_PRODUCTION_CAPACITY","용량: <number>"
"TID_TRAINING_TIME","훈련 시간: <number>"
"TID_TRAINING_TIME_REDUCTION","훈련 시간 감소: <number>"
"TID_HOUSING_INFO","유닛은 집합소로 집결합니다. 집합소를 더 건설하고 업그레이드하여 강력한 군대를 양성하세요."
"TID_TOWN_HALL_INFO","마을의 핵심 건물입니다. 업그레이드하면 새로운 방어 시설, 건물, 함정, 기타 등등을 사용할 수 있습니다.\n공격 시 적의 마을회관을 파괴하면 별 한 개를 확보하고 승리를 확정 짓습니다. 적 건물의 50%를 파괴하면 두 번째 별을 확보하며, 100%를 파괴하면 별 3개를 모두 확보합니다.\n상대도 여러분의 마을회관을 파괴하려 할 테니 조심해야 합니다!\n마을회관을 완전하게 보호하기 위해 마을의 중심에 위치시키고 장벽과 함정, 그리고 방어 시설로 보호하세요. 교활한 적은 모든 방향에서 공격해올 수 있습니다!"
"TID_ELIXIR_PUMP_INFO","엘릭서는 마을 아래를 지나는 지맥으로부터 추출합니다. 엘릭서 정제소를 업그레이드하면 엘릭서 생산력이 증가합니다."
"TID_ELIXIR_STORAGE_INFO","땅속에서 추출한 엘릭서를 보관하는 저장소입니다. 업그레이드하면 최대 저장 용량이 증가합니다."
"TID_GOLD_MINE_INFO","금광은 골드를 생산하는 시설입니다. 업그레이드하면 생산력과 저장 용량이 증가합니다."
"TID_GOLD_STORAGE_INFO","소중한 골드를 저장하는 시설입니다. 탐욕스러운 고블린을 조심하세요! 업그레이드하면 용량과 내구력이 증가합니다."
"TID_BARRACK_INFO","훈련소에서 훈련한 유닛으로 적을 공격할 수 있습니다. 훈련소를 업그레이드하면 큰 전투에서 활약하는 고급 유닛을 훈련할 수 있습니다."
"TID_BASIC_TURRET_INFO","대포는 훌륭한 거점 방어 시설입니다. 업그레이드하면 공격력이 증가하지만 업그레이드 중에는 작동하지 않습니다!"
"TID_ARCHER_TOWER_INFO","아처 타워는 대포보다 사정거리가 더 길고 공중 유닛도 공격할 수 있습니다."
"TID_WIZARD_TOWER_INFO","궁극의 비전 방어 시설! 타워 위의 마법사는 강력한 광역 마법으로 지상 및 공중 유닛을 동시에 공격합니다."
"TID_TESLA_TOWER_INFO","숨겨진 뇌전탑으로 치명적인 함정을 준비하세요! 마법사들이 번개 구름을 가둬둔 은밀한 포탑입니다. 적이 충분히 가까이 걸어오거나 날아오면 포탑이 튀어나와 전기 마법의 힘으로 지져버립니다!"
"TID_AIR_DEFENSE_INFO","대공포는 상대의 공중 유닛에 치명적인 피해를 주지만 지상 유닛은 공격할 수 없습니다. 최대한 넓은 영공을 방어할 수 있도록 그 위치를 잘 선정해야 합니다."
"TID_MORTAR_INFO","박격포는 광역 피해를 주는 포탄으로 적 무리를 쓸어버립니다. 너무 가까이 접근한 적은 공격할 수 없습니다!"
"TID_ALLIANCE_CASTLE_INFO","클랜 성에는 클랜원이 보낸 지원군 또는 마법과 함께, 자원을 보관할 수 있는 금고가 있습니다."
"TID_WORKER_INFO","장인 없이는 아무것도 건설할 수 없습니다! 장인을 추가로 고용하면 여러 건물을 동시에 건설할 수 있고, 건설 작업은 보석을 사용해서 시간을 단축할 수 있습니다."
"TID_LABORATORY_INFO","마법사들은 연구소에 어떤 어두운 비밀을 감추고 있을까요? 아무도 밝혀낼 용기를 내지 못했습니다. 알려진 것은 마법사들의 연구를 통해 마법과 유닛이 더욱 강력해지고 빨라져서 좋다는 것뿐입니다!"
"TID_STREAM_SENDER_YOU","나"
"TID_SHIELD_ACTIVATED","상대방의 보호막이 <hours>시간 동안 적용됩니다."
"TID_STREAM_ENTRY_AGE","<time> 전"
"TID_UPGRADE_WINDOW_NOTE","주의!"
"TID_OBSTACLE_CLEAR_TIME","제거 시간"
"TID_UPGRADE_TIME","업그레이드 시간"
"TID_BUILD_TIME","건설 시간"
"TID_GEAR_UP_TIME","개조 시간"
"TID_UNLOCK_BUILDINGS","업그레이드 후 사용 가능:"
"TID_REQUIRED_EXP_LEVEL","<number>레벨 경험치 필요"
"TID_REQUIRED_TOWN_HALL_LEVEL","<number>레벨 마을회관 필요"
"TID_REQUIRED_BUILDERS_HALL_LEVEL","장인회관 <number>레벨 필요"
"TID_REQUIRED_CASTLE_LEVEL","<number>레벨 성 필요"
"TID_REQUIRED_BARRACK_LEVEL","<number>레벨 훈련소 필요"
"TID_REQUIRED_DARK_BARRACK_LEVEL","<number>레벨 암흑 병사 훈련소가 필요합니다"
"TID_REQUIRED_LABORATORY_LEVEL","<number>레벨 연구소 필요"
"TID_INFO_PREFERRED_TARGET","우선 대상:"
"TID_PREFERRED_TARGET_ANY","없음"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","(공격력x<number>)"
"TID_INFO_TARGET_TYPE","공격 대상:"
"TID_INFO_DAMAGE_TYPE","공격 유형:"
"TID_INFO_HEAL_TYPE","치유 유형:"
"TID_INFO_HOUSING","인구수:"
"TID_INFO_TRAINING_TIME","훈련 시간:"
"TID_INFO_RANGE","사정거리:"
"TID_INFO_TARGET_TYPE_GROUND","지상"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","지상 및 공중"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","지상 및 공중"
"TID_INFO_TARGET_TYPE_AIR","공중"
"TID_INFO_DAMAGE_TYPE_AOE","광역"
"TID_INFO_DAMAGE_TYPE_SINGLE","단일 표적"
"TID_INFO_RANGE_VALUE","<number>칸"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","<item>: <level>레벨로 업그레이드 완료!"
"TID_LOCAL_NOTIFICATION_BUILDING_READY","<item> 건설 완료!"
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","별 보너스를 받을 수 있습니다! 용감하게 싸우세요!"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","대장, 보호막이 사라지기 직전입니다!"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","이런, 부대 훈련을 깜박한 건 아닌가요?"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","이런, 마법 제조를 깜박한 건 아닌가요?"
"TID_NEW","NEW"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","건설 중단"
"TID_POPUP_CANCEL_CONSTRUCTION","<item> 건설을 중단할까요? 중단하면 건설 비용의 <number>%만 돌려받습니다."
"TID_POPUP_CANCEL_UPGRADE_TITLE","업그레이드 중단"
"TID_POPUP_CANCEL_UPGRADE","<item> 업그레이드를 중단할까요? 중단하면 업그레이드 비용의 <number>%만 돌려받습니다."
"TID_POPUP_CANCEL_CLEAR_TITLE","제거 중단"
"TID_POPUP_CANCEL_CLEAR","<item> 제거를 중단할까요?"
"TID_ALLIANCE_LEADERBOARDS","상위권 클랜"
"TID_PLAYER_LEADERBOARDS","상위권 플레이어"
"TID_AVAILABLE_LOOT","약탈 가능:"
"TID_INFO","i"
"TID_ATTACK_BUTTON","공격"
"TID_ALLIANCE_SNEAK_PREVIEW","클랜 성을 재건해서 클랜 기능을 잠금 해제하세요!\n\n클랜원들은 서로 돕고 병력과 마법을 지원합니다."
"TID_BUILD_TIME_INSTANT","없음"
"TID_BUILDING_CAP_REACHED","이미 해당 건물을 최대 개수까지 건설했습니다."
"TID_DIAMONDS_FOUND","<name>에서 보석 <number>개를 발견했습니다!"
"TID_DIAMOND_FOUND","<name>에서 보석을 발견했습니다!"
"TID_SHOP_CATEGORY_DECOS","장식품"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","자원"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","군대"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","방어"
"TID_SHOP_CATEGORY_TREASURE","충전"
"TID_SHOP_CATEGORY_SHIELD","보호막"
"TID_SHOP_CATEGORY_BUILDERS","장인"
"TID_SHOP_CATEGORY_SPELLS","마법"
"TID_SHOP_CATEGORY_TROOPS","유닛"
"TID_TRAINING_WARRIORS","유닛:"
"TID_TRAINING_SLOTS","훈련 대기열:"
"TID_TOTAL_TRAINING_TIME","총 시간:"
"TID_FINISH_BUTTON","완료"
"TID_TROOP_TRAINING_MAX","최대"
"TID_UNCLOK_FROM_LABORATORY","연구소에서 연구"
"TID_NOT_ENOUGH_HOUSING_SPACE","집합소가 가득 찼습니다!"
"TID_UNLOCK_BUILDING_MULTIPLE","잠금 해제:"
"TID_UNLOCK_BARRACK_TROOP","<name> 잠금 해제"
"TID_REDUCE_TIME_BARRACK_TROOP","훈련 시간 감소 대상:"
"TID_REDUCE_TIME_BARRACK_TROOP2","새 훈련 시간: <num2>"
"TID_BUILDING_TEXT_FULL","가득 참!"
"TID_BUILDING_TEXT_TRAIN","훈련"
"TID_TRAINING_SLOT_STOPPED","중단!"
"TID_BUILDING_TEXT_ALERT","!!!"
"TID_TRAIN_ALL_HOUSINGS_FULL","집합소 정원 도달!"
"TID_TRAIN_ALL_HOUSINGS_FULL_INFO","집합소를 업그레이드하거나 추가로 건설하면 더 많은 유닛을 소집하거나 전투에 동원할 수 있습니다!"
"TID_BUTTON_FIGHT","시작!"
"TID_BATTLE_START_TIME","전투 대기 시간:"
"TID_NEXT_MATCH","다음"
"TID_END_BATTLE_BUTTON","전투 종료"
"TID_SURRENDER_BUTTON","항복"
"TID_TROOP_UPGRADE_TIME","총 시간:"
"TID_MAX_TROOP_LEVEL","최고 레벨"
"TID_LEVEL_NUM","<number>레벨"
"TID_BUTTON_UPGRADE_TROOPS","연구"
"TID_POPUP_UPGRADE_TROOP_TITLE","업그레이드할 유닛 선택"
"TID_TROOP_ALREADY_AT_MAX_LEVEL","이미 최고 레벨인 유닛입니다!"
"TID_TROOP_UPGRADE_ALREADY_ONGOING","이미 업그레이드 중입니다."
"TID_TROOP_UPGRADE_COMPLETED","업그레이드 완료: <number>레벨 <item>"
"TID_UNITS_LEFT","<number> 유닛 남음"
"TID_PLAYER_ATTACKING_YOU","공격 중인 플레이어:"
"TID_LOOT","약탈당한 자원:"
"TID_OUTCOME","결과:"
"TID_YOU_LOST","방어 실패"
"TID_YOU_WIN","방어 성공:"
"TID_REVENGE","복수"
"TID_JOINQUESTION","가입하고 싶나요?"
"TID_TAP_TO_EXPAND","확장"
"TID_BUY_MISSING_RESOURCES_HEADER","<resource> 부족"
"TID_BUY_MISSING_RESOURCES_TEXT","부족한 <resource> <count>개를 구매할까요?"
"TID_BUY_MISSING_RESOURCES_HEADER_TWO","자원이 부족합니다."
"TID_BUY_MISSING_RESOURCES_TEXT_TWO","부족한 <resource> <count>개와 <resource2> <count2>개를 구매하시겠습니까?"
"TID_BUY_RESOURCE_PACK_HEADER","<resource> 구매"
"TID_BUY_RESOURCE_PACK_TEXT","<resource> <count>개를 정말로 구매하시겠습니까?"
"TID_BUY_GUARD_HEADER","가드를 구매할까요?"
"TID_BUY_SHIELD_HEADER","보호막을 구매할까요?"
"TID_BUY_SHIELD_TEXT","<name>을 구매하시겠습니까?"
"TID_RESOURCE_PACK_LOCKED","저장 공간이 부족합니다!"
"TID_STAR1","좋습니다!"
"TID_STAR2","훌륭합니다!"
"TID_STAR3","완벽합니다!"
"TID_OVERALL_DAMAGE","총 피해량"
"TID_VILLAGE_GUARD_TITLE","가드:"
"TID_SHIELD_TITLE","보호막"
"TID_SHIELD_NONE","없음"
"TID_BATTLE_LOG","전투 기록"
"TID_BATTLE_INBOX","새 소식"
"TID_VICTORY","승리"
"TID_DEFEAT","패배"
"TID_WHAT_YOU_GOT","전리품:"
"TID_TROOPS_USED","배치한 유닛:"
"TID_TOTAL_DAMAGE","총 피해량:"
"TID_SCORE","점수"
"TID_YOU_HAVE_BEEN_ATTACKED","대장! 마을이 공격을 당했어요!"
"TID_YOU_HAVE_BEEN_ATTACKED_TITLE","적 공격"
"TID_YOU_HAVE_BEEN_ATTACKED_HEADER","대장! 대장이 없을 때 마을이 공격을 받았어요!"
"TID_TUTORIAL_CANNON_1","어서 오세요, 대장! 기다리고 있었어요."
"TID_TUTORIAL_CANNON_2","대장의 새 마을이에요! 딱 하나만 빼면 완벽한데..."
"TID_TUTORIAL_CANNON_3","이런! 고블린 무리예요! 어서 대포를 설치해 마을을 방어하세요!"
"TID_TUTORIAL_CANNON_4","대포를 마을에 설치하세요. 마을회관을 반드시 보호해야 해요!"
"TID_TUTORIAL_CANNON_5","보석을 사용해 시간을 단축하세요!"
"TID_TUTORIAL_DEFEND_1","끄아아! 고블린 공겨어억!!"
"TID_TUTORIAL_DEFEND_1b","낄낄낄! 이거 뭐야? 작은 인간 또 왔다!"
"TID_TUTORIAL_DEFEND_2","휴, 큰일 날 뻔했네. 고마워요, 대장!"
"TID_TUTORIAL_DEFEND_4","마을 지하에는 지맥이 흐르고 있습니다. 마법의 힘으로 건물들이 자동으로 수리되죠!"
"TID_TUTORIAL_DEFEND_5","끄아아! 금이다! 고블린 금 좋아!"
"TID_TUTORIAL_DEFEND_BUTTON","방어 시작!"
"TID_TUTORIAL_WORKER_1","지금까지 아주 잘하셨어요! 이제 마을을 전투에 맞게 만들어볼까요?"
"TID_TUTORIAL_WORKER_2","장인을 한 명 더 고용하면 두 가지 작업을 동시에 진행할 수 있습니다."
