"TID","TH"
"TID_TROOP_REQUEST_FAIL_CASTLE_FULL","ปราสาทแคลนเต็มแล้ว!"
"TID_TROOP_REQUEST_FAIL_COOLDOWN","ท่านต้องรอก่อนจะขอกำลังเสริมเพิ่มอีก"
"TID_ALLIANCE_STREAM_REWARD","ท่านได้รับค่าประสบการณ์ <number> แต้ม"
"TID_HOUSING_TROOPS_INSIDE","กองกำลังทั้งหมด:"
"TID_UNIT_STORAGE_CAPACITY","ความจุกองกำลัง: <number>"
"TID_REGENERATION_TIME","เวลาฟื้นฟูสภาพ: <number> นาที"
"TID_HITPOINTS","พลังชีวิต: <number>"
"TID_DPS","ความเสียหายต่อวินาที: <number>"
"TID_BURST_SIZE","ยิงปะทุ: <number>นัด"
"TID_HEAL","เยียวยา: <number>"
"TID_TRAIN_COST","ค่าฝึก: <number> <resource>"
"TID_RESOURCE_STORAGE_CAPACITY","ความจุคลัง: <number>"
"TID_PRODUCTION_RATE","อัตราการผลิต: <number> ต่อชั่วโมง"
"TID_PRODUCTION_CAPACITY","ความจุ: <number>"
"TID_TRAINING_TIME","ระยะเวลาฝึก: <number>"
"TID_TRAINING_TIME_REDUCTION","การลดระยะเวลาฝึก: <number>"
"TID_HOUSING_INFO","กองกำลังของท่านจะประจำอยู่ในค่ายกองทัพ สร้างค่ายเพิ่มและอัปเกรดค่ายเพื่อรวบรวมพลเป็นกองทัพที่แข็งแกร่ง"
"TID_TOWN_HALL_INFO","นี่คือใจกลางของหมู่บ้านของท่าน การอัปเกรดศาลากลางจะปลดล็อคการป้องกัน สิ่งก่อสร้าง กับดัก และสิ่งใหม่อื่นๆ มากมาย\nการทำลายศาลากลางของคู่แข่งจะทำให้ท่านชนะในการรบและจะได้หนึ่งดาว การทำลายสิ่งก่อสร้างของศัตรู 50% จะมอบดาวดวงที่สองให้ท่าน ส่วนการทำลายได้ครบ"
"TID_ELIXIR_PUMP_INFO","น้ำอมฤตจะสูบขึ้นมาจากเลย์ไลน์ที่ไหลผ่านหมู่บ้านของท่าน อัปเกรดเครื่องสูบน้ำอมฤตของท่านเพื่อเพิ่มผลผลิตน้ำอมฤตให้สูงสุด"
"TID_ELIXIR_STORAGE_INFO","คลังนี้เก็บน้ำอมฤตที่สูบขึ้นมาจากใต้ดิน อัปเกรดคลังเหล่านี้เพื่อเพิ่มปริมาณน้ำอมฤตที่เก็บได้ให้มากที่สุด"
"TID_GOLD_MINE_INFO","เหมืองทองคำผลิตทองคำ อัปเกรดเหมืองเพื่อเพิ่มผลผลิตและความจุในการเก็บทองคำ"
"TID_GOLD_STORAGE_INFO","ทองคำล้ำค่าของท่านจะถูกเก็บไว้ที่นี่ อย่าให้พวกก็อบลินเจ้าเล่ห์เข้าใกล้เชียวนะ! อัปเกรดคลังเพื่อเพิ่มความจุและความทนทานต่อการโจมตี"
"TID_BARRACK_INFO","โรงทหารช่วยท่านฝึกกองกำลังเพื่อไปโจมตีศัตรู อัปเกรดโรงทหารเพื่อปลดล็อคหน่วยขั้นสูงที่สามารถชนะการสู้รบโหดหินได้"
"TID_BASIC_TURRET_INFO","ปืนใหญ่นั้นยอดเยี่ยมสำหรับการป้องกันเป็นจุดๆ อัปเกรดปืนใหญ่เพื่อเพิ่มพลังในการยิง แต่ระวัง ป้อมปืนป้องกันของท่านจะไม่สามารถยิงได้ในระหว่างที่อัปเกรด!"
"TID_ARCHER_TOWER_INFO","หอคอยพลธนูมีระยะยิงไกลกว่าปืนใหญ่ และไม่เหมือนปืนใหญ่ มันสามารถโจมตีศัตรูที่บินได้ด้วย"
"TID_WIZARD_TOWER_INFO","สุดยอดการป้องกันลึกลับ! พ่อมดบนหอคอยจะร่ายอาคมทรงพลังที่มีผลต่อบริเวณ ซึ่งจะเล็งไปยังกองกำลังทั้งที่บินได้และที่อยู่บนพื้นดิน"
"TID_TESLA_TOWER_INFO","วางกับดักมรณะด้วยเทสลาซุ่มซ่อน! พ่อมดของเราได้ดักเมฆพายุไว้ในหอคอยซุกซ่อนเหล่านี้ทุกแห่ง เมื่อศัตรูเดินหรือบินเข้ามาใกล้พอ หอคอยจะดีดตัวขึ้นและย่างสดมันด้วยพลังกลไฟฟ้า!"
"TID_AIR_DEFENSE_INFO","หอคอยต้านทานทางอากาศนี้ให้ผลถึงตายต่อศัตรูบินได้ แต่ไม่สามารถจัดการศัตรูบนพื้นดิน เลือกตำแหน่งดีๆ ให้มันครอบคลุมพื้นที่ในอากาศให้มากที่สุดเท่าที่ทำได้"
"TID_MORTAR_INFO","ปืนครกสามารถถล่มศัตรูเป็นฝูงได้จากความเสียหายที่กระจายจากลูกปืนของมัน อย่าให้ศัตรูได้เข้าใกล้มันมากเกินไป!"
"TID_ALLIANCE_CASTLE_INFO","ปราสาทแคลนเป็นที่อยู่ของกรมคลังของท่าน รวมถึงกองกำลังหรืออาคมเสริมที่เพื่อนร่วมแคลนส่งมาให้"
"TID_WORKER_INFO","ถ้าไม่มีช่างก่อสร้าง แถวนี้ก็คงไม่มีอะไรเสร็จ! ท่านสามารถจ้างช่างก่อสร้างมากขึ้นเพื่อเริ่มโครงการก่อสร้างหลายๆ โครงการ หรือเร่งความเร็วการทำงานของพวกเขาโดยใช้อัญมณีสีเขียว"
"TID_LABORATORY_INFO","พ่อมดซ่อนความลับดำมืดอะไรไว้ในห้องทดลองของพวกเขานะ? ไม่มีใครกล้าแอบดู รู้แต่เพียงว่าการวิจัยของพวกเขาทำให้อาคมและกองกำลังของเรากล้าแกร่งขึ้น ดีขึ้น ว่องไวขึ้น และเข้มแข็งขึ้น!"
"TID_STREAM_SENDER_YOU","ท่าน"
"TID_SHIELD_ACTIVATED","โล่ป้องกันของคู่แข่งเปิดอยู่เป็นเวลา <hours> ชั่วโมง"
"TID_STREAM_ENTRY_AGE","<time> ที่แล้ว"
"TID_UPGRADE_WINDOW_NOTE","หมายเหตุ!"
"TID_OBSTACLE_CLEAR_TIME","เวลากำจัด"
"TID_UPGRADE_TIME","เวลาอัปเกรด"
"TID_BUILD_TIME","เวลาสร้าง"
"TID_GEAR_UP_TIME","เวลาเตรียมพร้อม"
"TID_UNLOCK_BUILDINGS","ปลดล็อคสิ่งก่อสร้าง:"
"TID_REQUIRED_EXP_LEVEL","ต้องใช้ประสบการณ์เลเวล <number>"
"TID_REQUIRED_TOWN_HALL_LEVEL","ต้องมีศาลากลางเลเวล <number>"
"TID_REQUIRED_BUILDERS_HALL_LEVEL","ต้องใช้หอช่างก่อสร้างเลเวล <number>"
"TID_REQUIRED_CASTLE_LEVEL","ต้องมีปราสาทเลเวล <number>"
"TID_REQUIRED_BARRACK_LEVEL","ต้องมีโรงทหารเลเวล <number>"
"TID_REQUIRED_DARK_BARRACK_LEVEL","ต้องมีโรงทหารมืดเลเวล <number>"
"TID_REQUIRED_LABORATORY_LEVEL","ต้องมีห้องทดลองเลเวล <number>"
"TID_INFO_PREFERRED_TARGET","เป้าหมายโปรด:"
"TID_PREFERRED_TARGET_ANY","ได้หมด"
"TID_PREFERRED_TARGET_DAMAGE_BONUS","(ความเสียหาย x<number>)"
"TID_INFO_TARGET_TYPE","เป้าหมาย:"
"TID_INFO_DAMAGE_TYPE","ประเภทความเสียหาย:"
"TID_INFO_HEAL_TYPE","ประเภทการเยียวยา:"
"TID_INFO_HOUSING","เนื้อที่อยู่อาศัย:"
"TID_INFO_TRAINING_TIME","ระยะเวลาฝึก:"
"TID_INFO_RANGE","ระยะ:"
"TID_INFO_TARGET_TYPE_GROUND","พื้นดิน"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","พื้นดินและอากาศ"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","พื้นดินหรืออากาศ"
"TID_INFO_TARGET_TYPE_AIR","อากาศ"
"TID_INFO_DAMAGE_TYPE_AOE","กระจายเป็นบริเวณ"
"TID_INFO_DAMAGE_TYPE_SINGLE","เป้าหมายเดี่ยว"
"TID_INFO_RANGE_VALUE","<number> ช่อง"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","<item> อัปเกรดเป็นเลเวล <level> แล้ว"
"TID_LOCAL_NOTIFICATION_BUILDING_READY","สร้าง <item> เสร็จแล้ว"
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","โบนัสดาวใช้การได้! ได้เวลารบแล้ว!"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","ท่านหัวหน้า โล่ป้องกันของเราหมดลงแล้ว!"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","โอ๊ะ ท่านลืมฝึกกองทัพของท่านหรือ?"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","โอ๊ะ ท่านลืมปรุงอาคมของท่านหรือ?"
"TID_NEW","ใหม่"
"TID_POPUP_CANCEL_CONSTRUCTION_TITLE","หยุดการก่อสร้างหรือไม่?"
"TID_POPUP_CANCEL_CONSTRUCTION","ท่านต้องการหยุดการก่อสร้าง <item> จริงๆ หรือ? ท่านจะได้รับคืนเพียง <number>% ของราคาเท่านั้น"
"TID_POPUP_CANCEL_UPGRADE_TITLE","หยุดการอัปเกรดหรือไม่?"
"TID_POPUP_CANCEL_UPGRADE","ท่านต้องการหยุดการอัปเกรด <item> จริงๆ หรือ? ท่านจะได้รับคืนเพียง <number>% ของราคาเท่านั้น"
"TID_POPUP_CANCEL_CLEAR_TITLE","หยุดการกำจัดหรือไม่?"
"TID_POPUP_CANCEL_CLEAR","ท่านต้องการหยุดกำจัด <item> จริงๆ หรือ?"
"TID_ALLIANCE_LEADERBOARDS","แคลนอันดับสูงสุด"
"TID_PLAYER_LEADERBOARDS","ผู้เล่นอันดับสูงสุด"
"TID_AVAILABLE_LOOT","ของที่ปล้นได้:"
"TID_INFO","i"
"TID_ATTACK_BUTTON","โจมตี"
"TID_ALLIANCE_SNEAK_PREVIEW","ปลดล็อคแคลนโดยการสร้างปราสาทแคลนขึ้นมาใหม่\n\nเพื่อนร่วมแคลนสามารถช่วยเหลือกันและส่งกองกำลังกับอาคมเสริมให้กันได้"
"TID_BUILD_TIME_INSTANT","ไม่มี"
"TID_BUILDING_CAP_REACHED","ท่านได้สร้างสิ่งก่อสร้างประเภทนี้ครบถึงจำนวนสูงสุดแล้ว"
"TID_DIAMONDS_FOUND","ท่านพบอัญมณี <number> เม็ดใน <name>!"
"TID_DIAMOND_FOUND","ท่านพบอัญมณีหนึ่งเม็ดใน <name>!"
"TID_SHOP_CATEGORY_DECOS","ของตกแต่ง"
"TID_SHOP_CATEGORY_RESOURCE_BUILDINGS","ทรัพยากร"
"TID_SHOP_CATEGORY_ARMY_BUILDINGS","กองทัพ"
"TID_SHOP_CATEGORY_DEFENSE_BUILDINGS","การป้องกัน"
"TID_SHOP_CATEGORY_TREASURE","สมบัติ"
"TID_SHOP_CATEGORY_SHIELD","โล่ป้องกัน"
"TID_SHOP_CATEGORY_BUILDERS","ช่างก่อสร้าง"
"TID_SHOP_CATEGORY_SPELLS","อาคม"
"TID_SHOP_CATEGORY_TROOPS","กองกำลัง"
"TID_TRAINING_WARRIORS","นักรบ:"
