"Name","Deprecated","TID","InfoTID","SWF","ExportName","ExportNameConstruction","ExportNameLocked","BuildResource","BuildCost","RequiredExpLevel","MaxCount","Width","Height","PassableSubtilesAtEdge","Icon","BaseGfx","ExportNameBase","IsRed","NotInShop","BPReward","VillageType","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","LightsOn","DecoPath","ActiveEffect","ActiveEffectDelay","NationalFlag","RequiredTownHallLevel","UseObjectBottomLayer","IsFadedAndPassableInCombat"
"Large Stone_village22",,"TID_DECO_BOULDER",,"sc/buildings_cc.sc","cc_deco_3x3_stone_01",,,"Diamonds",500,,5,3,3,1,,,,,"TRUE",,,,,,,,,,,"Stone Pickup",,,,,"FALSE"
"Large Stone_village2",,"TID_DECO_BOULDER",,"sc/buildings_cc.sc","cc_deco_3x3_stone_02",,,"Diamonds",500,,5,3,3,1,,,,,"TRUE",,,,,,,,,,,"Stone Pickup",,,,,"FALSE"
"Fireplace",,"TID_DECO_FIREPLACE",,"sc/buildings_cc.sc","cc_Fireplace_01",,,"Diamonds",500,,2,1,1,1,,,,,"TRUE",,,,,,,,,,,"Troop Housing Pickup",,,,,"FALSE"
"Dead Tree 1",,"TID_DECO_DEAD_TREE",,"sc/buildings_cc.sc","cc_dead_tree_01",,,"Diamonds",500,,1,1,1,1,,6,"cc_deco_base1x1_small_tree",,"TRUE",,,,,,,,,,,"Generic Pick Up",,,,,"FALSE"
"Fallen Tree 1",,"TID_OBSTACLE_TRUNK",,"sc/buildings_cc.sc","cc_fallen_tree_01",,,"Diamonds",500,,1,1,1,1,,6,"cc_deco_base1x1_small_tree",,"TRUE",,,,,,,,,,,"Generic Pick Up",,,,,"FALSE"
"Fallen Tree 2",,"TID_OBSTACLE_TRUNK",,"sc/buildings_cc.sc","cc_fallen_tree_02",,,"Diamonds",500,,1,1,1,1,,6,"cc_deco_base1x1_small_tree",,"TRUE",,,,,,,,,,,"Generic Pick Up",,,,,"FALSE"
"Pillar 01",,"TID_DECO_RESTORED_PILLAR",,"sc/buildings_cc.sc","cc_deco_2x2_pillar_01",,"cc_deco_2x2_ruined_pillar_01","Diamonds",500,,3,2,2,1,,,,,"TRUE",,,,,,,,,,,"Stone Pickup",,,,,"FALSE"
"Pillar 02",,"TID_DECO_RESTORED_PILLAR",,"sc/buildings_cc.sc","cc_deco_2x2_pillar_02",,"cc_deco_2x2_ruined_pillar_02","Diamonds",500,,3,2,2,1,,,,,"TRUE",,,,,,,,,,,"Stone Pickup",,,,,"FALSE"
"Restored Barbarian",,"TID_DECO_RESTORED_BARBARIAN",,"sc/buildings_cc.sc","cc_deco_4x4_02",,"cc_deco_4x4_01","Diamonds",500,,1,4,4,1,,0,,,"TRUE",,,,,,,,,,,"Mortar Pickup",,,,,"FALSE"
"Great Pyre",,"TID_DECO_GREAT_PYRE",,"sc/buildings_cc.sc","cc_deco_3x3_pillar_01",,"ruin_deco_fireplace","Diamonds",500,,1,3,3,1,,0,,,"TRUE",,,,,,,,,,,"Troop Housing Pickup",,,,,"FALSE"
"Tomb",,"TID_OBSTACLE_TOMBSTONE",,"sc/buildings_cc.sc","tombstone_1_cc",,,"Diamonds",500,,1,1,1,1,,0,,,"TRUE",,,,,,,,,,,"Stone Pickup",,,,,"FALSE"
"Tomb 2",,"TID_OBSTACLE_TOMBSTONE",,"sc/buildings_cc.sc","tombstone_2_cc",,,"Diamonds",500,,1,1,1,1,,0,,,"TRUE",,,,,,,,,,,"Stone Pickup",,,,,"FALSE"
"Tomb 3",,"TID_OBSTACLE_TOMBSTONE",,"sc/buildings_cc.sc","tombstone_3_cc",,,"Diamonds",500,,1,1,1,1,,0,,,"TRUE",,,,,,,,,,,"Stone Pickup",,,,,"FALSE"
"Mining Cart",,"TID_DECO_MINE_CART",,"sc/buildings_cc.sc","obstacles_goblin_miningcart_1x1",,,"Diamonds",500,,1,1,1,1,,0,,,"TRUE",,,,,,,,,,,"Generic Pick Up",,,,,"FALSE"
"Mining Cart a",,"TID_DECO_MINE_CART",,"sc/buildings_cc.sc","obstacles_goblin_miningcart_1x1_a",,,"Diamonds",500,,1,1,1,1,,0,,,"TRUE",,,,,,,,,,,"Generic Pick Up",,,,,"FALSE"
"Goblin King Statue",,"TID_DECO_GOBLIN_KING_STATUE",,"sc/buildings_cc.sc","cc_deco_goblinking_statue",,"cc_deco_goblinking_statue_ruin","Diamonds",500,,1,2,2,1,,0,,,"TRUE",,,,,,,,,,,"Mortar Pickup",,,,,"FALSE"
